@relation vehicle

@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
139,58,6,136,138,137,van
174,68,10,155,148,182,van
157,65,9,137,146,164,van
150,64,10,133,142,159,van
164,64,11,163,163,170,van
162,68,10,146,139,157,van
125,52,7,139,143,161,van
126,56,6,114,135,145,van
110,54,2,119,121,137,van
161,63,10,151,148,171,van
136,58,11,161,153,185,van
139,58,8,140,148,175,van
250,105,55,139,145,172,van
157,64,11,161,167,186,van
138,55,8,132,135,124,van
147,62,8,146,144,161,van
163,68,10,157,156,176,van
137,58,11,161,158,186,van
138,58,7,126,128,112,van
143,61,9,133,130,127,van
121,49,7,134,142,134,van
162,63,9,146,148,161,van
150,63,8,143,147,179,van
133,55,8,130,146,156,van
162,64,8,137,145,159,van
142,56,10,157,155,188,van
155,62,8,137,137,124,van
146,60,9,133,135,128,van
159,64,10,157,158,203,van
134,56,11,160,167,185,van
137,54,11,158,162,186,van
148,61,8,129,142,153,van
135,59,9,157,158,177,van
151,61,8,133,135,119,van
322,133,48,158,163,176,van
154,64,9,147,148,174,van
137,58,7,122,140,150,van
133,54,10,155,153,165,van
133,56,7,130,143,157,van
150,64,9,138,143,174,van
117,51,6,133,139,150,van
131,56,6,118,137,153,van
150,63,11,156,165,188,van
126,52,8,133,140,140,van
148,61,9,147,152,199,van
161,64,10,163,160,185,van
120,50,8,137,141,139,van
162,64,10,156,153,187,van
133,55,11,160,161,171,van
114,53,6,132,140,157,van
140,61,7,122,127,112,van
123,51,7,135,144,155,van
164,66,8,139,140,126,van
144,60,9,150,156,200,van
116,53,7,132,137,157,van
158,62,10,145,148,166,van
149,60,8,133,134,119,van
134,59,6,123,137,150,van
147,60,6,128,141,157,van
160,64,9,151,148,182,van
150,63,8,138,134,124,van
149,59,11,158,158,173,van
117,58,4,118,125,138,van
161,65,12,155,157,178,van
150,64,10,133,141,159,van
136,54,10,155,149,161,van
129,57,6,116,125,123,van
141,57,11,159,167,186,van
125,55,5,117,134,148,van
174,66,9,153,144,150,van
139,56,11,159,162,185,van
144,59,7,131,142,162,van
133,57,6,123,144,160,van
147,64,11,156,163,188,van
111,48,7,139,140,148,van
140,59,6,127,130,113,van
186,59,9,186,138,168,saab
231,71,11,219,172,217,saab
210,63,11,219,172,212,saab
204,64,11,220,172,203,saab
154,56,6,160,148,184,saab
179,60,7,170,131,144,saab
184,64,6,160,125,139,saab
171,58,9,157,132,115,saab
184,60,9,197,147,198,saab
158,59,7,140,124,117,saab
209,69,8,183,156,230,saab
184,59,9,175,140,147,saab
197,62,10,180,143,153,saab
192,63,9,185,138,173,saab
228,69,12,215,168,214,saab
148,61,5,150,138,173,saab
203,66,10,188,157,231,saab
192,63,9,177,155,197,saab
139,59,5,132,135,150,saab
194,60,10,195,161,219,saab
206,65,10,198,164,240,saab
165,60,7,150,128,131,saab
204,61,11,212,159,215,saab
150,59,5,152,143,177,saab
134,63,7,135,128,143,saab
195,63,8,186,144,166,saab
133,56,6,136,136,162,saab
197,64,11,213,172,222,saab
201,59,11,214,162,194,saab
141,54,7,149,132,149,saab
221,69,12,221,169,212,saab
169,59,7,161,131,137,saab
156,59,8,153,129,137,saab
191,64,9,166,138,131,saab
207,64,12,221,168,200,saab
209,66,10,203,149,210,saab
200,66,7,173,151,205,saab
193,60,10,215,169,218,saab
172,55,10,212,168,223,saab
127,58,6,116,121,127,saab
136,55,6,123,118,118,saab
199,65,11,213,168,221,saab
213,67,9,206,167,220,saab
208,66,9,191,148,169,saab
187,63,7,176,154,222,saab
191,57,12,213,162,190,saab
228,65,12,212,163,220,saab
220,65,12,213,167,232,saab
138,59,4,137,133,151,saab
231,67,12,217,165,222,saab
213,64,11,201,158,204,saab
129,55,7,146,130,158,saab
201,66,9,192,143,195,saab
215,67,9,187,158,214,saab
199,60,12,215,162,212,saab
211,64,9,208,158,184,saab
132,57,6,128,129,132,saab
137,60,5,148,131,157,saab
137,56,7,152,134,160,saab
162,60,8,150,133,121,saab
223,66,10,211,164,210,saab
202,65,10,193,160,237,saab
201,60,12,196,162,184,saab
191,65,8,169,136,141,saab
192,64,9,177,135,165,saab
176,59,9,163,148,179,saab
119,53,5,134,127,146,saab
199,60,11,211,156,188,saab
161,59,7,152,143,187,saab
206,64,9,198,150,191,saab
149,57,7,149,143,176,saab
119,57,6,128,125,139,saab
178,60,8,175,152,198,saab
191,59,9,197,158,234,saab
152,58,6,151,136,140,saab
209,66,10,207,158,220,saab
202,61,10,207,153,200,saab
180,59,9,167,134,129,saab
172,59,8,154,144,158,saab
151,58,8,140,142,158,saab
174,66,7,154,133,130,saab
219,71,9,211,171,223,saab
183,64,8,169,134,149,saab
197,58,11,208,159,186,saab
117,53,7,125,126,128,saab
171,60,8,157,128,123,saab
192,61,9,178,144,138,saab
170,58,7,174,139,160,saab
120,55,5,142,128,145,saab
176,54,10,216,171,218,saab
197,61,9,193,149,160,saab
194,60,10,185,160,178,saab
220,69,10,221,170,202,saab
219,66,11,204,165,224,saab
231,72,10,217,171,216,saab
182,56,11,213,162,217,saab
212,65,11,208,162,240,saab
118,55,4,129,127,140,saab
169,60,8,158,148,181,saab
130,57,6,121,127,132,saab
114,53,4,135,126,144,saab
191,60,11,175,153,187,saab
161,62,7,149,129,153,saab
177,64,7,160,147,188,saab
205,64,11,220,166,214,saab
162,57,7,159,147,177,saab
157,56,7,155,126,123,saab
170,60,8,172,134,152,saab
201,66,10,214,173,221,saab
140,62,7,150,133,173,saab
132,54,7,147,131,145,saab
162,61,8,142,128,137,saab
202,59,11,199,154,165,saab
193,59,11,217,163,203,saab
189,64,8,169,153,190,saab
187,61,9,166,154,175,saab
181,56,11,220,167,214,saab
182,55,12,216,171,214,saab
217,67,10,204,162,195,saab
181,62,8,175,132,154,saab
193,59,10,207,156,213,saab
203,62,11,202,164,235,saab
144,56,6,133,123,125,saab
234,70,12,215,168,228,saab
176,59,7,169,132,142,saab
225,71,12,221,167,202,saab
206,61,11,217,168,209,saab
210,66,11,218,169,216,saab
167,60,7,158,131,144,saab
187,68,8,159,134,134,saab
168,54,10,208,162,221,saab
189,63,9,175,132,156,saab
188,64,9,161,151,174,saab
195,63,9,185,144,165,saab
171,61,9,157,134,125,saab
136,58,6,142,137,164,saab
126,54,7,132,127,142,saab
211,63,11,219,168,198,saab
188,61,10,181,158,220,saab
136,53,6,144,131,149,saab
196,63,10,201,152,199,saab
201,64,11,213,171,221,saab
153,56,7,141,141,169,saab
206,63,10,196,159,201,saab
225,68,11,214,169,212,saab
178,58,8,181,134,160,saab
208,62,9,203,151,183,saab
146,58,7,135,124,148,saab
175,60,9,170,134,138,saab
165,57,8,153,128,124,saab
140,58,6,148,136,178,saab
190,63,10,213,166,202,saab
205,63,11,222,175,213,saab
200,62,10,206,155,215,saab
190,60,10,171,155,169,saab
160,59,7,163,131,158,saab
211,61,11,207,167,216,saab
135,56,5,133,135,166,saab
213,67,12,222,177,213,saab
142,56,7,149,140,165,saab
202,66,9,188,144,175,saab
222,68,11,218,173,229,saab
197,60,11,191,162,194,saab
209,61,11,207,157,168,saab
131,61,4,135,127,141,saab
104,53,4,115,118,127,saab
147,54,8,144,146,174,saab
203,65,11,218,167,216,saab
201,62,11,220,163,202,saab
162,63,6,140,131,126,saab
122,57,4,116,123,128,saab
132,62,6,135,125,144,saab
130,58,5,125,130,145,saab
202,64,10,220,168,214,saab
189,57,11,220,174,214,saab
146,58,7,128,134,158,saab
176,59,7,168,152,185,saab
133,55,7,146,132,149,saab
115,57,3,112,119,127,saab
208,64,10,187,150,158,saab
213,68,11,219,172,216,saab
184,57,11,211,168,218,saab
121,57,4,122,125,128,saab
186,56,11,214,159,203,saab
197,62,11,183,146,152,saab
213,64,12,206,163,202,saab
197,62,9,188,162,203,saab
151,62,6,144,139,170,saab
195,61,10,198,149,186,saab
234,73,10,221,174,214,saab
221,68,11,207,164,238,saab
211,65,10,187,156,195,saab
197,62,11,216,165,196,saab
136,55,6,140,125,138,saab
203,62,10,217,165,214,saab
175,67,6,149,139,165,bus
238,72,4,238,163,242,bus
122,54,6,148,143,171,bus
167,49,7,252,172,239,bus
170,70,6,146,146,189,bus
252,126,52,148,144,185,bus
205,71,7,176,152,201,bus
144,61,8,147,143,180,bus
189,58,4,227,158,217,bus
199,57,5,251,169,268,bus
130,56,7,153,149,191,bus
152,64,7,149,142,158,bus
173,66,7,151,129,119,bus
184,66,6,164,131,137,bus
209,68,7,199,150,200,bus
173,54,4,222,159,206,bus
135,59,8,150,145,173,bus
169,73,6,151,146,186,bus
168,54,4,212,153,198,bus
128,56,7,151,147,176,bus
158,64,6,141,143,173,bus
148,61,7,143,136,141,bus
120,54,5,148,145,174,bus
191,57,6,241,170,242,bus
185,53,6,257,168,230,bus
154,47,4,237,164,222,bus
183,73,7,157,136,153,bus
141,61,7,153,148,190,bus
173,68,7,150,137,151,bus
187,74,7,157,143,183,bus
177,64,5,177,134,148,bus
194,60,6,220,162,209,bus
169,51,6,241,165,247,bus
188,62,5,203,158,219,bus
154,68,7,150,143,173,bus
183,70,6,149,127,127,bus
197,69,6,177,139,151,bus
193,72,6,158,133,127,bus
201,61,6,225,165,231,bus
154,65,6,145,144,177,bus
194,65,6,204,161,214,bus
125,58,6,148,145,185,bus
204,72,6,167,150,182,bus
165,67,7,148,140,152,bus
120,54,7,149,145,186,bus
186,73,6,158,134,148,bus
116,51,6,150,141,171,bus
120,53,7,149,143,160,bus
185,70,7,162,153,172,bus
197,67,6,186,158,198,bus
227,67,4,250,162,262,bus
169,72,7,152,145,171,bus
159,64,6,145,141,171,bus
127,56,8,149,143,171,bus
158,64,7,151,138,152,bus
180,51,6,261,171,257,bus
116,53,6,152,141,172,bus
179,75,6,146,141,178,bus
123,56,6,148,145,171,bus
192,69,5,166,131,138,bus
195,70,7,167,152,185,bus
194,56,6,260,175,261,bus
184,70,6,154,131,127,bus
118,52,7,152,147,177,bus
119,53,8,150,144,172,bus
203,71,5,174,154,206,bus
132,58,7,149,144,172,bus
126,55,7,152,142,173,bus
130,56,7,152,142,173,bus
180,75,7,155,143,173,bus
171,67,7,149,135,144,bus
184,72,8,155,133,145,bus
179,69,6,156,144,191,bus
198,65,5,194,146,167,bus
207,69,5,192,161,221,bus
161,47,4,247,166,242,bus
207,71,6,195,159,188,bus
150,69,5,148,144,184,bus
149,65,8,149,146,185,bus
193,69,5,169,137,156,bus
199,73,6,162,127,125,bus
191,73,6,156,126,124,bus
204,63,6,218,156,213,bus
125,57,8,149,146,172,bus
155,64,7,148,138,152,bus
122,54,6,148,141,174,bus
140,64,6,148,145,185,bus
137,59,6,148,146,183,bus
155,65,7,144,141,147,bus
177,51,5,256,170,261,bus
171,69,7,150,144,179,bus
191,71,6,161,128,135,bus
223,64,5,250,169,239,bus
188,68,6,171,129,137,bus
191,63,6,192,147,174,bus
190,70,7,155,145,166,bus
165,68,6,154,146,190,bus
162,66,5,153,136,154,bus
156,67,7,150,144,159,bus
139,62,7,149,145,171,bus
153,64,6,154,145,184,bus
188,57,7,236,164,253,bus
126,56,6,148,145,171,bus
141,61,7,153,149,199,bus
235,67,6,262,171,260,bus
166,66,7,148,134,143,bus
205,103,52,149,144,188,bus
165,70,7,144,141,172,bus
137,60,7,152,151,179,bus
148,62,7,147,143,153,bus
164,48,5,247,165,243,bus
148,64,7,150,144,171,bus
159,66,6,151,146,189,bus
187,59,6,213,152,210,bus
181,52,6,257,169,261,bus
160,66,7,144,147,169,bus
171,68,6,152,148,192,bus
180,65,7,173,158,194,bus
123,54,8,151,146,176,bus
155,66,7,146,144,176,bus
133,60,7,150,146,176,bus
148,64,6,146,142,180,bus
170,52,7,236,160,250,bus
199,71,7,166,150,180,bus
182,68,5,155,124,117,bus
199,65,6,201,159,205,bus
183,51,6,265,174,255,bus
121,54,7,150,147,175,bus
152,63,6,149,145,176,bus
130,56,7,150,145,172,bus
146,64,6,151,147,195,bus
113,50,8,152,141,171,bus
208,66,5,208,161,218,bus
193,64,6,192,146,163,bus
154,69,22,151,147,186,bus
156,70,6,151,147,198,bus
185,69,6,160,130,133,bus
155,65,22,149,139,155,bus
199,68,6,185,153,171,bus
186,72,8,153,144,178,bus
139,60,6,153,146,178,bus
139,59,6,150,146,183,bus
169,68,7,150,138,157,bus
125,55,8,149,145,172,bus
188,76,7,150,136,148,bus
128,56,8,150,144,173,bus
113,50,7,150,147,189,bus
141,62,7,152,145,179,bus
123,55,7,150,146,173,bus
136,61,7,147,143,183,bus
185,75,7,154,147,192,bus
194,70,6,167,148,171,bus
201,69,7,184,145,183,bus
151,61,8,143,143,173,bus
154,65,7,151,143,160,bus
125,54,7,150,140,172,bus
213,71,5,186,145,182,bus
160,51,7,217,165,208,bus
122,56,7,148,144,186,bus
207,72,7,184,161,198,bus
125,57,6,151,147,188,bus
173,69,7,150,142,177,bus
120,53,7,149,145,163,bus
158,68,7,151,145,173,bus
219,74,7,190,154,209,bus
246,75,6,239,167,228,bus
155,63,7,146,135,145,bus
173,65,6,153,143,172,bus
126,57,8,148,145,186,bus
205,71,5,176,138,151,bus
124,56,6,149,144,171,bus
206,70,6,183,156,198,bus
150,64,7,154,144,177,bus
152,62,7,150,142,164,bus
129,56,6,152,150,177,bus
161,55,5,186,141,162,bus
164,64,7,151,131,139,bus
159,65,5,155,138,157,bus
171,61,6,172,139,141,bus
139,59,7,149,142,156,bus
183,60,7,197,148,201,bus
180,71,6,152,131,143,bus
172,50,6,255,169,264,bus
120,53,8,151,146,190,bus
177,74,19,152,143,168,bus
216,74,6,184,145,154,bus
186,68,6,164,136,129,bus
123,54,7,151,147,185,bus
202,74,5,163,149,191,bus
147,65,8,147,145,168,bus
226,74,5,202,148,186,bus
184,55,7,234,171,229,bus
209,75,6,171,138,161,bus
187,71,5,161,144,186,bus
156,64,7,151,143,157,bus
203,65,5,209,159,214,bus
172,62,8,157,125,126,opel
203,63,11,220,167,214,opel
214,67,9,205,151,202,opel
196,60,12,221,173,214,opel
219,68,10,224,178,213,opel
180,60,7,177,131,145,opel
156,57,8,161,149,197,opel
210,66,8,192,151,169,opel
176,59,9,169,132,148,opel
228,74,10,212,175,223,opel
211,65,10,214,156,218,opel
195,61,9,193,150,161,opel
116,56,6,123,124,121,opel
162,53,10,212,163,204,opel
202,65,10,189,143,166,opel
230,67,12,218,174,226,opel
154,57,6,150,146,180,opel
222,67,9,198,163,226,opel
183,64,8,168,150,182,opel
231,70,11,220,163,206,opel
191,62,8,176,137,151,opel
203,63,9,195,162,210,opel
172,60,8,147,142,160,opel
138,57,8,139,127,127,opel
141,57,8,153,133,153,opel
227,70,11,224,186,218,opel
215,62,10,205,158,168,opel
163,52,10,206,164,193,opel
213,64,10,203,157,186,opel
178,61,8,178,132,157,opel
222,68,10,208,154,204,opel
130,53,9,134,132,123,opel
206,62,13,222,180,213,opel
160,62,6,140,123,129,opel
168,55,11,214,175,224,opel
164,60,8,156,144,174,opel
158,59,8,153,126,136,opel
177,55,10,210,166,215,opel
172,61,8,167,134,145,opel
183,59,10,210,173,218,opel
181,62,8,167,148,193,opel
183,62,7,176,138,150,opel
122,56,6,139,131,142,opel
230,68,11,218,171,210,opel
197,63,10,185,142,139,opel
130,55,7,122,130,144,opel
186,59,10,213,172,217,opel
128,57,8,131,127,139,opel
225,71,10,214,164,199,opel
219,68,9,201,148,201,opel
212,67,10,201,156,174,opel
159,59,7,147,131,123,opel
186,62,7,164,145,178,opel
186,57,11,214,162,189,opel
193,62,8,186,147,151,opel
224,67,9,217,162,206,opel
211,70,10,189,141,178,opel
231,74,11,220,172,218,opel
145,55,7,138,138,158,opel
129,55,7,135,136,165,opel
164,59,7,159,146,188,opel
181,56,9,219,175,216,opel
140,56,7,130,120,114,opel
140,55,6,145,139,166,opel
193,57,10,212,162,184,opel
156,56,7,163,129,140,opel
189,56,11,223,174,200,opel
170,58,8,165,149,164,opel
216,68,11,205,169,216,opel
209,67,10,195,147,194,opel
194,57,11,214,161,172,opel
178,62,9,161,135,132,opel
204,64,10,185,159,193,opel
161,54,10,215,175,221,opel
198,63,9,181,155,189,opel
185,57,10,219,170,217,opel
166,60,7,157,148,186,opel
194,63,9,175,142,138,opel
212,68,10,209,162,224,opel
201,61,10,181,158,180,opel
171,50,11,221,172,201,opel
111,54,6,126,128,147,opel
121,52,4,152,133,163,opel
212,64,11,201,155,162,opel
213,67,10,200,163,214,opel
184,54,12,216,172,187,opel
194,62,11,212,175,219,opel
209,67,11,218,170,196,opel
218,64,12,222,174,199,opel
194,62,9,172,135,121,opel
144,59,6,147,132,136,opel
208,65,12,226,182,216,opel
152,57,5,138,122,120,opel
158,55,9,169,130,155,opel
220,66,11,221,176,236,opel
138,62,6,126,132,139,opel
185,59,11,216,173,219,opel
149,55,7,147,128,134,opel
165,60,7,167,147,201,opel
218,64,11,202,164,192,opel
128,56,5,132,130,141,opel
196,62,9,193,161,244,opel
197,65,9,183,137,153,opel
209,65,8,201,147,189,opel
179,54,12,208,159,183,opel
177,59,8,171,152,196,opel
144,54,7,154,127,145,opel
191,66,6,162,143,180,opel
142,57,7,135,126,128,opel
195,63,8,177,156,201,opel
202,61,11,221,179,212,opel
216,69,11,219,176,219,opel
189,57,10,222,177,211,opel
193,62,10,178,154,171,opel
225,68,10,222,165,207,opel
206,63,9,186,156,176,opel
230,70,11,226,182,207,opel
209,64,11,217,173,216,opel
127,54,5,135,131,162,opel
127,53,9,142,135,144,opel
110,57,3,114,119,121,opel
230,69,11,219,176,246,opel
197,63,11,215,172,219,opel
169,60,8,161,131,136,opel
199,62,9,200,166,241,opel
223,70,10,223,177,218,opel
204,67,9,189,161,240,opel
153,59,7,154,145,172,opel
222,72,12,221,177,218,opel
154,59,6,142,128,120,opel
197,60,11,211,160,187,opel
188,62,10,183,141,168,opel
127,56,7,128,124,133,opel
158,56,7,149,143,168,opel
127,56,7,127,125,123,opel
199,65,9,196,146,199,opel
123,58,6,134,128,148,opel
204,62,12,227,178,204,opel
153,61,7,146,127,142,opel
131,55,7,150,134,165,opel
125,59,5,133,128,146,opel
179,57,11,220,170,198,opel
190,58,10,222,171,203,opel
169,59,7,162,133,130,opel
207,63,11,227,180,205,opel
179,64,8,157,126,142,opel
172,53,10,219,166,218,opel
177,61,8,164,129,130,opel
145,56,8,142,143,174,opel
140,54,7,153,134,139,opel
207,60,11,218,167,197,opel
215,69,10,200,147,200,opel
151,59,8,150,134,133,opel
219,69,11,225,178,216,opel
136,54,6,149,144,168,opel
195,61,11,207,152,193,opel
221,66,11,209,163,212,opel
175,58,10,215,175,222,opel
149,57,8,156,133,157,opel
125,58,5,133,127,145,opel
204,62,12,200,158,164,opel
197,65,9,178,141,149,opel
135,59,5,130,130,139,opel
190,64,9,177,153,209,opel
232,71,10,205,153,197,opel
172,62,7,149,124,125,opel
197,62,10,188,148,159,opel
170,54,10,216,173,218,opel
196,63,9,190,161,235,opel
155,60,7,152,141,161,opel
121,58,5,114,122,138,opel
195,65,6,178,156,210,opel
186,57,11,206,156,186,opel
162,60,8,150,125,137,opel
201,65,9,204,166,246,opel
194,69,8,168,133,151,opel
169,62,7,162,131,147,opel
192,58,11,217,166,191,opel
168,53,11,224,178,217,opel
215,69,10,208,169,223,opel
130,59,8,134,126,135,opel
206,62,10,198,161,204,opel
167,53,10,217,174,223,opel
211,62,8,200,161,200,opel
221,69,11,218,173,250,opel
177,56,10,219,171,223,opel
182,59,10,215,177,223,opel
209,64,11,197,152,159,opel
147,58,6,132,137,151,opel
166,59,7,151,141,174,opel
163,53,10,213,173,201,opel
