@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
104,53,101,31,saab
97,44,96,36,saab
86,36,77,45,saab
117,52,110,31,saab
89,43,77,46,saab
82,37,59,51,saab
92,45,76,41,saab
102,48,105,33,saab
104,53,108,31,saab
96,40,78,38,saab
103,46,106,33,saab
106,54,101,30,saab
82,37,66,52,saab
106,49,106,32,saab
85,33,40,61,saab
107,55,103,30,saab
110,51,104,31,saab
93,42,98,36,saab
91,45,79,40,saab
90,36,85,41,saab
100,46,81,40,saab
99,53,105,32,saab
106,52,101,33,saab
109,47,96,33,saab
95,47,81,39,saab
109,49,109,32,saab
86,41,64,45,saab
95,53,95,34,saab
98,38,78,39,saab
98,42,90,37,saab
92,36,78,43,saab
91,38,75,47,saab
85,40,72,50,saab
105,45,100,33,saab
83,37,54,52,saab
108,53,104,31,saab
101,51,98,34,saab
104,53,101,32,saab
90,34,66,47,saab
104,53,108,31,saab
107,54,98,31,saab
107,53,108,31,saab
104,51,108,31,saab
99,43,89,35,saab
106,52,108,31,saab
93,44,98,36,saab
98,51,96,35,saab
106,48,107,32,saab
89,47,83,40,saab
95,37,71,43,saab
90,36,57,56,saab
107,54,98,31,saab
91,40,83,41,saab
108,54,109,31,saab
86,41,66,49,saab
98,39,81,40,saab
88,38,58,46,saab
105,51,108,30,saab
86,40,66,49,saab
93,51,90,36,saab
96,50,94,35,saab
90,50,90,36,saab
108,49,103,32,saab
90,37,80,42,saab
105,51,105,35,saab
93,39,86,39,saab
105,54,100,30,saab
88,45,82,43,saab
109,54,103,31,saab
104,50,96,35,saab
87,39,74,44,saab
91,43,72,45,saab
90,49,83,37,saab
108,54,103,32,saab
90,39,85,41,saab
92,37,80,43,saab
83,37,54,50,saab
101,56,101,31,saab
95,46,104,35,saab
91,36,83,47,saab
88,37,57,50,saab
89,38,77,45,saab
97,53,105,30,saab
86,36,78,50,saab
96,45,101,34,saab
108,52,109,31,saab
91,39,83,38,saab
92,38,71,43,saab
93,45,81,41,saab
90,36,74,42,saab
104,49,105,32,saab
107,54,96,31,saab
85,34,53,58,saab
86,38,86,39,saab
89,35,52,55,saab
85,33,50,59,saab
109,53,109,31,saab
91,36,77,42,saab
109,54,109,31,saab
100,52,104,32,saab
92,46,83,41,saab
88,48,90,38,saab
97,45,76,42,saab
87,41,66,46,saab
96,40,100,37,saab
87,38,71,49,saab
105,54,106,32,saab
103,53,106,32,saab
104,55,107,31,saab
91,39,83,39,saab
110,46,100,34,saab
119,54,106,31,saab
80,38,63,46,saab
97,42,101,36,saab
98,50,90,37,saab
112,50,110,31,saab
82,36,54,54,saab
107,54,108,31,saab
96,41,69,47,saab
93,47,88,38,saab
87,37,60,52,saab
105,53,108,31,saab
107,56,104,31,saab
100,54,102,33,saab
89,40,89,37,saab
115,53,100,30,saab
93,39,87,40,saab
104,52,100,33,saab
101,48,85,38,saab
97,55,104,32,saab
85,40,66,48,saab
103,49,100,35,saab
89,48,85,39,saab
104,54,101,31,saab
91,40,98,38,saab
90,43,72,42,saab
96,37,74,42,saab
93,37,76,40,saab
91,36,72,44,saab
84,38,83,45,saab
102,51,104,32,saab
106,53,98,31,saab
104,54,100,31,saab
89,45,77,41,saab
110,53,104,32,saab
111,53,108,32,saab
89,38,82,43,saab
108,54,105,33,saab
84,36,75,48,saab
104,50,106,32,saab
90,39,89,38,saab
98,48,101,33,saab
101,55,108,31,saab
108,51,100,34,saab
86,40,62,45,saab
84,35,53,59,saab
89,37,54,50,saab
100,46,104,34,saab
107,53,108,32,saab
84,44,77,44,saab
91,39,88,38,saab
98,47,109,34,saab
94,46,77,42,saab
101,52,101,35,saab
99,48,104,33,saab
78,38,63,47,saab
113,48,98,33,saab
89,42,80,46,saab
95,45,105,36,saab
107,51,103,31,saab
108,53,103,30,saab
115,51,100,34,saab
98,55,104,32,saab
86,40,63,50,saab
102,55,101,30,saab
88,42,77,47,saab
93,34,72,50,saab
82,36,51,50,saab
93,43,76,44,saab
97,44,95,35,saab
101,46,105,34,saab
101,51,112,32,saab
103,51,105,32,saab
94,43,69,43,saab
85,38,75,46,saab
79,38,55,48,saab
112,50,104,32,saab
108,56,103,30,saab
89,36,69,48,saab
88,37,63,54,saab
90,34,66,54,saab
93,39,63,52,saab
92,37,86,42,saab
94,40,85,39,saab
85,40,75,44,saab
103,52,103,28,bus
92,37,75,40,bus
98,35,70,41,bus
102,54,98,29,bus
85,43,66,45,bus
95,43,71,45,bus
94,43,64,43,bus
86,46,70,45,bus
93,45,86,35,bus
106,54,100,27,bus
86,43,70,46,bus
82,45,68,46,bus
98,40,77,37,bus
114,57,102,26,bus
90,38,79,40,bus
90,42,63,45,bus
95,43,83,36,bus
84,42,76,44,bus
81,44,68,45,bus
84,44,65,46,bus
94,44,84,35,bus
100,50,98,30,bus
101,56,104,26,bus
99,41,77,36,bus
86,45,70,45,bus
86,42,64,46,bus
81,45,68,44,bus
92,39,76,43,bus
88,43,70,44,bus
89,40,76,44,bus
106,54,103,27,bus
88,46,74,43,bus
88,39,70,44,bus
107,57,106,26,bus
85,43,66,45,bus
80,43,68,45,bus
108,57,106,26,bus
85,45,70,45,bus
82,45,66,45,bus
86,45,73,44,bus
107,57,102,28,bus
97,43,73,42,bus
83,44,70,46,bus
82,43,73,44,bus
85,43,69,44,bus
83,46,68,44,bus
87,41,76,45,bus
88,40,73,44,bus
86,43,69,46,bus
94,37,72,41,bus
80,43,68,46,bus
99,51,88,32,bus
81,45,68,45,bus
95,36,73,41,bus
87,44,65,46,bus
87,42,60,46,bus
82,41,70,45,bus
97,45,72,40,bus
85,45,65,45,bus
98,51,84,35,bus
107,55,98,27,bus
109,55,96,28,bus
94,37,73,42,bus
83,46,71,44,bus
98,46,88,34,bus
83,41,70,46,bus
97,37,70,43,bus
87,42,70,45,bus
96,44,68,41,bus
82,44,63,45,bus
99,38,74,39,bus
104,52,94,31,bus
85,43,66,46,bus
94,45,72,41,bus
107,55,103,27,bus
102,45,85,33,bus
85,45,70,45,bus
100,51,89,32,bus
83,42,66,45,bus
87,43,65,46,bus
80,43,71,45,bus
82,44,72,44,bus
93,37,73,43,bus
85,43,66,46,bus
94,39,75,42,bus
105,50,93,30,bus
81,43,68,45,bus
92,37,75,42,bus
87,44,70,45,bus
107,57,106,26,bus
91,46,75,42,bus
83,46,73,45,bus
80,44,68,45,bus
81,46,71,44,bus
106,53,98,28,bus
106,54,105,27,bus
84,43,70,45,bus
86,45,66,46,bus
90,41,71,44,bus
99,48,79,35,bus
96,43,82,34,bus
86,44,70,45,bus
80,44,68,45,bus
101,53,91,32,bus
97,49,76,36,bus
82,44,72,46,bus
86,43,66,44,bus
109,52,95,29,bus
81,46,71,44,bus
85,41,66,45,bus
88,44,71,46,bus
86,44,65,45,bus
87,39,74,45,bus
98,49,84,34,bus
105,51,80,33,bus
98,52,86,33,bus
85,42,66,45,bus
83,44,68,45,bus
95,47,73,38,bus
94,44,70,42,bus
81,45,68,45,bus
85,42,66,46,bus
85,43,64,46,bus
91,42,66,44,bus
100,50,81,34,bus
106,57,107,26,bus
108,56,102,28,bus
100,41,75,36,bus
94,45,89,35,bus
91,42,84,38,bus
89,40,72,45,bus
86,42,65,45,bus
86,46,73,45,bus
91,45,76,44,bus
84,43,76,43,bus
88,44,70,46,bus
89,42,70,45,bus
96,37,74,39,bus
89,41,75,43,bus
113,57,109,26,bus
91,40,76,44,bus
98,46,77,39,bus
100,49,80,35,bus
96,41,77,36,bus
98,38,72,38,bus
87,43,70,44,bus
88,40,78,41,bus
102,53,101,28,bus
81,47,69,44,bus
86,45,71,45,bus
89,44,72,46,bus
82,43,73,44,bus
93,49,79,37,bus
86,42,65,45,bus
89,41,76,42,bus
85,42,59,46,bus
111,58,105,26,bus
101,42,62,43,bus
99,51,92,31,bus
82,43,71,45,bus
96,47,77,38,bus
102,45,83,33,bus
87,39,70,46,bus
102,51,92,30,bus
96,49,98,31,bus
80,45,71,45,bus
86,43,61,46,bus
83,42,71,45,bus
97,47,88,33,bus
87,46,71,44,bus
85,42,64,46,bus
89,44,68,45,bus
105,51,93,30,bus
86,47,75,43,bus
100,36,73,40,bus
79,43,72,44,bus
94,43,68,46,bus
92,45,74,41,bus
87,42,76,42,bus
85,44,70,45,bus
110,58,106,26,bus
109,55,102,27,bus
79,47,74,43,bus
98,38,70,39,bus
100,47,70,40,bus
100,48,95,32,bus
85,42,66,46,bus
82,44,72,44,bus
94,49,79,37,bus
86,43,68,44,bus
90,38,75,43,bus
85,42,70,45,bus
104,49,89,31,bus
91,42,81,38,bus
96,46,70,39,bus
84,45,68,46,bus
98,55,108,30,opel
92,43,69,44,opel
97,46,94,34,opel
93,42,88,36,opel
92,42,75,45,opel
82,39,86,45,opel
85,40,66,44,opel
94,37,74,41,opel
97,55,103,31,opel
82,40,73,44,opel
79,40,80,47,opel
92,39,91,37,opel
96,55,103,32,opel
100,57,107,30,opel
78,36,51,57,opel
106,49,107,31,opel
78,36,60,55,opel
103,55,103,31,opel
100,55,101,30,opel
108,51,103,31,opel
97,48,94,36,opel
99,46,105,34,opel
91,35,66,45,opel
99,55,101,30,opel
97,59,108,30,opel
111,54,103,30,opel
104,55,109,30,opel
107,52,103,31,opel
98,54,104,32,opel
101,53,103,34,opel
100,44,93,35,opel
103,49,107,32,opel
101,53,108,31,opel
106,55,96,30,opel
90,41,78,48,opel
93,35,78,45,opel
83,39,69,49,opel
93,45,73,42,opel
102,43,96,36,opel
101,51,105,32,opel
104,52,110,30,opel
77,38,75,46,opel
96,52,104,33,opel
107,52,101,33,opel
97,37,78,41,opel
103,55,100,31,opel
97,47,81,39,opel
99,50,88,35,opel
102,52,98,31,opel
98,45,76,42,opel
100,58,109,30,opel
97,37,76,41,opel
80,34,42,59,opel
103,48,96,32,opel
95,46,105,33,opel
85,39,77,45,opel
99,52,104,32,opel
73,37,53,55,opel
95,42,96,37,opel
102,51,108,31,opel
108,55,105,30,opel
102,54,98,31,opel
98,55,101,31,opel
80,36,69,53,opel
107,56,105,30,opel
80,39,60,49,opel
103,56,100,31,opel
89,42,75,46,opel
91,45,75,44,opel
104,52,96,35,opel
95,49,92,37,opel
91,52,98,34,opel
85,38,63,55,opel
104,54,91,31,opel
85,38,72,51,opel
102,54,101,30,opel
109,49,103,32,opel
105,54,105,33,opel
104,58,103,30,opel
101,56,100,31,opel
91,46,101,34,opel
88,39,88,40,opel
91,41,93,36,opel
89,36,69,50,opel
93,47,83,40,opel
89,36,72,48,opel
98,48,101,31,opel
106,49,96,36,opel
98,58,101,30,opel
99,57,100,30,opel
93,35,72,44,opel
96,47,103,33,opel
99,55,101,30,opel
98,55,101,30,opel
92,42,69,48,opel
80,37,57,54,opel
103,57,105,30,opel
89,38,78,46,opel
94,38,84,39,opel
109,48,107,32,opel
86,39,84,43,opel
103,48,101,33,opel
91,49,86,37,opel
105,52,107,31,opel
100,49,96,35,opel
101,56,100,32,opel
87,45,82,42,opel
89,41,75,46,opel
94,46,79,40,opel
103,50,98,34,opel
89,44,82,45,opel
103,41,83,38,opel
105,55,96,30,opel
87,49,86,37,opel
101,55,101,30,opel
97,55,96,31,opel
88,40,69,51,opel
99,57,109,30,opel
103,54,107,30,opel
101,56,100,30,opel
92,38,74,41,opel
101,55,107,30,opel
81,38,53,51,opel
95,51,96,35,opel
76,38,58,51,opel
103,56,105,32,opel
89,50,83,37,opel
91,38,76,40,opel
85,37,80,44,opel
101,48,107,32,opel
93,34,66,51,opel
92,52,93,35,opel
80,38,64,51,opel
102,54,100,31,opel
77,38,63,52,opel
88,38,77,41,opel
88,36,78,48,opel
100,52,109,30,opel
82,38,53,51,opel
99,54,100,33,opel
100,51,109,30,opel
107,53,103,32,opel
93,43,78,44,opel
106,52,107,33,opel
79,39,72,48,opel
103,54,107,30,opel
92,46,79,41,opel
86,38,89,39,opel
97,50,108,31,opel
85,36,72,54,opel
97,41,92,37,opel
95,57,104,31,opel
95,48,104,32,opel
95,45,80,40,opel
97,48,105,33,opel
88,35,50,59,opel
88,34,69,48,opel
106,53,98,31,opel
95,43,96,35,opel
84,40,71,45,opel
105,54,96,30,opel
109,51,100,34,opel
89,40,69,50,opel
105,56,98,31,opel
104,55,105,32,opel
106,55,98,31,opel
90,36,78,42,opel
85,36,78,45,opel
88,40,79,38,opel
104,57,103,30,opel
94,39,89,38,opel
96,54,104,31,opel
88,44,77,44,opel
87,45,77,44,opel
86,44,77,44,opel
104,57,103,30,opel
89,44,80,40,opel
84,38,74,49,opel
86,40,75,48,opel
106,53,98,30,opel
87,38,85,40,opel
107,45,92,35,opel
104,56,96,30,opel
105,46,100,34,opel
84,39,90,37,opel
100,51,109,30,opel
104,55,105,30,opel
101,52,105,31,opel
86,36,66,52,opel
100,51,104,32,opel
102,54,98,31,opel
