@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
102,64,10,33,64,saab
115,64,11,30,71,saab
105,61,10,33,67,saab
86,59,4,49,74,saab
90,59,8,42,61,saab
89,63,6,48,66,saab
107,65,11,31,72,saab
108,65,11,32,71,saab
104,59,11,31,72,saab
92,60,7,42,68,saab
88,60,8,38,68,saab
106,61,10,32,70,saab
83,55,4,52,81,saab
93,69,8,36,70,saab
96,67,9,35,67,saab
90,59,7,47,61,saab
110,57,12,31,68,saab
85,57,3,61,86,saab
91,53,6,47,69,saab
96,58,7,38,68,saab
106,64,9,32,68,saab
93,63,9,36,70,saab
110,61,9,34,65,saab
104,66,10,32,73,saab
108,56,11,31,72,saab
89,59,8,43,70,saab
95,59,7,39,67,saab
109,66,11,31,70,saab
105,63,12,31,71,saab
90,62,8,38,70,saab
87,58,6,46,79,saab
91,59,7,39,67,saab
93,58,7,52,63,saab
91,63,9,38,69,saab
101,61,10,34,66,saab
108,73,10,30,73,saab
98,61,9,37,61,saab
93,56,6,50,63,saab
85,54,7,46,75,saab
93,57,7,44,69,saab
91,61,8,47,63,saab
117,65,12,31,66,saab
86,56,6,49,74,saab
78,51,6,47,77,saab
97,63,9,36,66,saab
85,53,4,59,83,saab
89,64,8,39,64,saab
87,53,8,49,75,saab
88,58,5,54,74,saab
105,69,10,30,73,saab
90,60,8,42,61,saab
91,56,7,42,65,saab
101,60,10,34,67,saab
84,55,6,48,71,saab
90,64,6,41,66,saab
85,56,7,44,76,saab
87,57,6,52,71,saab
101,62,9,35,67,saab
99,63,8,35,68,saab
102,67,12,30,71,saab
107,62,12,31,71,saab
101,72,10,31,72,saab
107,63,11,31,69,saab
86,60,7,45,66,saab
96,58,8,37,68,saab
98,59,11,34,61,saab
95,66,9,35,68,saab
104,68,11,31,71,saab
88,58,8,47,64,saab
86,60,9,39,68,saab
103,66,10,33,70,saab
104,61,10,31,74,saab
91,60,8,44,63,saab
108,62,11,33,68,saab
108,51,5,26,87,bus
85,53,7,46,85,bus
80,56,7,45,79,bus
81,61,7,44,80,bus
106,47,4,27,85,bus
89,63,7,45,72,bus
100,70,7,40,68,bus
84,64,7,44,75,bus
97,71,5,40,70,bus
85,55,7,46,85,bus
86,56,6,45,83,bus
97,66,7,43,65,bus
98,68,5,41,71,bus
86,56,7,45,84,bus
94,72,6,41,70,bus
82,64,7,45,72,bus
84,54,8,45,81,bus
105,54,4,30,83,bus
85,56,7,45,82,bus
89,62,7,45,76,bus
86,56,7,44,81,bus
81,64,6,44,75,bus
86,56,6,46,86,bus
81,64,7,45,80,bus
82,52,7,44,82,bus
88,66,7,44,69,bus
107,49,7,27,83,bus
108,75,6,28,82,bus
98,74,7,34,74,bus
80,53,8,45,80,bus
82,64,7,44,80,bus
80,60,7,45,81,bus
84,64,6,46,75,bus
95,73,6,41,71,bus
83,64,7,45,74,bus
102,65,5,33,79,bus
104,54,4,31,78,bus
104,66,5,31,76,bus
89,76,7,44,72,bus
98,68,6,39,71,bus
89,73,7,42,74,bus
98,69,5,38,70,bus
99,68,6,35,74,bus
100,70,6,35,73,bus
100,63,6,30,77,bus
86,62,7,44,75,bus
87,51,6,46,85,bus
85,58,8,45,79,bus
105,71,6,33,75,bus
87,66,6,45,70,bus
92,74,7,41,70,bus
100,73,6,40,72,bus
93,65,7,37,70,bus
106,67,4,27,88,bus
83,61,8,45,74,bus
89,66,7,46,69,bus
89,66,5,43,72,bus
98,61,6,37,72,bus
88,61,8,46,68,bus
106,67,6,26,86,bus
84,75,7,43,77,bus
102,72,4,28,85,bus
96,55,5,34,75,bus
114,52,6,26,85,bus
96,70,7,41,67,bus
85,57,6,45,86,bus
86,64,6,45,82,bus
102,60,6,30,80,bus
88,73,6,41,73,bus
94,71,5,37,71,bus
103,52,7,28,82,bus
90,68,7,44,71,bus
97,73,7,36,72,bus
98,71,7,39,69,bus
88,68,7,44,69,bus
81,53,6,45,86,bus
91,75,6,38,69,bus
98,72,7,35,72,bus
107,59,7,27,80,bus
94,74,6,35,73,bus
88,74,19,44,76,bus
86,54,6,46,87,bus
84,55,8,46,82,bus
109,58,4,29,82,bus
85,65,22,45,75,bus
94,71,7,42,67,bus
105,51,7,30,81,bus
89,50,7,45,88,bus
85,54,6,46,88,bus
86,53,8,46,85,bus
97,60,7,33,74,bus
94,69,7,43,68,bus
87,66,6,44,73,bus
81,60,7,45,81,bus
102,61,6,29,79,bus
86,57,8,46,86,bus
95,64,6,45,67,bus
92,71,6,40,69,bus
98,69,5,33,75,bus
94,72,8,42,70,bus
85,56,8,45,81,bus
94,67,6,46,65,bus
82,61,7,46,81,bus
85,53,7,45,85,bus
96,59,6,31,77,bus
83,65,7,46,71,bus
107,55,7,28,77,bus
83,67,7,45,78,bus
100,71,5,36,72,bus
86,65,8,45,77,bus
94,72,8,42,67,bus
96,70,6,39,69,bus
98,63,6,34,73,bus
87,65,5,42,76,bus
87,56,6,46,87,bus
94,71,5,35,71,bus
87,72,7,44,76,bus
91,69,7,44,69,bus
97,65,6,42,66,bus
91,75,7,42,72,bus
109,51,6,27,84,bus
86,70,6,45,71,bus
96,64,5,36,74,bus
101,67,6,43,65,bus
86,63,6,44,71,bus
100,68,7,32,73,bus
85,56,6,46,85,bus
111,51,6,26,85,bus
85,54,7,45,81,bus
83,59,6,44,74,bus
83,70,6,44,80,bus
85,62,7,44,84,bus
100,65,6,32,74,bus
99,69,6,36,72,bus
93,69,7,35,72,bus
87,67,7,45,72,bus
82,54,7,45,81,bus
88,68,6,43,71,bus
99,66,6,39,71,bus
81,73,6,44,75,bus
113,56,6,26,85,bus
100,67,6,34,74,bus
83,69,5,46,69,bus
80,59,8,45,80,bus
87,59,7,45,78,bus
101,53,6,26,83,bus
92,70,6,42,71,bus
90,64,7,43,66,bus
91,69,5,38,68,bus
85,58,7,46,83,bus
85,55,7,45,83,bus
85,103,52,45,127,bus
87,56,8,46,85,bus
86,68,6,43,74,bus
95,69,6,36,68,bus
93,68,7,43,68,bus
79,62,8,44,78,bus
86,50,8,45,85,bus
91,66,7,44,67,bus
102,64,6,33,76,bus
94,69,6,41,69,bus
79,61,7,43,77,bus
87,75,6,45,69,bus
87,61,7,46,69,bus
101,65,6,32,78,bus
85,54,7,46,87,bus
82,65,7,44,76,bus
81,56,7,44,81,bus
95,70,7,38,69,bus
81,69,22,45,88,bus
109,57,6,28,85,bus
83,59,6,45,75,bus
86,54,6,46,87,bus
82,68,7,45,78,bus
96,74,5,39,72,bus
107,50,6,26,85,bus
90,55,7,45,81,bus
110,51,6,26,83,bus
80,53,7,46,81,bus
82,64,6,46,80,bus
80,54,8,45,85,bus
106,48,5,27,84,bus
82,126,52,45,119,bus
88,70,7,46,71,bus
92,71,6,43,72,bus
91,67,7,44,68,bus
99,62,5,32,77,bus
86,54,7,45,85,bus
106,47,4,28,82,bus
82,68,7,44,80,bus
107,51,8,26,83,bus
99,65,5,31,78,bus
85,56,8,46,82,bus
96,72,6,38,69,bus
90,69,6,40,66,bus
86,57,6,45,82,bus
92,62,8,37,67,opel
107,62,10,35,64,opel
104,69,11,30,71,opel
100,70,11,30,72,opel
91,62,9,34,69,opel
86,59,9,39,67,opel
100,63,11,30,72,opel
95,68,9,33,69,opel
106,60,12,30,72,opel
92,60,8,45,62,opel
103,63,9,38,65,opel
97,60,8,41,72,opel
109,59,10,34,64,opel
100,62,8,35,66,opel
103,71,10,32,71,opel
98,61,11,31,71,opel
89,55,6,46,71,opel
102,71,10,31,71,opel
103,62,12,33,66,opel
98,59,10,32,73,opel
95,65,10,35,71,opel
79,53,9,48,77,opel
84,57,8,49,72,opel
80,56,6,49,80,opel
97,65,10,31,72,opel
101,63,9,34,68,opel
107,57,11,31,66,opel
92,64,8,41,67,opel
95,67,9,32,74,opel
103,65,11,31,72,opel
97,64,8,39,70,opel
80,59,8,51,76,opel
97,70,11,30,70,opel
93,59,7,42,65,opel
107,66,11,32,66,opel
92,58,8,48,64,opel
101,57,13,30,71,opel
106,58,11,31,71,opel
89,58,6,50,61,opel
97,67,10,34,70,opel
104,53,10,30,74,opel
90,55,7,48,67,opel
97,62,8,41,62,opel
94,62,9,38,63,opel
107,64,11,33,65,opel
94,62,8,40,67,opel
89,56,7,46,76,opel
100,63,9,35,62,opel
102,53,10,31,76,opel
101,68,10,32,70,opel
82,57,8,44,75,opel
99,62,13,30,71,opel
80,56,7,53,70,opel
88,69,8,40,74,opel
97,63,10,37,63,opel
103,69,11,30,73,opel
95,65,9,37,67,opel
85,52,4,44,87,opel
96,58,10,31,75,opel
100,52,10,32,69,opel
105,61,9,34,65,opel
101,69,10,32,74,opel
101,61,11,30,74,opel
97,64,11,33,64,opel
111,50,11,30,69,opel
103,59,10,32,72,opel
79,55,7,47,76,opel
91,57,6,44,66,opel
89,57,7,50,66,opel
102,56,10,31,72,opel
98,65,12,30,71,opel
86,57,8,52,76,opel
98,60,7,42,69,opel
103,63,9,34,64,opel
104,67,12,30,67,opel
93,56,7,51,62,opel
80,55,6,54,81,opel
97,63,11,31,75,opel
93,60,8,45,67,opel
78,56,6,55,78,opel
82,54,7,45,71,opel
88,57,5,48,62,opel
104,59,9,35,67,opel
95,74,10,31,74,opel
109,57,11,32,65,opel
89,56,7,48,72,opel
88,62,6,48,66,opel
100,67,9,30,72,opel
104,69,11,30,73,opel
99,54,13,30,72,opel
101,54,12,31,68,opel
100,57,10,30,71,opel
102,53,10,31,72,opel
78,56,4,57,84,opel
106,62,8,33,67,opel
86,57,8,43,74,opel
99,66,11,30,70,opel
95,63,9,35,68,opel
93,60,7,40,73,opel
96,69,10,33,73,opel
100,70,11,30,73,opel
103,59,11,31,75,opel
100,68,10,30,73,opel
98,69,11,30,74,opel
98,53,11,30,73,opel
101,53,10,31,74,opel
102,63,10,36,65,opel
85,59,8,44,69,opel
97,63,9,36,64,opel
105,67,10,33,68,opel
87,60,8,42,70,opel
85,55,7,45,64,opel
97,54,10,31,75,opel
104,68,11,32,71,opel
101,62,12,30,73,opel
85,55,7,55,64,opel
85,53,9,51,65,opel
93,62,10,36,70,opel
104,74,11,30,73,opel
95,62,10,37,64,opel
105,64,11,31,72,opel
91,65,9,36,66,opel
89,54,6,45,68,opel
89,66,6,40,66,opel
105,57,10,30,75,opel
81,58,6,51,83,opel
77,59,5,52,79,opel
94,59,7,41,63,opel
99,62,9,33,70,opel
93,62,7,44,62,opel
106,63,11,30,71,opel
99,68,10,30,74,opel
84,55,7,45,80,opel
95,62,7,40,65,opel
88,62,7,38,66,opel
103,56,11,30,70,opel
92,56,7,44,63,opel
93,59,7,44,68,opel
73,54,6,55,82,opel
88,59,6,44,64,opel
101,68,10,32,73,opel
101,55,11,31,74,opel
96,67,9,33,67,opel
82,59,5,51,87,opel
106,61,10,36,62,opel
103,62,11,31,73,opel
109,62,10,32,65,opel
90,64,8,42,66,opel
89,61,7,46,69,opel
88,59,7,51,64,opel
99,64,10,35,66,opel
108,60,11,31,67,opel
87,64,9,37,67,opel
106,68,11,31,68,opel
104,70,10,30,75,opel
76,58,5,51,87,opel
89,65,6,37,71,opel
88,56,7,41,67,opel
105,60,11,31,66,opel
85,59,8,45,73,opel
84,60,7,37,71,opel
88,58,5,59,74,opel
85,56,7,54,70,opel
104,67,11,31,74,opel
87,59,7,44,75,opel
103,64,12,30,67,opel
94,55,9,39,69,opel
102,58,10,30,71,opel
86,60,7,44,72,opel
104,72,12,30,72,opel
98,70,9,31,72,opel
91,59,7,45,64,opel
107,61,11,30,72,opel
103,54,12,32,66,opel
87,61,8,40,63,opel
77,59,6,46,80,opel
91,65,9,34,73,opel
92,62,9,41,63,opel
91,63,8,37,67,opel
102,57,10,31,66,opel
108,68,11,30,69,opel
91,61,8,40,71,opel
83,54,5,49,69,opel
106,57,11,31,67,opel
80,57,3,59,87,opel
99,64,11,34,65,opel
96,65,9,32,74,opel
92,67,9,35,72,opel
99,55,10,32,73,opel
105,56,9,30,74,opel
86,62,6,48,72,opel
