@relation vehicle

@attribute Circularity numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
54,27,182,182,bus
43,45,179,183,bus
44,44,180,185,bus
42,46,180,182,bus
55,27,179,186,bus
46,43,189,195,bus
44,45,180,185,bus
40,45,192,196,bus
42,45,181,185,bus
46,39,200,203,bus
43,46,180,184,bus
45,33,195,193,bus
57,26,180,184,bus
45,46,181,184,bus
44,46,188,193,bus
53,32,192,192,bus
44,44,182,186,bus
40,44,193,197,bus
37,41,200,204,bus
35,41,202,205,bus
44,46,188,193,bus
55,27,186,184,bus
50,34,197,198,bus
41,45,184,191,bus
41,36,196,198,bus
45,45,179,184,bus
46,44,180,186,bus
50,30,186,184,bus
54,28,185,185,bus
43,45,180,183,bus
44,46,191,198,bus
45,44,189,196,bus
46,39,200,203,bus
46,42,192,199,bus
46,44,186,190,bus
49,31,190,189,bus
51,30,188,186,bus
44,46,179,182,bus
42,44,187,193,bus
56,28,186,185,bus
56,26,184,183,bus
43,44,181,185,bus
43,46,180,182,bus
43,43,185,190,bus
45,45,180,185,bus
55,27,184,183,bus
36,40,200,204,bus
45,35,195,198,bus
41,43,188,195,bus
43,43,199,206,bus
45,41,193,198,bus
43,45,195,200,bus
54,27,181,183,bus
44,45,180,183,bus
47,36,198,201,bus
51,33,194,194,bus
43,46,179,184,bus
46,39,196,200,bus
43,44,188,192,bus
45,35,194,197,bus
42,46,179,182,bus
43,44,184,187,bus
42,45,179,183,bus
37,39,196,200,bus
47,38,200,206,bus
43,46,180,182,bus
42,45,185,188,bus
39,44,193,201,bus
51,32,193,193,bus
45,46,184,188,bus
44,45,179,182,bus
57,26,182,184,bus
40,44,192,200,bus
45,45,181,184,bus
43,45,181,186,bus
49,35,198,199,bus
40,37,187,193,opel
49,37,192,199,opel
54,31,187,196,opel
46,34,186,194,opel
47,39,192,198,opel
42,46,191,198,opel
45,44,184,189,opel
55,32,189,196,opel
52,33,197,206,opel
38,51,177,184,opel
48,31,189,196,opel
46,40,200,208,opel
38,54,185,190,opel
35,59,182,187,opel
58,30,187,198,opel
52,35,193,200,opel
45,40,199,204,opel
54,32,186,195,opel
51,30,189,198,opel
54,31,186,198,opel
37,54,178,184,opel
54,30,189,198,opel
48,32,188,196,opel
36,55,178,185,opel
38,49,183,191,opel
52,33,193,203,opel
36,42,192,198,opel
54,30,190,198,opel
55,31,187,194,opel
41,38,197,206,opel
39,38,201,209,opel
55,30,188,197,opel
54,30,189,200,opel
34,51,201,207,opel
55,30,187,201,opel
48,32,195,206,opel
57,30,187,195,opel
35,45,197,203,opel
54,30,187,195,opel
55,30,187,196,opel
55,31,188,196,opel
52,31,187,196,opel
48,33,193,202,opel
40,47,181,193,opel
37,44,191,197,opel
36,57,177,184,opel
48,39,195,201,opel
53,31,190,201,opel
40,50,203,209,opel
49,35,197,205,opel
55,30,186,196,opel
49,37,198,206,opel
54,31,187,198,opel
55,30,186,198,opel
55,30,187,198,opel
45,42,190,196,opel
41,48,192,197,opel
54,31,187,195,opel
55,31,184,193,opel
52,31,186,194,opel
54,31,186,194,opel
41,37,197,204,opel
39,41,185,191,opel
55,31,185,194,opel
46,34,194,205,opel
38,51,179,188,opel
49,31,192,206,opel
56,31,188,199,opel
45,44,193,198,opel
38,51,188,198,opel
38,40,198,205,opel
44,35,193,198,opel
44,48,188,197,opel
35,46,197,202,opel
54,30,187,201,opel
43,35,190,197,opel
38,39,190,195,opel
57,30,186,196,opel
39,45,184,193,opel
55,31,185,193,opel
40,48,183,190,opel
44,45,188,193,opel
37,41,198,204,opel
52,33,192,201,opel
56,32,186,193,opel
36,48,187,192,opel
35,44,203,210,opel
49,33,189,196,opel
42,37,193,200,opel
50,37,189,194,opel
50,31,188,197,opel
40,44,180,183,opel
52,30,188,198,opel
41,36,193,200,opel
45,42,190,196,opel
39,49,187,190,opel
38,46,181,187,opel
49,32,192,201,opel
37,41,203,211,opel
46,40,191,198,opel
38,51,177,184,opel
39,43,183,190,opel
55,31,186,195,opel
45,35,195,203,opel
55,31,189,201,opel
50,35,194,201,opel
41,50,180,187,opel
38,40,189,198,opel
47,33,187,194,opel
48,32,190,202,opel
43,44,193,197,opel
53,32,191,201,opel
52,30,188,199,opel
39,45,183,189,opel
52,32,187,194,opel
48,36,199,203,opel
44,35,187,194,opel
40,45,180,186,opel
38,50,185,188,opel
47,41,187,193,opel
39,48,181,189,opel
56,30,189,196,opel
51,30,189,199,opel
55,30,186,196,opel
56,30,186,197,opel
51,34,196,202,opel
42,45,206,211,opel
52,35,188,195,opel
52,33,195,204,opel
39,40,186,192,opel
42,48,199,206,opel
46,41,191,198,opel
41,46,184,188,opel
51,31,190,200,opel
36,54,184,194,opel
34,48,204,210,opel
53,30,188,197,opel
55,31,188,197,opel
36,48,194,202,opel
53,34,191,198,opel
36,50,193,203,opel
57,30,185,198,opel
52,31,191,203,opel
44,44,202,208,opel
57,30,188,200,opel
58,30,187,196,opel
39,37,190,198,opel
40,38,189,199,opel
39,37,192,200,opel
45,42,195,201,opel
44,44,187,192,opel
42,36,189,197,opel
37,41,188,192,opel
49,36,202,209,opel
34,59,179,183,opel
54,31,186,196,opel
51,35,191,198,opel
36,42,198,205,opel
50,34,198,204,opel
36,53,183,191,opel
55,32,186,194,opel
56,31,186,194,opel
59,30,186,198,opel
57,30,186,195,opel
36,45,197,203,opel
48,32,186,193,opel
46,33,191,202,opel
38,41,192,198,opel
38,52,183,187,opel
55,30,187,195,opel
38,55,195,201,opel
53,31,188,198,opel
51,31,191,201,opel
52,33,194,201,opel
45,32,189,195,opel
58,30,185,196,opel
37,43,186,191,opel
51,32,186,195,opel
37,55,176,184,opel
56,31,185,192,opel
48,33,192,202,opel
56,32,188,196,opel
40,51,193,200,opel
46,35,191,200,opel
49,37,192,198,opel
40,44,181,187,opel
35,45,191,198,opel
55,30,191,202,opel
56,30,186,195,opel
57,31,186,193,opel
43,36,195,204,opel
