@relation vehicle

@attribute Distance_circularity numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
66,254,188,191,van
64,279,193,204,van
66,212,186,190,van
73,373,182,193,van
78,323,189,200,van
70,266,194,202,van
82,308,191,201,van
81,325,188,198,van
53,205,180,183,van
62,247,184,186,van
57,261,183,182,van
55,249,176,183,van
91,358,190,200,van
70,280,194,202,van
66,253,184,183,van
78,305,190,201,van
68,261,186,186,van
84,368,186,197,van
82,359,186,197,van
70,240,189,190,van
85,347,196,204,van
66,225,202,208,van
78,281,203,210,van
84,330,189,199,van
78,370,183,192,van
80,318,188,197,van
82,371,183,194,van
73,275,187,188,van
75,284,184,185,van
64,265,193,201,van
85,354,184,196,van
83,364,184,197,van
70,237,199,207,van
78,374,184,193,van
88,354,194,202,van
69,272,187,191,van
81,347,183,192,van
81,333,185,195,van
90,348,194,203,van
85,387,189,196,van
68,253,195,203,van
68,285,192,201,van
58,243,199,206,van
66,281,193,202,van
47,203,180,184,van
85,351,184,196,van
85,357,187,195,van
85,355,185,196,van
82,309,199,207,van
58,225,199,206,van
66,227,193,198,van
85,339,195,204,van
90,363,192,200,van
78,270,190,195,saab
77,293,198,205,saab
77,361,195,201,saab
81,425,191,198,saab
54,266,184,185,saab
104,629,187,196,saab
76,335,189,194,saab
54,229,180,184,saab
63,230,184,188,saab
101,721,187,201,saab
78,349,203,211,saab
66,274,183,189,saab
106,645,190,202,saab
77,390,194,201,saab
109,712,188,201,saab
106,640,189,199,saab
105,600,192,204,saab
98,691,187,197,saab
100,718,187,199,saab
109,635,191,202,saab
80,353,190,195,saab
98,696,187,199,saab
85,458,197,210,saab
53,197,185,189,saab
74,337,187,196,saab
110,692,192,206,saab
101,552,189,197,saab
98,681,188,197,saab
40,184,181,183,saab
77,373,193,199,saab
85,385,195,203,saab
109,709,189,201,saab
83,383,186,191,saab
100,583,191,198,saab
83,298,193,200,saab
58,319,180,183,saab
105,641,187,197,saab
112,667,190,206,saab
72,334,196,205,saab
103,677,188,201,saab
72,263,200,206,saab
86,418,197,204,saab
55,295,180,183,saab
105,623,191,201,saab
66,224,196,202,saab
96,533,191,199,saab
104,659,190,203,saab
59,264,179,185,saab
101,667,187,198,saab
72,314,184,189,saab
63,299,181,185,saab
77,344,183,187,saab
81,415,197,205,saab
101,607,192,204,saab
98,465,195,205,saab
103,709,187,197,saab
103,663,190,200,saab
106,638,189,200,saab
75,290,189,195,saab
108,694,188,201,saab
51,268,181,182,saab
66,279,186,190,saab
98,704,188,197,saab
52,220,181,184,saab
95,559,188,196,saab
76,405,192,197,saab
109,675,189,202,saab
88,457,191,198,saab
71,355,189,195,saab
101,584,189,197,saab
105,650,187,196,saab
108,712,189,203,saab
108,627,194,205,saab
75,318,183,188,saab
102,669,188,198,saab
76,370,198,206,saab
98,572,192,201,saab
71,277,181,186,saab
54,271,180,183,saab
72,260,191,195,saab
105,608,190,200,saab
104,578,189,197,saab
85,430,200,210,saab
105,713,186,200,saab
57,216,190,195,saab
74,367,197,204,saab
109,665,190,199,saab
88,459,196,205,saab
69,349,193,198,saab
100,697,188,197,saab
108,700,190,204,saab
108,709,190,205,saab
100,686,185,195,saab
89,471,189,196,saab
81,415,198,207,saab
83,445,188,194,saab
100,680,185,194,saab
83,402,187,193,saab
83,467,189,195,saab
103,718,187,197,saab
75,305,186,191,saab
102,587,187,196,saab
104,604,188,197,saab
108,684,188,199,saab
69,297,202,209,saab
100,576,194,205,saab
96,527,195,206,saab
80,389,192,197,saab
63,314,180,185,saab
107,635,190,203,saab
96,586,190,198,saab
101,698,187,197,saab
103,648,189,197,saab
82,351,187,192,saab
104,642,187,198,saab
63,246,198,204,saab
62,330,180,185,saab
107,703,188,199,saab
63,262,187,191,saab
108,704,190,203,saab
105,578,192,205,saab
90,460,192,199,saab
98,508,189,197,saab
57,265,180,184,saab
93,688,188,199,saab
104,705,189,196,saab
108,707,189,203,saab
88,440,201,210,saab
104,639,191,202,saab
108,694,190,201,saab
103,635,189,198,saab
72,327,186,191,saab
71,365,196,208,saab
106,635,188,196,saab
90,506,189,196,saab
106,612,191,199,saab
89,458,189,195,saab
74,378,190,197,saab
54,245,180,184,saab
88,452,195,202,saab
100,573,198,208,saab
66,252,183,187,saab
101,664,188,198,saab
104,712,189,199,saab
96,512,191,199,saab
109,586,194,208,saab
77,308,194,201,saab
53,196,183,190,saab
86,433,191,199,saab
103,707,188,199,saab
104,691,189,199,saab
110,668,194,205,saab
106,660,187,197,saab
100,561,194,203,saab
83,426,192,199,saab
94,525,193,201,saab
80,373,201,209,saab
108,687,189,201,saab
66,295,182,186,saab
88,435,195,204,saab
92,489,195,205,saab
90,480,199,208,saab
103,720,187,200,saab
77,331,196,203,saab
85,427,195,201,saab
105,520,198,211,saab
78,455,191,200,saab
104,674,191,199,saab
72,360,203,209,saab
96,694,187,198,saab
104,621,188,197,saab
82,357,188,193,saab
103,673,188,198,saab
66,318,181,185,saab
78,430,192,199,saab
100,710,189,199,saab
77,327,188,193,saab
83,382,186,191,saab
86,373,190,196,saab
105,661,186,197,saab
105,637,193,207,saab
110,676,191,202,saab
80,308,185,189,saab
104,543,190,200,saab
76,381,190,195,saab
98,505,195,204,saab
90,492,191,199,saab
90,472,193,201,saab
54,238,179,183,saab
100,486,192,202,saab
64,333,182,185,saab
85,396,186,192,saab
66,298,201,207,saab
69,291,193,204,saab
104,658,186,196,saab
75,356,188,194,bus
77,429,199,203,bus
91,636,192,192,bus
70,322,181,183,bus
68,372,202,206,bus
86,523,194,197,bus
75,345,195,204,bus
92,671,191,189,bus
64,319,179,182,bus
72,350,183,187,bus
72,385,200,204,bus
72,373,193,198,bus
77,457,199,201,bus
68,325,185,191,bus
72,399,196,203,bus
74,349,189,195,bus
98,766,188,187,bus
70,307,192,199,bus
68,323,179,184,bus
84,476,198,201,bus
88,625,191,190,bus
68,336,183,189,bus
91,629,192,191,bus
75,450,197,199,bus
102,855,186,185,bus
66,321,179,182,bus
106,954,181,184,bus
79,463,197,202,bus
66,321,180,182,bus
66,320,179,181,bus
74,414,200,202,bus
70,299,193,199,bus
89,622,193,193,bus
65,332,179,183,bus
73,341,185,189,bus
76,362,189,193,bus
70,332,181,184,bus
83,484,196,198,bus
68,336,185,191,bus
66,333,180,183,bus
73,347,196,205,bus
98,838,185,184,bus
63,329,179,182,bus
73,361,200,204,bus
76,339,187,193,bus
68,317,183,187,bus
74,419,196,200,bus
70,334,181,186,bus
109,982,182,183,bus
73,362,197,206,bus
68,335,180,185,bus
65,335,179,183,bus
79,393,198,205,bus
65,332,179,184,bus
85,570,195,193,bus
68,329,179,183,bus
70,328,187,195,bus
70,324,180,183,bus
93,703,188,188,bus
71,312,188,193,bus
70,306,188,193,bus
101,844,184,184,bus
66,323,180,183,bus
72,427,200,202,bus
73,341,190,194,bus
64,323,179,182,bus
103,904,179,186,bus
69,325,180,182,bus
66,324,179,182,bus
100,923,182,182,bus
75,363,198,202,bus
66,325,201,207,bus
84,446,196,201,bus
82,534,195,196,bus
68,323,180,184,bus
68,327,179,184,bus
98,680,188,189,bus
89,533,195,198,bus
68,333,180,185,bus
76,359,185,190,bus
102,822,187,187,bus
105,891,181,182,bus
76,342,193,197,bus
62,341,202,209,bus
88,563,194,197,bus
88,596,192,191,bus
96,857,184,184,bus
103,928,184,183,bus
69,341,181,184,bus
70,319,181,186,bus
68,322,181,184,bus
74,408,196,200,bus
74,318,195,200,bus
81,434,198,204,bus
78,379,193,197,bus
59,320,179,182,bus
106,957,181,183,bus
70,341,184,187,bus
70,328,181,185,bus
69,340,183,188,bus
72,317,181,185,bus
68,330,182,185,bus
64,324,180,184,bus
71,330,181,186,bus
72,312,191,198,bus
75,365,192,200,bus
66,333,182,188,bus
68,337,188,192,bus
76,332,192,200,bus
70,326,181,184,bus
63,336,180,184,bus
92,731,188,186,bus
103,816,183,184,bus
70,342,186,189,bus
102,968,182,184,bus
70,371,202,205,bus
104,956,180,184,bus
95,605,192,194,bus
106,966,182,181,bus
71,330,180,184,bus
75,479,197,197,bus
66,325,180,182,bus
66,319,179,182,bus
71,331,184,190,bus
68,320,181,184,bus
84,525,196,197,bus
93,735,186,184,bus
98,866,186,184,bus
72,321,192,196,bus
77,485,198,199,bus
75,354,185,192,bus
71,338,181,186,bus
79,465,197,199,bus
74,375,195,201,bus
70,332,193,201,bus
61,326,179,182,bus
70,326,194,201,bus
70,331,183,188,bus
71,337,181,187,bus
103,892,181,183,bus
71,347,182,187,bus
71,343,186,190,bus
98,719,189,189,bus
70,311,196,203,bus
66,317,180,182,bus
72,347,182,186,bus
68,329,180,185,bus
68,328,179,182,bus
70,346,201,208,bus
65,331,178,183,bus
86,570,194,195,bus
70,317,179,182,bus
107,987,180,184,bus
72,340,180,185,bus
66,340,181,185,bus
66,312,184,188,bus
65,322,180,182,bus
71,336,192,197,bus
80,517,198,199,bus
60,324,178,182,bus
72,344,182,188,bus
71,342,180,186,bus
75,362,192,199,bus
94,666,193,191,bus
70,361,199,206,bus
73,341,196,200,bus
70,427,200,203,bus
106,833,185,185,bus
71,322,195,200,bus
76,487,197,200,bus
70,413,200,203,bus
84,520,196,199,bus
80,579,194,194,bus
68,333,179,183,bus
73,335,189,196,bus
66,326,180,183,bus
70,325,180,183,bus
73,334,180,184,bus
109,928,183,183,bus
73,401,200,204,bus
73,374,199,204,bus
74,349,183,189,bus
102,870,184,183,bus
84,558,195,195,bus
81,531,197,198,bus
77,485,196,198,bus
89,682,190,189,bus
63,320,179,182,bus
74,341,201,205,bus
65,325,179,183,bus
68,310,198,203,bus
71,322,189,196,bus
70,323,186,189,bus
70,406,200,205,bus
106,998,181,182,bus
75,352,188,195,bus
108,685,190,201,opel
88,517,194,201,opel
100,726,185,198,opel
107,641,190,202,opel
100,757,186,197,opel
101,731,188,197,opel
101,610,197,206,opel
88,504,189,197,opel
103,624,186,194,opel
109,752,187,198,opel
105,602,193,202,opel
60,281,179,186,opel
103,571,191,198,opel
92,481,197,204,opel
78,389,203,211,opel
103,708,186,196,opel
98,696,188,199,opel
94,494,199,203,opel
103,718,186,195,opel
103,677,185,194,opel
74,394,198,204,opel
98,683,185,193,opel
98,682,187,196,opel
90,469,190,198,opel
75,290,183,190,opel
69,290,199,206,opel
66,304,197,202,opel
69,266,193,203,opel
103,598,187,194,opel
66,232,185,190,opel
66,340,180,183,opel
85,402,198,205,opel
78,284,192,197,opel
101,741,186,198,opel
105,648,188,196,opel
110,711,188,198,opel
101,737,187,196,opel
103,601,189,196,opel
93,521,193,198,opel
101,722,186,196,opel
69,252,193,200,opel
101,546,191,200,opel
100,557,194,202,opel
75,312,191,198,opel
107,602,194,201,opel
105,653,186,195,opel
77,395,192,198,opel
76,371,190,196,opel
98,562,190,199,opel
77,331,184,193,opel
69,274,187,190,opel
72,334,203,210,opel
89,444,201,209,opel
96,713,187,194,opel
78,331,191,198,opel
100,681,185,192,opel
77,343,202,208,opel
86,388,185,191,opel
66,252,183,187,opel
100,666,187,194,opel
81,388,187,193,opel
60,221,178,185,opel
78,321,197,203,opel
98,567,198,204,opel
96,685,184,193,opel
63,219,195,201,opel
96,530,193,200,opel
72,295,181,189,opel
72,286,187,192,opel
105,602,191,202,opel
51,209,177,184,opel
75,335,193,198,opel
83,455,197,206,opel
103,653,191,201,opel
93,504,193,200,opel
107,644,191,200,opel
77,352,186,191,opel
58,259,177,184,opel
96,474,193,200,opel
78,314,187,194,opel
107,756,186,198,opel
74,282,183,191,opel
98,706,186,196,opel
69,333,198,203,opel
105,737,188,196,opel
104,631,188,196,opel
108,732,186,198,opel
103,716,187,196,opel
103,676,189,198,opel
103,630,192,201,opel
100,669,187,195,opel
75,315,181,187,opel
104,670,186,193,opel
98,679,189,201,opel
93,536,188,195,opel
83,481,189,194,opel
89,428,193,202,opel
101,650,189,196,opel
101,587,195,204,opel
78,342,193,197,opel
105,575,194,205,opel
78,287,194,202,opel
66,266,180,187,opel
105,706,187,195,opel
101,661,188,197,opel
79,418,191,198,opel
108,683,188,197,opel
86,471,192,199,opel
78,367,192,198,opel
107,729,187,201,opel
80,311,181,193,opel
101,748,187,195,opel
101,728,189,198,opel
107,730,187,201,opel
108,663,191,201,opel
83,438,195,201,opel
69,284,204,210,opel
96,519,197,205,opel
109,722,189,198,opel
101,616,193,203,opel
108,737,187,198,opel
107,701,191,203,opel
98,693,188,198,opel
50,192,182,187,opel
109,731,188,199,opel
104,628,186,193,opel
109,704,189,199,opel
82,409,200,208,opel
101,595,192,202,opel
79,396,191,198,opel
77,350,184,189,opel
79,462,189,199,opel
86,338,183,189,opel
104,665,186,195,opel
100,651,186,193,opel
73,379,195,201,opel
96,713,186,195,opel
69,260,203,209,opel
53,259,177,183,opel
109,725,188,200,opel
86,473,192,198,opel
105,597,190,198,opel
103,661,190,200,opel
107,624,195,206,opel
74,388,197,206,opel
103,673,188,196,opel
109,706,191,202,opel
82,332,188,193,opel
71,296,188,197,opel
57,229,178,184,opel
82,366,190,196,opel
77,345,187,192,opel
64,259,179,188,opel
60,261,185,188,opel
96,706,187,195,opel
76,391,188,192,opel
105,725,189,196,opel
100,553,196,202,opel
83,472,187,193,opel
101,574,186,194,opel
96,633,188,196,opel
105,623,189,196,opel
73,342,181,187,opel
98,710,188,197,opel
94,573,188,197,opel
105,669,186,194,opel
98,535,187,194,opel
105,678,186,195,opel
71,330,180,186,opel
75,317,184,188,opel
107,728,189,200,opel
96,543,191,198,opel
75,322,206,211,opel
105,709,190,197,opel
83,417,187,192,opel
100,600,189,198,opel
96,494,202,209,opel
88,416,186,192,opel
100,611,189,195,opel
91,707,186,198,opel
104,657,187,194,opel
101,748,185,196,opel
84,358,183,190,opel
72,261,188,198,opel
96,534,190,197,opel
103,727,190,198,opel
80,396,194,199,opel
92,526,195,203,opel
104,589,192,201,opel
77,367,198,205,opel
63,247,183,187,opel
