@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Minor_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
84,55,44,150,6,van
78,56,43,167,1,van
58,56,57,129,9,van
68,49,51,142,4,van
82,63,46,143,6,van
82,56,43,160,10,van
70,58,53,128,4,van
53,58,57,125,9,van
64,51,51,144,16,van
85,64,43,167,3,van
85,65,43,157,2,van
77,65,46,141,0,van
80,62,45,144,4,van
72,64,48,144,9,van
68,59,47,130,7,van
85,57,43,167,1,van
89,61,44,145,11,van
90,67,43,150,17,van
75,51,49,141,5,van
79,63,46,150,4,van
60,59,52,129,1,van
55,53,53,139,0,van
66,57,54,144,8,van
90,61,36,158,6,saab
74,58,44,136,1,saab
100,61,31,173,5,saab
110,56,31,159,18,saab
52,57,55,125,5,saab
107,68,31,173,3,saab
76,57,41,147,8,saab
98,60,31,169,8,saab
66,54,52,127,17,saab
104,56,31,167,15,saab
55,55,48,128,4,saab
75,53,47,131,1,saab
85,60,38,153,5,saab
103,65,32,162,9,saab
105,64,36,150,7,saab
96,64,33,150,4,saab
100,63,34,159,7,saab
66,58,48,137,2,saab
106,66,32,158,14,saab
98,54,31,171,1,saab
57,62,50,125,16,saab
110,67,31,165,16,saab
96,65,35,156,3,saab
102,65,33,164,4,saab
100,62,31,165,14,saab
86,59,39,134,6,saab
81,59,39,152,4,saab
72,56,45,140,13,saab
108,63,31,168,10,saab
108,64,32,163,21,saab
77,60,45,128,0,saab
83,61,40,150,7,saab
100,58,37,134,5,saab
90,60,38,152,13,saab
54,53,54,126,1,saab
108,64,31,172,14,saab
75,54,46,131,7,saab
90,69,36,156,6,saab
88,66,38,151,0,saab
80,58,42,132,3,saab
53,57,59,123,10,saab
63,56,50,135,9,saab
104,67,32,167,5,saab
108,64,31,168,22,saab
63,51,47,130,2,saab
98,65,31,167,1,saab
88,60,39,131,2,saab
108,61,31,168,0,saab
100,59,33,158,10,saab
104,58,32,159,15,saab
72,60,44,133,2,saab
76,63,40,134,4,saab
81,61,40,154,13,saab
80,59,41,131,5,saab
107,61,32,153,5,saab
104,71,31,172,19,saab
103,63,30,172,6,saab
103,60,31,156,9,saab
77,60,42,148,12,saab
74,60,42,128,6,saab
98,60,34,161,0,saab
76,60,42,149,16,saab
63,55,46,130,9,saab
86,60,42,131,9,saab
66,58,46,136,19,saab
85,64,41,125,9,saab
40,57,61,119,12,saab
66,59,49,133,6,saab
106,68,32,164,0,saab
75,55,48,125,4,saab
66,59,47,124,1,saab
109,69,31,169,13,saab
108,70,31,168,4,saab
82,56,43,149,3,saab
109,59,34,154,1,saab
83,63,37,154,1,saab
77,59,44,143,8,saab
88,63,38,132,0,saab
66,55,54,118,5,saab
98,63,36,138,10,saab
77,54,46,146,13,saab
106,68,32,166,14,saab
96,63,36,144,4,saab
100,61,34,149,11,saab
109,57,31,174,12,saab
57,57,56,127,22,saab
104,59,32,163,1,saab
78,57,43,128,4,saab
77,62,45,129,6,saab
96,62,31,170,2,saab
104,67,32,162,3,saab
90,61,37,144,3,saab
96,66,35,157,10,saab
108,68,31,170,13,saab
81,64,40,138,8,saab
66,56,49,136,5,saab
103,62,32,155,6,saab
71,66,43,133,4,saab
85,59,41,131,7,saab
105,62,33,164,12,saab
88,60,38,155,15,saab
105,64,33,152,0,saab
95,65,34,160,3,saab
83,60,38,134,0,saab
78,58,50,124,0,saab
108,63,31,168,15,saab
83,60,41,133,5,saab
103,68,30,172,10,saab
89,62,38,132,11,saab
112,59,32,162,0,saab
85,62,39,139,2,saab
101,72,31,171,2,saab
64,61,45,138,5,saab
89,58,37,133,7,saab
101,66,34,143,3,saab
100,60,34,162,22,saab
100,66,31,173,1,saab
72,56,50,123,5,saab
104,60,34,147,13,saab
58,60,46,131,12,saab
62,62,45,133,2,saab
105,56,32,163,8,saab
101,65,31,168,12,saab
92,62,36,143,6,saab
86,60,39,134,1,saab
103,56,31,162,2,saab
83,61,47,128,0,saab
105,61,34,150,7,saab
110,65,31,163,21,saab
74,68,42,134,3,saab
104,66,35,148,0,saab
77,58,47,142,10,saab
108,59,31,163,15,saab
54,57,53,125,6,saab
100,64,30,166,21,saab
104,57,31,162,18,saab
105,71,30,167,3,saab
98,66,31,169,14,saab
102,64,31,171,17,saab
101,67,30,173,3,saab
63,58,54,130,14,saab
72,59,50,135,3,saab
72,59,42,144,15,saab
85,64,39,153,16,saab
106,55,32,168,16,saab
71,61,43,134,5,saab
98,62,36,146,4,saab
78,58,38,139,3,saab
90,63,37,155,10,saab
77,56,42,126,8,saab
51,53,50,126,15,saab
83,59,39,132,0,saab
104,71,32,171,1,saab
88,59,38,140,1,saab
54,53,50,127,16,saab
98,64,38,135,9,saab
101,63,32,166,13,saab
109,61,31,159,16,saab
105,66,32,165,0,saab
105,61,32,157,0,saab
108,69,31,168,2,saab
104,60,31,162,11,saab
76,57,44,143,14,saab
103,63,30,175,6,saab
78,65,39,136,9,saab
82,59,43,129,1,saab
101,65,33,152,2,saab
103,66,31,167,1,saab
109,68,31,169,11,saab
93,62,31,165,6,saab
104,66,32,164,5,saab
83,56,41,148,10,saab
105,57,31,168,0,saab
69,63,48,131,1,saab
54,61,50,127,3,saab
80,67,43,129,6,saab
80,62,46,139,17,saab
77,64,41,151,4,saab
104,63,33,152,8,saab
105,54,32,162,9,saab
94,67,35,158,8,saab
71,53,49,127,0,saab
69,56,47,141,11,saab
101,64,33,158,2,saab
63,58,52,134,9,saab
59,63,51,128,11,saab
106,64,32,158,1,saab
109,59,32,156,13,saab
53,58,58,121,3,saab
69,59,43,143,12,saab
103,73,30,174,8,saab
72,55,46,132,9,saab
100,69,30,170,0,saab
54,55,52,127,4,saab
106,66,33,149,9,saab
69,64,44,147,5,bus
70,61,46,143,7,bus
91,65,32,161,5,bus
66,57,45,143,4,bus
65,56,45,150,4,bus
70,68,39,136,3,bus
72,60,44,146,1,bus
68,70,41,145,5,bus
96,57,28,170,8,bus
84,71,36,152,7,bus
103,49,27,172,5,bus
94,66,31,161,11,bus
76,67,44,135,4,bus
76,75,43,143,5,bus
74,66,39,131,2,bus
91,74,32,148,4,bus
70,64,47,143,9,bus
69,54,46,144,3,bus
98,61,29,165,9,bus
84,75,38,138,3,bus
74,74,39,128,1,bus
71,56,45,147,3,bus
71,56,44,149,3,bus
66,53,45,145,5,bus
76,64,44,143,0,bus
70,74,44,143,1,bus
75,66,43,136,2,bus
70,64,45,145,10,bus
68,61,45,143,1,bus
71,60,45,146,6,bus
73,57,45,147,9,bus
71,68,45,143,7,bus
70,56,45,144,9,bus
70,61,46,136,1,bus
100,67,27,162,5,bus
79,69,40,130,2,bus
106,51,26,172,2,bus
109,56,26,175,11,bus
75,75,42,147,8,bus
72,63,45,135,4,bus
68,53,45,147,4,bus
65,55,46,148,1,bus
84,74,35,145,4,bus
61,53,46,144,8,bus
68,67,46,142,10,bus
63,55,46,145,7,bus
72,62,44,144,0,bus
89,54,31,153,1,bus
88,60,33,148,8,bus
106,51,26,170,11,bus
72,71,40,144,7,bus
80,71,33,159,6,bus
75,72,42,133,4,bus
64,56,46,144,9,bus
98,59,31,152,8,bus
68,50,45,147,6,bus
73,73,41,126,2,bus
71,70,46,141,4,bus
68,57,46,146,6,bus
92,60,30,162,7,bus
73,63,44,145,6,bus
59,58,46,144,8,bus
73,68,44,137,2,bus
64,55,46,146,1,bus
106,57,28,164,6,bus
71,64,45,141,8,bus
66,65,46,144,2,bus
75,64,43,131,0,bus
63,55,45,142,0,bus
83,69,36,139,6,bus
84,74,34,154,4,bus
71,64,45,142,2,bus
74,74,39,149,7,bus
72,64,44,144,0,bus
73,68,43,131,1,bus
102,55,28,171,7,bus
68,69,45,147,1,bus
66,58,45,145,8,bus
102,75,28,167,9,bus
66,66,44,140,4,bus
68,62,46,145,1,bus
65,56,46,143,6,bus
82,55,34,141,0,bus
70,103,45,144,9,bus
70,72,44,145,6,bus
75,68,43,146,7,bus
62,67,43,139,7,bus
98,63,30,156,8,bus
70,68,41,124,3,bus
70,65,46,145,1,bus
69,62,44,145,1,bus
80,70,35,156,3,bus
68,53,45,146,4,bus
72,69,41,144,5,bus
81,69,38,137,3,bus
64,54,46,143,1,bus
105,48,27,165,12,bus
81,67,34,158,6,bus
65,53,45,141,5,bus
74,61,43,149,6,bus
70,75,45,141,6,bus
70,54,45,145,8,bus
102,51,27,165,10,bus
72,72,41,133,0,bus
70,56,46,145,6,bus
89,65,32,159,6,bus
68,73,44,146,7,bus
66,67,45,144,4,bus
76,65,42,138,6,bus
72,61,46,143,6,bus
66,53,46,143,10,bus
101,72,28,163,7,bus
66,55,45,146,4,bus
76,76,44,136,3,bus
107,67,26,171,9,bus
63,54,45,147,3,bus
70,66,43,129,0,bus
68,54,45,145,4,bus
70,56,45,145,10,bus
74,74,41,143,8,bus
71,66,45,144,5,bus
70,69,46,143,7,bus
68,64,45,144,1,bus
103,47,27,166,4,bus
74,68,43,148,5,bus
88,62,32,158,8,bus
106,51,26,171,9,bus
65,50,45,141,4,bus
71,70,44,147,3,bus
66,56,44,142,6,bus
68,59,44,146,5,bus
104,53,26,168,5,bus
70,58,45,146,2,bus
70,62,45,143,2,bus
74,70,43,127,0,bus
66,57,46,145,0,bus
76,73,36,157,0,bus
71,61,44,148,1,bus
72,66,46,147,11,bus
66,54,46,141,6,bus
77,61,37,139,4,bus
75,71,36,138,7,bus
95,68,32,150,7,bus
70,70,40,153,9,bus
93,51,30,165,9,bus
66,56,46,145,6,bus
92,65,31,159,5,bus
93,54,30,159,4,bus
66,54,46,145,8,bus
89,71,35,145,4,bus
78,73,41,134,1,bus
70,70,39,148,17,bus
77,64,36,134,0,bus
79,71,37,154,6,bus
106,50,26,169,5,bus
98,47,28,164,4,bus
71,68,44,138,3,bus
68,59,45,145,7,bus
70,66,44,134,5,bus
88,63,34,147,2,bus
84,72,35,161,9,bus
70,54,45,146,1,bus
86,69,33,161,4,bus
74,66,45,134,3,bus
73,71,42,127,2,bus
65,56,45,145,1,bus
103,64,26,169,4,bus
98,59,27,168,3,bus
70,72,42,144,7,bus
77,69,36,139,4,bus
68,64,46,142,5,bus
60,51,46,141,2,bus
70,64,45,138,5,bus
75,64,43,145,0,bus
109,57,27,169,11,bus
68,53,46,147,7,bus
68,62,44,142,4,bus
70,65,45,146,6,bus
103,52,28,160,3,bus
75,70,42,131,0,bus
73,64,44,138,3,bus
72,69,38,131,1,bus
75,68,37,129,2,bus
68,69,45,144,5,bus
73,73,40,127,6,bus
73,65,42,143,13,bus
102,52,26,169,2,bus
71,66,44,146,2,bus
66,54,46,147,0,bus
79,65,37,158,5,bus
73,65,44,143,5,bus
85,64,33,146,6,bus
72,52,44,147,2,bus
68,64,46,143,0,bus
77,72,38,150,6,bus
86,69,35,145,0,bus
53,59,51,128,0,opel
60,56,49,131,0,opel
103,50,30,172,15,opel
98,70,35,141,2,opel
107,62,33,161,9,opel
80,55,47,135,8,opel
74,59,41,133,6,opel
101,57,30,177,5,opel
85,61,40,129,1,opel
76,60,42,148,13,opel
78,62,48,123,4,opel
57,55,54,125,8,opel
75,62,48,135,3,opel
108,70,30,186,10,opel
105,67,33,163,10,opel
108,57,31,162,7,opel
101,65,30,182,6,opel
96,59,35,161,11,opel
88,69,40,133,3,opel
104,74,31,175,0,opel
105,64,33,155,2,opel
98,63,34,161,5,opel
108,65,31,156,7,opel
89,62,38,135,4,opel
96,63,35,161,13,opel
100,54,30,188,4,opel
71,55,45,134,12,opel
77,54,43,127,14,opel
72,62,44,124,5,opel
109,66,30,176,10,opel
66,62,54,132,4,opel
96,71,32,153,2,opel
108,54,31,172,4,opel
100,65,32,147,5,opel
104,67,32,151,5,opel
96,54,31,173,0,opel
105,68,33,148,5,opel
93,67,35,161,2,opel
109,67,30,162,6,opel
103,57,32,156,12,opel
94,67,34,147,0,opel
96,61,36,158,19,opel
86,64,37,153,11,opel
91,57,31,170,1,opel
79,62,40,148,12,opel
71,56,48,143,7,opel
60,56,55,124,3,opel
86,62,41,131,1,opel
69,58,50,137,16,opel
78,60,45,125,2,opel
98,58,31,166,11,opel
105,59,31,177,12,opel
100,61,34,150,5,opel
98,56,31,171,5,opel
74,57,49,127,9,opel
105,53,31,163,12,opel
75,56,46,137,18,opel
101,68,30,178,11,opel
109,67,30,174,8,opel
100,69,32,169,6,opel
107,68,32,154,5,opel
88,64,35,159,12,opel
78,61,46,127,0,opel
103,66,32,163,0,opel
101,62,33,158,8,opel
103,69,30,176,7,opel
96,65,35,143,6,opel
107,63,30,180,6,opel
103,72,30,177,11,opel
103,57,31,162,6,opel
107,60,31,167,0,opel
100,62,33,166,2,opel
66,59,46,128,5,opel
92,63,37,140,4,opel
75,59,46,132,16,opel
66,57,52,127,5,opel
82,58,40,149,8,opel
77,60,44,141,9,opel
88,62,36,141,3,opel
79,64,41,149,2,opel
98,63,30,167,10,opel
107,64,30,174,0,opel
82,60,42,144,2,opel
74,62,41,135,7,opel
103,65,32,166,6,opel
77,59,45,134,0,opel
101,65,34,146,5,opel
105,69,30,173,10,opel
103,63,31,172,5,opel
60,56,50,130,8,opel
76,60,41,131,0,opel
50,58,59,122,21,opel
86,63,37,156,7,opel
83,61,37,132,1,opel
109,70,30,182,0,opel
101,61,31,152,5,opel
98,68,31,170,2,opel
63,59,52,130,13,opel
94,63,36,155,20,opel
105,68,32,169,9,opel
69,57,48,122,9,opel
101,64,33,164,17,opel
80,66,40,143,13,opel
69,56,44,143,14,opel
101,57,30,177,7,opel
69,54,49,131,16,opel
69,58,48,138,10,opel
103,60,31,160,7,opel
107,61,30,178,8,opel
107,62,32,158,9,opel
83,63,38,142,7,opel
104,59,32,172,1,opel
103,69,33,147,6,opel
100,59,34,161,14,opel
77,56,41,129,1,opel
103,63,34,162,5,opel
66,52,44,133,13,opel
100,53,31,173,12,opel
78,62,41,131,2,opel
75,55,46,139,15,opel
63,55,55,130,20,opel
84,57,43,133,0,opel
108,53,30,178,8,opel
105,70,30,177,14,opel
77,62,42,125,5,opel
90,60,37,131,4,opel
101,66,35,151,1,opel
78,64,42,126,1,opel
58,58,51,127,0,opel
83,60,40,147,12,opel
110,53,30,166,10,opel
98,62,34,161,3,opel
101,62,30,180,2,opel
105,59,32,173,13,opel
103,65,31,165,5,opel
66,55,50,136,3,opel
89,59,39,132,7,opel
78,59,44,141,15,opel
51,56,57,124,1,opel
101,58,30,171,13,opel
92,62,35,148,12,opel
72,56,48,126,1,opel
101,69,30,178,6,opel
73,59,42,146,11,opel
81,57,41,149,9,opel
75,57,44,146,16,opel
75,60,45,142,22,opel
105,68,32,162,5,opel
100,62,30,178,0,opel
100,62,31,175,10,opel
96,65,37,141,1,opel
78,55,48,138,0,opel
104,67,33,163,12,opel
107,56,30,174,0,opel
96,63,35,156,3,opel
103,69,30,176,4,opel
82,54,45,144,10,opel
105,64,34,152,0,opel
73,57,44,133,11,opel
93,62,35,147,0,opel
104,52,32,164,5,opel
64,59,51,126,1,opel
105,68,30,171,14,opel
86,54,45,134,11,opel
104,55,32,166,3,opel
78,55,45,128,10,opel
98,64,31,173,2,opel
107,54,32,159,1,opel
109,70,30,163,11,opel
103,67,33,156,4,opel
96,56,30,175,4,opel
101,62,33,161,2,opel
98,54,31,175,3,opel
96,74,30,172,6,opel
77,59,44,145,9,opel
101,70,31,168,1,opel
98,71,31,164,0,opel
93,65,36,137,11,opel
100,55,31,175,2,opel
105,61,30,179,15,opel
77,59,44,145,15,opel
109,68,30,165,7,opel
69,57,50,126,3,opel
72,53,48,135,7,opel
96,57,30,170,5,opel
69,59,51,134,1,opel
79,62,38,138,0,opel
83,65,37,156,1,opel
101,64,33,157,0,opel
83,59,39,152,15,opel
72,53,51,132,1,opel
