@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
46,66,11,162,20,155,381,van
46,68,10,155,19,148,354,van
47,64,10,163,20,160,389,van
37,59,5,123,17,125,221,van
36,59,8,139,18,130,291,van
41,63,8,144,19,150,309,van
47,65,12,155,19,157,354,van
42,56,7,127,18,145,240,van
46,63,11,160,20,157,372,van
39,59,8,139,18,139,289,van
46,63,11,160,20,160,367,van
43,66,9,150,19,147,334,van
43,54,10,155,19,149,359,van
36,69,8,136,18,136,279,van
36,58,4,118,17,125,205,van
43,97,46,150,19,149,332,van
41,63,9,144,19,143,309,van
46,52,10,156,20,160,351,van
46,61,9,147,19,152,323,van
40,59,7,122,17,139,225,van
47,60,10,155,19,155,355,van
39,62,8,140,18,150,294,van
47,64,11,156,20,163,352,van
37,52,9,127,18,137,238,van
38,52,8,130,18,139,243,van
42,53,7,131,18,144,254,van
45,69,8,143,18,148,307,van
42,61,11,151,19,145,338,van
36,55,5,120,17,128,212,van
40,59,8,127,17,139,241,van
45,64,9,147,19,148,324,van
40,48,7,139,19,140,277,van
39,49,7,134,18,142,261,van
41,59,6,123,17,137,223,van
44,64,8,137,18,144,283,van
42,64,10,133,18,142,264,van
36,54,7,127,18,132,242,van
45,63,10,151,19,148,334,van
47,62,9,147,19,152,325,van
42,62,8,130,18,142,253,van
48,63,11,156,20,165,354,van
36,57,3,118,17,128,204,van
40,53,6,132,18,140,247,van
44,63,7,137,18,146,280,van
41,65,9,145,19,145,314,van
48,126,49,153,19,156,346,van
44,56,11,157,20,155,363,van
43,65,9,137,18,146,281,van
44,66,10,155,19,150,355,van
46,64,9,151,19,148,339,van
38,52,8,133,18,140,253,van
43,64,8,137,18,145,281,van
36,52,6,118,17,129,206,van
37,60,9,133,18,135,262,van
37,55,5,122,17,128,219,van
40,50,8,137,18,141,269,van
43,64,11,155,19,151,356,van
41,60,6,128,18,141,246,van
46,58,11,161,20,158,373,van
39,66,8,139,18,140,290,van
43,52,6,139,18,144,282,van
49,54,11,158,20,162,366,van
41,61,8,129,18,142,249,van
35,57,6,116,17,125,200,van
44,54,10,156,20,151,352,van
39,55,5,117,17,134,204,van
39,62,8,137,18,137,281,van
45,63,9,146,19,148,316,van
43,64,8,136,18,145,279,van
46,66,11,159,20,159,368,van
39,56,6,114,17,135,195,van
44,55,12,155,20,158,351,van
35,62,9,131,18,127,258,van
49,64,10,157,20,158,363,van
37,52,5,119,17,128,207,van
36,56,5,119,17,124,207,van
35,64,8,128,18,129,246,van
55,68,11,219,25,172,709,saab
45,66,9,192,22,143,552,saab
43,62,10,180,21,143,489,saab
47,59,11,199,23,154,586,saab
53,56,11,220,25,167,712,saab
46,66,10,203,23,149,612,saab
51,54,10,208,24,162,641,saab
52,59,9,197,23,158,583,saab
47,60,10,171,21,155,440,saab
41,58,6,148,19,136,318,saab
36,53,4,135,18,126,268,saab
54,70,12,215,24,168,687,saab
43,63,8,186,22,144,521,saab
40,56,5,133,18,135,262,saab
53,71,12,221,25,167,713,saab
53,55,10,212,24,168,660,saab
49,61,11,212,24,159,665,saab
51,66,10,188,22,157,533,saab
41,56,7,141,18,141,297,saab
36,58,7,135,18,124,270,saab
39,64,8,169,20,134,422,saab
53,64,11,220,25,172,707,saab
48,60,8,175,21,152,460,saab
54,64,11,213,24,171,669,saab
39,62,8,175,21,132,458,saab
36,61,8,142,19,128,298,saab
48,63,10,201,23,152,604,saab
53,63,10,213,24,166,664,saab
53,64,12,206,23,163,627,saab
37,53,5,134,18,127,266,saab
38,59,7,161,20,131,389,saab
37,57,6,128,18,129,243,saab
36,57,8,153,19,128,349,saab
51,60,10,195,22,161,572,saab
49,62,10,206,23,155,635,saab
53,60,10,215,24,169,681,saab
40,64,9,177,21,135,465,saab
53,66,10,211,24,164,659,saab
38,65,8,169,20,136,430,saab
46,61,9,193,22,149,561,saab
36,56,7,155,19,126,361,saab
34,58,6,116,17,121,197,saab
34,59,7,140,18,124,298,saab
37,61,9,157,20,134,365,saab
54,66,11,218,24,169,704,saab
50,67,9,187,22,158,525,saab
38,60,5,148,19,131,319,saab
41,59,9,175,21,140,459,saab
38,55,7,146,19,130,314,saab
46,66,9,191,22,148,543,saab
37,62,6,135,18,125,265,saab
39,59,9,167,20,134,418,saab
52,60,12,215,24,162,691,saab
53,64,10,220,25,168,711,saab
51,56,11,213,24,162,673,saab
50,63,9,177,21,155,472,saab
43,57,7,149,19,143,335,saab
37,61,4,135,18,127,271,saab
49,64,9,208,24,158,645,saab
50,61,10,181,21,158,492,saab
43,56,7,149,19,140,327,saab
51,60,12,196,23,162,573,saab
43,59,8,154,19,144,360,saab
45,59,9,163,20,148,404,saab
50,65,10,187,22,156,527,saab
39,64,9,166,20,138,415,saab
36,60,7,150,19,128,331,saab
50,58,11,208,24,159,639,saab
41,56,6,136,18,136,274,saab
45,61,10,198,23,149,586,saab
54,57,11,220,25,174,709,saab
46,60,8,158,20,148,373,saab
51,62,11,220,25,163,711,saab
47,59,7,168,20,152,425,saab
49,59,10,207,24,156,635,saab
52,55,12,216,24,171,687,saab
45,57,7,159,20,147,381,saab
48,62,9,203,23,151,613,saab
35,57,4,122,17,125,220,saab
53,64,11,220,25,166,710,saab
45,64,7,160,20,147,383,saab
44,59,5,152,19,143,344,saab
53,57,11,211,24,168,661,saab
38,54,7,149,19,132,327,saab
40,59,5,132,18,135,260,saab
54,62,11,202,23,164,608,saab
55,68,11,218,24,173,703,saab
53,63,11,219,25,168,704,saab
37,54,7,132,18,127,252,saab
53,61,11,207,23,167,636,saab
38,60,9,170,21,134,433,saab
44,62,11,183,22,146,505,saab
39,58,6,151,19,136,337,saab
53,67,12,217,24,165,692,saab
54,65,11,218,25,167,696,saab
49,61,11,207,24,157,637,saab
48,60,11,175,21,153,458,saab
46,60,9,197,23,147,578,saab
50,56,11,214,24,159,676,saab
55,67,9,206,23,167,629,saab
40,58,8,181,21,134,486,saab
53,65,10,193,22,160,559,saab
41,61,5,150,19,138,333,saab
36,57,6,128,18,125,238,saab
53,65,11,213,24,168,667,saab
53,62,11,216,24,165,688,saab
46,61,9,166,20,154,415,saab
37,68,8,159,20,134,378,saab
51,69,8,183,22,156,506,saab
53,69,12,221,25,169,712,saab
40,56,7,152,19,134,339,saab
48,61,10,207,24,153,635,saab
54,68,11,207,24,164,638,saab
39,58,7,128,18,134,246,saab
50,66,10,207,23,158,635,saab
55,66,10,214,24,173,680,saab
42,61,9,178,21,144,480,saab
53,54,10,216,24,171,691,saab
52,62,10,217,24,165,697,saab
54,64,11,213,24,172,669,saab
39,55,7,146,19,132,314,saab
33,53,4,115,17,118,193,saab
34,55,6,123,17,118,224,saab
54,65,10,198,23,164,587,saab
51,57,12,213,24,162,674,saab
40,58,6,142,19,137,295,saab
36,53,7,125,18,126,229,saab
38,53,6,144,19,131,305,saab
39,59,7,169,20,132,426,saab
46,56,6,160,20,148,382,saab
40,59,4,137,18,133,279,saab
42,59,9,186,22,138,511,saab
54,65,11,208,24,162,648,saab
36,64,6,160,20,125,385,saab
36,57,6,121,17,127,216,saab
54,65,12,213,24,167,675,saab
51,63,10,196,23,159,576,saab
36,60,8,157,19,128,367,saab
52,64,11,201,23,158,607,saab
54,68,11,214,24,169,675,saab
42,58,8,140,18,142,293,saab
52,62,9,188,22,162,527,saab
49,63,7,176,21,154,467,saab
56,71,11,219,25,172,705,saab
51,60,11,191,22,162,545,saab
49,60,10,185,22,160,518,saab
40,58,7,174,21,139,455,saab
38,60,7,170,21,131,435,saab
55,71,9,211,24,171,658,saab
43,54,8,144,19,146,308,saab
39,63,9,175,21,132,457,saab
47,66,7,173,21,151,452,saab
45,64,9,161,20,151,390,saab
52,64,12,221,25,168,709,saab
54,63,11,222,25,175,720,saab
38,59,8,153,19,129,351,saab
56,72,10,217,24,171,698,saab
39,59,7,163,20,131,396,saab
51,59,11,217,24,163,694,saab
51,67,10,204,23,162,621,saab
40,62,7,150,19,133,330,saab
48,64,8,169,20,153,427,saab
39,60,8,172,21,134,445,saab
56,73,10,221,25,174,718,saab
37,63,7,135,18,128,264,saab
38,66,7,154,19,133,355,saab
37,55,4,129,18,127,245,saab
53,61,11,217,24,168,694,saab
38,62,7,149,19,129,327,saab
37,58,5,125,18,130,230,saab
51,59,11,214,24,162,667,saab
35,57,4,116,17,123,196,saab
42,62,6,144,19,139,308,saab
45,64,10,187,22,150,520,saab
34,56,6,133,18,123,263,saab
36,60,8,150,19,133,334,saab
33,57,3,112,17,119,184,saab
37,58,9,157,20,132,373,saab
53,63,11,219,25,172,707,saab
36,55,6,140,18,125,290,saab
37,60,7,158,20,131,373,saab
38,54,7,147,19,131,318,saab
55,69,12,215,24,168,684,saab
54,69,10,221,25,170,718,saab
44,63,9,185,22,144,512,saab
53,66,11,204,23,165,623,saab
52,65,12,212,24,163,668,saab
55,67,12,222,25,177,719,saab
44,66,9,188,22,144,526,saab
38,55,5,142,19,128,295,saab
42,63,9,185,22,138,508,saab
50,60,11,211,24,156,663,saab
47,64,9,198,23,150,586,saab
36,63,6,140,18,131,291,saab
43,59,7,152,19,143,349,saab
54,48,5,247,27,165,891,bus
47,64,6,151,19,147,340,bus
50,54,4,222,25,159,735,bus
43,65,7,151,19,143,341,bus
42,64,7,151,19,143,339,bus
47,70,7,167,20,152,430,bus
42,53,6,152,19,141,335,bus
58,51,6,261,28,171,998,bus
55,49,7,252,28,172,904,bus
41,64,5,177,21,134,485,bus
41,64,7,148,19,138,328,bus
42,62,7,147,19,143,323,bus
46,66,6,151,19,146,343,bus
54,47,4,247,27,166,892,bus
56,75,6,239,26,167,855,bus
46,56,7,153,19,149,342,bus
44,70,7,144,19,141,312,bus
43,68,7,150,19,143,330,bus
38,64,7,151,19,131,345,bus
35,68,5,155,19,124,371,bus
41,71,5,176,21,138,479,bus
37,72,6,158,19,133,385,bus
43,68,7,151,19,145,337,bus
44,103,52,149,19,144,325,bus
44,52,7,152,19,147,340,bus
41,67,7,148,19,140,327,bus
45,64,6,146,19,142,317,bus
54,61,6,225,25,165,766,bus
45,74,7,157,19,143,375,bus
45,69,22,151,19,147,335,bus
40,76,7,150,19,136,342,bus
44,64,7,154,19,144,350,bus
45,60,7,152,19,151,333,bus
43,56,6,148,19,145,319,bus
47,71,7,176,21,152,476,bus
47,64,6,154,19,145,354,bus
43,57,8,149,19,146,323,bus
49,70,6,183,21,156,517,bus
41,73,7,157,19,136,373,bus
42,54,7,150,19,140,327,bus
49,71,5,174,21,154,465,bus
40,73,6,158,20,134,379,bus
43,64,7,150,19,144,330,bus
42,67,7,150,19,144,333,bus
44,56,6,149,19,144,321,bus
46,70,6,167,20,148,427,bus
58,51,6,265,29,174,1018,bus
44,60,6,153,19,146,347,bus
39,66,7,148,19,134,332,bus
38,68,6,171,20,129,450,bus
43,62,7,152,19,145,341,bus
41,66,5,153,19,136,352,bus
45,63,6,149,19,145,335,bus
45,70,6,146,19,146,321,bus
45,66,7,146,19,144,322,bus
42,59,7,149,19,142,327,bus
46,59,6,148,19,146,327,bus
47,61,7,153,19,149,349,bus
46,71,7,166,20,150,422,bus
42,58,7,149,19,144,320,bus
56,53,6,257,28,168,956,bus
45,54,7,149,19,145,326,bus
42,69,5,169,20,137,434,bus
45,71,5,161,20,144,399,bus
43,75,7,155,19,143,359,bus
46,61,7,153,19,148,347,bus
42,53,7,149,19,145,325,bus
42,55,8,149,19,145,320,bus
42,65,5,155,19,138,362,bus
51,62,5,203,23,158,625,bus
45,69,7,150,19,144,340,bus
43,54,7,150,19,147,324,bus
47,60,7,197,23,148,596,bus
51,51,7,217,24,165,703,bus
43,60,7,150,19,146,330,bus
52,52,7,236,26,160,816,bus
44,58,6,148,19,145,323,bus
46,68,6,152,19,148,349,bus
43,54,5,148,19,145,320,bus
57,56,6,260,28,175,982,bus
41,69,6,177,21,139,485,bus
38,66,6,164,20,131,414,bus
51,72,7,184,21,161,520,bus
42,55,7,152,19,142,336,bus
49,65,7,173,21,158,463,bus
51,71,6,195,22,159,579,bus
46,59,6,150,19,146,336,bus
42,64,7,149,19,142,331,bus
56,64,5,250,27,169,928,bus
45,73,6,151,19,146,336,bus
40,61,6,172,21,139,457,bus
38,69,5,166,20,131,427,bus
45,69,5,148,19,144,322,bus
51,60,6,220,25,162,731,bus
43,56,7,152,19,142,340,bus
44,75,6,146,19,141,326,bus
46,75,7,154,19,147,362,bus
44,61,7,147,19,143,317,bus
43,74,19,152,19,143,342,bus
55,51,6,241,26,165,870,bus
45,65,6,145,19,144,312,bus
43,56,8,150,19,144,324,bus
48,68,7,199,23,150,605,bus
44,70,7,155,19,145,372,bus
36,73,6,162,20,127,401,bus
54,67,4,250,27,162,923,bus
43,65,6,153,19,143,361,bus
39,61,7,143,18,136,307,bus
50,63,6,218,24,156,719,bus
44,61,8,143,18,143,311,bus
43,55,5,186,22,141,534,bus
38,68,6,164,20,136,413,bus
43,56,8,149,19,143,322,bus
47,70,7,162,20,153,406,bus
45,69,6,156,19,144,373,bus
44,64,6,141,18,143,299,bus
46,70,6,151,19,147,338,bus
41,68,7,150,19,138,336,bus
45,56,7,151,19,147,337,bus
40,67,7,149,19,135,332,bus
36,70,6,149,19,127,341,bus
44,50,7,150,19,147,328,bus
40,68,7,150,19,137,341,bus
39,71,6,152,19,131,350,bus
52,66,5,208,24,161,666,bus
37,70,6,154,19,131,363,bus
42,54,6,148,19,141,317,bus
43,55,7,150,19,146,326,bus
55,57,6,241,26,170,857,bus
47,74,5,202,23,148,629,bus
46,57,6,151,19,147,334,bus
45,65,5,194,22,146,576,bus
46,63,6,192,22,147,563,bus
48,68,6,185,22,153,524,bus
47,68,6,154,19,146,356,bus
45,64,6,192,22,146,570,bus
57,50,6,255,28,169,957,bus
43,54,8,151,19,146,332,bus
44,53,8,151,19,146,333,bus
45,57,8,148,19,145,321,bus
41,64,7,151,19,138,341,bus
52,69,5,192,22,161,570,bus
41,65,22,149,19,139,330,bus
49,74,7,190,22,154,558,bus
51,65,5,209,24,159,671,bus
41,65,7,144,19,141,309,bus
36,73,6,156,19,126,374,bus
42,56,7,150,19,145,328,bus
39,72,8,155,19,133,365,bus
53,65,6,204,23,161,636,bus
38,69,6,160,20,130,393,bus
42,51,6,150,19,141,324,bus
43,62,7,150,19,142,337,bus
49,54,4,212,24,153,682,bus
57,52,6,257,28,169,968,bus
44,54,7,151,19,147,329,bus
46,65,8,149,19,146,331,bus
45,69,7,184,22,145,523,bus
45,126,52,148,19,144,326,bus
50,67,6,186,22,158,531,bus
47,72,6,167,20,150,429,bus
37,71,6,161,20,128,393,bus
42,54,6,148,19,143,319,bus
49,59,6,213,24,152,680,bus
37,66,7,151,19,129,346,bus
44,56,6,152,19,150,331,bus
43,65,8,147,19,145,319,bus
43,53,8,150,19,144,326,bus
51,65,6,201,23,159,622,bus
43,64,6,145,19,141,322,bus
54,57,7,236,26,164,833,bus
57,55,7,234,26,171,822,bus
44,72,8,153,19,144,361,bus
43,72,7,152,19,145,341,bus
45,71,5,186,22,145,533,bus
44,66,7,144,19,147,312,bus
44,61,8,147,19,143,325,bus
57,67,6,262,28,171,987,bus
53,72,4,238,26,163,844,bus
42,53,7,149,19,143,321,bus
44,59,8,150,19,145,329,bus
45,56,7,148,19,144,324,bus
42,67,6,149,19,139,341,bus
53,47,4,237,26,164,838,bus
44,64,6,148,19,145,322,bus
56,57,5,251,27,169,928,bus
46,74,5,163,20,149,408,bus
42,50,8,152,19,141,332,bus
40,63,7,146,19,135,321,bus
52,58,4,227,25,158,776,bus
44,74,6,184,22,145,525,bus
43,56,6,148,19,145,317,bus
43,69,7,150,19,142,344,bus
43,62,7,149,19,145,323,bus
57,51,5,256,28,170,966,bus
42,75,6,171,20,138,446,bus
48,68,10,208,24,154,641,opel
45,62,10,188,22,148,526,opel
50,65,10,214,24,156,683,opel
43,56,7,149,19,143,333,opel
38,56,7,163,20,129,395,opel
40,58,6,132,18,137,260,opel
37,60,8,161,20,131,391,opel
39,59,8,150,19,134,331,opel
35,59,7,147,19,131,322,opel
48,67,9,205,23,151,628,opel
53,63,9,195,22,162,571,opel
52,67,9,189,22,161,536,opel
40,52,4,152,19,133,340,opel
39,62,9,172,21,135,444,opel
38,59,8,134,18,126,259,opel
38,62,6,126,18,132,232,opel
39,57,8,156,20,133,358,opel
51,68,10,209,24,162,653,opel
52,53,10,212,24,163,669,opel
38,62,9,161,20,135,388,opel
45,57,6,150,19,146,335,opel
38,55,9,169,20,130,430,opel
42,62,10,183,21,141,504,opel
55,70,10,223,25,177,737,opel
39,53,9,142,19,135,295,opel
52,62,8,200,23,161,602,opel
51,60,11,211,24,160,661,opel
54,62,9,200,23,166,600,opel
42,65,9,178,21,141,474,opel
46,68,9,201,23,148,602,opel
54,67,11,218,24,170,697,opel
37,54,7,154,19,127,352,opel
56,62,12,227,25,178,757,opel
38,53,9,134,18,132,261,opel
56,64,11,217,24,173,696,opel
55,63,11,215,24,172,677,opel
56,61,11,221,25,179,725,opel
49,54,12,208,24,159,644,opel
57,72,12,221,25,177,718,opel
55,65,9,204,23,166,624,opel
37,59,7,162,20,133,394,opel
42,55,6,145,19,139,312,opel
54,58,10,215,24,175,682,opel
54,56,10,219,25,171,706,opel
39,62,7,162,20,131,388,opel
49,64,9,177,21,153,471,opel
36,64,8,157,19,126,367,opel
39,69,8,168,20,133,416,opel
39,56,6,139,18,131,281,opel
38,57,8,139,18,127,282,opel
39,54,7,153,19,134,338,opel
57,63,11,227,25,180,756,opel
43,59,7,151,19,141,342,opel
52,62,10,198,23,161,587,opel
59,70,11,224,25,186,732,opel
48,64,11,201,23,155,602,opel
36,62,6,140,18,123,287,opel
51,63,9,190,22,161,543,opel
54,53,10,213,24,173,669,opel
55,53,11,224,25,178,737,opel
41,55,7,135,18,136,266,opel
44,66,6,162,20,143,396,opel
56,55,11,214,24,175,681,opel
54,53,10,217,24,174,692,opel
35,58,5,114,17,122,192,opel
36,56,7,127,18,125,233,opel
48,71,10,205,23,153,633,opel
53,66,11,209,24,163,653,opel
34,57,5,138,18,122,284,opel
40,62,7,176,21,138,462,opel
48,62,10,205,23,158,624,opel
52,67,9,198,23,163,589,opel
36,55,7,147,19,128,321,opel
47,69,10,200,23,147,598,opel
55,54,10,216,24,173,685,opel
51,57,10,212,24,162,663,opel
56,69,10,208,24,169,651,opel
39,60,7,177,21,131,469,opel
45,59,7,159,20,146,379,opel
45,60,7,157,20,148,371,opel
49,62,10,178,21,154,478,opel
46,58,8,165,20,149,409,opel
50,64,10,185,22,159,517,opel
35,60,8,150,19,125,331,opel
54,64,12,222,25,174,728,opel
51,67,9,217,24,162,704,opel
48,62,12,200,23,158,595,opel
54,67,10,200,23,163,597,opel
56,59,11,216,24,173,684,opel
38,61,8,164,20,129,402,opel
55,57,10,222,25,177,731,opel
44,56,8,142,19,143,296,opel
35,59,6,142,18,128,304,opel
37,54,6,126,18,128,227,opel
40,57,8,153,19,133,342,opel
47,64,8,168,20,150,426,opel
52,60,11,218,24,167,701,opel
54,59,10,213,24,172,665,opel
41,65,9,183,21,137,504,opel
49,57,11,206,23,156,630,opel
49,57,11,214,24,161,670,opel
47,57,8,161,20,149,388,opel
45,59,7,154,19,145,350,opel
38,58,6,134,18,128,259,opel
52,68,10,222,25,165,731,opel
55,62,13,222,25,180,722,opel
41,63,9,175,21,142,455,opel
43,63,10,185,22,142,513,opel
35,62,7,149,19,124,334,opel
55,56,9,219,25,175,713,opel
38,61,7,146,19,127,314,opel
58,70,11,226,25,182,752,opel
57,66,11,221,25,176,725,opel
46,64,11,197,23,152,575,opel
52,53,10,219,25,166,711,opel
55,59,10,215,24,177,678,opel
49,67,10,201,23,156,601,opel
55,60,12,221,25,173,717,opel
39,62,8,176,21,137,466,opel
48,59,8,171,21,152,438,opel
57,69,11,218,24,173,706,opel
44,60,7,152,19,141,345,opel
46,65,9,196,23,146,574,opel
36,57,8,131,18,127,252,opel
44,62,8,186,22,147,521,opel
50,65,6,178,21,156,481,opel
38,61,8,167,20,134,415,opel
52,64,11,202,23,164,610,opel
55,68,11,205,23,169,623,opel
37,59,8,153,19,126,348,opel
36,56,7,128,18,124,240,opel
38,59,5,130,18,130,247,opel
46,62,8,167,20,148,418,opel
53,54,12,216,24,172,685,opel
57,74,10,212,24,175,670,opel
36,62,8,157,19,125,367,opel
40,55,7,150,19,134,330,opel
55,68,11,218,24,171,709,opel
46,66,8,192,22,151,546,opel
54,58,10,222,25,171,728,opel
38,59,6,147,19,132,315,opel
38,59,5,133,18,128,259,opel
58,69,11,219,25,176,716,opel
36,57,7,135,18,126,266,opel
46,67,10,195,22,147,573,opel
56,59,10,210,24,173,648,opel
38,59,9,169,20,132,428,opel
51,70,11,220,25,163,722,opel
45,65,8,201,23,147,611,opel
51,52,10,206,23,164,631,opel
49,63,8,177,21,156,473,opel
55,54,10,215,24,175,683,opel
36,56,6,123,17,124,221,opel
53,58,11,217,24,166,693,opel
54,57,11,220,25,170,707,opel
34,57,3,114,17,119,191,opel
42,60,8,147,19,142,322,opel
46,61,9,193,22,150,557,opel
38,55,7,122,17,130,219,opel
38,56,5,132,18,130,261,opel
55,67,12,218,24,174,706,opel
48,61,11,207,23,152,650,opel
52,64,10,203,23,157,616,opel
57,69,11,219,25,176,708,opel
54,56,11,223,25,174,729,opel
52,71,10,214,24,164,682,opel
34,56,7,130,18,120,251,opel
47,60,7,167,20,147,417,opel
55,62,11,212,24,175,666,opel
53,63,11,220,25,167,710,opel
55,69,11,225,25,178,748,opel
45,60,8,156,19,144,366,opel
44,70,10,189,22,141,535,opel
45,62,7,164,20,145,406,opel
56,74,11,220,25,172,713,opel
52,57,11,214,24,162,676,opel
54,57,10,219,25,170,706,opel
44,54,6,149,19,144,332,opel
48,63,9,181,21,155,494,opel
52,55,10,210,24,166,657,opel
54,50,11,221,25,172,727,opel
49,63,9,186,22,156,519,opel
49,61,10,181,21,158,494,opel
43,65,10,189,22,143,534,opel
58,65,12,226,25,182,748,opel
41,55,7,138,18,138,284,opel
52,62,9,193,22,161,562,opel
39,54,5,135,18,131,274,opel
55,68,10,224,25,178,737,opel
40,61,8,178,21,132,472,opel
38,58,5,133,18,127,259,opel
