@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
9,169,61,saab
4,137,74,saab
8,164,67,saab
8,154,69,saab
7,158,68,saab
3,112,86,saab
11,211,68,saab
10,204,68,saab
8,160,72,saab
7,128,63,saab
9,157,63,saab
8,137,75,saab
11,213,72,saab
10,212,73,saab
8,142,63,saab
11,219,71,saab
7,149,72,saab
10,180,64,saab
10,216,74,saab
10,208,72,saab
8,154,61,saab
10,220,73,saab
4,135,85,saab
10,185,62,saab
11,213,72,saab
12,196,62,saab
10,201,73,saab
9,188,72,saab
7,240,80,bus
7,152,81,bus
6,145,70,bus
8,149,86,bus
6,148,82,bus
6,158,70,bus
4,227,82,bus
6,154,74,bus
6,201,74,bus
6,151,73,bus
5,166,70,bus
7,167,69,bus
7,151,75,bus
8,150,80,bus
6,148,86,bus
5,186,71,bus
4,212,78,bus
6,149,87,bus
8,150,85,bus
5,177,74,bus
6,148,88,bus
6,204,78,bus
6,149,69,bus
7,148,72,bus
7,145,67,bus
6,152,72,bus
8,150,85,bus
7,154,80,bus
5,169,68,bus
5,250,85,bus
5,155,76,bus
7,157,74,bus
7,150,78,bus
7,146,72,bus
6,148,85,bus
6,150,87,bus
7,151,80,bus
6,148,84,bus
5,247,84,bus
5,256,87,bus
7,148,84,bus
6,141,66,bus
6,151,86,bus
6,148,87,bus
6,184,73,bus
7,151,68,bus
5,194,79,bus
6,164,71,bus
7,152,81,bus
6,146,69,bus
6,152,71,bus
6,151,80,bus
7,144,69,bus
8,148,86,bus
7,176,70,bus
6,160,66,bus
6,147,80,bus
6,213,77,bus
6,151,86,bus
5,209,78,bus
6,161,69,bus
7,149,83,bus
8,155,70,bus
7,149,83,bus
7,173,70,bus
7,236,81,bus
6,265,85,bus
8,151,79,bus
7,143,69,bus
7,151,65,bus
6,241,84,bus
52,148,119,bus
7,150,69,bus
7,252,83,bus
6,260,85,bus
6,177,68,bus
7,149,85,bus
8,151,81,bus
7,184,72,bus
6,152,83,bus
7,146,72,bus
6,192,73,bus
6,150,74,bus
7,217,81,bus
6,156,69,bus
7,151,81,bus
5,202,79,bus
6,162,72,bus
7,150,85,bus
5,176,72,bus
7,157,70,bus
5,143,69,bus
6,171,69,bus
4,247,85,bus
6,218,77,bus
5,153,72,bus
6,195,75,bus
7,149,78,bus
8,147,77,bus
8,151,81,bus
6,241,85,bus
7,190,74,bus
7,234,77,bus
6,262,86,bus
7,152,76,bus
6,154,75,bus
7,151,73,bus
6,177,72,bus
7,151,79,bus
7,178,72,bus
6,255,85,bus
8,147,74,bus
7,154,72,bus
7,147,81,bus
4,238,85,bus
5,163,70,bus
7,150,81,bus
7,144,71,bus
7,153,77,bus
5,251,82,bus
7,162,68,bus
6,151,82,bus
6,152,85,bus
6,225,79,bus
7,199,73,bus
6,172,72,bus
8,257,83,bus
7,149,74,bus
7,150,83,bus
5,148,80,bus
7,150,75,bus
6,153,66,bus
6,146,71,bus
6,148,75,bus
5,161,70,bus
7,150,82,bus
7,166,69,bus
5,203,77,bus
7,155,77,bus
22,149,75,bus
8,151,80,bus
7,150,81,bus
6,171,74,bus
6,149,65,bus
7,150,72,bus
5,148,87,bus
7,149,68,bus
6,167,69,bus
7,148,69,bus
5,155,71,bus
7,236,82,bus
5,208,76,bus
6,186,74,bus
7,147,76,bus
7,150,69,bus
8,149,83,bus
8,150,82,bus
7,184,72,bus
6,261,83,bus
7,151,66,bus
7,150,88,bus
5,165,72,bus
6,220,80,bus
5,192,75,bus
6,156,71,bus
6,185,74,bus
6,153,81,bus
7,155,67,bus
7,149,81,bus
7,150,68,bus
4,250,88,bus
6,167,69,bus
52,149,127,bus
5,174,71,bus
8,149,77,bus
7,153,80,bus
6,145,73,bus
8,152,85,bus
7,153,81,bus
8,153,78,bus
8,143,68,bus
7,150,78,bus
7,152,82,bus
6,149,71,bus
6,151,75,bus
7,154,67,bus
6,145,67,bus
6,257,83,bus
7,144,71,bus
6,142,65,bus
6,150,85,bus
19,152,76,bus
7,149,85,bus
6,257,85,bus
7,151,76,bus
6,151,75,bus
6,126,70,opel
11,218,69,opel
8,168,74,opel
8,161,62,opel
7,146,69,opel
11,212,73,opel
9,204,74,opel
8,167,71,opel
7,157,69,opel
3,114,87,opel
8,142,68,opel
11,212,72,opel
8,161,72,opel
11,221,70,opel
7,152,72,opel
9,198,67,opel
10,212,66,opel
9,142,77,opel
11,215,68,opel
10,178,64,opel
11,209,66,opel
11,219,71,opel
8,139,72,opel
10,201,69,opel
7,154,71,opel
9,188,67,opel
8,171,67,opel
10,195,70,opel
12,226,71,opel
10,183,70,opel
7,164,65,opel
10,203,65,opel
10,215,75,opel
12,218,67,opel
12,216,68,opel
8,186,66,opel
8,147,62,opel
9,161,63,opel
9,205,74,opel
8,134,76,opel
11,227,72,opel
7,138,67,opel
11,220,72,opel
6,125,81,opel
5,133,87,opel
11,221,72,opel
6,134,83,opel
7,135,74,opel
8,176,67,opel
5,135,69,opel
7,147,64,opel
8,192,66,opel
9,134,65,opel
10,222,73,opel
11,205,71,opel
9,196,73,opel
11,220,73,opel
10,212,74,opel
10,189,71,opel
10,205,71,opel
10,200,73,opel
11,225,74,opel
11,226,72,opel
7,146,76,opel
9,210,72,opel
11,197,65,opel
8,150,67,opel
9,183,66,opel
11,214,67,opel
11,218,73,opel
5,114,74,opel
10,208,70,opel
11,202,65,opel
12,227,73,opel
11,223,70,opel
7,162,74,opel
10,215,76,opel
11,225,74,opel
9,181,64,opel
10,188,64,opel
8,150,73,opel
11,211,67,opel
5,132,75,opel
9,217,72,opel
9,193,64,opel
7,153,71,opel
10,179,63,opel
10,219,75,opel
9,186,62,opel
10,219,74,opel
8,153,69,opel
10,189,71,opel
8,177,67,opel
8,178,71,opel
13,222,71,opel
4,120,84,opel
7,176,66,opel
8,165,61,opel
12,221,72,opel
10,212,74,opel
10,205,65,opel
5,130,79,opel
10,192,64,opel
8,157,66,opel
6,151,64,opel
10,215,74,opel
8,168,70,opel
7,149,62,opel
6,126,82,opel
10,198,64,opel
8,140,64,opel
7,147,76,opel
9,189,72,opel
10,210,72,opel
8,161,72,opel
7,147,64,opel
10,210,73,opel
7,130,62,opel
7,135,66,opel
10,214,71,opel
6,132,61,opel
9,200,70,opel
4,152,87,opel
11,219,73,opel
11,224,73,opel
7,149,63,opel
9,169,67,opel
9,201,69,opel
7,154,75,opel
7,130,64,opel
9,178,67,opel
8,201,72,opel
9,177,67,opel
7,127,70,opel
5,138,62,opel
6,149,68,opel
10,223,75,opel
7,122,64,opel
10,185,66,opel
10,224,74,opel
7,162,63,opel
11,201,64,opel
6,140,72,opel
9,193,69,opel
7,138,72,opel
7,151,68,opel
10,206,69,opel
6,162,66,opel
9,190,68,opel
11,218,74,opel
12,208,66,opel
10,185,65,opel
8,157,63,opel
10,214,72,opel
8,153,75,opel
6,140,66,opel
7,159,65,opel
12,222,67,opel
9,175,65,opel
11,214,66,opel
12,221,72,opel
11,221,69,opel
6,178,71,opel
11,218,66,opel
10,216,75,opel
5,133,87,opel
6,139,80,opel
13,224,72,opel
10,217,72,opel
11,220,73,opel
10,213,76,opel
12,200,66,opel
7,128,70,opel
7,150,80,opel
13,225,71,opel
7,167,73,opel
6,142,64,opel
11,216,75,opel
10,200,68,opel
6,123,78,opel
8,131,76,opel
9,219,74,opel
8,162,67,opel
9,193,65,opel
7,177,71,opel
9,169,69,opel
11,220,71,opel
10,219,72,opel
9,195,68,opel
10,209,73,opel
11,217,72,opel
