@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
40,89,174,21,70,saab
38,63,115,19,77,saab
45,82,155,19,69,saab
39,85,160,20,71,saab
53,109,221,25,72,saab
40,78,170,21,68,saab
54,103,212,24,71,saab
37,80,180,19,69,saab
42,77,151,18,64,saab
36,74,171,19,61,saab
53,103,210,25,71,saab
55,104,213,23,72,saab
54,103,220,24,70,saab
37,54,131,18,85,saab
39,72,133,19,77,saab
54,101,197,24,74,saab
53,100,205,25,71,saab
53,108,211,25,69,saab
34,66,158,18,61,saab
54,108,234,24,68,saab
38,71,123,18,75,saab
46,105,195,23,66,saab
52,104,189,24,70,saab
50,90,188,21,69,saab
53,108,213,23,65,saab
38,78,191,20,67,saab
42,90,192,21,61,saab
40,63,135,18,70,saab
51,108,193,24,72,saab
56,103,234,25,73,saab
36,54,119,18,82,saab
46,106,209,23,70,saab
54,96,201,24,71,saab
48,105,214,23,64,saab
48,85,189,20,64,saab
47,88,190,21,59,saab
45,76,162,20,69,saab
39,86,180,20,63,saab
40,66,138,18,74,saab
54,102,201,24,73,saab
54,101,222,25,70,saab
53,104,181,25,72,saab
42,101,186,22,67,saab
42,98,192,22,70,saab
54,98,210,24,71,saab
46,104,208,22,68,saab
54,106,220,24,66,saab
50,94,215,22,67,saab
38,88,179,21,66,saab
43,92,197,21,64,saab
38,63,129,19,83,saab
35,53,122,17,76,saab
38,75,136,19,69,saab
45,105,208,22,64,saab
53,108,206,24,67,saab
52,101,197,22,67,saab
54,109,189,25,70,saab
55,107,222,24,71,saab
53,105,225,25,70,saab
39,89,181,21,70,saab
48,101,203,23,68,saab
44,98,197,22,64,saab
53,105,184,24,71,saab
53,103,202,25,73,saab
45,79,176,20,62,saab
40,83,166,20,72,saab
43,72,142,19,72,saab
45,81,177,20,70,saab
43,72,172,19,61,saab
49,109,204,24,71,saab
43,89,195,22,68,saab
48,90,178,21,68,saab
52,104,199,24,67,saab
38,75,132,19,75,saab
37,54,119,18,79,saab
34,72,144,18,63,saab
36,83,162,19,63,saab
49,103,200,23,72,saab
34,53,127,17,70,saab
54,109,225,24,68,saab
36,69,162,18,66,saab
53,110,231,24,67,saab
46,77,169,20,67,saab
45,76,175,20,63,saab
53,98,176,24,74,saab
53,93,197,24,72,saab
49,100,194,22,62,saab
37,66,126,18,72,saab
36,77,165,19,66,saab
49,105,209,24,64,saab
41,69,153,18,61,saab
46,104,184,23,73,saab
51,105,174,24,73,saab
55,104,219,24,74,saab
36,57,130,17,68,saab
48,107,202,24,70,saab
54,106,215,24,69,saab
52,100,203,24,72,saab
55,103,213,25,70,saab
54,100,186,24,74,saab
49,83,187,21,70,saab
53,108,204,25,71,saab
47,83,169,20,72,saab
36,54,117,18,78,saab
34,66,136,17,65,saab
41,88,184,21,63,saab
55,108,228,24,71,saab
39,81,191,20,62,saab
53,108,206,25,71,saab
45,101,201,22,73,saab
48,85,191,21,62,saab
44,77,150,19,77,saab
52,101,213,23,65,saab
38,86,175,21,68,saab
54,100,220,25,73,saab
53,108,211,23,64,saab
36,78,146,18,66,saab
54,106,188,26,81,bus
43,68,123,19,81,bus
49,79,203,21,71,bus
45,83,198,22,79,bus
41,70,155,19,71,bus
47,73,195,20,69,bus
45,70,130,19,79,bus
43,71,159,19,67,bus
38,75,188,20,74,bus
50,81,197,22,74,bus
43,68,125,19,83,bus
47,74,141,19,77,bus
37,75,191,20,69,bus
42,65,125,19,85,bus
45,76,171,19,69,bus
57,102,181,28,85,bus
46,74,202,20,70,bus
42,65,113,19,85,bus
43,64,173,19,68,bus
41,70,155,19,72,bus
47,88,183,23,74,bus
40,78,186,20,73,bus
43,68,120,19,85,bus
45,68,150,19,80,bus
50,98,204,24,77,bus
44,63,123,19,81,bus
45,68,137,19,81,bus
44,68,135,19,80,bus
37,72,193,19,70,bus
35,70,182,19,71,bus
43,73,173,19,66,bus
54,98,201,25,79,bus
43,69,123,19,87,bus
46,71,141,19,80,bus
51,88,188,23,77,bus
57,107,235,28,86,bus
46,71,159,19,73,bus
53,98,154,26,82,bus
43,71,154,19,78,bus
42,84,209,20,69,bus
47,84,205,21,70,bus
46,73,137,19,75,bus
49,76,203,21,72,bus
46,71,156,19,80,bus
56,102,246,26,82,bus
52,103,170,26,82,bus
51,93,160,24,81,bus
57,109,194,28,85,bus
43,70,147,19,77,bus
43,66,123,19,83,bus
46,70,194,20,69,bus
47,77,204,20,69,bus
46,75,185,19,72,bus
45,68,154,19,88,bus
45,85,193,22,76,bus
45,66,154,19,73,bus
43,83,198,21,68,bus
44,72,160,19,69,bus
46,71,130,19,81,bus
54,103,161,27,85,bus
49,89,168,24,78,bus
51,89,199,23,74,bus
43,68,148,19,80,bus
53,91,194,23,78,bus
39,76,180,19,72,bus
44,68,120,19,86,bus
42,66,120,19,85,bus
42,81,193,20,68,bus
43,68,170,18,65,bus
41,77,177,21,74,bus
43,68,152,19,75,bus
44,70,205,19,127,bus
45,73,152,19,71,bus
40,76,188,19,72,bus
45,70,122,19,84,bus
43,70,126,19,86,bus
46,68,139,19,74,bus
42,70,139,19,78,bus
44,70,158,18,66,bus
46,73,125,19,82,bus
43,70,169,19,76,bus
42,65,116,19,85,bus
44,66,125,19,84,bus
46,77,199,20,69,bus
37,73,186,19,67,bus
51,92,194,25,80,bus
45,66,252,19,119,bus
45,68,169,19,75,bus
53,101,238,26,85,bus
42,66,122,19,88,bus
44,70,166,18,69,bus
43,64,128,19,82,bus
49,80,206,21,73,bus
56,104,185,28,83,bus
37,73,174,19,68,bus
45,72,187,20,70,bus
41,77,197,21,72,bus
40,76,171,19,68,bus
45,71,170,19,71,bus
39,70,148,18,69,bus
42,66,120,19,85,bus
43,76,180,19,77,bus
55,102,169,26,84,bus
56,103,223,27,85,bus
43,65,127,19,85,bus
47,69,146,19,75,bus
38,74,184,20,71,bus
44,68,144,19,74,bus
43,68,139,19,83,bus
36,73,191,19,71,bus
42,70,148,19,76,bus
54,105,164,27,84,bus
45,71,128,19,79,bus
43,82,161,22,75,bus
38,72,192,20,70,bus
42,76,156,19,75,bus
42,60,116,19,85,bus
41,75,162,19,72,bus
39,75,184,19,70,bus
42,64,122,19,87,bus
45,70,120,19,81,bus
44,72,136,19,81,bus
43,73,158,19,80,bus
45,72,179,19,69,bus
49,84,219,22,74,bus
42,64,121,19,85,bus
37,74,199,20,72,bus
44,70,179,19,69,bus
45,71,155,19,72,bus
39,74,165,19,70,bus
57,102,184,26,77,bus
46,88,191,22,73,bus
45,89,213,22,71,bus
37,70,173,19,65,bus
44,65,129,19,83,bus
44,72,118,19,82,bus
43,66,130,19,86,bus
50,93,173,25,83,bus
44,72,139,19,81,bus
47,75,165,19,74,bus
49,79,180,21,70,bus
55,103,167,28,83,bus
48,79,199,22,74,bus
37,75,184,19,71,bus
52,86,207,22,75,bus
44,71,165,19,71,bus
43,66,121,19,87,bus
41,66,155,19,75,bus
44,68,113,19,88,bus
36,73,199,20,72,bus
55,98,199,26,80,bus
46,70,149,19,77,bus
54,100,227,27,88,bus
43,72,141,19,78,bus
42,66,169,19,67,bus
49,98,187,24,77,bus
58,105,183,29,85,bus
43,61,119,19,85,bus
55,96,191,26,85,bus
39,70,166,19,69,bus
43,66,123,19,85,bus
48,95,209,23,73,bus
43,66,130,19,81,bus
45,68,139,19,80,bus
40,72,155,19,72,bus
43,69,141,19,84,bus
44,70,186,19,67,bus
47,70,185,20,68,bus
42,71,152,19,74,bus
41,71,169,19,71,bus
57,106,179,28,83,bus
44,65,128,19,82,bus
38,70,186,20,71,bus
47,91,226,23,79,bus
41,76,165,19,72,bus
51,80,207,22,75,bus
43,66,120,19,87,bus
42,66,156,19,78,bus
44,70,140,19,82,bus
44,65,124,19,87,bus
45,65,128,19,81,bus
36,74,183,19,69,bus
41,73,158,19,73,bus
42,63,126,19,81,bus
42,70,130,19,82,bus
44,68,120,19,80,bus
42,63,125,19,86,bus
52,95,189,25,82,bus
44,72,150,19,80,bus
56,109,199,27,82,bus
47,75,153,19,75,bus
43,70,177,19,76,bus
46,74,171,19,71,bus
45,86,201,22,72,bus
41,76,183,19,74,bus
45,68,148,19,75,bus
40,66,121,19,87,opel
38,74,138,18,72,opel
49,86,195,21,67,opel
44,77,155,19,72,opel
35,66,154,18,64,opel
49,92,193,21,64,opel
36,72,127,18,70,opel
55,101,228,24,72,opel
41,75,143,19,76,opel
50,98,212,22,64,opel
40,79,183,21,66,opel
39,77,151,19,73,opel
52,101,206,23,64,opel
48,94,198,21,64,opel
36,51,116,17,84,opel
46,101,199,23,73,opel
39,91,191,21,67,opel
46,79,176,20,67,opel
56,100,168,24,74,opel
45,77,153,19,75,opel
48,104,214,23,74,opel
38,84,158,20,69,opel
42,96,197,21,67,opel
56,96,231,25,73,opel
36,60,116,17,78,opel
51,109,224,24,72,opel
38,76,172,20,71,opel
52,107,207,24,66,opel
46,101,210,22,66,opel
52,96,188,22,67,opel
45,73,164,20,65,opel
54,96,185,25,75,opel
45,76,166,20,69,opel
35,66,159,19,64,opel
49,103,212,23,69,opel
43,78,166,19,68,opel
53,108,184,24,68,opel
55,105,182,24,74,opel
44,98,211,22,71,opel
38,66,138,18,70,opel
55,101,189,25,71,opel
57,104,228,24,74,opel
34,66,140,18,62,opel
45,100,209,23,72,opel
48,107,215,23,65,opel
48,101,204,23,66,opel
52,93,204,22,72,opel
36,69,142,18,66,opel
52,101,218,23,65,opel
57,109,220,25,70,opel
52,98,225,24,71,opel
54,101,190,25,71,opel
42,88,188,21,70,opel
46,82,170,20,61,opel
43,96,202,22,71,opel
54,91,179,25,72,opel
51,109,231,25,73,opel
38,53,123,18,83,opel
39,88,194,20,74,opel
52,104,177,24,73,opel
49,103,186,23,65,opel
38,85,177,20,63,opel
54,98,167,24,72,opel
48,101,195,23,71,opel
52,101,213,23,65,opel
42,69,153,18,64,opel
37,76,169,20,72,opel
50,108,211,24,72,opel
39,84,149,20,74,opel
35,78,162,19,67,opel
34,69,152,18,62,opel
36,72,141,18,72,opel
54,91,209,24,74,opel
38,60,128,18,75,opel
45,92,197,22,64,opel
52,107,211,23,67,opel
35,50,121,17,74,opel
39,86,140,19,71,opel
59,108,227,25,70,opel
56,100,204,25,73,opel
54,100,163,24,76,opel
36,69,127,18,70,opel
38,63,135,18,79,opel
52,110,172,25,74,opel
54,107,189,25,70,opel
48,107,222,24,70,opel
55,101,219,25,74,opel
37,78,181,20,62,opel
51,96,196,22,68,opel
55,100,194,24,73,opel
48,105,212,23,64,opel
39,90,180,21,71,opel
48,96,232,23,71,opel
39,89,194,21,63,opel
46,79,181,20,67,opel
55,107,200,25,74,opel
55,103,197,24,75,opel
47,103,215,23,73,opel
47,81,183,20,70,opel
45,80,186,20,65,opel
35,72,172,19,62,opel
55,101,219,25,74,opel
38,63,130,17,64,opel
41,93,197,21,66,opel
55,98,224,24,68,opel
50,83,195,21,71,opel
49,107,194,24,67,opel
37,57,116,18,81,opel
53,98,203,25,71,opel
44,71,145,19,68,opel
40,80,133,19,76,opel
37,74,169,20,63,opel
43,96,197,22,65,opel
54,104,186,24,73,opel
53,98,192,24,71,opel
57,105,221,24,73,opel
52,104,222,23,67,opel
42,75,172,19,62,opel
49,86,190,21,67,opel
57,103,216,25,73,opel
51,108,193,24,66,opel
57,100,177,25,72,opel
55,103,211,24,72,opel
55,101,206,25,71,opel
58,101,208,25,71,opel
44,77,167,19,64,opel
40,69,147,18,61,opel
40,73,141,19,75,opel
40,69,146,18,64,opel
54,104,175,24,75,opel
36,78,149,19,64,opel
38,75,144,19,80,opel
55,98,161,24,76,opel
55,103,201,23,74,opel
51,103,197,24,67,opel
41,78,145,18,67,opel
53,103,221,24,66,opel
36,77,172,19,63,opel
41,66,129,18,74,opel
52,105,162,24,74,opel
49,96,201,21,62,opel
42,75,140,19,71,opel
50,88,204,22,66,opel
54,107,218,25,67,opel
39,86,169,20,74,opel
38,64,130,18,76,opel
54,103,171,25,69,opel
40,71,131,19,80,opel
34,42,110,17,87,opel
40,83,178,21,71,opel
38,58,125,18,87,opel
36,78,179,19,66,opel
37,77,144,19,71,opel
37,53,111,18,82,opel
45,82,164,19,70,opel
51,105,212,24,73,opel
55,96,170,24,75,opel
39,69,127,18,69,opel
55,108,168,25,73,opel
53,103,203,22,68,opel
46,105,209,23,65,opel
56,105,202,25,72,opel
52,109,225,25,73,opel
58,109,230,25,72,opel
36,78,160,18,66,opel
48,83,177,21,67,opel
41,92,197,21,63,opel
56,98,209,24,72,opel
51,100,197,22,64,opel
46,105,219,23,69,opel
57,103,222,25,72,opel
55,109,230,24,67,opel
44,93,193,22,66,opel
54,98,177,25,72,opel
56,100,215,24,74,opel
55,96,196,25,72,opel
56,100,185,24,75,opel
58,103,230,25,71,opel
38,72,130,18,65,opel
44,82,136,19,68,opel
40,75,146,18,72,opel
37,80,158,19,69,opel
41,83,194,21,65,opel
45,75,154,19,66,opel
55,105,216,23,71,opel
49,96,206,22,62,opel
55,101,183,25,71,opel
56,105,183,24,72,opel
47,81,156,20,72,opel
38,77,156,20,67,opel
39,72,127,19,77,opel
