@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
7,143,172,69,saab
6,118,148,65,saab
9,158,214,67,saab
10,152,214,64,saab
5,138,165,80,saab
4,127,152,85,saab
5,170,285,87,bus
5,158,222,77,bus
5,138,204,72,bus
6,146,175,73,bus
8,141,169,85,bus
6,146,172,74,bus
7,144,167,72,bus
7,127,171,67,bus
8,145,170,81,bus
6,150,168,83,bus
5,149,185,70,bus
5,143,166,69,bus
6,131,179,72,bus
5,136,175,72,bus
7,144,174,78,bus
5,159,232,78,bus
6,146,167,75,bus
7,145,179,67,bus
6,165,265,84,bus
5,124,184,71,bus
6,127,189,72,bus
6,167,264,82,bus
52,144,237,119,bus
7,145,173,85,bus
6,162,247,80,bus
7,143,176,76,bus
7,131,175,68,bus
22,147,186,88,bus
8,144,168,82,bus
4,153,238,78,bus
7,141,168,71,bus
6,128,180,69,bus
4,164,263,82,bus
7,146,167,85,bus
6,133,184,70,bus
5,146,225,79,bus
7,147,171,88,bus
6,143,169,80,bus
6,145,170,84,bus
6,139,189,68,bus
7,143,171,78,bus
6,145,208,73,bus
7,136,181,74,bus
7,171,243,77,bus
6,156,232,77,bus
7,145,172,83,bus
8,144,171,67,bus
6,159,219,74,bus
7,168,258,80,bus
5,128,188,72,bus
6,138,189,69,bus
7,157,194,72,bus
6,145,166,86,bus
6,143,164,66,bus
6,144,170,87,bus
6,148,183,69,bus
8,143,163,68,bus
7,142,169,68,bus
6,174,285,85,bus
7,152,184,69,bus
6,147,215,73,bus
7,154,208,74,bus
5,145,204,71,bus
22,139,173,75,bus
7,140,169,67,bus
6,147,170,86,bus
8,148,169,82,bus
5,154,196,71,bus
7,147,169,81,bus
5,138,184,76,bus
8,146,169,83,bus
8,145,171,85,bus
7,149,175,77,bus
7,147,166,81,bus
6,131,184,71,bus
6,148,180,71,bus
52,144,241,127,bus
7,145,169,81,bus
8,146,171,79,bus
7,160,254,82,bus
6,147,170,82,bus
6,143,173,86,bus
8,172,275,83,bus
6,156,206,73,bus
7,164,256,81,bus
7,144,170,69,bus
6,141,167,69,bus
7,158,189,70,bus
7,145,177,82,bus
7,137,174,69,bus
6,153,202,74,bus
7,148,177,80,bus
6,129,199,74,bus
7,147,166,69,bus
6,139,169,65,bus
6,144,174,87,bus
7,147,174,82,bus
7,150,216,73,bus
8,133,175,70,bus
7,143,179,70,bus
6,171,278,83,bus
8,146,173,81,bus
6,146,172,71,bus
6,141,169,67,bus
6,145,175,75,bus
7,153,179,68,bus
6,146,180,81,bus
7,143,173,81,bus
6,143,170,87,bus
7,138,175,73,bus
19,143,180,76,bus
5,144,178,70,bus
6,130,178,66,bus
7,142,179,75,bus
6,146,217,76,bus
7,144,166,83,bus
7,138,175,71,bus
7,144,181,80,bus
6,131,193,71,bus
5,165,269,84,bus
7,147,171,79,bus
6,141,169,85,bus
5,169,280,85,bus
4,158,262,82,bus
5,141,215,75,bus
7,165,240,81,bus
7,146,170,81,bus
6,146,173,75,bus
7,147,178,72,bus
6,139,197,72,bus
6,143,176,66,bus
6,126,184,71,bus
6,145,170,82,bus
5,131,189,70,bus
7,147,169,87,bus
6,168,275,83,bus
7,134,167,69,bus
6,169,287,85,bus
8,145,170,86,bus
5,144,169,80,bus
6,144,181,69,bus
6,142,168,75,bus
5,148,234,79,bus
8,145,169,77,bus
7,135,175,72,bus
6,145,170,71,bus
4,159,254,83,bus
6,144,168,73,bus
7,149,172,81,bus
6,127,178,69,bus
7,141,167,71,bus
7,150,184,69,bus
7,151,167,81,bus
6,141,172,88,bus
7,143,169,85,bus
6,175,288,85,bus
5,161,212,75,bus
7,152,190,70,bus
6,134,185,73,bus
6,146,176,74,bus
7,161,199,72,bus
6,165,246,79,bus
7,145,181,80,bus
8,145,166,86,bus
7,140,171,72,bus
5,161,227,76,bus
6,136,189,71,bus
4,162,280,88,bus
6,134,173,70,bus
7,142,177,81,bus
4,163,267,85,bus
7,142,177,78,bus
8,146,170,80,bus
5,169,272,82,bus
7,138,172,72,bus
6,170,267,85,bus
7,131,168,66,bus
8,146,170,77,bus
8,144,169,85,bus
6,142,164,65,bus
8,144,175,78,bus
7,145,178,84,bus
6,139,202,72,bus
6,169,280,85,bus
7,143,178,76,bus
7,140,171,85,bus
8,143,169,85,bus
8,143,170,74,bus
5,134,205,74,bus
7,144,175,80,bus
5,145,168,87,bus
6,152,228,77,bus
5,137,184,68,bus
7,143,180,77,bus
6,141,175,85,bus
7,148,214,74,bus
10,174,228,72,opel
10,161,207,64,opel
7,120,151,62,opel
7,126,163,72,opel
6,137,155,61,opel
11,175,219,74,opel
8,126,152,76,opel
10,164,228,71,opel
7,138,161,67,opel
11,164,219,65,opel
6,128,162,64,opel
9,142,199,65,opel
6,156,207,71,opel
8,151,208,66,opel
11,176,228,73,opel
8,133,173,75,opel
9,146,219,73,opel
12,182,225,71,opel
10,166,219,73,opel
9,162,210,68,opel
6,144,170,68,opel
11,173,225,72,opel
8,156,203,67,opel
7,127,166,69,opel
10,154,200,64,opel
8,131,182,62,opel
11,178,228,74,opel
5,131,155,69,opel
9,161,214,64,opel
9,153,197,67,opel
8,148,190,67,opel
8,161,218,67,opel
11,176,234,70,opel
10,158,197,62,opel
12,174,221,67,opel
12,172,220,68,opel
10,164,217,69,opel
8,150,193,70,opel
8,131,189,72,opel
7,141,182,68,opel
10,173,219,76,opel
8,125,174,63,opel
9,161,208,68,opel
5,127,152,87,opel
13,188,223,72,opel
11,167,221,66,opel
7,131,194,74,opel
10,175,226,76,opel
6,128,147,83,opel
9,150,207,65,opel
11,170,223,74,opel
8,126,179,69,opel
11,161,224,67,opel
11,167,228,71,opel
6,132,167,80,opel
12,174,230,67,opel
10,141,214,71,opel
7,137,170,76,opel
10,148,202,64,opel
12,177,223,72,opel
10,169,227,74,opel
9,151,227,74,opel
7,131,209,71,opel
11,178,231,73,opel
7,145,181,75,opel
6,123,161,66,opel
9,166,227,74,opel
11,172,223,73,opel
8,127,160,72,opel
10,175,224,74,opel
12,178,231,73,opel
3,119,131,87,opel
7,147,197,73,opel
10,153,226,71,opel
8,143,159,68,opel
8,149,181,61,opel
9,137,202,66,opel
8,147,231,72,opel
8,137,196,67,opel
10,175,221,75,opel
13,180,225,71,opel
10,156,215,69,opel
9,166,222,70,opel
10,142,202,65,opel
8,126,182,66,opel
7,126,154,66,opel
10,163,226,74,opel
10,173,217,72,opel
12,173,225,72,opel
10,172,223,73,opel
7,148,184,69,opel
8,125,172,67,opel
10,177,237,75,opel
9,161,216,69,opel
11,165,229,72,opel
7,134,167,80,opel
5,130,148,75,opel
11,170,220,72,opel
11,180,234,72,opel
6,143,189,66,opel
9,135,181,63,opel
10,162,222,73,opel
10,171,219,72,opel
6,128,135,82,opel
7,130,137,64,opel
10,157,214,65,opel
11,166,228,71,opel
10,147,224,70,opel
8,134,196,71,opel
7,124,147,70,opel
8,134,176,73,opel
11,152,227,71,opel
9,161,214,72,opel
9,130,196,69,opel
8,149,183,67,opel
10,143,217,71,opel
11,156,212,65,opel
11,178,231,74,opel
6,132,144,70,opel
6,131,151,80,opel
11,171,228,69,opel
10,171,224,71,opel
10,163,214,68,opel
9,135,165,77,opel
9,132,145,65,opel
8,138,165,64,opel
7,133,178,63,opel
9,162,238,72,opel
10,177,225,71,opel
11,155,212,64,opel
6,125,142,81,opel
6,146,170,66,opel
10,140,197,63,opel
9,163,217,67,opel
8,133,185,74,opel
11,174,225,70,opel
11,173,226,73,opel
8,152,195,67,opel
11,186,225,70,opel
9,175,231,74,opel
9,161,206,67,opel
8,132,199,71,opel
10,161,210,64,opel
5,122,158,62,opel
7,125,144,70,opel
4,133,170,87,opel
10,158,222,65,opel
10,177,221,74,opel
6,139,170,71,opel
9,135,191,63,opel
7,143,170,63,opel
8,142,174,62,opel
9,155,200,64,opel
6,145,175,64,opel
9,132,190,67,opel
12,159,214,66,opel
5,128,152,87,opel
4,124,135,84,opel
8,129,186,63,opel
9,168,236,72,opel
7,134,147,64,opel
11,163,222,66,opel
10,166,235,74,opel
11,162,217,66,opel
8,127,148,76,opel
12,158,215,66,opel
7,131,169,64,opel
7,124,169,62,opel
9,156,202,62,opel
7,127,179,71,opel
7,145,188,65,opel
13,177,225,71,opel
10,154,232,70,opel
11,172,219,75,opel
11,173,219,75,opel
6,135,158,72,opel
10,173,219,75,opel
11,170,222,68,opel
7,129,184,67,opel
8,133,199,74,opel
7,136,154,74,opel
10,147,220,73,opel
10,165,241,73,opel
11,152,212,65,opel
11,163,238,73,opel
8,149,187,72,opel
8,144,181,70,opel
9,148,223,69,opel
10,159,209,66,opel
11,169,221,71,opel
7,135,172,76,opel
