@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
93,58,136,18,138,137,van
94,56,159,20,160,186,van
90,60,128,18,141,157,van
90,126,153,19,156,200,van
96,64,151,19,148,182,van
86,64,138,18,143,174,van
86,60,119,17,134,141,van
95,52,133,18,140,140,van
88,57,123,17,144,160,van
89,59,158,20,158,173,van
83,53,132,18,137,157,van
95,65,145,19,145,140,van
96,50,137,18,141,139,van
94,54,158,20,162,186,van
90,58,161,20,153,185,van
94,60,133,18,135,128,van
86,56,118,17,129,152,van
86,61,122,17,127,112,van
93,63,156,20,165,188,van
86,54,119,17,121,137,van
89,102,155,20,160,177,van
91,55,130,18,146,156,van
95,66,153,19,144,150,van
88,59,128,18,129,109,van
89,58,136,18,146,166,van
83,53,122,17,129,135,van
96,62,140,18,150,124,van
90,60,161,20,159,186,van
86,54,119,17,132,129,van
89,56,118,17,137,153,van
85,63,143,19,147,179,van
88,56,157,20,155,175,van
87,62,147,19,152,181,van
94,64,128,18,143,159,van
86,63,138,18,134,124,van
89,59,123,17,137,150,van
89,64,144,19,139,149,van
93,66,151,19,147,179,van
100,67,157,20,150,184,van
90,56,160,20,167,185,van
89,133,158,20,163,176,van
93,56,127,18,145,152,van
88,62,137,18,137,124,van
97,64,128,18,129,112,van
89,54,120,17,127,147,van
94,64,156,19,153,187,van
89,64,156,20,163,188,van
90,64,135,18,145,162,van
94,68,157,20,156,176,van
88,55,155,20,158,164,van
93,66,156,20,158,178,van
94,70,157,20,155,192,van
96,66,155,19,150,159,van
93,52,127,18,137,119,van
92,63,146,19,140,137,van
85,64,147,19,148,174,van
89,66,159,20,159,176,van
83,53,132,18,140,157,van
89,55,157,20,160,176,van
91,61,147,19,152,199,van
84,62,136,18,134,140,van
94,54,127,18,132,116,van
93,51,140,18,141,149,van
86,68,142,18,147,171,van
96,63,146,19,148,161,van
90,59,160,20,160,185,van
90,55,160,20,161,171,van
86,61,133,18,130,127,van
94,63,158,20,157,162,van
93,63,144,19,143,127,van
94,57,156,20,170,187,van
93,69,136,18,136,127,van
87,58,140,18,148,175,van
89,58,126,17,128,112,van
93,64,137,18,145,159,van
94,54,155,19,149,161,van
97,67,157,20,157,157,van
93,58,159,20,160,189,van
91,56,126,18,144,155,van
91,55,132,18,135,124,van
97,63,151,19,148,171,van
96,68,155,19,148,182,van
98,63,142,18,148,171,van
88,55,154,19,150,164,van
87,64,133,18,142,159,van
85,55,120,17,128,131,van
84,61,137,18,140,121,van
86,55,117,17,134,148,van
90,48,135,18,139,151,van
90,62,159,20,156,186,van
89,54,156,20,151,176,van
96,48,134,18,141,139,van
90,58,152,19,155,184,van
89,58,153,19,151,186,van
87,54,115,17,126,144,van
99,66,204,23,165,224,saab
92,56,160,20,148,184,saab
108,55,216,24,171,214,saab
106,64,208,24,158,184,saab
109,59,207,24,156,213,saab
91,60,150,19,133,121,saab
107,68,218,25,170,224,saab
90,61,181,21,158,220,saab
103,56,210,24,163,222,saab
83,55,129,18,127,140,saab
90,63,176,21,154,222,saab
112,58,208,24,159,186,saab
104,68,218,24,173,229,saab
99,63,201,23,152,199,saab
104,61,207,24,157,168,saab
89,53,134,18,127,146,saab
110,64,213,24,171,221,saab
86,62,150,19,133,173,saab
107,62,218,24,170,217,saab
92,57,153,19,128,124,saab
108,63,196,23,159,201,saab
109,60,215,24,162,212,saab
105,63,222,25,168,201,saab
89,59,161,20,131,137,saab
90,60,157,19,128,123,saab
104,64,220,25,172,203,saab
115,60,196,23,162,184,saab
103,66,203,23,149,210,saab
89,62,144,19,139,170,saab
97,71,221,25,167,202,saab
87,53,137,18,127,145,saab
88,60,175,21,152,198,saab
113,62,203,23,151,183,saab
104,54,208,24,162,221,saab
88,58,125,18,130,145,saab
103,55,212,24,168,223,saab
97,66,188,22,144,175,saab
93,69,183,22,156,230,saab
95,61,157,20,134,125,saab
106,64,221,25,168,200,saab
98,66,188,22,157,231,saab
82,63,135,18,128,143,saab
98,63,177,21,155,197,saab
91,60,160,20,133,155,saab
88,60,148,19,131,157,saab
108,73,221,25,174,214,saab
91,56,149,19,140,165,saab
89,62,149,19,129,153,saab
90,59,140,18,124,117,saab
107,65,218,25,167,216,saab
83,57,128,18,125,139,saab
92,66,154,19,133,130,saab
102,64,201,23,152,178,saab
98,59,199,23,154,165,saab
104,63,213,24,166,202,saab
105,61,198,23,149,186,saab
93,64,160,20,147,188,saab
89,58,177,21,133,155,saab
93,59,167,20,134,129,saab
88,56,154,19,149,170,saab
83,61,135,18,127,141,saab
92,57,159,20,147,177,saab
105,60,191,22,162,194,saab
84,54,149,19,132,149,saab
100,60,197,23,147,198,saab
98,64,166,20,138,131,saab
101,69,215,24,168,214,saab
88,58,140,18,142,158,saab
87,57,128,18,129,132,saab
91,63,175,21,132,156,saab
99,63,186,22,144,166,saab
89,61,164,20,150,190,saab
119,65,213,24,167,232,saab
111,60,211,24,156,188,saab
82,54,132,18,127,142,saab
104,65,213,24,168,221,saab
86,59,137,18,133,151,saab
97,59,175,21,140,147,saab
91,59,163,20,148,179,saab
109,63,222,25,175,213,saab
108,61,212,24,159,215,saab
108,62,202,23,164,235,saab
97,63,185,22,144,165,saab
100,65,198,23,164,240,saab
102,67,222,25,177,213,saab
96,66,192,22,143,195,saab
91,53,144,19,131,149,saab
115,62,217,24,165,214,saab
102,67,204,23,162,195,saab
98,65,197,23,152,174,saab
78,51,142,19,130,146,saab
86,56,133,18,135,166,saab
104,64,213,24,172,222,saab
89,63,140,18,131,126,saab
112,56,214,24,159,203,saab
86,58,135,18,124,148,saab
96,56,141,18,141,169,saab
101,61,198,23,150,195,saab
116,67,217,24,165,222,saab
94,60,158,20,148,181,saab
91,56,155,19,126,123,saab
101,62,188,22,162,203,saab
100,60,171,21,155,169,saab
110,66,211,24,164,210,saab
93,57,149,19,143,176,saab
89,59,153,19,129,137,saab
102,68,207,24,164,238,saab
106,64,201,23,158,204,saab
110,57,213,24,162,190,saab
90,59,163,20,131,158,saab
90,64,160,20,125,139,saab
104,66,214,24,173,221,saab
105,57,211,24,168,218,saab
95,64,187,22,150,158,saab
93,64,169,20,134,149,saab
91,64,177,21,135,165,saab
105,69,221,25,170,202,saab
101,60,175,21,153,187,saab
84,57,116,17,123,128,saab
87,58,151,19,136,140,saab
108,57,220,25,174,214,saab
86,56,136,18,136,162,saab
85,58,142,19,137,164,saab
97,60,157,20,149,169,saab
107,66,218,24,169,216,saab
109,69,221,25,169,212,saab
105,68,208,24,166,218,saab
85,56,152,19,134,160,saab
108,65,208,24,162,240,saab
98,67,206,23,167,220,saab
93,63,185,22,138,173,saab
94,62,169,20,139,133,saab
110,61,193,22,149,160,saab
104,59,217,24,163,203,saab
89,64,161,20,151,174,saab
105,62,220,25,163,202,saab
104,61,217,24,168,209,saab
90,55,123,17,118,118,saab
86,60,170,21,134,138,saab
86,60,150,19,128,131,saab
113,62,216,24,165,196,saab
108,64,220,25,168,214,saab
104,61,216,24,173,220,saab
91,61,142,19,128,137,saab
91,60,172,21,134,152,saab
92,67,154,19,129,144,saab
85,53,115,17,118,127,saab
92,60,158,20,131,144,saab
95,66,191,22,148,169,saab
88,62,135,18,125,144,saab
85,58,116,17,121,127,saab
82,53,125,18,126,128,saab
93,56,133,18,123,125,saab
100,62,180,21,143,153,saab
93,63,164,20,134,139,saab
100,59,208,24,163,197,saab
91,55,146,19,132,149,saab
97,59,186,22,138,168,saab
85,59,132,18,135,150,saab
84,55,140,18,125,138,saab
82,53,135,18,126,144,saab
90,58,157,20,132,115,saab
104,65,187,22,156,195,saab
80,55,146,19,130,158,saab
108,56,220,25,167,214,saab
85,54,147,19,131,145,saab
105,70,215,24,168,228,saab
106,67,222,25,173,200,saab
91,59,169,20,132,142,saab
101,59,214,24,162,194,saab
79,55,142,19,128,145,saab
104,66,207,23,158,220,saab
106,54,216,24,171,218,saab
100,61,166,20,154,175,saab
94,59,152,19,143,187,saab
109,66,214,24,167,212,saab
94,60,170,21,131,144,saab
111,61,207,23,167,216,saab
95,59,168,20,152,185,saab
101,72,217,24,171,216,saab
85,57,112,17,119,127,saab
93,58,128,18,134,158,saab
96,67,187,22,158,214,saab
108,62,206,23,155,215,saab
96,58,181,21,134,160,saab
90,57,121,17,127,132,saab
109,63,219,25,172,212,saab
86,61,150,19,138,173,saab
107,56,213,24,162,217,saab
93,66,173,21,151,205,saab
90,59,154,19,144,158,saab
104,59,197,23,158,234,saab
106,60,215,24,169,218,saab
101,60,195,22,161,219,saab
103,60,185,22,160,178,saab
107,71,219,25,172,217,saab
96,72,167,20,150,182,bus
89,76,150,19,136,148,bus
82,52,152,19,147,177,bus
99,74,202,23,148,186,bus
88,61,143,18,143,173,bus
97,66,151,19,129,119,bus
100,70,183,21,156,198,bus
92,74,157,19,143,183,bus
85,56,148,19,145,171,bus
100,65,201,23,159,205,bus
88,66,148,19,134,143,bus
92,70,154,19,131,127,bus
81,60,152,19,151,179,bus
88,74,152,19,143,168,bus
82,68,150,19,143,173,bus
81,62,149,19,145,171,bus
85,56,150,19,144,173,bus
82,64,147,19,143,184,bus
84,55,150,19,148,176,bus
84,64,154,19,145,184,bus
109,58,227,25,158,217,bus
80,53,151,19,146,190,bus
84,64,151,19,143,157,bus
103,52,236,26,160,250,bus
91,67,149,19,135,144,bus
86,53,152,19,141,172,bus
89,73,157,19,136,153,bus
83,69,143,18,143,170,bus
85,58,149,19,144,172,bus
92,71,161,20,128,135,bus
85,55,150,19,146,173,bus
99,68,185,22,153,171,bus
99,66,164,20,131,137,bus
85,54,148,19,145,174,bus
89,50,150,19,147,189,bus
87,61,143,18,136,141,bus
91,66,145,19,140,159,bus
96,74,165,20,128,136,bus
85,54,149,19,145,186,bus
89,64,141,18,143,173,bus
86,66,146,19,144,176,bus
88,68,152,19,148,192,bus
86,57,151,19,147,188,bus
86,70,146,19,146,189,bus
83,70,151,19,147,198,bus
85,58,148,19,145,185,bus
83,61,147,19,143,180,bus
86,57,148,19,145,186,bus
104,54,212,24,153,198,bus
87,75,146,19,141,178,bus
86,56,148,19,144,186,bus
100,68,199,23,150,200,bus
94,71,186,22,145,182,bus
106,48,247,27,165,243,bus
85,56,151,19,145,186,bus
107,49,252,28,172,239,bus
105,51,217,24,165,208,bus
79,62,153,19,144,174,bus
84,65,145,19,144,177,bus
107,51,257,28,172,232,bus
83,65,144,19,141,147,bus
81,73,151,19,146,186,bus
94,72,158,19,133,127,bus
82,61,147,19,143,183,bus
93,71,176,21,152,201,bus
98,74,190,22,154,209,bus
107,50,255,28,169,264,bus
100,67,186,22,158,198,bus
82,64,148,19,138,152,bus
93,68,151,19,131,135,bus
98,69,166,20,131,138,bus
86,53,150,19,144,172,bus
94,69,150,19,142,177,bus
106,67,250,27,162,262,bus
102,64,192,22,146,163,bus
88,68,150,19,137,151,bus
98,68,164,20,136,129,bus
100,63,218,24,156,213,bus
95,64,145,19,141,171,bus
94,74,184,22,145,154,bus
91,75,171,20,138,161,bus
80,59,150,19,145,173,bus
85,65,149,19,139,155,bus
96,74,163,20,149,191,bus
83,64,149,19,142,158,bus
90,64,151,19,131,139,bus
102,61,225,25,165,231,bus
90,55,152,19,142,173,bus
89,63,146,19,135,145,bus
80,53,150,19,147,176,bus
101,57,236,26,164,253,bus
81,55,149,19,145,172,bus
100,70,162,20,153,172,bus
80,60,150,19,146,176,bus
94,67,142,18,142,177,bus
85,55,149,19,146,172,bus
86,68,154,19,146,190,bus
87,59,149,19,142,156,bus
82,65,151,19,143,160,bus
89,66,144,19,147,169,bus
96,70,167,20,148,171,bus
91,69,169,20,137,156,bus
89,62,147,19,143,153,bus
87,67,148,19,140,152,bus
86,64,148,19,145,185,bus
98,61,172,21,139,141,bus
102,65,194,22,146,167,bus
86,54,150,19,140,172,bus
87,72,152,19,145,171,bus
92,71,152,19,131,143,bus
87,56,149,19,144,171,bus
86,65,149,19,146,185,bus
98,63,192,22,147,174,bus
104,66,208,24,161,218,bus
110,64,250,27,169,239,bus
96,64,177,21,134,148,bus
82,68,151,19,145,173,bus
86,54,148,19,143,171,bus
86,50,152,19,141,171,bus
106,47,237,26,164,222,bus
85,53,149,19,145,163,bus
96,70,149,19,127,127,bus
85,62,152,19,145,179,bus
86,63,149,19,145,176,bus
81,69,151,19,147,186,bus
94,72,153,19,144,178,bus
110,51,261,28,171,257,bus
86,54,150,19,144,177,bus
85,54,150,19,147,175,bus
84,75,155,19,143,173,bus
85,56,150,19,145,172,bus
81,64,150,19,144,171,bus
106,67,262,28,171,260,bus
96,70,155,19,145,166,bus
105,71,195,22,159,188,bus
95,69,177,21,139,163,bus
87,64,151,19,138,152,bus
87,56,149,19,143,171,bus
84,64,146,19,142,180,bus
96,59,213,24,152,210,bus
99,65,209,24,159,214,bus
97,68,171,20,129,137,bus
81,57,149,19,146,172,bus
97,73,178,21,157,186,bus
81,60,153,19,146,178,bus
102,72,238,26,163,242,bus
84,54,151,19,146,176,bus
102,60,220,25,162,209,bus
87,66,145,19,134,139,bus
97,60,197,23,148,201,bus
94,71,154,19,127,132,bus
85,54,148,19,141,174,bus
88,73,158,20,134,148,bus
100,71,176,21,138,151,bus
82,69,148,19,144,184,bus
87,65,155,19,138,157,bus
98,71,166,20,150,180,bus
94,71,174,21,154,206,bus
93,69,184,22,145,183,bus
98,72,184,21,161,198,bus
90,69,160,20,130,133,bus
100,73,162,20,127,125,bus
105,54,222,25,159,206,bus
81,53,151,19,147,178,bus
96,55,186,22,141,162,bus
85,103,149,19,144,188,bus
90,68,150,19,138,157,bus
113,56,260,28,175,261,bus
87,66,151,19,146,189,bus
97,65,153,19,143,172,bus
98,68,155,19,124,117,bus
101,65,204,23,161,214,bus
111,51,265,29,174,255,bus
110,57,251,27,169,268,bus
81,64,151,19,147,195,bus
81,61,153,19,148,190,bus
78,65,147,19,145,168,bus
86,56,152,19,142,173,bus
85,58,151,19,146,187,bus
107,59,240,26,168,245,bus
83,59,148,19,146,183,bus
81,56,153,19,149,191,bus
88,70,144,19,141,172,bus
80,54,150,19,145,176,bus
108,51,256,28,170,261,bus
95,70,167,20,152,185,bus
101,67,149,19,139,165,bus
85,57,151,19,143,168,bus
97,71,161,20,144,186,bus
94,69,156,19,144,191,bus
106,47,247,27,166,242,bus
108,75,239,26,167,228,bus
83,59,150,19,146,183,bus
91,69,150,19,144,179,bus
82,126,148,19,144,185,bus
91,75,154,19,147,192,bus
84,60,177,21,131,145,opel
94,62,172,21,135,121,opel
100,62,186,22,147,151,opel
96,58,215,24,175,222,opel
97,64,168,20,150,182,opel
80,55,125,18,125,132,opel
96,59,171,21,152,196,opel
95,67,205,23,151,202,opel
93,62,149,19,124,125,opel
80,56,139,18,131,142,opel
104,69,219,25,176,219,opel
106,62,200,23,161,200,opel
104,70,223,25,177,218,opel
100,70,226,25,182,207,opel
104,62,198,23,161,204,opel
89,62,157,19,125,126,opel
84,62,126,18,132,139,opel
91,62,193,22,161,244,opel
105,64,217,24,173,216,opel
103,57,220,25,170,198,opel
94,55,169,20,130,155,opel
104,59,188,22,161,205,opel
91,65,196,23,146,199,opel
106,58,217,24,166,191,opel
97,63,179,21,140,136,opel
93,60,167,20,147,201,opel
106,68,215,24,170,214,opel
77,59,147,19,132,136,opel
100,70,220,25,163,206,opel
86,62,140,18,135,162,opel
102,53,217,24,174,223,opel
99,66,221,25,176,236,opel
109,59,192,22,161,195,opel
86,57,156,20,133,157,opel
89,58,132,18,137,151,opel
105,56,219,25,175,216,opel
106,57,214,24,161,172,opel
94,62,167,20,148,193,opel
106,60,221,25,173,214,opel
100,67,217,24,162,206,opel
98,65,226,25,182,216,opel
92,62,176,21,137,151,opel
82,59,133,18,128,146,opel
94,59,162,20,133,130,opel
104,67,218,24,170,196,opel
88,59,130,18,134,144,opel
107,62,188,22,148,159,opel
76,58,133,18,127,145,opel
90,62,162,20,131,147,opel
107,61,221,25,179,212,opel
92,58,165,20,149,164,opel
88,62,176,21,138,150,opel
90,64,157,19,126,142,opel
86,59,169,20,132,148,opel
103,62,212,24,175,219,opel
104,67,218,24,174,226,opel
82,54,153,19,134,139,opel
95,68,201,23,148,201,opel
89,61,146,19,127,142,opel
91,59,147,19,131,123,opel
100,52,206,23,164,193,opel
85,52,152,19,133,163,opel
88,69,168,20,133,151,opel
101,55,214,24,175,224,opel
103,69,218,24,173,250,opel
87,61,164,20,129,130,opel
103,65,212,24,165,249,opel
92,56,149,19,143,168,opel
93,56,130,18,120,114,opel
92,58,140,18,138,151,opel
108,68,218,24,171,210,opel
84,56,132,18,130,141,opel
100,68,222,25,165,207,opel
106,63,220,25,167,214,opel
86,55,135,18,136,165,opel
103,59,216,24,173,219,opel
101,57,225,25,177,204,opel
91,61,167,20,134,145,opel
92,67,189,22,161,240,opel
99,54,224,25,188,213,opel
80,57,114,17,119,121,opel
107,57,214,24,162,189,opel
86,54,154,19,127,145,opel
81,58,134,18,128,148,opel
80,59,134,18,126,135,opel
103,63,193,22,161,185,opel
95,65,189,22,143,166,opel
101,53,212,24,163,204,opel
99,62,222,25,180,213,opel
86,60,152,19,141,161,opel
100,57,222,25,177,211,opel
91,57,150,19,146,180,opel
97,66,192,22,151,169,opel
103,54,208,24,159,183,opel
89,57,161,20,149,197,opel
89,57,135,18,126,128,opel
88,56,142,19,143,174,opel
96,54,215,24,175,221,opel
100,65,201,23,147,189,opel
91,63,177,21,156,201,opel
85,55,147,19,128,134,opel
101,69,208,24,169,223,opel
103,59,210,24,173,218,opel
88,58,114,17,122,138,opel
103,62,200,23,158,164,opel
97,54,216,24,173,218,opel
88,59,151,19,145,177,opel
104,74,220,25,172,218,opel
104,72,221,25,177,218,opel
95,74,212,24,175,223,opel
85,53,134,18,132,123,opel
78,56,123,17,124,121,opel
89,55,145,19,139,166,opel
108,60,211,24,160,187,opel
97,67,195,22,147,194,opel
102,63,185,22,142,139,opel
101,54,216,24,172,187,opel
99,68,224,25,178,213,opel
87,59,154,19,145,172,opel
88,62,140,18,123,129,opel
105,57,219,25,170,217,opel
105,60,218,24,167,197,opel
102,57,212,24,162,184,opel
89,56,146,19,137,156,opel
88,57,138,18,122,120,opel
103,64,222,25,174,199,opel
85,59,150,19,134,133,opel
93,59,151,19,141,174,opel
87,64,177,21,153,209,opel
89,56,138,18,126,130,opel
79,55,147,19,135,144,opel
89,66,162,20,143,180,opel
104,69,219,25,176,246,opel
87,60,156,19,144,174,opel
102,53,213,24,173,201,opel
103,63,175,21,142,138,opel
97,65,214,24,156,218,opel
99,62,200,23,166,241,opel
95,62,178,21,154,171,opel
78,56,120,17,124,135,opel
97,60,161,20,131,136,opel
99,55,210,24,166,215,opel
95,62,164,20,145,178,opel
90,61,178,21,132,157,opel
83,54,135,18,131,162,opel
100,63,227,25,180,205,opel
77,59,130,18,130,139,opel
97,70,224,25,186,218,opel
97,64,201,23,155,162,opel
97,62,161,20,131,117,opel
98,60,157,20,148,186,opel
95,63,190,22,161,235,opel
101,68,208,24,154,204,opel
85,59,153,19,126,136,opel
95,65,178,21,141,149,opel
93,59,142,18,128,120,opel
101,61,225,25,178,204,opel
85,56,127,18,125,123,opel
88,56,163,20,129,140,opel
105,67,200,23,163,214,opel
92,64,162,20,149,178,opel
93,62,183,21,141,168,opel
111,50,221,25,172,201,opel
109,57,206,23,156,186,opel
85,55,122,17,130,144,opel
73,54,126,18,128,147,opel
104,68,205,23,169,216,opel
80,56,128,18,124,133,opel
102,64,203,23,157,186,opel
93,60,150,19,125,137,opel
102,58,222,25,171,203,opel
79,53,142,19,135,144,opel
97,63,215,24,172,219,opel
93,59,159,20,146,188,opel
86,57,131,18,127,139,opel
105,61,193,22,150,161,opel
87,70,189,22,141,178,opel
92,62,161,20,135,132,opel
103,56,223,25,174,200,opel
91,65,183,21,137,153,opel
101,67,201,23,156,174,opel
107,66,209,24,163,212,opel
98,59,213,24,172,217,opel
96,69,200,23,147,200,opel
106,61,181,21,158,180,opel
101,63,195,22,162,210,opel
98,61,207,23,152,193,opel
89,65,178,21,156,210,opel
98,70,210,24,168,245,opel
101,59,215,24,177,223,opel
102,71,214,24,164,199,opel
