@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
92,37,180,190,195,saab
100,46,222,189,197,saab
91,39,197,188,194,saab
93,39,149,198,204,saab
109,52,220,189,199,saab
102,48,214,192,204,saab
112,50,223,191,202,saab
93,42,206,189,197,saab
90,34,165,201,207,saab
86,41,165,182,185,saab
89,43,163,194,201,saab
111,50,223,190,200,saab
107,51,226,188,198,saab
106,52,214,192,204,saab
105,54,217,189,199,saab
96,50,214,193,201,saab
103,53,220,187,197,saab
98,38,197,192,199,saab
100,52,220,187,198,saab
104,51,220,187,197,saab
78,38,162,181,185,saab
88,37,141,184,188,saab
110,51,226,191,199,saab
98,39,184,197,205,saab
89,38,186,192,197,saab
106,53,224,188,197,saab
110,53,223,190,203,saab
92,38,181,189,195,saab
109,49,225,191,202,saab
96,45,218,189,197,saab
101,55,229,188,199,saab
94,46,181,193,199,saab
95,37,178,196,208,saab
91,39,170,184,189,saab
112,50,232,191,202,saab
110,54,222,188,198,saab
107,53,216,194,205,saab
91,39,197,191,198,saab
104,53,226,189,203,saab
79,38,153,180,183,saab
113,53,221,188,199,saab
101,51,219,192,201,saab
108,54,216,190,200,saab
92,36,169,203,211,saab
86,40,152,187,191,saab
83,36,143,179,183,saab
97,41,192,196,205,saab
90,39,200,189,195,saab
90,36,187,195,203,saab
91,36,177,195,201,saab
85,34,137,185,189,saab
82,36,150,181,182,saab
104,53,216,187,198,saab
90,50,211,191,199,saab
95,47,196,191,198,saab
110,46,209,194,203,saab
92,37,181,190,196,saab
84,36,166,189,195,saab
99,53,221,191,201,saab
91,36,163,193,200,saab
86,36,174,196,203,saab
83,37,152,180,183,saab
93,47,197,195,202,saab
93,43,172,189,194,saab
87,38,158,181,186,saab
109,47,219,190,198,saab
103,51,222,187,196,saab
106,52,229,190,205,saab
88,37,151,180,184,saab
86,36,155,190,195,saab
104,50,207,195,206,saab
108,54,228,189,197,saab
98,47,207,194,208,saab
94,43,175,193,198,saab
115,52,229,188,197,saab
89,48,188,195,201,saab
98,50,195,193,201,saab
89,38,179,187,192,saab
103,46,217,191,199,saab
93,39,186,197,204,saab
94,38,188,195,204,saab
80,38,168,180,185,saab
99,48,221,188,197,saab
108,53,226,189,199,saab
91,43,168,186,191,saab
98,42,189,199,208,saab
97,55,222,186,196,saab
102,51,220,188,197,saab
109,53,229,188,199,saab
88,38,163,180,183,saab
107,56,226,189,196,saab
85,33,130,181,183,saab
98,55,223,187,196,saab
84,44,175,183,187,saab
95,46,210,190,200,saab
95,53,220,188,196,saab
97,44,202,191,199,saab
104,51,232,190,201,saab
93,34,158,200,206,saab
101,46,213,192,205,saab
90,49,205,189,195,saab
87,41,164,181,185,saab
104,53,226,188,201,saab
84,35,135,183,190,saab
82,37,148,183,187,saab
107,54,229,187,199,saab
89,37,151,184,185,saab
86,40,165,180,185,saab
92,46,185,186,191,saab
109,54,229,188,201,saab
97,45,180,198,206,saab
93,51,211,189,196,saab
105,54,232,187,199,saab
88,48,200,192,199,saab
101,56,232,187,197,saab
91,36,166,196,205,saab
108,56,232,187,197,saab
115,53,229,189,199,saab
106,49,224,190,202,saab
109,53,226,188,201,saab
89,40,202,189,196,saab
85,40,159,191,195,saab
100,46,189,198,207,saab
98,51,207,191,199,saab
89,35,139,181,184,saab
91,39,190,192,199,saab
102,54,228,189,200,saab
108,49,229,190,199,saab
108,54,229,189,201,saab
83,37,146,180,184,saab
106,53,235,187,197,saab
86,38,191,191,199,saab
105,53,224,186,197,saab
90,36,177,197,204,saab
115,51,207,198,208,saab
90,39,189,186,192,saab
87,39,174,187,196,saab
89,36,164,193,204,saab
107,55,221,187,197,saab
82,37,151,179,185,saab
117,52,228,194,205,saab
106,54,228,187,201,saab
109,54,229,187,200,saab
89,42,166,185,189,saab
90,43,174,203,209,saab
96,37,183,190,197,saab
96,40,197,191,200,saab
86,40,162,186,190,saab
104,55,232,188,199,saab
107,54,221,188,197,saab
96,40,205,192,202,saab
101,51,223,190,206,saab
98,48,216,189,197,saab
105,54,226,189,201,saab
86,41,155,183,189,saab
94,40,184,200,210,saab
85,38,171,183,188,saab
87,46,175,186,190,bus
99,47,234,192,191,bus
80,44,170,180,185,bus
99,51,232,191,189,bus
86,42,175,179,183,bus
91,42,189,196,201,bus
84,42,179,187,193,bus
92,37,184,198,202,bus
98,40,197,199,201,bus
80,43,169,179,184,bus
100,49,206,198,199,bus
98,38,189,200,203,bus
85,42,166,179,182,bus
99,38,193,200,202,bus
82,45,169,181,184,bus
87,39,164,192,199,bus
107,55,269,179,186,bus
90,42,173,180,184,bus
101,56,275,180,184,bus
87,44,167,194,201,bus
100,50,232,189,189,bus
105,51,240,188,188,bus
99,51,222,191,190,bus
97,47,214,192,191,bus
86,44,170,181,183,bus
101,42,169,202,209,bus
106,54,269,181,182,bus
83,46,172,185,191,bus
93,37,175,196,205,bus
84,47,175,185,192,bus
81,44,170,179,183,bus
78,43,169,181,186,bus
81,46,172,180,186,bus
82,45,169,181,184,bus
84,45,168,183,187,bus
84,43,173,181,184,bus
89,40,174,193,197,bus
82,44,174,180,185,bus
110,56,280,184,183,bus
85,42,173,180,182,bus
85,45,169,181,184,bus
89,44,164,193,199,bus
79,43,175,182,188,bus
98,52,212,194,195,bus
94,44,208,196,197,bus
86,43,169,179,182,bus
93,47,190,198,201,bus
84,45,168,184,188,bus
113,57,288,182,183,bus
85,42,172,180,182,bus
88,44,167,188,193,bus
108,57,285,182,181,bus
100,51,219,193,193,bus
81,44,180,182,186,bus
82,43,171,181,186,bus
89,40,175,192,196,bus
96,44,179,202,206,bus
87,39,173,195,200,bus
96,41,205,196,198,bus
106,54,280,182,182,bus
100,48,216,192,194,bus
108,56,264,186,185,bus
87,43,177,184,187,bus
81,43,175,182,185,bus
86,44,168,178,183,bus
87,41,175,190,194,bus
86,42,170,179,182,bus
82,44,173,181,185,bus
83,42,174,182,188,bus
80,45,171,181,187,bus
86,45,170,179,182,bus
107,57,275,181,184,bus
84,43,180,185,190,bus
98,51,199,196,199,bus
106,53,263,185,184,bus
109,55,267,184,184,bus
110,58,278,181,182,bus
88,39,167,193,201,bus
87,42,184,189,193,bus
86,43,179,188,192,bus
98,38,189,200,202,bus
109,55,265,184,183,bus
96,47,188,199,203,bus
81,46,177,182,187,bus
90,38,168,195,204,bus
104,49,238,190,189,bus
93,49,189,197,202,bus
96,36,178,201,205,bus
89,42,176,186,189,bus
94,39,175,192,200,bus
110,56,272,183,183,bus
103,52,254,183,184,bus
96,46,183,200,203,bus
85,42,167,179,182,bus
86,45,167,189,196,bus
106,54,266,181,183,bus
95,43,189,196,198,bus
86,46,170,180,184,bus
87,42,169,178,182,bus
82,43,178,185,189,bus
89,44,166,191,198,bus
85,43,173,180,183,bus
89,41,175,188,195,bus
91,40,169,192,200,bus
85,44,170,180,183,bus
85,42,169,180,182,bus
85,44,241,180,183,bus
100,36,189,200,204,bus
81,43,172,180,184,bus
88,40,185,193,197,bus
83,42,172,184,190,bus
88,40,174,196,200,bus
81,45,186,180,185,bus
91,46,178,192,199,bus
86,45,170,189,196,bus
94,37,171,197,206,bus
79,47,175,183,189,bus
83,44,166,188,193,bus
82,41,172,187,195,bus
91,42,169,201,207,bus
85,45,171,181,186,bus
83,44,170,185,191,bus
94,45,204,195,198,bus
82,44,166,179,182,bus
86,43,174,180,182,bus
80,44,170,180,185,bus
83,46,174,181,186,bus
94,49,196,197,199,bus
101,53,231,192,192,bus
102,45,217,195,193,bus
107,57,280,181,183,bus
84,44,169,179,183,bus
91,42,184,198,204,bus
87,43,169,180,182,bus
86,45,170,180,183,bus
99,41,202,198,199,bus
89,44,171,179,182,bus
90,38,178,198,205,bus
100,50,206,197,198,bus
97,37,167,201,208,bus
85,43,178,181,184,bus
107,57,243,187,187,bus
94,45,181,193,198,bus
98,46,215,194,197,bus
94,44,171,199,206,bus
85,43,166,179,182,bus
86,46,170,183,188,bus
100,41,204,197,197,bus
96,49,228,188,189,bus
114,57,287,182,184,bus
102,51,247,188,186,bus
86,42,169,179,183,bus
98,35,184,202,205,bus
107,55,258,186,184,bus
81,47,171,183,188,bus
97,43,176,200,204,bus
85,43,168,179,181,bus
88,43,180,186,189,bus
80,43,170,180,184,bus
81,45,173,183,189,bus
80,43,171,179,183,bus
96,43,215,195,196,bus
85,42,177,181,185,bus
100,47,179,200,205,bus
101,54,256,185,185,bus
97,49,194,197,200,bus
86,43,177,181,185,bus
90,41,175,192,197,bus
94,43,164,198,203,bus
97,45,178,196,203,bus
93,45,203,194,197,bus
85,43,168,180,184,bus
95,43,169,195,200,bus
96,46,185,196,200,bus
86,43,166,179,182,bus
86,47,176,188,194,bus
95,36,184,199,204,bus
85,43,169,179,182,bus
98,49,208,195,195,bus
102,53,267,184,184,bus
104,52,227,193,191,bus
97,38,199,197,199,bus
96,37,188,196,200,bus
102,54,246,188,187,bus
106,57,285,180,184,bus
81,42,166,179,182,bus
105,50,254,186,184,bus
92,45,179,195,201,bus
85,43,172,180,183,bus
88,44,163,196,203,bus
81,43,169,179,184,bus
85,45,170,179,184,bus
105,51,214,194,194,bus
82,44,181,183,187,bus
94,37,184,200,204,bus
88,46,180,189,195,bus
102,54,219,186,196,opel
91,52,216,190,199,opel
82,40,173,181,187,opel
103,41,199,197,206,opel
95,42,199,193,200,opel
102,54,219,187,195,opel
93,35,172,191,198,opel
95,46,223,191,202,opel
92,38,181,197,206,opel
87,45,181,190,196,opel
98,54,223,186,195,opel
86,40,158,183,190,opel
101,51,222,186,195,opel
96,48,195,195,201,opel
78,36,135,177,184,opel
101,56,227,186,193,opel
97,37,189,188,192,opel
88,40,147,193,200,opel
98,58,225,185,196,opel
100,45,231,189,195,opel
104,58,231,187,196,opel
105,54,214,190,198,opel
79,39,165,181,189,opel
103,54,225,187,201,opel
86,36,148,183,187,opel
82,38,152,177,183,opel
99,46,212,194,205,opel
100,55,225,188,197,opel
97,48,212,193,202,opel
107,45,202,195,203,opel
79,40,172,181,193,opel
106,49,197,202,209,opel
103,54,221,189,200,opel
89,44,170,188,193,opel
88,34,158,204,210,opel
89,36,174,198,205,opel
103,48,226,188,196,opel
105,55,231,187,194,opel
101,55,225,186,198,opel
103,55,217,187,194,opel
95,48,227,186,193,opel
97,59,225,186,198,opel
88,38,184,192,198,opel
90,40,199,187,193,opel
83,39,155,187,190,opel
105,46,207,194,202,opel
85,38,137,195,201,opel
84,38,148,185,188,opel
100,52,241,188,199,opel
107,52,217,189,198,opel
107,56,234,189,196,opel
85,36,168,197,203,opel
95,43,217,190,197,opel
106,53,228,188,197,opel
88,36,161,194,202,opel
77,38,167,181,187,opel
89,36,154,193,203,opel
76,38,152,177,184,opel
99,57,234,188,200,opel
98,55,236,188,197,opel
98,45,184,190,196,opel
104,57,223,186,195,opel
98,55,231,187,195,opel
105,52,221,191,203,opel
97,55,219,184,193,opel
100,49,202,197,205,opel
85,40,170,180,183,opel
85,39,176,184,193,opel
89,47,187,187,193,opel
99,52,219,187,194,opel
99,50,209,194,201,opel
95,57,224,186,193,opel
97,48,200,199,203,opel
96,52,217,192,201,opel
101,49,215,189,196,opel
88,44,175,202,208,opel
106,52,218,194,201,opel
101,48,232,190,202,opel
92,46,181,200,208,opel
100,51,238,189,198,opel
86,37,179,186,191,opel
102,51,219,191,201,opel
80,38,152,179,188,opel
101,52,226,186,194,opel
108,55,228,190,197,opel
87,45,181,184,189,opel
86,41,154,180,187,opel
99,55,228,187,196,opel
108,51,222,190,200,opel
93,42,208,189,197,opel
86,39,185,183,190,opel
91,46,219,186,194,opel
98,55,231,187,198,opel
97,50,232,188,197,opel
93,35,169,203,210,opel
111,54,227,190,198,opel
91,41,202,193,200,opel
106,55,222,189,201,opel
104,55,230,191,202,opel
82,39,174,183,189,opel
103,57,226,187,195,opel
87,49,197,192,199,opel
109,51,210,196,202,opel
78,36,141,178,185,opel
97,46,224,188,197,opel
89,40,155,203,209,opel
109,49,212,192,201,opel
96,55,226,185,193,opel
93,43,182,193,197,opel
92,46,183,191,198,opel
101,56,219,185,192,opel
107,52,219,197,206,opel
97,37,182,203,211,opel
100,58,234,187,198,opel
87,44,214,187,194,opel
96,47,220,187,194,opel
88,44,159,188,197,opel
104,55,237,188,196,opel
98,48,227,189,196,opel
88,35,132,182,187,opel
102,54,224,189,198,opel
94,39,191,201,209,opel
101,55,221,186,195,opel
103,48,215,192,202,opel
107,53,222,191,201,opel
91,45,170,193,198,opel
103,55,229,188,196,opel
97,41,197,197,204,opel
109,48,222,195,206,opel
84,40,167,180,186,opel
80,37,142,178,184,opel
104,52,207,195,204,opel
97,55,219,185,194,opel
94,46,190,191,198,opel
99,55,225,186,196,opel
97,46,208,191,200,opel
88,40,200,189,199,opel
90,39,194,185,191,opel
94,37,178,198,204,opel
87,38,186,198,205,opel
96,55,227,186,194,opel
86,38,190,193,202,opel
104,52,235,188,198,opel
95,51,208,191,198,opel
80,39,151,179,186,opel
100,57,234,186,198,opel
84,38,160,183,191,opel
100,51,238,189,199,opel
106,53,228,188,198,opel
84,38,144,185,190,opel
103,54,220,186,198,opel
91,49,203,192,198,opel
104,52,206,193,200,opel
89,38,166,187,194,opel
100,51,217,188,196,opel
103,49,214,191,200,opel
92,42,174,206,211,opel
89,50,207,189,194,opel
84,39,209,190,198,opel
90,36,182,192,198,opel
89,42,170,191,198,opel
103,56,217,188,196,opel
93,35,162,197,202,opel
101,53,220,190,201,opel
99,57,223,185,198,opel
89,36,163,187,192,opel
104,56,223,186,195,opel
102,52,228,187,196,opel
104,55,221,189,196,opel
89,41,170,184,188,opel
101,56,231,186,197,opel
93,47,197,187,192,opel
93,45,182,195,201,opel
85,38,145,188,198,opel
90,41,161,192,197,opel
86,44,174,187,192,opel
99,54,222,189,198,opel
104,57,228,186,196,opel
102,52,214,193,203,opel
92,42,165,199,206,opel
105,54,231,187,195,opel
77,38,145,183,187,opel
100,44,202,193,198,opel
105,56,225,188,199,opel
88,39,199,186,192,opel
89,44,189,194,199,opel
92,52,214,188,195,opel
101,53,210,191,198,opel
103,50,214,198,204,opel
101,55,228,187,201,opel
92,43,170,198,203,opel
