@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
84,75,43,bus
96,77,38,bus
85,66,46,bus
82,73,44,bus
81,71,44,bus
89,69,50,opel
108,103,31,opel
90,86,41,opel
101,105,31,opel
101,105,32,opel
78,60,55,opel
104,110,30,opel
99,101,30,opel
94,89,38,opel
80,42,59,opel
88,50,59,opel
84,74,49,opel
92,91,37,opel
88,78,48,opel
102,98,31,opel
85,66,44,opel
85,80,44,opel
105,107,31,opel
104,103,30,opel
95,96,35,opel
99,101,30,opel
89,75,46,opel
84,71,45,opel
82,86,45,opel
98,101,30,opel
100,96,35,opel
100,107,30,opel
89,81,41,opel
89,80,40,opel
92,75,45,opel
96,98,31,opel
100,93,35,opel
104,101,33,opel
91,98,34,opel
92,93,35,opel
89,83,37,opel
102,98,31,opel
96,83,39,opel
73,53,55,opel
97,94,36,opel
97,108,31,opel
98,101,31,opel
85,63,55,opel
96,104,31,opel
88,71,48,opel
80,60,49,opel
97,94,34,opel
103,107,32,opel
102,101,30,opel
106,98,31,opel
101,100,30,opel
76,58,51,opel
99,109,30,opel
99,100,33,opel
96,103,32,opel
95,80,40,opel
100,109,30,opel
103,103,31,opel
79,72,48,opel
85,78,45,opel
87,86,37,opel
97,105,33,opel
93,66,51,opel
100,109,30,opel
108,105,30,opel
101,101,30,opel
94,84,39,opel
93,73,42,opel
88,69,51,opel
104,103,30,opel
97,103,31,opel
99,88,35,opel
103,98,34,opel
86,75,48,opel
93,88,36,opel
86,77,43,opel
105,100,34,opel
92,74,41,opel
95,96,35,opel
105,96,30,opel
93,83,40,opel
109,103,32,opel
90,83,37,opel
84,60,50,opel
92,69,44,opel
85,72,54,opel
86,66,52,opel
98,76,42,opel
107,103,31,opel
94,79,40,opel
106,96,36,opel
100,109,30,opel
95,104,31,opel
90,78,48,opel
84,90,37,opel
106,98,31,opel
80,57,54,opel
103,100,31,opel
103,96,32,opel
101,107,30,opel
91,76,40,opel
92,82,40,opel
92,69,48,opel
95,92,37,opel
103,100,31,opel
94,74,41,opel
93,66,46,opel
97,108,30,opel
102,108,31,opel
97,92,37,opel
102,101,33,opel
97,78,41,opel
86,77,44,opel
87,82,42,opel
77,63,52,opel
103,107,30,opel
87,85,40,opel
109,107,32,opel
103,91,31,opel
107,103,32,opel
104,96,30,opel
77,75,46,opel
86,89,39,opel
89,69,50,opel
98,104,32,opel
104,91,31,opel
99,100,30,opel
105,98,31,opel
99,105,34,opel
96,104,33,opel
96,103,33,opel
92,79,41,opel
101,100,32,opel
89,72,48,opel
88,77,41,opel
103,105,32,opel
95,104,32,opel
81,53,51,opel
98,108,30,opel
101,103,33,opel
107,105,30,opel
104,105,32,opel
82,73,44,opel
106,107,31,opel
79,80,47,opel
105,105,33,opel
86,84,43,opel
89,75,46,opel
106,96,30,opel
93,72,44,opel
87,98,35,opel
107,101,33,opel
97,96,31,opel
87,77,44,opel
86,66,50,opel
98,101,30,opel
98,101,31,opel
95,105,33,opel
93,78,44,opel
102,96,36,opel
101,108,31,opel
91,66,45,opel
82,53,51,opel
102,100,31,opel
78,51,57,opel
84,66,54,opel
104,96,35,opel
101,100,31,opel
100,100,32,opel
104,105,30,opel
100,104,32,opel
89,78,46,opel
107,92,35,opel
111,103,30,opel
104,103,30,opel
97,81,39,opel
91,75,44,opel
106,107,33,opel
88,79,38,opel
89,77,42,opel
103,105,30,opel
80,69,53,opel
97,101,35,opel
93,78,45,opel
95,96,37,opel
100,101,30,opel
109,100,34,opel
105,96,30,opel
88,77,44,opel
89,82,45,opel
