@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
49,7,131,145,160,249,van
60,7,119,134,140,212,van
56,7,127,145,156,240,van
56,4,118,129,140,208,van
62,11,159,156,169,366,van
63,8,143,147,171,307,van
66,8,148,145,171,331,van
55,12,155,158,176,351,van
53,7,132,139,142,249,van
57,9,149,143,170,330,van
62,9,147,152,171,325,van
59,6,127,130,148,243,van
64,10,133,142,157,264,van
64,11,155,151,173,356,van
60,6,130,130,150,253,van
63,9,146,140,165,319,van
61,7,137,140,156,278,van
49,7,134,142,164,261,van
56,8,131,144,159,251,van
53,7,132,137,145,250,van
59,8,127,139,149,241,van
55,11,157,160,169,354,van
64,8,137,144,159,283,van
63,11,160,157,176,372,van
67,10,158,149,173,367,van
133,48,158,163,229,364,van
65,9,145,145,163,314,van
56,6,118,137,143,209,van
63,9,144,143,160,309,van
54,2,119,121,139,208,van
59,7,136,133,167,278,van
57,8,132,136,158,260,van
63,8,138,134,163,284,van
66,11,156,158,172,355,van
59,6,123,137,148,223,van
66,25,140,139,162,296,van
55,3,117,122,136,203,van
64,9,138,143,161,285,van
57,3,118,128,137,204,van
66,10,155,150,167,355,van
61,9,147,152,168,323,van
64,10,157,161,179,363,van
63,11,160,160,170,367,van
56,6,119,130,139,211,van
55,11,160,161,173,369,van
64,9,144,139,168,311,van
68,8,142,144,169,305,van
54,6,115,126,135,196,van
51,6,133,139,154,255,van
64,10,133,141,157,265,van
55,11,154,150,174,350,van
64,11,161,167,175,375,van
52,10,156,160,171,351,van
59,6,116,135,137,203,van
70,12,157,155,172,358,van
55,5,120,128,140,212,van
63,8,142,148,160,300,van
59,7,122,139,145,225,van
58,10,152,144,173,345,van
56,11,159,156,170,362,van
59,5,123,125,141,221,van
56,9,126,144,159,237,van
52,6,118,129,137,206,van
48,8,134,141,160,258,van
55,7,130,138,160,251,van
64,10,163,160,177,389,van
56,7,130,143,158,247,van
62,8,146,144,169,318,van
59,8,139,139,159,289,van
59,9,157,158,170,356,van
59,8,153,129,179,351,saab
64,10,187,150,202,520,saab
66,11,204,165,221,623,saab
58,6,148,136,164,318,saab
53,8,137,127,158,277,saab
63,9,175,132,197,457,saab
64,11,220,166,229,710,saab
64,12,206,163,216,627,saab
58,5,125,130,141,230,saab
59,9,175,140,192,459,saab
54,7,147,131,171,318,saab
64,11,213,171,222,669,saab
55,6,140,125,166,290,saab
64,9,198,150,219,586,saab
65,12,213,167,223,675,saab
62,10,180,143,200,489,saab
60,10,171,155,186,440,saab
63,11,222,175,229,720,saab
63,7,135,128,151,264,saab
63,7,176,154,205,467,saab
63,10,196,159,214,576,saab
70,12,215,168,226,687,saab
69,12,221,169,226,712,saab
62,11,220,163,232,711,saab
66,10,214,173,224,680,saab
61,9,193,149,209,561,saab
53,6,144,131,165,305,saab
56,11,214,159,232,676,saab
56,5,133,135,152,262,saab
66,11,218,169,221,704,saab
65,10,187,156,207,527,saab
61,11,207,157,217,637,saab
67,10,204,162,220,621,saab
59,9,186,138,208,511,saab
67,9,187,158,214,525,saab
60,7,150,128,174,331,saab
61,9,157,134,178,365,saab
66,9,192,143,218,552,saab
66,11,214,167,229,677,saab
64,9,208,158,224,645,saab
60,7,158,131,181,373,saab
68,11,219,172,221,709,saab
54,7,132,127,148,252,saab
56,8,154,149,180,357,saab
63,12,222,168,226,712,saab
55,7,146,130,168,314,saab
64,9,166,138,184,415,saab
62,11,216,165,221,688,saab
68,8,159,134,183,378,saab
57,4,116,123,135,196,saab
55,4,129,127,146,245,saab
71,11,219,172,226,705,saab
65,12,212,163,228,668,saab
60,11,211,156,223,663,saab
57,6,128,129,154,243,saab
59,9,163,148,184,404,saab
69,8,183,156,211,506,saab
68,11,218,173,232,703,saab
60,9,157,149,180,370,saab
65,8,169,136,197,430,saab
63,11,219,172,229,707,saab
63,9,185,144,202,512,saab
53,7,125,126,146,229,saab
59,11,217,163,232,694,saab
66,10,188,157,207,533,saab
60,8,157,128,177,367,saab
55,5,142,128,153,295,saab
61,11,207,167,217,636,saab
66,7,154,133,181,355,saab
61,9,166,154,189,415,saab
61,8,164,150,189,402,saab
59,4,137,133,162,279,saab
60,9,170,134,191,433,saab
64,12,221,168,229,709,saab
62,8,175,132,200,458,saab
58,8,177,133,202,471,saab
58,6,142,137,164,295,saab
56,11,213,162,226,673,saab
58,9,157,132,172,373,saab
57,6,121,127,137,216,saab
63,11,219,168,228,704,saab
61,10,181,158,211,492,saab
65,10,193,160,220,559,saab
67,12,217,165,231,692,saab
59,9,197,158,218,583,saab
59,5,152,143,175,344,saab
62,10,217,165,229,697,saab
53,4,135,126,150,268,saab
63,8,164,134,191,405,saab
67,9,206,167,223,629,saab
53,4,115,118,136,193,saab
62,9,169,139,184,430,saab
69,12,215,168,229,684,saab
59,7,161,131,186,389,saab
62,9,203,151,216,613,saab
64,6,160,125,187,385,saab
64,11,213,172,218,669,saab
65,9,197,152,216,584,saab
69,10,221,170,232,718,saab
56,11,210,163,222,650,saab
61,11,217,168,226,694,saab
55,12,216,171,229,687,saab
66,9,188,144,216,526,saab
66,10,207,158,223,635,saab
56,6,160,148,185,382,saab
53,5,134,127,151,266,saab
60,8,160,133,189,383,saab
66,7,173,151,197,452,saab
68,11,214,169,226,675,saab
64,8,169,134,200,422,saab
60,8,158,148,181,373,saab
56,11,220,167,226,712,saab
59,8,154,144,174,360,saab
68,12,218,170,223,700,saab
58,8,140,142,165,293,saab
60,11,175,153,192,458,saab
61,10,198,149,214,586,saab
57,6,128,125,143,238,saab
57,8,153,128,169,349,saab
54,7,149,132,177,327,saab
56,6,136,136,155,274,saab
59,11,214,162,223,667,saab
62,11,183,146,202,505,saab
64,9,177,135,194,465,saab
60,5,148,131,163,319,saab
54,10,208,162,220,641,saab
57,11,211,168,224,661,saab
66,10,211,164,223,659,saab
62,7,149,129,174,327,saab
54,8,144,146,163,308,saab
60,10,185,160,202,518,saab
56,6,133,123,158,263,saab
62,6,135,125,151,265,saab
60,11,191,162,207,545,saab
58,11,208,159,223,639,saab
64,8,169,153,188,427,saab
62,10,206,155,227,635,saab
60,8,172,134,197,445,saab
73,10,221,174,232,718,saab
71,9,211,171,222,658,saab
57,4,122,125,139,220,saab
59,7,163,131,189,396,saab
59,10,207,156,225,635,saab
56,7,152,134,173,339,saab
64,10,201,152,214,600,saab
68,10,208,166,217,640,saab
62,6,144,139,166,308,saab
56,7,155,126,177,361,saab
63,9,177,155,195,472,saab
66,10,203,149,217,612,saab
55,7,146,132,170,314,saab
61,11,212,159,229,665,saab
58,6,116,121,137,197,saab
58,7,135,124,155,270,saab
56,7,149,140,168,327,saab
63,8,186,144,210,521,saab
65,11,213,168,216,667,saab
64,10,220,168,224,711,saab
59,7,152,143,175,349,saab
60,12,215,162,220,691,saab
60,9,197,147,222,578,saab
62,7,150,133,165,330,saab
67,8,154,129,180,353,saab
61,10,207,153,227,635,saab
60,12,196,162,207,573,saab
62,12,218,170,221,694,saab
57,3,112,119,130,184,saab
67,12,222,177,226,719,saab
60,7,170,131,188,435,saab
57,12,213,162,226,674,saab
59,11,199,154,207,586,saab
58,7,174,139,197,455,saab
65,11,218,167,229,696,saab
55,10,212,168,220,660,saab
59,7,168,152,196,425,saab
67,12,222,173,228,721,saab
62,9,188,162,208,527,saab
59,10,208,163,220,642,saab
65,10,198,164,224,587,saab
60,10,195,161,219,572,saab
58,7,128,134,149,246,saab
61,10,216,173,225,686,saab
54,10,216,171,235,691,saab
51,6,142,130,162,299,saab
64,9,161,151,190,390,saab
68,11,207,164,228,638,saab
61,9,178,144,189,480,saab
58,6,151,136,174,337,saab
61,10,198,150,213,578,saab
57,11,220,174,229,709,saab
61,5,150,138,165,333,saab
60,10,215,169,224,681,saab
64,7,160,147,180,383,saab
56,7,141,141,162,297,saab
66,9,191,148,210,543,saab
70,6,149,127,178,341,bus
64,7,151,138,175,341,bus
55,7,150,146,172,326,bus
71,5,174,154,196,465,bus
53,6,257,168,275,956,bus
56,6,148,145,166,317,bus
64,6,146,142,168,317,bus
66,6,145,134,173,318,bus
61,7,153,149,175,349,bus
66,7,151,129,167,346,bus
68,6,152,148,180,349,bus
74,7,190,154,208,558,bus
63,6,218,156,232,719,bus
53,8,151,146,170,333,bus
69,5,148,144,169,322,bus
56,7,151,147,171,337,bus
57,8,149,146,169,323,bus
64,6,147,143,169,320,bus
70,6,151,147,174,338,bus
55,7,234,171,243,822,bus
75,7,154,147,178,362,bus
70,7,144,141,167,312,bus
64,6,192,146,217,570,bus
53,8,150,144,169,326,bus
66,6,164,131,193,414,bus
54,7,150,140,171,327,bus
62,7,152,145,178,341,bus
75,6,146,141,167,326,bus
67,7,150,144,174,333,bus
56,7,148,144,170,324,bus
69,7,150,142,169,344,bus
65,5,155,138,184,362,bus
72,8,153,144,171,361,bus
64,7,151,143,179,339,bus
75,6,171,138,189,446,bus
65,6,204,161,231,636,bus
52,7,152,147,174,340,bus
65,5,194,146,225,576,bus
60,7,152,151,167,333,bus
54,5,148,145,168,320,bus
65,7,144,141,168,309,bus
56,6,148,145,166,319,bus
59,7,240,168,258,866,bus
73,6,156,126,184,374,bus
61,8,147,143,170,325,bus
68,7,150,138,175,336,bus
54,8,151,146,173,332,bus
59,6,148,146,167,327,bus
65,7,173,158,189,463,bus
59,8,150,145,170,329,bus
69,6,177,139,202,485,bus
51,8,257,172,275,954,bus
60,6,153,146,180,347,bus
54,7,150,147,169,324,bus
62,7,149,145,172,323,bus
68,6,154,146,176,356,bus
58,7,149,144,166,320,bus
62,5,203,158,222,625,bus
54,6,150,144,174,325,bus
47,4,247,166,266,892,bus
62,7,150,142,179,337,bus
68,7,199,150,216,605,bus
60,7,197,148,214,596,bus
68,7,150,143,171,330,bus
65,22,149,139,173,330,bus
51,6,150,141,169,324,bus
57,6,151,143,173,333,bus
68,6,164,136,189,413,bus
56,7,153,149,172,342,bus
64,7,151,131,168,345,bus
66,7,148,134,167,332,bus
47,4,237,164,263,838,bus
76,7,150,136,174,342,bus
71,7,154,127,171,362,bus
56,6,260,175,288,982,bus
72,6,158,133,184,385,bus
55,7,152,142,173,336,bus
68,6,185,153,202,524,bus
62,8,153,144,175,344,bus
61,6,225,165,246,766,bus
52,6,257,169,287,968,bus
56,6,149,144,170,321,bus
58,6,148,145,170,323,bus
74,7,157,143,179,375,bus
70,7,155,145,179,372,bus
51,6,261,171,278,998,bus
54,8,150,145,171,329,bus
64,6,151,147,171,340,bus
64,5,250,169,280,928,bus
60,7,150,146,170,330,bus
51,6,241,165,265,870,bus
69,7,150,144,170,340,bus
56,8,151,145,170,332,bus
59,6,150,146,172,336,bus
74,5,163,149,185,408,bus
67,7,149,135,169,332,bus
53,6,152,141,175,335,bus
64,5,177,134,205,485,bus
53,7,149,143,169,321,bus
69,22,151,147,186,335,bus
71,6,195,159,214,579,bus
54,4,212,153,238,682,bus
53,6,151,147,170,333,bus
57,7,236,164,256,833,bus
69,6,156,144,181,373,bus
71,6,152,131,179,350,bus
65,6,201,159,219,622,bus
64,7,148,138,172,328,bus
54,6,148,141,172,317,bus
54,7,151,147,166,329,bus
67,4,250,162,280,923,bus
64,6,141,143,164,299,bus
56,8,149,143,169,322,bus
65,6,153,143,176,361,bus
71,6,161,128,180,393,bus
63,7,146,135,175,321,bus
68,6,171,129,199,450,bus
58,8,151,146,171,334,bus
54,7,149,145,169,326,bus
53,7,150,147,169,327,bus
57,5,251,169,272,928,bus
64,6,148,145,170,322,bus
70,6,154,131,184,363,bus
126,52,148,144,237,326,bus
67,6,262,171,285,987,bus
61,6,172,139,197,457,bus
48,5,247,165,269,891,bus
64,7,150,144,175,330,bus
66,7,146,144,167,322,bus
71,5,176,138,204,479,bus
73,7,178,157,194,487,bus
55,7,149,146,167,323,bus
74,5,202,148,234,629,bus
66,7,145,140,169,325,bus
50,6,255,169,280,957,bus
56,8,150,144,168,324,bus
68,7,151,131,175,347,bus
54,4,222,159,254,735,bus
67,6,149,139,169,341,bus
61,8,143,143,163,311,bus
55,8,149,145,166,320,bus
69,6,160,130,178,393,bus
65,8,147,145,169,319,bus
56,6,152,150,168,331,bus
67,7,148,140,171,327,bus
72,8,155,133,175,365,bus
66,6,151,146,175,343,bus
74,19,152,143,180,342,bus
69,5,166,131,189,427,bus
71,7,176,152,190,476,bus
64,7,149,142,172,331,bus
57,6,241,170,267,857,bus
72,7,184,161,199,520,bus
65,7,151,143,178,341,bus
67,6,186,158,206,531,bus
70,6,146,146,172,321,bus
70,7,162,153,179,406,bus
53,7,149,145,173,325,bus
65,5,209,159,232,671,bus
67,6,142,142,164,310,bus
74,5,165,128,188,419,bus
74,6,184,145,208,525,bus
64,7,154,144,181,350,bus
66,5,153,136,175,352,bus
64,6,145,141,169,322,bus
49,7,252,172,269,904,bus
73,6,158,134,185,379,bus
71,5,186,145,204,533,bus
70,7,167,152,184,430,bus
51,5,256,170,285,966,bus
75,6,239,167,264,855,bus
55,8,150,148,169,325,bus
65,6,145,144,168,312,bus
55,5,186,141,215,534,bus
69,5,143,143,166,306,bus
69,6,177,139,189,484,bus
56,7,152,142,177,340,bus
68,7,150,137,174,341,bus
57,8,148,145,170,321,bus
72,7,152,145,177,341,bus
62,7,147,143,176,323,bus
51,6,265,174,285,1018,bus
71,7,166,150,184,422,bus
68,7,151,145,181,337,bus
72,6,167,150,188,429,bus
56,7,150,145,177,328,bus
69,5,192,161,212,570,bus
61,7,143,136,164,307,bus
58,4,227,158,262,776,bus
51,7,217,165,240,703,bus
64,6,154,145,175,354,bus
70,6,183,156,206,517,bus
66,5,208,161,227,666,bus
59,7,149,142,177,327,bus
70,6,167,148,183,427,bus
69,7,184,145,203,523,bus
73,7,157,136,181,373,bus
63,10,185,142,202,513,opel
70,11,226,182,234,752,opel
68,10,208,154,232,641,opel
58,8,140,138,165,290,opel
59,8,153,126,179,348,opel
64,8,168,150,193,426,opel
57,7,135,126,154,266,opel
59,7,159,146,182,379,opel
62,9,161,135,181,388,opel
70,10,223,177,237,737,opel
59,10,213,172,223,665,opel
62,10,188,148,202,526,opel
56,7,163,129,184,395,opel
56,7,138,126,163,286,opel
61,8,167,134,196,415,opel
54,6,126,128,135,227,opel
68,10,222,165,241,731,opel
57,11,214,162,217,676,opel
58,8,165,149,181,409,opel
57,11,220,170,220,707,opel
54,12,208,159,214,644,opel
57,10,219,170,231,706,opel
67,11,218,170,223,697,opel
59,9,169,132,190,428,opel
68,11,215,170,222,679,opel
60,8,161,131,189,391,opel
61,11,207,152,227,650,opel
57,10,212,162,219,663,opel
61,9,193,150,207,557,opel
56,10,219,171,219,706,opel
57,3,114,119,131,191,opel
63,9,195,162,210,571,opel
59,10,192,161,210,553,opel
57,8,139,127,160,282,opel
52,4,152,133,170,340,opel
57,8,131,127,148,252,opel
71,10,214,164,228,682,opel
60,12,221,173,225,717,opel
63,8,177,156,203,473,opel
59,5,133,128,152,259,opel
64,11,197,152,212,575,opel
65,9,183,137,202,504,opel
66,6,162,143,189,396,opel
55,7,147,135,172,311,opel
65,11,212,165,229,673,opel
63,11,215,172,219,677,opel
62,7,164,145,188,406,opel
57,13,225,177,225,741,opel
60,8,156,144,181,366,opel
56,9,219,175,231,713,opel
56,11,223,174,225,729,opel
64,8,162,149,183,396,opel
62,9,200,166,222,600,opel
56,7,130,120,151,251,opel
62,11,212,175,217,666,opel
55,7,122,130,137,219,opel
50,11,221,172,227,727,opel
55,7,147,128,168,321,opel
55,11,214,175,219,681,opel
59,7,130,134,147,252,opel
62,6,140,123,161,287,opel
62,10,183,141,208,504,opel
59,8,171,152,195,438,opel
65,9,204,166,227,624,opel
62,13,222,180,225,722,opel
53,10,217,174,228,692,opel
65,9,178,141,199,474,opel
65,9,196,146,219,574,opel
70,11,224,186,225,732,opel
57,10,222,177,225,731,opel
63,9,175,142,199,455,opel
59,11,216,173,219,684,opel
60,11,211,160,222,661,opel
60,7,167,147,197,417,opel
59,7,162,133,178,394,opel
62,8,157,125,174,367,opel
53,10,219,166,235,711,opel
56,5,132,130,148,261,opel
62,8,200,161,218,602,opel
54,5,135,131,155,274,opel
63,11,227,180,234,756,opel
62,6,126,132,144,232,opel
62,12,227,178,231,757,opel
65,8,201,147,231,611,opel
60,7,177,131,209,469,opel
57,8,153,133,173,342,opel
62,8,167,148,190,418,opel
62,9,172,135,191,444,opel
64,8,157,126,182,367,opel
58,6,134,128,147,259,opel
67,9,217,162,238,704,opel
54,13,224,188,223,726,opel
62,9,193,161,216,562,opel
59,8,150,134,176,331,opel
58,11,217,166,228,693,opel
55,6,145,139,170,312,opel
65,10,214,156,232,683,opel
69,8,168,133,199,416,opel
61,7,146,127,166,314,opel
54,10,215,175,226,683,opel
63,11,220,167,228,710,opel
63,9,186,156,202,519,opel
62,10,198,161,207,587,opel
64,10,203,157,214,616,opel
54,12,216,172,220,685,opel
71,10,205,153,226,633,opel
68,11,205,169,221,623,opel
72,12,221,177,223,718,opel
62,7,162,131,194,388,opel
54,7,153,134,174,338,opel
62,10,178,154,200,478,opel
64,11,201,155,212,602,opel
67,10,201,156,215,601,opel
66,8,192,151,208,546,opel
59,9,188,161,206,530,opel
68,10,224,178,228,737,opel
59,7,147,131,169,322,opel
69,11,225,178,231,748,opel
63,10,179,140,197,481,opel
59,6,151,145,175,343,opel
61,11,221,179,234,725,opel
62,8,186,147,202,521,opel
69,11,219,176,231,716,opel
59,5,130,130,145,247,opel
67,10,200,163,214,597,opel
68,11,218,171,228,709,opel
52,10,206,164,217,631,opel
63,9,181,155,200,494,opel
60,7,152,141,174,345,opel
56,6,123,124,141,221,opel
64,10,185,159,209,517,opel
68,9,201,148,223,602,opel
66,11,209,163,222,653,opel
59,6,147,132,167,315,opel
57,6,150,146,170,335,opel
67,9,205,151,227,628,opel
53,11,224,178,231,737,opel
59,7,154,145,181,350,opel
70,10,189,141,214,535,opel
57,11,214,161,224,670,opel
54,6,149,144,170,332,opel
55,6,125,125,142,229,opel
53,10,212,163,226,669,opel
58,5,114,122,132,192,opel
57,8,156,133,185,358,opel
61,8,178,132,199,472,opel
69,10,200,147,220,598,opel
57,8,161,149,187,388,opel
56,7,146,137,170,317,opel
70,9,210,168,236,661,opel
59,10,215,177,221,678,opel
64,11,202,164,219,610,opel
64,12,222,174,221,728,opel
61,10,181,158,197,494,opel
56,4,120,124,135,209,opel
69,10,208,169,227,651,opel
59,8,134,126,152,259,opel
55,9,169,130,196,430,opel
63,9,193,161,214,567,opel
67,12,218,174,230,706,opel
54,7,154,127,179,352,opel
67,9,198,163,217,589,opel
53,9,134,132,145,261,opel
58,10,222,171,224,728,opel
65,10,189,143,217,534,opel
61,11,225,178,228,730,opel
67,10,195,147,224,573,opel
56,8,142,143,159,296,opel
58,10,215,175,221,682,opel
62,7,176,138,200,462,opel
61,8,164,129,186,402,opel
56,7,149,143,170,333,opel
68,10,209,162,222,653,opel
62,6,140,135,158,290,opel
55,10,210,166,219,657,opel
55,7,150,134,167,330,opel
59,6,142,128,162,304,opel
62,8,161,131,182,389,opel
62,10,205,158,222,624,opel
55,7,138,138,161,284,opel
62,8,176,137,196,466,opel
60,8,147,142,174,322,opel
57,11,206,156,212,630,opel
55,7,135,136,154,266,opel
67,9,189,161,214,536,opel
56,7,128,124,147,240,opel
57,5,138,122,158,284,opel
62,12,200,158,215,595,opel
56,6,139,131,151,281,opel
56,7,127,125,144,233,opel
