@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
91,56,9,144,194,van
93,63,11,165,195,van
93,63,9,143,207,van
95,66,11,155,193,van
85,56,6,135,202,van
85,53,9,165,191,van
89,59,8,130,196,van
87,68,10,139,199,van
86,54,5,132,190,van
85,56,5,124,184,van
91,56,6,130,198,van
88,62,8,142,210,van
89,53,7,144,191,van
91,63,7,146,194,van
86,60,7,134,207,van
94,61,8,135,208,van
98,55,7,138,194,van
96,63,9,148,207,van
100,64,11,163,196,van
90,64,7,145,191,van
88,55,12,158,195,van
90,64,8,144,203,van
91,66,25,139,202,van
84,61,7,140,205,van
90,64,8,145,209,van
90,48,7,139,182,van
95,65,9,145,207,van
90,126,49,156,194,van
93,49,7,145,184,van
96,68,10,148,202,van
88,52,5,128,183,van
90,59,7,142,204,van
93,51,7,144,185,van
94,64,7,143,196,van
86,54,2,121,183,van
90,58,11,158,193,van
86,59,7,139,208,van
90,64,11,167,195,van
97,67,10,157,200,van
93,65,10,156,203,van
93,58,6,138,188,van
93,56,7,145,190,van
91,58,9,142,197,van
85,52,5,135,187,van
96,66,9,143,197,saab
109,68,11,169,202,saab
106,64,12,168,205,saab
85,59,5,135,195,saab
82,54,7,127,187,saab
90,57,6,127,195,saab
102,67,10,162,197,saab
104,61,11,168,201,saab
93,56,6,123,206,saab
87,57,6,129,192,saab
104,66,10,173,194,saab
91,53,6,131,191,saab
91,56,7,126,201,saab
107,71,11,172,196,saab
86,60,7,128,203,saab
88,56,8,149,193,saab
100,61,9,154,207,saab
78,51,6,130,185,saab
102,67,12,177,199,saab
96,58,8,134,202,saab
101,60,11,153,210,saab
108,64,10,168,199,saab
85,58,6,121,189,saab
90,59,8,144,209,saab
109,66,11,167,201,saab
89,64,8,153,201,saab
104,61,10,173,195,saab
105,63,12,168,203,saab
89,54,8,146,201,saab
109,69,12,169,201,saab
93,62,11,146,204,saab
83,61,4,127,183,saab
89,63,6,131,204,saab
109,63,11,172,199,saab
91,61,8,128,200,saab
91,55,7,132,189,saab
105,57,11,168,197,saab
100,62,10,143,205,saab
88,58,8,142,205,saab
93,63,9,138,197,saab
92,56,6,148,191,saab
107,63,11,168,203,saab
90,59,7,131,192,saab
84,54,7,132,191,saab
98,64,9,138,205,saab
99,63,8,144,199,saab
86,60,9,134,199,saab
107,68,11,172,197,saab
106,54,10,171,197,saab
104,63,10,166,198,saab
108,57,11,174,201,saab
96,56,7,141,209,saab
93,57,7,143,194,saab
108,65,11,162,197,saab
108,61,11,159,199,saab
105,70,12,168,201,saab
94,60,7,131,204,saab
85,53,4,118,185,saab
105,62,11,163,200,saab
92,67,8,129,195,saab
93,66,7,151,202,saab
85,56,7,134,187,saab
95,64,10,150,211,saab
104,66,10,158,196,saab
96,67,9,158,201,saab
105,60,11,162,205,saab
97,63,9,144,199,saab
97,59,9,140,205,saab
93,63,8,134,197,saab
103,56,11,163,196,saab
106,60,10,169,197,saab
91,60,8,133,191,saab
95,61,9,134,208,saab
88,60,5,131,183,saab
79,55,5,128,183,saab
96,58,7,139,200,saab
91,60,8,134,194,saab
84,59,5,143,187,saab
107,68,12,170,204,saab
89,59,7,131,197,saab
94,62,9,139,210,saab
113,62,11,165,199,saab
93,64,8,134,195,saab
99,66,11,165,201,saab
90,55,6,118,202,saab
100,60,10,155,210,saab
104,68,11,173,199,saab
104,61,11,157,207,saab
91,64,9,135,205,saab
103,66,10,149,199,saab
108,55,12,171,201,saab
111,61,11,167,205,saab
87,58,6,136,185,saab
90,59,7,124,207,saab
109,63,11,175,200,saab
97,71,12,167,200,saab
100,65,10,164,196,saab
95,59,7,152,198,saab
113,62,9,151,204,saab
86,58,7,124,195,saab
86,56,5,135,191,saab
106,67,12,173,201,saab
88,60,8,152,199,saab
103,60,10,160,208,saab
117,65,12,163,205,saab
115,64,11,166,199,saab
108,62,11,164,200,saab
82,53,4,126,182,saab
83,55,4,127,184,saab
101,61,10,150,205,saab
89,62,6,139,189,saab
97,66,9,144,197,saab
110,64,11,171,198,saab
98,65,8,136,199,saab
86,59,4,133,190,saab
90,60,8,128,204,saab
107,62,12,170,198,saab
94,59,7,143,198,saab
105,61,10,149,200,saab
93,64,7,147,199,saab
90,63,7,154,195,saab
95,65,10,160,196,saab
108,63,10,159,205,saab
99,63,10,152,197,saab
102,64,10,152,204,saab
85,58,6,137,186,saab
87,58,6,136,196,saab
105,68,10,166,199,saab
98,65,9,152,197,saab
104,65,11,168,198,saab
93,69,8,156,196,saab
89,57,4,125,184,saab
83,57,6,125,183,saab
104,64,11,172,196,saab
106,61,10,153,203,saab
87,53,8,127,186,saab
97,60,9,149,206,saab
89,59,8,129,192,saab
104,64,11,172,203,saab
82,53,7,126,184,saab
89,58,8,133,196,saab
111,60,11,156,200,saab
108,62,10,155,198,saab
92,66,7,133,195,saab
110,66,10,164,203,saab
108,73,10,174,197,saab
112,56,11,159,202,saab
85,54,7,131,188,saab
109,64,9,150,198,saab
100,59,10,163,198,saab
106,64,11,158,204,saab
90,61,10,158,199,saab
80,55,7,130,185,saab
104,59,9,158,198,saab
90,64,6,125,203,saab
104,54,10,162,197,saab
89,61,8,150,193,saab
86,61,5,138,185,saab
86,56,6,136,189,saab
101,62,9,162,202,saab
91,59,7,132,199,saab
96,68,8,134,197,saab
91,63,9,132,198,saab
84,57,4,123,190,saab
98,61,9,144,208,saab
107,64,12,163,205,saab
89,62,7,129,193,saab
90,62,8,132,195,saab
104,59,11,163,201,saab
101,69,12,168,199,saab
106,64,9,158,202,saab
108,56,11,167,199,saab
102,68,11,164,200,saab
101,60,10,161,201,saab
85,57,3,119,183,saab
105,69,10,170,199,saab
97,71,9,171,196,saab
91,56,7,140,191,saab
97,59,9,138,206,saab
101,72,10,171,197,saab
89,53,5,127,185,saab
100,60,9,147,197,saab
109,60,12,162,199,saab
98,67,9,167,196,saab
91,60,8,133,205,saab
91,59,9,148,208,saab
88,58,5,130,188,saab
116,67,12,165,206,saab
94,60,8,148,199,saab
93,59,9,134,204,saab
107,66,11,169,197,saab
95,66,9,148,200,saab
115,62,10,165,197,saab
119,65,12,167,202,saab
89,64,9,151,201,saab
92,57,7,147,195,saab
85,53,7,145,182,bus
81,62,7,145,184,bus
89,64,6,143,199,bus
87,67,7,140,195,bus
85,55,7,146,183,bus
83,64,7,142,190,bus
110,64,5,169,183,bus
107,51,8,172,184,bus
87,66,6,134,200,bus
97,71,5,144,203,bus
109,57,6,170,184,bus
83,59,6,146,191,bus
82,68,7,145,188,bus
82,126,52,144,185,bus
82,64,6,143,184,bus
89,66,7,147,198,bus
82,69,5,144,184,bus
86,54,7,140,182,bus
93,71,7,152,201,bus
94,72,8,133,200,bus
86,54,6,144,182,bus
92,70,6,131,202,bus
101,53,6,168,184,bus
98,68,5,124,205,bus
99,68,6,153,195,bus
109,58,4,158,186,bus
86,56,6,145,182,bus
85,57,6,143,183,bus
83,70,6,147,186,bus
100,67,6,158,198,bus
81,64,6,147,188,bus
97,60,7,148,191,bus
84,64,6,145,192,bus
94,71,7,127,206,bus
107,49,7,172,186,bus
86,56,7,142,185,bus
86,50,8,141,183,bus
96,72,6,150,203,bus
81,53,6,147,183,bus
98,74,7,154,195,bus
89,62,7,143,189,bus
97,66,7,129,208,bus
100,63,6,156,189,bus
79,61,7,149,189,bus
86,68,6,146,194,bus
81,73,6,146,189,bus
87,56,6,144,182,bus
101,57,7,164,185,bus
98,69,5,131,202,bus
92,71,6,131,200,bus
95,70,7,152,206,bus
87,56,8,143,182,bus
81,69,22,147,185,bus
94,67,6,142,203,bus
89,76,7,136,197,bus
84,64,6,142,187,bus
113,56,6,175,183,bus
95,69,6,139,198,bus
105,51,7,165,188,bus
93,65,7,158,202,bus
102,60,6,162,186,bus
88,70,7,141,193,bus
100,65,6,159,193,bus
91,67,7,135,200,bus
103,52,7,160,184,bus
96,74,5,128,200,bus
88,68,6,148,195,bus
92,71,6,128,202,bus
85,56,8,144,184,bus
88,73,6,134,197,bus
93,68,7,131,205,bus
93,69,7,145,197,bus
94,69,7,142,206,bus
82,61,7,143,185,bus
102,65,5,146,191,bus
100,70,6,156,199,bus
86,56,6,150,183,bus
99,74,5,148,191,bus
87,51,6,141,182,bus
83,59,6,146,191,bus
90,55,7,142,184,bus
86,65,8,146,188,bus
94,72,8,144,206,bus
85,65,22,139,191,bus
90,68,7,138,197,bus
82,54,7,147,182,bus
100,70,7,153,205,bus
91,75,6,138,201,bus
85,55,7,146,182,bus
82,52,7,147,185,bus
85,54,6,141,182,bus
86,53,6,141,183,bus
100,73,6,127,204,bus
106,47,4,164,184,bus
85,54,7,147,182,bus
104,54,4,153,189,bus
82,64,7,144,187,bus
89,50,7,147,182,bus
81,60,7,151,183,bus
85,56,6,145,182,bus
91,69,5,137,204,bus
85,58,6,145,183,bus
89,73,7,136,195,bus
85,56,8,145,184,bus
94,71,5,154,199,bus
101,65,6,161,192,bus
87,59,7,142,188,bus
102,72,4,163,184,bus
88,66,7,134,201,bus
81,64,7,144,185,bus
97,73,7,157,200,bus
102,64,6,146,193,bus
89,63,7,135,196,bus
99,69,6,139,199,bus
91,66,7,140,207,bus
86,53,8,144,182,bus
83,69,5,143,193,bus
95,73,6,126,204,bus
96,70,6,148,203,bus
82,68,7,143,186,bus
86,63,6,145,196,bus
95,64,6,141,200,bus
94,71,5,145,198,bus
105,54,4,159,184,bus
105,71,6,159,194,bus
98,69,5,161,195,bus
106,67,6,171,184,bus
109,51,6,165,183,bus
83,61,8,143,191,bus
80,59,8,145,185,bus
83,65,7,141,195,bus
81,57,8,146,184,bus
84,65,6,144,188,bus
102,61,6,165,187,bus
110,57,5,169,183,bus
99,62,5,158,190,bus
84,64,7,143,193,bus
97,68,6,129,199,bus
87,66,6,146,190,bus
79,62,8,144,188,bus
85,56,7,145,185,bus
96,64,5,134,198,bus
80,56,7,147,187,bus
87,72,7,145,187,bus
107,55,7,171,187,bus
111,51,6,174,183,bus
87,75,6,141,201,bus
99,66,6,131,202,bus
96,55,5,141,196,bus
106,47,4,166,183,bus
89,66,5,136,195,bus
94,72,6,133,204,bus
114,52,6,169,184,bus
85,54,7,145,184,bus
80,53,8,146,185,bus
83,67,7,144,188,bus
85,53,7,143,182,bus
82,64,7,138,195,bus
94,69,6,144,198,bus
108,75,6,167,185,bus
78,65,8,145,186,bus
86,57,6,147,184,bus
81,55,8,145,182,bus
98,63,6,147,197,bus
84,55,8,148,183,bus
81,60,6,146,186,bus
84,75,7,143,190,bus
88,74,19,143,189,bus
86,66,7,144,196,bus
86,56,7,144,183,bus
86,64,6,145,183,bus
106,67,4,162,182,bus
107,59,7,168,184,bus
81,56,7,149,186,bus
91,69,7,144,201,bus
85,103,52,144,183,bus
87,61,7,136,199,bus
86,54,6,143,182,bus
97,65,6,143,204,bus
87,64,7,138,194,bus
80,53,7,147,184,bus
85,58,8,146,186,bus
96,70,6,127,205,bus
98,71,7,150,203,bus
85,62,7,145,184,bus
106,48,5,165,182,bus
80,54,8,145,183,bus
100,68,7,150,194,bus
86,62,7,142,192,bus
98,68,6,136,203,bus
96,59,6,152,189,bus
81,61,7,148,187,bus
85,54,5,145,181,bus
96,74,5,149,200,bus
91,75,7,147,199,bus
86,70,6,146,191,bus
104,69,11,176,196,opel
106,62,8,161,201,opel
88,59,6,145,208,opel
89,57,8,149,193,opel
98,53,11,178,198,opel
103,62,12,158,202,opel
92,58,8,149,208,opel
91,63,8,156,198,opel
76,58,5,127,184,opel
77,59,5,130,187,opel
97,64,11,155,202,opel
91,65,9,146,194,opel
101,57,13,177,198,opel
104,74,11,172,195,opel
98,70,9,168,197,opel
104,67,12,174,202,opel
86,60,7,141,192,opel
101,55,11,175,192,opel
99,66,11,176,200,opel
95,65,10,143,197,opel
99,54,13,188,198,opel
95,65,9,141,200,opel
95,67,9,151,193,opel
95,74,10,175,193,opel
93,59,7,146,201,opel
86,54,7,127,191,opel
97,54,10,173,193,opel
95,63,9,161,198,opel
78,56,4,124,184,opel
96,58,10,175,194,opel
100,70,11,182,198,opel
93,59,7,141,197,opel
93,60,8,125,198,opel
103,64,12,174,200,opel
90,62,7,131,191,opel
95,68,9,148,202,opel
81,58,6,128,184,opel
87,70,10,141,194,opel
104,53,10,166,198,opel
109,59,10,161,202,opel
91,57,6,146,198,opel
103,65,11,165,196,opel
111,50,11,172,198,opel
107,64,11,164,206,opel
92,58,8,138,206,opel
97,63,9,155,203,opel
85,55,7,130,201,opel
80,57,3,119,183,opel
98,59,10,172,195,opel
102,56,10,171,196,opel
88,56,7,129,198,opel
102,64,10,157,203,opel
106,57,11,161,206,opel
77,59,6,132,187,opel
88,58,5,122,187,opel
79,55,7,135,193,opel
103,56,11,174,201,opel
85,55,7,128,203,opel
89,57,7,126,203,opel
98,65,12,182,196,opel
99,64,10,159,201,opel
104,72,12,177,195,opel
106,58,11,166,198,opel
80,59,8,126,188,opel
80,55,6,125,184,opel
102,53,10,173,195,opel
82,54,7,134,189,opel
106,61,10,158,209,opel
101,69,10,169,193,opel
100,63,9,156,205,opel
104,69,11,176,196,opel
107,61,11,179,196,opel
97,62,8,131,211,opel
88,59,7,134,200,opel
99,55,10,166,194,opel
87,64,9,153,199,opel
102,58,10,171,198,opel
103,59,11,173,194,opel
92,67,9,161,195,opel
93,62,10,141,197,opel
100,67,9,162,199,opel
90,64,8,126,198,opel
97,65,10,156,197,opel
86,57,8,133,190,opel
78,56,6,124,185,opel
104,59,9,161,200,opel
101,53,10,163,194,opel
88,62,6,123,202,opel
103,63,9,161,204,opel
95,62,7,145,204,opel
108,60,11,160,200,opel
103,59,10,173,196,opel
94,59,7,133,204,opel
98,60,7,148,196,opel
96,67,9,163,201,opel
97,64,8,150,198,opel
105,60,11,167,203,opel
93,62,7,124,210,opel
105,64,11,173,199,opel
89,56,7,137,188,opel
109,62,10,158,206,opel
85,56,7,125,194,opel
89,55,6,139,198,opel
89,56,7,126,192,opel
93,59,6,128,202,opel
101,68,10,162,195,opel
88,56,8,143,197,opel
84,62,6,132,190,opel
96,59,8,152,201,opel
93,56,7,120,207,opel
85,59,8,134,193,opel
91,59,7,131,203,opel
96,54,10,175,193,opel
84,56,5,130,188,opel
103,69,11,173,195,opel
91,65,9,137,200,opel
104,68,11,169,196,opel
97,66,8,151,200,opel
89,62,8,125,205,opel
89,54,6,144,193,opel
87,60,8,144,196,opel
99,62,13,180,196,opel
94,62,9,135,209,opel
102,71,10,164,196,opel
104,67,11,170,196,opel
90,61,8,132,193,opel
101,61,11,178,201,opel
82,57,8,133,187,opel
88,69,8,133,192,opel
88,57,5,122,210,opel
102,57,10,162,201,opel
101,67,10,156,196,opel
92,60,8,142,211,opel
87,59,7,145,189,opel
100,65,8,147,195,opel
92,62,8,137,200,opel
106,63,11,167,197,opel
109,57,11,156,201,opel
91,61,8,134,198,opel
84,55,7,134,186,opel
73,54,6,128,184,opel
80,56,7,124,191,opel
83,54,5,131,190,opel
100,62,8,147,198,opel
106,60,12,173,196,opel
102,63,10,142,204,opel
103,71,10,153,196,opel
97,70,11,186,198,opel
99,68,10,178,196,opel
105,57,10,170,195,opel
102,53,10,174,198,opel
98,61,11,152,196,opel
103,57,11,170,198,opel
84,57,8,127,191,opel
90,55,7,138,197,opel
89,58,6,137,209,opel
101,63,9,162,198,opel
85,52,4,133,183,opel
101,59,10,177,195,opel
92,64,8,149,198,opel
100,68,10,165,199,opel
94,55,9,130,195,opel
100,57,10,177,197,opel
98,69,11,178,195,opel
97,63,10,140,204,opel
89,65,6,156,194,opel
95,62,10,154,206,opel
84,60,7,131,198,opel
101,62,12,178,197,opel
107,62,10,148,203,opel
99,64,11,152,205,opel
85,53,9,132,198,opel
88,62,7,138,199,opel
96,69,10,147,194,opel
86,55,7,136,187,opel
101,54,12,172,201,opel
94,62,8,148,198,opel
104,62,10,161,204,opel
86,62,6,135,190,opel
106,68,11,170,201,opel
97,60,8,131,192,opel
96,65,9,166,194,opel
79,53,9,135,189,opel
85,59,8,126,197,opel
107,66,11,163,201,opel
97,63,11,172,194,opel
100,70,11,163,198,opel
103,63,9,142,206,opel
87,61,8,129,205,opel
101,68,10,154,202,opel
103,62,11,175,194,opel
