@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
6,27,bus
5,40,bus
7,45,bus
6,32,bus
7,44,bus
6,45,bus
6,35,bus
5,45,bus
6,44,bus
6,44,bus
5,36,bus
52,45,bus
6,44,bus
7,46,bus
7,46,bus
6,33,bus
6,43,bus
8,46,bus
6,26,bus
5,31,bus
5,27,bus
6,29,bus
7,38,bus
6,44,bus
7,43,bus
6,43,bus
8,46,bus
7,46,bus
7,41,bus
7,45,bus
7,45,bus
6,47,bus
8,45,bus
6,34,bus
7,44,bus
7,44,bus
6,30,bus
7,44,bus
5,43,bus
5,27,bus
6,46,bus
7,42,bus
7,46,bus
7,45,bus
6,45,bus
5,31,bus
8,42,bus
6,38,bus
7,45,bus
7,28,bus
7,44,bus
5,39,bus
7,45,bus
7,33,bus
6,26,bus
7,42,bus
7,45,bus
4,28,bus
6,30,bus
6,32,bus
7,45,bus
5,38,bus
7,46,bus
7,44,bus
8,46,bus
6,26,bus
5,34,bus
4,27,bus
7,45,bus
8,46,bus
6,45,bus
6,46,bus
6,45,bus
7,45,bus
7,41,bus
8,45,bus
6,46,bus
5,51,opel
10,35,opel
6,55,opel
10,31,opel
8,40,opel
7,37,opel
6,40,opel
7,44,opel
8,37,opel
11,30,opel
7,50,opel
9,33,opel
12,30,opel
5,51,opel
8,45,opel
10,32,opel
11,31,opel
8,40,opel
9,32,opel
6,49,opel
11,30,opel
13,30,opel
5,50,opel
6,50,opel
4,44,opel
10,34,opel
8,45,opel
8,37,opel
11,31,opel
9,38,opel
8,40,opel
10,33,opel
9,38,opel
9,36,opel
10,33,opel
6,48,opel
11,31,opel
11,31,opel
8,35,opel
9,33,opel
6,51,opel
9,34,opel
9,36,opel
9,35,opel
10,31,opel
11,31,opel
7,44,opel
11,30,opel
8,37,opel
8,43,opel
10,31,opel
10,36,opel
8,51,opel
10,32,opel
10,32,opel
6,45,opel
12,33,opel
10,31,opel
8,32,opel
7,45,opel
10,32,opel
11,32,opel
7,53,opel
10,32,opel
12,32,opel
8,39,opel
11,31,opel
10,33,opel
7,54,opel
10,33,opel
8,42,opel
10,31,opel
9,33,opel
10,31,opel
6,37,opel
7,38,opel
9,37,opel
8,41,opel
10,30,opel
11,30,opel
10,31,opel
6,46,opel
10,31,opel
7,46,opel
8,48,opel
7,45,opel
3,59,opel
9,37,opel
9,39,opel
8,49,opel
10,31,opel
9,51,opel
11,30,opel
8,39,opel
11,34,opel
10,30,opel
10,32,opel
11,32,opel
11,31,opel
10,30,opel
7,45,opel
7,51,opel
10,30,opel
7,41,opel
10,30,opel
11,31,opel
5,52,opel
7,40,opel
8,40,opel
7,48,opel
10,30,opel
7,50,opel
8,42,opel
7,55,opel
7,44,opel
8,44,opel
8,52,opel
7,44,opel
11,31,opel
7,44,opel
11,30,opel
10,31,opel
10,32,opel
8,33,opel
7,45,opel
7,41,opel
9,34,opel
5,59,opel
11,30,opel
11,30,opel
6,44,opel
11,31,opel
9,35,opel
12,30,opel
8,40,opel
11,30,opel
9,34,opel
8,42,opel
7,41,opel
10,31,opel
10,35,opel
10,36,opel
8,45,opel
10,35,opel
11,30,opel
11,31,opel
10,35,opel
5,48,opel
11,30,opel
11,31,opel
9,35,opel
8,44,opel
11,33,opel
6,46,opel
11,30,opel
12,30,opel
10,32,opel
12,30,opel
9,30,opel
5,49,opel
11,33,opel
10,37,opel
7,43,opel
12,30,opel
10,33,opel
12,30,opel
10,32,opel
6,55,opel
11,32,opel
7,42,opel
11,30,opel
7,40,opel
11,30,opel
10,31,opel
9,30,opel
12,31,opel
6,46,opel
10,36,opel
11,31,opel
6,54,opel
9,34,opel
8,35,opel
11,30,opel
9,39,opel
7,42,opel
9,48,opel
8,41,opel
9,32,opel
9,41,opel
10,30,opel
11,30,opel
