@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
60,7,158,saab
56,11,213,saab
64,12,221,saab
64,11,220,saab
63,11,219,saab
58,5,125,saab
61,10,207,saab
63,6,140,saab
56,7,149,saab
68,10,208,saab
72,10,217,saab
67,12,217,saab
59,7,168,saab
57,12,213,saab
66,9,192,saab
65,10,198,saab
61,10,198,saab
62,12,218,saab
59,9,167,saab
63,9,185,saab
59,7,161,saab
61,9,193,saab
64,8,169,saab
62,9,188,saab
66,10,211,saab
59,5,152,saab
61,9,157,saab
54,10,216,saab
55,6,123,saab
60,5,148,saab
68,11,214,saab
59,9,163,saab
54,7,147,saab
60,8,160,saab
56,11,220,saab
62,6,144,saab
66,11,214,saab
71,9,211,saab
59,11,214,saab
66,11,204,saab
60,7,150,saab
61,10,216,saab
58,11,208,saab
61,8,164,saab
60,10,215,saab
57,6,121,saab
58,6,116,saab
63,8,186,saab
59,9,186,saab
59,10,208,saab
58,6,148,saab
56,11,210,saab
64,11,201,saab
60,10,185,saab
62,6,135,saab
65,10,187,saab
65,12,212,saab
59,5,132,saab
60,11,175,saab
62,11,220,saab
63,10,196,saab
68,12,218,saab
55,6,140,saab
60,8,150,saab
51,6,142,saab
60,9,197,saab
56,6,136,saab
55,10,212,saab
65,11,213,saab
67,10,204,saab
60,8,157,saab
61,11,207,saab
64,10,201,saab
63,12,222,saab
63,7,176,saab
66,9,188,saab
64,10,187,saab
59,9,175,saab
53,5,134,saab
53,6,144,saab
64,7,160,saab
59,10,207,saab
63,11,219,saab
68,11,207,saab
68,11,219,saab
57,11,220,saab
64,9,177,saab
57,6,128,saab
56,6,160,saab
73,10,221,saab
59,7,163,saab
63,10,213,saab
56,7,152,saab
71,12,221,saab
58,8,181,saab
61,10,198,saab
54,10,208,saab
60,9,157,saab
58,6,142,saab
57,4,122,saab
62,11,183,saab
61,4,135,saab
65,12,213,saab
59,4,137,saab
64,11,213,saab
66,11,218,saab
54,7,149,saab
68,8,159,saab
60,10,171,saab
60,11,211,saab
66,9,191,saab
65,8,169,saab
57,8,153,saab
54,8,144,saab
62,11,216,saab
62,10,180,saab
65,10,193,saab
54,7,132,saab
59,7,140,saab
64,9,198,saab
61,8,142,saab
58,7,174,saab
53,7,149,bus
68,7,150,bus
68,6,185,bus
65,5,155,bus
54,4,222,bus
50,7,150,bus
74,5,202,bus
71,7,154,bus
60,7,197,bus
66,7,145,bus
54,8,150,bus
62,8,153,bus
54,7,150,bus
71,5,161,bus
66,5,208,bus
64,6,145,bus
64,7,154,bus
68,6,171,bus
51,5,256,bus
70,7,167,bus
57,5,251,bus
61,7,153,bus
71,5,174,bus
67,6,149,bus
75,6,171,bus
65,5,209,bus
56,6,152,bus
67,6,142,bus
68,7,150,bus
71,7,166,bus
68,5,155,bus
50,8,152,bus
54,7,149,bus
55,7,150,bus
59,8,150,bus
74,7,157,bus
74,5,165,bus
71,5,186,bus
103,52,149,bus
69,22,151,bus
57,6,151,bus
47,4,247,bus
68,7,151,bus
64,7,149,bus
50,6,255,bus
75,7,154,bus
54,6,148,bus
57,6,241,bus
57,8,149,bus
53,6,151,bus
64,7,151,bus
68,7,151,bus
64,6,154,bus
55,7,234,bus
72,7,152,bus
73,6,162,bus
69,7,150,bus
53,6,257,bus
66,7,151,bus
55,8,150,bus
54,5,148,bus
70,7,144,bus
68,6,164,bus
72,6,167,bus
64,6,147,bus
72,4,238,bus
55,7,152,bus
53,6,152,bus
60,6,153,bus
63,6,218,bus
59,7,240,bus
55,8,149,bus
71,6,152,bus
69,7,150,bus
64,6,141,bus
69,5,192,bus
58,7,149,bus
69,6,177,bus
126,52,148,bus
54,7,150,bus
67,6,186,bus
67,7,150,bus
72,8,153,bus
56,8,149,bus
61,6,225,bus
69,6,160,bus
61,7,143,bus
56,8,150,bus
65,6,204,bus
62,7,147,bus
67,7,148,bus
56,6,148,bus
68,7,150,bus
51,6,265,bus
57,6,151,bus
64,7,148,bus
53,7,150,bus
52,7,236,bus
61,7,147,bus
57,8,148,bus
65,5,194,bus
49,7,252,bus
73,7,157,bus
65,22,149,bus
70,6,149,bus
61,7,153,bus
55,7,149,bus
69,5,169,bus
66,7,144,bus
58,4,227,bus
75,6,239,bus
64,7,151,bus
56,7,151,bus
65,7,173,bus
65,7,151,bus
56,6,148,bus
71,5,176,bus
74,6,184,bus
59,7,149,bus
60,6,220,bus
70,6,151,bus
58,6,148,bus
73,6,158,bus
71,6,161,bus
67,7,149,bus
67,6,262,bus
65,8,147,bus
51,6,241,bus
64,5,250,bus
72,6,158,bus
76,7,150,bus
51,6,261,bus
73,7,178,bus
62,7,150,bus
59,6,213,bus
55,5,186,bus
70,6,154,bus
65,7,144,bus
47,4,237,bus
64,6,151,bus
69,5,166,bus
61,8,147,bus
56,7,148,bus
59,6,148,bus
61,8,143,bus
73,6,156,bus
52,6,257,bus
56,7,150,bus
56,8,151,bus
62,7,149,bus
54,7,151,bus
63,6,192,bus
71,6,195,bus
65,8,149,bus
61,6,172,bus
62,5,203,bus
70,7,155,bus
66,5,153,bus
64,7,151,bus
75,7,155,bus
57,7,236,bus
72,7,184,bus
60,7,150,bus
56,7,152,bus
74,19,152,bus
60,7,152,bus
54,8,151,bus
56,7,153,bus
51,8,257,bus
69,5,148,bus
66,6,145,bus
66,7,146,bus
73,6,151,bus
51,6,150,bus
74,5,163,bus
64,6,146,bus
69,5,143,bus
65,6,145,bus
71,7,176,bus
72,8,155,bus
67,4,250,bus
70,6,167,bus
70,6,146,bus
53,8,150,bus
65,6,153,bus
66,7,148,bus
64,7,150,bus
53,7,149,bus
63,6,149,bus
69,7,184,bus
56,6,149,bus
70,6,183,bus
69,6,177,bus
58,8,151,bus
54,6,150,bus
62,7,152,bus
64,6,192,bus
70,11,224,opel
56,7,163,opel
56,4,120,opel
61,8,164,opel
59,8,171,opel
69,10,200,opel
53,11,224,opel
57,11,220,opel
56,6,123,opel
60,7,167,opel
57,8,161,opel
62,13,222,opel
64,12,222,opel
57,13,225,opel
59,5,133,opel
57,8,131,opel
64,10,185,opel
62,8,200,opel
70,11,220,opel
56,10,219,opel
57,11,214,opel
57,8,139,opel
56,9,219,opel
55,7,147,opel
53,10,213,opel
59,5,130,opel
64,11,202,opel
63,10,179,opel
68,11,215,opel
57,6,150,opel
62,7,149,opel
57,11,214,opel
56,8,142,opel
62,6,126,opel
62,8,176,opel
63,9,193,opel
60,7,157,opel
54,10,216,opel
56,7,138,opel
57,8,156,opel
62,11,212,opel
70,10,223,opel
53,10,217,opel
56,5,132,opel
65,11,212,opel
68,11,218,opel
56,7,130,opel
60,11,218,opel
60,8,150,opel
61,9,193,opel
58,5,114,opel
54,7,153,opel
62,10,205,opel
65,10,189,opel
63,11,215,opel
63,9,190,opel
67,9,189,opel
67,10,200,opel
69,11,218,opel
61,8,167,opel
58,6,134,opel
50,11,221,opel
60,7,152,opel
64,11,201,opel
63,11,227,opel
59,10,192,opel
56,7,149,opel
62,9,161,opel
59,7,147,opel
56,7,127,opel
57,10,219,opel
54,6,126,opel
62,9,172,opel
64,11,197,opel
59,10,213,opel
52,4,152,opel
74,11,220,opel
54,6,149,opel
68,9,201,opel
53,9,142,opel
57,8,153,opel
69,11,219,opel
65,6,178,opel
58,10,215,opel
70,11,226,opel
55,7,135,opel
54,7,154,opel
67,9,198,opel
63,10,185,opel
62,10,188,opel
64,8,168,opel
69,11,225,opel
62,6,140,opel
62,10,183,opel
58,10,222,opel
61,11,207,opel
59,7,154,opel
61,11,225,opel
62,8,167,opel
64,8,162,opel
70,10,189,opel
57,10,222,opel
62,10,198,opel
68,10,209,opel
62,6,140,opel
67,9,205,opel
52,10,206,opel
57,7,135,opel
66,6,162,opel
58,11,217,opel
58,5,133,opel
67,11,218,opel
64,11,217,opel
64,10,203,opel
55,6,145,opel
54,12,216,opel
55,6,125,opel
65,10,214,opel
60,8,147,opel
55,7,150,opel
63,9,186,opel
65,9,204,opel
60,8,156,opel
68,10,224,opel
62,9,193,opel
59,7,151,opel
60,12,221,opel
59,6,142,opel
57,10,212,opel
59,7,162,opel
74,10,212,opel
59,9,169,opel
56,6,139,opel
62,8,161,opel
65,12,226,opel
67,9,217,opel
66,11,221,opel
62,8,186,opel
54,12,208,opel
69,11,219,opel
58,8,165,opel
66,11,209,opel
63,9,181,opel
64,9,177,opel
61,10,181,opel
56,7,128,opel
65,9,178,opel
60,7,177,opel
60,11,211,opel
59,10,210,opel
62,10,178,opel
71,10,205,opel
57,11,206,opel
53,10,219,opel
59,9,188,opel
58,6,132,opel
67,10,195,opel
67,10,201,opel
59,11,216,opel
54,10,215,opel
62,7,176,opel
68,11,205,opel
59,7,159,opel
55,7,147,opel
59,7,130,opel
70,9,210,opel
59,8,153,opel
55,7,138,opel
69,10,208,opel
62,12,227,opel
54,13,224,opel
62,8,157,opel
62,7,164,opel
62,7,162,opel
55,7,122,opel
58,8,140,opel
61,8,178,opel
55,9,169,opel
65,8,201,opel
72,12,221,opel
61,11,221,opel
59,10,215,opel
56,7,146,opel
57,3,114,opel
59,6,147,opel
55,11,214,opel
66,8,192,opel
62,9,200,opel
59,6,151,opel
61,7,146,opel
