@relation vehicle

@attribute Circularity numeric
@attribute Praxis_rectangular numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
44,19,178,206,bus
44,19,185,182,bus
39,19,145,200,bus
45,19,186,183,bus
43,19,171,184,bus
39,19,139,200,bus
41,19,152,195,bus
43,19,176,184,bus
45,19,180,187,bus
43,19,174,188,bus
42,19,172,182,bus
43,19,171,182,bus
45,19,187,186,bus
55,26,247,183,bus
44,19,178,186,bus
43,22,162,196,bus
41,21,151,199,bus
47,19,195,188,bus
43,19,176,184,bus
36,19,127,205,bus
41,19,157,197,bus
45,19,186,182,bus
53,26,242,184,bus
46,19,190,187,bus
44,19,190,185,bus
36,20,125,204,bus
41,19,153,195,bus
45,19,189,191,bus
51,22,188,194,bus
42,19,160,182,bus
41,19,154,195,bus
45,19,184,184,bus
45,19,176,196,bus
44,19,188,183,bus
41,21,148,198,bus
56,28,230,184,bus
57,28,260,184,bus
41,21,151,197,bus
46,19,185,188,bus
43,19,173,190,bus
49,21,198,199,bus
46,19,189,190,bus
40,19,151,200,bus
47,20,182,203,bus
52,22,221,195,bus
44,19,171,182,bus
43,19,171,187,bus
39,18,141,199,bus
42,20,156,204,bus
54,26,253,185,bus
38,19,139,204,bus
43,19,173,185,bus
45,22,163,193,bus
43,19,174,181,bus
43,19,176,183,bus
43,19,176,184,bus
47,23,186,191,bus
42,19,171,182,bus
51,24,214,189,bus
44,19,173,185,bus
38,20,137,202,bus
41,19,155,191,bus
44,19,169,198,bus
41,19,152,194,bus
45,19,186,189,bus
57,28,261,184,bus
40,19,145,196,bus
57,28,232,184,bus
44,22,154,197,bus
43,19,177,206,bus
42,19,173,184,bus
56,26,228,185,bus
45,19,176,187,bus
44,19,177,185,bus
45,19,183,201,bus
42,19,157,193,bus
43,19,175,182,bus
44,19,185,183,bus
42,19,172,182,bus
56,27,268,183,bus
57,26,229,187,bus
45,19,191,198,bus
46,20,191,200,bus
37,19,132,206,bus
44,19,183,185,bus
51,23,219,190,bus
46,22,174,197,bus
43,19,177,182,bus
47,19,184,192,bus
44,19,177,187,bus
45,22,183,197,bus
50,25,206,184,bus
37,19,119,208,bus
36,19,124,204,bus
47,19,190,194,bus
40,19,148,197,bus
42,19,163,182,bus
45,19,184,184,bus
55,26,245,184,bus
46,19,198,186,bus
49,21,194,202,bus
43,19,160,189,bus
38,20,133,205,bus
51,24,208,188,bus
49,24,210,189,bus
37,19,127,202,bus
47,19,199,189,bus
42,19,159,207,bus
42,19,172,182,bus
42,19,174,182,bus
38,20,129,203,bus
45,19,176,196,bus
44,18,170,193,bus
43,19,168,186,bus
37,20,135,202,bus
54,27,242,183,bus
52,25,217,186,bus
46,19,183,191,bus
44,18,173,199,bus
37,20,136,200,bus
40,19,144,200,bus
45,19,186,184,bus
45,22,167,191,bus
44,19,176,183,bus
45,19,185,185,bus
42,19,172,183,bus
42,19,159,188,bus
46,19,183,191,bus
43,19,172,184,bus
41,19,152,195,bus
43,19,173,188,bus
55,26,242,184,bus
51,23,205,193,bus
42,19,158,190,bus
35,19,117,205,bus
44,19,177,183,bus
49,21,186,200,bus
53,26,222,184,bus
44,19,178,183,bus
46,19,192,195,bus
42,19,171,183,bus
40,21,141,201,bus
44,19,178,201,bus
49,22,209,195,bus
43,19,164,192,bus
53,23,214,192,bus
43,19,171,182,bus
56,27,239,183,bus
58,28,257,182,bus
45,19,179,201,bus
43,19,168,183,bus
51,21,198,199,bus
44,19,185,183,bus
47,20,172,205,bus
48,23,200,194,bus
55,28,239,186,bus
43,19,171,185,bus
42,19,171,182,bus
43,19,179,184,bus
47,20,185,206,bus
43,21,163,198,bus
48,22,171,195,bus
54,27,243,182,bus
51,25,209,186,bus
43,18,177,203,bus
57,28,261,181,bus
45,19,179,183,bus
42,19,172,182,bus
57,28,261,183,bus
45,19,186,185,bus
45,20,186,203,bus
52,24,218,191,bus
43,19,173,183,bus
50,22,198,198,bus
47,23,201,191,bus
42,19,165,209,bus
44,19,166,206,bus
42,19,156,188,bus
38,20,137,199,bus
49,24,198,189,bus
39,19,143,200,bus
44,18,173,203,bus
43,19,173,184,bus
40,20,148,197,bus
58,29,255,183,bus
57,28,264,183,bus
40,21,150,199,opel
55,25,216,194,opel
38,18,127,191,opel
34,18,120,210,opel
44,20,180,199,opel
54,25,217,195,opel
39,20,147,191,opel
54,24,201,195,opel
37,18,147,184,opel
39,20,151,192,opel
47,20,201,192,opel
58,25,207,198,opel
55,25,218,196,opel
43,19,174,197,opel
49,21,171,206,opel
39,19,139,189,opel
59,25,218,198,opel
57,24,223,193,opel
55,24,214,201,opel
52,25,218,198,opel
40,19,165,186,opel
39,19,133,193,opel
49,21,209,199,opel
37,19,145,191,opel
39,21,121,209,opel
51,22,195,202,opel
50,22,185,204,opel
55,25,214,196,opel
35,18,120,202,opel
40,18,151,209,opel
54,24,196,196,opel
52,24,189,198,opel
48,23,164,202,opel
48,23,193,196,opel
35,17,138,187,opel
49,21,180,209,opel
38,19,142,194,opel
42,21,168,197,opel
48,24,204,202,opel
56,25,204,197,opel
50,24,218,197,opel
51,25,206,198,opel
39,20,157,190,opel
34,17,121,183,opel
55,24,219,194,opel
38,18,139,187,opel
55,23,246,194,opel
44,19,168,193,opel
41,21,136,204,opel
39,18,162,190,opel
46,20,164,208,opel
51,24,224,195,opel
36,18,123,194,opel
52,23,226,201,opel
56,24,223,193,opel
44,22,151,198,opel
56,24,218,196,opel
37,18,132,184,opel
36,19,142,198,opel
42,21,149,200,opel
55,24,218,193,opel
52,23,200,201,opel
38,20,140,198,opel
35,19,123,203,opel
36,19,134,203,opel
51,24,184,201,opel
55,25,211,197,opel
45,20,188,201,opel
36,18,133,191,opel
45,23,189,195,opel
45,20,186,196,opel
52,24,197,203,opel
55,24,226,202,opel
46,22,194,197,opel
51,24,187,200,opel
36,17,135,184,opel
40,18,144,200,opel
51,23,193,196,opel
54,25,201,198,opel
55,24,249,196,opel
56,24,216,199,opel
57,25,236,200,opel
36,18,139,187,opel
48,23,197,196,opel
38,18,145,184,opel
55,24,210,197,opel
49,22,176,205,opel
55,24,223,195,opel
41,18,158,197,opel
46,22,161,202,opel
40,18,162,190,opel
41,18,165,187,opel
57,24,250,195,opel
52,23,192,206,opel
42,19,166,198,opel
49,24,183,200,opel
52,25,207,199,opel
46,20,178,198,opel
52,24,199,196,opel
47,20,182,198,opel
37,20,136,192,opel
38,18,135,188,opel
40,19,153,187,opel
36,19,126,205,opel
49,21,201,198,opel
48,23,168,206,opel
41,19,156,188,opel
46,22,169,200,opel
38,20,132,206,opel
40,21,157,193,opel
45,19,174,196,opel
55,25,204,198,opel
56,25,212,196,opel
38,20,148,202,opel
54,24,223,198,opel
36,17,121,185,opel
45,20,178,204,opel
38,18,141,188,opel
56,24,224,192,opel
54,23,214,198,opel
38,19,136,187,opel
55,24,219,194,opel
39,18,142,186,opel
52,22,205,200,opel
38,18,148,184,opel
54,25,200,201,opel
58,25,246,196,opel
47,20,197,193,opel
48,21,189,203,opel
58,25,216,196,opel
50,21,210,194,opel
37,19,136,197,opel
48,21,196,201,opel
54,25,198,198,opel
56,25,218,195,opel
46,20,193,198,opel
54,25,223,196,opel
35,19,137,198,opel
42,19,160,211,opel
57,25,205,198,opel
52,23,186,203,opel
55,25,216,195,opel
53,25,214,197,opel
41,21,153,200,opel
56,24,219,194,opel
52,24,204,194,opel
49,24,172,206,opel
34,18,114,207,opel
49,23,174,196,opel
43,22,139,204,opel
38,18,123,198,opel
43,19,168,203,opel
45,19,180,198,opel
52,22,244,199,opel
50,22,193,201,opel
42,18,151,206,opel
44,19,177,208,opel
55,24,245,197,opel
49,23,186,201,opel
40,19,144,193,opel
57,25,213,198,opel
54,23,241,198,opel
52,23,204,204,opel
35,19,125,210,opel
44,19,174,197,opel
39,21,151,200,opel
57,25,219,196,opel
37,20,117,211,opel
38,20,145,198,opel
54,24,222,194,opel
55,25,217,198,opel
52,24,215,194,opel
46,23,159,205,opel
38,18,139,190,opel
53,22,210,198,opel
54,25,203,198,opel
38,20,130,205,opel
44,19,161,192,opel
53,24,191,198,opel
38,18,146,183,opel
55,25,213,196,opel
39,19,144,189,opel
38,20,155,195,opel
51,22,235,198,opel
55,25,204,201,opel
41,21,138,206,opel
36,18,130,192,opel
44,22,178,194,opel
54,24,217,195,opel
46,23,199,194,opel
55,24,221,193,opel
