@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
49,106,64,32,saab
52,101,62,35,saab
51,108,59,31,saab
54,101,67,30,saab
43,89,63,35,saab
42,90,61,37,saab
54,103,66,31,saab
55,104,67,32,saab
53,105,71,30,saab
46,106,66,33,saab
54,106,68,32,saab
38,63,55,46,saab
42,98,63,36,saab
52,109,55,31,saab
48,85,60,38,saab
52,100,62,31,saab
50,96,65,35,saab
33,50,53,59,saab
53,103,64,30,saab
37,54,53,50,saab
53,108,61,31,saab
46,81,61,40,saab
45,105,64,36,saab
41,64,61,45,saab
43,92,62,36,saab
44,77,59,44,saab
39,72,55,46,saab
45,79,59,40,saab
47,109,59,34,saab
39,85,59,41,saab
55,107,68,31,saab
43,69,59,43,saab
45,100,61,33,saab
38,63,51,47,saab
54,98,66,31,saab
36,78,58,50,saab
46,100,61,34,saab
38,80,59,41,saab
36,51,53,50,saab
45,101,66,34,saab
34,66,55,54,saab
44,98,62,36,saab
38,75,54,46,saab
39,83,59,39,saab
40,78,58,38,saab
51,105,60,35,saab
38,82,59,43,saab
45,76,60,42,saab
53,93,62,31,saab
36,54,57,53,saab
52,101,64,33,saab
51,104,57,31,saab
53,110,67,31,saab
46,83,56,41,saab
39,63,58,52,saab
47,88,60,38,saab
49,100,60,35,saab
45,77,64,41,saab
36,83,61,47,saab
40,66,59,49,saab
37,59,63,51,saab
54,109,68,31,saab
52,110,65,31,saab
51,98,60,34,saab
51,103,56,31,saab
53,101,63,32,saab
41,88,59,38,saab
43,72,56,45,saab
45,82,56,43,saab
50,103,60,31,saab
53,103,63,30,saab
38,78,65,39,saab
41,66,56,49,saab
36,57,57,56,saab
54,108,70,31,saab
44,95,66,35,saab
50,110,56,31,saab
50,94,67,35,saab
38,71,53,49,saab
38,58,60,46,saab
40,83,60,41,saab
53,98,54,31,saab
53,108,64,31,saab
56,101,72,31,saab
55,103,68,30,saab
43,77,54,46,saab
47,83,61,40,saab
50,90,63,37,saab
39,87,64,40,saab
54,106,65,31,saab
46,105,61,34,saab
54,103,65,32,saab
43,76,57,44,saab
53,105,57,31,saab
40,89,58,37,saab
53,108,63,31,saab
51,96,66,35,saab
54,101,64,31,saab
53,100,64,30,saab
36,85,64,41,saab
36,54,53,54,saab
48,101,65,33,saab
43,72,59,42,saab
39,81,64,40,saab
50,104,58,32,saab
54,96,62,31,saab
51,108,62,30,saab
42,80,62,46,saab
51,90,69,36,saab
48,105,64,33,saab
53,106,55,32,saab
37,80,67,43,saab
47,81,59,39,saab
51,100,63,34,saab
55,108,69,31,saab
53,104,66,32,saab
55,104,71,32,saab
45,76,57,41,saab
53,109,69,31,saab
37,74,68,42,saab
45,81,64,41,saab
40,85,62,39,saab
37,57,62,50,saab
38,88,60,39,saab
53,108,61,32,saab
38,55,55,48,saab
36,77,56,42,saab
45,71,66,45,bus
52,94,66,31,bus
41,76,67,45,bus
45,66,126,45,bus
48,95,68,32,bus
42,63,55,45,bus
45,68,69,45,bus
44,70,64,45,bus
44,70,64,47,bus
42,76,64,44,bus
46,71,70,44,bus
40,76,67,44,bus
45,74,74,41,bus
39,76,71,43,bus
36,73,73,41,bus
44,65,55,46,bus
42,64,55,46,bus
41,77,69,36,bus
57,107,67,26,bus
46,74,68,43,bus
47,77,72,38,bus
44,63,54,45,bus
42,59,58,46,bus
49,79,65,37,bus
55,96,57,28,bus
51,92,60,30,bus
45,66,65,46,bus
49,89,54,31,bus
42,60,51,46,bus
51,84,72,35,bus
42,76,65,42,bus
43,70,65,46,bus
49,84,74,34,bus
56,103,64,26,bus
42,62,67,43,bus
46,77,71,39,bus
38,75,64,43,bus
44,65,56,45,bus
37,75,71,40,bus
51,89,65,32,bus
43,68,67,46,bus
54,103,47,27,bus
40,78,73,41,bus
58,105,51,26,bus
43,70,72,44,bus
46,88,63,34,bus
47,84,71,36,bus
45,76,69,44,bus
57,109,56,26,bus
42,64,54,46,bus
43,73,68,44,bus
50,81,67,34,bus
55,102,51,27,bus
41,70,64,45,bus
47,74,61,43,bus
46,68,59,44,bus
49,98,59,31,bus
47,88,60,33,bus
45,71,70,45,bus
47,91,74,32,bus
45,72,69,41,bus
43,66,57,45,bus
42,66,53,46,bus
44,66,58,45,bus
52,86,69,33,bus
44,70,72,42,bus
48,79,68,35,bus
47,73,70,38,bus
42,66,66,44,bus
46,71,66,44,bus
52,95,58,29,bus
41,75,66,43,bus
44,68,53,45,bus
43,68,62,46,bus
45,68,60,45,bus
43,68,64,45,bus
55,103,49,27,bus
44,72,66,46,bus
45,70,56,45,bus
41,76,73,42,bus
53,98,47,28,bus
43,66,54,46,bus
46,70,65,45,bus
44,70,69,46,bus
40,76,76,44,bus
39,70,61,46,bus
43,68,53,46,bus
42,65,50,45,bus
45,85,64,33,bus
43,68,57,46,bus
42,65,54,45,bus
55,98,59,27,bus
41,70,65,46,bus
58,106,51,26,bus
49,76,73,36,bus
43,64,69,43,bus
50,93,54,30,bus
44,72,64,44,bus
42,66,53,45,bus
41,77,64,36,bus
44,72,60,44,bus
44,72,52,44,bus
47,69,64,44,bus
41,66,65,45,bus
41,73,64,44,bus
40,77,61,37,bus
43,64,56,46,bus
43,76,75,43,bus
47,75,68,43,bus
57,106,51,26,bus
44,68,53,45,bus
41,71,68,44,bus
43,66,56,44,bus
43,70,56,46,bus
37,75,70,42,bus
43,73,65,44,bus
37,70,66,43,bus
39,75,72,42,bus
43,66,56,46,bus
43,66,54,46,bus
57,102,55,28,bus
54,105,48,27,bus
44,72,61,46,bus
49,80,70,35,bus
37,74,74,39,bus
45,68,73,44,bus
43,68,62,44,bus
43,70,54,45,bus
38,75,68,37,bus
37,73,71,42,bus
47,75,64,43,bus
41,75,71,36,bus
44,84,74,35,bus
53,91,65,32,bus
46,74,74,39,bus
51,88,62,32,bus
40,72,63,45,bus
37,73,68,43,bus
56,102,75,28,bus
42,66,67,45,bus
39,74,66,45,bus
44,70,103,45,bus
46,73,57,45,bus
45,83,65,33,bus
42,66,54,46,bus
43,82,55,34,bus
46,73,59,45,bus
42,81,69,38,bus
43,69,54,46,bus
43,71,60,45,bus
43,65,56,46,bus
45,70,58,45,bus
44,65,56,46,bus
51,80,71,33,bus
52,103,52,28,bus
45,71,56,45,bus
38,70,68,39,bus
45,72,71,40,bus
46,71,61,44,bus
44,70,75,45,bus
43,72,62,44,bus
57,106,50,26,bus
56,109,57,27,bus
43,69,62,44,bus
40,73,68,44,bus
57,102,52,26,bus
42,70,59,45,bus
43,68,54,45,bus
44,70,61,46,bus
43,83,69,36,bus
38,74,66,39,bus
45,86,69,35,bus
45,68,64,46,bus
36,73,73,40,bus
38,79,69,40,bus
44,68,59,45,bus
44,68,70,41,bus
45,66,57,46,bus
47,70,70,40,bus
56,104,53,26,bus
42,63,55,46,bus
45,65,56,45,bus
51,93,51,30,bus
54,106,57,28,bus
57,106,51,26,bus
42,65,53,45,bus
45,68,64,46,bus
36,74,70,43,bus
45,73,63,44,bus
51,92,65,31,bus
42,71,64,45,bus
44,68,50,45,bus
43,66,55,45,bus
53,101,72,28,bus
35,70,68,41,bus
45,68,69,45,bus
36,66,57,52,opel
42,75,55,46,opel
44,71,56,48,opel
47,83,60,40,opel
41,66,55,50,opel
41,93,65,36,opel
57,107,63,30,opel
38,77,56,41,opel
45,73,59,42,opel
50,83,65,37,opel
52,98,71,31,opel
53,98,58,31,opel
54,98,56,31,opel
35,72,62,44,opel
55,109,67,30,opel
46,94,67,34,opel
58,109,70,30,opel
49,103,57,32,opel
56,100,59,31,opel
46,79,64,41,opel
52,109,68,30,opel
54,107,56,30,opel
55,100,62,31,opel
54,105,67,33,opel
55,101,68,30,opel
46,82,58,40,opel
46,105,64,34,opel
44,98,70,35,opel
36,78,55,45,opel
39,88,69,40,opel
48,101,62,33,opel
59,108,70,30,opel
56,100,62,30,opel
55,96,54,31,opel
38,75,59,46,opel
39,60,56,49,opel
57,100,54,30,opel
40,83,61,37,opel
36,72,56,54,opel
52,107,62,33,opel
35,66,59,46,opel
38,85,61,40,opel
38,78,61,46,opel
49,96,61,36,opel
36,69,56,53,opel
37,77,54,43,opel
49,103,67,33,opel
39,91,62,37,opel
56,100,69,32,opel
44,80,66,40,opel
52,101,64,33,opel
55,101,70,31,opel
38,58,58,51,opel
52,105,53,31,opel
55,103,63,31,opel
49,86,63,37,opel
55,96,60,30,opel
56,100,55,31,opel
46,101,65,34,opel
44,93,62,35,opel
38,72,53,51,opel
56,105,59,32,opel
55,105,68,30,opel
49,92,62,37,opel
54,98,53,31,opel
37,80,59,44,opel
55,103,65,31,opel
55,101,57,30,opel
36,72,56,48,opel
54,104,58,31,opel
55,105,70,30,opel
50,88,64,35,opel
54,101,58,30,opel
38,53,59,51,opel
52,107,60,31,opel
55,98,54,31,opel
37,78,62,41,opel
48,107,62,32,opel
57,104,74,31,opel
51,109,70,30,opel
39,72,53,48,opel
51,104,52,32,opel
39,84,57,43,opel
36,51,56,57,opel
52,104,67,33,opel
57,105,69,30,opel
50,98,63,34,opel
51,96,63,35,opel
39,86,54,45,opel
55,105,59,31,opel
54,100,53,31,opel
51,100,59,34,opel
58,103,69,30,opel
45,100,65,32,opel
57,103,69,30,opel
38,60,56,50,opel
41,92,63,37,opel
54,104,59,32,opel
35,50,58,59,opel
38,84,55,39,opel
52,104,55,32,opel
34,42,57,59,opel
54,91,67,31,opel
53,103,63,34,opel
54,100,62,33,opel
51,103,60,31,opel
40,69,59,51,opel
52,96,59,35,opel
39,89,62,38,opel
49,107,57,31,opel
55,101,69,30,opel
58,101,65,30,opel
37,57,55,54,opel
54,96,57,30,opel
45,80,62,40,opel
40,73,57,44,opel
51,108,57,31,opel
53,98,63,30,opel
52,101,64,33,opel
40,75,62,48,opel
44,77,60,44,opel
42,88,62,36,opel
36,78,64,42,opel
40,69,58,50,opel
55,108,53,30,opel
55,96,56,30,opel
56,96,74,30,opel
52,103,57,31,opel
46,100,61,34,opel
40,79,62,38,opel
34,69,57,48,opel
55,107,61,30,opel
48,101,61,31,opel
52,110,53,30,opel
35,78,60,45,opel
38,66,62,54,opel
39,77,59,45,opel
38,63,59,52,opel
48,96,71,32,opel
41,78,55,48,opel
56,98,64,31,opel
35,66,59,45,opel
55,101,57,30,opel
50,108,65,31,opel
57,109,66,30,opel
42,69,58,48,opel
49,86,64,37,opel
46,101,66,35,opel
49,107,54,32,opel
48,94,63,36,opel
41,75,56,46,opel
45,76,60,42,opel
38,89,59,39,opel
37,53,54,55,opel
40,71,55,45,opel
36,77,62,42,opel
47,81,64,39,opel
37,76,60,41,opel
45,82,60,42,opel
43,96,63,36,opel
39,69,54,49,opel
49,96,63,35,opel
46,79,62,40,opel
43,78,59,44,opel
48,83,59,39,opel
44,82,54,45,opel
41,83,63,38,opel
36,60,56,55,opel
45,75,57,44,opel
48,107,68,32,opel
44,77,59,44,opel
54,103,50,30,opel
39,86,62,41,opel
55,98,68,31,opel
38,74,62,41,opel
34,66,56,51,opel
38,74,57,49,opel
55,103,65,32,opel
42,96,65,37,opel
42,75,60,45,opel
52,98,62,34,opel
38,53,58,51,opel
40,80,55,47,opel
38,64,59,51,opel
52,101,62,33,opel
43,69,56,44,opel
54,91,57,31,opel
56,105,61,30,opel
38,76,61,40,opel
51,105,68,32,opel
47,81,57,41,opel
