@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
10,365,67,200,van
10,351,67,201,van
8,279,64,209,van
9,339,67,204,van
9,319,64,206,van
8,281,63,209,van
11,362,75,193,van
9,363,67,200,van
7,277,85,183,van
6,218,79,185,van
10,367,68,199,van
9,358,77,191,van
7,242,66,196,van
10,312,64,206,van
11,338,72,199,van
7,251,69,194,van
11,371,77,194,van
8,243,74,185,van
11,354,73,195,van
10,334,65,205,van
10,379,70,197,van
7,246,62,209,van
11,371,71,198,van
8,246,66,200,van
11,366,74,193,van
10,355,75,196,van
8,300,63,207,van
7,237,64,207,van
11,381,74,193,van
8,279,67,204,van
11,636,64,205,saab
7,467,70,195,saab
4,196,76,190,saab
11,623,68,201,saab
4,220,82,184,saab
10,489,64,205,saab
9,512,66,199,saab
8,445,72,194,saab
11,711,72,200,saab
10,664,74,198,saab
11,648,71,197,saab
9,543,68,200,saab
9,645,68,202,saab
4,245,81,184,saab
6,274,74,189,saab
10,518,62,208,saab
11,707,71,203,saab
11,704,69,203,saab
6,308,74,189,saab
8,353,69,195,saab
9,511,67,206,saab
11,505,64,204,saab
9,404,62,208,saab
8,298,63,200,saab
5,262,70,191,saab
11,673,72,198,saab
8,506,70,196,saab
8,427,64,201,saab
8,360,61,209,saab
12,675,66,202,saab
11,675,68,202,saab
10,640,69,199,saab
10,600,64,204,saab
11,638,71,200,saab
10,641,72,197,saab
8,402,72,193,saab
9,433,68,199,saab
8,486,68,202,saab
12,721,70,201,saab
7,246,63,204,saab
3,184,86,183,saab
7,327,72,191,saab
10,642,70,198,saab
6,265,83,184,saab
6,290,71,195,saab
9,658,74,196,saab
10,621,68,197,saab
8,357,69,193,saab
11,665,71,199,saab
6,295,77,186,saab
10,711,73,199,saab
12,668,66,205,saab
11,677,70,201,saab
7,330,82,185,saab
7,396,71,192,saab
7,264,82,185,saab
4,193,83,185,saab
8,277,75,186,saab
5,295,81,183,saab
11,705,71,196,saab
7,339,76,187,saab
9,584,68,197,saab
6,337,70,196,saab
9,613,64,204,saab
8,460,68,199,saab
10,604,73,197,saab
12,674,68,199,saab
7,383,70,199,saab
7,389,68,197,saab
9,415,63,207,saab
11,694,67,201,saab
9,578,73,197,saab
9,365,63,208,saab
7,435,66,204,saab
8,378,69,197,saab
10,559,71,196,saab
11,607,65,204,saab
9,370,63,206,saab
11,650,73,196,saab
12,691,67,199,saab
6,299,77,185,saab
10,572,67,201,saab
10,680,74,194,saab
7,455,68,200,saab
6,224,65,202,saab
8,293,64,205,saab
7,252,72,187,saab
11,707,71,199,saab
11,688,72,199,saab
10,660,73,197,saab
10,440,59,210,saab
12,684,71,199,saab
12,627,65,205,saab
10,635,70,202,saab
10,635,72,198,saab
5,344,77,187,saab
6,263,63,206,saab
12,694,71,198,saab
8,521,68,199,saab
8,367,61,204,saab
7,349,67,198,saab
10,586,67,200,saab
8,351,70,192,saab
7,426,67,199,saab
9,418,63,204,saab
12,687,68,201,saab
8,308,64,201,saab
8,422,72,195,saab
4,271,85,183,saab
6,197,70,189,saab
9,629,72,196,saab
10,635,70,203,saab
9,583,70,198,saab
9,457,69,198,saab
9,472,65,201,saab
8,458,70,195,saab
11,710,71,199,saab
10,718,73,197,saab
9,459,63,205,saab
11,661,71,197,saab
11,712,72,199,saab
4,268,86,182,saab
12,713,70,200,saab
11,586,61,208,saab
11,545,64,205,saab
6,291,66,204,saab
9,430,61,210,saab
10,698,72,197,saab
11,720,71,200,saab
9,527,67,202,saab
12,700,67,204,saab
11,709,70,197,saab
12,573,62,208,saab
10,697,72,197,saab
8,430,67,199,saab
11,608,68,200,saab
7,297,61,209,saab
9,373,60,209,saab
10,527,65,206,saab
8,349,60,211,saab
5,333,80,185,saab
11,639,67,202,saab
11,667,72,198,saab
6,243,71,192,saab
9,465,66,205,saab
9,480,61,208,saab
7,318,75,188,saab
9,586,70,198,saab
7,381,69,195,saab
11,704,71,197,saab
4,279,74,190,saab
7,452,66,202,saab
11,667,65,206,saab
9,390,66,201,saab
11,637,64,207,saab
8,383,72,191,saab
6,238,82,183,saab
11,676,71,202,saab
10,691,74,197,saab
12,719,71,199,saab
7,355,70,195,saab
7,327,74,191,saab
10,686,74,195,saab
9,508,70,197,saab
5,260,68,195,saab
8,471,70,196,saab
6,385,66,203,saab
10,612,70,199,saab
11,663,68,200,saab
7,298,61,207,saab
6,216,68,195,saab
12,687,72,201,saab
8,334,63,205,saab
10,578,66,205,saab
10,520,64,211,saab
9,552,73,197,saab
7,327,71,193,saab
12,712,71,203,saab
9,526,72,197,saab
8,405,67,197,saab
10,533,68,199,saab
11,703,71,199,saab
12,709,73,205,saab
11,709,70,201,saab
7,331,66,203,saab
7,335,69,194,saab
9,561,65,203,saab
7,314,77,189,saab
12,692,67,206,saab
7,373,68,196,saab
11,669,74,196,saab
11,669,73,198,saab
9,415,62,205,saab
11,696,72,199,saab
6,318,79,185,saab
6,341,65,209,bus
7,321,72,196,bus
5,671,78,189,bus
6,322,82,183,bus
6,333,86,183,bus
6,354,75,192,bus
6,374,71,204,bus
7,309,71,195,bus
8,332,85,183,bus
6,336,75,189,bus
6,531,74,198,bus
6,323,84,183,bus
6,335,71,196,bus
5,362,76,193,bus
7,406,68,205,bus
6,319,85,182,bus
5,434,68,204,bus
8,326,85,182,bus
7,333,81,183,bus
8,320,86,182,bus
6,338,80,186,bus
7,816,82,184,bus
6,349,71,195,bus
6,622,74,193,bus
7,703,81,188,bus
7,430,69,206,bus
8,365,70,200,bus
6,968,85,184,bus
6,320,80,184,bus
5,408,70,200,bus
5,928,85,183,bus
6,299,66,199,bus
6,319,87,182,bus
8,325,74,191,bus
7,558,74,195,bus
7,323,83,184,bus
7,345,66,204,bus
6,1018,85,183,bus
7,904,83,186,bus
6,331,83,183,bus
7,332,68,200,bus
6,870,84,183,bus
8,311,68,203,bus
6,327,75,191,bus
6,325,87,182,bus
7,341,76,187,bus
4,844,85,184,bus
8,332,81,184,bus
7,344,68,206,bus
7,312,69,198,bus
6,484,68,198,bus
7,317,81,185,bus
6,321,87,182,bus
7,833,81,185,bus
7,342,81,186,bus
6,525,73,197,bus
6,857,85,184,bus
5,306,69,193,bus
8,321,86,182,bus
6,485,72,199,bus
6,731,80,186,bus
6,324,85,182,bus
6,766,79,187,bus
5,629,79,191,bus
8,329,80,185,bus
5,320,87,181,bus
6,563,73,197,bus
7,523,72,197,bus
6,401,72,204,bus
52,326,119,185,bus
6,393,66,205,bus
7,323,85,182,bus
7,332,69,201,bus
7,342,72,197,bus
6,987,86,184,bus
6,343,73,190,bus
7,327,72,195,bus
7,341,69,200,bus
5,533,71,198,bus
6,998,83,182,bus
8,333,80,185,bus
6,956,83,184,bus
8,334,79,186,bus
7,347,68,205,bus
8,954,83,184,bus
5,928,82,183,bus
52,325,127,183,bus
4,776,82,186,bus
7,362,67,206,bus
7,327,81,184,bus
7,337,79,187,bus
19,342,76,189,bus
6,318,70,200,bus
8,329,85,183,bus
7,476,70,201,bus
6,385,70,204,bus
5,485,74,198,bus
6,457,72,201,bus
7,320,83,182,bus
22,330,75,191,bus
5,891,84,182,bus
6,336,74,191,bus
7,372,67,206,bus
6,312,73,188,bus
7,326,83,183,bus
6,340,75,188,bus
6,393,69,202,bus
7,331,74,190,bus
7,307,69,199,bus
8,319,77,186,bus
5,399,70,203,bus
6,335,85,183,bus
7,375,70,201,bus
7,330,81,184,bus
6,427,69,203,bus
6,982,85,183,bus
6,579,75,194,bus
7,341,76,189,bus
5,465,71,199,bus
7,336,81,184,bus
4,923,88,182,bus
7,347,80,187,bus
7,350,80,187,bus
6,446,69,201,bus
7,487,72,200,bus
6,450,74,199,bus
7,326,81,184,bus
7,321,85,182,bus
7,325,67,207,bus
7,822,77,187,bus
6,429,69,203,bus
5,625,77,190,bus
7,327,78,188,bus
5,666,76,191,bus
8,332,81,184,bus
6,333,86,183,bus
5,576,79,191,bus
7,333,78,188,bus
7,329,81,182,bus
7,322,72,196,bus
6,680,77,189,bus
6,524,74,195,bus
7,359,77,190,bus
8,323,83,184,bus
5,570,75,195,bus
5,322,80,184,bus
7,362,72,199,bus
7,324,84,183,bus
6,321,71,191,bus
6,957,85,183,bus
6,356,74,194,bus
6,322,67,200,bus
8,325,82,183,bus
7,373,74,195,bus
5,352,72,195,bus
6,373,69,198,bus
7,337,80,188,bus
7,866,80,184,bus
7,337,75,192,bus
7,328,82,185,bus
4,892,85,183,bus
5,419,72,200,bus
7,340,82,185,bus
5,479,72,197,bus
7,340,69,201,bus
7,349,77,189,bus
6,361,66,204,bus
7,339,75,193,bus
6,334,82,184,bus
6,341,69,205,bus
6,636,78,192,bus
6,350,72,200,bus
6,310,65,203,bus
7,330,78,186,bus
6,317,88,182,bus
6,719,77,189,bus
6,347,81,186,bus
7,605,73,194,bus
7,341,73,194,bus
7,323,76,189,bus
5,966,87,181,bus
7,346,65,208,bus
7,312,71,193,bus
5,427,70,202,bus
8,331,77,188,bus
7,520,72,199,bus
6,317,86,182,bus
5,371,71,205,bus
7,422,69,203,bus
7,327,85,182,bus
8,344,78,188,bus
6,326,69,201,bus
7,328,88,182,bus
7,463,70,202,bus
4,682,78,189,bus
6,414,71,202,bus
7,266,66,203,opel
9,428,67,202,opel
6,227,82,184,opel
11,666,73,194,opel
6,259,83,184,opel
11,756,72,198,opel
8,416,74,192,opel
9,519,62,205,opel
10,504,70,197,opel
7,317,76,188,opel
7,322,64,203,opel
10,737,74,196,opel
10,517,66,201,opel
7,406,65,204,opel
11,623,71,196,opel
10,731,73,199,opel
7,284,67,197,opel
10,481,63,204,opel
11,716,71,196,opel
12,706,67,202,opel
11,709,69,197,opel
10,670,74,193,opel
5,192,74,187,opel
8,348,69,197,opel
11,748,74,195,opel
11,670,67,206,opel
8,426,70,198,opel
10,597,68,198,opel
9,589,67,201,opel
4,209,84,184,opel
7,334,62,210,opel
12,644,66,200,opel
11,729,70,201,opel
11,713,73,195,opel
6,396,66,199,opel
9,536,72,195,opel
8,252,76,187,opel
9,574,73,194,opel
10,692,72,198,opel
12,685,68,201,opel
11,701,66,203,opel
9,530,67,200,opel
7,330,80,186,opel
10,711,74,198,opel
6,332,68,193,opel
7,345,72,192,opel
9,567,64,204,opel
9,557,65,202,opel
9,295,77,189,opel
8,396,67,198,opel
11,696,72,199,opel
8,331,67,198,opel
10,633,71,196,opel
13,726,72,198,opel
9,571,68,198,opel
5,259,87,184,opel
8,389,62,211,opel
11,708,73,196,opel
7,286,72,192,opel
11,722,73,198,opel
10,534,71,197,opel
9,562,69,199,opel
8,466,67,200,opel
11,752,72,198,opel
10,526,64,203,opel
7,321,64,203,opel
11,706,73,195,opel
10,682,75,194,opel
6,281,80,186,opel
7,219,64,201,opel
7,417,73,192,opel
7,311,76,193,opel
11,737,73,198,opel
9,543,68,198,opel
10,657,73,194,opel
10,641,70,202,opel
7,314,69,194,opel
10,573,70,197,opel
10,601,69,196,opel
11,673,72,196,opel
5,284,62,210,opel
12,748,71,196,opel
5,259,87,183,opel
6,232,70,190,opel
11,610,65,206,opel
7,251,62,207,opel
8,367,66,198,opel
11,661,67,200,opel
9,430,69,195,opel
6,229,81,184,opel
11,727,69,198,opel
9,600,70,198,opel
6,287,66,202,opel
10,478,64,206,opel
9,261,65,198,opel
5,274,69,190,opel
10,737,75,196,opel
3,191,87,183,opel
11,653,66,201,opel
10,535,71,194,opel
10,513,65,204,opel
12,718,72,195,opel
8,473,67,198,opel
9,494,64,203,opel
6,221,78,185,opel
11,707,72,198,opel
8,331,73,193,opel
13,722,71,196,opel
7,266,74,187,opel
7,469,71,198,opel
11,725,72,196,opel
10,653,73,195,opel
11,684,75,194,opel
9,504,66,200,opel
9,471,67,199,opel
13,741,71,198,opel
11,679,68,201,opel
10,663,66,201,opel
7,371,69,196,opel
11,602,64,202,opel
11,575,65,205,opel
9,388,63,206,opel
9,628,74,193,opel
7,333,63,203,opel
8,322,62,211,opel
7,352,71,191,opel
7,233,70,194,opel
8,259,76,188,opel
5,261,75,188,opel
9,704,72,199,opel
9,455,65,206,opel
10,616,65,203,opel
10,678,74,195,opel
8,296,68,197,opel
10,553,64,202,opel
10,669,74,194,opel
11,697,74,196,opel
8,521,66,198,opel
6,304,64,202,opel
8,546,66,200,opel
8,415,71,198,opel
8,342,75,187,opel
7,350,75,189,opel
6,260,61,209,opel
7,342,68,197,opel
10,631,69,196,opel
10,685,75,193,opel
8,472,71,193,opel
4,340,87,183,opel
11,710,71,197,opel
9,624,74,194,opel
12,728,67,200,opel
11,730,74,201,opel
7,252,64,200,opel
12,717,72,196,opel
11,725,70,200,opel
10,598,73,194,opel
10,624,65,206,opel
7,388,74,191,opel
9,661,72,197,opel
12,595,66,202,opel
9,474,67,200,opel
8,388,72,193,opel
8,367,63,205,opel
9,602,69,202,opel
8,438,67,201,opel
10,706,72,196,opel
6,481,71,194,opel
9,713,74,194,opel
10,683,72,197,opel
10,706,75,195,opel
7,379,65,201,opel
8,611,72,195,opel
8,409,61,208,opel
6,343,64,208,opel
7,338,71,189,opel
7,240,70,191,opel
10,648,72,196,opel
10,683,76,193,opel
10,587,64,204,opel
11,676,66,198,opel
6,290,72,190,opel
10,669,76,195,opel
8,290,64,206,opel
7,462,66,199,opel
8,391,72,192,opel
10,682,71,196,opel
5,247,79,187,opel
8,282,72,191,opel
7,394,63,204,opel
12,757,73,197,opel
