@relation vehicle

@attribute Compactness numeric
@attribute Praxis_rectangular numeric
@attribute Minor_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
104,22,7,206,saab
96,22,6,201,saab
108,25,23,201,saab
104,24,19,207,saab
82,18,7,187,saab
105,24,22,201,saab
90,21,19,199,saab
107,25,25,204,saab
93,20,25,195,saab
94,19,11,198,saab
104,24,1,194,saab
97,21,5,205,saab
97,25,20,200,saab
101,24,6,197,saab
100,23,11,196,saab
108,24,11,199,saab
91,19,15,201,saab
91,19,18,189,saab
84,19,29,191,saab
104,23,10,198,saab
108,25,10,199,saab
86,21,28,199,saab
89,18,38,204,saab
108,23,16,205,saab
93,21,3,202,saab
98,23,33,208,saab
94,20,9,210,saab
87,18,9,186,saab
106,24,24,202,saab
89,20,10,193,saab
91,21,23,198,saab
109,25,14,200,saab
84,18,36,195,saab
100,21,18,210,saab
93,18,20,206,saab
86,19,3,185,saab
88,21,16,199,saab
102,24,26,200,saab
109,23,13,198,saab
105,25,16,200,saab
80,19,20,185,saab
91,19,31,200,saab
109,24,23,201,saab
90,21,2,195,saab
107,24,4,198,saab
105,24,23,199,saab
89,20,5,201,saab
86,18,25,195,saab
96,20,16,197,saab
103,24,24,197,saab
98,23,5,197,saab
108,24,0,197,saab
87,19,33,196,saab
84,17,27,190,saab
111,23,2,205,saab
110,24,16,203,saab
99,22,13,199,saab
109,24,7,199,saab
91,21,10,194,saab
88,18,11,205,saab
110,22,7,203,saab
91,19,22,205,saab
106,24,9,197,saab
98,21,1,201,saab
97,24,24,196,saab
84,19,2,187,saab
101,24,16,199,saab
85,18,9,195,saab
108,24,28,201,saab
88,19,0,183,saab
105,24,15,197,saab
87,18,14,192,saab
95,20,40,208,saab
107,23,22,205,saab
107,24,21,198,saab
100,20,9,207,saab
89,17,13,184,saab
119,24,1,202,saab
93,22,14,204,saab
106,23,4,204,saab
103,22,8,208,saab
115,24,4,197,saab
105,25,13,199,saab
89,19,5,201,saab
101,22,15,202,saab
86,19,8,185,saab
104,24,21,198,saab
92,20,10,195,saab
109,25,28,201,saab
106,25,4,201,saab
90,19,21,204,saab
90,20,31,203,saab
106,24,28,203,saab
110,24,16,198,saab
108,23,3,200,saab
95,22,2,196,saab
94,21,28,204,saab
79,19,2,183,saab
93,20,7,197,saab
89,21,18,196,saab
97,20,12,206,saab
93,19,0,194,saab
112,24,22,202,saab
88,18,20,188,saab
100,21,9,205,saab
109,24,31,202,saab
90,17,26,202,saab
104,24,11,195,saab
101,21,22,210,saab
82,18,24,185,saab
95,20,4,198,saab
87,19,2,185,saab
88,18,16,184,saab
97,22,11,197,saab
98,21,8,208,saab
104,24,10,199,saab
89,19,21,193,saab
105,22,4,205,saab
85,17,20,189,saab
105,23,5,200,saab
104,24,20,197,saab
90,18,3,207,saab
115,23,1,208,saab
83,18,6,183,saab
85,19,16,187,saab
85,19,22,186,saab
95,22,28,200,saab
88,19,0,193,saab
91,20,24,199,saab
91,19,7,191,saab
100,24,22,198,saab
108,23,16,198,saab
97,22,41,206,saab
94,20,2,199,saab
90,21,15,195,saab
102,23,25,204,saab
113,23,29,204,saab
109,24,32,202,saab
89,20,2,201,saab
107,25,11,196,saab
93,20,17,204,saab
91,20,10,208,saab
96,21,29,200,saab
106,24,21,197,saab
93,22,1,196,saab
93,18,7,204,saab
111,24,9,200,saab
86,18,2,191,saab
104,25,30,203,saab
101,22,10,201,saab
90,20,18,209,saab
92,20,21,196,saab
115,25,11,199,saab
87,19,12,182,bus
88,19,9,189,bus
80,19,15,184,bus
96,20,8,200,bus
87,19,12,193,bus
94,19,1,206,bus
83,19,12,195,bus
82,19,1,185,bus
82,19,17,188,bus
87,19,3,182,bus
82,19,11,189,bus
86,19,11,184,bus
81,19,2,185,bus
96,22,6,196,bus
93,21,10,202,bus
87,19,9,188,bus
94,21,2,199,bus
97,21,7,200,bus
86,19,3,194,bus
99,22,8,195,bus
106,27,1,182,bus
107,26,11,187,bus
108,28,2,181,bus
94,19,8,206,bus
102,25,7,186,bus
92,19,4,202,bus
110,27,6,183,bus
98,21,17,201,bus
94,22,13,198,bus
98,20,9,203,bus
80,19,14,184,bus
96,21,4,198,bus
87,19,0,190,bus
96,19,17,205,bus
86,19,7,182,bus
81,19,14,187,bus
79,19,10,189,bus
86,19,4,183,bus
98,22,26,197,bus
85,19,9,183,bus
85,19,4,184,bus
82,19,2,185,bus
95,19,4,200,bus
82,19,17,195,bus
83,19,0,191,bus
89,19,10,196,bus
86,19,8,191,bus
90,19,0,204,bus
86,19,16,183,bus
85,19,14,184,bus
89,19,0,195,bus
91,19,8,199,bus
101,19,11,209,bus
110,27,10,183,bus
107,26,1,184,bus
101,28,26,184,bus
99,23,11,191,bus
87,19,13,195,bus
108,26,13,185,bus
94,19,2,206,bus
86,19,7,182,bus
97,20,6,199,bus
82,19,11,186,bus
85,19,4,182,bus
84,19,12,190,bus
92,20,14,202,bus
81,19,13,183,bus
94,19,5,198,bus
100,23,11,194,bus
99,24,11,189,bus
79,19,8,188,bus
102,25,14,187,bus
82,19,17,185,bus
98,21,11,199,bus
83,19,2,188,bus
85,19,14,182,bus
91,19,0,207,bus
98,20,17,203,bus
109,26,9,184,bus
81,19,0,189,bus
85,19,1,183,bus
86,19,8,182,bus
88,19,4,193,bus
98,22,7,195,bus
92,19,6,201,bus
80,19,8,183,bus
98,20,3,202,bus
85,19,5,182,bus
78,19,12,186,bus
99,20,22,202,bus
110,28,13,182,bus
106,27,11,182,bus
100,20,6,205,bus
85,19,7,182,bus
81,19,14,184,bus
94,19,14,204,bus
92,19,14,200,bus
89,19,1,198,bus
85,19,5,186,bus
83,18,6,193,bus
86,19,13,183,bus
82,19,1,184,bus
104,24,23,189,bus
96,24,28,189,bus
86,19,1,196,bus
82,19,4,182,bus
80,19,16,185,bus
98,22,6,195,bus
81,19,14,186,bus
84,19,11,183,bus
85,19,10,184,bus
88,18,8,203,bus
94,19,5,200,bus
101,26,14,185,bus
82,19,16,187,bus
106,26,17,184,bus
82,19,0,184,bus
86,19,3,182,bus
86,19,8,182,bus
81,19,18,184,bus
86,19,1,183,bus
102,22,7,193,bus
87,19,14,182,bus
94,18,8,203,bus
93,21,19,201,bus
105,24,25,188,bus
87,19,1,201,bus
86,19,6,188,bus
81,19,5,183,bus
109,26,11,183,bus
85,19,6,182,bus
107,28,20,184,bus
80,19,16,187,bus
86,19,14,185,bus
90,19,18,197,bus
97,23,0,191,bus
85,19,4,184,bus
97,19,1,204,bus
100,24,7,189,bus
84,19,3,188,bus
100,21,13,199,bus
105,25,12,184,bus
104,24,4,191,bus
100,20,19,204,bus
90,20,14,205,bus
103,26,23,184,bus
100,23,7,193,bus
88,20,11,197,bus
102,26,22,184,bus
87,19,8,194,bus
85,19,16,191,bus
85,19,11,183,bus
95,20,19,206,bus
85,19,4,182,bus
86,19,9,182,bus
91,19,1,201,bus
99,23,26,190,bus
89,19,5,182,bus
95,19,19,204,bus
109,25,19,186,bus
85,19,14,185,bus
83,19,1,191,bus
96,19,7,206,bus
88,19,11,195,bus
96,20,3,200,bus
88,19,13,201,bus
111,29,8,183,bus
91,20,23,204,bus
94,22,22,197,bus
81,19,10,185,bus
98,19,22,205,bus
83,19,3,191,bus
81,19,15,186,bus
88,19,20,200,bus
91,20,12,201,bus
113,28,21,183,bus
99,21,10,199,bus
86,19,9,192,bus
97,20,7,203,bus
87,19,21,200,bus
100,21,19,197,bus
114,28,21,184,bus
102,22,27,191,bus
84,19,3,192,bus
81,19,7,182,bus
89,19,6,189,bus
96,20,10,203,bus
89,19,12,195,bus
107,28,9,183,bus
84,19,1,187,bus
84,19,12,184,bus
95,21,4,198,bus
85,19,2,181,bus
86,19,6,196,bus
89,18,11,199,bus
93,19,22,205,bus
89,20,11,199,opel
92,20,29,206,opel
87,19,14,189,opel
99,23,33,205,opel
85,18,30,194,opel
105,24,19,199,opel
106,24,24,198,opel
97,22,14,197,opel
102,25,6,198,opel
73,18,15,184,opel
103,24,16,196,opel
88,18,35,202,opel
97,20,28,211,opel
96,24,23,194,opel
100,25,28,199,opel
95,24,4,193,opel
84,18,20,191,opel
96,23,20,201,opel
98,25,14,195,opel
100,25,17,197,opel
103,24,12,200,opel
85,19,21,197,opel
87,20,25,205,opel
85,19,3,183,opel
103,23,22,202,opel
79,19,30,193,opel
101,25,10,198,opel
94,20,15,195,opel
100,25,19,198,opel
77,19,20,187,opel
101,25,11,197,opel
92,20,10,198,opel
101,23,11,196,opel
104,25,16,195,opel
97,25,25,198,opel
104,23,5,204,opel
104,25,3,196,opel
88,18,1,200,opel
90,18,1,197,opel
105,25,5,194,opel
92,20,11,208,opel
86,19,13,191,opel
102,24,31,198,opel
94,21,23,209,opel
98,23,7,196,opel
105,23,20,198,opel
101,24,3,192,opel
88,18,29,210,opel
92,19,10,211,opel
99,24,2,194,opel
91,19,1,203,opel
103,24,2,195,opel
91,20,28,198,opel
86,20,33,202,opel
91,21,24,200,opel
95,23,9,193,opel
80,18,5,186,opel
107,22,20,203,opel
103,22,5,204,opel
90,19,20,198,opel
88,19,18,197,opel
90,21,14,193,opel
98,25,30,198,opel
102,23,19,203,opel
80,18,21,191,opel
89,19,22,205,opel
92,22,5,195,opel
91,23,8,194,opel
93,19,30,210,opel
97,22,32,200,opel
107,24,5,198,opel
85,19,16,193,opel
92,21,23,200,opel
86,18,4,187,opel
99,23,7,198,opel
97,24,4,193,opel
101,22,5,198,opel
103,25,29,201,opel
76,18,21,184,opel
102,24,16,196,opel
89,19,9,194,opel
84,18,4,188,opel
103,25,32,198,opel
93,18,29,207,opel
89,19,14,193,opel
97,23,7,202,opel
91,21,5,198,opel
96,21,0,201,opel
98,20,10,196,opel
101,24,11,194,opel
91,19,2,198,opel
104,24,21,196,opel
103,24,22,196,opel
93,19,33,198,opel
86,18,21,190,opel
104,25,11,196,opel
91,22,1,199,opel
104,25,12,195,opel
104,23,18,196,opel
105,22,9,202,opel
89,20,15,193,opel
89,19,26,198,opel
90,20,22,191,opel
108,24,4,197,opel
98,25,1,196,opel
88,19,12,208,opel
99,25,3,196,opel
99,25,7,198,opel
84,18,7,190,opel
100,22,5,205,opel
99,22,11,201,opel
87,21,7,199,opel
92,19,18,203,opel
101,24,24,201,opel
89,18,6,209,opel
105,24,20,203,opel
104,25,28,198,opel
102,22,12,204,opel
92,18,21,206,opel
81,18,6,184,opel
106,24,39,206,opel
103,21,30,206,opel
84,21,38,198,opel
103,23,15,196,opel
96,23,2,194,opel
101,24,5,193,opel
80,18,23,188,opel
89,18,36,203,opel
95,23,38,202,opel
97,24,24,194,opel
96,23,6,194,opel
106,21,15,209,opel
99,25,25,200,opel
106,25,13,196,opel
86,18,27,187,opel
107,23,2,206,opel
100,23,21,196,opel
95,20,18,204,opel
97,20,2,198,opel
88,20,9,198,opel
87,22,21,194,opel
89,18,1,192,opel
102,24,27,195,opel
80,18,5,184,opel
104,24,22,202,opel
100,25,19,198,opel
97,20,0,192,opel
103,24,11,194,opel
93,18,13,202,opel
109,23,21,201,opel
89,21,6,194,opel
85,17,8,201,opel
95,21,0,206,opel
98,24,6,197,opel
94,20,6,204,opel
79,19,21,189,opel
95,22,27,197,opel
101,25,35,201,opel
106,25,24,197,opel
93,19,2,197,opel
96,24,6,193,opel
100,23,5,195,opel
97,21,11,203,opel
82,18,0,183,opel
101,24,23,195,opel
83,18,6,190,opel
103,25,18,200,opel
106,23,17,201,opel
89,19,5,188,opel
101,24,26,195,opel
88,20,22,192,opel
85,18,24,198,opel
104,22,8,200,opel
80,17,7,183,opel
87,19,2,196,opel
82,19,9,187,opel
107,24,1,201,opel
86,20,23,190,opel
109,23,32,206,opel
84,19,1,186,opel
97,21,3,204,opel
78,17,12,184,opel
101,24,38,202,opel
109,22,3,202,opel
93,20,4,192,opel
102,25,17,196,opel
106,24,29,201,opel
94,20,15,198,opel
98,24,26,195,opel
100,24,18,199,opel
95,22,0,198,opel
