@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
94,64,173,142,169,bus
86,65,113,141,169,bus
82,73,158,145,181,bus
105,80,207,159,214,bus
86,66,130,142,177,bus
94,79,203,154,196,bus
109,102,169,165,265,bus
90,63,126,142,173,bus
92,74,187,143,179,bus
85,66,120,145,173,bus
91,84,209,138,189,bus
86,68,152,142,179,bus
99,92,203,159,232,bus
84,65,128,148,169,bus
109,96,191,170,267,bus
97,73,173,143,176,bus
86,69,123,144,174,bus
85,66,120,143,169,bus
86,71,170,146,172,bus
99,74,184,131,193,bus
96,70,194,148,183,bus
87,65,124,144,170,bus
82,72,136,143,173,bus
90,71,169,138,175,bus
86,65,129,150,168,bus
96,77,204,150,188,bus
100,95,209,150,216,bus
109,95,189,158,262,bus
95,71,159,141,169,bus
99,79,199,153,202,bus
82,72,150,144,181,bus
100,70,185,153,179,bus
83,68,144,143,170,bus
87,65,127,143,169,bus
83,73,137,146,167,bus
92,75,184,131,184,bus
93,79,180,158,189,bus
85,65,128,145,170,bus
106,100,227,162,280,bus
94,84,216,145,208,bus
105,93,160,165,240,bus
81,69,146,147,171,bus
84,76,180,143,180,bus
84,76,156,143,179,bus
86,65,125,140,171,bus
85,70,205,144,241,bus
93,86,201,145,203,bus
85,69,141,145,178,bus
97,76,203,157,194,bus
95,83,198,139,189,bus
91,81,193,137,184,bus
101,108,184,172,220,opel
88,88,194,133,199,opel
95,104,214,151,227,opel
99,109,220,176,234,opel
96,104,222,163,217,opel
102,98,225,164,228,opel
93,66,140,120,151,opel
102,96,197,142,202,opel
83,69,127,131,155,opel
102,108,193,162,219,opel
93,73,164,146,182,opel
101,100,204,178,231,opel
106,96,201,158,197,opel
96,103,201,166,227,opel
97,108,211,156,232,opel
97,103,197,172,219,opel
86,66,128,127,148,opel
105,100,195,150,207,opel
99,104,177,166,219,opel
101,103,203,162,210,opel
92,93,204,161,214,opel
78,51,116,124,135,opel
79,80,133,135,172,opel
106,98,224,170,222,opel
97,78,181,131,182,opel
88,79,183,138,200,opel
90,78,179,126,182,opel
97,96,170,173,219,opel
103,98,212,161,214,opel
94,84,158,130,196,opel
93,72,172,124,169,opel
88,78,160,123,161,opel
94,79,181,148,190,opel
101,100,168,175,219,opel
92,91,191,137,196,opel
92,69,153,138,165,opel
89,83,195,156,207,opel
85,80,158,126,179,opel
105,107,207,167,221,opel
92,75,172,142,174,opel
101,100,215,169,227,opel
85,72,130,132,145,opel
86,89,176,132,190,opel
91,76,172,134,196,opel
104,110,172,166,235,opel
89,69,142,126,154,opel
102,98,177,171,219,opel
77,63,135,130,145,opel
106,96,196,173,225,opel
98,76,166,148,184,opel
80,57,116,125,142,opel
84,90,180,131,209,opel
98,108,168,178,231,opel
84,71,131,134,167,opel
88,50,121,122,132,opel
96,104,175,175,221,opel
103,100,194,175,217,opel
82,73,141,133,173,opel
105,105,213,163,214,opel
91,75,154,146,170,opel
103,103,211,165,229,opel
103,100,185,173,219,opel
108,105,230,171,228,opel
109,103,186,156,212,opel
103,83,194,142,199,opel
80,60,122,131,151,opel
87,86,190,153,197,opel
95,96,197,141,199,opel
88,69,152,122,158,opel
89,80,191,143,189,opel
85,66,121,133,170,opel
84,74,138,127,160,opel
98,101,219,178,231,opel
106,98,203,167,228,opel
107,105,202,179,234,opel
109,100,197,161,210,opel
98,104,186,172,223,opel
86,84,149,133,185,opel
90,78,145,138,161,opel
97,94,198,155,200,opel
103,105,221,173,226,opel
105,98,209,173,225,opel
106,98,192,166,228,opel
89,69,147,137,155,opel
91,101,199,146,219,opel
101,101,183,177,225,opel
104,103,222,177,223,opel
103,101,204,158,215,opel
91,98,196,161,216,opel
92,79,176,149,183,opel
86,77,155,141,174,opel
79,72,127,135,165,opel
89,82,136,144,170,opel
108,103,197,160,222,opel
87,77,153,145,181,opel
99,100,177,188,223,opel
97,81,183,150,193,opel
87,82,164,144,181,opel
94,74,169,133,178,opel
86,75,146,135,158,opel
97,108,227,186,225,opel
101,107,200,178,228,opel
102,101,190,171,224,opel
100,107,207,180,234,opel
95,80,186,145,188,opel
87,85,177,129,186,opel
89,72,141,126,163,opel
104,96,188,161,206,opel
106,107,194,161,224,opel
100,96,206,156,202,opel
104,103,216,176,228,opel
107,101,218,164,219,opel
100,109,230,182,234,opel
100,109,231,163,238,opel
85,78,149,128,168,opel
102,100,163,173,219,opel
85,63,130,130,137,opel
91,86,195,156,203,opel
97,105,212,155,212,opel
105,96,185,170,231,opel
89,75,140,139,170,opel
91,66,159,131,169,opel
93,88,188,141,208,opel
100,109,225,165,241,opel
99,88,204,159,209,opel
104,91,209,170,223,opel
100,93,193,147,202,opel
98,101,208,182,225,opel
99,100,199,166,222,opel
76,58,125,127,152,opel
102,98,167,174,228,opel
93,78,166,141,182,opel
99,105,209,152,212,opel
97,76,169,131,189,opel
99,101,219,178,228,opel
106,107,211,161,218,opel
104,105,216,169,221,opel
107,103,221,163,222,opel
95,104,228,175,224,opel
98,101,195,152,227,opel
105,96,181,175,231,opel
92,69,158,143,170,opel
101,107,222,154,232,opel
97,94,209,147,224,opel
78,60,116,124,141,opel
111,103,171,172,227,opel
95,96,202,143,217,opel
82,53,125,128,152,opel
100,104,163,164,217,opel
91,93,197,137,202,opel
99,101,206,180,225,opel
85,72,127,125,144,opel
104,109,230,174,230,opel
98,101,228,168,236,opel
103,96,232,153,226,opel
104,103,230,176,231,opel
100,109,224,162,238,opel
103,107,179,159,214,opel
88,77,156,129,184,opel
95,92,193,154,200,opel
95,96,196,161,208,opel
101,105,162,163,226,opel
88,69,146,134,147,opel
104,96,231,172,223,opel
85,77,151,134,176,opel
107,103,186,162,217,opel
81,53,123,128,147,opel
80,42,110,119,131,opel
80,64,130,126,152,opel
103,107,189,174,225,opel
82,86,140,134,174,opel
107,92,197,148,202,opel
89,75,143,137,170,opel
94,89,194,135,191,opel
89,78,153,127,166,opel
92,74,178,135,181,opel
77,75,144,132,167,opel
93,83,165,147,197,opel
96,103,215,147,220,opel
103,107,218,174,221,opel
73,53,111,128,135,opel
95,105,219,148,223,opel
97,92,197,140,197,opel
100,101,189,177,225,opel
80,69,127,124,147,opel
104,105,223,177,237,opel
88,77,167,145,175,opel
109,107,215,158,222,opel
103,105,183,173,217,opel
93,78,162,125,172,opel
101,105,212,162,222,opel
