@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
87,60,57,52,1,186,saab
87,66,58,46,19,181,saab
89,82,59,43,1,187,saab
112,104,58,32,15,191,saab
86,62,62,45,2,180,saab
87,71,53,49,0,181,saab
101,101,62,35,14,193,saab
109,109,59,32,13,191,saab
91,98,64,38,9,195,saab
107,103,56,31,2,188,saab
110,102,64,31,17,188,saab
105,108,62,30,12,189,saab
101,85,60,38,5,197,saab
106,101,64,33,2,192,saab
101,112,59,32,0,190,saab
96,74,68,42,3,190,saab
98,78,65,39,9,192,saab
91,83,59,39,0,192,saab
108,103,64,30,11,188,saab
101,101,72,31,2,187,saab
93,98,63,36,10,189,saab
86,64,61,45,5,182,saab
97,95,66,35,15,190,saab
106,98,60,31,8,188,saab
88,58,60,46,12,180,saab
107,98,65,31,1,187,saab
100,104,59,32,1,187,saab
85,75,54,46,7,183,saab
84,53,57,59,10,183,saab
89,85,64,39,16,195,saab
107,108,64,32,21,194,saab
108,100,63,34,7,194,saab
101,105,61,34,7,192,saab
106,101,67,30,3,187,saab
96,78,58,38,3,191,saab
89,52,57,55,5,181,saab
89,77,64,41,4,194,saab
106,108,64,31,22,190,saab
105,106,68,32,14,189,saab
115,100,62,31,14,188,saab
94,69,59,43,12,193,saab
89,77,62,45,6,188,saab
97,105,71,30,3,186,saab
89,69,63,48,1,193,saab
93,87,64,40,7,188,saab
79,55,55,48,4,180,saab
104,108,59,31,15,190,saab
93,76,63,40,4,192,saab
97,88,59,38,1,196,saab
86,77,60,45,0,196,saab
113,93,62,31,6,188,saab
83,54,57,53,6,179,saab
92,76,57,41,8,190,saab
105,105,57,31,0,186,saab
104,108,64,31,14,189,saab
99,104,63,33,8,188,saab
105,108,70,31,4,189,saab
93,90,69,36,6,189,saab
111,108,61,32,21,196,saab
96,100,58,37,5,192,saab
106,98,54,31,1,187,saab
90,85,59,41,7,186,saab
100,81,61,40,13,198,saab
105,105,60,35,18,196,saab
109,103,66,31,1,188,saab
89,80,59,41,5,192,saab
93,76,57,44,14,189,saab
91,72,55,46,9,184,saab
106,107,61,32,5,190,saab
119,106,65,31,20,192,saab
91,72,60,44,2,196,saab
109,103,63,30,6,187,saab
86,63,56,50,9,187,saab
84,77,59,44,8,183,saab
89,83,61,40,7,187,saab
104,106,66,32,14,188,saab
110,100,61,34,11,194,saab
103,105,56,32,8,187,saab
99,89,63,35,6,191,saab
91,79,59,40,0,199,saab
96,101,66,34,3,189,saab
104,105,54,32,9,187,saab
113,98,62,33,17,193,saab
90,66,59,47,1,201,saab
88,82,56,43,3,188,saab
115,100,60,34,22,198,saab
117,110,65,31,21,194,saab
85,40,57,61,12,181,saab
95,95,65,34,3,188,saab
109,109,69,31,13,188,saab
108,109,55,31,10,189,saab
104,100,66,31,1,185,saab
98,90,63,37,10,193,saab
104,108,61,31,0,188,saab
89,77,54,46,13,194,saab
98,81,64,40,8,197,saab
86,86,60,39,1,191,saab
86,66,59,49,6,186,saab
98,101,65,33,2,189,saab
93,63,58,52,9,198,saab
99,105,66,32,0,191,saab
82,59,63,51,11,179,saab
78,63,51,47,2,181,saab
103,106,55,32,16,187,saab
103,106,66,33,9,191,saab
111,103,60,31,9,190,saab
93,98,62,36,4,195,saab
108,103,73,30,8,187,saab
107,98,66,31,14,188,saab
91,77,56,42,8,195,saab
112,110,56,31,18,191,saab
104,100,61,31,5,185,saab
88,57,62,50,16,180,saab
93,81,64,41,11,192,saab
97,104,71,32,1,186,saab
85,72,59,50,3,191,saab
90,80,58,42,3,201,saab
90,85,64,41,9,195,saab
100,102,65,33,4,187,saab
92,83,56,41,10,186,saab
80,63,55,46,9,180,saab
98,109,59,34,1,194,saab
91,72,56,45,13,186,saab
90,72,59,42,15,203,saab
85,50,53,59,1,179,saab
90,66,55,54,5,196,saab
93,86,59,39,6,197,saab
97,96,63,36,4,191,saab
104,96,65,35,3,195,saab
92,78,57,43,4,203,saab
109,104,60,31,11,189,saab
108,105,62,33,12,190,saab
109,103,63,30,6,188,saab
82,54,53,54,1,180,saab
102,101,67,30,2,187,saab
94,88,60,39,2,195,saab
100,92,62,36,6,195,saab
102,104,67,32,3,188,saab
89,54,53,50,16,184,saab
103,100,60,35,13,198,saab
107,96,62,31,2,187,saab
90,89,62,38,11,189,saab
92,86,60,42,9,190,saab
107,103,68,30,10,187,saab
86,78,58,50,0,190,saab
105,108,63,31,15,189,saab
105,100,69,30,0,187,saab
109,109,68,31,11,189,saab
83,54,61,50,3,180,saab
89,89,58,37,7,189,saab
101,98,60,34,0,192,saab
95,105,64,36,7,198,saab
116,110,67,31,16,192,saab
90,90,61,36,6,191,saab
107,108,63,31,10,190,saab
97,101,59,36,7,194,saab
97,76,60,42,16,198,saab
104,101,64,31,14,187,saab
110,104,66,32,5,190,saab
88,90,60,38,13,192,saab
84,75,55,48,4,189,saab
90,57,57,56,22,190,saab
86,66,56,49,5,183,saab
88,63,58,54,14,184,saab
108,103,65,32,9,189,saab
91,83,60,41,5,186,saab
105,100,61,33,8,192,saab
85,75,56,44,7,182,saab
96,69,56,47,11,202,saab
104,101,63,32,13,188,saab
107,108,68,31,13,190,saab
98,90,61,37,3,199,saab
89,80,62,46,17,185,saab
84,83,54,45,6,185,saab
91,75,53,47,1,186,saab
110,104,57,31,18,191,saab
100,88,60,38,15,201,saab
95,81,59,39,4,191,saab
98,104,67,32,5,187,saab
82,51,53,50,15,181,saab
92,71,66,43,4,189,saab
108,109,61,31,16,190,saab
102,105,64,33,0,192,saab
94,77,60,42,12,193,saab
91,88,63,38,0,191,saab
101,108,69,31,2,188,saab
102,106,68,32,0,189,saab
104,107,68,31,3,188,saab
83,71,64,45,2,184,bus
88,74,68,43,5,189,bus
93,73,68,43,1,196,bus
98,77,61,37,4,199,bus
99,88,62,32,8,191,bus
103,103,52,28,3,183,bus
106,105,48,27,12,181,bus
92,75,71,40,1,195,bus
86,70,64,45,10,181,bus
87,76,65,42,6,189,bus
94,72,69,41,5,193,bus
82,66,126,45,1,181,bus
99,74,66,39,2,200,bus
101,106,57,28,6,185,bus
85,66,54,46,0,179,bus
92,75,70,42,0,198,bus
97,70,66,43,0,201,bus
81,68,64,45,1,182,bus
100,81,67,34,6,197,bus
80,71,60,45,6,180,bus
79,72,62,44,0,182,bus
101,104,53,26,5,180,bus
86,70,65,45,6,183,bus
99,77,69,36,4,198,bus
85,66,57,45,4,180,bus
98,84,74,34,4,195,bus
100,89,65,32,6,193,bus
84,76,64,44,0,187,bus
83,71,70,44,3,181,bus
82,70,64,45,5,187,bus
109,102,51,27,10,184,bus
100,75,71,36,7,197,bus
95,73,73,41,2,199,bus
87,60,51,46,2,178,bus
88,73,68,44,2,196,bus
94,68,67,46,10,198,bus
104,89,54,31,1,190,bus
96,74,74,39,7,196,bus
87,76,67,45,7,188,bus
85,69,62,44,1,181,bus
81,68,69,45,1,180,bus
81,72,60,44,1,182,bus
82,68,69,45,5,181,bus
81,63,55,46,7,179,bus
80,68,59,45,7,180,bus
82,63,54,45,3,179,bus
96,68,70,41,5,202,bus
81,68,73,44,7,183,bus
81,68,57,46,6,179,bus
86,70,56,45,9,180,bus
98,77,71,39,13,200,bus
108,102,75,28,9,186,bus
110,103,64,26,4,184,bus
86,75,68,43,7,188,bus
93,79,65,37,5,197,bus
87,65,56,46,4,179,bus
85,66,53,46,10,180,bus
109,96,57,28,8,184,bus
106,103,47,27,4,181,bus
96,82,55,34,0,195,bus
96,98,59,31,8,188,bus
86,65,56,45,4,178,bus
105,80,71,33,6,194,bus
101,91,65,32,5,192,bus
98,84,72,35,9,196,bus
102,92,60,30,7,188,bus
85,66,56,46,6,179,bus
106,107,67,26,9,180,bus
85,66,65,45,6,184,bus
81,68,62,46,1,180,bus
86,66,57,46,0,179,bus
85,66,54,46,6,180,bus
100,70,70,40,9,200,bus
102,101,72,28,7,184,bus
78,70,65,46,1,181,bus
86,71,66,45,5,189,bus
85,64,56,46,9,180,bus
102,85,64,33,6,195,bus
96,77,64,36,0,196,bus
85,66,55,45,4,180,bus
107,98,59,27,3,186,bus
114,102,52,26,2,182,bus
82,68,64,46,0,181,bus
82,72,61,46,6,181,bus
86,73,63,44,6,189,bus
90,71,68,44,3,192,bus
86,64,54,46,1,179,bus
85,66,58,45,8,180,bus
85,59,58,46,8,179,bus
87,65,56,46,6,180,bus
80,68,53,46,7,179,bus
86,71,70,45,10,187,bus
96,77,72,38,6,199,bus
95,83,69,36,6,196,bus
91,81,69,38,3,198,bus
93,84,71,36,7,198,bus
110,109,57,27,11,183,bus
107,102,55,28,7,187,bus
98,70,68,39,3,200,bus
100,95,68,32,7,192,bus
88,70,61,46,7,196,bus
87,70,72,44,6,184,bus
86,65,54,45,2,180,bus
99,91,74,32,4,192,bus
85,70,103,45,9,180,bus
81,68,53,45,4,179,bus
85,64,55,46,1,179,bus
82,72,64,44,0,183,bus
83,70,65,46,4,188,bus
84,65,55,46,1,179,bus
81,68,60,45,3,179,bus
83,73,59,45,8,185,bus
98,70,68,41,3,202,bus
90,79,69,40,2,198,bus
89,68,50,45,6,179,bus
86,65,53,45,5,179,bus
89,72,63,45,4,192,bus
109,95,58,29,0,187,bus
97,76,73,36,0,197,bus
86,68,62,44,4,188,bus
94,64,69,43,9,199,bus
80,68,54,45,4,179,bus
86,70,56,46,6,179,bus
82,73,65,44,5,185,bus
100,80,70,35,3,198,bus
97,88,60,33,8,192,bus
90,75,64,43,0,195,bus
89,75,66,43,2,188,bus
107,106,51,26,2,181,bus
86,73,57,45,9,180,bus
100,73,73,40,6,200,bus
86,69,54,46,3,180,bus
84,76,75,43,5,185,bus
94,84,74,35,4,196,bus
89,76,76,44,3,193,bus
98,86,69,33,4,194,bus
94,73,71,42,2,197,bus
92,76,71,43,6,195,bus
83,70,69,46,7,188,bus
95,73,70,38,9,200,bus
94,75,72,42,4,192,bus
96,74,74,39,1,196,bus
108,106,51,26,11,182,bus
87,70,59,45,6,185,bus
89,72,66,46,11,191,bus
89,70,64,47,9,193,bus
110,106,51,26,9,181,bus
89,76,73,42,8,191,bus
99,79,68,35,5,195,bus
102,83,65,33,0,193,bus
85,65,56,45,1,179,bus
97,72,71,40,7,196,bus
88,78,73,41,1,193,bus
79,74,61,43,6,183,bus
84,75,64,43,0,185,bus
91,76,67,44,4,192,bus
87,73,64,44,3,190,bus
98,88,63,34,2,194,bus
87,74,66,45,3,195,bus
99,92,65,31,5,191,bus
92,74,74,41,8,195,bus
97,75,68,37,2,197,bus
91,76,69,44,12,195,bus
80,71,56,45,3,181,bus
94,70,72,42,7,199,bus
107,103,49,27,5,179,bus
87,70,61,46,1,192,bus
96,74,70,43,0,201,bus
81,69,64,44,5,183,bus
106,98,47,28,4,185,bus
84,68,64,46,5,183,bus
80,68,53,45,4,180,bus
105,93,54,30,4,186,bus
87,71,66,44,2,186,bus
87,70,75,45,6,194,bus
82,72,52,44,2,180,bus
84,70,54,45,1,181,bus
85,70,58,45,2,181,bus
83,66,67,45,4,182,bus
113,109,56,26,11,182,bus
82,73,68,44,2,183,bus
86,65,50,45,4,179,bus
85,66,54,46,8,179,bus
104,94,66,31,11,193,bus
93,86,69,35,0,194,bus
84,66,65,46,2,184,bus
107,106,50,26,5,181,bus
105,93,51,30,9,188,bus
83,68,59,44,5,185,bus
101,62,67,43,7,202,bus
86,66,56,44,6,181,bus
90,63,55,45,0,180,bus
111,105,51,26,4,181,bus
85,66,53,45,5,180,bus
91,66,66,44,4,201,bus
81,71,61,44,1,182,bus
104,110,53,30,10,188,opel
89,81,57,41,9,187,opel
80,69,56,53,2,183,opel
104,101,62,33,2,195,opel
97,92,63,37,4,197,opel
86,77,60,44,9,187,opel
79,80,55,47,8,181,opel
88,77,56,41,1,192,opel
102,96,63,36,8,195,opel
97,76,60,41,0,188,opel
88,79,62,38,0,189,opel
101,105,68,32,5,186,opel
85,77,59,45,0,184,opel
82,86,54,45,11,183,opel
89,77,62,42,5,198,opel
98,101,69,30,6,187,opel
100,109,70,30,11,189,opel
92,79,64,41,2,191,opel
85,72,53,51,1,188,opel
98,76,60,42,13,190,opel
92,74,62,41,7,197,opel
85,72,56,54,3,184,opel
102,101,58,30,13,189,opel
103,107,56,30,0,187,opel
101,100,55,31,2,185,opel
100,109,70,30,0,187,opel
76,58,58,51,0,177,opel
95,92,62,37,2,198,opel
106,98,63,30,10,188,opel
73,53,54,55,1,176,opel
103,96,71,32,2,188,opel
103,91,57,31,1,186,opel
92,69,58,48,10,199,opel
94,79,62,40,12,191,opel
98,101,61,31,5,189,opel
90,86,62,41,1,185,opel
88,88,69,40,3,186,opel
93,88,62,36,3,189,opel
97,94,67,34,0,188,opel
103,101,62,33,8,192,opel
97,78,62,41,2,203,opel
91,98,62,34,3,190,opel
103,100,62,31,10,187,opel
100,100,65,32,5,189,opel
106,96,61,36,19,202,opel
98,101,70,31,1,188,opel
95,80,62,40,11,199,opel
101,100,69,32,6,186,opel
95,96,63,35,13,191,opel
102,101,64,33,0,193,opel
101,103,63,34,5,191,opel
111,103,50,30,15,190,opel
106,107,57,31,0,192,opel
97,108,65,31,7,188,opel
90,78,64,42,1,192,opel
101,100,62,30,0,186,opel
102,98,71,31,0,187,opel
98,108,53,30,8,187,opel
89,75,55,46,15,191,opel
81,53,58,51,10,177,opel
97,103,63,31,5,185,opel
83,69,54,49,16,187,opel
88,69,59,51,1,193,opel
89,75,56,46,18,184,opel
89,80,66,40,13,194,opel
86,75,62,48,3,183,opel
101,103,67,33,4,189,opel
103,103,65,31,5,188,opel
93,83,60,40,12,187,opel
99,109,66,30,10,188,opel
104,109,67,30,8,191,opel
85,80,59,44,6,191,opel
102,100,53,31,12,187,opel
96,98,54,31,3,185,opel
78,51,56,57,1,177,opel
103,98,63,34,5,198,opel
77,63,59,52,13,183,opel
99,88,64,35,12,194,opel
93,66,59,46,5,197,opel
93,73,59,42,11,195,opel
86,77,54,43,14,186,opel
80,42,57,59,4,179,opel
103,83,63,38,7,197,opel
80,64,59,51,1,179,opel
86,84,57,43,0,183,opel
100,104,52,32,5,188,opel
90,83,61,37,1,187,opel
97,101,66,35,1,191,opel
91,76,61,40,0,189,opel
87,86,64,37,11,192,opel
101,105,53,31,12,186,opel
99,105,64,34,0,194,opel
91,93,65,36,11,193,opel
85,78,55,45,10,197,opel
105,105,67,33,10,190,opel
87,82,60,42,2,190,opel
94,89,62,38,4,201,opel
100,96,63,35,3,197,opel
107,103,57,31,6,189,opel
94,84,55,39,9,190,opel
97,96,54,31,0,184,opel
103,105,69,30,10,187,opel
103,105,59,32,13,188,opel
106,98,58,31,11,188,opel
77,75,59,46,16,181,opel
80,60,56,49,0,179,opel
96,83,59,39,15,195,opel
99,100,62,33,2,189,opel
82,73,57,44,11,181,opel
84,66,62,54,4,185,opel
99,101,68,30,11,187,opel
101,105,59,31,12,186,opel
93,78,59,44,15,193,opel
86,66,57,52,5,183,opel
104,91,67,31,4,187,opel
108,105,68,30,14,190,opel
99,104,55,32,3,187,opel
84,74,57,49,9,183,opel
98,104,59,32,1,186,opel
89,72,56,48,1,187,opel
105,100,61,34,5,194,opel
95,96,65,37,1,193,opel
90,78,55,48,0,192,opel
89,82,54,45,10,188,opel
89,78,61,46,0,187,opel
105,107,60,31,0,191,opel
99,100,54,30,4,185,opel
109,103,57,32,12,192,opel
101,107,61,30,8,187,opel
102,98,56,31,5,186,opel
106,98,68,31,2,189,opel
104,103,69,30,7,187,opel
104,103,69,30,4,186,opel
100,107,63,30,6,186,opel
100,93,62,35,0,193,opel
88,77,59,44,9,202,opel
105,96,57,30,5,187,opel
79,72,53,48,7,181,opel
108,103,60,31,7,190,opel
80,57,55,54,8,178,opel
96,104,58,31,13,186,opel
84,71,55,45,12,180,opel
84,60,56,50,8,185,opel
86,66,55,50,3,180,opel
101,101,57,30,5,186,opel
102,108,57,31,7,191,opel
105,98,64,31,2,188,opel
82,53,59,51,0,177,opel
86,89,59,39,7,193,opel
88,71,56,48,7,188,opel
88,50,58,59,21,182,opel
107,101,64,33,17,197,opel
93,66,56,51,5,201,opel
105,96,56,30,4,187,opel
93,72,62,44,5,203,opel
92,82,58,40,8,200,opel
104,96,74,30,6,186,opel
103,100,59,31,15,186,opel
109,107,62,32,9,195,opel
96,104,67,33,12,192,opel
91,66,59,45,1,197,opel
97,81,64,39,11,192,opel
89,69,58,50,16,203,opel
106,96,60,30,9,186,opel
97,108,70,30,10,186,opel
91,101,65,34,5,186,opel
98,101,65,30,6,185,opel
104,105,70,30,14,188,opel
100,101,57,30,7,188,opel
92,69,56,44,14,198,opel
78,60,56,55,3,178,opel
103,107,54,32,1,191,opel
101,107,68,32,5,190,opel
91,86,63,37,7,192,opel
88,69,57,48,9,204,opel
96,103,65,32,6,186,opel
87,98,70,35,2,187,opel
106,107,62,33,9,194,opel
100,109,68,30,7,188,opel
109,100,59,34,14,196,opel
89,83,65,37,1,189,opel
104,96,59,35,11,193,opel
93,78,60,45,2,191,opel
92,75,60,45,22,206,opel
87,85,61,40,1,198,opel
92,91,62,37,3,192,opel
102,98,53,31,0,187,opel
97,94,63,36,20,199,opel
95,104,74,31,0,186,opel
91,75,57,44,16,193,opel
107,105,61,30,15,189,opel
