@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
36,68,127,52,242,van
48,75,161,43,371,van
39,64,134,52,258,van
49,82,159,43,365,van
44,80,156,44,349,van
40,66,122,54,225,van
37,76,132,51,256,van
39,77,140,47,294,van
40,62,127,52,241,van
43,68,138,48,285,van
42,64,134,49,268,van
47,80,160,43,369,van
38,70,130,53,243,van
46,85,163,42,387,van
47,85,163,42,389,van
39,77,139,48,289,van
43,66,137,48,281,van
39,57,135,51,261,van
49,87,158,43,366,van
45,87,154,44,351,van
46,80,159,43,366,van
47,73,161,42,376,van
40,59,132,52,250,van
34,58,127,52,243,van
36,66,120,56,212,van
48,83,162,42,379,van
45,73,143,46,307,van
39,68,131,52,251,van
39,68,128,53,241,van
46,75,160,43,369,van
41,82,144,46,309,van
42,85,152,44,345,van
47,88,159,43,371,van
37,69,138,48,284,van
35,60,128,52,246,van
42,85,153,44,347,van
47,85,155,43,355,van
41,84,149,45,330,van
44,70,136,49,273,van
35,70,126,53,237,van
48,81,150,44,333,van
39,76,137,48,281,van
41,62,128,52,246,van
39,60,119,55,212,van
46,74,157,44,356,van
41,79,144,46,309,van
48,86,153,44,346,van
42,80,148,44,331,van
47,83,158,43,364,van
37,53,123,55,221,van
46,78,147,45,323,van
40,81,146,46,317,van
46,88,151,44,339,van
39,78,139,48,290,van
42,89,151,44,338,van
38,66,133,52,253,van
36,68,139,47,291,van
46,78,160,43,367,van
37,51,120,56,213,van
43,70,139,49,282,van
35,66,131,50,258,van
40,55,132,53,249,van
38,74,136,49,278,van
43,70,130,51,253,van
39,62,116,57,203,van
44,90,153,44,348,van
45,81,155,44,347,van
37,70,137,49,278,van
47,85,152,44,345,van
47,84,157,44,354,van
42,70,127,53,240,van
40,79,144,46,311,van
43,78,137,48,281,van
46,84,159,43,368,van
45,82,159,43,362,van
46,82,159,43,371,van
40,66,139,50,277,van
45,88,157,43,365,van
48,85,161,43,375,van
41,75,140,49,284,van
36,70,133,50,266,van
39,58,133,52,255,van
34,62,122,54,223,van
46,85,151,44,339,van
36,64,136,49,279,van
39,57,114,58,195,van
36,68,133,50,265,van
46,91,157,43,358,van
36,51,118,57,206,van
38,58,118,57,208,van
48,84,156,44,354,van
41,82,145,46,314,van
42,66,123,54,227,van
37,62,122,55,218,van
42,64,130,51,253,van
43,76,151,44,339,van
36,53,118,57,205,van
47,85,155,43,354,van
44,76,156,44,352,van
43,88,149,45,326,van
45,80,147,45,324,van
37,72,133,50,262,van
45,91,151,45,334,van
53,108,222,31,712,saab
53,110,217,31,692,saab
54,103,222,30,720,saab
40,75,152,44,339,saab
53,100,220,30,710,saab
36,51,135,50,268,saab
50,90,177,37,472,saab
53,108,207,32,636,saab
36,75,140,48,290,saab
51,105,191,35,545,saab
54,100,216,31,686,saab
52,104,215,31,691,saab
38,78,169,39,430,saab
53,108,217,31,694,saab
53,98,216,31,691,saab
55,101,222,30,719,saab
52,108,221,31,709,saab
46,104,197,34,578,saab
38,63,146,46,314,saab
47,81,168,39,425,saab
38,82,153,43,351,saab
47,96,198,33,586,saab
55,107,218,31,703,saab
54,109,214,31,675,saab
53,103,220,30,711,saab
51,103,213,31,673,saab
49,100,185,35,518,saab
50,110,214,31,676,saab
44,95,188,35,526,saab
50,94,187,35,525,saab
50,103,211,31,663,saab
45,82,154,43,357,saab
54,106,207,32,638,saab
45,76,157,42,370,saab
36,78,153,43,349,saab
54,96,218,31,694,saab
48,85,169,39,427,saab
37,63,125,54,230,saab
53,103,219,30,707,saab
38,86,170,39,433,saab
48,98,203,33,613,saab
39,72,146,46,314,saab
53,106,212,32,660,saab
39,89,175,38,458,saab
40,66,142,48,295,saab
53,104,211,32,659,saab
46,100,193,34,561,saab
53,98,215,31,681,saab
37,71,157,43,365,saab
56,104,219,31,705,saab
50,104,208,32,639,saab
53,108,219,31,704,saab
51,100,196,34,573,saab
41,64,150,45,333,saab
41,66,148,46,318,saab
44,77,152,44,344,saab
36,77,150,45,331,saab
36,57,121,56,216,saab
43,77,144,46,308,saab
40,98,177,38,465,saab
43,72,149,45,327,saab
43,89,186,35,521,saab
36,85,160,41,385,saab
36,77,155,42,361,saab
55,108,215,31,684,saab
45,101,192,34,552,saab
50,106,207,32,635,saab
37,76,164,40,405,saab
52,100,197,33,583,saab
46,104,191,35,543,saab
47,88,171,38,440,saab
49,106,208,32,645,saab
37,54,134,50,266,saab
54,103,214,31,677,saab
37,80,157,42,373,saab
37,80,154,43,353,saab
53,95,193,34,559,saab
39,88,175,38,457,saab
38,75,144,47,305,saab
37,60,128,52,243,saab
45,79,163,40,404,saab
35,52,122,55,220,saab
51,108,220,30,711,saab
45,100,198,33,586,saab
39,74,151,44,337,saab
53,108,206,32,627,saab
53,93,216,31,688,saab
54,102,198,33,587,saab
36,54,128,53,238,saab
49,103,206,32,635,saab
52,110,212,31,668,saab
56,103,221,30,718,saab
43,92,180,36,489,saab
54,98,218,31,704,saab
44,98,183,36,505,saab
43,72,154,42,360,saab
37,86,158,42,373,saab
55,104,211,32,658,saab
51,104,204,32,621,saab
37,66,132,52,252,saab
46,106,203,33,612,saab
37,74,159,42,378,saab
42,101,186,36,511,saab
55,104,206,32,629,saab
49,109,207,32,635,saab
46,83,160,41,382,saab
36,78,135,50,270,saab
33,40,112,61,184,saab
48,101,197,33,584,saab
49,109,212,31,665,saab
39,81,166,40,415,saab
54,106,213,31,675,saab
42,80,144,46,308,saab
35,53,116,59,196,saab
52,109,216,31,687,saab
48,85,175,38,458,saab
45,105,187,36,520,saab
38,71,137,49,277,saab
52,100,217,31,697,saab
51,98,195,34,572,saab
38,80,161,41,389,saab
46,81,166,40,415,saab
53,101,213,31,667,saab
34,72,133,50,263,saab
39,85,163,41,396,saab
33,50,115,59,193,saab
47,109,199,34,586,saab
51,105,210,32,650,saab
38,55,142,48,295,saab
48,107,207,32,635,saab
34,53,116,58,197,saab
52,104,208,32,642,saab
49,83,176,37,467,saab
44,96,185,36,512,saab
40,62,150,45,330,saab
38,63,142,47,299,saab
38,58,148,46,319,saab
51,112,214,32,667,saab
49,105,207,32,637,saab
40,83,160,41,383,saab
41,88,175,38,459,saab
50,90,181,36,492,saab
38,71,154,43,355,saab
40,63,133,50,262,saab
51,108,217,31,694,saab
47,83,164,40,402,saab
41,66,136,49,274,saab
40,78,174,38,455,saab
53,105,204,32,623,saab
40,66,137,49,279,saab
40,85,169,39,430,saab
54,101,213,31,669,saab
39,63,128,52,246,saab
54,108,218,31,700,saab
38,75,147,46,318,saab
51,100,196,34,576,saab
48,105,201,33,600,saab
38,77,149,45,327,saab
51,90,183,36,506,saab
53,105,211,31,661,saab
53,109,221,31,712,saab
36,74,157,42,367,saab
51,104,213,31,674,saab
40,89,177,37,471,saab
39,83,172,38,445,saab
47,88,173,38,452,saab
38,83,149,45,327,saab
42,90,178,37,480,saab
53,104,220,31,712,saab
51,96,188,35,533,saab
37,54,129,52,245,saab
46,105,198,34,578,saab
45,81,160,41,383,saab
52,101,188,35,527,saab
36,54,125,54,229,saab
54,108,215,31,687,saab
54,100,221,30,718,saab
50,96,187,35,527,saab
54,101,222,30,721,saab
37,59,135,51,264,saab
37,57,135,50,265,saab
41,69,141,47,297,saab
38,88,170,39,435,saab
54,102,213,31,669,saab
51,105,208,32,641,saab
54,106,208,32,640,saab
45,77,161,41,390,saab
43,69,152,43,349,saab
55,100,214,31,680,saab
54,109,220,31,709,saab
42,77,140,47,293,saab
55,103,219,30,709,saab
54,98,218,31,696,saab
39,87,169,40,422,saab
46,77,158,42,373,saab
46,68,150,44,336,bus
51,89,201,32,622,bus
53,91,204,32,636,bus
40,76,149,44,332,bus
51,92,209,31,671,bus
43,68,142,46,310,bus
46,74,163,39,408,bus
41,75,153,43,352,bus
39,76,152,43,350,bus
37,73,154,42,362,bus
42,64,149,46,323,bus
57,102,257,26,968,bus
44,70,141,47,299,bus
40,77,172,37,457,bus
43,70,148,46,317,bus
54,105,247,27,891,bus
47,69,151,44,340,bus
44,68,151,45,333,bus
43,64,150,43,344,bus
44,71,144,46,312,bus
38,72,166,38,427,bus
43,82,186,34,534,bus
49,79,173,37,463,bus
45,72,156,41,373,bus
45,66,148,45,326,bus
41,75,176,36,479,bus
50,98,218,30,719,bus
37,72,158,41,385,bus
42,66,148,46,317,bus
39,75,155,42,365,bus
54,100,250,27,923,bus
43,83,177,36,484,bus
42,70,150,45,328,bus
42,66,149,45,325,bus
37,74,165,39,419,bus
56,104,257,26,956,bus
42,84,171,38,446,bus
57,107,262,26,987,bus
52,94,208,31,666,bus
54,98,225,29,766,bus
49,89,212,31,682,bus
43,66,150,45,326,bus
45,68,148,45,322,bus
57,106,255,26,957,bus
43,68,150,45,329,bus
43,66,151,45,333,bus
42,66,149,46,321,bus
42,71,149,45,331,bus
45,70,151,45,334,bus
43,69,150,46,325,bus
51,80,195,33,579,bus
40,72,146,45,321,bus
41,77,177,36,485,bus
40,76,150,44,342,bus
47,88,197,33,596,bus
38,70,164,39,413,bus
56,103,250,26,928,bus
39,74,145,45,318,bus
43,66,148,46,320,bus
43,65,149,46,322,bus
44,63,151,45,329,bus
44,65,149,46,321,bus
44,70,143,46,311,bus
42,66,150,45,333,bus
43,66,150,46,324,bus
36,73,156,41,374,bus
57,102,234,28,822,bus
46,71,151,44,343,bus
47,77,167,38,429,bus
42,60,150,46,324,bus
55,98,240,27,866,bus
38,79,160,40,393,bus
41,71,150,44,336,bus
43,70,152,44,341,bus
46,74,152,43,349,bus
38,75,171,37,450,bus
44,68,147,45,325,bus
45,68,151,45,335,bus
45,68,152,45,333,bus
44,65,150,46,325,bus
45,71,146,45,321,bus
42,70,149,45,327,bus
42,65,152,45,335,bus
43,64,150,46,324,bus
49,80,183,35,517,bus
42,63,149,46,320,bus
44,72,153,44,347,bus
41,70,144,46,309,bus
43,66,148,46,319,bus
47,84,176,36,476,bus
56,109,251,27,928,bus
53,98,237,28,838,bus
50,81,186,34,531,bus
41,76,157,42,373,bus
51,93,217,30,703,bus
44,72,154,44,350,bus
46,71,151,44,338,bus
44,72,152,44,340,bus
43,68,150,45,330,bus
36,74,149,43,341,bus
45,68,147,46,320,bus
43,70,152,44,342,bus
55,96,241,28,857,bus
43,70,151,45,332,bus
40,73,150,44,341,bus
44,70,146,45,326,bus
41,66,149,45,330,bus
43,70,147,46,319,bus
45,86,184,35,523,bus
47,73,167,38,430,bus
47,75,154,43,354,bus
43,61,150,46,326,bus
42,76,151,44,339,bus
43,72,153,44,344,bus
57,106,256,26,966,bus
49,84,190,34,558,bus
39,70,143,46,307,bus
49,79,174,37,465,bus
46,77,166,39,422,bus
54,106,236,28,833,bus
43,73,151,44,341,bus
57,109,260,26,982,bus
43,73,153,42,361,bus
47,74,153,43,349,bus
43,68,150,44,337,bus
44,84,184,35,525,bus
43,71,145,45,322,bus
51,84,184,35,520,bus
42,63,152,45,336,bus
42,65,150,45,327,bus
45,85,192,33,570,bus
45,71,151,45,337,bus
45,83,194,33,576,bus
39,70,148,44,332,bus
44,68,150,45,329,bus
52,95,227,29,776,bus
49,76,178,36,487,bus
44,70,143,46,306,bus
42,59,149,46,320,bus
45,74,157,41,375,bus
55,103,252,27,904,bus
42,62,149,43,341,bus
38,74,164,39,414,bus
47,91,202,32,629,bus
38,75,151,43,345,bus
43,71,150,45,330,bus
44,68,151,45,333,bus
41,70,148,45,328,bus
44,70,153,42,361,bus
46,70,167,39,427,bus
37,73,151,43,347,bus
41,76,148,45,327,bus
45,89,186,35,533,bus
58,106,261,26,998,bus
45,65,151,45,332,bus
42,76,155,42,362,bus
43,68,150,46,327,bus
50,93,222,30,735,bus
43,66,152,44,340,bus
43,73,151,44,337,bus
47,75,154,43,356,bus
52,86,192,33,570,bus
58,105,265,26,1018,bus
43,71,150,45,330,bus
37,75,161,40,393,bus
42,66,145,44,325,bus
45,70,148,45,324,bus
45,71,146,45,322,bus
57,106,257,26,954,bus
45,70,149,45,326,bus
43,69,152,44,341,bus
43,68,149,46,323,bus
45,76,150,44,340,bus
40,78,158,41,379,bus
37,70,151,43,346,bus
45,66,148,46,321,bus
46,71,153,44,342,bus
48,95,199,32,605,bus
45,68,146,46,317,bus
55,102,241,27,870,bus
44,68,155,41,372,bus
45,66,145,46,312,bus
44,65,152,45,331,bus
44,70,148,45,322,bus
47,70,162,40,406,bus
41,77,177,36,485,bus
46,73,148,45,327,bus
56,102,239,28,855,bus
42,70,147,45,323,bus
48,79,185,35,524,bus
51,88,203,32,625,bus
54,103,247,27,892,bus
41,73,151,44,341,bus
46,75,154,42,362,bus
37,75,154,42,363,bus
44,66,148,45,323,bus
43,68,149,46,323,bus
40,83,178,37,472,opel
55,101,222,30,722,opel
52,109,222,30,731,opel
54,91,218,31,697,opel
53,108,216,31,685,opel
48,101,200,33,595,opel
54,96,219,30,706,opel
35,66,147,45,322,opel
49,92,178,37,478,opel
56,100,214,31,681,opel
41,83,175,38,455,opel
42,75,145,46,312,opel
48,104,205,32,628,opel
55,101,222,30,731,opel
38,78,146,46,314,opel
47,103,200,33,598,opel
49,107,208,32,644,opel
44,71,142,48,296,opel
36,78,157,42,367,opel
48,107,208,32,641,opel
36,51,120,57,209,opel
59,108,224,30,732,opel
49,96,181,36,494,opel
40,73,153,44,342,opel
34,69,138,48,284,opel
54,100,200,33,600,opel
36,77,157,42,367,opel
38,64,134,51,259,opel
52,98,193,34,562,opel
55,101,224,30,737,opel
38,74,139,49,282,opel
48,96,205,32,633,opel
51,105,209,32,653,opel
58,109,226,30,752,opel
55,101,225,30,741,opel
55,96,219,30,713,opel
56,100,208,32,651,opel
47,81,168,39,426,opel
54,105,200,33,597,opel
45,77,154,44,350,opel
44,98,189,35,535,opel
38,77,163,41,395,opel
37,53,126,55,227,opel
48,107,205,32,624,opel
45,75,150,44,335,opel
54,91,220,31,707,opel
38,60,132,50,261,opel
36,78,140,48,287,opel
39,90,177,37,469,opel
40,71,150,45,330,opel
55,105,223,30,737,opel
50,88,185,35,517,opel
37,76,161,41,391,opel
55,105,205,32,623,opel
51,109,217,30,704,opel
49,96,186,35,519,opel
55,100,212,31,666,opel
54,107,223,30,729,opel
35,50,114,59,192,opel
45,92,188,35,526,opel
54,107,222,30,728,opel
55,101,210,31,661,opel
57,100,224,30,726,opel
51,108,212,31,663,opel
40,75,140,48,290,opel
49,103,206,32,630,opel
54,104,215,31,682,opel
46,79,162,41,396,opel
41,66,135,50,266,opel
54,98,219,31,706,opel
51,100,192,34,553,opel
43,96,189,35,534,opel
46,101,196,34,574,opel
44,80,162,40,396,opel
48,83,171,39,438,opel
44,77,152,44,345,opel
52,107,200,33,602,opel
52,101,203,33,616,opel
38,84,169,39,430,opel
50,98,193,34,567,opel
55,98,215,31,679,opel
47,81,161,41,388,opel
34,66,130,51,251,opel
55,101,225,30,748,opel
38,53,134,51,259,opel
35,66,142,46,304,opel
52,104,198,33,589,opel
55,96,221,30,717,opel
46,100,193,34,557,opel
43,69,149,44,333,opel
46,82,165,40,409,opel
45,82,156,42,366,opel
52,96,188,35,530,opel
39,89,172,38,444,opel
36,66,131,52,252,opel
51,104,206,32,631,opel
55,109,218,30,706,opel
39,91,176,37,466,opel
55,103,204,32,624,opel
39,60,139,49,281,opel
40,79,176,38,462,opel
38,76,167,40,415,opel
53,103,209,32,653,opel
50,108,214,31,683,opel
53,98,220,30,710,opel
52,101,202,33,610,opel
36,60,123,55,221,opel
44,77,151,44,343,opel
48,105,201,33,602,opel
54,101,222,30,728,opel
38,75,147,46,315,opel
55,108,224,30,737,opel
40,66,152,44,340,opel
52,93,189,35,536,opel
44,93,186,35,521,opel
39,88,168,40,416,opel
55,105,215,31,678,opel
40,80,147,47,311,opel
56,105,221,30,725,opel
51,103,211,31,661,opel
53,98,217,31,693,opel
58,103,219,30,716,opel
37,80,153,44,348,opel
49,86,177,37,473,opel
38,89,169,39,428,opel
44,82,149,45,332,opel
36,78,147,45,321,opel
38,66,126,54,232,opel
42,88,183,36,504,opel
37,77,154,43,352,opel
38,85,164,40,402,opel
49,107,214,31,670,opel
36,72,127,54,233,opel
39,84,156,43,358,opel
36,69,135,50,266,opel
39,86,162,41,388,opel
42,96,178,37,474,opel
39,69,135,49,274,opel
45,80,164,40,406,opel
52,105,212,31,669,opel
41,92,179,37,481,opel
55,98,215,31,683,opel
37,74,162,41,394,opel
55,103,215,31,677,opel
55,103,212,31,673,opel
55,107,225,30,730,opel
52,104,210,32,657,opel
54,104,213,32,665,opel
38,72,134,51,261,opel
49,103,201,33,601,opel
52,103,214,31,676,opel
41,75,146,46,317,opel
46,101,192,35,546,opel
47,83,167,40,417,opel
53,103,195,34,571,opel
45,100,201,32,611,opel
57,103,221,30,718,opel
46,94,195,34,573,opel
48,94,181,36,494,opel
38,53,133,51,259,opel
37,78,161,41,389,opel
48,101,207,31,650,opel
38,63,122,55,219,opel
39,86,153,45,338,opel
36,69,128,53,240,opel
41,78,138,48,284,opel
45,73,159,42,379,opel
56,100,227,30,757,opel
40,69,130,51,252,opel
57,107,227,30,756,opel
34,42,114,59,191,opel
38,63,130,52,247,opel
42,75,147,45,322,opel
36,72,138,48,286,opel
46,105,197,34,575,opel
46,79,167,40,418,opel
52,110,219,30,711,opel
54,98,217,31,692,opel
56,100,216,31,684,opel
42,69,140,48,290,opel
39,77,150,45,331,opel
55,105,218,30,709,opel
46,105,201,33,602,opel
54,103,221,30,727,opel
52,98,214,31,682,opel
41,93,183,36,504,opel
43,96,185,36,513,opel
52,101,198,33,587,opel
38,74,161,41,388,opel
37,57,125,54,229,opel
