@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
18,142,86,183,van
18,148,63,206,van
20,177,75,193,van
18,159,66,201,van
17,145,63,208,van
19,179,75,196,van
20,173,72,197,van
17,142,64,203,van
19,171,70,199,van
19,173,72,196,van
17,139,90,183,van
18,156,63,209,van
17,146,63,206,van
20,172,74,195,van
20,180,77,194,van
20,200,90,192,van
19,169,71,197,van
19,320,135,196,van
18,161,69,201,van
20,175,74,193,van
18,148,75,187,van
17,148,76,188,van
18,158,64,209,van
20,176,75,195,van
19,170,72,199,van
18,159,72,194,van
19,175,73,197,van
20,173,75,191,van
19,168,65,204,van
17,139,67,198,van
19,165,64,206,van
19,169,71,199,van
19,176,74,197,van
17,138,85,183,van
18,166,72,194,van
20,172,75,193,van
19,173,72,197,van
17,137,64,204,van
20,170,67,200,van
19,169,67,204,van
18,165,75,191,van
18,157,67,201,van
17,141,82,183,van
18,164,77,185,van
18,162,67,202,van
19,168,71,197,van
18,173,71,199,van
18,159,70,194,van
19,164,65,206,van
19,173,75,195,van
18,160,78,184,van
19,174,73,196,van
18,154,86,182,van
18,155,85,182,van
18,231,99,199,van
18,150,65,203,van
19,167,67,202,van
20,170,75,192,van
20,176,71,198,van
17,137,88,183,van
18,159,72,187,van
19,167,70,199,van
19,164,66,202,van
18,163,71,201,van
19,165,64,207,van
19,170,66,203,van
25,226,71,203,saab
17,136,83,185,saab
19,173,76,187,saab
23,216,68,200,saab
20,189,72,193,saab
18,152,70,191,saab
19,164,77,186,saab
19,175,77,187,saab
23,217,70,199,saab
25,229,71,199,saab
21,197,66,202,saab
20,188,64,201,saab
21,194,66,205,saab
24,221,72,199,saab
21,189,61,208,saab
18,151,82,185,saab
24,224,68,202,saab
23,223,72,196,saab
21,200,68,199,saab
18,149,63,204,saab
17,137,68,195,saab
25,229,71,200,saab
22,218,73,197,saab
19,179,70,192,saab
19,177,74,191,saab
24,220,70,198,saab
22,202,64,204,saab
25,221,70,197,saab
18,148,72,187,saab
23,221,68,201,saab
23,222,73,197,saab
21,192,63,205,saab
24,223,68,200,saab
20,184,62,208,saab
19,169,60,211,saab
20,180,70,199,saab
18,154,71,192,saab
23,220,68,197,saab
24,223,67,202,saab
20,184,62,205,saab
20,178,63,208,saab
24,226,72,198,saab
23,218,70,198,saab
20,184,61,210,saab
19,164,79,185,saab
19,163,63,200,saab
25,226,72,199,saab
24,222,74,196,saab
19,165,82,185,saab
19,171,75,188,saab
19,153,81,183,saab
19,166,74,189,saab
19,181,70,195,saab
18,143,82,183,saab
25,228,69,203,saab
20,190,67,199,saab
21,200,70,195,saab
25,224,73,199,saab
17,139,82,184,saab
19,172,69,194,saab
22,209,65,203,saab
20,186,68,197,saab
24,218,74,196,saab
24,235,74,197,saab
20,189,72,191,saab
18,155,74,189,saab
23,213,66,205,saab
23,219,70,198,saab
20,189,71,192,saab
22,208,67,206,saab
22,210,68,200,saab
23,214,65,204,saab
21,197,69,198,saab
24,226,68,199,saab
19,166,63,205,saab
18,165,64,205,saab
25,223,67,204,saab
24,226,67,201,saab
24,217,69,199,saab
17,130,86,183,saab
24,229,71,199,saab
22,210,68,199,saab
18,166,71,195,saab
18,164,66,204,saab
24,229,71,199,saab
22,202,64,211,saab
21,186,59,210,saab
23,214,64,204,saab
24,228,71,200,saab
18,158,63,206,saab
20,191,67,197,saab
21,205,68,202,saab
20,189,63,207,saab
24,217,64,207,saab
19,174,66,203,saab
18,146,81,184,saab
24,220,72,197,saab
21,195,65,201,saab
24,227,70,203,saab
18,159,68,195,saab
24,220,73,197,saab
22,207,68,199,saab
22,216,72,197,saab
18,151,83,184,saab
19,168,72,191,saab
19,170,77,189,saab
25,226,71,199,saab
23,207,61,208,saab
21,197,68,200,saab
23,216,65,205,saab
24,224,74,194,saab
20,172,60,209,saab
18,162,74,190,saab
17,135,76,190,saab
20,190,66,201,saab
19,162,77,185,saab
24,218,74,198,saab
24,223,66,202,saab
20,181,68,196,saab
24,229,72,197,saab
22,202,62,208,saab
24,225,74,195,saab
23,217,64,205,saab
24,224,71,197,saab
25,229,72,199,saab
24,222,73,196,saab
24,228,66,205,saab
17,148,65,202,saab
19,174,71,193,saab
20,184,69,195,saab
24,232,71,199,saab
20,200,72,195,saab
19,165,80,185,saab
24,220,67,199,saab
22,219,67,201,saab
22,206,70,197,saab
21,188,66,204,saab
22,211,70,196,saab
18,165,61,207,saab
20,186,63,204,saab
23,214,67,200,saab
24,229,70,201,saab
23,221,73,197,saab
23,207,62,208,saab
21,191,68,199,saab
25,232,72,200,saab
24,231,67,206,saab
22,207,64,205,saab
19,180,69,193,saab
21,205,70,195,saab
25,226,70,200,saab
24,226,68,201,saab
24,222,73,198,saab
24,228,71,197,saab
19,180,69,195,saab
24,221,71,198,saab
20,187,66,203,saab
25,232,73,197,saab
25,228,70,201,saab
21,202,70,196,saab
21,197,72,194,saab
19,174,70,196,saab
19,163,64,201,saab
20,183,69,197,saab
25,229,70,201,saab
20,197,67,199,saab
22,220,71,196,saab
24,229,72,201,saab
18,152,85,183,saab
23,216,64,204,saab
19,177,61,204,saab
24,232,71,202,saab
25,229,71,199,saab
25,226,71,203,saab
24,223,65,206,saab
25,226,71,196,saab
25,229,73,205,saab
24,221,71,197,saab
17,137,70,189,saab
22,207,65,206,saab
18,158,75,186,saab
23,227,72,198,saab
21,200,64,205,saab
24,216,72,198,saab
18,162,61,209,saab
18,150,86,182,saab
22,208,67,202,saab
24,232,72,197,saab
19,175,67,198,saab
20,180,63,206,saab
24,225,70,202,saab
19,174,61,209,saab
22,202,66,199,saab
24,226,68,202,saab
23,216,68,197,saab
19,170,80,185,bus
19,179,75,192,bus
19,180,71,195,bus
27,272,82,183,bus
27,269,84,182,bus
19,172,88,182,bus
19,169,82,183,bus
19,170,86,182,bus
28,280,85,183,bus
26,254,82,184,bus
19,169,81,184,bus
18,163,68,203,bus
19,171,79,186,bus
19,177,80,187,bus
20,189,72,204,bus
19,168,73,188,bus
28,278,83,182,bus
19,175,75,192,bus
19,171,67,206,bus
19,178,72,199,bus
19,173,75,189,bus
19,170,86,183,bus
19,176,76,189,bus
18,164,65,203,bus
19,166,85,182,bus
19,174,69,200,bus
19,170,81,184,bus
19,181,80,187,bus
19,237,119,185,bus
19,171,88,182,bus
22,204,71,198,bus
19,178,69,205,bus
19,172,83,183,bus
19,180,76,189,bus
20,178,70,203,bus
25,246,79,187,bus
23,222,77,190,bus
21,202,72,199,bus
20,183,69,203,bus
22,208,73,197,bus
19,169,65,209,bus
19,167,69,201,bus
26,265,84,183,bus
19,177,76,187,bus
19,177,78,188,bus
19,173,86,183,bus
19,169,67,200,bus
22,203,72,197,bus
19,174,82,185,bus
19,170,81,184,bus
19,172,83,184,bus
21,196,71,199,bus
20,180,69,202,bus
23,219,74,193,bus
22,202,74,195,bus
22,214,75,194,bus
19,173,70,200,bus
28,275,83,184,bus
19,180,77,190,bus
28,288,85,183,bus
19,175,73,194,bus
19,168,87,181,bus
19,170,87,182,bus
19,171,75,188,bus
19,167,75,191,bus
19,179,70,201,bus
19,176,66,204,bus
19,167,72,196,bus
19,169,68,200,bus
22,208,74,195,bus
19,167,81,183,bus
19,176,74,194,bus
26,256,81,185,bus
20,188,72,200,bus
22,215,73,197,bus
19,175,85,183,bus
19,170,80,185,bus
19,181,74,195,bus
19,170,82,184,bus
22,225,79,191,bus
19,173,81,185,bus
21,197,72,201,bus
19,180,81,186,bus
19,169,85,183,bus
19,184,70,204,bus
19,169,80,184,bus
20,184,69,206,bus
19,174,72,197,bus
24,232,77,189,bus
19,171,85,182,bus
20,185,70,200,bus
19,171,78,186,bus
19,184,71,204,bus
19,168,66,204,bus
21,199,72,199,bus
19,179,67,206,bus
19,166,86,182,bus
20,184,69,203,bus
19,184,71,205,bus
26,267,85,184,bus
18,164,69,199,bus
19,181,69,198,bus
19,169,81,184,bus
19,173,81,184,bus
19,169,83,184,bus
22,206,74,198,bus
21,205,74,198,bus
19,169,68,206,bus
19,170,82,183,bus
19,175,78,188,bus
28,269,83,186,bus
19,179,72,200,bus
19,171,85,183,bus
26,267,85,184,bus
19,175,72,195,bus
19,175,77,189,bus
19,171,72,195,bus
28,275,83,184,bus
19,167,65,208,bus
19,170,77,188,bus
24,228,77,189,bus
20,189,69,201,bus
19,169,67,207,bus
23,231,78,192,bus
19,170,71,196,bus
18,166,69,193,bus
26,243,77,187,bus
19,172,81,186,bus
19,170,69,201,bus
20,199,74,199,bus
20,189,70,202,bus
20,188,69,203,bus
19,172,74,191,bus
19,173,75,191,bus
19,167,85,182,bus
21,194,72,200,bus
19,181,80,188,bus
20,178,66,205,bus
29,285,85,183,bus
19,167,71,193,bus
27,280,85,183,bus
28,285,87,181,bus
21,204,72,197,bus
19,174,78,188,bus
19,170,74,191,bus
18,164,66,199,bus
26,258,80,184,bus
19,170,87,182,bus
19,175,68,205,bus
24,227,76,191,bus
19,169,85,182,bus
19,175,72,196,bus
19,168,83,183,bus
20,179,68,205,bus
19,172,71,191,bus
19,169,80,184,bus
19,174,87,182,bus
25,262,82,186,bus
20,184,68,204,bus
19,169,85,182,bus
24,240,81,188,bus
19,177,82,185,bus
28,285,86,184,bus
22,212,75,195,bus
19,166,86,182,bus
19,168,71,195,bus
24,238,78,189,bus
19,166,83,182,bus
19,171,79,187,bus
19,169,85,182,bus
19,174,80,186,bus
19,170,84,183,bus
19,166,69,198,bus
21,190,70,201,bus
28,287,85,184,bus
27,266,85,183,bus
24,232,78,189,bus
19,175,73,190,bus
27,280,88,182,bus
21,189,70,202,bus
19,179,75,193,bus
19,173,81,184,bus
23,216,73,194,bus
19,178,76,189,bus
19,172,74,190,bus
21,189,68,198,bus
19,166,81,182,bus
19,170,84,183,bus
19,169,77,186,bus
25,247,80,186,bus
20,193,71,202,bus
19,184,76,193,bus
23,234,79,191,bus
19,241,127,183,bus
19,175,70,200,bus
19,167,69,201,bus
21,195,67,201,opel
19,174,63,205,opel
25,234,72,198,opel
22,214,64,204,opel
18,158,62,210,opel
19,169,62,210,opel
24,230,67,202,opel
20,190,67,202,opel
25,231,71,196,opel
23,215,69,196,opel
22,208,68,198,opel
18,162,64,202,opel
23,217,67,201,opel
23,217,69,196,opel
24,219,73,194,opel
18,144,70,194,opel
21,199,67,200,opel
24,221,74,195,opel
20,196,71,198,opel
24,222,73,195,opel
18,155,61,209,opel
24,214,66,200,opel
19,168,64,203,opel
18,135,82,184,opel
19,172,67,198,opel
23,220,73,194,opel
25,221,67,200,opel
24,221,75,194,opel
19,166,69,194,opel
24,220,68,201,opel
25,225,72,196,opel
18,151,80,186,opel
19,165,77,189,opel
18,152,87,184,opel
21,209,71,198,opel
19,174,71,189,opel
19,179,69,197,opel
18,148,76,187,opel
25,238,73,198,opel
18,161,66,202,opel
19,169,64,203,opel
22,210,64,202,opel
24,238,72,199,opel
21,202,66,200,opel
22,210,68,198,opel
23,231,72,195,opel
23,221,71,196,opel
21,197,63,204,opel
23,223,69,202,opel
19,181,75,189,opel
25,231,74,194,opel
22,214,71,194,opel
19,173,75,187,opel
19,176,73,193,opel
22,202,64,203,opel
21,208,70,197,opel
21,200,66,199,opel
22,209,66,201,opel
21,207,71,194,opel
24,225,72,199,opel
17,141,78,185,opel
25,228,71,197,opel
25,219,72,196,opel
22,207,65,202,opel
24,219,75,193,opel
24,232,70,202,opel
18,148,75,188,opel
23,219,65,206,opel
18,161,67,197,opel
20,199,74,192,opel
25,241,73,199,opel
20,181,63,206,opel
25,223,72,198,opel
20,194,74,191,opel
24,232,72,197,opel
18,147,83,184,opel
24,222,66,201,opel
18,154,74,187,opel
22,217,71,197,opel
21,200,64,206,opel
23,222,70,198,opel
24,219,76,195,opel
23,207,64,204,opel
20,197,73,192,opel
25,231,73,198,opel
20,188,65,204,opel
18,147,64,200,opel
17,137,64,201,opel
18,163,72,192,opel
18,142,81,184,opel
19,170,87,183,opel
19,167,80,186,opel
25,231,75,195,opel
19,179,71,191,opel
25,228,74,196,opel
18,147,70,191,opel
24,236,72,197,opel
25,223,73,195,opel
19,172,76,193,opel
22,208,66,200,opel
23,227,74,194,opel
22,224,70,197,opel
17,132,74,187,opel
21,199,71,193,opel
24,228,71,196,opel
21,199,65,206,opel
20,182,65,201,opel
24,226,76,193,opel
19,170,63,203,opel
18,160,72,191,opel
23,214,65,203,opel
25,234,72,198,opel
22,216,69,199,opel
24,228,72,198,opel
25,225,71,198,opel
20,196,69,195,opel
25,231,73,197,opel
23,219,73,194,opel
17,131,87,183,opel
18,154,66,203,opel
24,222,67,200,opel
19,182,68,197,opel
17,135,84,184,opel
21,197,67,199,opel
20,181,61,208,opel
23,226,71,196,opel
24,222,68,201,opel
18,165,64,206,opel
25,234,72,196,opel
23,212,65,205,opel
25,225,71,196,opel
19,170,68,193,opel
23,227,74,193,opel
22,206,67,200,opel
22,202,65,204,opel
20,187,72,193,opel
20,184,69,196,opel
18,155,69,190,opel
25,225,70,201,opel
20,182,62,211,opel
21,196,67,200,opel
25,220,72,198,opel
20,189,72,192,opel
25,228,74,201,opel
23,212,64,202,opel
19,175,64,208,opel
24,223,74,196,opel
19,170,76,188,opel
25,223,72,195,opel
24,224,67,206,opel
24,221,66,203,opel
23,222,65,206,opel
24,219,75,194,opel
25,227,69,198,opel
19,174,62,211,opel
18,152,87,183,opel
24,226,73,195,opel
24,219,66,201,opel
20,183,67,198,opel
23,215,66,202,opel
20,178,63,204,opel
24,217,66,198,opel
19,174,72,192,opel
22,202,66,198,opel
25,231,74,195,opel
24,217,73,194,opel
22,214,72,195,opel
25,237,75,196,opel
25,235,74,198,opel
19,159,68,197,opel
25,234,70,200,opel
21,200,64,203,opel
18,152,76,188,opel
24,217,72,196,opel
20,189,66,199,opel
18,158,72,190,opel
23,214,68,198,opel
18,145,65,198,opel
20,193,70,198,opel
22,202,62,205,opel
25,228,73,196,opel
18,151,62,207,opel
24,229,72,196,opel
24,226,74,194,opel
19,182,66,198,opel
18,145,79,187,opel
24,224,74,193,opel
24,228,69,197,opel
18,144,70,190,opel
25,225,71,196,opel
21,203,67,198,opel
