@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Minor_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
34,66,54,148,224,5,202,saab
41,66,49,155,274,5,189,saab
40,83,41,189,383,5,191,saab
49,103,32,227,635,6,198,saab
56,104,31,226,705,19,196,saab
37,54,50,151,266,16,185,saab
53,103,30,229,707,6,199,saab
43,92,36,200,489,6,205,saab
38,75,47,165,305,1,191,saab
54,96,31,221,694,2,198,saab
42,101,36,208,511,7,206,saab
53,104,31,226,712,15,199,saab
37,66,52,148,252,17,187,saab
45,76,42,180,370,16,206,saab
40,75,44,173,339,7,187,saab
40,72,50,159,260,3,195,saab
45,105,36,202,520,7,211,saab
36,78,43,169,349,4,211,saab
37,76,40,191,405,4,197,saab
33,40,61,130,184,12,183,saab
54,109,31,229,709,12,201,saab
51,105,35,207,545,18,205,saab
40,62,45,165,330,2,185,saab
53,108,31,226,694,0,201,saab
54,101,30,228,721,3,201,saab
42,80,46,166,308,17,189,saab
49,105,32,217,637,0,207,saab
37,59,51,151,264,11,185,saab
54,103,30,229,720,6,200,saab
53,108,32,217,636,21,205,saab
40,85,39,184,430,2,210,saab
54,106,31,223,675,20,202,saab
54,103,31,229,677,1,201,saab
37,80,42,172,373,3,209,saab
41,64,45,165,333,5,185,saab
38,63,46,168,314,9,185,saab
53,109,31,226,712,13,201,saab
45,79,40,184,404,0,208,saab
43,89,35,210,521,6,199,saab
51,90,36,211,506,6,196,saab
47,109,34,207,586,1,208,saab
54,101,31,218,669,14,196,saab
37,60,52,154,243,1,192,saab
37,63,54,141,230,14,188,saab
37,71,43,178,365,5,208,saab
39,81,40,184,415,8,205,saab
34,53,58,137,197,3,189,saab
55,100,31,224,680,1,194,saab
54,102,31,222,669,17,198,saab
48,105,33,214,600,0,204,saab
55,101,30,226,719,2,199,saab
40,63,50,152,262,9,191,saab
51,100,34,214,576,7,205,saab
54,100,30,232,718,0,199,saab
53,105,31,224,661,0,197,saab
53,105,30,226,713,3,200,saab
49,109,31,229,665,16,199,saab
55,104,32,223,629,5,196,saab
41,69,47,162,297,11,209,saab
52,101,33,214,607,2,204,saab
36,54,53,143,238,6,183,saab
54,102,33,224,587,4,196,saab
49,106,32,224,645,1,202,saab
38,80,41,186,389,5,197,saab
45,82,43,180,357,3,193,saab
37,54,50,152,271,3,183,saab
39,85,41,189,396,7,192,saab
45,77,41,190,390,4,201,saab
51,104,31,226,674,18,199,saab
51,112,32,223,667,0,206,saab
53,98,31,224,681,8,197,saab
51,108,30,232,711,12,200,saab
55,108,31,229,684,2,199,saab
50,94,35,214,525,8,201,saab
49,83,37,205,467,1,195,saab
36,77,45,174,331,0,203,saab
34,72,50,158,263,5,206,saab
46,104,34,222,578,13,197,saab
46,100,34,209,561,11,203,saab
46,105,34,213,578,7,205,saab
50,90,36,211,492,6,199,saab
43,72,45,168,327,13,191,saab
54,100,31,225,686,5,195,saab
42,77,47,165,293,10,205,saab
39,83,39,190,426,0,199,saab
36,75,48,166,290,4,195,saab
42,98,36,206,508,10,197,saab
53,93,31,221,688,6,199,saab
36,54,54,146,229,1,184,saab
53,110,31,231,692,16,206,saab
53,105,32,221,623,0,201,saab
46,77,42,181,373,12,199,saab
37,86,42,181,373,9,196,saab
50,104,32,223,639,15,202,saab
50,90,37,195,472,10,201,saab
37,57,50,151,265,16,184,saab
41,88,38,192,459,1,205,saab
56,101,31,232,698,2,197,saab
48,101,33,216,584,2,197,saab
39,87,40,200,422,7,195,saab
38,82,43,179,351,1,192,saab
38,83,45,177,327,6,191,saab
49,109,32,225,635,13,202,saab
53,108,31,226,712,15,203,saab
54,106,32,217,640,14,199,saab
36,57,56,137,216,22,195,saab
52,104,31,220,691,11,199,saab
36,72,44,166,334,2,205,saab
39,63,52,149,246,9,204,saab
38,75,46,171,318,7,188,saab
54,98,31,221,704,14,197,saab
35,53,59,135,196,10,190,saab
47,83,40,189,402,7,193,saab
55,107,31,232,703,3,199,saab
36,74,42,177,367,6,204,saab
51,104,32,220,621,3,197,saab
43,76,44,172,335,14,194,saab
39,86,39,186,418,6,204,saab
37,54,52,146,245,4,184,saab
53,98,31,235,691,1,197,saab
44,95,35,216,526,15,197,saab
36,77,42,177,361,8,201,saab
49,100,35,202,518,13,208,saab
36,69,48,164,291,1,204,saab
52,104,32,220,642,1,198,saab
53,103,30,224,711,11,199,saab
33,50,59,136,193,1,185,saab
53,101,32,218,664,13,198,saab
54,103,32,228,648,9,197,saab
52,109,31,229,687,10,201,saab
40,66,48,164,295,2,186,saab
53,106,32,220,660,16,197,saab
51,103,31,226,673,2,198,saab
34,66,47,165,298,1,207,saab
50,103,31,223,663,9,200,saab
51,108,31,232,694,15,201,saab
51,105,32,222,650,8,196,saab
50,96,35,207,527,3,206,saab
40,66,49,162,279,6,190,saab
38,55,48,153,295,4,183,saab
39,88,38,197,457,0,198,saab
40,98,38,194,465,9,205,saab
47,88,38,186,440,15,210,saab
38,88,39,188,435,2,204,saab
46,106,33,217,612,9,199,saab
54,105,33,216,608,12,200,saab
54,106,32,228,638,0,200,saab
50,110,31,232,676,18,202,saab
48,85,38,192,458,5,210,saab
45,101,34,218,552,3,197,saab
48,90,38,200,460,13,199,saab
52,108,31,229,709,22,205,saab
39,83,38,197,445,0,194,saab
39,74,44,174,337,1,196,saab
36,51,50,150,268,15,182,saab
48,98,33,216,613,17,204,saab
38,77,45,174,327,6,193,saab
51,98,34,219,572,0,201,saab
45,76,41,184,381,8,195,saab
53,108,31,226,707,14,203,saab
53,104,32,223,659,5,203,saab
51,96,35,207,533,10,199,saab
43,68,45,171,329,4,183,bus
51,93,30,240,703,9,188,bus
42,81,38,184,434,3,204,bus
43,65,46,169,322,6,182,bus
46,73,45,167,327,8,191,bus
50,98,30,232,719,8,189,bus
46,71,44,177,347,1,187,bus
42,70,45,177,327,6,188,bus
43,69,44,178,341,1,184,bus
42,76,42,184,362,6,193,bus
43,68,46,169,323,6,184,bus
53,101,28,267,844,7,184,bus
48,95,32,216,605,7,194,bus
45,66,45,237,326,1,185,bus
44,68,45,170,325,1,191,bus
40,76,44,169,332,4,200,bus
45,72,40,178,399,7,203,bus
43,73,44,181,337,2,188,bus
43,66,45,173,333,4,183,bus
46,70,45,170,331,6,188,bus
44,70,42,171,361,7,206,bus
45,68,45,169,322,5,184,bus
53,98,28,263,838,4,184,bus
39,74,45,173,318,3,200,bus
42,70,45,176,323,2,189,bus
41,76,42,181,373,8,195,bus
42,63,46,166,320,7,182,bus
57,106,26,280,957,5,183,bus
44,68,41,179,372,5,206,bus
44,72,46,166,312,11,198,bus
52,95,29,262,776,0,186,bus
42,63,45,173,336,0,184,bus
48,79,35,202,524,5,195,bus
46,71,44,175,343,2,190,bus
37,72,41,184,385,0,204,bus
44,65,46,170,321,4,182,bus
43,68,46,164,310,10,203,bus
42,59,46,166,320,8,182,bus
43,70,46,169,319,1,186,bus
47,91,32,234,629,4,191,bus
49,89,31,238,682,1,189,bus
43,70,45,173,332,1,184,bus
39,76,43,179,350,6,200,bus
44,68,45,170,333,4,185,bus
58,106,26,278,998,9,182,bus
46,70,39,183,427,17,203,bus
55,103,27,269,904,5,186,bus
37,73,42,171,362,2,206,bus
43,61,46,169,326,8,182,bus
57,107,26,285,987,9,184,bus
44,68,45,170,329,7,185,bus
51,80,33,214,579,6,194,bus
46,73,45,170,334,9,184,bus
45,70,45,170,324,9,183,bus
39,70,44,167,332,5,201,bus
57,106,26,275,954,2,184,bus
44,68,45,170,333,4,183,bus
46,77,39,184,422,13,203,bus
44,72,44,180,347,1,186,bus
43,66,46,168,320,8,181,bus
47,84,36,190,476,7,201,bus
47,73,38,184,430,9,206,bus
49,76,36,194,487,0,200,bus
45,70,45,169,326,8,184,bus
50,93,30,254,735,4,184,bus
43,73,42,176,361,13,204,bus
40,73,44,174,341,2,200,bus
45,68,46,168,317,5,187,bus
42,66,44,169,325,4,207,bus
44,65,46,169,325,1,183,bus
51,89,32,219,622,6,193,bus
41,73,44,175,341,3,194,bus
40,78,41,185,379,1,197,bus
37,75,42,184,363,0,202,bus
45,71,45,172,321,10,191,bus
38,75,37,199,450,2,199,bus
54,98,29,246,766,9,187,bus
44,70,45,241,325,9,183,bus
58,105,26,285,1018,4,183,bus
47,77,38,188,429,6,203,bus
52,103,28,254,816,3,184,bus
43,71,45,169,322,8,200,bus
54,106,28,256,833,6,185,bus
38,79,40,178,393,2,205,bus
37,74,39,188,419,1,200,bus
43,83,36,189,484,6,198,bus
42,65,45,175,335,5,183,bus
51,92,30,247,731,7,186,bus
42,76,44,179,339,0,193,bus
45,73,44,170,335,6,196,bus
41,70,46,168,309,4,195,bus
45,85,33,217,570,6,193,bus
57,109,26,288,982,11,183,bus
56,103,26,280,928,4,183,bus
43,68,46,172,323,1,184,bus
46,71,44,174,338,3,186,bus
43,64,43,169,344,9,206,bus
43,71,45,170,330,6,184,bus
44,72,46,173,317,6,185,bus
46,74,43,180,349,5,195,bus
46,75,42,178,362,8,199,bus
44,84,35,208,525,4,197,bus
46,68,44,172,336,5,191,bus
42,70,45,177,328,10,185,bus
43,72,44,175,344,0,188,bus
45,66,46,168,312,2,188,bus
43,70,44,180,342,1,189,bus
39,70,46,164,307,1,199,bus
37,70,43,167,346,0,208,bus
41,77,36,205,485,0,198,bus
45,76,44,170,340,12,201,bus
41,70,45,172,328,5,195,bus
45,83,33,225,576,0,191,bus
45,72,41,181,373,5,198,bus
56,102,28,264,855,9,185,bus
46,88,34,215,563,2,197,bus
55,98,27,258,866,3,184,bus
46,74,39,185,408,7,200,bus
45,68,45,167,333,3,183,bus
54,103,27,266,892,4,183,bus
43,69,46,174,325,3,182,bus
42,84,38,189,446,3,201,bus
44,70,47,164,299,9,199,bus
42,62,43,169,341,7,209,bus
35,70,41,184,371,3,205,bus
41,76,45,171,327,7,195,bus
37,73,43,175,347,1,205,bus
40,76,44,174,342,3,197,bus
42,65,45,169,332,4,183,bus
45,74,41,179,375,8,201,bus
42,66,46,172,317,6,182,bus
45,68,46,169,320,0,184,bus
53,91,32,231,636,5,192,bus
43,76,43,180,359,5,190,bus
56,109,27,272,928,11,183,bus
44,70,45,167,326,6,201,bus
45,68,45,186,335,1,185,bus
47,75,43,176,356,7,194,bus
45,70,45,171,334,2,186,bus
45,66,46,170,321,0,182,bus
47,70,40,179,406,9,205,bus
40,72,45,175,321,4,196,bus
43,71,45,171,330,7,186,bus
42,66,45,173,325,5,182,bus
41,75,36,204,479,7,197,bus
45,89,35,204,533,4,198,bus
43,66,46,166,319,6,182,bus
41,71,44,175,336,3,197,bus
44,70,46,163,311,7,203,bus
44,72,44,174,340,2,185,bus
42,64,46,170,319,1,182,bus
36,73,40,189,401,6,204,bus
49,79,37,196,465,6,199,bus
38,74,39,193,414,2,202,bus
54,105,27,269,891,12,182,bus
41,66,45,173,330,6,191,bus
45,68,44,173,336,7,189,bus
47,75,43,175,354,0,192,bus
47,88,33,214,596,8,191,bus
38,72,38,189,427,1,202,bus
43,66,45,172,326,4,183,bus
38,70,39,189,413,3,203,bus
43,73,44,178,341,5,189,bus
44,68,45,171,328,6,182,bus
43,68,46,169,327,7,184,bus
50,81,34,206,531,6,198,bus
51,92,31,232,671,5,189,bus
43,82,34,215,534,0,196,bus
47,69,44,171,340,5,188,bus
42,65,45,171,327,2,182,bus
38,75,43,168,345,0,204,bus
42,71,45,172,331,2,190,bus
45,86,35,203,523,0,197,bus
52,94,31,227,666,11,191,bus
44,66,45,170,323,8,183,bus
49,84,34,208,558,4,195,bus
57,106,26,285,966,11,181,bus
54,100,27,280,923,5,182,bus
42,64,46,167,323,1,182,bus
43,66,44,177,340,6,185,bus
40,77,37,197,457,4,201,bus
45,71,45,167,322,5,196,bus
49,98,31,228,680,8,189,bus
37,75,40,180,393,1,202,bus
51,84,35,199,520,9,199,bus
43,68,45,175,330,1,185,bus
46,71,44,172,342,3,186,bus
45,65,45,170,332,1,184,bus
44,70,46,166,306,7,193,bus
43,70,44,177,341,6,187,bus
36,74,43,178,341,0,205,bus
49,80,35,206,517,3,199,bus
44,70,45,170,322,10,183,bus
43,66,46,169,324,0,182,bus
44,71,46,167,312,4,193,bus
43,64,46,168,324,9,184,bus
38,64,51,152,259,1,188,opel
52,103,31,217,676,6,198,opel
37,53,55,135,227,1,184,opel
42,88,36,208,504,3,197,opel
53,98,30,228,710,10,197,opel
56,96,30,223,713,6,195,opel
55,101,30,225,722,2,196,opel
37,57,54,142,229,8,184,opel
36,69,53,147,240,2,191,opel
47,103,33,220,598,6,194,opel
54,100,33,222,600,2,198,opel
39,72,48,165,295,7,189,opel
52,109,30,241,731,7,199,opel
52,101,33,207,587,2,204,opel
51,108,31,219,663,7,201,opel
54,107,30,221,728,0,200,opel
42,75,46,170,312,15,198,opel
54,104,31,221,682,13,194,opel
43,96,36,202,513,8,204,opel
55,103,31,219,677,5,194,opel
41,92,37,197,481,4,204,opel
38,53,51,152,259,0,183,opel
48,101,31,227,650,5,196,opel
57,109,30,234,725,10,200,opel
49,92,37,200,478,2,206,opel
56,100,31,219,681,2,192,opel
38,78,46,166,314,0,194,opel
38,76,40,196,415,0,198,opel
52,104,32,219,657,3,194,opel
55,101,31,236,661,1,197,opel
57,107,30,234,756,6,198,opel
51,109,30,238,722,11,198,opel
55,98,31,226,683,3,193,opel
40,75,48,158,290,3,190,opel
39,86,41,194,388,1,191,opel
53,103,34,210,571,5,198,opel
54,101,30,224,728,13,198,opel
57,104,31,224,670,0,193,opel
50,108,31,232,683,7,197,opel
54,96,30,231,706,5,195,opel
54,104,32,223,665,1,195,opel
54,107,30,225,729,0,201,opel
54,103,30,227,727,15,198,opel
52,93,35,214,536,2,195,opel
40,66,44,170,340,13,183,opel
55,101,30,225,731,7,197,opel
40,83,37,199,472,1,193,opel
40,79,38,200,462,0,199,opel
44,77,44,175,343,9,208,opel
56,100,32,227,651,6,193,opel
35,66,46,162,304,5,202,opel
55,98,31,222,679,2,201,opel
36,69,50,154,266,3,203,opel
36,78,48,161,287,4,202,opel
54,91,31,220,707,1,198,opel
39,60,49,151,281,0,186,opel
45,92,35,202,526,12,203,opel
47,81,41,187,388,9,193,opel
51,96,35,208,543,13,198,opel
48,107,32,232,641,5,202,opel
39,86,45,174,338,11,189,opel
38,58,51,152,259,0,184,opel
38,77,41,184,395,1,198,opel
39,89,38,191,444,4,209,opel
51,109,30,238,704,6,199,opel
51,104,32,217,631,5,196,opel
38,84,39,196,430,9,195,opel
47,81,39,193,426,11,198,opel
53,103,32,222,653,0,201,opel
38,53,51,147,259,10,184,opel
36,51,57,135,209,1,184,opel
36,72,48,163,286,1,192,opel
36,78,45,168,321,10,203,opel
36,66,52,148,252,5,187,opel
42,69,48,165,290,10,206,opel
46,82,40,181,409,8,208,opel
34,66,51,151,251,5,207,opel
41,93,36,202,504,11,200,opel
39,90,37,209,469,4,198,opel
52,107,33,218,602,9,201,opel
51,103,31,222,661,7,200,opel
57,103,30,223,718,11,195,opel
57,103,30,228,708,4,196,opel
43,69,44,170,333,14,203,opel
55,101,30,225,741,5,198,opel
48,104,32,227,628,5,193,opel
49,107,31,224,670,0,206,opel
38,60,50,148,261,8,188,opel
55,96,31,219,685,0,193,opel
55,105,31,221,678,12,195,opel
54,100,31,219,669,12,195,opel
49,103,32,212,630,12,201,opel
54,98,31,228,692,0,198,opel
46,105,33,223,602,5,202,opel
55,96,30,225,717,9,196,opel
57,100,30,223,726,4,198,opel
52,105,31,226,669,12,194,opel
49,86,37,197,471,11,199,opel
58,101,30,225,748,6,196,opel
44,98,35,214,535,2,194,opel
44,93,35,202,521,0,198,opel
39,91,37,196,466,3,200,opel
55,105,30,237,737,14,196,opel
56,100,31,219,684,15,194,opel
40,69,50,155,260,16,209,opel
56,105,30,234,725,15,196,opel
38,89,39,190,428,7,202,opel
36,60,55,141,221,3,185,opel
51,100,34,210,553,14,202,opel
38,74,41,181,388,7,206,opel
55,105,32,221,623,9,196,opel
46,79,41,183,396,2,198,opel
52,107,31,221,701,0,203,opel
46,79,40,190,418,12,198,opel
45,75,44,170,335,16,198,opel
39,77,45,176,331,0,193,opel
55,109,30,230,706,8,202,opel
55,107,30,228,730,8,201,opel
45,76,42,184,371,13,196,opel
57,105,30,226,706,10,195,opel
45,82,42,181,366,2,196,opel
59,108,30,225,732,10,198,opel
52,98,34,216,562,3,199,opel
54,91,31,223,697,4,196,opel
45,80,40,188,406,11,204,opel
34,69,48,158,284,9,210,opel
53,108,31,220,685,4,201,opel
38,63,55,137,219,20,201,opel
37,77,43,179,352,14,191,opel
49,107,32,214,644,1,200,opel
41,66,50,154,266,3,187,opel
46,94,34,224,573,0,197,opel
39,69,49,155,274,16,190,opel
40,69,51,147,252,1,200,opel
43,96,35,217,534,6,197,opel
50,98,34,214,567,5,204,opel
52,96,35,206,530,11,200,opel
55,103,31,229,673,5,196,opel
58,109,30,234,752,0,198,opel
45,73,42,182,379,11,201,opel
35,66,45,169,322,1,203,opel
37,76,41,189,391,0,192,opel
58,103,30,231,716,7,196,opel
38,63,52,145,247,13,187,opel
55,101,30,228,737,11,196,opel
44,71,48,159,296,7,197,opel
50,83,37,207,481,1,194,opel
48,101,33,215,595,8,202,opel
42,96,37,199,474,1,200,opel
47,83,40,197,417,12,192,opel
49,103,33,215,601,4,196,opel
45,77,44,181,350,15,189,opel
37,78,41,182,389,2,211,opel
35,78,45,172,331,2,198,opel
49,96,36,197,494,19,209,opel
56,98,31,225,696,2,199,opel
46,100,34,207,557,5,202,opel
36,78,42,182,367,1,198,opel
39,84,43,185,358,0,190,opel
44,80,40,189,396,13,199,opel
55,96,30,231,713,4,194,opel
34,42,59,131,191,4,183,opel
49,86,37,203,473,7,198,opel
55,105,30,228,709,14,197,opel
43,78,44,182,342,15,197,opel
40,80,47,172,311,8,193,opel
52,98,31,228,682,0,196,opel
38,85,40,186,402,1,205,opel
36,72,54,144,233,3,194,opel
35,50,59,132,192,21,187,opel
44,77,44,174,345,9,192,opel
46,101,35,208,546,1,200,opel
35,72,44,169,334,5,210,opel
36,77,42,174,367,5,205,opel
37,74,41,178,394,6,204,opel
56,105,32,217,648,13,196,opel
48,83,39,195,438,15,201,opel
37,80,44,179,348,6,197,opel
52,101,33,214,616,0,203,opel
38,75,46,167,315,16,187,opel
41,75,46,170,317,18,188,opel
38,66,54,144,232,4,190,opel
41,83,38,199,455,7,206,opel
48,105,33,212,602,2,202,opel
45,100,32,231,611,5,195,opel
39,88,40,199,416,3,192,opel
55,100,31,217,666,10,194,opel
54,105,33,214,597,10,198,opel
53,98,31,228,693,11,198,opel
46,101,34,219,574,5,194,opel
38,72,51,145,261,1,198,opel
