@relation automobile

@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Length numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Engine-size numeric
@attribute Bore numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
hatchback,157.3,50.6,1967,90,2.97,1
sedan,168.7,52.6,2265,98,3.24,1
hatchback,157.3,50.8,1918,90,2.97,1
sedan,192.7,55.7,2844,136,3.19,1
hatchback,157.3,50.8,1876,90,2.97,1
sedan,172.4,51.6,2405,122,3.35,1
hatchback,158.7,54.5,2015,92,3.05,1
sedan,165.3,54.5,1951,97,3.15,1
sedan,172.4,51.6,2403,110,3.17,1
hatchback,157.3,50.8,2128,98,3.03,1
hatchback,157.3,50.8,1876,90,2.97,1
hatchback,177.8,53.7,2385,122,3.39,1
hatchback,159.1,54.1,1905,91,3.03,1
sedan,192.7,55.9,3086,131,3.13,1
hatchback,177.8,53.7,2385,122,3.39,1
sedan,166.8,54.1,1950,91,3.08,1
sedan,165.3,54.5,1918,97,3.15,1
wagon,170.2,53.5,2024,97,3.15,1
sedan,172.4,51.6,2365,122,3.35,1
hatchback,150,52.6,1956,92,2.91,1
wagon,170.2,53.5,2037,97,3.15,1
hatchback,165.6,53.3,2028,97,3.15,1
sedan,157.3,50.6,1989,90,2.97,1
hatchback,159.1,54.1,1900,91,3.03,1
sedan,167.3,50.8,1989,90,2.97,1
hatchback,158.7,54.5,2040,92,3.05,1
sedan,168.7,52.6,2169,98,3.19,1
hatchback,178.5,49.7,3139,181,3.43,1
hatchback,159.1,54.1,1890,91,3.03,1
hatchback,168.7,52.6,2204,98,3.19,1
hatchback,158.7,54.5,1985,92,3.05,1
hatchback,157.3,50.8,2128,98,3.03,1
hatchback,157.3,50.6,1967,90,2.97,1
hatchback,141.1,53.2,1488,61,2.91,2
hatchback,156.9,53.7,2050,97,3.62,2
sedan,171.7,55.7,2209,109,3.19,2
hatchback,144.6,50.8,1819,92,2.91,2
sedan,171.7,55.7,2264,97,3.01,2
hardtop,176.2,52,2540,146,3.62,2
hatchback,157.3,55.7,2240,108,3.62,2
sedan,171.7,55.7,2212,109,3.19,2
sedan,171.7,55.7,2300,109,3.19,2
sedan,176.6,54.3,2824,136,3.19,2
hatchback,157.9,53.7,2120,108,3.62,2
convertible,176.2,53,2975,146,3.62,2
hatchback,144.6,50.8,1713,92,2.91,2
sedan,176.6,54.3,2337,109,3.19,2
hardtop,176.2,52,2679,146,3.62,2
sedan,171.7,55.7,2275,109,3.19,2
sedan,171.7,55.7,2261,97,3.01,2
hatchback,157.3,50.8,1918,92,2.97,2
sedan,171.7,55.7,2319,97,3.01,2
hatchback,176.2,52,2551,146,3.62,2
sedan,186.6,56.1,2695,121,3.54,2
hatchback,157.3,50.8,1944,92,2.97,2
hatchback,157.3,50.8,2004,92,2.97,2
hardtop,176.2,52,2536,146,3.62,2
hardtop,162.4,53.3,2008,97,3.15,2
sedan,186.6,56.1,2847,121,3.54,2
hatchback,186.6,56.1,2658,121,3.54,3
convertible,180.3,50.8,3685,234,3.46,3
hatchback,183.5,52,2976,171,3.27,3
hatchback,170.7,49.7,3071,181,3.43,3
hatchback,168.9,50.2,2778,151,3.94,3
hatchback,173.2,50.2,2811,156,3.6,3
hatchback,173,49.4,2328,122,3.35,3
hatchback,183.5,52,3016,171,3.27,3
hatchback,170.7,49.7,3139,181,3.43,3
hatchback,173,49.4,2370,110,3.17,3
hatchback,165.7,51.4,2221,109,3.19,3
