@relation automobile

@attribute Normalized-losses numeric
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Engine-location {front,rear}
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Engine-size numeric
@attribute Bore numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
192,sedan,front,2395,ohc,108,3.5,16430,2
168,hardtop,front,2008,ohc,97,3.15,8249,2
121,hatchback,front,1488,l,61,2.91,5151,2
83,hatchback,front,2120,ohcf,108,3.62,7053,2
134,convertible,front,2975,ohc,146,3.62,17669,2
122,sedan,front,2209,ohc,109,3.19,7975,2
164,sedan,front,2337,ohc,109,3.19,13950,2
104,sedan,front,2758,ohc,121,3.54,15510,2
83,hatchback,front,2050,ohcf,97,3.62,5118,2
134,hardtop,front,2679,ohc,146,3.62,11199,2
94,sedan,front,2275,ohc,109,3.19,8495,2
134,hardtop,front,2536,ohc,146,3.62,9639,2
104,sedan,front,2847,dohc,121,3.54,18620,2
137,hatchback,front,1713,ohc,92,2.91,6479,2
94,sedan,front,2319,ohc,97,3.01,9495,2
137,hatchback,front,1819,ohc,92,2.91,6855,2
164,sedan,front,2824,ohc,136,3.19,17450,2
94,sedan,front,2300,ohc,109,3.19,9995,2
161,hatchback,front,2004,ohc,92,2.97,6669,2
161,hatchback,front,1918,ohc,92,2.97,5389,2
122,sedan,front,2261,ohc,97,3.01,7775,2
194,hatchback,front,3139,ohcv,181,3.43,19699,3
197,hatchback,front,3016,dohc,171,3.27,15998,3
153,hatchback,front,2370,ohc,110,3.17,9959,3
150,hatchback,front,2707,ohc,121,2.54,15040,3
150,hatchback,front,2808,dohc,121,3.54,18150,3
256,hatchback,front,2221,ohc,109,3.19,9980,3
145,hatchback,front,2811,ohc,156,3.6,12964,3
186,hatchback,front,2778,ohc,151,3.94,22018,3
153,hatchback,front,2328,ohc,122,3.35,8499,3
142,convertible,front,3685,ohcv,234,3.46,35056,3
197,hatchback,front,2976,dohc,171,3.27,16558,3
