@relation automobile

@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Width numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Bore numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
fwd,64.4,ohc,four,3.27,7788,0
rwd,64.8,ohc,six,3.31,21105,0
rwd,64.8,ohc,four,3.5,16925,0
4wd,65.4,ohcf,four,3.62,9233,0
rwd,66.1,ohc,four,3.76,18280,0
fwd,65.2,ohc,four,3.15,8845,0
fwd,63.8,ohc,four,3.15,6649,1
fwd,63.8,ohc,four,2.97,6229,1
fwd,63.6,ohc,four,3.03,6295,1
fwd,63.8,ohc,four,2.97,7609,1
fwd,63.8,ohc,four,3.03,7957,1
fwd,63.8,ohc,four,2.99,7099,1
fwd,63.8,ohc,four,3.03,7957,1
fwd,64.2,ohc,four,3.03,6095,1
fwd,63.8,ohc,four,3.03,7689,1
fwd,64.2,ohc,four,3.03,5195,1
fwd,66.5,ohc,four,3.39,8845,1
fwd,65.4,ohc,four,3.35,6989,1
fwd,64.2,ohc,four,3.03,6695,1
rwd,67.9,ohcv,six,3.43,18399,1
fwd,63.6,ohc,four,3.05,5348,1
fwd,63.8,ohc,four,2.97,5572,1
fwd,64,ohc,four,2.91,5399,1
fwd,64.2,ohc,four,3.03,6795,1
fwd,63.8,ohc,four,3.15,7299,1
fwd,63.8,ohc,four,2.97,6377,1
fwd,71.4,ohc,five,3.13,23875,1
fwd,65.4,ohc,four,3.35,8189,1
fwd,66.5,ohc,four,3.39,10595,1
fwd,64.2,ohc,four,3.08,7395,1
fwd,64,ohc,four,2.91,6529,1
rwd,64,dohc,four,3.24,9538,1
fwd,66,ohc,four,3.15,10345,1
fwd,63.8,ohc,four,2.97,7609,1
rwd,64,dohc,four,3.24,9298,1
fwd,71.4,ohc,five,3.19,17710,1
fwd,63.8,ohc,four,3.15,7499,1
fwd,63.8,ohc,four,2.97,5572,1
rwd,64,ohc,four,3.19,8058,1
fwd,63.8,ohc,four,3.15,7799,1
fwd,63.8,ohc,four,2.97,6692,1
fwd,63.6,ohc,four,3.05,6338,1
fwd,63.8,ohc,four,2.97,6692,1
rwd,64,ohc,four,3.19,8238,1
fwd,63.8,ohc,four,3.15,7349,1
fwd,63.8,ohc,four,3.15,6849,1
fwd,64,ohc,four,2.91,7129,1
fwd,63.8,ohc,four,2.97,6229,1
fwd,63.6,ohc,four,3.05,6488,1
rwd,65.6,ohc,four,3.62,8449,2
fwd,63.9,ohc,four,2.91,6855,2
fwd,66.5,ohc,four,3.54,15510,2
fwd,65.5,ohc,four,3.19,7975,2
fwd,65.5,ohc,four,3.01,9495,2
rwd,65.6,ohc,four,3.62,9989,2
fwd,66.5,dohc,four,3.54,18620,2
4wd,66.4,ohc,five,3.19,17450,2
rwd,65.6,ohc,four,3.62,17669,2
fwd,63.4,ohcf,four,3.62,5118,2
fwd,65.5,ohc,four,3.01,7995,2
fwd,64.4,ohc,four,2.97,5389,2
fwd,64.4,ohc,four,2.97,6189,2
rwd,65.6,ohc,four,3.62,9639,2
rwd,64.8,ohc,four,3.5,16430,2
fwd,65.5,ohc,four,3.19,8495,2
fwd,66.5,ohc,four,3.54,12170,2
fwd,60.3,l,three,2.91,5151,2
4wd,63.8,ohcf,four,3.62,7603,2
fwd,65.5,ohc,four,3.19,9995,2
fwd,63.8,ohc,four,3.15,8249,2
fwd,63.6,ohcf,four,3.62,7053,2
fwd,65.5,ohc,four,3.01,7775,2
fwd,65.5,ohc,four,3.19,8195,2
fwd,64.4,ohc,four,2.97,6669,2
rwd,65.6,ohc,four,3.62,11549,2
fwd,65.4,ohc,four,3.17,9959,3
rwd,67.9,ohcv,six,3.43,19699,3
fwd,66.5,ohc,four,3.54,11850,3
rwd,70.5,ohcv,eight,3.46,35056,3
rwd,68.3,ohc,four,3.94,22018,3
fwd,64,ohc,four,3.19,9980,3
rwd,67.9,ohcv,six,3.43,17199,3
fwd,65.4,ohc,four,3.35,8499,3
fwd,66.3,ohc,four,3.6,12964,3
fwd,66.5,ohc,four,2.54,15040,3
fwd,66.5,dohc,four,3.54,18150,3
rwd,67.7,dohc,six,3.27,15998,3
