@relation automobile

@attribute Normalized-losses numeric
@attribute Aspiration {std,turbo}
@attribute Width numeric
@attribute Height numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Bore numeric
@attribute Horsepower numeric
@attribute City-mpg numeric
@attribute Highway-mpg numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
154,std,63.8,50.6,ohc,2.97,68,31,38,6229,1
125,std,65.4,51.6,ohc,3.35,88,25,32,8189,1
103,std,63.8,53.5,ohc,3.15,69,31,37,7349,1
87,std,63.6,54.5,ohc,3.05,62,35,39,5348,1
125,turbo,65.4,51.6,ohc,3.17,116,23,30,9279,1
128,std,63.8,54.5,ohc,3.15,69,31,37,6649,1
129,std,66.5,53.7,ohc,3.39,84,26,32,8845,1
107,std,66,51,ohc,3.15,100,25,31,10345,1
128,std,63.8,54.5,ohc,3.15,69,31,37,5499,1
158,std,71.4,55.7,ohc,3.19,110,19,25,17710,1
129,std,66.5,53.7,ohc,3.39,84,26,32,10595,1
231,std,67.9,49.7,ohcv,3.43,160,19,25,18399,1
128,std,63.8,53.3,ohc,3.15,69,31,37,7799,1
168,std,64,52.6,dohc,3.24,112,26,29,9538,1
104,std,66.5,56.1,ohc,3.54,110,21,28,15510,2
137,std,63.9,50.8,ohc,2.91,58,49,54,6479,2
161,std,64.4,50.8,ohc,2.97,68,37,41,5389,2
83,std,63.8,55.7,ohcf,3.62,73,26,31,7603,2
94,std,65.5,55.7,ohc,3.19,85,27,34,8195,2
122,std,65.5,55.7,ohc,3.19,85,27,34,7975,2
134,std,65.6,52,ohc,3.62,116,24,30,11549,2
121,std,60.3,53.2,l,2.91,48,47,53,5151,2
83,std,63.6,53.7,ohcf,3.62,73,26,31,7053,2
164,std,66.2,54.3,ohc,3.19,102,24,30,13950,2
164,std,66.4,54.3,ohc,3.19,115,18,22,17450,2
83,std,63.4,53.7,ohcf,3.62,69,31,36,5118,2
104,turbo,66.5,56.1,dohc,3.54,160,19,26,18620,2
104,std,66.5,56.1,ohc,3.54,110,21,28,12170,2
122,std,65.5,55.7,ohc,3.01,52,37,46,7775,2
192,std,64.8,54.3,ohc,3.5,101,23,29,16430,2
134,std,65.6,52,ohc,3.62,116,24,30,9989,2
134,std,65.6,52,ohc,3.62,116,24,30,8449,2
94,turbo,65.5,55.7,ohc,3.01,68,37,42,9495,2
94,std,65.5,55.7,ohc,3.19,100,26,32,9995,2
168,std,63.8,53.3,ohc,3.15,69,31,37,8249,2
137,std,63.9,50.8,ohc,2.91,76,31,38,6855,2
94,std,65.5,55.7,ohc,3.19,85,27,34,8495,2
134,std,65.6,52,ohc,3.62,116,24,30,11199,2
94,std,65.5,55.7,ohc,3.01,52,37,46,7995,2
134,std,65.6,53,ohc,3.62,116,24,30,17669,2
161,std,64.4,50.8,ohc,2.97,68,31,38,6669,2
150,turbo,66.5,56.1,dohc,3.54,160,19,26,18150,3
197,std,67.7,52,dohc,3.27,161,20,24,16558,3
150,std,66.5,56.1,ohc,3.54,110,21,28,11850,3
197,std,67.7,52,dohc,3.27,161,19,24,15998,3
186,std,68.3,50.2,ohc,3.94,143,19,27,22018,3
145,turbo,66.3,50.2,ohc,3.6,145,19,24,12964,3
150,std,66.5,56.1,ohc,2.54,110,21,28,15040,3
142,std,70.5,50.8,ohcv,3.46,155,16,18,35056,3
256,std,64,51.4,ohc,3.19,90,24,29,9980,3
194,std,67.9,49.7,ohcv,3.43,160,19,25,17199,3
153,turbo,65.4,49.4,ohc,3.17,116,23,30,9959,3
194,turbo,67.9,49.7,ohcv,3.43,200,17,23,19699,3
153,std,65.4,49.4,ohc,3.35,88,25,32,8499,3
