@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Length numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Bore numeric
@attribute Peak-rpm numeric
@attribute City-mpg numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
honda,150,1bbl,2.91,6000,30,7129,1
plymouth,157.3,2bbl,2.97,5500,31,6229,1
toyota,168.7,2bbl,3.19,4800,29,8058,1
honda,169.1,2bbl,3.15,5500,25,10345,1
plymouth,167.3,2bbl,2.97,5500,31,6692,1
dodge,157.3,2bbl,2.97,5500,37,5572,1
nissan,178.5,mpfi,3.43,5200,19,18399,1
mitsubishi,157.3,spdi,3.03,5500,24,7689,1
dodge,157.3,2bbl,2.97,5500,31,6377,1
volkswagen,171.7,mpfi,3.19,5250,27,8195,2
volkswagen,171.7,mpfi,3.19,5250,27,8495,2
mitsubishi,157.3,2bbl,2.97,5500,37,5389,2
audi,176.6,mpfi,3.19,5500,24,13950,2
toyota,176.2,mpfi,3.62,4800,24,9639,2
saab,186.6,mpfi,3.54,5250,21,15510,2
chevrolet,141.1,2bbl,2.91,5100,47,5151,2
saab,186.6,mpfi,3.54,5250,21,12170,2
honda,144.6,1bbl,2.91,4800,49,6479,2
volkswagen,171.7,idi,3.01,4500,37,9495,2
toyota,176.2,mpfi,3.62,4800,24,17669,2
toyota,176.2,mpfi,3.62,4800,24,9989,2
volkswagen,171.7,mpfi,3.19,5500,26,9995,2
volkswagen,171.7,idi,3.01,4800,37,7775,2
subaru,157.3,2bbl,3.62,4400,26,7603,2
audi,176.6,mpfi,3.19,5500,18,17450,2
saab,186.6,mpfi,3.54,5500,19,18620,2
volkswagen,171.7,idi,3.01,4800,37,7995,2
toyota,176.2,mpfi,3.62,4800,24,11199,2
bmw,176.8,mpfi,3.5,5800,23,16430,2
mitsubishi,157.3,2bbl,2.97,5500,31,6669,2
toyota,176.2,mpfi,3.62,4800,24,11549,2
subaru,156.9,2bbl,3.62,4900,31,5118,2
nissan,162.4,2bbl,3.15,5200,31,8249,2
mitsubishi,157.3,2bbl,2.97,5500,31,6189,2
toyota,176.2,mpfi,3.62,4800,24,8449,2
mitsubishi,173,2bbl,3.35,5000,25,8499,3
saab,186.6,mpfi,3.54,5500,19,18150,3
mercedes-benz,180.3,mpfi,3.46,4750,16,35056,3
nissan,170.7,mpfi,3.43,5200,17,19699,3
nissan,170.7,mpfi,3.43,5200,19,17199,3
saab,186.6,mpfi,3.54,5250,21,11850,3
dodge,173.2,mfi,3.6,5000,19,12964,3
porsche,168.9,mpfi,3.94,5500,19,22018,3
toyota,183.5,mpfi,3.27,5200,20,16558,3
saab,186.6,mpfi,2.54,5250,21,15040,3
volkswagen,165.7,mpfi,3.19,5500,24,9980,3
toyota,183.5,mpfi,3.27,5200,19,15998,3
