@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Fuel-type {diesel,gas}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Engine-location {front,rear}
@attribute Width numeric
@attribute Height numeric
@attribute City-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
134,toyota,gas,hardtop,rwd,front,65.6,52,24,2
94,volkswagen,gas,sedan,fwd,front,65.5,55.7,27,2
161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,31,2
104,saab,gas,sedan,fwd,front,66.5,56.1,21,2
94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,37,2
137,honda,gas,hatchback,fwd,front,63.9,50.8,31,2
161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,37,2
168,nissan,gas,hardtop,fwd,front,63.8,53.3,31,2
192,bmw,gas,sedan,rwd,front,64.8,54.3,23,2
194,nissan,gas,hatchback,rwd,front,67.9,49.7,17,3
153,mitsubishi,gas,hatchback,fwd,front,65.4,49.4,25,3
194,nissan,gas,hatchback,rwd,front,67.9,49.7,19,3
186,porsche,gas,hatchback,rwd,front,68.3,50.2,19,3
150,saab,gas,hatchback,fwd,front,66.5,56.1,21,3
150,saab,gas,hatchback,fwd,front,66.5,56.1,21,3
197,toyota,gas,hatchback,rwd,front,67.7,52,20,3
145,dodge,gas,hatchback,fwd,front,66.3,50.2,19,3
153,mitsubishi,gas,hatchback,fwd,front,65.4,49.4,23,3
197,toyota,gas,hatchback,rwd,front,67.7,52,19,3
150,saab,gas,hatchback,fwd,front,66.5,56.1,19,3
