@relation automobile

@attribute Num-of-doors {four,two}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Compression-ratio numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
two,rwd,94.5,168.7,2169,ohc,2bbl,9,1
four,fwd,95.7,158.7,2015,ohc,2bbl,9,1
four,fwd,94.5,165.3,1938,ohc,2bbl,9.4,1
two,fwd,93.1,159.1,1905,ohc,2bbl,9,1
two,fwd,94.5,165.3,1889,ohc,2bbl,9.4,1
four,fwd,94.5,165.3,1971,ohc,2bbl,9.4,1
two,fwd,94.5,165.3,1918,ohc,2bbl,9.4,1
two,fwd,93.7,157.3,2128,ohc,mpfi,7.6,1
four,fwd,94.5,170.2,2024,ohc,2bbl,9.4,1
two,fwd,94.5,165.6,2028,ohc,2bbl,9.4,1
two,fwd,93.7,157.3,1918,ohc,2bbl,9.4,1
four,fwd,97.3,171.7,2300,ohc,mpfi,10,2
two,rwd,98.4,176.2,2540,ohc,mpfi,9.3,2
four,fwd,97.3,171.7,2319,ohc,idi,23,2
two,rwd,98.4,176.2,2714,ohc,mpfi,9.3,2
two,rwd,98.4,176.2,2679,ohc,mpfi,9.3,2
two,4wd,93.3,157.3,2240,ohcf,2bbl,8.7,2
two,fwd,93.7,157.9,2120,ohcf,2bbl,8.7,2
four,fwd,97.3,171.7,2275,ohc,mpfi,9,2
two,fwd,97.3,171.7,2261,ohc,idi,23,2
two,rwd,101.2,176.8,2395,ohc,mpfi,8.8,2
four,fwd,97.3,171.7,2264,ohc,idi,23,2
two,fwd,97.3,171.7,2209,ohc,mpfi,9,2
two,fwd,93.7,157.3,2004,ohc,2bbl,9.4,2
two,fwd,93.7,156.9,2050,ohcf,2bbl,9,2
two,fwd,93.7,157.3,1918,ohc,2bbl,9.4,2
four,fwd,99.1,186.6,2695,ohc,mpfi,9.3,2
four,fwd,99.8,176.6,2337,ohc,mpfi,10,2
two,fwd,93.7,157.3,1944,ohc,2bbl,9.4,2
four,fwd,97.3,171.7,2212,ohc,mpfi,9,2
four,fwd,99.1,186.6,2758,ohc,mpfi,9.3,2
four,4wd,99.4,176.6,2824,ohc,mpfi,8,2
two,fwd,86.6,144.6,1713,ohc,1bbl,9.6,2
two,rwd,98.4,176.2,2975,ohc,mpfi,9.3,2
two,fwd,86.6,144.6,1819,ohc,1bbl,9.2,2
two,fwd,95.1,162.4,2008,ohc,2bbl,9.4,2
two,rwd,98.4,176.2,2536,ohc,mpfi,9.3,2
two,fwd,96.3,173,2328,ohc,2bbl,8.5,3
two,rwd,91.3,170.7,3071,ohcv,mpfi,9,3
two,rwd,94.5,168.9,2778,ohc,mpfi,9.5,3
two,fwd,96.3,173,2370,ohc,spdi,7.5,3
two,rwd,91.3,170.7,3139,ohcv,mpfi,7.8,3
two,fwd,99.1,186.6,2707,ohc,mpfi,9.3,3
two,rwd,102.9,183.5,2976,dohc,mpfi,9.3,3
two,fwd,99.1,186.6,2808,dohc,mpfi,9,3
two,fwd,99.1,186.6,2658,ohc,mpfi,9.31,3
two,fwd,95.9,173.2,2811,ohc,mfi,7,3
two,rwd,102.9,183.5,3016,dohc,mpfi,9.3,3
