@relation automobile

@attribute Fuel-type {diesel,gas}
@attribute Aspiration {std,turbo}
@attribute Engine-location {front,rear}
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute City-mpg numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
gas,std,front,96.3,172.4,51.6,2365,ohc,8.5,5000,25,32,1
gas,std,front,93.7,157.3,50.8,1876,ohc,9.4,5500,31,38,1
gas,std,front,93.7,157.3,50.6,1967,ohc,9.4,5500,31,38,1
gas,std,front,93.7,157.3,50.6,1989,ohc,9.4,5500,31,38,1
gas,std,front,96.3,172.4,51.6,2405,ohc,8.5,5000,25,32,1
gas,std,front,93.7,167.3,50.8,1989,ohc,9.4,5500,31,38,1
gas,std,front,93.7,167.3,50.8,2191,ohc,9.4,5500,31,38,1
gas,turbo,front,93.7,157.3,50.8,2128,ohc,7.6,5500,24,30,1
gas,std,front,95.1,162.4,53.3,2008,ohc,9.4,5200,31,37,2
gas,std,front,98.4,176.2,53,2975,ohc,9.3,4800,24,30,2
gas,std,front,97.3,171.7,55.7,2275,ohc,9,5250,27,34,2
gas,std,front,86.6,144.6,50.8,1713,ohc,9.6,4800,49,54,2
gas,std,front,99.1,186.6,56.1,2758,ohc,9.3,5250,21,28,2
gas,std,front,97.3,171.7,55.7,2212,ohc,9,5250,27,34,2
gas,std,front,88.4,141.1,53.2,1488,l,9.5,5100,47,53,2
gas,std,front,98.4,176.2,52,2679,ohc,9.3,4800,24,30,2
gas,std,front,101.2,176.8,54.3,2395,ohc,8.8,5800,23,29,2
gas,std,front,93.7,157.3,50.8,2004,ohc,9.4,5500,31,38,2
gas,std,front,98.4,176.2,52,2540,ohc,9.3,4800,24,30,2
gas,std,front,98.4,176.2,52,2714,ohc,9.3,4800,24,30,2
gas,std,front,93.3,157.3,55.7,2240,ohcf,8.7,4400,26,31,2
gas,std,front,99.4,176.6,54.3,2824,ohc,8,5500,18,22,2
gas,std,front,93.7,157.3,50.8,1944,ohc,9.4,5500,31,38,2
diesel,turbo,front,97.3,171.7,55.7,2319,ohc,23,4500,37,42,2
gas,std,front,93.7,157.3,50.8,1918,ohc,9.4,5500,37,41,2
gas,std,front,99.8,176.6,54.3,2337,ohc,10,5500,24,30,2
diesel,std,front,97.3,171.7,55.7,2264,ohc,23,4800,37,46,2
gas,turbo,front,99.1,186.6,56.1,2847,dohc,9,5500,19,26,2
diesel,std,front,97.3,171.7,55.7,2261,ohc,23,4800,37,46,2
gas,std,front,99.1,186.6,56.1,2695,ohc,9.3,5250,21,28,2
gas,std,front,97.3,171.7,55.7,2300,ohc,10,5500,26,32,2
gas,std,front,98.4,176.2,52,2536,ohc,9.3,4800,24,30,2
gas,std,front,98.4,176.2,52,2551,ohc,9.3,4800,24,30,2
gas,std,front,93.7,156.9,53.7,2050,ohcf,9,4900,31,36,2
gas,std,front,102.9,183.5,52,3016,dohc,9.3,5200,19,24,3
gas,turbo,front,95.9,173.2,50.2,2811,ohc,7,5000,19,24,3
gas,std,front,102.9,183.5,52,2976,dohc,9.3,5200,20,24,3
gas,turbo,front,99.1,186.6,56.1,2808,dohc,9,5500,19,26,3
gas,std,front,96.3,173,49.4,2328,ohc,8.5,5000,25,32,3
gas,std,front,96.6,180.3,50.8,3685,ohcv,8.3,4750,16,18,3
gas,std,front,94.5,165.7,51.4,2221,ohc,8.5,5500,24,29,3
gas,std,front,99.1,186.6,56.1,2707,ohc,9.3,5250,21,28,3
gas,std,front,99.1,186.6,56.1,2658,ohc,9.31,5250,21,28,3
gas,std,front,91.3,170.7,49.7,3071,ohcv,9,5200,19,25,3
gas,turbo,front,91.3,170.7,49.7,3139,ohcv,7.8,5200,17,23,3
gas,std,front,94.5,168.9,50.2,2778,ohc,9.5,5500,19,27,3
