@relation automobile

@attribute Normalized-losses numeric
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Engine-location {front,rear}
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Curb-weight numeric
@attribute Engine-size numeric
@attribute Compression-ratio numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
122,sedan,front,94.5,165.3,1938,97,9.4,1
128,sedan,front,94.5,165.3,1889,97,9.4,1
118,hatchback,front,93.7,157.3,1876,90,9.41,1
129,hatchback,front,98.8,177.8,2385,122,8.6,1
168,sedan,front,94.5,168.7,2169,98,9,1
125,sedan,front,96.3,172.4,2403,110,7.5,1
104,hatchback,front,93.1,159.1,1905,91,9,1
103,wagon,front,94.5,170.2,2037,97,9.4,1
113,sedan,front,93.1,166.8,1945,91,9,1
118,hatchback,front,93.7,157.3,1876,90,9.4,1
158,sedan,front,105.8,192.7,3086,131,8.3,1
128,hatchback,front,94.5,165.6,2028,97,9.4,1
168,sedan,front,94.5,168.7,2265,98,9.4,1
107,sedan,front,96.5,169.1,2293,110,9.1,1
137,hatchback,front,86.6,144.6,1819,92,9.2,2
94,sedan,front,97.3,171.7,2212,109,9,2
134,hardtop,front,98.4,176.2,2540,146,9.3,2
83,hatchback,front,93.7,157.9,2120,108,8.7,2
192,sedan,front,101.2,176.8,2395,108,8.8,2
121,hatchback,front,88.4,141.1,1488,61,9.5,2
104,sedan,front,99.1,186.6,2695,121,9.3,2
161,hatchback,front,93.7,157.3,1944,92,9.4,2
134,hatchback,front,98.4,176.2,2551,146,9.3,2
104,sedan,front,99.1,186.6,2758,121,9.3,2
94,sedan,front,97.3,171.7,2264,97,23,2
168,hardtop,front,95.1,162.4,2008,97,9.4,2
134,convertible,front,98.4,176.2,2975,146,9.3,2
134,hatchback,front,98.4,176.2,2714,146,9.3,2
122,sedan,front,97.3,171.7,2261,97,23,2
134,hardtop,front,98.4,176.2,2536,146,9.3,2
134,hardtop,front,98.4,176.2,2679,146,9.3,2
94,sedan,front,97.3,171.7,2319,97,23,2
104,sedan,front,99.1,186.6,2847,121,9,2
83,hatchback,front,93.7,156.9,2050,97,9,2
122,sedan,front,97.3,171.7,2209,109,9,2
83,hatchback,front,93.3,157.3,2240,108,8.7,2
161,hatchback,front,93.7,157.3,1918,92,9.4,2
137,hatchback,front,86.6,144.6,1713,92,9.6,2
164,sedan,front,99.8,176.6,2337,109,10,2
94,sedan,front,97.3,171.7,2275,109,9,2
153,hatchback,front,96.3,173,2370,110,7.5,3
194,hatchback,front,91.3,170.7,3071,181,9,3
150,hatchback,front,99.1,186.6,2808,121,9,3
197,hatchback,front,102.9,183.5,3016,171,9.3,3
197,hatchback,front,102.9,183.5,2976,171,9.3,3
150,hatchback,front,99.1,186.6,2707,121,9.3,3
142,convertible,front,96.6,180.3,3685,234,8.3,3
256,hatchback,front,94.5,165.7,2221,109,8.5,3
194,hatchback,front,91.3,170.7,3139,181,7.8,3
150,hatchback,front,99.1,186.6,2658,121,9.31,3
145,hatchback,front,95.9,173.2,2811,156,7,3
