@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute ResidenceSince numeric
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A14,A40,3,A151,1
A14,A40,4,A152,1
A13,A40,4,A152,1
A11,A42,1,A153,1
A12,A43,2,A152,1
A14,A40,1,A151,1
A14,A43,4,A152,1
A12,A42,4,A151,1
A12,A43,3,A152,1
A11,A43,4,A151,1
A12,A45,2,A152,1
A13,A43,1,A152,1
A12,A40,4,A151,1
A14,A46,3,A152,1
A11,A41,4,A151,1
A14,A40,2,A152,1
A12,A49,3,A152,1
A11,A40,4,A151,1
A14,A44,4,A151,1
A12,A41,4,A152,1
A14,A41,3,A152,1
A11,A40,3,A152,1
A14,A40,4,A153,1
A14,A46,4,A151,1
A11,A49,4,A152,1
A12,A40,1,A152,1
A14,A43,1,A152,1
A13,A40,1,A152,1
A13,A43,1,A152,1
A11,A42,2,A152,1
A12,A43,2,A151,1
A14,A41,4,A151,1
A12,A42,2,A152,1
A12,A42,4,A153,1
A12,A48,3,A152,1
A14,A42,3,A152,1
A11,A42,2,A152,1
A12,A40,3,A153,1
A11,A43,4,A152,1
A14,A49,4,A152,1
A14,A43,2,A152,1
A14,A40,4,A152,1
A14,A41,3,A152,1
A14,A46,2,A152,1
A14,A40,4,A152,1
A14,A41,4,A152,1
A14,A43,1,A152,1
A12,A49,4,A152,1
A14,A41,4,A151,1
A12,A43,4,A152,1
A14,A43,2,A152,1
A12,A43,3,A152,1
A11,A42,1,A151,1
A14,A40,2,A152,1
A14,A43,4,A152,1
A12,A49,4,A153,1
A14,A41,2,A152,1
A12,A44,2,A152,1
A14,A43,2,A152,1
A14,A42,3,A152,1
A14,A42,4,A151,1
A11,A42,1,A152,1
A14,A42,1,A152,1
A14,A43,2,A152,1
A12,A49,1,A152,1
A14,A40,2,A151,1
A14,A43,3,A152,1
A14,A42,4,A153,1
A11,A42,4,A151,1
A11,A42,4,A152,1
A11,A40,1,A152,1
A12,A40,4,A152,1
A13,A46,4,A152,1
A12,A43,1,A152,1
A12,A46,4,A152,1
A14,A40,3,A152,1
A14,A48,3,A152,1
A12,A43,2,A152,1
A11,A42,4,A152,1
A12,A40,4,A153,1
A14,A43,4,A152,1
A14,A43,2,A152,1
A12,A42,4,A152,1
A12,A43,4,A152,1
A11,A42,3,A151,1
A14,A41,4,A152,1
A11,A43,1,A152,1
A14,A46,4,A153,1
A14,A40,4,A152,1
A12,A43,4,A152,1
A14,A45,4,A153,1
A14,A43,4,A152,1
A14,A40,4,A152,1
A14,A40,4,A152,1
A14,A40,3,A152,1
A13,A40,4,A152,1
A11,A42,4,A152,1
A14,A44,4,A152,1
A11,A41,4,A153,1
A14,A43,4,A152,1
A14,A43,3,A152,1
A11,A43,4,A152,1
A12,A43,4,A152,1
A12,A41,2,A152,1
A11,A40,4,A153,1
A14,A43,2,A152,1
A14,A43,2,A152,1
A11,A42,2,A152,1
A11,A41,4,A152,1
A14,A46,2,A152,1
A13,A43,2,A152,1
A14,A43,2,A151,1
A13,A42,1,A152,1
A14,A40,2,A152,1
A12,A42,4,A152,1
A11,A41,1,A153,1
A14,A42,4,A152,1
A12,A43,2,A152,1
A14,A42,4,A152,1
A11,A43,4,A152,1
A14,A42,4,A152,1
A12,A43,1,A152,1
A14,A43,4,A152,1
A14,A42,3,A152,1
A12,A41,4,A152,1
A14,A45,4,A151,1
A14,A45,4,A152,1
A11,A49,3,A152,1
A14,A43,2,A151,1
A14,A42,4,A151,1
A14,A40,3,A152,1
A14,A41,4,A152,1
A14,A40,4,A152,1
A14,A42,4,A152,1
A14,A43,2,A152,1
A14,A41,2,A152,1
A14,A49,2,A152,1
A13,A43,4,A152,1
A14,A41,4,A153,1
A14,A41,4,A152,1
A12,A40,2,A152,1
A14,A41,2,A152,1
A14,A48,3,A152,1
A11,A40,3,A152,1
A14,A43,2,A152,1
A12,A43,1,A152,1
A14,A43,4,A153,1
A11,A40,3,A152,1
A13,A43,2,A153,1
A14,A43,1,A152,1
A12,A43,4,A151,1
A14,A40,4,A152,1
A11,A40,2,A151,1
A12,A41,2,A153,1
A14,A48,3,A152,1
A12,A40,2,A152,1
A14,A42,4,A152,1
A12,A49,1,A152,1
A14,A43,2,A152,1
A13,A42,2,A152,1
A14,A40,4,A152,1
A14,A41,4,A153,1
A14,A43,3,A152,1
A11,A42,4,A152,1
A12,A42,4,A151,1
A14,A44,3,A152,1
A14,A49,2,A152,1
A14,A40,3,A152,1
A14,A43,2,A152,1
A11,A43,2,A152,1
A13,A43,2,A152,1
A12,A43,1,A152,1
A13,A43,3,A151,1
A11,A40,3,A152,1
A14,A43,3,A152,1
A12,A410,4,A153,1
A11,A43,2,A152,1
A14,A43,4,A152,1
A14,A40,2,A152,1
A14,A43,4,A152,1
A12,A43,1,A152,1
A14,A41,2,A151,1
A14,A43,2,A152,1
A12,A40,1,A152,1
A11,A42,4,A151,1
A11,A42,4,A152,1
A14,A41,4,A152,1
A12,A49,1,A152,1
A11,A40,3,A152,1
A14,A42,3,A151,1
A14,A42,2,A152,1
A14,A46,4,A152,1
A12,A43,3,A151,1
A13,A42,4,A152,1
A12,A49,3,A152,1
A12,A49,4,A152,1
A14,A43,2,A152,1
A12,A40,2,A151,1
A11,A40,2,A152,1
A11,A42,4,A152,1
A12,A49,4,A152,1
A12,A46,3,A151,1
A14,A40,2,A152,1
A12,A43,1,A152,1
A14,A49,4,A151,1
A14,A41,4,A152,1
A14,A40,2,A152,1
A11,A43,4,A152,1
A11,A42,4,A151,1
A14,A40,4,A151,1
A12,A43,3,A152,1
A11,A43,1,A152,1
A14,A43,4,A152,1
A12,A42,1,A152,1
A14,A42,2,A152,1
A12,A46,4,A153,1
A14,A43,2,A151,1
A14,A49,1,A152,1
A11,A44,1,A152,1
A12,A49,2,A152,1
A13,A49,1,A152,1
A13,A43,4,A151,1
A14,A41,4,A151,1
A14,A40,4,A153,1
A11,A49,4,A152,1
A12,A41,3,A151,1
A14,A41,4,A151,1
A14,A49,2,A153,1
A11,A40,4,A151,1
A12,A41,4,A152,1
A14,A42,2,A151,1
A14,A41,2,A152,1
A12,A42,4,A151,1
A11,A43,1,A152,1
A14,A42,4,A152,1
A14,A40,4,A152,1
A12,A42,1,A152,1
A12,A45,2,A152,1
A14,A42,2,A152,1
A14,A43,2,A152,1
A12,A43,4,A152,1
A14,A42,4,A151,1
A14,A40,4,A152,1
A11,A43,3,A152,1
A11,A40,4,A152,1
A14,A43,4,A152,1
A12,A46,2,A152,1
A11,A42,2,A151,1
A11,A42,3,A152,1
A14,A41,4,A151,1
A11,A40,2,A152,1
A14,A46,4,A153,1
A11,A40,4,A152,1
A14,A40,3,A152,1
A11,A410,3,A152,1
A14,A46,1,A152,1
A11,A42,4,A151,1
A12,A42,1,A152,1
A12,A45,4,A152,1
A14,A42,2,A151,1
A12,A43,4,A151,1
A14,A43,4,A152,1
A11,A46,2,A151,1
A13,A40,4,A153,1
A13,A43,3,A152,1
A14,A49,1,A152,1
A11,A42,1,A152,1
A12,A43,4,A152,1
A11,A42,4,A153,1
A11,A42,4,A153,1
A11,A42,4,A153,1
A12,A45,4,A152,1
A12,A45,4,A152,1
A14,A41,4,A152,1
A12,A42,1,A151,1
A11,A42,2,A152,1
A12,A43,1,A152,1
A14,A49,4,A152,1
A14,A42,2,A153,1
A14,A43,1,A152,1
A12,A49,2,A152,1
A11,A43,4,A152,1
A14,A41,2,A152,1
A12,A40,4,A153,1
A11,A49,2,A152,1
A11,A42,2,A152,1
A11,A41,4,A153,1
A11,A40,3,A152,1
A14,A41,2,A152,1
A11,A41,4,A153,1
A14,A41,2,A152,1
A14,A40,1,A152,1
A14,A42,4,A152,1
A11,A40,2,A152,1
A14,A43,2,A152,1
A14,A43,3,A152,1
A14,A43,2,A152,1
A14,A43,2,A151,1
A14,A42,1,A152,1
A14,A43,4,A151,1
A11,A40,4,A152,1
A14,A43,1,A152,1
A14,A40,2,A152,1
A14,A45,2,A152,1
A14,A49,1,A152,1
A14,A43,4,A152,1
A14,A40,2,A152,1
A14,A43,2,A152,1
A14,A43,1,A152,1
A14,A41,2,A152,1
A12,A49,2,A152,1
A14,A42,4,A152,1
A14,A43,2,A152,1
A14,A40,2,A152,1
A14,A43,1,A152,1
A11,A42,4,A151,1
A14,A43,2,A152,1
A14,A43,1,A152,1
A14,A46,3,A152,1
A13,A40,2,A152,1
A14,A43,4,A152,1
A11,A43,4,A152,1
A11,A42,1,A152,1
A14,A43,2,A151,1
A11,A45,4,A152,1
A13,A43,4,A152,1
A13,A42,1,A152,1
A12,A43,4,A152,1
A14,A42,3,A152,1
A12,A42,2,A152,1
A14,A42,4,A152,1
A14,A43,4,A152,1
A13,A46,4,A151,1
A13,A42,4,A152,1
A14,A41,2,A153,1
A14,A43,3,A152,1
A12,A43,3,A152,1
A14,A49,4,A152,1
A13,A42,2,A152,1
A14,A43,4,A152,1
A11,A43,3,A152,1
A14,A43,3,A152,1
A12,A49,3,A152,1
A14,A49,4,A151,1
A14,A45,2,A152,1
A14,A43,4,A152,1
A11,A41,4,A152,1
A12,A49,2,A152,1
A12,A40,3,A152,1
A14,A41,2,A152,1
A14,A43,1,A152,1
A12,A43,1,A152,1
A12,A42,4,A152,1
A12,A40,4,A152,1
A14,A43,2,A152,1
A14,A42,2,A152,1
A14,A41,1,A153,1
A12,A43,1,A152,1
A14,A40,2,A152,1
A14,A43,2,A151,1
A14,A43,4,A152,1
A12,A40,3,A153,1
A14,A43,2,A152,1
A12,A46,4,A153,1
A11,A49,1,A152,1
A11,A42,3,A152,1
A12,A43,2,A152,1
A13,A40,1,A152,1
A12,A49,2,A152,1
A14,A42,2,A152,1
A12,A43,4,A152,1
A12,A43,4,A152,1
A14,A49,3,A152,1
A12,A42,1,A152,1
A14,A49,2,A152,1
A14,A43,2,A152,1
A14,A42,2,A151,1
A12,A43,2,A153,1
A14,A43,4,A152,1
A14,A40,4,A152,1
A12,A41,4,A152,1
A14,A40,4,A153,1
A13,A46,4,A151,1
A12,A40,3,A152,1
A14,A49,4,A152,1
A14,A41,2,A152,1
A14,A43,3,A153,1
A14,A42,4,A152,1
A14,A49,2,A152,1
A12,A42,1,A152,1
A14,A41,4,A151,1
A11,A43,4,A151,1
A13,A40,2,A152,1
A11,A40,4,A152,1
A12,A41,2,A152,1
A14,A43,4,A152,1
A11,A42,3,A152,1
A12,A49,3,A152,1
A14,A41,2,A152,1
A11,A40,3,A151,1
A11,A49,1,A152,1
A14,A42,3,A152,1
A14,A43,4,A152,1
A14,A42,3,A151,1
A11,A410,4,A152,1
A14,A41,4,A151,1
A13,A43,3,A152,1
A12,A49,4,A151,1
A11,A40,2,A152,1
A12,A42,3,A152,1
A14,A43,3,A152,1
A14,A40,4,A153,1
A13,A40,1,A152,1
A14,A43,4,A153,1
A11,A41,4,A153,1
A14,A40,4,A152,1
A12,A40,4,A151,1
A12,A43,1,A152,1
A13,A41,4,A153,1
A14,A43,4,A151,1
A11,A40,4,A152,1
A12,A40,2,A151,1
A12,A40,3,A152,1
A13,A49,4,A152,1
A11,A46,1,A153,1
A14,A46,2,A152,1
A12,A46,1,A152,1
A12,A43,3,A152,1
A14,A43,4,A152,1
A12,A49,2,A152,1
A11,A43,4,A151,1
A11,A48,1,A152,1
A14,A43,4,A152,1
A12,A41,4,A151,1
A12,A41,4,A152,1
A14,A43,3,A152,1
A11,A41,4,A153,1
A11,A49,1,A152,1
A12,A43,4,A151,1
A14,A42,4,A152,1
A14,A41,4,A151,1
A11,A43,2,A151,1
A13,A40,2,A152,1
A11,A40,3,A152,1
A13,A40,2,A152,1
A12,A41,2,A152,1
A11,A40,4,A152,1
A14,A43,3,A152,1
A14,A40,3,A151,1
A12,A42,1,A152,1
A14,A43,2,A152,1
A14,A41,4,A152,1
A12,A43,2,A152,1
A14,A41,4,A152,1
A14,A42,1,A152,1
A14,A40,4,A152,1
A11,A41,4,A153,1
A11,A41,4,A151,1
A14,A46,3,A153,1
A12,A41,3,A152,1
A14,A43,2,A152,1
A12,A43,2,A152,1
A14,A43,2,A152,1
A14,A40,4,A152,1
A11,A40,2,A151,1
A12,A49,2,A152,1
A12,A49,1,A152,1
A14,A40,2,A152,1
A12,A40,4,A152,1
A14,A43,2,A151,1
A14,A43,1,A152,1
A14,A42,4,A152,1
A14,A41,4,A152,1
A14,A42,4,A152,1
A14,A41,3,A152,1
A12,A43,1,A152,1
A14,A43,2,A152,1
A14,A40,2,A152,1
A14,A45,4,A152,1
A12,A43,2,A152,1
A14,A40,2,A151,1
A12,A41,2,A151,1
A14,A43,4,A152,1
A14,A43,4,A152,1
A13,A40,1,A152,1
A11,A42,4,A152,1
A14,A43,2,A152,1
A14,A43,4,A152,1
A14,A40,4,A152,1
A14,A43,2,A152,1
A11,A46,4,A151,1
A14,A48,4,A152,1
A14,A40,3,A152,1
A14,A43,2,A152,1
A11,A42,2,A152,1
A12,A40,2,A152,1
A14,A40,4,A152,1
A11,A43,1,A152,1
A14,A49,2,A152,1
A12,A40,4,A152,1
A12,A43,4,A152,1
A14,A46,2,A152,1
A14,A40,4,A152,1
A14,A40,1,A152,1
A14,A46,4,A152,2
A11,A49,4,A151,2
A12,A43,2,A151,2
A11,A42,4,A153,2
A11,A44,3,A152,2
A13,A40,4,A153,2
A14,A43,2,A152,2
A14,A49,2,A152,2
A13,A49,1,A152,2
A12,A41,4,A151,2
A11,A45,1,A152,2
A11,A42,4,A151,2
A12,A43,1,A152,2
A12,A40,2,A152,2
A14,A46,2,A152,2
A12,A40,4,A151,2
A11,A40,2,A153,2
A14,A40,4,A153,2
A11,A40,4,A152,2
A11,A42,2,A152,2
A13,A42,1,A152,2
A11,A43,4,A152,2
A11,A40,2,A153,2
A12,A40,1,A152,2
A13,A43,2,A152,2
A11,A41,4,A152,2
A11,A42,4,A152,2
A14,A41,4,A151,2
A14,A49,2,A152,2
A12,A40,4,A153,2
A11,A49,1,A152,2
A11,A40,4,A153,2
A14,A43,4,A151,2
A12,A40,2,A152,2
A11,A40,4,A151,2
A11,A49,4,A151,2
A11,A42,4,A151,2
A12,A42,4,A152,2
A11,A40,4,A152,2
A13,A43,4,A153,2
A11,A43,4,A151,2
A11,A44,3,A152,2
A12,A41,2,A153,2
A11,A45,3,A152,2
A12,A40,4,A152,2
A13,A43,3,A152,2
A11,A42,3,A152,2
A12,A46,2,A151,2
A14,A42,2,A152,2
A11,A42,4,A152,2
A11,A43,2,A152,2
A11,A43,1,A153,2
A12,A41,4,A153,2
A11,A43,2,A151,2
A11,A40,4,A152,2
A11,A43,2,A152,2
A11,A40,1,A152,2
A14,A46,2,A152,2
A12,A41,4,A151,2
A11,A49,2,A151,2
A11,A43,2,A152,2
A11,A42,2,A152,2
A11,A40,1,A152,2
A12,A410,2,A152,2
A12,A42,2,A152,2
A11,A46,1,A152,2
A12,A40,3,A152,2
A11,A43,4,A152,2
A12,A42,2,A152,2
A14,A40,4,A152,2
A11,A40,3,A151,2
A12,A45,1,A151,2
A12,A43,4,A151,2
A12,A42,2,A152,2
A11,A43,4,A152,2
A11,A40,4,A152,2
A12,A42,3,A152,2
A12,A40,4,A152,2
A14,A40,4,A151,2
A12,A40,4,A152,2
A11,A40,3,A152,2
A12,A46,4,A153,2
A11,A43,3,A152,2
A11,A40,4,A151,2
A11,A43,3,A152,2
A12,A410,3,A152,2
A12,A40,2,A152,2
A11,A42,4,A152,2
A14,A40,4,A152,2
A11,A46,3,A152,2
A11,A42,4,A152,2
A11,A46,4,A151,2
A11,A43,4,A153,2
A11,A42,4,A151,2
A12,A410,3,A152,2
A12,A43,3,A152,2
A11,A43,1,A152,2
A13,A49,4,A152,2
A14,A42,2,A151,2
A12,A42,2,A152,2
A12,A43,2,A152,2
A14,A42,4,A151,2
A12,A410,4,A153,2
A11,A41,4,A153,2
A11,A42,1,A152,2
A11,A42,4,A152,2
A12,A40,2,A152,2
A11,A42,4,A151,2
A11,A43,3,A152,2
A12,A45,2,A152,2
A11,A42,2,A151,2
A12,A49,2,A152,2
A11,A41,4,A153,2
A12,A42,2,A152,2
A14,A40,2,A152,2
A11,A40,4,A151,2
A12,A43,3,A152,2
A11,A40,4,A151,2
A11,A46,3,A152,2
A12,A43,2,A152,2
A11,A42,4,A151,2
A14,A49,3,A152,2
A12,A49,4,A152,2
A11,A49,4,A152,2
A12,A40,2,A153,2
A11,A43,2,A152,2
A11,A46,1,A152,2
A14,A43,4,A152,2
A11,A40,3,A152,2
A14,A40,4,A152,2
A12,A46,4,A153,2
A11,A44,2,A151,2
A12,A40,3,A152,2
A11,A42,1,A152,2
A11,A41,4,A153,2
A14,A43,1,A152,2
A11,A40,2,A152,2
A14,A46,4,A153,2
A11,A43,1,A152,2
A12,A46,3,A153,2
A14,A40,2,A152,2
A14,A43,2,A152,2
A12,A42,3,A152,2
A12,A42,4,A152,2
A12,A40,1,A151,2
A12,A40,1,A151,2
A12,A42,3,A151,2
A11,A45,4,A153,2
A12,A40,2,A152,2
A11,A40,4,A153,2
A12,A43,4,A153,2
A12,A49,3,A151,2
A12,A40,2,A152,2
A14,A40,2,A153,2
A11,A42,2,A152,2
A12,A43,2,A152,2
A11,A40,1,A152,2
A11,A40,3,A152,2
A12,A49,4,A153,2
A11,A40,2,A152,2
A12,A43,2,A152,2
A14,A40,2,A152,2
A13,A40,3,A153,2
A11,A46,4,A152,2
A11,A40,4,A152,2
A11,A40,2,A152,2
A11,A49,4,A152,2
A12,A43,4,A152,2
A11,A43,2,A152,2
A11,A49,4,A151,2
A14,A40,4,A152,2
A14,A49,2,A151,2
A12,A40,4,A152,2
A11,A43,4,A151,2
A12,A40,2,A152,2
A11,A40,2,A152,2
A11,A44,4,A152,2
A12,A42,4,A151,2
A12,A42,1,A151,2
A14,A49,4,A151,2
A11,A41,2,A152,2
A11,A41,4,A153,2
A11,A42,3,A152,2
A12,A49,4,A152,2
A11,A410,3,A152,2
A12,A40,2,A152,2
A14,A43,3,A152,2
A12,A46,3,A152,2
A14,A49,2,A152,2
A12,A43,1,A152,2
A13,A40,2,A152,2
A11,A42,4,A152,2
A12,A45,3,A152,2
A12,A43,1,A151,2
A11,A41,4,A153,2
A11,A43,4,A151,2
A14,A42,1,A152,2
A11,A40,4,A151,2
A12,A40,4,A151,2
A12,A49,4,A153,2
A12,A42,3,A152,2
A11,A43,2,A151,2
A12,A43,4,A152,2
A11,A42,4,A151,2
A11,A40,2,A152,2
A12,A43,2,A152,2
A12,A46,4,A153,2
A11,A48,4,A151,2
A11,A41,4,A153,2
A12,A41,4,A151,2
A14,A40,3,A151,2
A12,A42,2,A152,2
A12,A41,4,A153,2
A11,A43,4,A153,2
A12,A40,2,A152,2
A11,A40,2,A151,2
A11,A46,2,A152,2
A11,A40,2,A152,2
A14,A45,4,A153,2
A12,A40,4,A152,2
A13,A40,2,A152,2
A11,A40,2,A152,2
A14,A43,2,A152,2
A11,A40,4,A153,2
A14,A49,2,A152,2
A11,A43,2,A152,2
A11,A49,4,A151,2
A11,A40,4,A151,2
A12,A43,1,A152,2
A11,A42,4,A153,2
A11,A46,4,A153,2
A11,A40,4,A151,2
A12,A43,2,A152,2
A12,A49,4,A153,2
A11,A42,4,A153,2
A12,A42,4,A151,2
A11,A42,4,A151,2
A14,A49,1,A152,2
A11,A40,4,A153,2
A11,A41,4,A153,2
A11,A42,4,A151,2
A13,A43,2,A152,2
A11,A46,4,A152,2
A14,A40,2,A152,2
A12,A43,3,A152,2
A12,A49,2,A152,2
A12,A40,1,A151,2
A11,A42,2,A152,2
A11,A40,1,A152,2
A12,A40,4,A153,2
A12,A40,2,A151,2
A13,A43,2,A152,2
A12,A49,2,A152,2
A11,A40,2,A152,2
A12,A40,3,A152,2
A12,A49,4,A152,2
A11,A40,3,A152,2
A14,A42,2,A151,2
A14,A45,4,A152,2
A11,A42,1,A152,2
A11,A42,4,A151,2
A12,A40,3,A152,2
A12,A43,2,A152,2
A12,A40,4,A152,2
A11,A40,1,A152,2
A11,A43,3,A152,2
A12,A49,2,A152,2
A13,A46,1,A151,2
A12,A40,2,A152,2
A13,A43,2,A152,2
