@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,4657,A61,A73,A93,A123,A192,1
A14,783,A65,A73,A93,A121,A191,1
A14,3062,A63,A75,A93,A124,A192,1
A14,2301,A62,A72,A92,A122,A191,1
A14,2320,A61,A71,A94,A121,A191,1
A14,6527,A65,A73,A93,A124,A192,1
A14,1740,A61,A75,A94,A121,A191,1
A13,4473,A61,A75,A93,A123,A191,1
A11,5371,A61,A73,A93,A122,A191,1
A13,3017,A61,A75,A93,A122,A191,1
A14,909,A63,A75,A93,A122,A191,1
A14,1574,A61,A73,A93,A121,A191,1
A11,10623,A61,A75,A93,A124,A192,1
A14,707,A61,A73,A93,A121,A191,1
A12,2028,A65,A73,A93,A123,A191,1
A14,3568,A61,A75,A92,A123,A192,1
A11,6615,A61,A71,A93,A124,A192,1
A14,7629,A65,A75,A91,A123,A191,1
A14,2751,A65,A75,A93,A123,A192,1
A12,1082,A61,A75,A93,A123,A191,1
A14,1820,A61,A73,A94,A122,A192,1
A11,1382,A62,A74,A93,A121,A192,1
A13,1925,A61,A73,A93,A121,A191,1
A14,2445,A65,A72,A94,A123,A192,1
A14,7824,A65,A72,A93,A121,A192,1
A14,2197,A65,A74,A93,A123,A192,1
A14,3780,A61,A72,A91,A123,A192,1
A14,2515,A61,A73,A93,A121,A192,1
A14,3832,A65,A75,A93,A121,A191,1
A14,1258,A61,A74,A93,A121,A192,1
A13,1330,A61,A72,A93,A121,A191,1
A14,1924,A61,A73,A93,A122,A192,1
A14,1736,A61,A74,A92,A121,A191,1
A14,1393,A61,A75,A93,A122,A192,1
A11,1797,A61,A72,A93,A122,A191,1
A11,3763,A65,A74,A93,A121,A191,1
A14,5507,A61,A75,A93,A124,A191,1
A13,392,A61,A72,A92,A122,A192,1
A14,1076,A61,A73,A94,A121,A192,1
A12,2825,A65,A74,A93,A124,A192,1
A14,2978,A63,A73,A93,A123,A192,1
A14,2022,A61,A73,A92,A123,A192,1
A14,886,A65,A73,A92,A123,A191,1
A14,802,A61,A73,A93,A123,A191,1
A11,3357,A64,A72,A92,A123,A191,1
A11,3905,A61,A73,A93,A121,A191,1
A11,1620,A61,A73,A92,A122,A191,1
A12,6361,A61,A75,A93,A124,A192,1
A12,3976,A65,A74,A93,A123,A192,1
A12,958,A61,A74,A93,A121,A191,1
A14,3029,A61,A74,A93,A123,A191,1
A14,2223,A62,A75,A93,A122,A191,1
A11,3398,A61,A74,A93,A121,A191,1
A11,6579,A61,A71,A93,A124,A192,1
A11,5493,A61,A75,A93,A124,A191,1
A12,2991,A65,A75,A92,A123,A191,1
A14,3835,A65,A75,A92,A121,A192,1
A11,1049,A61,A72,A92,A122,A191,1
A14,10875,A61,A75,A93,A123,A192,1
A12,2002,A61,A74,A93,A122,A192,1
A14,1503,A61,A74,A93,A121,A191,1
A14,1449,A61,A74,A92,A123,A191,1
A11,1747,A61,A72,A93,A122,A191,1
A11,2647,A63,A73,A93,A121,A191,1
A14,1418,A62,A73,A93,A121,A191,1
A11,2511,A61,A71,A92,A123,A191,1
A14,8588,A62,A75,A93,A123,A192,1
A12,3872,A61,A71,A92,A123,A192,1
A14,1316,A63,A73,A94,A122,A191,1
A14,3342,A65,A75,A93,A123,A192,1
A11,1880,A61,A74,A94,A122,A192,1
A14,3535,A61,A74,A93,A123,A192,1
A14,1520,A65,A75,A93,A122,A191,1
A11,7476,A61,A74,A93,A124,A192,1
A12,1514,A62,A73,A93,A121,A191,1
A12,7966,A61,A72,A93,A123,A191,1
A14,1204,A62,A73,A93,A124,A191,1
A11,609,A61,A74,A92,A122,A191,1
A11,3620,A61,A73,A93,A122,A191,1
A14,996,A65,A74,A92,A121,A191,1
A14,10366,A61,A75,A93,A122,A192,1
A14,6304,A65,A75,A93,A121,A191,1
A13,409,A64,A73,A92,A121,A191,1
A12,1549,A65,A72,A93,A121,A191,1
A12,2415,A61,A73,A93,A121,A191,1
A14,2603,A64,A73,A92,A123,A192,1
A14,426,A61,A75,A94,A123,A191,1
A11,4169,A61,A73,A93,A122,A191,1
A12,7432,A61,A73,A92,A122,A191,1
A13,3399,A65,A75,A93,A123,A191,1
A11,1038,A61,A74,A93,A122,A192,1
A11,571,A61,A75,A93,A121,A191,1
A11,2957,A61,A75,A93,A122,A192,1
A11,1602,A61,A75,A94,A123,A192,1
A12,5381,A65,A71,A93,A124,A192,1
A14,2901,A65,A72,A92,A121,A191,1
A14,960,A64,A74,A92,A122,A191,1
A12,3832,A61,A72,A94,A122,A191,1
A11,662,A61,A72,A93,A121,A192,1
A12,2728,A65,A74,A93,A121,A192,1
A14,4526,A64,A72,A93,A121,A192,1
A11,3416,A61,A73,A93,A123,A191,1
A11,806,A61,A73,A92,A122,A191,1
A14,6110,A61,A73,A93,A124,A192,1
A13,1480,A63,A71,A93,A124,A191,1
A11,2522,A61,A75,A93,A122,A191,1
A13,1961,A61,A75,A92,A123,A191,1
A14,1766,A61,A73,A94,A122,A191,1
A14,518,A61,A73,A92,A121,A191,1
A14,1768,A61,A73,A93,A121,A191,1
A12,368,A65,A75,A93,A122,A191,1
A12,3213,A63,A72,A94,A121,A191,1
A14,3430,A63,A75,A93,A123,A192,1
A14,1287,A65,A75,A93,A122,A191,1
A12,1113,A61,A73,A92,A121,A191,1
A14,2141,A62,A74,A93,A124,A191,1
A11,3857,A61,A73,A91,A122,A192,1
A14,1582,A64,A75,A93,A123,A191,1
A13,1377,A62,A75,A92,A124,A192,1
A14,999,A65,A75,A93,A123,A191,1
A12,6260,A61,A74,A93,A121,A191,1
A11,2315,A61,A75,A93,A121,A191,1
A12,7472,A65,A71,A92,A121,A191,1
A12,3244,A61,A73,A92,A123,A192,1
A11,1344,A61,A73,A93,A121,A191,1
A12,1995,A62,A72,A93,A123,A191,1
A14,1386,A65,A73,A94,A121,A192,1
A11,1957,A61,A74,A92,A123,A191,1
A14,1413,A64,A74,A93,A122,A191,1
A12,1206,A61,A75,A92,A121,A191,1
A14,2279,A65,A73,A93,A124,A192,1
A12,1965,A65,A73,A92,A123,A192,1
A11,4583,A61,A73,A91,A121,A191,1
A14,1028,A61,A73,A92,A121,A191,1
A12,6078,A61,A74,A93,A123,A191,1
A14,10144,A62,A74,A92,A121,A192,1
A14,2835,A63,A75,A93,A122,A191,1
A14,8947,A65,A74,A93,A123,A192,1
A11,1755,A61,A75,A92,A121,A192,1
A14,1393,A61,A72,A92,A123,A191,1
A14,4675,A65,A72,A92,A123,A191,1
A14,3079,A65,A73,A93,A121,A191,1
A13,6289,A61,A72,A91,A122,A191,1
A14,10477,A65,A75,A93,A124,A191,1
A12,590,A61,A72,A94,A121,A191,1
A14,1236,A63,A73,A93,A122,A191,1
A13,2687,A61,A74,A93,A122,A192,1
A11,3676,A61,A73,A93,A121,A191,1
A14,2333,A63,A75,A93,A123,A191,1
A11,7882,A61,A74,A93,A122,A191,1
A12,5965,A61,A75,A93,A123,A192,1
A14,1169,A65,A73,A93,A122,A192,1
A14,2080,A63,A73,A94,A123,A191,1
A12,585,A61,A73,A94,A121,A191,1
A13,1275,A61,A72,A92,A122,A191,1
A14,9055,A65,A73,A93,A124,A192,1
A14,5742,A62,A74,A93,A123,A192,1
A14,2662,A65,A74,A93,A122,A191,1
A12,2576,A61,A73,A93,A121,A191,1
A14,1101,A61,A73,A94,A121,A192,1
A14,2146,A61,A72,A92,A121,A191,1
A14,2611,A61,A75,A94,A121,A191,1
A12,790,A63,A73,A92,A121,A191,1
A13,781,A61,A75,A93,A124,A192,1
A14,3518,A61,A73,A93,A122,A191,1
A14,763,A61,A73,A92,A121,A192,1
A14,4526,A61,A73,A93,A121,A192,1
A14,2404,A61,A73,A92,A123,A191,1
A14,1224,A61,A73,A93,A121,A191,1
A12,2896,A62,A72,A93,A123,A191,1
A14,3077,A65,A75,A93,A123,A192,1
A11,3643,A61,A75,A92,A122,A191,1
A14,2613,A61,A73,A93,A123,A191,1
A12,1318,A64,A75,A93,A121,A192,1
A11,2828,A63,A73,A93,A121,A192,1
A12,4771,A61,A74,A93,A122,A191,1
A12,1301,A61,A75,A94,A121,A191,1
A14,2476,A65,A75,A93,A121,A192,1
A14,1376,A63,A74,A92,A123,A191,1
A11,338,A63,A75,A93,A123,A191,1
A12,4576,A62,A71,A93,A123,A191,1
A11,4716,A65,A72,A93,A121,A191,1
A14,1213,A63,A75,A93,A122,A192,1
A14,1592,A64,A74,A92,A122,A191,1
A11,1940,A61,A72,A93,A124,A192,1
A11,1403,A61,A73,A92,A123,A191,1
A14,10222,A65,A74,A93,A123,A192,1
A11,2577,A61,A73,A91,A123,A191,1
A11,6568,A61,A73,A94,A123,A191,1
A12,1715,A65,A73,A92,A123,A191,1
A12,7418,A65,A73,A93,A121,A191,1
A12,12204,A65,A73,A93,A123,A192,1
A14,2788,A61,A74,A92,A123,A191,1
A13,2247,A61,A73,A92,A123,A192,1
A14,1473,A61,A72,A94,A121,A192,1
A12,1007,A64,A73,A94,A121,A191,1
A12,7057,A65,A74,A93,A122,A192,1
A11,3959,A61,A71,A93,A122,A192,1
A12,2622,A62,A73,A93,A123,A191,1
A13,1275,A64,A73,A91,A121,A192,1
A11,1893,A61,A73,A92,A122,A192,1
A14,1264,A65,A75,A93,A124,A191,1
A11,6419,A61,A75,A92,A124,A192,1
A14,7678,A63,A74,A92,A123,A192,1
A11,1289,A61,A73,A93,A122,A191,1
A12,8487,A65,A74,A92,A123,A191,1
A14,1388,A61,A73,A92,A121,A191,1
A11,1478,A61,A75,A93,A123,A192,1
A14,7596,A65,A75,A93,A123,A191,1
A14,3850,A61,A74,A93,A123,A191,1
A14,682,A62,A74,A92,A123,A192,1
A14,2406,A61,A71,A93,A123,A191,1
A14,3577,A62,A73,A93,A121,A191,1
A14,2134,A61,A73,A93,A123,A192,1
A12,3124,A61,A72,A93,A121,A191,1
A14,5954,A61,A74,A93,A123,A191,1
A12,1577,A64,A72,A92,A121,A191,1
A14,4151,A62,A73,A93,A122,A191,1
A12,3758,A63,A71,A92,A124,A191,1
A12,1919,A61,A74,A93,A123,A192,1
A13,1445,A65,A74,A93,A123,A191,1
A12,760,A61,A74,A92,A121,A191,1
A12,2333,A65,A72,A93,A122,A191,1
A11,385,A61,A74,A92,A121,A192,1
A13,3913,A61,A73,A93,A121,A192,1
A12,7758,A64,A75,A92,A124,A191,1
A14,2331,A65,A75,A93,A121,A192,1
A12,3573,A61,A73,A92,A121,A191,1
A12,3512,A62,A74,A93,A123,A192,1
A14,1516,A64,A73,A92,A121,A191,1
A11,2606,A61,A72,A92,A122,A192,1
A14,3380,A61,A74,A92,A121,A191,1
A14,2142,A64,A75,A91,A121,A192,1
A12,454,A61,A72,A94,A122,A191,1
A12,7308,A61,A71,A93,A124,A192,1
A14,3594,A61,A72,A92,A122,A191,1
A14,660,A63,A74,A94,A121,A191,1
A14,522,A63,A75,A93,A122,A192,1
A12,1410,A63,A75,A94,A121,A192,1
A11,1262,A65,A75,A91,A122,A192,1
A14,2578,A64,A75,A93,A123,A191,1
A14,932,A61,A73,A92,A121,A191,1
A12,1037,A62,A74,A93,A121,A191,1
A11,1168,A61,A73,A94,A121,A191,1
A12,1887,A65,A73,A94,A121,A191,1
A11,731,A61,A75,A93,A121,A191,1
A12,2118,A61,A73,A93,A121,A191,1
A11,1288,A62,A75,A93,A121,A191,1
A11,2325,A62,A74,A93,A123,A191,1
A12,983,A64,A72,A92,A121,A191,1
A12,1553,A62,A74,A92,A122,A192,1
A14,2108,A61,A74,A94,A121,A191,1
A14,1493,A61,A72,A92,A123,A191,1
A12,1175,A61,A71,A93,A123,A192,1
A14,1409,A62,A71,A92,A121,A191,1
A14,5045,A65,A75,A92,A123,A192,1
A14,3343,A61,A73,A93,A124,A192,1
A14,2675,A63,A75,A93,A123,A191,1
A14,1532,A62,A73,A92,A123,A191,1
A12,7582,A62,A71,A93,A124,A192,1
A14,4042,A63,A73,A93,A121,A192,1
A11,1361,A61,A72,A93,A121,A191,1
A14,929,A65,A74,A93,A123,A192,1
A12,3590,A61,A71,A94,A123,A192,1
A11,3590,A61,A73,A93,A122,A191,1
A11,3622,A64,A75,A92,A122,A192,1
A14,1984,A61,A73,A93,A124,A191,1
A12,2427,A65,A75,A93,A122,A191,1
A14,2028,A61,A74,A93,A122,A191,1
A11,1364,A61,A74,A93,A121,A191,1
A14,1126,A65,A72,A92,A121,A192,1
A11,2241,A61,A72,A93,A121,A191,1
A12,1424,A61,A74,A93,A122,A191,1
A11,1409,A61,A75,A93,A121,A191,1
A14,1237,A62,A73,A92,A122,A191,1
A14,2759,A61,A75,A93,A122,A191,1
A14,8613,A64,A73,A93,A123,A191,1
A11,3149,A61,A72,A93,A124,A191,1
A14,717,A65,A75,A94,A123,A192,1
A12,2101,A61,A72,A92,A122,A191,1
A14,846,A65,A75,A93,A124,A191,1
A14,926,A61,A71,A92,A122,A191,1
A12,5954,A61,A74,A92,A121,A191,1
A13,2360,A63,A73,A93,A123,A192,1
A11,1164,A61,A75,A93,A124,A192,1
A12,276,A61,A73,A94,A121,A191,1
A14,2697,A61,A73,A93,A121,A191,1
A13,3148,A65,A73,A93,A123,A192,1
A14,250,A64,A73,A92,A121,A191,1
A14,1935,A61,A75,A93,A121,A192,1
A14,1459,A61,A73,A92,A123,A191,1
A14,4454,A61,A73,A92,A121,A191,1
A13,1047,A61,A73,A92,A122,A191,1
A14,3556,A65,A73,A93,A124,A191,1
A14,1258,A61,A72,A92,A122,A191,1
A11,2212,A65,A74,A93,A123,A192,1
A11,3651,A64,A73,A93,A122,A191,1
A14,2069,A65,A73,A94,A123,A191,1
A13,1297,A61,A73,A94,A121,A191,1
A12,5084,A65,A75,A92,A123,A192,1
A11,3973,A61,A71,A93,A124,A191,1
A14,5433,A65,A71,A92,A122,A192,1
A14,6314,A61,A71,A93,A124,A192,1
A14,3868,A61,A75,A92,A123,A192,1
A11,428,A61,A75,A92,A122,A192,1
A12,3195,A65,A73,A92,A121,A191,1
A12,1567,A61,A73,A92,A123,A192,1
A14,3863,A61,A73,A93,A124,A191,1
A14,700,A65,A75,A93,A124,A191,1
A14,2684,A61,A73,A93,A121,A191,1
A14,4272,A62,A73,A93,A122,A191,1
A12,3617,A61,A75,A93,A123,A192,1
A11,1200,A65,A73,A92,A122,A192,1
A14,8133,A61,A73,A92,A122,A191,1
A14,894,A65,A74,A92,A122,A192,1
A14,3160,A65,A75,A93,A122,A192,1
A11,4788,A61,A74,A93,A122,A191,1
A14,3275,A61,A75,A93,A123,A192,1
A11,1721,A61,A72,A93,A121,A191,1
A11,3939,A61,A73,A93,A121,A191,1
A12,2629,A61,A73,A93,A123,A192,1
A13,1474,A61,A72,A92,A122,A192,1
A13,683,A61,A72,A92,A122,A191,1
A12,1239,A65,A73,A93,A124,A191,1
A12,1444,A65,A72,A93,A122,A191,1
A14,1495,A61,A75,A93,A121,A191,1
A14,1800,A61,A73,A93,A123,A191,1
A12,1913,A64,A72,A94,A121,A192,1
A14,9436,A65,A73,A93,A122,A191,1
A14,1538,A61,A72,A92,A124,A191,1
A11,2249,A62,A74,A93,A123,A192,1
A11,2132,A65,A72,A92,A121,A191,1
A14,5771,A61,A74,A92,A123,A191,1
A14,5711,A64,A75,A93,A123,A192,1
A12,932,A65,A74,A92,A122,A191,1
A14,3105,A65,A72,A93,A123,A191,1
A14,2753,A62,A75,A93,A123,A192,1
A12,484,A61,A74,A94,A121,A191,1
A14,1591,A62,A74,A93,A121,A191,1
A14,1979,A65,A75,A93,A123,A191,1
A11,8471,A65,A73,A92,A123,A192,1
A14,4679,A61,A74,A93,A123,A192,1
A12,9283,A61,A71,A93,A124,A192,1
A12,6967,A62,A74,A93,A123,A192,1
A14,1262,A63,A74,A93,A122,A192,1
A12,2273,A61,A74,A93,A123,A191,1
A13,5848,A61,A73,A93,A123,A191,1
A11,3021,A61,A73,A91,A121,A191,1
A12,1537,A65,A75,A93,A121,A192,1
A12,1158,A63,A73,A91,A123,A192,1
A14,618,A61,A75,A93,A121,A191,1
A14,2743,A61,A75,A93,A123,A191,1
A12,3566,A62,A74,A93,A123,A191,1
A14,1262,A61,A73,A93,A123,A191,1
A13,1225,A61,A73,A93,A123,A192,1
A12,5743,A61,A72,A92,A124,A192,1
A14,3186,A64,A74,A92,A123,A191,1
A14,1469,A62,A75,A94,A121,A191,1
A14,1569,A62,A75,A93,A123,A191,1
A14,6742,A65,A74,A93,A122,A191,1
A14,3777,A64,A73,A93,A121,A192,1
A14,2284,A61,A74,A93,A123,A192,1
A14,1572,A64,A75,A92,A121,A191,1
A12,11760,A62,A74,A93,A124,A192,1
A14,1851,A61,A74,A94,A123,A192,1
A11,15857,A61,A71,A91,A123,A191,1
A14,776,A61,A73,A94,A121,A191,1
A14,2051,A61,A72,A93,A121,A191,1
A12,2862,A62,A75,A93,A124,A191,1
A13,2923,A62,A73,A92,A123,A192,1
A12,6948,A61,A73,A93,A123,A192,1
A11,2348,A61,A73,A94,A122,A192,1
A11,2214,A61,A73,A93,A122,A191,1
A14,930,A65,A75,A93,A121,A191,1
A12,2366,A63,A74,A91,A123,A192,1
A12,458,A61,A73,A93,A121,A191,1
A14,1595,A61,A74,A93,A122,A191,1
A12,1048,A61,A73,A93,A121,A191,1
A14,1478,A61,A73,A94,A121,A191,1
A12,625,A61,A72,A94,A121,A191,1
A14,1283,A65,A74,A92,A122,A191,1
A14,629,A63,A75,A93,A122,A192,1
A12,3017,A61,A72,A92,A121,A191,1
A14,1313,A61,A75,A93,A123,A191,1
A11,1657,A61,A73,A93,A121,A191,1
A11,3104,A61,A74,A93,A122,A192,1
A14,1552,A61,A74,A93,A123,A191,1
A14,1338,A63,A73,A91,A121,A191,1
A12,753,A61,A73,A92,A121,A191,1
A12,1860,A61,A71,A93,A123,A192,1
A12,7374,A61,A71,A93,A122,A192,1
A14,3378,A65,A73,A93,A122,A192,1
A14,1231,A61,A75,A93,A121,A191,1
A14,1898,A65,A73,A93,A121,A191,1
A14,2507,A63,A75,A93,A124,A191,1
A14,7253,A61,A74,A93,A123,A192,1
A12,907,A61,A72,A94,A121,A192,1
A11,1138,A61,A73,A93,A121,A191,1
A14,5324,A63,A75,A92,A124,A191,1
A12,2353,A61,A73,A91,A122,A191,1
A14,5804,A64,A73,A93,A121,A191,1
A12,1804,A62,A72,A93,A122,A191,1
A14,1149,A64,A73,A93,A121,A191,1
A13,3656,A65,A75,A93,A122,A191,1
A14,2978,A65,A73,A93,A121,A192,1
A11,1352,A63,A71,A92,A122,A192,1
A13,1881,A61,A73,A92,A123,A192,1
A11,1936,A65,A74,A94,A123,A191,1
A14,1559,A61,A74,A93,A123,A192,1
A12,3652,A61,A74,A93,A122,A191,1
A14,7393,A61,A73,A93,A122,A191,1
A11,2136,A61,A73,A93,A121,A191,1
A14,2424,A65,A75,A93,A122,A191,1
A11,2442,A61,A75,A93,A123,A192,1
A11,1845,A61,A72,A92,A122,A191,1
A13,1343,A61,A75,A93,A121,A191,1
A13,1258,A63,A73,A92,A123,A191,1
A14,5801,A65,A75,A93,A122,A192,1
A13,709,A64,A72,A94,A121,A191,1
A14,1829,A61,A75,A93,A123,A192,1
A14,1412,A61,A73,A92,A121,A192,1
A14,1597,A61,A75,A93,A124,A191,1
A12,4439,A61,A75,A93,A121,A192,1
A14,2073,A62,A73,A92,A121,A191,1
A14,2394,A65,A73,A92,A123,A191,1
A12,1322,A64,A73,A92,A123,A191,1
A14,3447,A63,A73,A92,A121,A191,1
A12,1743,A61,A75,A93,A122,A191,1
A12,1449,A62,A75,A91,A123,A191,1
A14,3972,A61,A74,A92,A122,A192,1
A11,2121,A61,A73,A93,A122,A191,1
A12,6403,A61,A72,A93,A123,A191,1
A14,1055,A61,A72,A92,A122,A191,1
A12,1410,A61,A73,A93,A121,A192,1
A11,1203,A62,A75,A93,A122,A192,1
A14,1655,A61,A75,A93,A121,A192,1
A11,2122,A61,A73,A93,A121,A191,1
A14,4811,A65,A74,A92,A122,A191,1
A14,2782,A63,A74,A92,A123,A191,1
A13,1905,A61,A75,A93,A123,A192,1
A14,1163,A63,A73,A93,A121,A192,1
A11,2389,A61,A72,A92,A123,A191,1
A14,6070,A61,A75,A93,A123,A192,1
A11,860,A61,A75,A92,A124,A192,1
A14,2221,A63,A73,A92,A123,A191,1
A13,5152,A61,A74,A93,A123,A191,1
A14,2186,A65,A74,A92,A121,A191,1
A12,6681,A65,A73,A93,A124,A192,1
A11,3249,A61,A74,A93,A124,A192,1
A14,937,A61,A72,A94,A123,A191,1
A14,730,A65,A75,A93,A122,A192,1
A14,2670,A61,A75,A93,A123,A192,1
A14,6313,A65,A75,A93,A123,A192,1
A14,3609,A61,A73,A92,A121,A191,1
A14,3565,A65,A72,A93,A122,A191,1
A12,4221,A61,A73,A92,A123,A191,1
A12,866,A61,A73,A94,A121,A191,1
A14,1291,A61,A73,A92,A122,A191,1
A14,2058,A61,A73,A91,A121,A192,1
A13,3949,A61,A72,A93,A122,A191,1
A14,1393,A61,A73,A93,A121,A192,1
A12,5800,A61,A73,A93,A123,A192,1
A12,1795,A61,A75,A92,A121,A192,1
A12,841,A62,A74,A92,A121,A191,1
A13,1126,A62,A75,A91,A121,A191,1
A12,3990,A65,A72,A92,A124,A191,1
A14,9566,A61,A73,A92,A123,A191,1
A14,601,A61,A72,A92,A121,A191,1
A12,882,A61,A72,A93,A121,A191,1
A14,4139,A62,A73,A93,A122,A192,1
A14,1934,A61,A75,A93,A124,A191,1
A12,3612,A61,A75,A92,A122,A192,1
A14,9277,A65,A73,A91,A124,A192,1
A14,7228,A61,A73,A93,A122,A191,1
A12,2323,A61,A74,A93,A123,A191,1
A13,2116,A61,A73,A93,A121,A192,1
A14,1382,A61,A73,A92,A123,A192,1
A14,13756,A65,A75,A93,A124,A192,1
A12,1295,A61,A72,A92,A122,A191,1
A14,1544,A61,A74,A93,A121,A191,1
A14,1453,A61,A72,A92,A121,A191,1
A14,3757,A61,A75,A92,A124,A192,1
A14,2012,A65,A74,A92,A123,A191,1
A11,1433,A61,A73,A92,A122,A191,1
A14,3059,A64,A74,A91,A121,A191,1
A14,2708,A61,A72,A93,A122,A191,1
A11,7721,A65,A72,A92,A122,A192,1
A14,2096,A61,A74,A93,A121,A191,1
A14,362,A62,A73,A92,A123,A191,1
A14,1364,A61,A73,A92,A123,A192,1
A12,1308,A61,A75,A93,A123,A191,1
A14,1533,A61,A72,A92,A123,A192,1
A12,6204,A61,A73,A93,A121,A192,1
A14,1249,A61,A72,A94,A121,A191,1
A14,3422,A61,A75,A93,A122,A192,1
A12,2326,A63,A73,A93,A123,A191,1
A14,1554,A61,A74,A92,A123,A192,1
A14,5842,A61,A75,A93,A122,A192,1
A14,1098,A61,A71,A92,A123,A191,1
A14,2993,A61,A73,A93,A121,A191,1
A14,1287,A64,A75,A92,A121,A192,1
A14,2375,A63,A73,A93,A123,A192,1
A12,4351,A65,A73,A92,A122,A192,1
A14,3368,A64,A75,A93,A124,A192,1
A12,2528,A61,A72,A92,A122,A192,1
A14,2390,A65,A75,A93,A123,A192,1
A14,2872,A62,A75,A93,A121,A192,1
A12,2745,A64,A74,A93,A123,A192,1
A13,4796,A61,A75,A93,A124,A191,1
A14,976,A65,A75,A93,A123,A191,1
A14,2569,A63,A73,A93,A123,A191,1
A14,3595,A61,A75,A93,A123,A191,1
A12,1092,A61,A73,A92,A121,A192,1
A14,4530,A61,A74,A92,A123,A192,1
A14,1867,A65,A75,A93,A123,A192,1
A12,2030,A65,A74,A93,A123,A192,1
A13,1424,A65,A75,A92,A121,A192,1
A12,1967,A61,A75,A92,A123,A192,1
A14,3448,A61,A74,A93,A121,A191,1
A12,2631,A62,A73,A92,A121,A191,1
A11,6187,A62,A74,A94,A123,A191,1
A14,1413,A61,A73,A94,A122,A191,1
A14,804,A61,A75,A93,A123,A191,1
A14,1940,A64,A75,A93,A121,A192,1
A11,1169,A65,A75,A93,A121,A192,1
A14,936,A63,A75,A93,A123,A192,1
A14,2299,A63,A75,A93,A123,A191,1
A14,1255,A61,A75,A93,A121,A191,1
A12,2779,A61,A73,A94,A123,A192,1
A14,1236,A61,A72,A92,A121,A192,1
A14,1154,A62,A71,A92,A121,A191,1
A12,12169,A65,A71,A93,A124,A192,1
A11,666,A64,A74,A92,A121,A192,1
A14,672,A61,A71,A92,A121,A192,1
A14,1884,A61,A75,A93,A123,A192,1
A14,3578,A65,A75,A93,A121,A192,1
A14,1238,A65,A71,A93,A122,A192,1
A14,640,A61,A73,A91,A121,A191,1
A14,11054,A65,A73,A93,A123,A192,1
A11,2799,A61,A73,A93,A121,A191,1
A14,5103,A61,A72,A94,A124,A192,1
A14,1221,A65,A73,A94,A122,A191,1
A12,2899,A65,A75,A93,A123,A191,1
A14,5511,A62,A73,A93,A123,A191,1
A12,1050,A61,A71,A93,A122,A192,1
A11,2384,A61,A75,A93,A121,A191,1
A13,1323,A62,A75,A91,A123,A192,1
