@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
12,A32,A65,A73,A173,1
6,A34,A61,A75,A173,1
24,A32,A61,A75,A173,1
8,A34,A61,A74,A172,1
36,A30,A61,A73,A173,1
6,A34,A62,A73,A173,1
18,A32,A61,A73,A173,1
21,A32,A63,A74,A174,1
24,A32,A62,A74,A173,1
27,A33,A64,A73,A173,1
18,A32,A61,A73,A173,1
15,A32,A65,A73,A173,1
9,A34,A61,A73,A173,1
9,A34,A61,A73,A173,1
20,A30,A62,A75,A173,1
36,A32,A65,A73,A173,1
36,A32,A61,A73,A174,1
24,A34,A62,A74,A173,1
15,A32,A63,A74,A173,1
12,A34,A62,A72,A173,1
36,A33,A62,A74,A172,1
9,A32,A61,A74,A173,1
12,A34,A65,A74,A173,1
18,A32,A61,A73,A173,1
24,A32,A61,A74,A174,1
24,A32,A61,A73,A173,1
6,A32,A61,A73,A172,1
42,A34,A61,A74,A172,1
6,A32,A64,A72,A171,1
36,A33,A61,A73,A173,1
6,A34,A63,A75,A173,1
36,A32,A65,A75,A173,1
18,A34,A61,A75,A174,1
24,A32,A61,A73,A173,1
12,A32,A61,A72,A174,1
10,A32,A65,A74,A173,1
12,A32,A61,A75,A172,1
10,A32,A62,A73,A172,1
18,A32,A61,A74,A173,1
24,A34,A62,A75,A173,1
12,A34,A62,A72,A173,1
18,A32,A61,A75,A174,1
24,A32,A61,A75,A172,1
6,A32,A62,A75,A173,1
36,A34,A61,A75,A173,1
60,A32,A65,A73,A173,1
12,A32,A61,A73,A172,1
12,A34,A61,A74,A172,1
4,A34,A61,A74,A172,1
4,A32,A61,A72,A172,1
10,A32,A65,A72,A173,1
12,A34,A61,A71,A171,1
12,A30,A61,A75,A173,1
27,A34,A61,A75,A174,1
12,A32,A61,A73,A173,1
12,A32,A61,A75,A173,1
30,A31,A64,A73,A173,1
36,A31,A65,A72,A171,1
6,A34,A61,A75,A173,1
10,A32,A61,A73,A173,1
24,A32,A65,A75,A173,1
36,A33,A61,A75,A173,1
24,A31,A61,A73,A173,1
6,A32,A61,A71,A171,1
4,A34,A61,A74,A172,1
33,A33,A61,A73,A173,1
24,A34,A61,A75,A173,1
30,A30,A61,A73,A173,1
24,A34,A61,A74,A173,1
6,A34,A61,A75,A173,1
24,A34,A64,A75,A173,1
24,A32,A63,A74,A173,1
6,A33,A62,A75,A173,1
6,A32,A61,A74,A172,1
30,A34,A65,A74,A173,1
12,A32,A61,A73,A174,1
12,A32,A61,A72,A173,1
11,A32,A64,A72,A173,1
6,A34,A61,A74,A174,1
18,A32,A62,A73,A173,1
39,A32,A63,A73,A173,1
60,A34,A65,A75,A174,1
12,A32,A64,A74,A173,1
12,A32,A61,A73,A173,1
12,A32,A61,A74,A173,1
15,A34,A65,A75,A173,1
18,A32,A61,A74,A173,1
24,A32,A62,A74,A173,1
30,A33,A62,A75,A173,1
18,A33,A65,A73,A173,1
12,A32,A65,A75,A174,1
8,A32,A61,A72,A173,1
18,A32,A61,A74,A173,1
18,A32,A61,A73,A172,1
15,A32,A64,A74,A173,1
12,A32,A61,A74,A173,1
36,A32,A65,A73,A173,1
7,A33,A65,A75,A173,1
18,A33,A65,A75,A173,1
6,A33,A61,A71,A174,1
24,A31,A62,A74,A173,1
15,A32,A61,A72,A173,1
18,A34,A64,A75,A173,1
15,A32,A61,A73,A172,1
14,A33,A61,A73,A172,1
11,A34,A61,A73,A173,1
13,A34,A61,A72,A172,1
15,A33,A64,A74,A173,1
24,A32,A65,A75,A174,1
6,A32,A61,A72,A173,1
12,A33,A61,A73,A172,1
21,A32,A65,A73,A173,1
24,A34,A64,A75,A174,1
12,A32,A61,A73,A173,1
9,A32,A65,A74,A173,1
18,A32,A61,A75,A174,1
4,A34,A61,A74,A173,1
12,A32,A64,A74,A172,1
12,A32,A61,A74,A173,1
12,A32,A64,A73,A173,1
36,A32,A61,A75,A173,1
12,A32,A61,A73,A173,1
18,A32,A64,A72,A173,1
9,A32,A63,A73,A172,1
21,A32,A61,A75,A173,1
15,A32,A61,A71,A173,1
30,A32,A65,A75,A173,1
7,A32,A61,A73,A173,1
36,A34,A61,A73,A173,1
6,A32,A65,A71,A174,1
6,A33,A61,A72,A173,1
36,A32,A61,A72,A174,1
48,A34,A65,A75,A173,1
24,A34,A61,A75,A173,1
9,A32,A61,A75,A172,1
22,A32,A63,A75,A173,1
6,A32,A61,A72,A172,1
12,A32,A65,A75,A172,1
15,A32,A62,A73,A172,1
36,A32,A63,A75,A173,1
12,A34,A65,A75,A173,1
42,A32,A61,A74,A173,1
20,A34,A65,A72,A173,1
21,A32,A65,A74,A172,1
24,A32,A61,A74,A173,1
8,A32,A61,A74,A172,1
24,A34,A61,A74,A173,1
12,A34,A61,A75,A173,1
24,A32,A63,A75,A173,1
6,A32,A61,A72,A174,1
11,A34,A61,A72,A174,1
18,A32,A61,A72,A172,1
21,A32,A64,A75,A172,1
11,A34,A61,A73,A172,1
6,A32,A61,A73,A173,1
9,A34,A61,A73,A173,1
12,A32,A61,A74,A173,1
6,A34,A65,A73,A172,1
26,A32,A61,A72,A173,1
42,A34,A61,A71,A171,1
24,A34,A61,A75,A173,1
18,A32,A61,A73,A174,1
24,A32,A61,A72,A172,1
24,A34,A62,A74,A173,1
48,A32,A61,A74,A173,1
15,A34,A64,A75,A173,1
24,A32,A64,A74,A173,1
9,A32,A61,A73,A173,1
18,A34,A61,A72,A173,1
24,A32,A62,A73,A173,1
24,A34,A65,A73,A173,1
15,A34,A61,A73,A173,1
24,A32,A61,A72,A173,1
13,A32,A62,A71,A173,1
15,A32,A61,A73,A173,1
60,A33,A61,A74,A173,1
12,A32,A61,A73,A173,1
12,A34,A61,A75,A174,1
18,A34,A61,A75,A173,1
18,A34,A65,A73,A173,1
15,A34,A61,A73,A173,1
18,A34,A61,A75,A173,1
30,A30,A61,A73,A173,1
15,A32,A61,A72,A173,1
15,A32,A61,A72,A173,1
47,A32,A61,A72,A172,1
12,A32,A62,A74,A173,1
24,A33,A62,A74,A174,1
24,A32,A65,A73,A173,1
15,A32,A61,A74,A173,1
36,A32,A65,A73,A172,1
24,A32,A61,A73,A173,1
6,A32,A61,A74,A173,1
8,A32,A61,A73,A173,1
6,A34,A65,A75,A173,1
18,A32,A61,A73,A174,1
9,A32,A65,A72,A171,1
6,A32,A62,A75,A173,1
27,A32,A61,A72,A173,1
24,A32,A61,A72,A173,1
18,A33,A61,A71,A173,1
36,A34,A65,A73,A174,1
15,A34,A61,A75,A173,1
24,A32,A61,A72,A173,1
21,A32,A65,A74,A173,1
6,A34,A61,A74,A173,1
24,A33,A65,A72,A172,1
6,A32,A63,A73,A173,1
24,A32,A61,A74,A174,1
12,A34,A61,A73,A173,1
30,A34,A61,A73,A173,1
18,A34,A65,A71,A174,1
6,A31,A65,A73,A172,1
12,A32,A61,A74,A173,1
13,A34,A61,A72,A173,1
12,A32,A63,A75,A173,1
20,A33,A61,A73,A173,1
24,A32,A61,A72,A173,1
18,A34,A61,A71,A171,1
18,A34,A61,A72,A173,1
12,A34,A61,A73,A172,1
24,A34,A61,A72,A173,1
24,A32,A61,A72,A172,1
8,A34,A61,A75,A172,1
24,A34,A65,A75,A173,1
24,A34,A62,A75,A173,1
12,A34,A61,A74,A173,1
11,A32,A64,A75,A173,1
12,A32,A64,A72,A172,1
12,A32,A61,A73,A173,1
24,A32,A62,A74,A173,1
24,A32,A65,A74,A173,1
12,A34,A62,A74,A173,1
24,A32,A61,A73,A172,1
12,A32,A61,A73,A173,1
12,A32,A61,A72,A172,1
48,A32,A65,A71,A171,1
21,A32,A64,A72,A173,1
18,A32,A61,A75,A173,1
60,A32,A62,A74,A173,1
18,A34,A61,A74,A174,1
24,A34,A64,A75,A173,1
21,A33,A61,A73,A173,1
48,A31,A61,A73,A173,1
12,A32,A61,A73,A172,1
27,A34,A64,A72,A172,1
10,A34,A61,A75,A173,1
6,A34,A61,A74,A173,1
24,A32,A61,A75,A174,1
12,A32,A61,A73,A173,1
11,A34,A64,A73,A173,1
18,A34,A61,A72,A174,1
15,A32,A61,A74,A173,1
12,A32,A65,A73,A173,1
22,A32,A65,A74,A173,1
21,A34,A61,A75,A174,1
6,A34,A61,A73,A173,1
12,A32,A63,A73,A173,1
18,A32,A62,A73,A173,1
18,A32,A65,A74,A172,1
54,A30,A65,A73,A172,1
12,A30,A61,A73,A172,1
24,A32,A64,A73,A173,1
39,A33,A62,A74,A173,1
12,A33,A61,A73,A173,1
36,A34,A61,A75,A173,1
9,A34,A61,A71,A174,1
12,A34,A65,A75,A172,1
24,A33,A61,A75,A173,1
36,A32,A61,A73,A174,1
24,A33,A62,A74,A173,1
21,A32,A62,A73,A174,1
10,A32,A61,A72,A173,1
48,A32,A65,A74,A173,1
10,A32,A61,A75,A172,1
36,A32,A61,A73,A173,1
24,A32,A62,A72,A173,1
18,A32,A65,A74,A173,1
15,A32,A65,A75,A173,1
12,A32,A61,A73,A172,1
48,A33,A62,A71,A174,1
21,A34,A61,A75,A173,1
6,A34,A61,A74,A173,1
30,A32,A65,A74,A172,1
21,A33,A61,A73,A172,1
12,A32,A61,A72,A173,1
12,A32,A61,A73,A173,1
12,A34,A65,A75,A173,1
12,A32,A61,A73,A172,1
14,A32,A63,A75,A173,1
9,A32,A61,A73,A173,1
6,A34,A61,A71,A174,1
9,A32,A61,A73,A172,1
48,A34,A61,A73,A173,1
24,A34,A61,A73,A174,1
24,A34,A61,A71,A174,1
24,A34,A64,A75,A173,1
18,A34,A61,A71,A171,1
6,A34,A61,A73,A173,1
21,A32,A65,A75,A173,1
15,A32,A63,A75,A173,1
15,A32,A63,A75,A173,1
10,A32,A61,A73,A172,1
24,A34,A65,A74,A173,1
6,A32,A65,A71,A174,1
6,A32,A61,A72,A173,1
10,A34,A65,A74,A173,1
14,A32,A61,A71,A173,1
24,A32,A63,A75,A174,1
15,A32,A61,A75,A174,1
24,A33,A61,A73,A173,1
45,A34,A62,A71,A173,1
12,A32,A61,A75,A173,1
24,A34,A61,A75,A174,1
6,A32,A61,A75,A173,1
24,A34,A65,A74,A173,1
30,A34,A61,A74,A173,1
12,A32,A61,A73,A173,1
12,A34,A65,A74,A173,1
10,A34,A65,A72,A173,1
48,A31,A65,A71,A174,1
30,A34,A65,A75,A173,1
24,A34,A65,A74,A173,1
18,A32,A61,A72,A173,1
12,A32,A61,A74,A174,1
9,A32,A63,A75,A172,1
15,A32,A65,A74,A172,1
48,A34,A65,A75,A173,1
24,A34,A62,A73,A172,1
12,A33,A61,A73,A173,1
15,A32,A61,A72,A173,1
18,A32,A61,A72,A173,1
33,A34,A61,A74,A174,1
24,A34,A61,A71,A174,1
24,A32,A65,A75,A173,1
36,A32,A62,A74,A173,1
6,A32,A63,A73,A173,1
18,A32,A64,A73,A172,1
6,A32,A64,A73,A173,1
24,A34,A65,A75,A173,1
24,A33,A61,A72,A173,1
36,A32,A61,A75,A173,1
12,A34,A61,A75,A172,1
24,A32,A63,A75,A173,1
24,A32,A61,A73,A173,1
21,A33,A62,A74,A174,1
10,A32,A63,A75,A173,1
18,A32,A61,A72,A173,1
24,A34,A65,A73,A173,1
24,A32,A62,A75,A173,1
30,A34,A61,A75,A173,1
36,A34,A61,A73,A173,1
6,A34,A65,A75,A173,1
9,A32,A61,A73,A172,1
6,A32,A61,A73,A173,1
6,A34,A61,A72,A172,1
24,A32,A61,A72,A173,1
30,A32,A61,A72,A173,1
42,A34,A61,A75,A173,1
20,A32,A65,A71,A174,1
18,A32,A62,A73,A172,1
12,A34,A61,A71,A174,1
30,A34,A62,A74,A173,1
12,A31,A64,A73,A173,1
18,A34,A61,A73,A173,1
15,A33,A61,A73,A173,1
12,A32,A61,A73,A172,1
24,A32,A65,A71,A174,1
48,A33,A63,A74,A174,1
9,A34,A61,A73,A172,1
12,A32,A61,A73,A173,1
28,A31,A65,A72,A173,1
12,A31,A61,A75,A172,1
24,A32,A62,A72,A173,1
60,A33,A65,A73,A172,1
36,A33,A62,A75,A173,1
24,A32,A61,A75,A173,1
36,A32,A63,A75,A173,1
12,A34,A61,A75,A173,1
24,A32,A61,A75,A173,1
12,A32,A61,A73,A173,1
10,A32,A61,A73,A173,1
30,A34,A61,A74,A174,1
24,A32,A62,A75,A172,1
12,A34,A63,A75,A173,1
24,A31,A61,A74,A173,1
15,A33,A61,A75,A172,1
12,A34,A61,A73,A173,1
30,A32,A61,A75,A173,1
7,A32,A61,A72,A173,1
24,A32,A61,A75,A174,1
18,A32,A65,A72,A173,1
15,A32,A65,A73,A173,1
36,A33,A65,A74,A174,1
24,A34,A64,A75,A173,1
18,A32,A65,A73,A173,1
48,A30,A65,A73,A174,1
12,A34,A61,A75,A173,1
6,A34,A64,A73,A172,1
10,A32,A63,A73,A172,1
18,A33,A61,A73,A172,1
6,A34,A65,A73,A173,1
24,A34,A61,A75,A173,1
39,A32,A62,A75,A174,1
12,A34,A61,A75,A172,1
16,A34,A61,A71,A171,1
12,A34,A63,A71,A171,1
15,A32,A61,A75,A172,1
24,A34,A65,A73,A174,1
24,A32,A61,A73,A172,1
18,A34,A61,A73,A173,1
24,A33,A65,A73,A173,1
12,A32,A64,A73,A173,1
36,A32,A61,A74,A173,1
13,A32,A61,A72,A172,1
24,A32,A61,A74,A173,1
18,A34,A61,A73,A173,1
42,A34,A63,A73,A173,1
10,A34,A65,A73,A173,1
12,A32,A65,A71,A174,1
6,A33,A62,A73,A172,1
12,A32,A61,A73,A173,1
48,A32,A61,A74,A174,1
12,A34,A61,A74,A172,1
27,A32,A61,A73,A174,1
10,A32,A62,A73,A173,1
12,A34,A61,A73,A172,1
12,A34,A61,A72,A172,1
24,A32,A61,A75,A172,1
36,A32,A61,A73,A173,1
36,A34,A61,A75,A174,1
36,A34,A61,A73,A173,1
15,A34,A63,A73,A173,1
15,A32,A65,A72,A173,1
36,A34,A61,A74,A173,1
6,A34,A65,A72,A172,1
24,A32,A65,A73,A172,1
12,A32,A61,A72,A174,1
9,A32,A65,A75,A172,1
18,A34,A65,A73,A173,1
12,A32,A65,A75,A174,1
30,A32,A64,A75,A173,1
24,A32,A61,A73,A173,1
48,A30,A63,A72,A173,1
24,A34,A64,A73,A173,1
36,A33,A61,A73,A173,1
15,A34,A63,A73,A172,1
24,A32,A61,A72,A173,1
24,A33,A65,A73,A173,1
9,A32,A61,A72,A173,1
24,A34,A64,A73,A173,1
36,A32,A61,A73,A173,1
6,A31,A63,A75,A172,1
18,A31,A61,A72,A174,1
36,A32,A61,A74,A173,1
12,A32,A61,A75,A173,1
24,A32,A65,A72,A173,1
15,A34,A65,A75,A173,1
9,A34,A61,A75,A172,1
6,A32,A63,A73,A173,1
30,A32,A65,A75,A173,1
12,A32,A61,A71,A174,1
27,A32,A65,A75,A173,1
15,A32,A61,A73,A173,1
48,A34,A65,A74,A173,1
6,A34,A63,A73,A173,1
12,A34,A61,A75,A173,1
18,A32,A61,A72,A173,1
18,A30,A61,A73,A173,1
6,A34,A61,A73,A172,1
9,A32,A61,A73,A173,1
36,A34,A65,A75,A173,1
48,A32,A65,A74,A173,1
4,A34,A61,A74,A172,1
12,A32,A61,A75,A174,1
18,A32,A61,A72,A173,1
9,A32,A62,A75,A173,1
6,A32,A65,A75,A173,1
12,A34,A65,A75,A173,1
9,A34,A62,A75,A173,1
15,A32,A63,A73,A173,1
24,A32,A61,A73,A172,2
20,A34,A61,A73,A173,2
18,A32,A61,A71,A171,2
36,A33,A61,A74,A173,2
60,A32,A61,A73,A173,2
24,A32,A61,A72,A172,2
18,A34,A61,A71,A171,2
24,A32,A61,A73,A174,2
48,A32,A61,A72,A173,2
36,A31,A61,A75,A173,2
18,A31,A61,A75,A174,2
30,A32,A61,A72,A172,2
24,A32,A62,A71,A173,2
36,A34,A61,A72,A173,2
12,A32,A61,A75,A173,2
18,A34,A61,A75,A173,2
24,A32,A61,A74,A173,2
24,A34,A61,A72,A172,2
24,A32,A61,A72,A172,2
12,A32,A61,A75,A173,2
12,A32,A61,A74,A173,2
36,A32,A61,A73,A173,2
24,A31,A61,A74,A172,2
18,A32,A61,A73,A172,2
40,A34,A61,A73,A173,2
60,A31,A62,A75,A174,2
21,A34,A65,A75,A174,2
9,A32,A61,A72,A173,2
12,A32,A61,A72,A172,2
36,A30,A61,A75,A174,2
27,A34,A63,A73,A172,2
9,A32,A61,A72,A173,2
36,A32,A61,A73,A173,2
24,A32,A65,A75,A173,2
48,A30,A61,A73,A173,2
28,A32,A61,A73,A172,2
9,A32,A61,A73,A172,2
10,A32,A62,A75,A172,2
18,A34,A61,A74,A173,2
15,A32,A61,A73,A173,2
12,A32,A61,A72,A173,2
18,A32,A65,A75,A173,2
18,A31,A61,A73,A173,2
12,A34,A61,A73,A173,2
12,A34,A65,A75,A172,2
9,A32,A61,A73,A172,2
36,A32,A61,A73,A173,2
45,A30,A61,A75,A173,2
12,A34,A61,A71,A174,2
9,A32,A61,A72,A174,2
18,A32,A65,A73,A173,2
6,A32,A61,A75,A174,2
30,A34,A61,A74,A173,2
72,A32,A62,A73,A173,2
8,A32,A61,A73,A173,2
18,A30,A62,A72,A173,2
30,A32,A65,A75,A173,2
12,A32,A61,A74,A172,2
18,A32,A61,A73,A173,2
24,A31,A61,A72,A173,2
12,A32,A61,A73,A172,2
12,A30,A61,A73,A173,2
36,A33,A62,A75,A174,2
24,A32,A64,A73,A174,2
36,A34,A61,A72,A173,2
48,A32,A61,A73,A173,2
45,A32,A61,A73,A173,2
36,A33,A61,A72,A173,2
36,A32,A61,A75,A173,2
36,A34,A61,A72,A172,2
18,A32,A65,A73,A173,2
12,A30,A61,A74,A173,2
24,A32,A65,A73,A173,2
24,A32,A61,A75,A173,2
48,A30,A61,A73,A173,2
24,A32,A62,A75,A173,2
18,A34,A61,A75,A173,2
24,A32,A62,A72,A173,2
24,A33,A61,A73,A173,2
36,A32,A61,A73,A174,2
48,A32,A61,A72,A173,2
48,A32,A61,A74,A173,2
60,A32,A61,A75,A173,2
24,A32,A61,A74,A173,2
12,A32,A61,A74,A173,2
18,A32,A61,A73,A173,2
24,A32,A63,A72,A173,2
12,A32,A61,A73,A172,2
6,A34,A61,A73,A174,2
18,A32,A61,A71,A171,2
24,A31,A65,A75,A174,2
30,A32,A62,A73,A173,2
24,A32,A61,A72,A173,2
24,A31,A61,A74,A173,2
10,A32,A65,A73,A172,2
33,A34,A63,A73,A173,2
30,A30,A62,A73,A172,2
36,A34,A61,A74,A173,2
12,A33,A64,A75,A173,2
9,A34,A61,A75,A174,2
48,A32,A65,A73,A173,2
12,A32,A61,A72,A173,2
36,A33,A65,A72,A173,2
18,A33,A61,A73,A173,2
24,A33,A61,A72,A172,2
36,A32,A61,A74,A173,2
48,A34,A61,A75,A173,2
36,A30,A61,A73,A173,2
12,A32,A61,A75,A172,2
48,A32,A61,A74,A173,2
12,A32,A61,A74,A173,2
24,A34,A61,A75,A172,2
12,A32,A65,A73,A173,2
36,A33,A61,A73,A173,2
6,A31,A64,A72,A173,2
30,A33,A61,A75,A174,2
24,A32,A63,A75,A173,2
48,A30,A61,A73,A174,2
12,A30,A61,A73,A173,2
9,A32,A61,A73,A173,2
12,A31,A61,A73,A172,2
60,A33,A61,A75,A173,2
36,A32,A61,A71,A174,2
36,A32,A61,A75,A173,2
48,A32,A61,A73,A173,2
24,A32,A61,A75,A174,2
18,A32,A61,A73,A173,2
24,A34,A61,A73,A174,2
12,A32,A63,A73,A172,2
24,A33,A61,A72,A173,2
18,A32,A61,A72,A173,2
12,A32,A61,A75,A174,2
24,A33,A61,A72,A173,2
9,A34,A64,A75,A173,2
15,A31,A62,A73,A173,2
9,A32,A61,A72,A173,2
9,A32,A61,A74,A173,2
12,A31,A61,A73,A173,2
48,A34,A61,A73,A174,2
48,A34,A61,A75,A172,2
24,A31,A61,A74,A172,2
12,A32,A62,A71,A173,2
24,A31,A61,A71,A171,2
9,A32,A61,A73,A173,2
12,A32,A65,A71,A174,2
18,A31,A61,A74,A172,2
12,A30,A61,A72,A173,2
24,A30,A61,A73,A172,2
9,A30,A61,A72,A174,2
30,A33,A62,A72,A174,2
6,A33,A61,A71,A174,2
27,A30,A61,A71,A173,2
15,A32,A61,A72,A172,2
30,A31,A65,A71,A174,2
36,A32,A61,A73,A173,2
24,A34,A61,A75,A173,2
12,A32,A63,A73,A172,2
36,A32,A62,A73,A173,2
18,A33,A61,A74,A173,2
12,A32,A65,A73,A173,2
18,A34,A62,A73,A173,2
12,A32,A61,A72,A173,2
12,A32,A62,A74,A173,2
60,A32,A61,A74,A174,2
48,A34,A63,A73,A173,2
24,A33,A61,A71,A174,2
24,A33,A61,A71,A173,2
18,A32,A61,A73,A172,2
12,A32,A61,A75,A172,2
48,A32,A64,A74,A173,2
48,A32,A61,A71,A174,2
16,A34,A61,A75,A173,2
24,A34,A62,A72,A173,2
18,A32,A61,A73,A173,2
36,A32,A61,A72,A172,2
6,A32,A65,A71,A171,2
18,A32,A61,A71,A173,2
21,A31,A65,A73,A172,2
24,A32,A65,A72,A173,2
18,A34,A61,A72,A172,2
24,A32,A61,A72,A173,2
36,A33,A61,A73,A174,2
30,A32,A61,A72,A172,2
18,A32,A65,A72,A173,2
54,A30,A61,A72,A173,2
18,A34,A61,A73,A173,2
48,A32,A61,A74,A173,2
36,A32,A61,A75,A174,2
45,A32,A62,A73,A173,2
18,A32,A61,A71,A173,2
12,A32,A61,A72,A172,2
24,A33,A61,A75,A172,2
14,A32,A61,A75,A174,2
18,A32,A61,A72,A172,2
18,A30,A61,A72,A173,2
21,A32,A61,A73,A173,2
36,A32,A65,A75,A174,2
60,A32,A62,A72,A174,2
24,A30,A61,A75,A173,2
21,A32,A62,A75,A172,2
36,A33,A61,A75,A173,2
9,A31,A62,A74,A173,2
21,A30,A65,A73,A173,2
18,A30,A61,A73,A173,2
48,A34,A62,A73,A172,2
48,A32,A61,A75,A174,2
12,A31,A61,A72,A171,2
36,A32,A62,A73,A173,2
48,A30,A61,A75,A173,2
21,A34,A61,A72,A173,2
36,A32,A62,A72,A174,2
24,A32,A61,A72,A173,2
15,A33,A64,A73,A173,2
48,A32,A61,A73,A173,2
15,A34,A65,A73,A173,2
27,A32,A61,A73,A173,2
48,A31,A61,A74,A173,2
30,A34,A61,A71,A174,2
12,A32,A63,A73,A173,2
6,A32,A61,A72,A173,2
24,A32,A61,A73,A174,2
12,A34,A61,A75,A173,2
24,A32,A61,A73,A172,2
18,A33,A61,A75,A174,2
18,A34,A61,A73,A173,2
18,A32,A61,A73,A173,2
30,A34,A61,A71,A174,2
