@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A11,A72,4,2,29,A141,1,A173,1
A14,A72,2,4,22,A143,1,A173,1
A14,A72,3,3,47,A143,3,A173,1
A13,A73,2,2,36,A142,2,A173,1
A14,A75,4,4,60,A143,1,A173,1
A12,A74,1,2,24,A143,1,A173,1
A14,A75,4,4,61,A143,2,A172,1
A14,A73,3,1,29,A143,1,A173,1
A14,A71,1,4,54,A143,1,A171,1
A11,A74,4,1,25,A143,1,A173,1
A14,A75,4,4,52,A143,3,A173,1
A11,A74,4,3,49,A143,2,A173,1
A13,A75,3,4,51,A143,1,A173,1
A12,A73,4,4,38,A143,1,A173,1
A12,A75,2,4,42,A143,1,A173,1
A14,A73,1,2,26,A143,1,A173,1
A14,A74,3,3,38,A143,1,A174,1
A14,A73,4,2,29,A143,2,A174,1
A14,A74,4,4,25,A143,1,A173,1
A14,A74,4,2,33,A143,2,A173,1
A11,A71,4,2,29,A143,1,A174,1
A14,A75,4,4,52,A143,1,A174,1
A13,A72,2,1,33,A143,2,A173,1
A11,A73,4,4,22,A143,1,A172,1
A12,A74,2,3,27,A143,2,A173,1
A14,A75,4,4,43,A143,3,A173,1
A11,A75,3,1,35,A143,1,A173,1
A14,A73,2,4,64,A143,1,A173,1
A14,A73,3,2,35,A143,1,A172,1
A11,A75,2,1,49,A141,1,A173,1
A11,A74,4,4,39,A143,1,A173,1
A14,A75,4,4,46,A143,2,A173,1
A14,A72,4,2,32,A142,2,A172,1
A11,A71,3,4,55,A143,1,A174,1
A14,A75,2,2,45,A143,2,A173,1
A14,A73,1,1,28,A143,2,A173,1
A14,A74,4,4,37,A143,2,A173,1
A14,A73,4,3,31,A143,1,A173,1
A11,A72,2,4,40,A143,1,A172,1
A14,A73,2,2,26,A143,2,A172,1
A11,A72,3,4,36,A141,1,A174,1
A14,A75,4,4,58,A143,1,A173,1
A14,A74,2,1,35,A143,2,A173,1
A12,A75,4,2,42,A143,2,A173,1
A11,A74,4,3,30,A143,1,A174,1
A14,A75,1,4,35,A143,1,A173,1
A11,A73,2,4,28,A143,1,A173,1
A14,A73,4,2,27,A143,2,A172,1
A12,A74,2,4,51,A143,1,A173,1
A12,A73,4,3,24,A143,1,A173,1
A14,A73,2,1,31,A143,1,A173,1
A14,A73,4,4,29,A143,1,A174,1
A14,A72,1,3,23,A143,1,A172,1
A14,A72,1,4,20,A143,1,A173,1
A12,A75,4,4,38,A143,1,A173,1
A14,A73,4,4,47,A141,2,A173,1
A14,A75,1,4,59,A143,1,A173,1
A11,A73,4,1,23,A141,1,A173,1
A12,A73,1,1,27,A143,1,A172,1
A11,A75,2,4,26,A143,1,A173,1
A14,A75,4,4,36,A143,2,A173,1
A14,A75,3,4,53,A143,1,A173,1
A14,A72,3,4,39,A143,1,A173,1
A13,A75,4,4,40,A143,1,A174,1
A14,A75,2,4,63,A141,1,A174,1
A14,A73,3,2,27,A143,2,A173,1
A14,A73,4,2,32,A143,1,A174,1
A14,A73,4,2,30,A143,1,A174,1
A11,A75,3,4,51,A141,2,A174,1
A12,A73,4,2,30,A143,1,A173,1
A12,A72,4,1,26,A141,1,A172,1
A14,A73,3,4,24,A143,1,A172,1
A12,A74,3,4,30,A143,1,A173,1
A12,A73,2,2,54,A143,1,A173,1
A14,A74,4,3,26,A143,1,A173,1
A14,A72,4,3,27,A143,2,A172,1
A12,A75,3,4,37,A143,1,A173,1
A12,A75,4,4,25,A143,1,A173,1
A11,A72,2,3,36,A143,1,A173,1
A14,A73,2,4,28,A143,1,A173,1
A12,A73,4,4,34,A143,1,A173,1
A14,A74,4,3,40,A143,1,A173,1
A12,A73,4,4,49,A143,2,A173,1
A14,A73,4,4,37,A143,1,A173,1
A14,A73,4,1,35,A141,1,A173,1
A12,A74,2,1,27,A143,1,A173,1
A12,A71,4,4,36,A143,1,A174,1
A12,A74,3,3,28,A141,1,A172,1
A14,A73,3,3,27,A143,2,A172,1
A14,A75,2,4,45,A141,1,A172,1
A14,A73,2,2,31,A143,1,A173,1
A14,A73,3,2,24,A143,1,A173,1
A14,A74,3,4,26,A143,2,A173,1
A11,A72,1,1,35,A143,1,A172,1
A14,A73,1,2,34,A143,2,A172,1
A14,A74,3,1,27,A143,2,A173,1
A11,A73,1,2,40,A143,2,A172,1
A14,A74,3,3,35,A143,2,A172,1
A13,A73,2,2,37,A143,1,A173,1
A11,A74,4,3,26,A143,1,A173,1
A14,A75,4,1,38,A143,2,A172,1
A14,A75,4,1,36,A143,1,A174,1
A14,A73,2,2,32,A143,1,A174,1
A13,A75,4,4,63,A143,2,A173,1
A12,A75,4,4,28,A143,1,A173,1
A14,A74,4,2,31,A142,1,A173,1
A14,A74,3,2,51,A143,1,A173,1
A14,A73,4,4,50,A143,1,A173,1
A14,A73,4,2,32,A143,2,A173,1
A13,A75,1,4,46,A143,2,A173,1
A14,A73,4,2,40,A143,1,A173,1
A14,A75,4,4,39,A143,1,A172,1
A14,A74,1,4,33,A141,1,A172,1
A14,A74,2,3,24,A141,2,A173,1
A13,A73,3,1,24,A143,1,A173,1
A11,A74,4,3,37,A143,2,A173,1
A12,A75,4,4,54,A143,1,A173,1
A14,A73,4,2,28,A143,1,A173,1
A11,A71,4,3,75,A143,1,A174,1
A14,A75,2,4,42,A141,1,A173,1
A11,A74,4,3,58,A143,4,A172,1
A11,A75,4,4,57,A143,2,A173,1
A13,A73,2,2,41,A143,1,A173,1
A14,A75,4,3,38,A143,2,A173,1
A12,A72,4,1,30,A143,1,A174,1
A12,A74,3,3,36,A143,1,A174,1
A14,A75,2,2,30,A143,2,A173,1
A14,A73,4,2,28,A143,1,A173,1
A12,A73,2,2,35,A143,1,A173,1
A12,A72,1,3,25,A143,1,A173,1
A12,A74,3,4,39,A143,1,A172,1
A14,A72,1,4,23,A143,1,A173,1
A12,A72,2,3,30,A143,2,A173,1
A14,A73,4,2,35,A143,2,A172,1
A12,A73,4,1,26,A143,1,A173,1
A11,A75,4,4,52,A143,2,A173,1
A14,A72,1,2,56,A143,1,A173,1
A11,A74,1,4,31,A143,1,A173,1
A14,A75,4,4,34,A143,2,A174,1
A11,A73,2,2,27,A142,1,A173,1
A12,A72,4,1,20,A143,1,A173,1
A14,A73,1,2,24,A143,1,A173,1
A14,A75,4,2,38,A143,2,A173,1
A12,A74,4,4,36,A143,1,A174,1
A12,A73,1,4,33,A141,2,A173,1
A12,A75,3,3,40,A141,2,A172,1
A11,A75,4,4,63,A143,2,A173,1
A12,A72,4,2,29,A141,1,A172,1
A14,A75,4,3,32,A143,1,A173,1
A14,A75,4,4,46,A143,1,A174,1
A14,A74,2,4,61,A143,1,A172,1
A11,A72,1,4,22,A143,1,A173,1
A14,A75,4,2,52,A143,2,A173,1
A12,A75,3,4,48,A141,2,A172,1
A12,A72,2,4,23,A143,1,A172,1
A12,A75,1,4,28,A143,3,A173,1
A12,A73,4,4,42,A143,2,A173,1
A14,A74,2,4,24,A142,1,A172,1
A14,A75,4,2,45,A143,1,A174,1
A12,A71,1,2,24,A143,1,A171,1
A14,A71,4,4,38,A143,1,A174,1
A11,A75,2,4,36,A143,3,A174,1
A12,A72,2,1,22,A143,1,A173,1
A11,A74,4,1,32,A143,2,A174,1
A14,A73,1,2,32,A143,1,A173,1
A14,A74,4,3,27,A143,2,A173,1
A11,A74,1,4,39,A143,2,A172,1
A11,A75,2,4,42,A143,1,A173,1
A12,A73,1,2,33,A143,1,A172,1
A13,A73,2,2,36,A143,1,A173,1
A12,A72,3,1,22,A143,1,A172,1
A14,A75,3,4,33,A143,2,A173,1
A12,A72,3,3,26,A143,1,A172,1
A12,A73,4,2,35,A143,1,A172,1
A14,A75,2,4,63,A143,2,A172,1
A12,A73,4,4,20,A143,2,A173,1
A14,A73,1,4,43,A143,1,A172,1
A14,A73,4,1,25,A142,1,A173,1
A11,A72,4,1,22,A141,1,A173,1
A11,A74,2,4,45,A143,1,A173,1
A14,A75,4,4,39,A143,1,A173,1
A14,A72,4,2,21,A143,1,A173,1
A12,A71,1,2,55,A141,1,A174,1
A14,A75,4,4,36,A143,2,A173,1
A14,A73,2,4,52,A143,1,A173,1
A12,A73,4,2,25,A143,1,A172,1
A14,A72,2,4,26,A143,1,A173,1
A14,A74,4,4,50,A141,1,A173,1
A14,A75,4,3,50,A143,1,A173,1
A14,A73,2,2,26,A143,1,A173,1
A11,A71,1,2,23,A143,1,A171,1
A11,A75,2,4,44,A143,2,A174,1
A11,A71,2,4,75,A143,2,A174,1
A14,A72,3,1,26,A143,1,A173,1
A11,A75,4,4,67,A143,2,A173,1
A14,A75,4,4,35,A143,1,A174,1
A14,A73,4,3,35,A143,1,A172,1
A14,A74,2,3,49,A143,1,A172,1
A14,A74,4,1,37,A143,1,A174,1
A14,A73,2,3,35,A143,2,A173,1
A11,A73,4,1,21,A143,1,A172,1
A14,A75,4,3,46,A143,2,A173,1
A14,A74,4,3,32,A143,1,A173,1
A12,A74,2,4,23,A143,1,A172,1
A11,A73,3,2,25,A143,1,A173,1
A12,A74,4,2,30,A143,1,A173,1
A14,A74,4,3,51,A143,2,A173,1
A14,A72,4,3,38,A142,1,A173,1
A13,A72,2,4,26,A143,1,A173,1
A11,A74,2,4,39,A141,1,A174,1
A11,A75,4,4,58,A143,1,A172,1
A14,A74,2,2,29,A143,1,A173,1
A14,A71,2,4,26,A143,1,A174,1
A11,A73,4,4,23,A141,1,A173,1
A12,A73,2,2,48,A141,1,A174,1
A14,A73,4,2,44,A143,2,A173,1
A11,A73,3,4,35,A143,1,A172,1
A13,A72,2,2,27,A143,1,A171,1
A14,A73,2,2,31,A142,2,A173,1
A14,A73,4,2,35,A143,2,A173,1
A12,A74,3,3,28,A143,1,A172,1
A11,A73,2,3,30,A143,1,A173,1
A14,A72,2,3,45,A143,1,A174,1
A14,A75,4,4,35,A143,2,A173,1
A14,A73,3,2,25,A143,1,A173,1
A12,A74,2,1,41,A141,2,A172,1
A11,A74,2,3,32,A141,1,A173,1
A14,A75,3,2,37,A143,2,A173,1
A14,A72,4,2,25,A143,2,A173,1
A12,A74,2,3,32,A143,1,A173,1
A12,A75,4,4,20,A143,1,A173,1
A14,A75,3,3,32,A141,2,A173,1
A12,A72,4,1,23,A143,1,A173,1
A14,A73,4,3,46,A143,2,A173,1
A12,A73,2,2,37,A143,1,A172,1
A14,A72,4,4,26,A143,1,A173,1
A14,A73,4,4,52,A143,2,A172,1
A14,A75,4,2,30,A141,1,A174,1
A14,A75,4,4,57,A143,1,A172,1
A12,A74,4,3,35,A143,1,A173,1
A14,A75,2,2,26,A143,2,A173,1
A11,A75,4,4,64,A141,1,A172,1
A12,A74,2,3,47,A143,2,A172,1
A14,A75,4,4,47,A141,3,A173,1
A12,A75,4,4,43,A143,1,A173,1
A14,A74,3,1,35,A143,1,A173,1
A13,A75,3,2,23,A143,1,A174,1
A14,A74,3,2,35,A143,1,A173,1
A13,A73,3,3,42,A143,2,A173,1
A11,A75,4,4,24,A143,1,A173,1
A11,A73,2,2,36,A143,2,A173,1
A12,A72,4,1,26,A143,1,A173,1
A12,A75,4,3,30,A143,1,A173,1
A11,A73,4,2,43,A143,2,A172,1
A14,A75,4,4,39,A143,1,A174,1
A12,A72,1,1,30,A143,2,A173,1
A14,A74,4,3,37,A142,1,A173,1
A11,A73,3,2,39,A143,2,A172,1
A14,A73,1,1,27,A142,1,A173,1
A13,A73,2,4,36,A143,2,A173,1
A14,A74,4,4,26,A143,1,A174,1
A12,A72,3,4,44,A143,1,A173,1
A12,A72,4,1,27,A143,2,A173,1
A11,A72,4,1,27,A143,1,A173,1
A12,A75,3,4,31,A141,2,A173,1
A14,A73,2,3,26,A143,1,A173,1
A14,A74,3,4,37,A143,1,A173,1
A14,A73,4,4,44,A143,1,A173,1
A13,A75,4,4,20,A143,2,A173,1
A11,A73,4,4,22,A142,1,A173,1
A14,A75,4,4,65,A143,4,A173,1
A11,A72,4,1,27,A142,1,A173,1
A14,A74,4,2,31,A143,2,A174,1
A12,A72,4,1,27,A143,1,A173,1
A12,A72,3,2,26,A143,1,A173,1
A12,A74,2,3,38,A141,2,A173,1
A11,A75,3,4,52,A143,1,A172,1
A14,A75,4,2,38,A143,2,A174,1
A11,A71,1,4,22,A143,1,A173,1
A14,A75,4,2,28,A143,1,A173,1
A14,A74,2,4,25,A143,1,A173,1
A11,A72,1,3,48,A143,2,A172,1
A12,A71,4,2,34,A143,2,A174,1
A11,A73,4,3,27,A143,1,A172,1
A12,A73,3,1,26,A143,1,A173,1
A11,A75,4,4,43,A142,4,A174,1
A13,A72,1,1,45,A142,1,A172,1
A14,A75,3,2,26,A143,1,A174,1
A14,A74,2,3,20,A143,1,A173,1
A12,A75,2,4,29,A143,1,A173,1
A11,A75,2,4,49,A143,1,A172,1
A11,A74,1,4,26,A143,1,A172,1
A12,A72,4,2,35,A143,1,A171,1
A12,A74,3,2,32,A143,2,A173,1
A14,A73,4,2,49,A143,1,A172,1
A14,A74,4,2,61,A143,1,A173,1
A14,A72,2,2,29,A141,1,A173,1
A14,A75,4,2,41,A143,2,A174,1
A12,A73,1,1,23,A143,1,A172,1
A12,A75,4,4,30,A143,1,A173,1
A12,A71,2,3,68,A143,3,A171,1
A14,A74,4,4,23,A143,2,A173,1
A14,A74,1,2,24,A143,2,A173,1
A14,A71,4,4,36,A143,1,A174,1
A12,A74,4,1,41,A143,2,A173,1
A12,A73,4,2,22,A143,1,A173,1
A14,A73,1,2,26,A142,1,A172,1
A14,A73,4,2,24,A143,2,A173,1
A12,A73,4,4,26,A143,1,A172,1
A14,A72,4,1,33,A143,1,A173,1
A11,A75,4,4,44,A143,2,A173,1
A14,A72,2,4,44,A143,2,A173,1
A12,A74,1,3,39,A143,2,A172,1
A14,A73,3,2,33,A143,2,A173,1
A12,A75,4,2,32,A143,1,A172,1
A14,A72,4,1,54,A143,1,A173,1
A12,A75,4,2,48,A143,2,A172,1
A14,A75,4,2,50,A143,2,A173,1
A12,A73,2,3,29,A141,2,A173,1
A14,A75,4,2,54,A141,1,A174,1
A14,A74,2,4,21,A143,2,A173,1
A11,A73,2,3,38,A143,1,A172,1
A11,A73,1,4,22,A141,1,A173,1
A14,A73,3,2,30,A143,1,A173,1
A14,A75,3,4,23,A143,2,A173,1
A14,A75,4,4,33,A143,1,A173,1
A12,A75,2,1,41,A143,1,A173,1
A14,A73,4,4,36,A143,1,A173,1
A14,A73,3,2,24,A143,1,A172,1
A12,A73,1,3,21,A143,1,A173,1
A13,A75,3,4,55,A143,1,A174,1
A13,A71,2,4,66,A141,3,A171,1
A12,A75,1,2,30,A143,2,A174,1
A14,A73,1,1,27,A143,2,A173,1
A12,A72,2,4,24,A143,2,A173,1
A12,A73,4,2,37,A141,2,A174,1
A12,A74,3,2,23,A143,2,A173,1
A14,A74,2,4,29,A143,1,A173,1
A14,A75,4,4,38,A143,1,A173,1
A14,A72,4,1,24,A143,1,A173,1
A12,A73,4,3,66,A143,1,A172,1
A14,A73,4,2,28,A143,1,A173,1
A11,A73,4,2,40,A143,1,A172,1
A14,A75,4,2,25,A143,2,A173,1
A14,A74,3,4,43,A143,2,A173,1
A14,A73,4,2,27,A143,2,A173,1
A13,A74,4,4,49,A141,1,A172,1
A13,A72,4,1,26,A143,1,A173,1
A14,A75,4,4,60,A143,2,A173,1
A14,A73,3,2,40,A143,1,A172,1
A14,A75,2,4,45,A143,1,A172,1
A14,A73,1,2,30,A141,1,A173,1
A14,A73,4,4,48,A143,3,A173,1
A14,A72,4,3,34,A143,1,A173,1
A11,A73,3,2,28,A143,2,A173,1
A14,A72,4,1,29,A143,1,A174,1
A14,A72,2,1,37,A143,2,A172,1
A12,A75,4,4,38,A143,2,A172,1
A12,A73,4,4,22,A143,1,A172,1
A14,A74,4,2,25,A143,2,A173,1
A14,A74,3,4,23,A143,1,A173,1
A14,A74,3,2,35,A143,2,A174,1
A11,A73,4,3,24,A143,1,A172,1
A14,A73,2,2,47,A143,2,A172,1
A14,A73,4,4,41,A143,1,A173,1
A11,A73,1,2,23,A143,2,A173,1
A11,A72,2,3,25,A141,3,A173,1
A12,A72,4,2,37,A143,1,A173,1
A12,A73,3,2,34,A143,1,A173,1
A14,A75,4,2,29,A143,2,A173,1
A12,A72,1,3,49,A141,2,A172,1
A14,A75,3,4,35,A143,1,A173,1
A14,A75,4,4,54,A143,2,A173,1
A14,A75,2,2,34,A143,1,A173,1
A11,A72,4,4,28,A143,1,A174,1
A11,A73,2,3,25,A143,2,A173,1
A14,A73,3,4,43,A143,1,A173,1
A14,A73,4,2,31,A143,2,A173,1
A12,A71,4,4,40,A142,2,A174,1
A14,A74,4,4,43,A143,2,A173,1
A14,A73,4,4,35,A143,2,A173,1
A12,A75,4,4,36,A143,1,A173,1
A12,A73,4,4,40,A143,2,A173,1
A11,A75,4,1,45,A141,1,A172,1
A14,A75,4,4,45,A141,1,A173,1
A14,A73,2,2,39,A143,1,A172,1
A12,A72,1,1,45,A143,1,A173,1
A14,A74,2,2,30,A143,2,A172,1
A14,A75,4,3,41,A143,1,A173,1
A14,A75,2,4,42,A143,1,A174,1
A11,A73,4,4,29,A143,1,A173,1
A14,A73,4,2,30,A141,2,A173,1
A14,A74,2,3,36,A143,2,A173,1
A13,A73,2,2,26,A143,1,A173,1
A14,A71,4,4,65,A143,2,A171,1
A14,A74,2,2,33,A143,1,A173,1
A14,A73,3,2,29,A143,1,A173,1
A14,A74,2,1,42,A143,3,A172,1
A14,A73,1,2,32,A143,1,A173,1
A13,A74,2,4,26,A143,1,A173,1
A11,A73,4,4,22,A142,1,A173,1
A11,A74,3,1,31,A141,1,A173,1
A14,A71,2,4,64,A143,1,A173,1
A14,A73,2,2,26,A143,2,A173,1
A14,A74,3,2,31,A142,1,A174,1
A11,A73,1,3,31,A143,1,A173,1
A14,A75,4,4,46,A143,2,A173,1
A13,A75,4,4,56,A143,1,A173,1
A12,A72,4,1,32,A143,1,A173,1
A14,A73,2,2,27,A143,2,A173,1
A14,A73,1,3,26,A143,1,A173,1
A14,A73,1,2,33,A143,2,A173,1
A12,A75,2,4,25,A143,1,A173,1
A12,A73,2,4,27,A141,1,A173,1
A13,A73,3,3,57,A143,1,A172,1
A11,A72,4,1,22,A143,1,A173,1
A12,A75,1,2,35,A143,1,A173,1
A14,A74,3,1,32,A141,1,A173,1
A11,A74,4,1,26,A143,2,A173,1
A12,A74,4,3,29,A143,2,A173,1
A13,A73,1,2,46,A143,1,A172,1
A14,A73,4,2,28,A143,1,A173,1
A11,A71,4,4,65,A143,2,A171,1
A14,A75,2,4,42,A142,1,A173,1
A11,A73,1,2,36,A141,1,A172,1
A11,A71,1,4,23,A143,1,A173,1
A14,A73,4,2,43,A143,1,A172,1
A12,A75,4,4,36,A141,1,A173,1
A12,A75,4,4,36,A143,2,A173,1
A14,A75,4,2,46,A143,2,A172,1
A14,A75,2,4,57,A141,3,A172,1
A14,A71,2,4,38,A143,1,A174,1
A14,A73,1,4,39,A143,2,A172,1
A12,A73,4,2,31,A143,1,A172,1
A13,A75,4,4,47,A143,1,A173,1
A14,A73,4,2,33,A143,2,A173,1
A14,A74,4,3,34,A143,2,A174,1
A14,A72,4,4,35,A143,2,A174,1
A11,A73,2,3,44,A143,1,A173,1
A11,A75,1,4,24,A143,2,A173,1
A13,A72,4,4,23,A143,1,A173,1
A14,A74,2,4,40,A143,2,A173,1
A14,A74,2,1,42,A143,3,A172,1
A14,A72,4,4,23,A143,1,A173,1
A14,A73,4,2,33,A143,1,A173,1
A14,A75,4,2,46,A141,2,A174,1
A11,A75,3,4,48,A143,2,A173,1
A14,A74,3,2,55,A143,1,A173,1
A14,A72,1,2,46,A143,2,A172,1
A14,A73,4,4,24,A143,1,A173,1
A11,A73,2,2,20,A143,1,A174,1
A11,A75,3,4,38,A143,3,A174,1
A14,A73,4,4,37,A143,1,A173,1
A14,A73,4,3,33,A141,2,A173,1
A11,A74,3,4,39,A143,2,A172,1
A14,A72,1,4,23,A143,1,A173,1
A14,A73,4,2,33,A143,1,A173,1
A12,A71,1,4,23,A143,1,A171,1
A14,A72,4,3,33,A143,1,A173,1
A12,A72,1,4,19,A143,1,A172,1
A12,A73,4,4,23,A142,1,A172,1
A13,A73,2,2,23,A143,1,A173,1
A12,A74,4,4,67,A143,2,A174,1
A14,A75,3,4,36,A143,1,A173,1
A11,A73,3,2,46,A143,2,A173,1
A14,A75,3,4,36,A143,1,A173,1
A14,A73,2,1,26,A143,2,A173,1
A14,A72,3,4,40,A141,2,A173,1
A14,A73,1,4,38,A143,1,A173,1
A14,A75,1,4,64,A143,1,A172,1
A12,A72,3,3,36,A141,1,A173,1
A11,A75,3,2,43,A143,1,A173,1
A14,A73,4,2,50,A143,1,A173,1
A14,A73,1,2,27,A143,2,A173,1
A11,A75,4,4,57,A143,2,A174,1
A14,A75,2,4,51,A143,1,A172,1
A14,A73,1,2,34,A143,2,A172,1
A14,A75,4,1,47,A143,1,A173,1
A14,A75,4,2,35,A143,1,A173,1
A14,A73,4,2,26,A143,1,A173,1
A11,A74,1,4,24,A143,2,A173,1
A14,A75,4,3,47,A142,1,A173,1
A11,A73,3,4,63,A141,1,A173,1
A14,A75,4,4,48,A143,4,A173,1
A14,A75,3,2,40,A143,2,A173,1
A11,A74,2,2,24,A143,1,A172,1
A14,A73,4,4,34,A143,1,A173,1
A11,A72,1,2,30,A143,1,A173,1
A14,A74,4,2,28,A143,1,A173,1
A14,A73,4,1,26,A143,1,A173,1
A14,A72,1,4,31,A143,1,A173,1
A14,A73,1,2,21,A143,1,A173,1
A14,A75,4,2,51,A143,1,A173,1
A12,A75,4,4,27,A143,2,A172,1
A11,A75,4,3,30,A143,2,A173,1
A13,A74,4,2,25,A141,1,A173,1
A13,A73,4,1,24,A143,1,A173,1
A14,A71,4,4,57,A143,3,A172,1
A14,A73,4,4,32,A143,2,A173,1
A13,A72,1,2,29,A143,1,A172,1
