@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Age numeric
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,10,A65,A72,31,1,A173,1
A11,6,A63,A75,52,2,A173,1
A14,36,A65,A75,36,2,A173,1
A12,48,A65,A74,41,2,A173,1
A11,18,A64,A73,28,1,A173,1
A12,24,A61,A72,24,2,A173,1
A14,60,A65,A73,34,1,A173,1
A14,15,A61,A72,27,2,A172,1
A14,10,A65,A74,40,1,A173,1
A14,15,A61,A73,33,2,A173,1
A14,36,A65,A74,31,1,A174,1
A12,12,A61,A74,29,2,A173,1
A14,12,A65,A72,45,1,A174,1
A14,36,A61,A73,30,1,A173,1
A14,36,A64,A75,38,2,A174,1
A11,13,A61,A72,28,2,A172,1
A14,48,A65,A74,37,1,A173,1
A14,15,A61,A73,28,1,A173,1
A14,12,A65,A72,26,1,A173,1
A12,9,A63,A73,66,1,A172,1
A14,24,A63,A75,53,1,A173,1
A14,36,A61,A73,32,1,A174,1
A12,12,A61,A73,20,2,A173,1
A14,15,A65,A75,45,1,A173,1
A14,24,A65,A73,46,2,A174,1
A12,18,A62,A73,30,2,A173,1
A11,36,A61,A73,28,2,A173,1
A14,24,A61,A74,32,1,A173,1
A12,18,A65,A75,42,2,A173,1
A14,12,A61,A74,31,2,A174,1
A14,30,A61,A74,25,2,A173,1
A13,10,A65,A74,27,2,A173,1
A11,6,A61,A75,39,2,A173,1
A11,18,A61,A72,27,1,A173,1
A14,9,A61,A74,27,2,A173,1
A14,15,A65,A75,63,1,A173,1
A14,24,A61,A74,30,2,A172,1
A12,18,A64,A73,35,1,A172,1
A12,15,A65,A74,35,3,A173,1
A14,21,A65,A73,26,1,A173,1
A14,24,A64,A73,27,2,A173,1
A13,36,A61,A75,31,1,A173,1
A11,12,A61,A73,38,2,A172,1
A12,36,A61,A75,36,1,A173,1
A12,36,A61,A74,32,2,A173,1
A14,6,A65,A75,36,2,A173,1
A14,24,A61,A75,60,2,A173,1
A13,36,A61,A73,24,1,A173,1
A11,10,A61,A72,48,2,A172,1
A14,12,A65,A73,37,1,A173,1
A12,45,A62,A71,27,1,A173,1
A14,36,A61,A75,35,2,A173,1
A12,42,A61,A71,55,1,A174,1
A14,9,A62,A72,22,1,A173,1
A14,10,A65,A73,26,2,A173,1
A11,30,A64,A75,57,2,A173,1
A14,6,A61,A73,24,1,A173,1
A14,33,A61,A74,35,2,A174,1
A14,6,A61,A73,28,2,A173,1
A11,9,A61,A73,25,2,A172,1
A13,6,A62,A75,28,2,A173,1
A13,42,A61,A75,56,1,A173,1
A14,24,A62,A74,26,1,A173,1
A12,24,A62,A72,37,1,A173,1
A14,21,A64,A75,36,1,A172,1
A11,8,A61,A75,47,2,A172,1
A14,24,A61,A73,31,1,A173,1
A14,12,A65,A75,49,1,A173,1
A14,6,A62,A73,34,2,A172,1
A14,15,A62,A73,31,1,A173,1
A14,6,A61,A73,26,1,A173,1
A14,15,A61,A75,54,1,A174,1
A14,24,A64,A73,28,1,A173,1
A11,6,A65,A75,67,2,A173,1
A14,18,A61,A71,34,2,A173,1
A12,6,A62,A75,31,2,A173,1
A11,48,A61,A74,50,1,A174,1
A14,21,A61,A75,50,2,A173,1
A12,8,A61,A73,33,1,A173,1
A11,12,A63,A75,35,1,A173,1
A14,24,A65,A75,53,2,A173,1
A14,24,A64,A73,50,1,A173,1
A14,36,A61,A75,34,2,A174,1
A14,18,A61,A73,25,2,A173,1
A11,15,A61,A72,27,1,A173,1
A13,6,A61,A73,50,1,A172,1
A11,48,A61,A74,26,1,A173,1
A12,24,A61,A72,26,1,A173,1
A14,24,A61,A75,36,1,A174,1
A12,12,A61,A71,34,2,A174,1
A14,9,A61,A72,23,1,A173,1
A12,12,A62,A72,44,1,A173,1
A11,12,A61,A73,30,2,A173,1
A14,12,A65,A72,20,1,A173,1
A14,18,A61,A72,35,2,A174,1
A13,24,A65,A75,20,2,A173,1
A14,4,A61,A74,42,2,A172,1
A14,9,A65,A73,33,2,A173,1
A14,11,A61,A73,39,2,A172,1
A11,24,A61,A75,58,1,A172,1
A14,28,A65,A72,40,2,A173,1
A13,18,A61,A72,45,1,A172,1
A14,24,A65,A75,54,2,A173,1
A11,21,A61,A75,30,2,A173,1
A14,11,A61,A72,35,2,A174,1
A11,24,A65,A75,26,1,A173,1
A11,27,A61,A73,27,1,A174,1
A14,15,A64,A75,23,2,A173,1
A14,6,A64,A73,33,1,A173,1
A14,12,A63,A74,37,1,A173,1
A12,48,A62,A71,31,1,A174,1
A13,10,A61,A73,37,1,A173,1
A12,39,A62,A74,32,1,A173,1
A11,18,A61,A75,36,3,A174,1
A11,39,A65,A74,30,2,A174,1
A14,10,A61,A73,31,1,A172,1
A12,24,A65,A72,29,1,A172,1
A14,12,A65,A72,37,2,A172,1
A11,24,A61,A73,28,1,A173,1
A12,14,A63,A75,35,1,A173,1
A12,18,A61,A75,48,2,A172,1
A14,24,A61,A74,40,2,A173,1
A13,6,A61,A72,29,1,A173,1
A12,21,A65,A74,35,1,A173,1
A14,6,A64,A73,41,2,A172,1
A12,11,A64,A72,20,1,A173,1
A14,24,A62,A74,27,2,A173,1
A14,24,A61,A75,35,1,A174,1
A14,24,A65,A73,33,2,A173,1
A14,36,A63,A74,40,2,A173,1
A12,26,A61,A72,30,2,A173,1
A14,12,A61,A75,47,3,A173,1
A12,30,A65,A73,26,1,A173,1
A12,48,A65,A73,38,1,A173,1
A14,12,A61,A75,56,1,A173,1
A14,9,A61,A75,20,1,A173,1
A11,12,A61,A73,42,1,A173,1
A14,24,A61,A74,28,1,A173,1
A12,24,A61,A75,48,2,A172,1
A14,9,A61,A73,30,2,A173,1
A11,24,A62,A74,26,2,A173,1
A14,12,A63,A73,35,1,A172,1
A14,11,A64,A75,28,1,A173,1
A11,12,A61,A75,66,2,A174,1
A14,24,A61,A75,46,2,A173,1
A13,9,A62,A75,49,1,A173,1
A13,12,A65,A75,37,1,A174,1
A12,12,A63,A74,36,1,A174,1
A14,48,A65,A74,35,2,A173,1
A14,12,A61,A74,49,1,A172,1
A14,15,A65,A75,59,1,A173,1
A12,12,A61,A75,28,3,A173,1
A11,24,A63,A73,22,1,A173,1
A12,18,A61,A73,26,1,A172,1
A12,9,A65,A74,24,1,A173,1
A11,6,A61,A75,49,1,A173,1
A11,8,A61,A74,39,2,A172,1
A14,12,A65,A75,38,2,A173,1
A11,12,A65,A75,49,1,A172,1
A14,24,A61,A73,28,1,A173,1
A14,18,A61,A72,30,2,A173,1
A14,18,A63,A75,32,2,A174,1
A14,48,A65,A75,46,2,A174,1
A12,24,A65,A75,36,1,A173,1
A14,27,A61,A74,26,2,A173,1
A13,24,A63,A73,57,1,A172,1
A12,9,A65,A73,33,1,A172,1
A11,24,A61,A73,24,1,A172,1
A14,18,A65,A73,31,1,A173,1
A14,24,A61,A75,44,2,A173,1
A11,12,A61,A73,20,1,A174,1
A13,42,A61,A72,33,2,A173,1
A11,30,A62,A74,24,2,A173,1
A13,12,A61,A73,36,2,A173,1
A14,12,A65,A75,65,4,A173,1
A14,36,A61,A74,37,2,A173,1
A12,6,A61,A72,26,1,A172,1
A14,6,A62,A73,35,1,A173,1
A11,36,A61,A73,46,2,A173,1
A14,21,A61,A72,23,1,A173,1
A14,6,A61,A73,21,1,A173,1
A12,30,A64,A73,34,1,A173,1
A12,24,A65,A74,34,2,A173,1
A12,60,A65,A73,27,1,A174,1
A14,24,A62,A75,41,1,A172,1
A14,21,A65,A75,41,1,A173,1
A11,30,A65,A72,25,3,A173,1
A12,18,A61,A75,33,1,A174,1
A14,6,A65,A73,26,1,A172,1
A12,48,A62,A74,30,1,A173,1
A11,24,A65,A72,30,1,A173,1
A12,18,A61,A75,37,1,A173,1
A14,24,A61,A75,41,2,A174,1
A14,30,A63,A75,30,1,A174,1
A14,24,A61,A74,33,2,A173,1
A12,18,A65,A75,43,1,A173,1
A11,12,A61,A72,22,1,A173,1
A11,12,A61,A75,24,1,A173,1
A14,21,A61,A73,28,2,A172,1
A12,18,A61,A71,40,3,A171,1
A12,6,A61,A72,22,1,A172,1
A14,24,A62,A75,36,1,A173,1
A13,24,A64,A73,36,2,A173,1
A12,7,A61,A73,34,1,A173,1
A14,12,A61,A73,28,1,A173,1
A12,10,A61,A71,70,1,A174,1
A14,12,A61,A73,26,1,A173,1
A12,12,A62,A74,23,1,A172,1
A12,21,A61,A74,27,2,A173,1
A12,18,A61,A71,40,2,A174,1
A13,12,A64,A73,42,2,A173,1
A14,12,A61,A72,34,1,A173,1
A12,27,A61,A72,32,1,A173,1
A13,24,A61,A74,25,1,A173,1
A14,6,A65,A71,36,1,A174,1
A11,14,A61,A71,22,1,A173,1
A13,12,A61,A72,33,1,A174,1
A12,20,A65,A71,60,1,A174,1
A13,21,A62,A73,28,1,A174,1
A14,24,A62,A73,35,2,A173,1
A14,10,A63,A73,40,1,A172,1
A14,15,A61,A72,46,2,A172,1
A12,24,A61,A75,20,1,A173,1
A14,15,A61,A74,24,2,A173,1
A11,36,A61,A75,42,1,A173,1
A12,15,A65,A72,23,1,A173,1
A14,6,A63,A74,23,1,A172,1
A14,18,A61,A72,33,1,A173,1
A14,18,A61,A72,39,1,A173,1
A14,27,A64,A72,32,2,A172,1
A12,18,A65,A73,28,2,A173,1
A12,60,A65,A73,27,1,A172,1
A12,15,A61,A75,38,2,A172,1
A12,12,A64,A72,19,1,A172,1
A14,36,A61,A73,27,2,A173,1
A11,24,A61,A74,24,1,A172,2
A11,12,A61,A72,53,1,A173,2
A11,12,A61,A72,46,2,A173,2
A11,18,A65,A75,51,1,A173,2
A14,18,A61,A72,43,1,A172,2
A11,36,A61,A74,24,2,A173,2
A13,21,A61,A72,33,1,A173,2
A14,12,A64,A75,55,2,A173,2
A12,9,A61,A72,22,1,A173,2
A12,12,A65,A73,25,1,A173,2
A11,24,A65,A73,20,1,A173,2
A12,36,A65,A73,37,1,A173,2
A12,45,A61,A72,25,2,A172,2
A11,48,A61,A75,58,2,A172,2
A13,15,A61,A72,25,1,A172,2
A14,24,A61,A72,27,2,A173,2
A12,24,A61,A73,39,2,A174,2
A11,18,A61,A71,33,1,A173,2
A14,36,A65,A72,27,2,A173,2
A12,18,A61,A75,36,1,A173,2
A14,24,A64,A73,54,3,A174,2
A12,9,A61,A75,34,2,A174,2
A11,36,A61,A73,29,1,A173,2
A11,18,A61,A73,22,1,A173,2
A14,18,A61,A74,31,2,A173,2
A11,18,A61,A75,33,3,A173,2
A12,36,A61,A75,57,1,A174,2
A11,18,A61,A73,26,1,A173,2
A11,14,A61,A75,45,1,A174,2
A14,15,A62,A73,40,1,A174,2
A12,48,A62,A74,24,1,A173,2
A11,12,A61,A75,43,2,A173,2
A11,21,A65,A73,40,2,A172,2
A11,30,A65,A75,31,1,A173,2
A14,27,A61,A73,21,1,A173,2
A12,30,A61,A74,49,1,A173,2
A12,30,A61,A71,28,2,A174,2
A11,36,A61,A74,24,2,A173,2
A14,12,A63,A73,26,1,A173,2
A11,12,A61,A74,21,1,A173,2
A11,12,A62,A72,33,1,A172,2
A12,30,A61,A71,28,2,A174,2
A11,48,A61,A74,39,3,A173,2
A11,12,A61,A75,57,1,A172,2
A12,36,A62,A75,42,4,A174,2
A13,36,A61,A73,26,1,A173,2
A12,48,A61,A75,59,1,A173,2
A11,6,A61,A72,23,1,A173,2
A12,8,A61,A73,24,1,A173,2
A12,48,A62,A74,34,1,A172,2
A11,12,A62,A74,20,1,A173,2
A12,12,A61,A72,22,1,A173,2
A13,12,A63,A74,28,3,A173,2
A13,24,A61,A74,38,1,A173,2
