@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A14,30,1867,A93,A123,58,1,1
A14,18,3780,A91,A123,35,2,1
A14,12,1412,A92,A121,29,2,1
A11,6,1169,A93,A121,67,2,1
A12,12,2366,A91,A123,36,1,1
A11,24,6615,A93,A124,75,2,1
A14,24,2028,A93,A122,30,2,1
A14,12,1884,A93,A123,39,1,1
A11,12,1620,A92,A122,30,1,1
A13,24,2892,A91,A124,51,1,1
A14,15,3029,A93,A123,33,1,1
A14,24,1851,A94,A123,33,2,1
A11,12,1526,A93,A124,66,2,1
A14,11,1393,A92,A123,35,2,1
A14,15,1979,A93,A123,35,1,1
A14,12,1101,A94,A121,27,2,1
A14,6,6761,A93,A124,45,2,1
A12,7,2415,A93,A121,34,1,1
A12,21,2353,A91,A122,47,2,1
A11,21,3357,A92,A123,29,1,1
A14,27,4526,A93,A121,32,2,1
A14,10,1231,A93,A121,32,2,1
A11,12,339,A94,A123,45,1,1
A14,9,3832,A93,A121,64,1,1
A14,6,250,A92,A121,41,2,1
A14,24,2835,A93,A122,53,1,1
A14,48,10222,A93,A123,37,1,1
A13,18,1961,A92,A123,23,1,1
A14,21,2993,A93,A121,28,2,1
A11,30,2522,A93,A122,39,1,1
A12,36,3990,A92,A124,29,1,1
A13,10,781,A93,A124,63,2,1
A14,9,2507,A93,A124,51,1,1
A13,12,1424,A92,A121,55,1,1
A14,36,7678,A92,A123,40,2,1
A12,10,1521,A91,A123,31,1,1
A14,12,2759,A93,A122,34,2,1
A14,15,1316,A94,A122,47,2,1
A14,18,1800,A93,A123,24,2,1
A14,12,3077,A93,A123,52,1,1
A14,6,1382,A92,A123,28,2,1
A14,12,976,A93,A123,35,2,1
A12,6,1050,A93,A122,35,2,1
A11,12,1498,A92,A123,23,1,1
A12,24,3512,A93,A123,38,2,1
A14,15,3186,A92,A123,20,1,1
A12,13,2101,A92,A122,23,1,1
A14,12,1592,A92,A122,35,1,1
A14,18,1505,A93,A124,32,1,1
A14,5,3448,A93,A121,74,1,1
A11,6,666,A92,A121,39,2,1
A11,10,2132,A92,A121,27,2,1
A12,36,5800,A93,A123,34,2,1
A14,12,3565,A93,A122,37,2,1
A11,42,3394,A93,A123,65,2,1
A12,6,1449,A91,A123,31,2,1
A12,6,2063,A94,A123,30,1,1
A11,15,1845,A92,A122,46,1,1
A14,12,2096,A93,A121,49,1,1
A14,24,3777,A93,A121,50,1,1
A14,9,1313,A93,A123,20,1,1
A13,10,1275,A92,A122,23,1,1
A12,18,866,A94,A121,25,1,1
A14,21,3275,A93,A123,36,1,1
A14,36,3835,A92,A121,45,1,1
A11,6,609,A92,A122,37,2,1
A14,36,2299,A93,A123,39,1,1
A14,60,10366,A93,A122,42,1,1
A14,36,909,A93,A122,36,1,1
A14,18,1028,A92,A121,36,2,1
A14,24,5103,A94,A124,47,3,1
A12,18,1887,A94,A121,28,2,1
A12,18,6260,A93,A121,28,1,1
A14,24,2197,A93,A123,43,2,1
A12,30,3496,A93,A123,34,1,1
A11,24,2325,A93,A123,32,1,1
A14,33,2764,A92,A123,26,2,1
A12,7,2576,A93,A121,35,1,1
A14,30,3077,A93,A123,40,2,1
A11,15,1478,A93,A123,44,2,1
A12,6,932,A92,A122,39,2,1
A14,24,2872,A93,A121,36,1,1
A14,21,1591,A93,A121,34,2,1
A14,24,5511,A93,A123,25,1,1
A12,48,8487,A92,A123,24,1,1
A14,15,3594,A92,A122,46,2,1
A11,6,4716,A93,A121,44,2,1
A14,12,1255,A93,A121,61,2,1
A14,9,1388,A92,A121,26,1,1
A14,11,1154,A92,A121,57,3,1
A14,24,3868,A92,A123,41,2,1
A14,18,2404,A92,A123,26,2,1
A12,24,2896,A93,A123,29,1,1
A13,24,1258,A92,A123,57,1,1
A11,12,3590,A93,A122,29,1,1
A12,36,7432,A92,A122,54,1,1
A14,24,2611,A94,A121,46,2,1
A14,6,1236,A93,A122,50,1,1
A14,12,1185,A92,A121,27,2,1
A11,12,1200,A92,A122,23,1,1
A14,12,1542,A93,A123,36,1,1
A11,24,2828,A93,A121,22,1,1
A14,18,1820,A94,A122,30,1,1
A14,10,1287,A93,A122,45,1,1
A14,24,937,A94,A123,27,2,1
A14,24,3757,A92,A124,62,1,1
A11,15,1433,A92,A122,25,2,1
A12,24,6967,A93,A123,36,1,1
A13,12,1881,A92,A123,44,1,1
A11,11,3939,A93,A121,40,2,1
A12,14,1410,A94,A121,35,1,1
A14,30,4272,A93,A122,26,2,1
A14,18,4594,A93,A123,32,1,1
A13,36,5848,A93,A123,24,1,1
A14,12,2748,A92,A124,57,3,1
A14,60,10144,A92,A121,21,1,1
A14,6,2978,A93,A123,32,1,1
A12,18,5866,A93,A123,30,2,1
A14,4,601,A92,A121,23,1,1
A14,12,3447,A92,A121,35,1,1
A14,13,1409,A92,A121,64,1,1
A11,30,3857,A91,A122,40,1,1
A11,6,1957,A92,A123,31,1,1
A11,15,1403,A92,A123,28,1,1
A14,28,2743,A93,A123,29,2,1
A11,12,1289,A93,A122,21,1,1
A14,15,1569,A93,A123,34,1,1
A14,18,2320,A94,A121,34,2,1
A12,18,3612,A92,A122,37,1,1
A11,36,15857,A91,A123,43,1,1
A14,18,1473,A94,A121,39,1,1
A11,24,1382,A93,A121,26,2,1
A14,6,1554,A92,A123,24,2,1
A14,6,1538,A92,A124,56,1,1
A12,18,2622,A93,A123,34,1,1
A12,18,2427,A93,A122,42,2,1
A14,36,3595,A93,A123,28,1,1
A13,36,4473,A93,A123,31,1,1
A14,15,1471,A93,A124,35,2,1
A14,24,2022,A92,A123,37,1,1
A14,15,1262,A93,A122,36,2,1
A14,9,936,A93,A123,52,2,1
A12,9,3195,A92,A121,33,1,1
A14,24,7393,A93,A122,43,1,1
A11,24,3660,A92,A123,28,1,1
A12,12,1424,A93,A122,26,1,1
A14,24,6314,A93,A124,27,2,1
A12,9,1154,A93,A121,37,3,1
A14,12,1413,A93,A122,55,1,1
A13,6,1299,A93,A121,74,3,1
A14,15,3368,A93,A124,23,2,1
A14,24,717,A94,A123,54,2,1
A11,24,7721,A92,A122,30,1,1
A14,10,2901,A92,A121,31,1,1
A13,6,1343,A93,A121,46,2,1
A14,12,1493,A92,A123,34,1,1
A12,10,1048,A93,A121,23,1,1
A14,12,1495,A93,A121,38,2,1
A14,36,2613,A93,A123,27,2,1
A11,24,1603,A92,A123,55,1,1
A12,60,9157,A93,A124,27,1,1
A14,12,926,A92,A122,38,1,1
A11,36,5371,A93,A122,28,2,1
A14,12,1934,A93,A124,26,2,1
A12,15,2326,A93,A123,27,1,1
A11,15,1053,A94,A121,27,1,1
A12,15,2728,A93,A121,35,3,1
A14,27,5190,A93,A122,48,4,1
A12,24,3758,A92,A124,23,1,1
A13,24,5152,A93,A123,25,1,1
A11,48,4788,A93,A122,26,1,1
A12,27,5965,A93,A123,30,2,1
A14,6,1595,A93,A122,51,1,1
A13,6,683,A92,A122,29,1,1
A14,24,4679,A93,A123,35,2,1
A14,6,1221,A94,A122,27,2,1
A12,24,1967,A92,A123,20,1,1
A14,9,3577,A93,A121,26,1,1
A14,24,1413,A94,A122,28,1,1
A13,24,1925,A93,A121,26,1,1
A11,12,2577,A91,A123,42,1,1
A11,18,1940,A93,A124,36,1,1
A14,24,1393,A93,A121,31,1,1
A12,39,11760,A93,A124,32,1,1
A11,36,5493,A93,A124,42,1,1
A14,12,618,A93,A121,56,1,1
A11,12,385,A92,A121,58,4,1
A14,36,3535,A93,A123,37,2,1
A14,6,1543,A91,A121,33,1,1
A12,27,2528,A92,A122,32,1,1
A12,9,1082,A93,A123,27,2,1
A11,24,6419,A92,A124,44,2,1
A14,12,1264,A93,A124,57,1,1
A13,4,1494,A93,A121,29,1,1
A14,9,1244,A92,A122,41,2,1
A14,12,707,A93,A121,30,2,1
A12,18,3244,A92,A123,33,2,1
A14,12,1574,A93,A121,50,1,1
A14,30,6742,A93,A122,36,2,1
A14,7,846,A93,A124,36,1,1
A14,24,4042,A93,A122,43,2,1
A11,21,1602,A94,A123,30,2,1
A12,9,1549,A93,A121,35,1,1
A13,30,3656,A93,A122,49,2,1
A14,24,2284,A93,A123,28,1,1
A14,18,2662,A93,A122,32,1,1
A13,21,2923,A92,A123,28,1,1
A14,15,1829,A93,A123,46,2,1
A11,18,2249,A93,A123,30,1,1
A13,12,2251,A92,A123,46,1,1
A11,48,7476,A93,A124,50,1,1
A11,15,1721,A93,A121,36,1,1
A14,18,629,A93,A122,32,2,1
A14,11,7228,A93,A122,39,2,1
A14,4,1544,A93,A121,42,3,1
A14,10,2146,A92,A121,23,2,1
A14,18,1149,A93,A121,46,2,1
A14,6,426,A94,A123,39,1,1
A11,30,6187,A94,A123,24,2,1
A14,6,1766,A94,A122,21,1,1
A14,18,3422,A93,A122,47,3,1
A14,12,1393,A93,A122,47,3,1
A14,24,2255,A93,A122,54,1,1
A11,24,2384,A93,A121,64,1,1
A11,12,1168,A94,A121,27,1,1
A14,6,3518,A93,A122,26,1,1
A14,15,1478,A94,A121,33,2,1
A11,18,1936,A94,A123,23,2,1
A14,9,1236,A92,A121,23,1,1
A14,6,2080,A94,A123,24,1,1
A14,24,5804,A93,A121,27,2,1
A12,9,1919,A93,A123,35,1,1
A14,24,3430,A93,A123,31,1,1
A14,36,5742,A93,A123,31,2,1
A13,12,1297,A94,A121,23,1,1
A12,9,276,A94,A121,22,1,1
A14,12,996,A92,A121,23,2,1
A12,48,5381,A93,A124,40,1,1
A12,24,2825,A93,A124,34,2,1
A12,30,4221,A92,A123,28,2,1
A12,15,1308,A93,A123,38,2,1
A14,24,3105,A93,A123,25,2,1
A14,12,1935,A93,A121,43,3,1
A11,9,2136,A93,A121,25,1,1
A11,21,571,A93,A121,65,2,1
A11,10,1038,A93,A122,49,2,1
A11,21,2606,A92,A122,28,1,1
A14,18,6070,A93,A123,33,2,1
A14,36,10477,A93,A124,42,2,1
A11,18,3104,A93,A122,31,1,1
A12,18,3213,A94,A121,25,1,1
A14,24,2424,A93,A122,53,2,1
A14,6,672,A92,A121,54,1,1
A14,18,1126,A92,A121,21,1,1
A12,24,1553,A92,A122,23,2,1
A14,18,1950,A93,A123,34,2,1
A12,30,1715,A92,A123,26,1,1
A11,6,338,A93,A123,52,2,1
A14,60,13756,A93,A124,63,1,1
A11,24,1747,A93,A122,24,1,1
A14,24,6313,A93,A123,41,1,1
A12,18,1301,A94,A121,32,1,1
A14,36,8133,A92,A122,30,1,1
A14,9,2301,A92,A122,22,1,1
A14,6,518,A92,A121,29,1,1
A14,48,7629,A91,A123,46,2,1
A11,12,1262,A91,A122,49,1,1
A14,30,2333,A93,A123,30,1,1
A12,20,7057,A93,A122,36,2,1
A12,12,1995,A93,A123,27,1,1
A14,15,1520,A93,A122,63,1,1
A14,24,3181,A92,A122,26,1,1
A13,10,3949,A93,A122,37,1,1
A12,12,3573,A92,A121,23,1,1
A12,36,2323,A93,A123,24,1,1
A11,12,2121,A93,A122,30,2,1
A14,24,1585,A93,A122,40,2,1
A14,48,2751,A93,A123,38,2,1
A14,18,3850,A93,A123,27,2,1
A12,12,1567,A92,A123,22,1,1
A14,15,1459,A92,A123,43,1,1
A12,6,368,A93,A122,38,1,1
A11,18,4380,A93,A123,35,1,1
A14,15,2221,A92,A123,20,1,1
A12,18,3590,A94,A123,40,3,1
A14,12,886,A92,A123,21,1,1
A12,36,9857,A93,A122,31,2,1
A14,24,4151,A93,A122,35,2,1
A14,12,1258,A92,A122,22,2,1
A13,12,409,A92,A121,42,2,1
A12,15,1537,A93,A121,50,2,1
A14,12,682,A92,A123,51,2,1
A12,12,585,A94,A121,20,2,1
A11,36,2348,A94,A122,46,2,1
A14,24,1516,A92,A121,43,2,1
A13,15,2687,A93,A122,26,1,1
A14,18,3378,A93,A122,31,1,1
A12,9,1199,A92,A122,67,2,1
A14,24,2223,A93,A122,52,2,1
A13,42,6289,A91,A122,33,2,1
A14,6,1238,A93,A122,36,1,1
A14,6,2108,A94,A121,29,1,1
A11,20,4272,A92,A122,24,2,1
A13,12,3016,A94,A123,24,1,1
A14,30,7596,A93,A123,63,2,1
A13,24,3617,A93,A124,20,2,1
A12,36,2273,A93,A123,32,2,1
A14,12,2133,A92,A124,52,1,1
A14,24,2058,A91,A121,33,2,1
A14,24,2346,A93,A123,35,2,1
A14,24,929,A93,A123,31,1,1
A14,54,9436,A93,A122,39,1,1
A11,18,1880,A94,A122,32,2,1
A11,9,1138,A93,A121,25,2,1
A11,24,3149,A93,A124,22,1,1
A11,36,3620,A93,A122,37,1,1
A11,13,1797,A93,A122,28,2,1
A14,36,7409,A93,A122,37,2,1
A14,36,5842,A93,A122,35,2,1
A14,12,1163,A93,A121,44,1,1
A14,10,1418,A93,A121,35,1,1
A14,10,2069,A94,A123,26,2,1
A12,30,3832,A94,A122,22,1,1
A14,15,2708,A93,A122,27,2,1
A14,27,5117,A93,A123,26,2,1
A14,6,1338,A91,A121,62,1,1
A12,18,6204,A93,A121,44,1,1
A12,24,1743,A93,A122,48,2,1
A11,6,662,A93,A121,41,1,1
A11,12,1409,A93,A121,54,1,1
A11,8,3398,A93,A121,39,2,1
A11,18,1049,A92,A122,21,1,1
A14,22,1283,A92,A122,25,1,1
A14,48,3578,A93,A121,47,1,1
A12,12,3617,A93,A123,28,3,1
A12,12,7472,A92,A121,24,1,1
A14,39,8588,A93,A123,45,1,1
A14,12,1291,A92,A122,35,2,1
A14,15,2186,A92,A121,33,1,1
A14,12,1768,A93,A121,24,1,1
A14,42,4042,A93,A121,36,2,1
A14,18,2051,A93,A121,33,1,1
A12,36,6948,A93,A123,35,1,1
A11,8,1164,A93,A124,51,2,1
A11,11,3905,A93,A121,36,2,1
A14,48,7238,A93,A123,32,2,1
A14,24,1940,A93,A121,60,1,1
A12,45,4576,A93,A123,27,1,1
A14,28,7824,A93,A121,40,2,1
A11,30,3622,A92,A122,57,2,1
A14,15,2788,A92,A123,24,2,1
A14,24,2978,A93,A121,32,2,1
A12,9,458,A93,A121,24,1,1
A12,12,1092,A92,A121,49,2,1
A12,9,2030,A93,A123,24,1,1
A12,18,1239,A93,A124,61,1,1
A14,36,5711,A93,A123,38,2,1
A12,12,983,A92,A121,19,1,1
A12,12,2002,A93,A122,30,1,1
A12,30,2503,A93,A122,41,2,1
A14,12,522,A93,A122,42,2,1
A14,15,1386,A94,A121,40,1,1
A14,18,1098,A92,A123,65,2,1
A12,21,2745,A93,A123,32,2,1
A13,12,1480,A93,A124,66,3,1
A14,9,1449,A92,A123,27,2,1
A14,39,2569,A93,A123,24,1,1
A14,9,2134,A93,A123,48,3,1
A11,24,2910,A93,A124,34,1,1
A12,9,1206,A92,A121,25,1,1
A13,12,1474,A92,A122,33,1,1
A13,24,1377,A92,A124,47,1,1
A14,21,1572,A92,A121,36,1,1
A14,15,3568,A92,A123,54,1,1
A12,24,7758,A92,A124,29,1,1
A12,12,1410,A93,A121,31,1,1
A14,24,1474,A94,A121,33,1,1
A11,42,7882,A93,A122,45,1,1
A12,6,753,A92,A121,64,1,1
A13,10,1347,A93,A122,27,2,1
A12,18,3001,A92,A121,40,1,1
A14,18,1055,A92,A122,30,2,1
A12,6,484,A94,A121,28,1,1
A12,10,7308,A93,A124,70,1,1
A14,48,6110,A93,A124,31,1,1
A14,36,3079,A93,A121,36,1,1
A14,10,894,A92,A122,40,1,1
A14,12,763,A92,A121,26,1,1
A11,24,6579,A93,A124,29,1,1
A14,36,10875,A93,A123,45,2,1
A11,30,10623,A93,A124,38,3,1
A12,48,12169,A93,A124,36,1,1
A14,4,3380,A92,A121,37,1,1
A14,24,1287,A92,A121,37,2,1
A14,11,2142,A91,A121,28,1,1
A12,15,1514,A93,A121,22,1,1
A14,6,1237,A92,A122,27,2,1
A13,12,3399,A93,A123,37,1,1
A14,22,2675,A93,A123,40,1,1
A11,6,2647,A93,A121,44,1,1
A12,26,7966,A93,A123,30,2,1
A13,18,1445,A93,A123,49,1,1
A14,18,2515,A93,A121,43,1,1
A12,11,4771,A93,A122,51,1,1
A14,15,3343,A93,A124,28,1,1
A12,20,2629,A93,A123,29,2,1
A11,9,2799,A93,A121,36,2,1
A14,12,2445,A94,A123,26,1,1
A12,24,5084,A92,A123,42,1,1
A14,24,1533,A92,A123,38,1,1
A12,6,590,A94,A121,26,1,1
A14,18,3229,A93,A124,38,1,1
A14,24,1597,A93,A124,54,2,1
A14,24,2578,A93,A123,34,1,1
A12,18,2779,A94,A123,21,1,1
A14,6,1750,A93,A122,45,1,1
A12,20,6468,A91,A121,60,1,1
A12,18,1295,A92,A122,27,2,1
A12,12,1860,A93,A123,34,2,1
A11,15,3643,A92,A122,27,2,1
A11,24,4169,A93,A122,28,1,1
A14,24,999,A93,A123,25,2,1
A11,6,3676,A93,A121,37,3,1
A12,24,6403,A93,A123,33,1,1
A11,27,3416,A93,A123,27,1,1
A14,36,11054,A93,A123,30,1,1
A12,48,7582,A93,A124,31,1,1
A14,36,7855,A92,A121,25,2,2
A14,12,1386,A92,A122,26,1,2
A11,24,4817,A93,A122,31,1,2
A11,48,7119,A93,A124,53,2,2
A11,21,1647,A93,A122,40,2,2
A11,24,1987,A93,A121,21,1,2
A12,15,1264,A94,A122,25,1,2
A11,36,2746,A93,A123,31,1,2
A11,12,1082,A93,A123,48,2,2
A12,45,3031,A93,A122,21,1,2
A11,12,1282,A92,A123,20,1,2
A11,24,1823,A93,A123,30,1,2
A14,18,2169,A94,A123,28,1,2
A12,12,639,A93,A123,30,1,2
A14,10,1309,A93,A122,27,1,2
A14,9,1478,A93,A123,22,1,2
A11,36,5179,A93,A122,29,1,2
A11,12,626,A92,A121,24,1,2
A14,36,9572,A91,A123,28,2,2
A11,12,691,A93,A122,35,2,2
A12,12,2969,A92,A122,25,2,2
A12,30,4280,A92,A123,26,2,2
A12,54,15945,A93,A124,58,1,2
A11,24,3123,A92,A122,27,1,2
A11,24,4110,A93,A124,23,2,2
A12,72,5595,A94,A123,24,1,2
A13,24,947,A93,A124,38,1,2
A12,12,766,A93,A121,66,1,2
A14,18,1864,A92,A121,30,2,2
A11,12,900,A94,A123,23,1,2
A12,30,3441,A92,A123,21,1,2
A11,30,11998,A91,A124,34,1,2
A14,48,4844,A93,A123,33,1,2
A11,15,950,A93,A123,33,2,2
A12,36,14318,A93,A124,57,1,2
A14,18,1943,A92,A121,23,1,2
A12,30,4249,A94,A123,28,2,2
A14,18,433,A92,A121,22,1,2
A11,12,1228,A92,A121,24,1,2
A14,24,4591,A93,A122,54,3,2
A11,36,1977,A93,A124,40,1,2
A14,24,2538,A93,A123,47,2,2
A12,36,2820,A91,A123,27,2,2
A11,18,2124,A92,A121,24,2,2
A12,60,6288,A93,A124,42,1,2
A12,24,4736,A92,A123,25,1,2
A12,36,1953,A93,A124,61,1,2
A11,12,795,A92,A122,53,1,2
A14,18,2775,A93,A122,31,2,2
A14,36,10974,A92,A123,26,2,2
A12,24,1216,A93,A124,38,2,2
A14,21,2580,A93,A121,41,1,2
A12,12,888,A93,A123,41,1,2
A12,45,4746,A93,A122,25,2,2
A14,12,797,A92,A122,33,1,2
A12,18,884,A93,A123,36,1,2
A11,9,1366,A92,A122,22,1,2
A11,36,1842,A92,A123,34,1,2
A12,12,1484,A94,A121,25,1,2
A11,18,4153,A93,A123,42,1,2
