@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Guarantors {A101,A103,A102}
@attribute ResidenceSince numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A11,10623,A75,A93,A101,4,A174,1
A14,1418,A73,A93,A101,2,A172,1
A11,3398,A74,A93,A101,4,A172,1
A14,1238,A71,A93,A101,4,A174,1
A14,2080,A73,A94,A101,2,A173,1
A12,2337,A75,A93,A101,4,A173,1
A14,2463,A74,A94,A101,3,A173,1
A14,1449,A74,A92,A101,2,A173,1
A12,2181,A75,A93,A101,4,A173,1
A14,5190,A75,A93,A101,4,A173,1
A14,2603,A73,A92,A101,4,A173,1
A14,3780,A72,A91,A101,2,A174,1
A14,1393,A72,A92,A101,4,A174,1
A14,3578,A75,A93,A101,1,A173,1
A12,3124,A72,A93,A101,3,A172,1
A11,3650,A72,A92,A101,4,A173,1
A14,2346,A74,A93,A101,3,A173,1
A12,2323,A74,A93,A101,4,A173,1
A14,660,A74,A94,A101,4,A172,1
A12,1553,A74,A92,A101,2,A173,1
A14,2096,A74,A93,A101,3,A172,1
A14,2753,A75,A93,A102,4,A173,1
A14,1768,A73,A93,A101,2,A172,1
A11,5493,A75,A93,A101,4,A173,1
A14,2032,A75,A93,A101,4,A173,1
A12,8358,A72,A92,A101,1,A173,1
A12,6260,A74,A93,A101,3,A172,1
A11,1262,A75,A91,A101,4,A172,1
A14,5150,A75,A93,A101,4,A173,1
A14,3863,A73,A93,A101,2,A173,1
A14,996,A74,A92,A101,4,A173,1
A14,7814,A74,A93,A101,3,A174,1
A14,3186,A74,A92,A101,3,A173,1
A14,1278,A75,A93,A101,1,A174,1
A14,629,A75,A93,A101,3,A174,1
A14,3059,A74,A91,A101,4,A172,1
A14,3235,A75,A91,A101,2,A174,1
A14,2028,A74,A93,A101,2,A172,1
A14,3868,A75,A92,A101,2,A174,1
A13,6289,A72,A91,A101,1,A173,1
A12,1391,A73,A94,A101,1,A173,1
A11,15857,A71,A91,A102,3,A174,1
A14,3077,A75,A93,A101,2,A173,1
A11,806,A73,A92,A101,4,A172,1
A12,2118,A73,A93,A101,2,A172,1
A14,1478,A73,A94,A101,3,A173,1
A12,3566,A74,A93,A101,2,A173,1
A14,11054,A73,A93,A101,2,A174,1
A14,1820,A73,A94,A101,2,A174,1
A11,1872,A71,A93,A101,4,A174,1
A14,2662,A74,A93,A101,3,A173,1
A14,1493,A72,A92,A101,3,A173,1
A14,6761,A74,A93,A101,3,A174,1
A14,1516,A73,A92,A101,1,A172,1
A12,1967,A75,A92,A101,4,A173,1
A14,2073,A73,A92,A102,2,A173,1
A14,7393,A73,A93,A101,4,A172,1
A14,3029,A74,A93,A101,2,A173,1
A12,3573,A73,A92,A101,1,A172,1
A14,1169,A73,A93,A101,3,A173,1
A11,3599,A74,A92,A101,4,A172,1
A12,6967,A74,A93,A101,4,A174,1
A14,2301,A72,A92,A101,4,A173,1
A13,1881,A73,A92,A101,2,A172,1
A14,1101,A73,A94,A101,2,A173,1
A11,1203,A75,A93,A101,2,A173,1
A12,3878,A72,A91,A101,2,A173,1
A14,1413,A73,A94,A101,2,A173,1
A12,1322,A73,A92,A101,4,A173,1
A14,1240,A75,A92,A101,2,A173,1
A13,3617,A75,A93,A102,4,A173,1
A14,8947,A74,A93,A101,2,A174,1
A14,4675,A72,A92,A101,4,A173,1
A11,1344,A73,A93,A101,2,A172,1
A14,4686,A73,A93,A101,2,A174,1
A11,1797,A72,A93,A101,1,A172,1
A12,1860,A71,A93,A101,2,A174,1
A11,1620,A73,A92,A102,3,A173,1
A11,4272,A75,A92,A101,4,A173,1
A13,1480,A71,A93,A101,4,A171,1
A14,929,A74,A93,A101,2,A173,1
A11,1038,A74,A93,A102,3,A173,1
A12,1804,A72,A93,A101,4,A173,1
A14,886,A73,A92,A101,2,A173,1
A14,3378,A73,A93,A101,1,A173,1
A14,937,A72,A94,A101,3,A172,1
A11,1478,A75,A93,A101,4,A173,1
A12,3244,A73,A92,A101,4,A173,1
A13,781,A75,A93,A101,4,A173,1
A14,2069,A73,A94,A101,1,A173,1
A12,2760,A75,A93,A101,4,A173,1
A11,3660,A73,A92,A101,4,A173,1
A13,1925,A73,A93,A101,2,A173,1
A14,1750,A75,A93,A101,4,A172,1
A12,2503,A75,A93,A101,2,A173,1
A13,3399,A75,A93,A101,3,A174,1
A14,8133,A73,A92,A101,2,A173,1
A12,1082,A75,A93,A101,4,A172,1
A14,5433,A71,A92,A101,4,A174,1
A11,1107,A73,A93,A101,2,A174,1
A14,2978,A73,A93,A101,4,A173,1
A11,3905,A73,A93,A101,2,A173,1
A14,1544,A74,A93,A101,1,A172,1
A14,1800,A73,A93,A101,2,A173,1
A14,932,A73,A92,A101,2,A173,1
A12,2002,A74,A93,A101,4,A173,1
A14,1393,A73,A93,A103,2,A173,1
A14,2108,A74,A94,A101,2,A173,1
A14,1076,A73,A94,A101,2,A173,1
A11,3620,A73,A93,A103,2,A173,1
A11,1169,A75,A93,A101,4,A173,1
A14,3594,A72,A92,A101,2,A172,1
A12,2728,A74,A93,A103,2,A173,1
A14,4679,A74,A93,A101,3,A172,1
A14,5324,A75,A92,A101,4,A173,1
A12,1919,A74,A93,A101,3,A173,1
A13,1330,A72,A93,A101,1,A173,1
A11,2122,A73,A93,A101,2,A172,1
A11,3857,A73,A91,A101,4,A174,1
A12,5743,A72,A92,A101,4,A173,1
A14,2848,A73,A93,A102,2,A173,1
A14,1597,A73,A93,A101,2,A172,1
A12,2326,A73,A93,A101,4,A173,1
A13,392,A72,A92,A101,4,A173,1
A11,2136,A73,A93,A101,2,A173,1
A14,1126,A72,A92,A101,2,A173,1
A14,6304,A75,A93,A101,4,A173,1
A14,5511,A73,A93,A101,1,A173,1
A14,2476,A75,A93,A101,4,A174,1
A11,2659,A73,A93,A101,2,A173,1
A11,1374,A73,A93,A101,2,A172,1
A12,7472,A71,A92,A101,2,A171,1
A14,3074,A73,A93,A101,2,A173,1
A13,1961,A75,A92,A101,2,A174,1
A11,3973,A71,A93,A101,4,A173,1
A14,2299,A75,A93,A101,4,A173,1
A12,590,A72,A94,A101,3,A172,1
A12,4712,A73,A93,A101,2,A174,1
A14,682,A74,A92,A101,3,A173,1
A11,3416,A73,A93,A101,2,A174,1
A14,1185,A73,A92,A101,2,A173,1
A14,783,A73,A93,A103,2,A172,1
A14,1055,A72,A92,A101,1,A173,1
A14,3062,A75,A93,A101,3,A173,1
A14,3812,A72,A92,A101,4,A173,1
A14,1979,A75,A93,A101,2,A173,1
A13,409,A73,A92,A101,3,A173,1
A14,1574,A73,A93,A101,2,A173,1
A14,1291,A73,A92,A101,2,A173,1
A14,2424,A75,A93,A101,4,A173,1
A11,2384,A75,A93,A101,4,A172,1
A12,1537,A75,A93,A103,4,A173,1
A13,2687,A74,A93,A101,4,A173,1
A12,1048,A73,A93,A101,4,A172,1
A13,3049,A72,A92,A101,1,A172,1
A14,1829,A75,A93,A101,4,A173,1
A11,3632,A73,A92,A103,4,A173,1
A14,5045,A75,A92,A101,4,A173,1
A14,1163,A73,A93,A101,4,A173,1
A13,1905,A75,A93,A101,4,A174,1
A12,4439,A75,A93,A102,1,A174,1
A13,2247,A73,A92,A101,2,A173,1
A14,1585,A74,A93,A101,3,A173,1
A12,9157,A73,A93,A101,2,A174,1
A13,2251,A73,A92,A101,2,A172,1
A14,1591,A74,A93,A101,3,A174,1
A14,6614,A75,A93,A101,4,A174,1
A13,709,A72,A94,A101,2,A171,1
A14,5842,A75,A93,A101,2,A173,1
A14,2390,A75,A93,A101,3,A173,1
A14,3430,A75,A93,A101,2,A173,1
A11,1164,A75,A93,A101,4,A174,1
A12,2631,A73,A92,A101,2,A172,1
A14,2675,A75,A93,A101,4,A173,1
A12,1410,A73,A93,A101,2,A172,1
A14,1901,A73,A93,A101,4,A174,1
A13,1323,A75,A91,A101,4,A173,1
A12,2528,A72,A92,A101,1,A173,1
A12,5381,A71,A93,A101,4,A171,1
A11,3643,A75,A92,A101,4,A172,1
A14,1388,A73,A92,A101,2,A173,1
A13,1297,A73,A94,A101,4,A173,1
A12,6078,A74,A93,A101,2,A173,1
A11,3651,A73,A93,A101,3,A173,1
A12,5800,A73,A93,A101,4,A173,1
A14,7238,A75,A93,A101,3,A173,1
A14,3609,A73,A92,A101,1,A173,1
A12,3017,A72,A92,A101,1,A174,1
A14,1413,A74,A93,A101,2,A173,1
A13,2360,A73,A93,A101,2,A173,1
A12,1155,A75,A94,A103,3,A172,1
A11,3763,A74,A93,A102,2,A172,1
A11,652,A75,A92,A101,4,A173,1
A14,7824,A72,A93,A103,4,A173,1
A14,2171,A72,A92,A101,2,A173,1
A14,1546,A73,A93,A101,2,A172,1
A14,2133,A75,A92,A101,4,A174,1
A14,3488,A74,A92,A101,4,A173,1
A14,1453,A72,A92,A101,1,A173,1
A11,1893,A73,A92,A103,4,A173,1
A14,1393,A75,A93,A101,4,A173,1
A12,6948,A73,A93,A101,2,A174,1
A12,1201,A72,A93,A101,1,A173,1
A14,1817,A73,A92,A101,2,A173,1
A14,3556,A73,A93,A101,2,A173,1
A12,1965,A73,A92,A101,4,A173,1
A14,3577,A73,A93,A103,2,A173,1
A14,1236,A72,A92,A101,4,A173,1
A14,3535,A74,A93,A101,4,A173,1
A11,2348,A73,A94,A101,2,A173,1
A14,1569,A75,A93,A101,4,A172,1
A14,3105,A72,A93,A101,2,A173,1
A12,4576,A71,A93,A101,4,A173,1
A12,7308,A71,A93,A101,4,A174,1
A14,4042,A73,A93,A101,4,A173,1
A12,2101,A72,A92,A103,4,A172,1
A14,6527,A73,A93,A101,4,A173,1
A14,1264,A75,A93,A101,4,A172,1
A12,3612,A75,A92,A101,4,A173,1
A12,1941,A73,A93,A101,2,A172,1
A14,1149,A73,A93,A101,3,A173,1
A12,11760,A74,A93,A101,3,A173,1
A11,2241,A72,A93,A101,3,A172,1
A12,3069,A75,A93,A101,4,A173,1
A14,2022,A73,A92,A101,4,A173,1
A12,1092,A73,A92,A103,4,A173,1
A11,343,A72,A92,A101,1,A173,1
A14,3343,A73,A93,A101,2,A173,1
A12,882,A72,A93,A103,4,A173,1
A11,1374,A71,A92,A101,3,A174,1
A14,3835,A75,A92,A101,4,A172,1
A11,1526,A75,A93,A101,4,A174,1
A14,1736,A74,A92,A101,4,A172,1
A14,1469,A75,A94,A101,4,A172,1
A14,15653,A74,A93,A101,4,A173,1
A12,3990,A72,A92,A101,2,A171,1
A14,5103,A72,A94,A101,3,A173,1
A12,1113,A73,A92,A103,4,A172,1
A11,2483,A73,A93,A101,4,A173,1
A14,2578,A75,A93,A101,2,A173,1
A12,1549,A72,A93,A101,2,A171,1
A11,5302,A75,A93,A101,4,A174,1
A14,3229,A71,A93,A101,4,A174,1
A14,2507,A75,A93,A101,4,A172,1
A14,2279,A73,A93,A101,4,A173,1
A14,1360,A73,A93,A101,2,A173,1
A14,3518,A73,A93,A103,3,A173,1
A14,1554,A74,A92,A101,2,A173,1
A14,7629,A75,A91,A101,2,A174,1
A14,1934,A75,A93,A101,2,A173,1
A14,1386,A73,A94,A101,2,A173,1
A14,846,A75,A93,A101,4,A173,1
A11,2132,A72,A92,A102,3,A173,1
A14,1940,A75,A93,A101,4,A173,1
A11,1382,A74,A93,A101,1,A173,1
A12,932,A74,A92,A101,3,A172,1
A12,2779,A73,A94,A101,3,A173,1
A14,8613,A73,A93,A101,2,A173,1
A14,1154,A71,A92,A101,4,A172,1
A14,1766,A73,A94,A101,2,A173,1
A11,975,A73,A91,A101,3,A173,1
A14,1287,A75,A92,A101,4,A173,1
A11,701,A73,A94,A101,2,A172,1
A11,1858,A72,A92,A101,1,A173,1
A11,4380,A73,A93,A101,4,A172,1
A14,4811,A74,A92,A101,4,A172,1
A14,1213,A75,A93,A101,3,A173,1
A12,958,A74,A93,A101,3,A172,1
A11,571,A75,A93,A101,4,A173,1
A14,2333,A75,A93,A101,2,A174,1
A12,276,A73,A94,A101,4,A172,1
A14,2788,A74,A92,A102,3,A173,1
A12,6681,A73,A93,A101,4,A173,1
A12,2273,A74,A93,A101,1,A173,1
A11,2315,A75,A93,A101,4,A172,1
A14,1543,A73,A91,A101,2,A173,1
A14,1382,A73,A92,A101,1,A173,1
A13,1258,A73,A92,A101,3,A172,1
A14,10477,A75,A93,A101,4,A173,1
A14,2759,A75,A93,A101,4,A173,1
A14,1237,A73,A92,A101,1,A173,1
A11,2212,A74,A93,A101,4,A173,1
A14,2613,A73,A93,A101,2,A173,1
A12,6148,A75,A94,A101,4,A173,1
A14,426,A75,A94,A101,4,A172,1
A11,1602,A75,A94,A101,3,A173,1
A14,3342,A75,A93,A101,2,A173,1
A12,2333,A72,A93,A101,2,A172,1
A12,3979,A74,A93,A101,1,A173,1
A14,1851,A74,A94,A103,2,A173,1
A12,2415,A73,A93,A103,2,A173,1
A14,5248,A73,A93,A101,3,A173,1
A14,2697,A73,A93,A101,2,A173,1
A11,1657,A73,A93,A101,2,A173,1
A11,6615,A71,A93,A101,4,A174,1
A12,1318,A75,A93,A101,4,A173,1
A12,1521,A73,A91,A101,2,A172,1
A14,2331,A75,A93,A102,4,A173,1
A11,3622,A75,A92,A101,4,A173,1
A14,5771,A74,A92,A101,2,A173,1
A14,730,A75,A93,A101,2,A172,1
A14,2406,A71,A93,A101,3,A174,1
A14,1505,A73,A93,A101,2,A174,1
A14,1402,A74,A92,A101,4,A173,1
A12,1449,A75,A91,A101,2,A173,1
A14,717,A75,A94,A101,4,A173,1
A12,1199,A74,A92,A101,4,A174,1
A13,1343,A75,A93,A101,4,A173,1
A13,1445,A74,A93,A101,4,A172,1
A11,4020,A73,A93,A101,2,A173,1
A14,1884,A75,A93,A101,4,A174,1
A12,2745,A74,A93,A101,2,A173,1
A14,1316,A73,A94,A101,2,A172,1
A14,1950,A74,A93,A101,1,A173,1
A12,1295,A72,A92,A101,1,A173,1
A12,1037,A74,A93,A101,4,A172,1
A11,2442,A75,A93,A101,4,A174,1
A12,3758,A71,A92,A101,4,A171,1
A14,1867,A75,A93,A101,4,A173,1
A12,1308,A75,A93,A101,4,A172,1
A14,2051,A72,A93,A101,1,A173,1
A14,2284,A74,A93,A101,2,A173,1
A12,1577,A72,A92,A101,1,A173,1
A12,3617,A75,A93,A101,4,A173,1
A11,5371,A73,A93,A103,2,A173,1
A14,1568,A73,A92,A101,4,A172,1
A14,8858,A74,A93,A101,1,A173,1
A12,12204,A73,A93,A101,2,A174,1
A11,2389,A72,A92,A101,1,A173,1
A14,2238,A73,A92,A101,1,A173,1
A12,1995,A72,A93,A101,1,A173,1
A14,1262,A73,A93,A101,2,A173,1
A14,1098,A71,A92,A101,4,A171,1
A14,3850,A74,A93,A101,1,A173,1
A12,2930,A74,A92,A101,1,A173,1
A12,3512,A74,A93,A101,3,A173,1
A14,7166,A74,A94,A101,4,A173,1
A12,983,A72,A92,A101,4,A172,1
A13,1225,A73,A93,A101,2,A173,1
A14,1655,A75,A93,A101,4,A172,1
A14,4530,A74,A92,A101,4,A174,1
A11,2828,A73,A93,A101,4,A173,1
A13,2116,A73,A93,A101,2,A173,1
A14,518,A73,A92,A101,1,A173,1
A14,9436,A73,A93,A101,2,A172,1
A14,3485,A72,A91,A101,4,A173,1
A14,2134,A73,A93,A101,4,A173,1
A14,7409,A75,A93,A101,2,A173,1
A14,4042,A74,A93,A101,4,A173,1
A14,7678,A74,A92,A101,4,A173,1
A14,3447,A73,A92,A101,3,A172,1
A12,2991,A75,A92,A101,4,A173,1
A14,2993,A73,A93,A101,2,A172,1
A12,2622,A73,A93,A101,4,A173,1
A14,4594,A72,A93,A101,2,A173,1
A14,2835,A75,A93,A101,4,A173,1
A11,1168,A73,A94,A101,3,A172,1
A14,4526,A72,A93,A101,2,A172,1
A11,2214,A73,A93,A101,3,A172,1
A14,936,A75,A93,A101,2,A173,1
A11,2910,A74,A93,A101,1,A174,1
A14,2748,A75,A92,A101,4,A172,1
A14,3568,A75,A92,A101,2,A174,1
A14,763,A73,A92,A101,1,A173,1
A11,1200,A73,A92,A101,4,A173,1
A14,4151,A73,A93,A101,3,A173,1
A12,8487,A74,A92,A101,2,A173,1
A14,1595,A74,A93,A101,2,A173,1
A11,1957,A74,A92,A101,4,A173,1
A14,1538,A72,A92,A101,2,A173,1
A14,1898,A73,A93,A101,2,A172,1
A14,2670,A75,A93,A101,4,A174,1
A14,12749,A74,A93,A101,1,A174,1
A11,6579,A71,A93,A101,2,A174,1
A14,700,A75,A93,A101,4,A173,1
A11,14179,A74,A93,A101,4,A174,1
A12,841,A74,A92,A101,4,A172,1
A14,10222,A74,A93,A101,3,A173,1
A14,1028,A73,A92,A101,3,A173,1
A11,3249,A74,A93,A101,4,A174,1
A14,7228,A73,A93,A101,4,A172,1
A14,3527,A72,A93,A101,3,A174,1
A12,9283,A71,A93,A101,2,A174,1
A13,5152,A74,A93,A101,2,A173,1
A14,1300,A75,A93,A101,4,A173,1
A11,666,A74,A92,A101,4,A172,1
A14,1409,A71,A92,A101,4,A173,1
A13,3949,A72,A93,A103,1,A172,1
A12,1424,A74,A93,A101,3,A173,1
A14,3595,A75,A93,A101,2,A173,1
A12,368,A75,A93,A101,4,A173,1
A14,717,A75,A93,A101,4,A173,1
A14,1249,A72,A94,A101,2,A173,1
A14,1935,A75,A93,A101,4,A173,1
A13,1494,A72,A93,A101,2,A172,1
A14,4272,A73,A93,A101,2,A172,1
A14,1283,A74,A92,A101,4,A173,1
A14,2743,A75,A93,A101,2,A173,1
A11,385,A74,A92,A101,3,A172,1
A12,1301,A75,A94,A103,2,A172,1
A12,2899,A75,A93,A101,4,A173,1
A14,1559,A74,A93,A101,4,A173,1
A12,7432,A73,A92,A101,2,A173,1
A14,776,A73,A94,A101,2,A173,1
A11,4716,A72,A93,A101,3,A172,1
A12,2629,A73,A93,A101,3,A173,1
A11,428,A75,A92,A101,1,A173,1
A11,7882,A74,A93,A103,4,A173,1
A14,2141,A74,A93,A101,1,A173,1
A14,1459,A73,A92,A101,2,A172,1
A13,5848,A73,A93,A101,1,A173,1
A12,907,A72,A94,A101,2,A173,1
A14,2751,A75,A93,A101,3,A173,1
A12,6361,A75,A93,A101,1,A173,1
A14,707,A73,A93,A101,2,A173,1
A11,3394,A71,A93,A102,4,A171,1
A14,1204,A73,A93,A101,1,A173,1
A14,2978,A73,A93,A101,2,A173,1
A12,1743,A75,A93,A101,2,A172,1
A14,2375,A73,A93,A101,2,A173,1
A14,2186,A74,A92,A101,4,A172,1
A14,1597,A75,A93,A101,4,A173,1
A11,708,A73,A93,A103,3,A172,1
A14,2012,A74,A92,A101,2,A173,1
A12,6204,A73,A93,A101,4,A172,1
A14,10366,A75,A93,A101,4,A174,1
A14,7596,A75,A93,A101,4,A173,1
A14,960,A74,A92,A101,2,A173,1
A12,3213,A72,A94,A101,3,A173,1
A14,701,A73,A93,A101,2,A173,1
A14,3832,A75,A93,A101,4,A172,1
A14,2569,A73,A93,A101,4,A173,1
A14,802,A73,A93,A101,2,A172,1
A11,1721,A72,A93,A101,3,A173,1
A14,804,A75,A93,A101,4,A173,1
A11,6187,A74,A94,A101,4,A173,1
A12,1206,A75,A92,A101,4,A173,1
A12,1410,A75,A94,A101,2,A173,1
A14,601,A72,A92,A101,3,A172,1
A12,1175,A71,A93,A101,3,A171,1
A14,1743,A73,A93,A101,2,A172,1
A14,999,A75,A93,A101,2,A173,1
A14,2142,A75,A91,A101,2,A173,1
A12,3001,A74,A92,A101,4,A173,1
A12,1514,A73,A93,A103,2,A173,1
A14,7253,A74,A93,A101,2,A174,1
A11,1231,A75,A92,A101,4,A174,1
A12,4221,A73,A92,A101,1,A173,1
A13,1275,A73,A91,A101,4,A173,1
A11,3939,A73,A93,A101,2,A172,1
A14,1963,A74,A93,A101,2,A174,1
A14,1592,A74,A92,A101,2,A173,1
A14,13756,A75,A93,A101,4,A174,1
A11,2578,A71,A92,A101,4,A174,1
A14,874,A72,A92,A101,1,A173,1
A14,3077,A73,A93,A101,4,A173,1
A11,1747,A72,A93,A102,1,A172,1
A14,1984,A73,A93,A101,4,A173,1
A11,1755,A75,A92,A103,4,A172,1
A12,1715,A73,A92,A101,1,A173,1
A12,7374,A71,A93,A101,4,A174,1
