@relation german

@attribute DurationMonth numeric
@attribute ResidenceSince numeric
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
18,1,1,1,A191,1
15,2,2,1,A191,1
15,4,1,1,A191,1
18,4,1,1,A191,1
15,3,2,1,A191,1
36,2,1,1,A192,1
12,4,2,1,A191,1
6,2,1,1,A191,1
15,3,2,1,A191,1
15,4,1,2,A191,1
24,2,2,1,A191,1
12,3,1,2,A191,1
48,1,2,1,A192,1
21,4,2,1,A191,1
18,2,1,1,A191,1
24,3,2,1,A192,1
24,4,2,1,A192,1
24,2,1,1,A191,1
12,3,1,2,A191,1
15,2,1,1,A191,1
12,2,2,1,A192,1
10,3,2,1,A191,1
24,4,1,1,A191,1
24,4,1,1,A192,1
36,2,2,1,A192,1
15,2,1,1,A191,1
24,2,2,1,A191,1
18,2,1,1,A191,1
12,4,3,1,A191,1
12,2,1,1,A191,1
24,2,1,1,A192,1
12,3,1,2,A191,1
12,3,1,1,A191,1
24,2,1,1,A192,1
21,2,1,1,A191,1
18,4,1,1,A191,1
48,4,1,1,A192,1
12,3,1,1,A191,1
24,4,1,1,A192,1
18,3,1,1,A192,1
24,1,2,1,A192,1
9,1,1,1,A192,1
48,4,1,2,A192,1
24,2,1,1,A191,1
15,4,2,1,A192,1
12,2,1,1,A191,1
6,3,1,2,A191,1
6,4,3,1,A192,1
6,4,1,1,A191,1
24,4,1,1,A191,1
12,4,1,1,A192,1
24,1,1,1,A191,1
24,3,1,1,A192,1
12,2,1,1,A192,1
12,4,1,1,A192,1
20,4,1,1,A192,1
10,3,1,1,A192,1
9,3,1,1,A191,1
48,1,1,1,A191,1
6,3,3,2,A191,1
10,2,1,2,A191,1
48,1,1,1,A192,1
12,1,1,1,A192,1
12,3,4,1,A192,1
12,3,1,2,A192,1
12,3,1,1,A192,1
24,3,2,2,A192,1
24,4,2,1,A192,1
36,3,2,2,A192,1
12,4,1,1,A192,1
18,4,2,1,A191,1
20,4,2,1,A192,1
18,1,1,1,A192,1
18,4,1,1,A191,1
24,4,2,1,A192,1
30,2,2,1,A191,1
24,1,1,1,A191,1
60,4,1,2,A192,1
15,2,2,1,A191,1
18,3,1,2,A192,1
24,1,1,2,A191,1
18,4,1,2,A191,1
30,1,1,1,A191,1
4,1,3,2,A191,1
48,2,1,1,A192,1
12,3,2,2,A191,1
12,4,2,1,A191,1
36,1,2,2,A191,1
18,1,1,1,A192,1
18,3,2,1,A191,1
24,4,1,1,A191,1
30,2,2,1,A191,1
24,2,2,1,A192,1
6,1,2,1,A192,1
30,4,1,1,A192,1
9,4,1,1,A192,1
24,1,1,1,A192,1
12,2,1,1,A191,1
36,2,1,1,A192,1
24,4,1,1,A192,1
12,1,1,1,A192,1
21,4,2,1,A191,1
9,2,2,1,A191,1
15,3,2,1,A191,1
36,2,1,1,A192,1
4,3,1,2,A191,1
9,4,1,1,A191,1
26,3,2,1,A191,1
9,2,1,1,A191,1
10,2,1,1,A192,1
24,4,1,2,A192,1
12,4,2,1,A191,1
6,2,1,1,A192,1
12,4,2,1,A192,1
12,4,2,1,A191,1
18,4,2,1,A191,1
24,4,1,1,A192,1
12,1,2,2,A191,1
21,4,1,1,A192,1
24,4,1,2,A191,1
12,4,4,1,A191,1
15,3,1,1,A191,1
12,2,1,1,A191,1
36,2,1,1,A192,1
24,3,1,1,A192,1
27,2,2,1,A192,1
24,2,1,1,A191,1
30,3,3,1,A191,1
24,4,1,1,A192,1
60,4,1,1,A192,1
11,4,1,1,A191,1
15,4,2,1,A192,1
24,2,2,1,A192,1
24,4,1,1,A191,1
12,4,1,1,A192,1
6,4,1,1,A192,1
6,1,3,2,A191,1
12,4,1,1,A192,1
15,3,1,1,A191,1
10,4,1,1,A191,1
18,4,1,1,A192,1
24,4,1,1,A192,1
15,2,2,1,A191,1
12,4,1,1,A192,1
36,4,1,1,A191,1
9,4,1,1,A192,1
6,1,1,1,A191,1
27,1,1,2,A192,1
21,4,1,1,A192,1
15,2,1,1,A192,1
24,2,2,1,A192,1
20,4,2,1,A192,1
11,4,2,1,A191,1
6,2,1,1,A192,1
24,3,1,2,A192,1
12,4,1,1,A192,1
15,4,2,2,A192,1
24,2,1,1,A191,1
6,4,1,1,A191,1
6,2,1,1,A191,1
24,4,2,1,A192,1
9,2,1,2,A191,1
10,4,2,2,A191,1
24,2,1,1,A191,1
12,4,2,1,A191,1
12,4,1,1,A192,1
36,2,1,1,A191,1
42,4,1,1,A192,1
15,4,2,1,A192,1
18,3,3,2,A192,1
24,2,2,2,A192,1
36,2,1,1,A191,1
15,4,1,1,A192,1
24,4,1,2,A192,1
48,3,2,2,A192,1
6,4,1,1,A191,1
18,2,1,1,A192,1
15,1,1,1,A191,1
15,4,1,1,A191,1
12,1,2,2,A191,1
18,3,2,1,A191,1
6,4,2,1,A191,1
10,3,2,2,A191,1
24,4,1,1,A192,1
36,2,1,2,A191,1
12,2,1,1,A191,1
18,4,1,1,A191,1
6,3,2,1,A191,1
8,2,1,1,A192,1
36,2,1,1,A191,1
24,2,1,1,A192,1
15,3,1,1,A192,1
24,2,2,1,A192,1
15,2,3,1,A192,1
12,2,1,1,A191,1
6,2,1,1,A191,1
9,2,2,2,A191,1
12,2,2,1,A191,1
18,4,1,2,A192,1
24,1,1,1,A191,1
24,4,1,1,A192,1
36,2,2,1,A191,1
9,4,1,1,A191,1
30,2,1,1,A191,1
21,3,1,1,A192,1
36,1,1,1,A191,1
24,4,1,1,A191,1
6,3,1,1,A192,1
36,4,2,1,A191,1
6,1,1,1,A191,1
18,4,1,1,A191,1
7,4,1,1,A191,1
9,2,1,2,A191,1
12,2,2,2,A192,1
18,1,1,1,A192,1
6,2,1,1,A191,1
24,3,2,1,A191,1
11,1,1,1,A191,1
10,2,2,1,A192,1
6,4,1,2,A191,1
12,4,1,1,A192,1
18,2,2,1,A191,1
4,1,3,2,A191,1
24,4,1,1,A191,1
6,4,2,1,A192,1
6,1,1,1,A191,1
30,4,1,1,A192,1
9,4,2,1,A191,1
15,4,1,1,A191,1
12,4,1,1,A191,1
48,2,1,1,A191,1
18,4,1,1,A191,1
18,4,1,1,A192,1
12,4,1,1,A191,1
15,4,1,2,A191,1
12,2,1,1,A191,1
18,2,1,1,A191,1
6,3,2,2,A191,1
48,2,1,1,A191,1
24,3,1,1,A192,1
48,4,1,1,A192,1
24,4,2,2,A192,1
15,3,2,1,A191,1
21,3,1,1,A192,1
24,4,1,1,A191,2
12,3,1,1,A191,2
24,4,1,1,A191,2
24,4,1,1,A192,2
16,4,1,1,A192,2
12,1,1,1,A191,2
9,4,1,2,A192,2
18,4,1,1,A192,2
48,4,1,1,A191,2
24,2,1,1,A192,2
48,4,3,2,A192,2
24,4,2,1,A191,2
36,4,1,2,A192,2
48,4,1,1,A191,2
12,4,1,1,A191,2
15,3,1,2,A191,2
30,1,1,1,A192,2
20,2,2,1,A191,2
45,2,2,1,A191,2
21,2,1,2,A191,2
12,4,1,2,A191,2
12,2,1,1,A191,2
18,3,1,1,A191,2
6,4,1,1,A191,2
12,3,1,2,A191,2
24,2,1,1,A192,2
24,2,1,1,A191,2
54,4,1,1,A192,2
36,4,1,1,A192,2
30,2,2,1,A191,2
9,3,2,1,A192,2
24,4,1,1,A192,2
9,2,1,1,A191,2
24,2,2,2,A191,2
36,4,1,1,A192,2
9,3,2,2,A191,2
18,2,1,1,A191,2
10,2,1,1,A191,2
60,4,2,1,A192,2
30,2,1,1,A191,2
6,4,1,1,A191,2
24,3,1,1,A192,2
14,4,1,1,A192,2
24,2,1,1,A191,2
24,2,2,1,A192,2
18,4,1,1,A191,2
12,4,2,2,A191,2
18,2,1,1,A191,2
45,4,2,1,A191,2
30,4,1,1,A191,2
48,2,1,1,A191,2
18,3,2,1,A191,2
18,2,1,1,A192,2
48,2,1,1,A192,2
15,1,2,1,A191,2
12,4,1,2,A191,2
12,2,1,1,A191,2
18,4,2,1,A191,2
21,2,2,2,A191,2
9,2,1,1,A191,2
36,4,2,1,A192,2
24,4,1,1,A192,2
12,2,1,1,A191,2
24,4,1,1,A191,2
18,4,1,1,A191,2
18,1,1,1,A191,2
24,4,1,1,A191,2
24,4,3,1,A192,2
12,3,2,1,A191,2
60,4,1,1,A191,2
18,4,1,1,A191,2
15,3,2,1,A191,2
10,4,1,2,A191,2
36,4,1,1,A192,2
18,1,1,1,A191,2
24,4,2,1,A191,2
12,3,1,1,A192,2
24,1,1,1,A191,2
12,4,1,1,A191,2
18,2,1,1,A191,2
18,2,2,1,A191,2
24,1,1,1,A191,2
24,1,1,1,A192,2
36,4,1,1,A191,2
30,2,2,1,A191,2
12,1,1,1,A192,2
24,4,2,1,A191,2
36,4,2,1,A192,2
36,2,2,1,A192,2
36,1,1,1,A192,2
36,4,1,1,A191,2
12,4,1,1,A192,2
48,2,1,1,A192,2
36,4,1,1,A192,2
6,1,1,1,A191,2
21,4,1,1,A192,2
12,3,1,1,A191,2
8,4,1,1,A191,2
18,2,1,1,A191,2
24,4,2,1,A191,2
39,2,2,1,A191,2
27,2,1,2,A192,2
27,4,2,1,A192,2
18,4,2,1,A191,2
30,4,2,1,A191,2
48,4,1,1,A191,2
12,3,1,1,A191,2
30,2,1,1,A191,2
18,4,2,1,A191,2
15,2,1,2,A192,2
24,2,2,1,A192,2
24,1,1,1,A192,2
21,2,2,1,A192,2
30,4,1,1,A192,2
24,1,2,1,A192,2
36,2,2,1,A192,2
12,4,4,1,A191,2
48,4,1,1,A191,2
18,2,2,1,A191,2
24,2,2,2,A191,2
12,2,2,1,A192,2
24,4,1,1,A192,2
9,2,2,1,A191,2
48,3,1,1,A191,2
12,4,2,1,A192,2
9,1,1,1,A191,2
42,3,1,1,A192,2
12,1,1,1,A191,2
18,2,1,1,A191,2
27,2,2,1,A191,2
36,2,1,2,A191,2
48,2,1,1,A191,2
33,4,2,1,A191,2
12,2,2,1,A192,2
18,4,2,1,A191,2
9,2,1,1,A192,2
24,4,1,2,A191,2
48,2,1,1,A191,2
12,4,1,1,A191,2
24,4,1,1,A191,2
27,4,2,1,A192,2
18,4,3,1,A192,2
36,1,1,1,A192,2
24,2,1,1,A192,2
45,4,1,1,A192,2
27,3,1,1,A191,2
12,1,1,1,A192,2
21,1,1,1,A191,2
60,2,1,1,A191,2
30,1,1,1,A192,2
12,1,1,1,A191,2
18,2,1,1,A191,2
36,4,1,1,A192,2
48,4,2,1,A192,2
6,2,1,1,A192,2
48,4,2,1,A191,2
24,4,1,2,A192,2
6,2,1,2,A191,2
24,3,1,1,A192,2
24,4,2,2,A191,2
36,2,1,1,A192,2
12,2,3,1,A192,2
9,4,1,1,A191,2
48,4,1,2,A191,2
12,1,1,1,A191,2
24,2,1,1,A191,2
15,4,2,1,A192,2
36,4,1,1,A192,2
48,4,2,2,A191,2
36,1,2,1,A191,2
15,2,1,1,A191,2
12,4,2,1,A191,2
9,3,1,1,A191,2
12,3,2,1,A191,2
9,2,1,1,A192,2
24,3,1,1,A192,2
12,4,1,2,A191,2
21,2,2,1,A191,2
60,4,2,1,A192,2
24,4,1,1,A191,2
24,3,2,2,A192,2
36,2,1,2,A191,2
15,3,1,1,A191,2
48,2,1,1,A191,2
48,4,2,1,A191,2
30,4,1,1,A191,2
48,3,1,1,A192,2
48,2,1,1,A192,2
48,2,1,1,A192,2
15,2,1,1,A192,2
18,2,2,1,A191,2
18,2,2,1,A191,2
12,4,1,1,A192,2
18,4,3,2,A191,2
12,2,1,1,A191,2
12,3,2,1,A191,2
18,3,1,1,A192,2
12,1,2,1,A191,2
12,4,1,1,A191,2
36,2,1,1,A191,2
9,2,1,1,A191,2
21,4,1,2,A191,2
12,4,1,1,A191,2
18,3,1,1,A192,2
12,1,1,1,A191,2
36,2,1,1,A192,2
24,4,1,1,A191,2
9,3,1,1,A191,2
18,3,1,1,A191,2
36,4,1,1,A191,2
24,4,2,2,A191,2
24,4,2,2,A191,2
21,4,2,1,A192,2
36,2,2,1,A192,2
24,3,1,2,A191,2
24,3,3,1,A192,2
45,4,1,1,A191,2
48,4,1,1,A191,2
24,2,1,1,A192,2
12,2,1,1,A192,2
12,3,1,1,A191,2
36,2,2,1,A192,2
48,1,2,1,A192,2
60,2,1,1,A192,2
18,3,2,1,A191,2
36,1,2,1,A192,2
24,2,1,1,A192,2
18,1,1,2,A191,2
12,3,2,1,A191,2
30,4,1,1,A191,2
48,2,2,1,A192,2
9,2,2,1,A192,2
36,1,1,1,A191,2
28,2,1,1,A191,2
24,4,2,1,A192,2
6,4,1,1,A191,2
48,4,1,2,A191,2
48,4,2,1,A191,2
18,3,1,1,A191,2
12,1,1,1,A191,2
21,1,2,1,A191,2
30,3,2,1,A191,2
36,2,1,2,A191,2
15,3,2,2,A191,2
24,4,2,1,A191,2
15,2,1,1,A192,2
24,4,1,1,A191,2
60,4,1,1,A191,2
36,4,1,1,A191,2
18,4,1,2,A192,2
42,3,1,1,A191,2
15,4,2,1,A192,2
36,2,2,1,A192,2
12,2,1,1,A191,2
12,1,1,1,A191,2
18,4,2,2,A192,2
40,3,1,1,A192,2
36,3,1,1,A192,2
18,2,2,2,A191,2
24,4,2,2,A191,2
48,2,1,1,A192,2
42,2,2,2,A192,2
36,1,1,1,A192,2
18,2,1,1,A191,2
72,2,1,1,A191,2
24,3,2,1,A192,2
6,4,1,1,A192,2
30,4,1,1,A191,2
24,1,1,1,A191,2
36,4,2,1,A192,2
