@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A12,1154,A121,A143,1
A14,2569,A123,A143,1
A14,1984,A124,A141,1
A14,4594,A123,A143,1
A12,1410,A121,A143,1
A14,3447,A121,A143,1
A11,975,A122,A143,1
A14,976,A123,A143,1
A14,1224,A121,A143,1
A13,2892,A124,A143,1
A14,2406,A123,A143,1
A14,2782,A123,A141,1
A14,1154,A121,A143,1
A14,1503,A121,A143,1
A14,1935,A121,A143,1
A14,802,A123,A143,1
A12,1913,A121,A141,1
A11,4169,A122,A143,1
A14,2146,A121,A143,1
A12,6681,A124,A143,1
A12,5965,A123,A143,1
A14,1413,A122,A143,1
A14,1768,A121,A143,1
A11,1374,A121,A141,1
A11,1107,A121,A143,1
A14,3972,A122,A143,1
A14,2872,A121,A143,1
A14,1474,A121,A143,1
A12,3711,A123,A143,1
A14,2670,A123,A143,1
A14,2507,A124,A143,1
A11,2659,A123,A143,1
A14,1283,A122,A143,1
A14,10144,A121,A143,1
A14,3079,A121,A143,1
A14,3380,A121,A143,1
A14,2375,A123,A143,1
A14,3062,A124,A143,1
A14,1800,A123,A143,1
A11,1755,A121,A143,1
A14,1221,A122,A143,1
A13,1297,A121,A143,1
A14,1238,A122,A143,1
A14,5045,A123,A143,1
A14,2848,A121,A143,1
A14,1412,A121,A143,1
A14,2679,A124,A143,1
A14,2859,A124,A143,1
A12,932,A122,A143,1
A14,3578,A121,A143,1
A14,2445,A123,A143,1
A12,2825,A124,A143,1
A12,1318,A121,A143,1
A11,1872,A124,A143,1
A11,3398,A121,A143,1
A12,1549,A121,A143,1
A14,3832,A121,A143,1
A14,9277,A124,A143,1
A12,2779,A123,A143,1
A13,1961,A123,A143,1
A11,1526,A124,A143,1
A12,1037,A121,A143,1
A14,1376,A123,A143,1
A12,1887,A121,A141,1
A14,874,A121,A143,1
A14,7409,A122,A143,1
A12,3573,A121,A143,1
A12,1082,A123,A143,1
A11,6579,A124,A143,1
A14,3448,A121,A143,1
A11,1203,A122,A143,1
A13,4473,A123,A143,1
A14,8133,A122,A141,1
A13,781,A124,A143,1
A12,753,A121,A143,1
A14,1546,A121,A143,1
A14,426,A123,A143,1
A14,2288,A122,A143,1
A14,4272,A122,A143,1
A14,2404,A123,A143,1
A14,1278,A121,A143,1
A14,3594,A122,A143,1
A11,1352,A122,A143,1
A14,717,A121,A143,1
A11,4020,A123,A142,1
A14,618,A121,A143,1
A14,1493,A123,A143,1
A14,1582,A123,A143,1
A12,7308,A124,A141,1
A11,6568,A123,A142,1
A14,1393,A122,A141,1
A12,590,A121,A143,1
A12,3001,A121,A143,1
A14,1413,A122,A143,1
A14,2390,A123,A143,1
A11,1288,A121,A143,1
A11,2957,A122,A143,1
A13,1424,A121,A143,1
A13,6289,A122,A143,1
A14,6313,A123,A143,1
A12,1295,A122,A143,1
A14,1525,A123,A143,1
A12,2528,A122,A143,1
A14,2394,A123,A143,1
A12,1092,A121,A143,1
A11,2384,A121,A141,1
A14,2333,A123,A141,1
A14,1591,A121,A143,1
A12,1514,A121,A143,1
A14,1258,A122,A143,1
A12,8358,A123,A143,1
A14,1338,A121,A143,1
A11,2121,A122,A143,1
A14,4657,A123,A143,1
A14,7253,A123,A143,1
A14,672,A121,A143,1
A14,1126,A121,A143,1
A14,3181,A122,A143,1
A12,2427,A122,A143,1
A14,4679,A123,A143,1
A13,3617,A124,A143,1
A14,3422,A122,A141,1
A14,5954,A123,A143,1
A14,1231,A121,A143,1
A11,2315,A121,A143,1
A12,1537,A121,A143,1
A11,1364,A121,A143,1
A14,2613,A123,A143,1
A12,6260,A121,A143,1
A14,1255,A121,A143,1
A12,6204,A121,A143,1
A11,14179,A122,A143,1
A14,5742,A123,A143,1
A11,7476,A124,A143,1
A11,6615,A124,A143,1
A14,250,A121,A141,1
A12,3195,A121,A143,1
A13,1881,A123,A143,1
A13,683,A122,A141,1
A14,2476,A121,A143,1
A14,2284,A123,A143,1
A13,1323,A123,A143,1
A12,3124,A121,A141,1
A11,4583,A121,A143,1
A11,609,A122,A143,1
A14,3568,A123,A141,1
A14,1455,A121,A143,1
A14,2424,A122,A143,1
A14,601,A121,A143,1
A14,11054,A123,A143,1
A14,1453,A121,A143,1
A11,701,A121,A143,1
A12,1155,A121,A141,1
A12,3832,A122,A143,1
A14,1402,A123,A143,1
A12,3990,A124,A141,1
A12,790,A121,A143,1
A12,276,A121,A143,1
A11,1603,A123,A143,1
A11,2924,A124,A141,1
A12,1050,A122,A142,1
A14,1169,A122,A143,1
A14,2012,A123,A143,1
A14,1244,A122,A143,1
A11,2647,A121,A143,1
A14,1934,A124,A143,1
A11,3763,A121,A143,1
A11,2136,A121,A143,1
A11,1880,A122,A143,1
A12,7374,A122,A142,1
A14,4811,A122,A142,1
A11,1374,A122,A143,1
A14,2096,A121,A143,1
A14,1240,A121,A143,1
A14,1851,A123,A143,1
A12,958,A121,A143,1
A14,2831,A123,A143,1
A11,1289,A122,A143,1
A14,1552,A123,A141,1
A14,2108,A121,A143,1
A14,5433,A122,A143,1
A12,2760,A124,A141,1
A14,1979,A123,A143,1
A11,4788,A122,A143,1
A13,1275,A121,A143,1
A11,8471,A123,A143,1
A14,2578,A123,A143,1
A14,1569,A123,A141,1
A14,6070,A123,A143,1
A11,2578,A124,A143,1
A12,2415,A121,A143,1
A11,2606,A122,A143,1
A14,1055,A122,A143,1
A14,2346,A123,A143,1
A14,2221,A123,A143,1
A11,1164,A124,A141,1
A11,2812,A121,A143,1
A12,1860,A123,A143,1
A14,7814,A123,A143,1
A11,1138,A121,A143,1
A12,1941,A122,A143,1
A14,1418,A121,A143,1
A14,1950,A123,A142,1
A12,1201,A122,A143,1
A13,2116,A121,A143,1
A11,1498,A123,A141,1
A11,385,A121,A143,1
A11,3416,A123,A143,1
A11,2577,A123,A143,1
A13,2251,A123,A143,1
A14,8613,A123,A143,1
A12,12169,A124,A143,1
A11,1957,A123,A143,1
A14,7393,A122,A143,1
A14,2134,A123,A143,1
A14,1495,A121,A143,1
A12,3213,A121,A143,1
A13,1330,A121,A143,1
A14,2993,A121,A142,1
A14,1449,A123,A143,1
A14,6761,A124,A143,1
A11,2964,A124,A141,1
A11,2348,A122,A143,1
A14,3518,A122,A143,1
A11,3622,A122,A143,1
A13,3016,A123,A143,1
A14,2978,A123,A143,1
A14,1554,A123,A143,1
A11,2828,A121,A142,1
A14,1236,A122,A143,1
A14,1382,A123,A143,1
A12,1424,A122,A143,1
A14,1249,A121,A143,1
A13,1480,A124,A141,1
A11,2122,A121,A143,1
A13,1474,A122,A141,1
A12,5743,A124,A143,1
A13,1905,A123,A143,1
A14,730,A122,A143,1
A14,3331,A122,A142,1
A11,3939,A121,A143,1
A12,1804,A122,A143,1
A12,1795,A121,A141,1
A12,5084,A123,A143,1
A14,7238,A123,A141,1
A14,1364,A123,A143,1
A12,1206,A121,A143,1
A14,5507,A124,A143,1
A14,3812,A123,A143,1
A11,1657,A121,A143,1
A14,783,A121,A142,1
A11,2910,A124,A143,1
A11,3021,A121,A143,1
A12,7057,A122,A141,1
A11,1478,A123,A143,1
A14,3868,A123,A143,1
A14,4454,A121,A143,1
A14,2080,A123,A143,1
A12,9157,A124,A143,1
A12,1567,A123,A143,1
A12,2063,A123,A143,1
A14,1287,A121,A143,1
A11,1262,A122,A143,1
A12,1158,A123,A143,1
A11,10722,A121,A143,1
A14,3835,A121,A143,1
A14,3275,A123,A143,1
A13,1347,A122,A143,1
A14,763,A121,A143,1
A14,1393,A123,A143,1
A12,1103,A121,A143,1
A11,3357,A123,A141,1
A14,1098,A123,A143,1
A14,3850,A123,A143,1
A14,7166,A122,A143,1
A14,1544,A121,A143,1
A14,1076,A121,A143,1
A11,1049,A122,A143,1
A13,1343,A121,A143,1
A14,936,A123,A143,1
A13,392,A122,A143,1
A11,652,A122,A143,1
A11,338,A123,A143,1
A12,3976,A123,A143,1
A14,2299,A123,A143,1
A14,3565,A122,A143,1
A12,2030,A123,A143,1
A14,1655,A121,A143,1
A14,9436,A122,A143,1
A14,2223,A122,A141,1
A14,930,A121,A143,1
A14,1516,A121,A143,1
A14,2238,A123,A143,1
A14,2662,A122,A143,1
A14,1538,A124,A143,1
A12,6403,A123,A143,1
A12,3979,A123,A143,1
A14,2320,A121,A143,1
A14,5248,A123,A143,1
A14,4042,A122,A143,1
A14,1750,A122,A141,1
A14,1185,A121,A143,1
A14,2133,A124,A143,1
A11,1845,A122,A143,1
A14,894,A122,A143,1
A12,2101,A122,A143,1
A11,1680,A121,A143,1
A12,1449,A123,A141,1
A14,4530,A123,A143,1
A14,1901,A123,A143,1
A12,7418,A121,A143,1
A14,1743,A121,A143,1
A14,1940,A121,A143,1
A12,3612,A122,A143,1
A14,1311,A122,A143,1
A11,1403,A123,A143,1
A11,5493,A124,A143,1
A12,9857,A122,A143,1
A14,1898,A121,A143,1
A12,458,A121,A143,1
A12,6468,A121,A143,1
A12,4771,A122,A143,1
A12,1048,A121,A142,1
A14,1924,A122,A143,1
A13,1275,A122,A143,1
A12,2181,A121,A143,1
A14,2142,A121,A143,1
A14,660,A121,A143,1
A14,1028,A121,A143,1
A14,4675,A123,A143,1
A11,1382,A121,A143,1
A13,3049,A122,A142,1
A14,6304,A121,A143,1
A11,2389,A123,A142,1
A14,5511,A123,A142,1
A11,1169,A121,A143,1
A12,585,A121,A143,1
A11,3660,A123,A143,1
A12,3566,A123,A143,1
A13,3148,A123,A143,1
A12,6967,A123,A143,1
A11,1940,A124,A141,1
A12,5381,A124,A141,1
A14,1740,A121,A143,1
A14,2141,A124,A143,1
A14,2255,A122,A143,1
A14,5324,A124,A143,1
A12,2991,A123,A143,1
A14,804,A123,A143,1
A12,1414,A121,A143,1
A14,1505,A124,A143,1
A14,2901,A121,A143,1
A14,932,A121,A143,1
A14,2197,A123,A143,1
A11,2132,A121,A143,1
A11,1602,A123,A143,1
A14,1503,A121,A143,1
A14,1829,A123,A143,1
A12,368,A122,A143,1
A12,3878,A123,A143,1
A14,2058,A121,A143,1
A14,3378,A122,A143,1
A14,3229,A124,A143,1
A14,1300,A124,A141,1
A14,1264,A124,A143,1
A13,1377,A124,A143,1
A12,1521,A123,A143,1
A14,4151,A122,A143,1
A11,2483,A121,A142,1
A14,727,A124,A143,1
A14,909,A122,A143,1
A11,3676,A121,A143,1
A13,1225,A123,A143,1
A12,2503,A122,A142,1
A12,7472,A121,A143,1
A14,3342,A123,A143,1
A12,4795,A124,A143,1
A14,1262,A122,A143,1
A12,8487,A123,A143,1
A14,2022,A123,A143,1
A14,8648,A123,A141,2
A11,4605,A124,A143,2
A12,2762,A122,A141,2
A11,7865,A124,A143,2
A14,1478,A123,A143,2
A12,639,A123,A143,2
A11,674,A122,A143,2
A12,6416,A124,A143,2
A12,1837,A124,A141,2
A11,4006,A123,A143,2
A12,5096,A123,A143,2
A12,1534,A121,A143,2
A14,1980,A123,A143,2
A12,6224,A124,A143,2
A12,10961,A124,A141,2
A12,918,A122,A143,2
A11,2406,A121,A143,2
A12,836,A122,A141,2
A11,976,A123,A143,2
A11,3123,A122,A143,2
A12,11328,A123,A141,2
A12,2718,A122,A143,2
A12,1919,A124,A142,2
A11,3965,A123,A143,2
A11,1442,A123,A143,2
A12,8086,A123,A143,2
A11,741,A122,A143,2
A11,7763,A124,A141,2
A11,3446,A123,A143,2
A11,1845,A124,A143,2
A11,5998,A124,A141,2
A12,6560,A122,A143,2
A13,939,A121,A143,2
A13,1908,A121,A143,2
A11,1647,A122,A143,2
A11,1108,A121,A143,2
A14,7127,A122,A143,2
A11,684,A123,A143,2
A13,1271,A124,A143,2
A11,8978,A122,A143,2
A14,3349,A123,A143,2
A11,6199,A122,A143,2
A11,2712,A122,A141,2
A11,1217,A121,A143,2
A12,1484,A121,A143,2
A11,1345,A121,A141,2
A12,766,A121,A143,2
A12,3844,A124,A143,2
A11,7119,A124,A143,2
A14,2580,A121,A141,2
A12,3915,A123,A143,2
A11,1274,A121,A143,2
A12,18424,A122,A141,2
A12,2384,A124,A143,2
A14,12680,A124,A143,2
A12,12612,A124,A143,2
A11,1381,A122,A143,2
A12,2631,A123,A143,2
A14,4165,A123,A142,2
A12,1216,A124,A141,2
A12,685,A123,A141,2
A14,719,A123,A141,2
A11,1977,A124,A143,2
A12,12579,A124,A143,2
A11,1422,A124,A143,2
A12,4249,A123,A143,2
A11,9629,A123,A143,2
A14,1864,A121,A143,2
A14,4463,A123,A143,2
A12,6468,A124,A143,2
A11,1199,A123,A143,2
A11,2039,A121,A141,2
A11,4110,A124,A141,2
A12,6850,A122,A143,2
A14,4623,A122,A143,2
A11,4870,A124,A143,2
A12,1237,A121,A143,2
A12,4736,A123,A141,2
A11,3552,A123,A141,2
A12,3441,A123,A143,2
A11,4843,A122,A143,2
A12,14027,A124,A143,2
A12,1245,A123,A143,2
A11,3966,A121,A141,2
A11,2462,A123,A143,2
A11,1198,A124,A143,2
A11,6350,A122,A143,2
A11,1228,A121,A143,2
A11,6872,A122,A141,2
A14,1555,A124,A143,2
A12,2064,A122,A143,2
A11,1333,A121,A143,2
A11,1366,A122,A143,2
A12,1188,A122,A143,2
A14,1386,A122,A143,2
A14,1819,A124,A142,2
A11,727,A124,A143,2
A11,1190,A124,A143,2
A14,7485,A121,A141,2
A11,1372,A123,A143,2
A11,10297,A124,A142,2
A14,7980,A123,A143,2
A14,2210,A121,A141,2
A11,1193,A124,A143,2
A12,4241,A121,A143,2
A11,3190,A121,A143,2
A12,11938,A123,A143,2
A12,4746,A122,A143,2
A12,931,A122,A142,2
A14,9572,A123,A143,2
A12,14782,A124,A141,2
A11,1987,A121,A143,2
A11,691,A122,A143,2
A12,1924,A121,A143,2
A11,902,A122,A143,2
A11,3384,A121,A143,2
A11,2996,A123,A143,2
A11,11816,A123,A143,2
A14,797,A122,A141,2
A12,1331,A123,A142,2
A14,2570,A121,A143,2
A11,1275,A123,A143,2
A11,654,A123,A143,2
A14,1123,A123,A143,2
A11,6758,A123,A143,2
A13,1344,A121,A141,2
A11,2246,A122,A143,2
A11,8229,A122,A143,2
A11,950,A123,A143,2
A11,8335,A124,A143,2
A12,1209,A122,A143,2
A14,1808,A121,A143,2
A11,11998,A124,A143,2
A12,2969,A122,A143,2
A11,4281,A123,A143,2
A14,1530,A122,A141,2
A12,4113,A123,A143,2
A11,8065,A124,A143,2
A11,1082,A123,A141,2
A11,7174,A123,A143,2
A14,1309,A122,A143,2
A11,750,A121,A143,2
A11,3414,A122,A143,2
A11,3108,A122,A143,2
A12,1295,A123,A143,2
A12,4297,A124,A143,2
A11,6887,A122,A142,2
A12,15945,A124,A143,2
A13,609,A121,A143,2
A12,1437,A124,A143,2
A11,2473,A123,A143,2
A11,1371,A121,A143,2
A11,1131,A123,A143,2
A11,4817,A122,A143,2
A12,1246,A121,A142,2
A14,5003,A122,A141,2
A12,11560,A123,A143,2
A14,2292,A123,A142,2
A11,3161,A122,A143,2
A14,4611,A122,A143,2
A12,14555,A122,A143,2
A12,4280,A123,A143,2
A11,6999,A121,A143,2
A14,7855,A121,A142,2
A12,2767,A123,A141,2
A12,2520,A122,A143,2
A11,6143,A124,A142,2
A11,4153,A123,A143,2
A14,6458,A124,A141,2
A13,2864,A121,A143,2
A12,1512,A122,A142,2
A11,900,A123,A143,2
A11,448,A122,A143,2
A11,3234,A121,A143,2
A12,5234,A123,A143,2
A12,959,A123,A143,2
A14,3914,A121,A141,2
A12,9960,A123,A143,2
A11,6331,A124,A143,2
A11,2302,A123,A143,2
A12,2278,A123,A143,2
A11,5293,A122,A142,2
A11,2124,A121,A143,2
A12,12976,A124,A143,2
A12,9034,A124,A143,2
A11,2600,A124,A143,2
A12,1935,A121,A143,2
A11,1216,A123,A143,2
A11,4370,A122,A141,2
A12,1136,A124,A143,2
A11,2746,A123,A141,2
A13,4210,A123,A143,2
A11,7511,A122,A143,2
A11,1842,A123,A143,2
A11,6836,A124,A143,2
A12,4933,A121,A143,2
A13,2327,A121,A143,2
A12,1953,A124,A143,2
A11,1024,A121,A142,2
A14,10127,A124,A141,2
A11,1659,A123,A143,2
A11,9271,A123,A143,2
A12,4455,A121,A142,2
A12,888,A123,A141,2
A11,1823,A123,A142,2
A12,3031,A122,A143,2
A12,1922,A122,A143,2
A12,2039,A122,A143,2
A12,3804,A123,A143,2
A11,759,A121,A143,2
A12,2225,A124,A141,2
A12,12389,A124,A143,2
A12,14318,A124,A143,2
A13,1240,A124,A143,2
A14,2169,A123,A143,2
A11,3386,A124,A143,2
A12,433,A122,A141,2
A12,2671,A124,A143,2
A11,2625,A122,A141,2
A11,1553,A123,A141,2
A14,4591,A122,A143,2
A12,2150,A124,A141,2
A11,3345,A122,A143,2
A14,1533,A122,A143,2
A11,14896,A124,A141,2
A14,433,A121,A143,2
A11,709,A121,A142,2
A12,1355,A123,A143,2
A11,2303,A121,A143,2
A11,1282,A123,A143,2
A11,3349,A124,A143,2
A11,3499,A121,A143,2
A11,915,A123,A141,2
A13,2100,A121,A142,2
A14,4844,A123,A141,2
A11,2579,A121,A143,2
A11,4308,A122,A143,2
A12,1928,A121,A143,2
A12,8386,A122,A143,2
A12,2820,A123,A143,2
A11,3051,A123,A143,2
A12,1056,A121,A141,2
A12,8318,A124,A143,2
A12,3060,A121,A143,2
A11,1442,A124,A143,2
A12,4057,A123,A143,2
A12,5595,A123,A143,2
A12,1778,A121,A143,2
A11,1285,A124,A143,2
A12,9398,A123,A143,2
A14,6761,A123,A143,2
A12,951,A123,A141,2
A11,1358,A123,A142,2
A12,1042,A122,A143,2
A14,3621,A123,A143,2
A11,1835,A121,A143,2
A11,6229,A124,A143,2
A11,1938,A122,A143,2
A14,10974,A123,A143,2
A11,5179,A122,A143,2
A12,6288,A124,A143,2
A11,2149,A124,A143,2
A12,802,A123,A143,2
A11,697,A123,A141,2
A11,7297,A124,A143,2
A14,1943,A121,A143,2
A12,1264,A122,A143,2
A11,2439,A121,A143,2
A12,5951,A121,A143,2
A11,1546,A123,A141,2
