@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Customer {1,2}

@data
12,A34,1
24,A34,1
21,A32,1
15,A34,1
15,A32,1
12,A32,1
30,A30,1
42,A31,1
12,A32,1
10,A32,1
6,A34,1
10,A32,1
12,A34,1
12,A34,1
36,A32,1
15,A32,1
9,A34,1
6,A32,1
12,A33,1
10,A32,1
10,A32,1
6,A34,1
12,A32,1
8,A32,1
18,A30,1
24,A32,1
24,A34,1
24,A34,1
12,A32,1
9,A32,1
18,A34,1
12,A32,1
15,A32,1
18,A32,1
8,A34,1
11,A34,1
6,A32,1
24,A32,1
11,A34,1
15,A34,1
6,A34,1
10,A31,1
6,A34,1
12,A32,1
12,A32,1
15,A31,1
24,A34,1
6,A33,1
6,A32,1
30,A33,1
7,A32,1
12,A32,1
24,A32,1
20,A33,1
30,A32,1
24,A32,1
24,A34,1
6,A32,1
12,A34,1
48,A31,1
18,A34,1
24,A32,1
30,A34,1
14,A32,1
12,A34,1
9,A32,1
24,A32,1
12,A33,1
24,A34,1
9,A34,1
15,A34,1
6,A34,1
12,A34,1
12,A32,1
24,A32,1
12,A32,1
15,A32,1
18,A32,1
30,A32,1
10,A32,1
6,A34,1
24,A32,1
24,A32,1
18,A32,1
6,A32,1
24,A32,1
15,A32,1
36,A32,1
12,A34,1
11,A34,1
24,A32,1
6,A32,1
18,A32,1
10,A32,1
36,A32,1
12,A32,1
12,A34,1
18,A32,1
30,A34,1
12,A34,1
24,A32,1
4,A34,1
12,A34,1
15,A32,1
9,A32,1
36,A34,1
36,A34,1
12,A32,1
18,A34,1
24,A34,1
30,A34,1
15,A33,1
12,A32,1
11,A32,1
18,A32,1
12,A34,1
15,A34,1
6,A32,1
12,A32,1
24,A34,1
12,A32,1
42,A32,1
27,A33,1
36,A32,1
10,A34,1
18,A33,1
12,A32,1
12,A32,1
12,A32,1
18,A34,1
18,A31,1
6,A34,1
24,A32,1
18,A32,2
48,A32,2
48,A34,2
48,A32,2
48,A32,2
24,A32,2
12,A32,2
21,A30,2
48,A32,2
24,A32,2
60,A33,2
15,A31,2
18,A34,2
24,A31,2
24,A32,2
48,A34,2
30,A34,2
12,A32,2
9,A31,2
18,A32,2
18,A32,2
10,A32,2
36,A32,2
24,A32,2
12,A30,2
24,A30,2
27,A32,2
18,A34,2
36,A33,2
36,A34,2
24,A34,2
48,A34,2
48,A32,2
9,A32,2
48,A32,2
12,A32,2
18,A32,2
48,A32,2
30,A32,2
12,A32,2
30,A33,2
9,A32,2
36,A33,2
36,A32,2
24,A32,2
15,A30,2
6,A31,2
6,A34,2
6,A32,2
18,A30,2
48,A30,2
30,A32,2
18,A33,2
36,A32,2
12,A32,2
24,A32,2
12,A32,2
24,A32,2
24,A31,2
48,A30,2
15,A30,2
24,A32,2
9,A32,2
12,A31,2
36,A32,2
48,A30,2
9,A32,2
24,A32,2
12,A34,2
30,A31,2
24,A33,2
12,A32,2
36,A32,2
15,A32,2
24,A32,2
21,A33,2
24,A31,2
14,A32,2
33,A34,2
40,A34,2
18,A34,2
24,A30,2
36,A32,2
18,A32,2
48,A32,2
48,A32,2
18,A32,2
18,A32,2
24,A31,2
24,A33,2
15,A31,2
27,A32,2
36,A33,2
21,A34,2
18,A32,2
36,A32,2
36,A32,2
24,A33,2
18,A32,2
24,A32,2
72,A32,2
21,A34,2
12,A32,2
12,A32,2
9,A32,2
36,A33,2
15,A32,2
36,A32,2
27,A30,2
36,A32,2
18,A32,2
18,A31,2
18,A32,2
48,A32,2
30,A32,2
20,A34,2
18,A32,2
36,A32,2
48,A34,2
15,A32,2
24,A32,2
12,A32,2
21,A32,2
6,A31,2
42,A33,2
36,A32,2
48,A32,2
60,A31,2
24,A32,2
24,A32,2
36,A33,2
9,A30,2
24,A32,2
24,A32,2
48,A30,2
12,A34,2
24,A32,2
45,A32,2
36,A32,2
9,A32,2
12,A31,2
6,A31,2
36,A32,2
48,A31,2
42,A32,2
24,A32,2
24,A33,2
36,A34,2
12,A33,2
21,A31,2
18,A34,2
36,A34,2
27,A34,2
18,A32,2
36,A32,2
24,A32,2
36,A33,2
18,A32,2
18,A34,2
18,A31,2
42,A32,2
45,A32,2
24,A34,2
24,A34,2
10,A32,2
6,A32,2
15,A34,2
18,A32,2
28,A32,2
24,A34,2
12,A30,2
6,A32,2
12,A32,2
45,A30,2
48,A31,2
12,A32,2
12,A32,2
48,A30,2
18,A30,2
30,A32,2
24,A32,2
24,A32,2
48,A33,2
39,A34,2
15,A33,2
48,A32,2
9,A34,2
18,A32,2
30,A30,2
18,A34,2
15,A32,2
12,A31,2
9,A32,2
15,A32,2
18,A33,2
48,A32,2
12,A32,2
9,A32,2
18,A30,2
12,A34,2
12,A34,2
21,A32,2
30,A34,2
12,A32,2
24,A32,2
18,A32,2
12,A32,2
30,A32,2
24,A33,2
36,A30,2
21,A33,2
12,A32,2
36,A32,2
12,A30,2
24,A32,2
12,A32,2
24,A32,2
24,A31,2
24,A31,2
12,A32,2
18,A33,2
12,A32,2
60,A32,2
12,A32,2
36,A32,2
24,A32,2
48,A32,2
12,A32,2
12,A32,2
16,A34,2
18,A34,2
24,A32,2
24,A32,2
30,A33,2
24,A33,2
60,A32,2
6,A32,2
18,A34,2
24,A34,2
24,A32,2
18,A31,2
24,A32,2
6,A33,2
60,A32,2
60,A32,2
8,A32,2
12,A34,2
36,A33,2
12,A32,2
12,A34,2
24,A32,2
15,A32,2
36,A34,2
27,A30,2
45,A34,2
54,A30,2
12,A32,2
12,A30,2
18,A32,2
12,A32,2
36,A32,2
18,A32,2
9,A32,2
21,A32,2
9,A31,2
30,A34,2
10,A32,2
24,A31,2
36,A30,2
48,A34,2
