@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,A62,4,30,A143,1,1
A12,A61,1,45,A143,1,1
A14,A65,4,31,A143,1,1
A14,A61,4,38,A143,1,1
A14,A62,3,27,A143,1,1
A14,A62,4,52,A141,1,1
A14,A65,4,36,A143,1,1
A14,A61,2,28,A142,1,1
A13,A61,2,46,A143,1,1
A14,A63,4,40,A143,1,1
A14,A61,3,31,A141,1,1
A14,A65,4,36,A143,1,1
A12,A61,4,47,A143,1,1
A14,A61,3,38,A143,1,1
A14,A65,2,46,A143,1,1
A12,A61,3,29,A143,1,1
A13,A61,4,56,A143,1,1
A14,A64,4,61,A143,1,1
A12,A61,1,26,A141,1,1
A14,A63,3,35,A143,2,1
A14,A65,4,63,A141,1,1
A14,A61,2,28,A143,1,1
A11,A61,2,40,A143,2,1
A12,A65,3,34,A143,2,1
A12,A64,4,40,A143,1,1
A14,A63,4,62,A143,1,1
A14,A65,4,49,A143,1,1
A11,A64,4,57,A143,1,1
A14,A65,4,63,A143,1,1
A14,A64,2,27,A143,1,1
A11,A61,4,22,A143,1,1
A11,A65,4,49,A141,2,1
A12,A61,2,55,A141,1,1
A14,A65,2,33,A143,1,1
A14,A61,4,37,A143,1,1
A12,A61,4,67,A143,1,1
A11,A63,4,52,A143,1,1
A12,A61,1,41,A143,1,1
A12,A61,1,41,A141,1,1
A14,A63,4,20,A143,1,1
A14,A61,3,23,A143,1,1
A11,A61,3,36,A143,1,1
A13,A61,1,24,A143,1,1
A12,A61,1,23,A143,1,1
A11,A61,4,22,A141,1,1
A11,A65,3,44,A143,2,1
A11,A63,4,22,A142,1,1
A14,A65,4,45,A141,2,1
A14,A65,2,40,A143,1,1
A12,A63,4,23,A143,1,1
A12,A61,2,31,A143,1,1
A12,A61,3,30,A143,1,1
A14,A63,3,36,A143,1,1
A12,A61,3,28,A143,1,1
A14,A65,3,32,A141,2,1
A14,A61,2,50,A143,1,1
A11,A65,4,23,A141,1,1
A12,A65,1,27,A143,1,1
A12,A61,3,30,A143,1,1
A14,A62,4,64,A143,1,1
A14,A61,4,39,A143,1,1
A12,A64,4,54,A143,1,1
A14,A61,3,34,A143,1,1
A14,A65,4,36,A143,2,1
A14,A61,4,22,A143,1,1
A11,A65,3,25,A141,1,1
A14,A65,1,37,A143,2,1
A14,A65,1,35,A143,1,1
A13,A62,4,49,A143,1,1
A11,A61,4,28,A143,1,1
A14,A61,1,32,A141,2,1
A14,A63,2,32,A143,1,1
A14,A61,2,28,A143,1,1
A14,A65,4,25,A143,1,1
A14,A62,2,35,A143,1,1
A11,A61,4,24,A143,1,1
A12,A61,1,22,A143,1,1
A14,A61,4,43,A143,2,1
A12,A61,3,64,A143,1,1
A14,A65,4,37,A143,1,1
A14,A61,4,31,A143,1,1
A11,A61,4,64,A141,1,1
A14,A65,4,35,A143,1,1
A14,A61,2,56,A143,1,1
A14,A61,4,39,A143,1,1
A14,A61,4,33,A143,1,1
A14,A65,2,27,A143,1,1
A14,A61,2,31,A143,2,1
A12,A61,3,47,A143,2,1
A11,A65,4,39,A143,1,1
A12,A62,4,36,A143,1,1
A12,A62,2,23,A143,1,1
A13,A61,1,37,A143,2,1
A11,A61,2,27,A142,1,1
A14,A62,4,22,A143,1,1
A14,A61,2,54,A141,1,1
A12,A61,1,27,A143,1,1
A12,A61,4,49,A143,1,1
A13,A61,2,23,A143,1,1
A14,A63,2,26,A143,1,1
A11,A61,1,34,A143,1,1
A11,A61,4,66,A143,1,1
A14,A61,2,30,A143,1,1
A14,A63,2,24,A143,1,1
A11,A61,1,23,A141,1,1
A11,A64,2,28,A143,1,1
A14,A64,4,50,A143,1,1
A11,A61,2,29,A143,1,1
A14,A61,2,35,A143,1,1
A13,A61,2,31,A143,1,1
A12,A61,4,33,A141,1,1
A14,A65,4,54,A143,1,1
A12,A65,4,28,A141,1,1
A14,A65,2,30,A143,1,1
A11,A65,2,24,A143,1,1
A14,A61,3,36,A143,1,1
A13,A62,2,47,A143,1,1
A14,A65,3,40,A143,1,1
A11,A61,1,46,A143,1,1
A12,A61,1,28,A143,1,1
A14,A61,1,42,A143,2,1
A14,A61,4,42,A143,1,1
A14,A63,2,31,A143,2,1
A11,A61,4,59,A143,1,1
A14,A61,3,38,A142,1,1
A14,A61,1,42,A143,2,1
A14,A64,2,38,A143,1,1
A12,A65,4,36,A141,2,1
A14,A64,2,41,A141,1,1
A12,A64,2,34,A142,2,1
A14,A65,4,44,A143,1,1
A12,A62,4,27,A143,1,1
A12,A65,4,38,A143,1,1
A14,A65,4,23,A143,1,1
A14,A65,1,54,A143,1,1
A11,A61,3,37,A143,2,1
A14,A61,4,33,A143,1,1
A14,A61,3,47,A143,1,1
A14,A61,1,34,A142,1,1
A11,A65,3,75,A143,1,1
A11,A61,2,36,A143,2,1
A14,A61,2,28,A143,1,1
A13,A61,1,45,A142,1,1
A14,A61,1,25,A143,1,1
A11,A61,1,31,A141,1,1
A14,A64,4,28,A143,1,1
A14,A61,2,32,A143,1,1
A12,A62,2,30,A143,1,1
A12,A65,4,61,A143,1,1
A11,A61,4,39,A143,1,1
A12,A65,4,38,A143,1,1
A14,A61,2,32,A143,2,1
A14,A65,2,45,A143,1,1
A11,A63,1,35,A143,1,1
A13,A61,1,26,A143,1,1
A14,A61,2,30,A141,1,1
A14,A61,3,34,A143,2,1
A11,A62,4,24,A143,1,1
A14,A61,4,47,A141,2,1
A14,A61,2,35,A143,1,1
A14,A62,4,42,A141,2,1
A12,A61,4,37,A143,1,1
A12,A61,4,23,A143,1,1
A14,A65,4,42,A143,1,1
A14,A61,2,74,A143,1,1
A12,A61,1,33,A141,1,1
A14,A65,4,35,A143,2,1
A14,A65,1,24,A143,1,1
A11,A61,3,48,A143,2,1
A14,A62,1,35,A141,1,1
A12,A64,1,22,A143,1,1
A14,A61,1,30,A143,1,1
A14,A61,1,27,A142,1,1
A14,A61,4,25,A143,1,1
A11,A61,3,25,A143,1,1
A13,A61,2,41,A143,1,1
A12,A61,4,28,A143,2,1
A14,A63,4,40,A143,1,1
A12,A61,3,49,A141,2,1
A12,A65,2,30,A143,1,1
A12,A61,4,26,A143,2,1
A13,A64,3,42,A143,1,1
A13,A61,1,74,A143,2,1
A12,A62,2,37,A143,1,1
A14,A61,4,62,A143,1,1
A11,A61,4,36,A143,1,1
A11,A61,2,28,A143,1,1
A12,A61,4,51,A143,1,1
A11,A65,4,23,A143,1,1
A14,A65,3,41,A143,1,1
A13,A61,1,33,A143,1,1
A12,A65,4,48,A143,1,1
A11,A61,4,23,A143,1,1
A11,A61,4,41,A143,2,1
A11,A61,1,45,A141,1,1
A14,A61,1,42,A143,2,1
A14,A61,2,26,A143,1,1
A11,A61,2,30,A143,1,1
A12,A65,2,29,A141,1,1
A14,A61,4,39,A143,1,1
A14,A62,2,32,A143,2,1
A12,A65,1,41,A143,2,1
A12,A61,3,40,A143,2,1
A12,A65,2,29,A141,1,1
A14,A63,4,39,A143,1,1
A11,A61,4,44,A143,2,1
A12,A62,3,38,A141,1,1
A14,A65,2,38,A143,1,1
A12,A61,3,21,A143,1,1
A14,A61,2,29,A141,1,1
A12,A61,4,67,A143,1,1
A14,A61,2,35,A143,2,1
A14,A64,2,33,A143,1,1
A12,A61,2,31,A143,1,1
A13,A64,4,36,A143,1,1
A14,A65,4,40,A141,2,1
A13,A61,4,46,A143,2,1
A14,A61,4,57,A141,1,1
A11,A61,2,27,A143,1,1
A11,A61,2,29,A143,2,1
A12,A65,4,60,A143,1,1
A11,A61,4,55,A143,1,1
A12,A61,2,37,A143,2,1
A12,A62,3,31,A143,2,1
A14,A61,4,34,A143,1,1
A14,A61,2,21,A143,1,1
A14,A63,2,30,A141,1,1
A12,A65,4,25,A143,1,1
A11,A61,4,44,A143,2,1
A12,A61,3,24,A143,1,1
A12,A65,4,43,A143,2,1
A11,A61,2,32,A143,1,1
A11,A61,3,30,A143,1,1
A13,A63,2,36,A143,1,1
A14,A65,4,34,A143,2,1
A11,A61,3,38,A143,2,1
A14,A61,1,28,A143,1,1
A14,A61,2,32,A143,1,1
A12,A65,3,35,A143,1,1
A11,A61,4,47,A143,1,1
A13,A62,1,28,A141,1,1
A11,A61,4,65,A143,1,1
A14,A61,2,32,A143,1,1
A12,A61,4,22,A143,1,1
A14,A61,3,24,A141,1,1
A14,A65,2,25,A143,1,1
A14,A61,2,28,A143,1,1
A12,A63,3,25,A143,1,1
A14,A62,2,45,A143,1,1
A11,A61,1,32,A143,1,1
A14,A64,2,28,A143,1,1
A14,A65,4,46,A143,1,1
A14,A64,3,46,A143,1,1
A14,A65,4,41,A143,2,1
A14,A61,2,35,A143,1,1
A14,A61,1,27,A143,1,1
A11,A61,4,40,A143,2,1
A12,A62,4,31,A141,1,1
A14,A61,4,32,A143,2,1
A14,A65,2,46,A141,2,1
A14,A61,2,29,A143,1,1
A14,A61,4,46,A143,1,1
A12,A61,1,27,A141,1,1
A14,A65,4,64,A143,1,1
A14,A61,2,24,A143,1,1
A14,A62,2,26,A143,1,1
A14,A63,4,50,A143,1,1
A11,A61,4,42,A143,2,1
A11,A64,4,39,A143,1,1
A11,A61,1,35,A143,1,1
A11,A61,4,63,A141,2,1
A14,A61,4,34,A143,1,1
A11,A63,4,22,A142,1,1
A12,A61,4,25,A143,1,2
A12,A61,2,33,A143,1,2
A12,A61,2,22,A143,1,2
A12,A62,4,38,A141,2,2
A14,A64,4,55,A143,2,2
A11,A61,2,25,A143,1,2
A11,A61,4,57,A142,1,2
A11,A61,2,41,A141,2,2
A13,A61,1,33,A143,1,2
A11,A61,1,34,A143,1,2
A11,A61,2,24,A143,1,2
A11,A61,3,23,A143,1,2
A11,A61,4,35,A143,1,2
A14,A61,4,41,A141,2,2
A12,A62,4,50,A143,1,2
A14,A61,4,23,A143,1,2
A11,A61,2,26,A141,2,2
A11,A65,2,23,A143,1,2
A11,A61,4,23,A143,1,2
A11,A61,1,45,A143,1,2
A11,A61,4,63,A143,1,2
A11,A61,3,29,A142,1,2
A11,A62,3,22,A143,1,2
A12,A61,2,23,A142,1,2
A11,A61,3,28,A143,1,2
A13,A61,3,25,A143,1,2
A14,A65,1,44,A143,1,2
A11,A61,2,28,A143,1,2
A11,A61,4,53,A143,1,2
A11,A61,3,34,A143,1,2
A12,A61,4,23,A143,1,2
A13,A61,4,66,A143,1,2
A14,A64,3,54,A143,1,2
A11,A61,4,68,A141,1,2
A11,A62,3,33,A143,1,2
A11,A62,1,33,A143,1,2
A12,A63,3,66,A143,1,2
A13,A61,1,26,A143,1,2
A11,A61,4,53,A143,1,2
A11,A61,4,25,A141,1,2
A11,A61,4,46,A143,2,2
A12,A61,2,36,A143,2,2
A11,A61,4,20,A141,1,2
A11,A63,4,30,A143,2,2
A11,A61,4,35,A143,1,2
A14,A63,2,41,A141,2,2
A14,A65,1,53,A141,1,2
A12,A64,3,32,A143,2,2
A11,A61,4,23,A143,1,2
A14,A62,4,31,A143,1,2
A12,A64,3,61,A142,1,2
A11,A65,4,25,A143,1,2
A12,A61,4,42,A143,1,2
A11,A61,4,45,A143,1,2
A12,A61,2,27,A143,1,2
A12,A62,2,24,A143,1,2
A12,A65,1,52,A143,1,2
A12,A61,4,39,A143,2,2
A11,A61,1,27,A143,1,2
A11,A61,2,29,A143,1,2
A13,A61,3,38,A141,2,2
A14,A61,2,27,A141,1,2
A11,A61,4,24,A143,1,2
A11,A61,4,24,A143,1,2
A11,A61,2,46,A141,1,2
A12,A62,4,26,A143,1,2
A12,A61,3,59,A143,1,2
A14,A61,4,37,A142,1,2
A11,A65,3,40,A142,1,2
A12,A62,2,34,A143,2,2
A11,A61,4,37,A143,1,2
A12,A64,2,27,A141,1,2
A12,A65,1,25,A143,1,2
A12,A62,4,47,A143,2,2
A12,A62,2,24,A143,1,2
A11,A61,2,22,A143,1,2
A11,A61,4,24,A141,1,2
A11,A61,4,48,A142,1,2
A11,A61,4,23,A143,1,2
A12,A62,2,61,A141,1,2
A14,A62,4,24,A141,1,2
A11,A61,4,43,A143,1,2
A13,A65,2,37,A141,2,2
A12,A61,4,74,A141,2,2
A14,A63,2,44,A141,1,2
A12,A61,3,43,A143,1,2
A11,A61,4,27,A141,1,2
A11,A61,1,37,A143,1,2
A12,A62,3,30,A142,1,2
A11,A61,4,53,A143,2,2
A13,A61,2,26,A143,1,2
A14,A61,1,22,A143,1,2
A12,A61,4,58,A143,1,2
A14,A61,2,28,A143,1,2
A13,A63,2,28,A143,1,2
A11,A65,4,31,A143,1,2
A14,A61,2,26,A143,1,2
A11,A61,4,60,A143,1,2
A12,A62,3,29,A143,1,2
A14,A65,3,33,A141,2,2
A11,A61,4,24,A141,1,2
A11,A61,2,26,A143,1,2
A11,A61,4,29,A143,1,2
A11,A61,4,31,A143,1,2
A14,A65,4,27,A143,1,2
A11,A61,3,27,A141,1,2
A14,A61,2,22,A143,1,2
A12,A61,3,29,A141,1,2
A11,A61,4,33,A141,1,2
A12,A61,2,29,A143,1,2
A11,A61,2,25,A143,1,2
A13,A61,2,34,A143,1,2
A12,A61,4,61,A143,1,2
A12,A65,2,33,A143,1,2
A11,A61,2,27,A143,1,2
A11,A61,4,24,A143,1,2
A12,A62,4,28,A143,1,2
A14,A61,2,32,A141,1,2
A12,A62,1,29,A143,1,2
A12,A61,1,26,A143,1,2
A11,A61,4,21,A143,1,2
A12,A61,2,22,A143,1,2
A12,A61,1,46,A143,1,2
A12,A62,4,21,A143,1,2
A11,A61,1,34,A143,1,2
A11,A61,2,33,A141,1,2
A11,A61,4,50,A142,1,2
A11,A62,2,32,A143,1,2
A14,A61,2,26,A143,1,2
A11,A61,4,55,A143,2,2
A12,A65,2,25,A141,1,2
A11,A61,4,22,A143,1,2
A11,A61,2,39,A143,1,2
A12,A61,2,23,A143,1,2
A11,A61,4,31,A143,1,2
A11,A65,4,20,A143,1,2
A12,A62,1,32,A142,1,2
A14,A61,2,36,A142,2,2
A11,A61,2,29,A143,1,2
A11,A61,1,24,A143,1,2
A12,A61,2,25,A143,1,2
A12,A62,4,21,A143,1,2
A14,A61,1,28,A143,1,2
A12,A61,2,28,A143,1,2
A11,A61,2,45,A143,1,2
A14,A61,4,39,A141,2,2
A11,A61,3,44,A141,1,2
A12,A62,4,60,A141,1,2
A14,A61,4,23,A143,1,2
A12,A61,1,42,A143,1,2
A14,A61,4,32,A143,1,2
A11,A61,3,26,A141,1,2
A11,A61,2,43,A143,2,2
A12,A61,4,31,A143,1,2
A11,A61,3,60,A143,1,2
A11,A61,2,23,A143,1,2
A12,A61,2,26,A143,1,2
A12,A61,4,36,A143,1,2
A12,A61,2,25,A143,1,2
A14,A61,4,47,A143,2,2
A11,A65,2,24,A143,1,2
A12,A61,1,23,A143,1,2
A11,A61,1,24,A143,1,2
A11,A61,4,23,A141,2,2
A11,A63,4,23,A143,1,2
A12,A61,1,22,A142,1,2
A11,A61,4,24,A143,2,2
A12,A61,4,28,A143,1,2
A12,A61,3,30,A141,1,2
A12,A62,4,27,A141,1,2
A12,A61,2,34,A143,1,2
A12,A63,2,23,A143,1,2
A11,A61,4,26,A143,1,2
A11,A61,3,33,A143,2,2
A12,A61,2,44,A143,1,2
A11,A61,4,40,A143,2,2
A11,A65,4,47,A143,1,2
