@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A13,A40,A152,A172,1
A12,A42,A152,A173,1
A14,A41,A152,A173,1
A12,A40,A151,A172,1
A14,A40,A152,A174,1
A12,A49,A152,A173,1
A14,A49,A152,A173,1
A11,A45,A152,A173,1
A14,A41,A152,A174,1
A14,A43,A152,A173,1
A12,A49,A152,A173,1
A14,A42,A151,A173,1
A14,A49,A152,A173,1
A14,A42,A152,A174,1
A12,A40,A151,A172,1
A12,A43,A152,A172,1
A14,A42,A151,A172,1
A11,A43,A152,A173,1
A11,A42,A152,A173,1
A14,A45,A153,A173,1
A14,A43,A152,A173,1
A14,A40,A152,A173,1
A11,A40,A152,A172,1
A14,A43,A152,A173,1
A12,A42,A151,A173,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A11,A46,A151,A173,1
A14,A45,A151,A172,1
A11,A44,A152,A173,1
A11,A42,A152,A173,1
A13,A46,A151,A173,1
A14,A41,A152,A173,1
A12,A43,A152,A173,1
A13,A43,A151,A173,1
A14,A46,A153,A173,1
A14,A43,A151,A173,1
A14,A41,A153,A173,1
A14,A43,A152,A173,1
A12,A46,A153,A173,1
A12,A43,A152,A173,1
A11,A40,A152,A172,1
A11,A42,A152,A173,1
A14,A43,A152,A173,1
A12,A42,A152,A172,1
A12,A40,A151,A173,1
A14,A46,A152,A173,1
A11,A42,A152,A174,1
A11,A42,A152,A173,1
A12,A41,A152,A174,1
A14,A43,A152,A174,1
A14,A45,A152,A173,1
A12,A40,A152,A172,1
A11,A43,A151,A173,1
A12,A49,A152,A173,1
A14,A49,A153,A173,1
A14,A46,A153,A173,1
A14,A40,A151,A173,1
A14,A43,A152,A173,1
A14,A49,A152,A173,1
A12,A42,A152,A173,1
A12,A43,A152,A172,1
A14,A41,A152,A173,1
A14,A43,A152,A173,1
A12,A49,A152,A173,1
A13,A43,A152,A173,1
A14,A49,A152,A173,1
A12,A42,A152,A173,1
A14,A43,A152,A173,1
A12,A42,A151,A172,1
A14,A42,A152,A173,1
A14,A44,A152,A173,1
A14,A43,A152,A172,1
A12,A43,A152,A172,1
A14,A40,A152,A173,1
A11,A43,A152,A173,1
A14,A42,A152,A173,1
A12,A43,A152,A173,1
A14,A43,A151,A173,1
A11,A48,A152,A172,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A14,A40,A152,A173,1
A11,A43,A152,A173,1
A12,A43,A151,A174,1
A14,A41,A152,A172,1
A12,A48,A152,A172,1
A14,A40,A153,A174,1
A14,A41,A151,A173,1
A14,A40,A152,A174,1
A14,A43,A152,A173,1
A14,A49,A152,A173,1
A11,A41,A151,A171,1
A13,A41,A153,A173,1
A12,A43,A152,A173,1
A12,A43,A152,A172,1
A14,A42,A152,A173,1
A14,A41,A152,A173,1
A14,A43,A152,A173,1
A12,A43,A152,A172,1
A11,A40,A152,A172,1
A13,A42,A152,A174,1
A14,A43,A152,A172,1
A11,A42,A152,A173,1
A11,A41,A151,A173,1
A11,A43,A152,A173,1
A11,A42,A152,A173,1
A14,A49,A152,A172,1
A11,A49,A152,A172,1
A12,A43,A152,A172,1
A11,A40,A152,A173,1
A14,A48,A152,A174,1
A11,A43,A152,A172,1
A14,A43,A152,A173,1
A13,A42,A152,A174,1
A11,A49,A152,A174,1
A14,A41,A151,A173,1
A12,A40,A153,A174,1
A14,A41,A151,A174,1
A12,A41,A152,A173,1
A14,A49,A152,A173,1
A12,A45,A152,A173,1
A12,A40,A152,A173,1
A11,A40,A152,A173,1
A12,A46,A151,A173,1
A14,A43,A151,A172,1
A14,A43,A152,A173,1
A14,A40,A152,A173,1
A14,A43,A152,A172,1
A12,A41,A153,A174,1
A12,A42,A151,A173,1
A12,A42,A152,A173,1
A14,A43,A152,A173,1
A14,A42,A152,A174,1
A14,A41,A152,A174,1
A13,A40,A152,A173,1
A14,A43,A152,A173,1
A13,A49,A152,A173,1
A14,A46,A152,A173,1
A14,A43,A152,A173,1
A11,A41,A152,A173,1
A14,A42,A152,A172,1
A13,A43,A151,A173,1
A14,A43,A152,A172,1
A11,A40,A152,A173,1
A11,A40,A152,A173,1
A12,A49,A152,A173,1
A11,A42,A152,A173,1
A14,A40,A151,A173,1
A14,A43,A152,A173,1
A11,A41,A153,A174,1
A12,A42,A152,A173,1
A14,A42,A152,A173,1
A11,A43,A152,A174,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A12,A43,A152,A173,1
A14,A42,A152,A173,1
A14,A43,A152,A173,1
A13,A43,A152,A173,1
A12,A40,A152,A171,1
A12,A43,A152,A173,1
A14,A40,A152,A172,1
A12,A42,A152,A174,1
A13,A42,A151,A173,1
A11,A41,A153,A174,1
A14,A42,A153,A173,1
A14,A41,A153,A173,1
A14,A40,A152,A174,1
A14,A43,A152,A173,1
A11,A40,A151,A173,1
A12,A49,A152,A173,1
A12,A45,A152,A173,1
A14,A40,A151,A173,1
A14,A41,A152,A173,1
A13,A46,A152,A172,1
A14,A40,A152,A172,1
A14,A43,A153,A173,1
A14,A41,A152,A172,1
A14,A43,A151,A173,1
A12,A43,A151,A172,1
A12,A43,A152,A173,1
A13,A43,A152,A173,1
A14,A40,A152,A171,1
A14,A41,A152,A173,1
A14,A41,A152,A174,1
A11,A40,A152,A173,1
A14,A43,A152,A174,1
A14,A42,A152,A172,1
A12,A49,A152,A172,1
A14,A43,A152,A173,1
A12,A42,A151,A173,1
A14,A41,A152,A173,1
A12,A41,A152,A173,1
A11,A40,A152,A173,1
A14,A41,A152,A173,1
A12,A40,A152,A173,1
A13,A43,A152,A173,1
A12,A410,A153,A171,1
A13,A43,A152,A173,1
A11,A40,A152,A173,1
A11,A42,A153,A173,1
A14,A42,A152,A173,1
A11,A49,A152,A172,1
A14,A42,A151,A173,1
A14,A42,A152,A174,1
A11,A46,A153,A174,1
A14,A46,A152,A173,1
A14,A43,A152,A173,1
A11,A43,A153,A174,1
A11,A40,A152,A172,1
A12,A49,A152,A171,1
A14,A42,A152,A173,1
A13,A40,A152,A171,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A13,A40,A153,A171,1
A14,A43,A152,A173,1
A14,A48,A152,A172,1
A14,A46,A152,A172,1
A11,A43,A152,A174,1
A14,A43,A152,A173,1
A14,A43,A152,A172,1
A11,A42,A152,A173,1
A11,A43,A152,A173,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A14,A41,A151,A172,1
A13,A40,A153,A173,1
A14,A43,A152,A173,1
A14,A41,A152,A173,1
A11,A40,A152,A172,1
A11,A40,A152,A173,1
A14,A46,A152,A172,1
A11,A42,A152,A173,1
A14,A42,A151,A172,1
A14,A41,A152,A174,1
A14,A41,A151,A173,1
A14,A43,A152,A172,1
A14,A43,A152,A173,1
A11,A43,A152,A173,1
A14,A44,A151,A173,1
A13,A43,A152,A173,1
A14,A40,A151,A172,1
A12,A45,A152,A172,1
A14,A41,A152,A174,1
A11,A42,A151,A172,1
A14,A40,A152,A173,1
A14,A43,A152,A172,1
A12,A41,A152,A173,1
A14,A40,A152,A173,1
A14,A40,A152,A173,1
A11,A41,A152,A174,1
A12,A41,A152,A173,1
A12,A43,A152,A173,1
A13,A40,A152,A173,1
A12,A40,A152,A173,1
A12,A42,A152,A173,1
A12,A42,A151,A174,1
A11,A49,A152,A173,1
A13,A42,A152,A173,1
A14,A43,A152,A173,1
A12,A43,A151,A173,1
A11,A43,A151,A172,1
A11,A40,A152,A173,1
A14,A40,A152,A174,1
A12,A49,A153,A173,1
A11,A42,A151,A173,1
A12,A43,A152,A172,1
A14,A43,A151,A174,1
A11,A43,A152,A173,1
A14,A42,A151,A173,1
A14,A49,A152,A173,1
A14,A43,A151,A173,1
A14,A410,A152,A174,1
A13,A42,A152,A173,1
A12,A43,A152,A173,1
A14,A49,A152,A173,1
A14,A40,A152,A172,1
A14,A46,A152,A173,1
A11,A42,A151,A173,1
A11,A42,A152,A173,1
A12,A40,A153,A173,1
A11,A40,A151,A173,1
A12,A41,A153,A173,1
A12,A43,A152,A173,1
A14,A42,A152,A172,1
A12,A40,A153,A174,1
A14,A41,A152,A174,1
A14,A43,A152,A173,1
A12,A43,A152,A172,1
A12,A49,A152,A174,1
A14,A46,A153,A172,1
A14,A40,A152,A173,1
A12,A48,A152,A173,1
A13,A49,A151,A173,1
A14,A42,A152,A173,1
A14,A43,A152,A172,1
A12,A48,A152,A172,1
A12,A41,A151,A173,1
A14,A43,A152,A173,1
A14,A40,A152,A173,1
A13,A42,A152,A173,1
A12,A46,A152,A174,1
A12,A43,A152,A173,1
A12,A41,A152,A173,1
A14,A43,A152,A173,1
A14,A41,A152,A173,1
A14,A43,A152,A173,1
A14,A41,A152,A173,1
A12,A40,A152,A173,1
A14,A42,A152,A173,1
A14,A40,A152,A173,1
A12,A41,A151,A174,1
A14,A41,A152,A173,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A11,A42,A152,A173,1
A12,A43,A152,A172,1
A12,A43,A152,A172,1
A12,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A45,A152,A173,1
A14,A40,A153,A174,1
A14,A49,A151,A172,1
A14,A42,A152,A173,1
A12,A46,A152,A173,1
A14,A43,A152,A173,1
A11,A410,A152,A174,1
A14,A46,A152,A173,1
A12,A49,A152,A173,1
A14,A42,A152,A173,1
A12,A40,A151,A173,1
A12,A44,A152,A173,1
A14,A42,A152,A173,1
A14,A40,A152,A172,1
A12,A42,A152,A173,1
A12,A43,A153,A174,1
A12,A44,A152,A171,1
A12,A43,A152,A172,1
A12,A41,A152,A174,1
A12,A40,A152,A173,1
A12,A42,A152,A172,1
A14,A42,A151,A173,1
A12,A43,A152,A173,1
A12,A43,A152,A172,1
A14,A41,A152,A174,1
A14,A41,A152,A173,1
A14,A40,A153,A173,1
A13,A40,A152,A173,1
A14,A43,A152,A172,1
A14,A49,A152,A174,1
A14,A40,A151,A173,1
A11,A41,A153,A174,1
A14,A40,A152,A173,1
A12,A41,A151,A173,1
A12,A43,A152,A172,1
A12,A49,A151,A172,1
A14,A41,A152,A174,1
A14,A49,A152,A172,1
A14,A48,A152,A172,1
A14,A43,A152,A173,1
A11,A41,A153,A173,1
A11,A40,A153,A174,1
A12,A49,A152,A174,1
A11,A43,A152,A173,1
A11,A410,A152,A172,1
A11,A40,A152,A172,1
A14,A43,A152,A173,1
A11,A42,A152,A172,1
A14,A41,A151,A173,1
A12,A40,A152,A173,1
A11,A43,A151,A172,1
A14,A40,A152,A173,1
A14,A43,A153,A173,1
A11,A42,A152,A173,1
A12,A49,A152,A173,1
A14,A43,A152,A172,1
A12,A43,A152,A173,1
A11,A40,A152,A172,1
A14,A43,A152,A173,1
A11,A40,A152,A172,1
A14,A40,A152,A172,1
A14,A43,A152,A171,1
A13,A42,A152,A172,1
A11,A410,A153,A174,1
A14,A42,A151,A172,1
A14,A42,A152,A173,1
A11,A41,A153,A174,1
A14,A43,A153,A174,1
A14,A43,A152,A173,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A12,A42,A152,A172,1
A11,A42,A152,A172,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A40,A152,A172,1
A11,A42,A151,A173,1
A14,A43,A151,A174,1
A14,A40,A152,A174,1
A12,A42,A152,A173,1
A11,A40,A151,A172,1
A12,A49,A152,A173,1
A12,A43,A151,A171,1
A11,A42,A152,A173,1
A14,A42,A151,A172,1
A14,A43,A152,A173,1
A13,A43,A152,A173,1
A12,A43,A152,A173,1
A13,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A43,A151,A173,1
A14,A40,A152,A173,1
A12,A42,A152,A174,1
A11,A43,A152,A173,1
A14,A41,A152,A174,1
A11,A40,A151,A173,1
A11,A41,A151,A173,1
A14,A40,A153,A173,1
A11,A43,A152,A172,1
A14,A40,A152,A173,1
A14,A43,A152,A172,1
A14,A49,A152,A172,1
A14,A40,A151,A173,1
A13,A43,A152,A172,1
A14,A49,A152,A173,1
A14,A40,A152,A174,1
A12,A40,A152,A173,1
A13,A49,A152,A173,1
A13,A40,A152,A171,1
A14,A41,A152,A172,1
A14,A41,A152,A173,1
A12,A43,A152,A172,1
A12,A43,A152,A172,1
A14,A40,A153,A173,1
A11,A49,A152,A172,1
A14,A42,A152,A173,1
A14,A42,A152,A173,1
A14,A41,A152,A173,1
A14,A43,A151,A174,1
A13,A42,A152,A172,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A42,A151,A173,1
A12,A40,A153,A171,1
A11,A46,A151,A173,1
A12,A41,A151,A174,1
A14,A43,A152,A173,1
A14,A46,A152,A172,1
A14,A43,A152,A173,1
A14,A49,A152,A172,1
A14,A41,A152,A174,1
A11,A49,A152,A173,1
A14,A43,A152,A173,1
A11,A42,A152,A173,1
A12,A45,A152,A172,1
A12,A42,A152,A173,1
A14,A43,A152,A173,1
A14,A46,A152,A173,1
A14,A45,A152,A173,1
A14,A43,A152,A173,1
A13,A43,A152,A173,1
A14,A40,A152,A172,1
A11,A40,A151,A173,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A13,A43,A152,A174,1
A12,A49,A152,A173,1
A14,A41,A152,A173,1
A12,A49,A152,A173,1
A12,A40,A152,A174,1
A13,A46,A151,A174,1
A14,A40,A152,A173,1
A14,A43,A152,A173,1
A14,A42,A152,A173,1
A12,A49,A152,A173,1
A14,A41,A153,A173,1
A14,A49,A152,A173,1
A12,A43,A152,A173,1
A14,A49,A152,A174,1
A14,A40,A152,A173,1
A14,A40,A152,A173,1
A12,A43,A152,A173,1
A14,A40,A152,A172,1
A14,A43,A152,A173,1
A11,A40,A151,A172,1
A13,A43,A152,A173,1
A14,A40,A152,A171,1
A14,A43,A153,A173,1
A14,A43,A152,A173,1
A14,A42,A152,A173,1
A14,A40,A152,A172,1
A12,A46,A153,A173,1
A14,A43,A152,A173,1
A12,A40,A152,A173,1
A13,A40,A152,A174,1
A14,A43,A152,A173,1
A14,A43,A152,A173,1
A14,A49,A152,A173,1
A14,A42,A151,A173,1
A11,A45,A152,A171,1
A14,A40,A152,A173,1
A11,A42,A152,A173,1
A12,A40,A152,A172,1
A14,A49,A152,A173,1
A14,A41,A151,A174,1
A12,A40,A152,A173,1
A14,A49,A152,A174,1
A12,A49,A152,A172,1
A14,A42,A151,A173,1
A11,A40,A153,A173,1
A11,A43,A152,A172,1
A14,A49,A152,A173,1
A12,A49,A152,A174,1
A12,A40,A152,A173,1
A14,A40,A152,A173,1
A13,A40,A152,A174,1
A14,A46,A151,A172,1
A11,A42,A151,A173,1
A13,A43,A151,A172,1
A11,A43,A152,A174,2
A11,A49,A152,A173,2
A12,A40,A152,A173,2
A12,A42,A151,A173,2
A12,A45,A152,A173,2
A11,A46,A152,A171,2
A11,A42,A151,A173,2
A11,A41,A153,A172,2
A14,A49,A152,A174,2
A11,A43,A152,A173,2
A11,A40,A152,A172,2
A11,A43,A152,A172,2
A12,A49,A153,A172,2
A11,A40,A152,A172,2
A12,A43,A152,A174,2
A13,A42,A152,A172,2
A12,A43,A152,A173,2
A12,A43,A152,A173,2
A11,A40,A152,A173,2
A11,A40,A151,A173,2
A11,A40,A151,A173,2
A12,A49,A152,A174,2
A11,A40,A153,A174,2
A11,A46,A152,A173,2
A12,A40,A151,A173,2
A14,A40,A152,A173,2
A11,A45,A152,A173,2
A11,A46,A152,A174,2
A12,A410,A153,A174,2
A11,A42,A153,A173,2
A12,A410,A152,A174,2
A11,A43,A152,A173,2
A14,A49,A152,A172,2
A11,A40,A152,A173,2
A12,A40,A152,A173,2
A11,A43,A152,A173,2
A11,A40,A151,A173,2
A14,A40,A151,A173,2
A11,A42,A153,A174,2
A11,A45,A152,A172,2
A12,A46,A153,A173,2
A12,A49,A151,A173,2
A12,A40,A153,A173,2
A12,A40,A152,A174,2
A13,A43,A153,A173,2
A14,A42,A152,A173,2
A12,A40,A152,A174,2
A12,A40,A152,A173,2
A11,A40,A152,A173,2
A12,A43,A152,A173,2
A12,A43,A152,A173,2
A11,A43,A151,A173,2
A12,A43,A153,A173,2
A12,A40,A152,A172,2
A14,A40,A152,A173,2
A13,A49,A152,A174,2
A14,A46,A153,A173,2
A12,A40,A152,A174,2
A11,A40,A152,A173,2
A11,A43,A153,A173,2
A12,A43,A151,A173,2
A11,A41,A152,A173,2
A12,A43,A152,A173,2
A11,A41,A153,A173,2
A11,A40,A151,A171,2
A11,A49,A151,A173,2
A12,A41,A153,A174,2
A12,A43,A152,A173,2
A12,A42,A152,A174,2
A11,A40,A152,A174,2
A11,A42,A152,A173,2
A12,A42,A152,A174,2
A12,A43,A152,A172,2
A12,A42,A152,A172,2
A12,A42,A152,A173,2
A11,A410,A152,A174,2
A12,A42,A151,A174,2
A12,A41,A151,A173,2
A14,A45,A152,A173,2
A11,A40,A153,A172,2
A11,A44,A151,A173,2
A12,A43,A152,A173,2
A12,A43,A152,A173,2
A11,A43,A152,A173,2
A12,A49,A151,A173,2
A11,A42,A152,A173,2
A12,A40,A152,A172,2
A11,A42,A152,A171,2
A14,A43,A152,A172,2
A11,A40,A152,A172,2
A11,A40,A151,A173,2
A11,A42,A152,A173,2
A12,A40,A152,A172,2
A11,A43,A152,A173,2
A14,A49,A152,A173,2
A12,A49,A152,A173,2
A12,A40,A152,A173,2
A12,A40,A152,A173,2
A11,A46,A152,A174,2
A12,A42,A152,A173,2
A11,A42,A151,A173,2
A11,A44,A152,A172,2
A11,A42,A152,A173,2
A11,A43,A152,A173,2
A11,A40,A152,A173,2
A11,A42,A152,A173,2
A12,A42,A152,A173,2
A11,A40,A152,A172,2
A11,A40,A152,A172,2
A14,A49,A152,A173,2
A14,A46,A152,A173,2
A14,A40,A152,A172,2
A12,A42,A152,A173,2
A12,A410,A152,A174,2
A14,A40,A151,A173,2
A12,A40,A151,A173,2
A12,A40,A152,A173,2
A11,A42,A151,A173,2
A12,A43,A152,A173,2
A11,A43,A153,A173,2
A12,A40,A151,A173,2
A13,A40,A153,A172,2
A14,A42,A151,A172,2
A11,A40,A152,A172,2
A14,A40,A152,A173,2
A11,A40,A152,A172,2
A11,A42,A151,A174,2
A11,A42,A151,A174,2
A11,A42,A151,A173,2
A14,A42,A151,A172,2
A11,A46,A152,A173,2
A13,A43,A152,A172,2
A11,A43,A151,A173,2
A12,A42,A151,A173,2
A12,A42,A152,A173,2
A12,A410,A152,A174,2
A12,A49,A153,A174,2
A13,A43,A152,A174,2
A14,A49,A151,A174,2
A11,A43,A152,A172,2
A11,A41,A153,A173,2
A12,A46,A153,A173,2
A12,A43,A152,A173,2
A11,A49,A151,A173,2
A11,A42,A152,A173,2
A14,A43,A152,A173,2
A12,A43,A152,A174,2
A14,A42,A151,A173,2
A12,A49,A152,A173,2
A11,A43,A153,A173,2
A11,A40,A153,A173,2
A12,A41,A153,A174,2
A14,A49,A152,A174,2
A11,A40,A152,A174,2
A11,A46,A153,A173,2
A14,A43,A151,A173,2
A11,A40,A151,A173,2
A11,A42,A151,A172,2
A11,A41,A153,A173,2
A14,A40,A153,A173,2
A12,A41,A151,A174,2
A12,A49,A151,A172,2
A12,A46,A153,A173,2
A13,A43,A152,A173,2
A12,A40,A151,A171,2
A12,A40,A152,A174,2
A14,A42,A152,A173,2
A14,A43,A152,A173,2
A14,A43,A152,A173,2
A14,A40,A152,A173,2
A11,A42,A152,A173,2
A12,A46,A151,A173,2
A11,A46,A152,A173,2
A12,A40,A151,A172,2
A12,A49,A153,A174,2
A13,A46,A151,A173,2
A11,A43,A152,A173,2
A12,A42,A152,A174,2
A11,A41,A152,A173,2
A11,A41,A153,A173,2
A11,A44,A152,A173,2
A14,A49,A152,A173,2
A12,A49,A152,A173,2
A11,A40,A153,A173,2
A11,A49,A152,A173,2
A11,A43,A151,A173,2
A11,A40,A152,A173,2
A11,A42,A152,A173,2
A11,A41,A153,A173,2
A12,A49,A152,A172,2
A14,A43,A152,A173,2
A12,A42,A152,A173,2
A11,A43,A151,A172,2
A12,A43,A152,A173,2
A12,A40,A151,A173,2
A14,A45,A153,A173,2
A14,A43,A152,A174,2
A11,A42,A152,A173,2
A11,A43,A152,A173,2
A11,A42,A151,A172,2
A11,A43,A151,A172,2
A14,A49,A152,A173,2
A12,A46,A153,A172,2
A13,A43,A152,A173,2
A11,A43,A152,A174,2
A12,A43,A151,A173,2
A11,A40,A151,A173,2
A11,A40,A152,A173,2
A12,A43,A152,A173,2
A13,A40,A153,A173,2
A12,A43,A151,A173,2
A12,A42,A152,A173,2
A12,A40,A152,A174,2
A14,A40,A152,A172,2
A12,A43,A152,A172,2
A12,A41,A153,A174,2
A12,A42,A152,A172,2
A14,A49,A151,A173,2
A11,A43,A152,A172,2
A12,A40,A152,A172,2
A13,A40,A152,A172,2
A11,A42,A151,A173,2
A11,A40,A151,A173,2
A11,A40,A152,A173,2
A11,A42,A153,A173,2
A11,A40,A152,A173,2
A14,A41,A152,A174,2
A12,A40,A152,A173,2
A12,A40,A153,A174,2
A11,A43,A152,A173,2
A11,A48,A151,A173,2
A11,A40,A152,A173,2
A12,A42,A151,A173,2
A12,A40,A152,A174,2
A12,A49,A151,A172,2
A14,A49,A152,A173,2
A14,A46,A152,A172,2
A11,A42,A152,A172,2
A11,A46,A151,A172,2
A14,A42,A151,A173,2
A12,A42,A152,A172,2
A12,A46,A153,A173,2
A11,A41,A153,A173,2
A12,A46,A152,A174,2
A11,A40,A153,A173,2
A14,A41,A151,A172,2
A11,A42,A152,A173,2
A11,A40,A152,A172,2
A11,A40,A152,A173,2
A11,A42,A152,A173,2
A11,A43,A152,A172,2
A11,A40,A152,A173,2
A11,A49,A151,A173,2
A11,A40,A152,A173,2
A11,A40,A151,A173,2
A12,A40,A152,A173,2
A11,A43,A151,A173,2
A14,A40,A152,A173,2
A11,A44,A152,A173,2
A12,A43,A152,A172,2
A11,A49,A151,A173,2
A14,A42,A152,A174,2
A11,A46,A152,A173,2
A14,A42,A152,A172,2
A12,A42,A151,A173,2
A12,A43,A152,A173,2
A12,A40,A152,A174,2
A14,A40,A153,A174,2
A11,A40,A152,A173,2
A13,A43,A152,A172,2
