@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,2301,A151,A173,A191,1
A11,2249,A152,A174,A192,1
A12,1410,A152,A173,A192,1
A11,2325,A152,A173,A191,1
A12,3195,A152,A172,A191,1
A11,1107,A151,A174,A192,1
A11,339,A152,A172,A191,1
A11,3599,A151,A172,A191,1
A11,1603,A152,A173,A191,1
A14,1287,A152,A172,A191,1
A14,8858,A153,A173,A192,1
A11,2924,A152,A173,A192,1
A14,3378,A152,A173,A192,1
A14,717,A152,A173,A192,1
A11,343,A152,A173,A191,1
A14,2028,A152,A172,A191,1
A14,4657,A152,A173,A192,1
A14,960,A152,A173,A191,1
A14,1740,A151,A173,A191,1
A14,1592,A152,A173,A191,1
A12,4795,A152,A174,A192,1
A14,1950,A152,A173,A192,1
A11,385,A152,A172,A192,1
A12,2991,A152,A173,A191,1
A14,1469,A151,A172,A191,1
A14,1163,A152,A173,A192,1
A11,2647,A151,A173,A191,1
A14,1364,A152,A173,A192,1
A13,1126,A152,A173,A191,1
A14,7629,A152,A174,A191,1
A14,1258,A151,A172,A191,1
A14,1283,A151,A173,A191,1
A14,3160,A152,A173,A192,1
A14,2424,A152,A173,A191,1
A12,2353,A152,A173,A191,1
A14,1402,A151,A173,A192,1
A12,4221,A152,A173,A191,1
A12,3566,A152,A173,A191,1
A14,1493,A152,A173,A191,1
A14,804,A152,A173,A191,1
A14,1597,A153,A173,A191,1
A14,5954,A152,A173,A191,1
A12,3872,A152,A173,A192,1
A11,1288,A152,A173,A191,1
A11,4272,A152,A173,A191,1
A14,3343,A153,A173,A192,1
A11,3905,A151,A173,A191,1
A12,760,A152,A172,A191,1
A11,1858,A151,A173,A191,1
A12,907,A152,A173,A192,1
A14,4526,A152,A172,A192,1
A12,1444,A152,A173,A191,1
A14,6110,A153,A173,A192,1
A14,3812,A152,A173,A192,1
A12,866,A152,A172,A191,1
A11,731,A152,A172,A191,1
A14,2241,A152,A173,A191,1
A11,1409,A152,A173,A191,1
A12,2899,A152,A173,A191,1
A11,3650,A151,A173,A191,1
A12,9283,A153,A174,A192,1
A14,700,A153,A173,A191,1
A13,1323,A152,A173,A192,1
A14,1262,A152,A173,A192,1
A13,2247,A152,A173,A192,1
A14,1471,A153,A173,A192,1
A14,2445,A151,A173,A192,1
A14,2223,A152,A173,A191,1
A11,1374,A152,A174,A192,1
A12,5965,A152,A174,A192,1
A13,3617,A151,A173,A191,1
A14,1231,A152,A172,A191,1
A11,3620,A152,A173,A191,1
A14,6313,A152,A174,A192,1
A14,1505,A153,A174,A192,1
A14,2284,A152,A173,A192,1
A14,3077,A152,A173,A192,1
A11,4380,A152,A172,A192,1
A14,3594,A152,A172,A191,1
A14,1376,A152,A173,A191,1
A11,1845,A151,A173,A191,1
A14,802,A152,A172,A191,1
A14,2463,A152,A173,A192,1
A13,1047,A152,A172,A191,1
A13,3749,A152,A173,A191,1
A13,5152,A152,A173,A191,1
A14,1313,A152,A173,A191,1
A12,585,A151,A173,A191,1
A14,2032,A153,A173,A192,1
A14,1238,A152,A174,A192,1
A12,1414,A152,A173,A191,1
A12,7758,A151,A173,A191,1
A14,1244,A151,A172,A191,1
A14,1503,A152,A172,A191,1
A14,2753,A152,A173,A192,1
A14,3832,A152,A172,A191,1
A14,1449,A152,A173,A191,1
A13,3949,A152,A172,A191,1
A14,3235,A152,A174,A192,1
A11,2212,A152,A173,A192,1
A14,3181,A152,A173,A192,1
A12,3652,A152,A173,A191,1
A12,8358,A152,A173,A191,1
A14,3077,A152,A173,A192,1
A12,3590,A152,A171,A192,1
A11,1957,A152,A173,A191,1
A11,1893,A152,A173,A192,1
A11,1344,A152,A172,A191,1
A12,3124,A152,A172,A191,1
A11,1721,A152,A173,A191,1
A14,1525,A152,A173,A192,1
A11,3857,A152,A174,A192,1
A12,4712,A152,A174,A192,1
A14,2171,A152,A173,A191,1
A14,1224,A152,A173,A191,1
A12,1449,A152,A173,A191,1
A14,1221,A152,A173,A191,1
A14,1028,A152,A173,A191,1
A14,763,A152,A173,A192,1
A11,14179,A152,A174,A192,1
A12,1318,A152,A173,A192,1
A12,2366,A152,A174,A192,1
A11,1053,A152,A173,A191,1
A14,783,A152,A172,A191,1
A12,2825,A152,A173,A192,1
A14,3488,A152,A173,A191,1
A14,2108,A151,A173,A191,1
A13,1474,A152,A174,A192,1
A14,9436,A152,A172,A191,1
A12,4576,A152,A173,A191,1
A14,1927,A152,A173,A192,1
A12,6148,A152,A173,A192,1
A13,2116,A152,A173,A192,1
A11,1872,A153,A174,A192,1
A14,2872,A152,A173,A192,1
A11,10623,A153,A174,A192,1
A11,2315,A152,A172,A191,1
A12,841,A151,A172,A191,1
A14,9566,A152,A173,A191,1
A14,1800,A152,A173,A191,1
A14,6314,A152,A174,A192,1
A11,1361,A152,A172,A191,1
A14,1516,A152,A172,A191,1
A13,6289,A152,A173,A191,1
A14,4272,A152,A172,A191,1
A13,1881,A151,A172,A192,1
A12,1795,A151,A172,A192,1
A11,1478,A152,A173,A192,1
A14,1393,A152,A174,A191,1
A13,2687,A151,A173,A192,1
A14,1851,A152,A173,A192,1
A11,3398,A152,A172,A191,1
A12,2631,A152,A172,A191,1
A14,3229,A152,A174,A192,1
A13,3017,A152,A173,A191,1
A14,6304,A152,A173,A191,1
A14,2404,A152,A173,A191,1
A14,1572,A152,A172,A191,1
A14,3835,A152,A172,A192,1
A14,2748,A153,A172,A191,1
A14,909,A152,A173,A191,1
A11,1164,A153,A174,A192,1
A14,7596,A152,A173,A191,1
A12,1514,A152,A173,A191,1
A14,1898,A152,A172,A191,1
A14,7393,A152,A172,A191,1
A12,1239,A153,A173,A191,1
A14,2613,A152,A173,A191,1
A14,5190,A152,A173,A192,1
A14,1940,A152,A173,A192,1
A14,3518,A151,A173,A191,1
A11,1755,A152,A172,A192,1
A11,1498,A152,A173,A191,1
A12,2028,A152,A173,A191,1
A12,753,A152,A173,A191,1
A11,10722,A152,A172,A192,1
A14,1149,A152,A173,A191,1
A14,3568,A151,A174,A192,1
A12,1391,A152,A173,A192,1
A12,3976,A152,A173,A192,1
A14,2141,A152,A173,A191,1
A14,937,A152,A172,A191,1
A11,3394,A152,A171,A191,1
A11,4583,A152,A173,A191,1
A13,1297,A151,A173,A191,1
A14,2080,A152,A173,A191,1
A12,1715,A152,A173,A191,1
A11,3643,A152,A172,A191,1
A11,3939,A152,A172,A191,1
A14,3062,A151,A173,A192,1
A12,1308,A152,A172,A191,1
A11,2171,A152,A172,A191,1
A14,3578,A152,A173,A192,1
A12,3617,A151,A173,A192,1
A14,1311,A152,A173,A192,1
A14,3448,A152,A172,A191,1
A14,3059,A152,A172,A191,1
A14,2684,A152,A172,A191,1
A13,1905,A151,A174,A192,1
A14,1409,A152,A173,A191,1
A11,652,A151,A173,A191,1
A14,999,A152,A173,A191,1
A14,1204,A151,A173,A191,1
A12,1201,A152,A173,A191,1
A12,1048,A152,A172,A191,1
A14,8588,A152,A174,A192,1
A12,1860,A152,A174,A192,1
A14,874,A152,A173,A191,1
A14,926,A152,A171,A191,1
A12,9157,A153,A174,A191,1
A14,4675,A151,A173,A191,1
A14,2142,A152,A173,A192,1
A14,8613,A152,A173,A191,1
A12,1301,A152,A172,A191,1
A14,976,A152,A173,A191,1
A14,2993,A152,A172,A191,1
A11,1231,A151,A174,A192,1
A14,3609,A152,A173,A191,1
A14,1533,A152,A173,A192,1
A12,2760,A153,A173,A192,1
A14,2375,A152,A173,A192,1
A11,2828,A152,A173,A192,1
A12,2030,A152,A173,A192,1
A14,2134,A152,A173,A192,1
A11,708,A152,A172,A191,1
A13,1275,A152,A173,A191,1
A14,2022,A152,A173,A192,1
A14,2320,A152,A173,A191,1
A12,6260,A151,A172,A191,1
A13,709,A152,A171,A191,1
A14,15653,A152,A173,A192,1
A14,1901,A151,A174,A192,1
A14,1768,A151,A172,A191,1
A14,1655,A152,A172,A192,1
A11,2578,A153,A174,A191,1
A14,1258,A152,A173,A192,1
A11,1352,A151,A171,A192,1
A12,2779,A151,A173,A192,1
A13,1424,A152,A174,A192,1
A14,7814,A152,A174,A192,1
A14,3430,A152,A173,A192,1
A14,5150,A152,A173,A192,1
A11,6419,A153,A174,A192,1
A14,730,A151,A172,A192,1
A14,1597,A151,A172,A191,1
A14,2679,A152,A174,A192,1
A11,2606,A151,A174,A192,1
A12,3979,A152,A173,A192,1
A12,1175,A153,A171,A192,1
A14,2221,A151,A173,A191,1
A14,12749,A152,A174,A192,1
A14,1924,A152,A173,A192,1
A14,2058,A152,A173,A192,1
A14,1591,A152,A174,A191,1
A14,3029,A152,A173,A191,1
A14,2848,A152,A173,A191,1
A12,6468,A152,A174,A192,1
A12,2063,A151,A174,A192,1
A14,8947,A152,A174,A192,1
A14,2197,A152,A173,A192,1
A12,983,A151,A172,A191,1
A14,1766,A151,A173,A191,1
A11,5493,A153,A173,A191,1
A12,1804,A152,A173,A191,1
A12,2273,A152,A173,A191,1
A12,7966,A152,A173,A191,1
A14,2515,A152,A173,A192,1
A11,1620,A152,A173,A191,1
A12,7472,A151,A171,A191,1
A14,929,A152,A173,A192,1
A14,1538,A152,A173,A191,1
A11,2389,A152,A173,A191,1
A14,682,A152,A173,A192,1
A12,5800,A152,A173,A192,1
A11,2799,A151,A173,A191,1
A11,1049,A151,A173,A191,1
A11,1374,A152,A172,A192,1
A14,3186,A151,A173,A191,1
A14,2096,A152,A172,A191,1
A14,1185,A152,A173,A191,1
A12,1103,A152,A173,A191,1
A12,3711,A152,A173,A191,1
A12,2629,A152,A173,A192,1
A12,7057,A151,A174,A192,1
A14,707,A152,A173,A191,1
A14,3485,A152,A173,A192,1
A14,629,A152,A174,A192,1
A14,1473,A152,A173,A192,1
A14,2255,A152,A173,A191,1
A14,2299,A152,A173,A191,1
A12,2427,A152,A173,A191,1
A11,2121,A152,A173,A191,1
A12,7582,A153,A174,A192,1
A11,3590,A152,A172,A191,1
A14,6842,A152,A174,A192,1
A11,1200,A151,A173,A192,1
A13,683,A152,A173,A191,1
A12,6361,A152,A173,A192,1
A14,6742,A152,A173,A191,1
A11,3021,A151,A172,A191,1
A14,846,A153,A173,A191,1
A14,1360,A152,A173,A191,1
A14,1979,A152,A173,A191,1
A14,3972,A151,A173,A192,1
A13,3399,A152,A174,A191,1
A14,1963,A151,A174,A192,1
A14,3757,A153,A173,A192,1
A14,3565,A152,A172,A191,1
A14,2133,A153,A174,A192,1
A14,1388,A151,A173,A191,1
A14,1236,A151,A173,A191,1
A14,250,A152,A172,A191,1
A14,1101,A152,A173,A192,1
A11,1403,A151,A173,A191,1
A14,1984,A153,A173,A191,1
A14,2603,A151,A173,A192,1
A11,2522,A152,A173,A191,1
A14,1750,A152,A172,A191,1
A12,3001,A151,A173,A191,1
A14,1382,A152,A173,A192,1
A14,3556,A152,A173,A191,1
A14,5507,A153,A173,A191,1
A14,1559,A152,A173,A192,1
A14,1820,A152,A174,A192,1
A14,2288,A152,A173,A192,1
A11,4169,A152,A173,A191,1
A11,6568,A152,A172,A191,1
A11,3622,A151,A173,A192,1
A11,1940,A153,A174,A192,1
A12,932,A152,A172,A191,1
A12,1887,A152,A173,A191,1
A14,7409,A152,A173,A191,1
A14,1568,A151,A172,A191,1
A14,7228,A152,A172,A191,1
A11,609,A152,A173,A191,1
A14,1474,A152,A173,A192,1
A14,1542,A152,A173,A192,1
A14,3422,A152,A173,A192,1
A14,9277,A153,A173,A192,1
A12,1577,A152,A173,A191,1
A14,2146,A151,A173,A191,1
A11,428,A152,A173,A192,1
A14,2012,A152,A173,A191,1
A11,3959,A152,A174,A192,1
A14,2333,A152,A174,A191,1
A13,1258,A152,A172,A191,1
A12,1007,A152,A173,A191,1
A13,1299,A152,A171,A191,1
A14,1412,A152,A174,A192,1
A14,4530,A151,A174,A192,1
A11,2957,A152,A173,A192,1
A14,932,A152,A173,A191,1
A14,2390,A152,A173,A192,1
A14,5433,A151,A174,A192,1
A14,4811,A151,A172,A191,1
A14,2662,A152,A173,A191,1
A12,590,A152,A172,A191,1
A14,1262,A152,A173,A191,1
A12,6204,A152,A172,A192,1
A12,1295,A152,A173,A191,1
A13,1494,A152,A172,A191,1
A14,776,A152,A173,A191,1
A14,2978,A152,A173,A192,1
A14,1459,A152,A172,A191,1
A14,1278,A152,A174,A192,1
A14,3331,A152,A173,A191,1
A14,701,A152,A173,A191,1
A14,936,A152,A173,A192,1
A14,3777,A152,A173,A192,1
A14,3535,A152,A173,A192,1
A13,1377,A153,A173,A192,1
A14,3863,A153,A173,A191,1
A14,4679,A152,A172,A192,1
A11,6615,A153,A174,A192,1
A14,1098,A152,A171,A191,1
A14,7253,A152,A174,A192,1
A14,1552,A152,A173,A191,1
A11,1657,A152,A173,A191,1
A11,806,A152,A172,A191,1
A11,1168,A152,A172,A191,1
A14,1935,A152,A173,A192,1
A12,1206,A152,A173,A191,1
A12,12169,A153,A174,A192,1
A12,2118,A152,A172,A191,1
A14,7166,A151,A173,A192,1
A14,1055,A152,A173,A191,1
A14,2346,A152,A173,A192,1
A13,1347,A152,A173,A192,1
A14,2279,A153,A173,A192,1
A13,1961,A152,A174,A191,1
A14,2743,A152,A173,A191,1
A12,2329,A152,A173,A191,1
A11,3104,A152,A173,A192,1
A13,409,A151,A173,A191,1
A11,1433,A151,A173,A191,1
A14,2859,A152,A174,A192,1
A14,5711,A152,A174,A192,1
A14,1453,A152,A173,A191,1
A12,1410,A152,A172,A192,1
A12,11760,A151,A173,A192,1
A11,1936,A151,A172,A191,1
A14,3780,A152,A174,A192,1
A11,3651,A152,A173,A191,1
A11,7476,A153,A174,A192,1
A12,1154,A152,A172,A191,1
A12,6948,A151,A174,A192,1
A12,2503,A152,A173,A191,1
A11,8072,A152,A173,A191,1
A13,3049,A152,A172,A191,1
A14,1574,A152,A173,A191,1
A14,7238,A152,A173,A191,1
A14,2764,A152,A173,A192,1
A11,1289,A152,A172,A191,1
A14,3079,A152,A173,A191,1
A14,4139,A152,A172,A192,1
A14,2675,A152,A173,A191,1
A11,1602,A152,A173,A192,1
A14,2476,A152,A174,A192,1
A14,2901,A151,A173,A191,1
A14,7824,A151,A173,A192,1
A11,2483,A152,A173,A192,1
A13,2251,A152,A172,A191,1
A12,3832,A152,A173,A191,1
A13,1480,A153,A171,A191,1
A14,10477,A153,A173,A191,1
A13,3148,A152,A173,A192,1
A12,5866,A152,A173,A192,1
A12,6078,A152,A173,A191,1
A14,1236,A151,A173,A192,1
A14,2394,A152,A173,A191,1
A11,1680,A152,A173,A191,1
A14,1829,A152,A173,A192,1
A11,3676,A151,A173,A191,1
A14,4042,A152,A173,A192,1
A14,1817,A152,A173,A191,1
A11,1262,A152,A172,A192,1
A11,7721,A152,A173,A192,1
A12,1965,A151,A173,A192,1
A14,2569,A152,A173,A191,1
A12,1521,A152,A172,A191,1
A14,1554,A151,A173,A192,1
A11,3632,A151,A173,A191,1
A11,860,A152,A173,A192,1
A14,2751,A152,A173,A192,1
A14,1418,A151,A172,A191,1
A12,2528,A152,A173,A192,1
A12,1567,A152,A173,A192,1
A14,5117,A152,A173,A191,1
A14,1393,A152,A173,A192,1
A14,5742,A152,A173,A192,1
A12,2181,A152,A173,A191,1
A12,2576,A152,A173,A191,1
A14,5804,A152,A173,A191,1
A14,13756,A153,A174,A192,1
A12,1549,A152,A171,A191,1
A12,1995,A152,A173,A191,1
A11,2964,A153,A173,A192,1
A12,2323,A151,A173,A191,1
A14,4526,A152,A174,A192,1
A12,2002,A151,A173,A192,1
A12,1155,A152,A172,A191,1
A14,11054,A152,A174,A192,1
A14,362,A152,A172,A191,1
A12,1553,A151,A173,A192,1
A12,3017,A151,A174,A191,1
A14,2406,A152,A174,A191,1
A14,2073,A152,A173,A191,1
A12,2101,A152,A172,A191,1
A12,1113,A152,A172,A191,1
A14,672,A152,A171,A192,1
A13,3656,A152,A172,A191,1
A11,1364,A152,A173,A191,1
A11,2577,A152,A173,A191,1
A14,5842,A152,A173,A192,1
A11,5302,A153,A174,A192,1
A12,12612,A153,A173,A192,2
A11,1282,A151,A173,A191,2
A11,3108,A152,A172,A191,2
A14,2397,A152,A173,A192,2
A11,7763,A153,A174,A191,2
A11,7865,A153,A174,A192,2
A11,1987,A151,A172,A191,2
A12,12976,A153,A174,A192,2
A11,4370,A152,A173,A192,2
A11,3349,A153,A173,A192,2
A12,12579,A153,A174,A192,2
A12,4249,A152,A174,A191,2
A14,12680,A153,A174,A192,2
A12,2671,A153,A173,A191,2
A14,9572,A152,A173,A191,2
A12,3804,A152,A173,A192,2
A13,939,A152,A173,A192,2
A11,3966,A151,A173,A192,2
A12,2969,A151,A173,A191,2
A12,1264,A151,A173,A191,2
A11,1190,A153,A171,A191,2
A11,1842,A152,A173,A192,2
A12,4455,A152,A174,A192,2
A11,1198,A153,A173,A191,2
A14,11590,A151,A172,A191,2
A12,1295,A151,A173,A191,2
A13,745,A152,A172,A191,2
A11,3499,A152,A173,A191,2
A12,2039,A152,A173,A192,2
A14,2210,A151,A172,A191,2
A12,1512,A152,A173,A191,2
A12,4241,A152,A172,A192,2
A11,2124,A151,A173,A191,2
A12,6468,A152,A174,A192,2
A12,3844,A153,A172,A191,2
A12,5595,A152,A173,A191,2
A12,5129,A153,A174,A192,2
A11,1366,A151,A173,A191,2
A14,3621,A152,A173,A191,2
A11,2246,A152,A173,A191,2
A12,6416,A151,A173,A191,2
A12,2384,A151,A172,A191,2
A12,8386,A152,A173,A191,2
A13,2864,A152,A172,A191,2
A11,1977,A152,A174,A192,2
A11,7119,A153,A173,A191,2
A14,5003,A152,A173,A192,2
A13,2327,A152,A172,A191,2
A11,697,A152,A173,A192,2
A11,1131,A152,A173,A191,2
A11,2439,A152,A173,A192,2
A14,8648,A152,A173,A192,2
A11,9271,A152,A173,A192,2
A11,4817,A152,A173,A192,2
A11,1275,A151,A173,A191,2
A11,2625,A151,A173,A192,2
A11,3386,A153,A173,A192,2
A14,10974,A152,A174,A192,2
A11,6143,A153,A172,A191,2
A13,1908,A152,A174,A192,2
A12,18424,A152,A174,A192,2
A11,6758,A152,A173,A192,2
A14,2775,A152,A173,A191,2
A12,3915,A152,A173,A192,2
A14,2292,A152,A174,A192,2
A11,1647,A152,A172,A191,2
A12,1501,A152,A174,A192,2
A14,1943,A152,A173,A191,2
A12,2278,A152,A173,A191,2
A12,1188,A152,A173,A191,2
A11,2039,A151,A173,A191,2
A11,448,A152,A173,A191,2
A12,4297,A152,A174,A192,2
A12,15672,A152,A173,A192,2
A11,3931,A153,A173,A191,2
A14,1533,A152,A172,A191,2
A14,6458,A152,A174,A192,2
A14,4591,A152,A174,A192,2
A11,1285,A151,A173,A191,2
A11,1207,A151,A173,A191,2
A14,4844,A151,A174,A192,2
A14,4623,A152,A174,A192,2
A11,5293,A152,A173,A192,2
A11,8229,A152,A173,A191,2
A11,1835,A152,A173,A192,2
A12,1437,A152,A173,A191,2
A12,10961,A152,A173,A192,2
A12,6288,A153,A173,A191,2
A11,6199,A151,A173,A192,2
A12,1935,A152,A173,A192,2
A11,3959,A152,A173,A192,2
A12,4746,A152,A172,A191,2
A12,951,A151,A173,A191,2
A11,1938,A152,A173,A191,2
A14,2169,A152,A173,A192,2
A12,14318,A153,A174,A192,2
A11,1882,A151,A173,A191,2
A12,4736,A152,A172,A191,2
A11,1216,A151,A173,A192,2
A14,1808,A152,A173,A191,2
A11,6872,A152,A173,A192,2
A11,4153,A152,A173,A191,2
A12,3031,A151,A173,A191,2
A12,1209,A152,A174,A192,2
A11,1333,A153,A173,A191,2
A12,5234,A152,A174,A191,2
A12,931,A152,A172,A191,2
A11,727,A152,A172,A192,2
A11,3384,A151,A174,A192,2
A11,7174,A152,A174,A192,2
A11,1082,A152,A173,A191,2
A11,4308,A151,A173,A191,2
A11,3446,A152,A173,A191,2
A14,2570,A151,A173,A191,2
A14,10127,A153,A173,A191,2
A12,1919,A152,A174,A191,2
A13,1240,A153,A172,A191,2
A11,1659,A151,A172,A192,2
A13,4210,A152,A173,A191,2
A12,2150,A152,A173,A191,2
A14,1864,A152,A173,A191,2
A11,1024,A152,A173,A191,2
A11,2235,A151,A173,A191,2
A11,915,A152,A173,A191,2
A11,7685,A151,A173,A191,2
A11,1422,A153,A174,A192,2
A12,4113,A151,A173,A191,2
A14,3349,A152,A174,A192,2
A11,976,A152,A172,A191,2
A11,1199,A152,A172,A191,2
A11,759,A152,A173,A191,2
A12,2820,A152,A173,A191,2
A12,1837,A153,A172,A191,2
A12,9398,A151,A174,A192,2
A12,8318,A153,A174,A192,2
A13,1271,A153,A173,A192,2
A14,2580,A152,A172,A191,2
A12,1922,A152,A172,A191,2
A12,766,A152,A172,A191,2
A11,2996,A152,A173,A191,2
A11,11816,A151,A173,A191,2
A11,709,A152,A172,A191,2
A11,1282,A152,A172,A191,2
A11,900,A152,A173,A191,2
A13,609,A152,A171,A191,2
A14,4611,A152,A173,A191,2
A11,4110,A151,A173,A191,2
A11,3345,A151,A174,A192,2
A12,685,A152,A172,A191,2
A11,1845,A153,A173,A192,2
A12,1246,A152,A172,A191,2
A11,795,A152,A173,A191,2
A12,4280,A151,A172,A191,2
A12,2718,A151,A172,A192,2
A11,2712,A152,A173,A191,2
A13,947,A153,A173,A191,2
A14,3914,A152,A173,A191,2
A11,7511,A153,A173,A192,2
A12,2520,A152,A172,A191,2
A12,884,A152,A173,A192,2
A11,902,A151,A173,A191,2
A11,5998,A152,A173,A192,2
A12,4933,A152,A173,A191,2
A12,9960,A152,A173,A192,2
A12,14782,A153,A174,A192,2
A11,4006,A152,A172,A191,2
A12,15945,A151,A173,A192,2
A12,1953,A153,A174,A192,2
A11,2462,A152,A173,A191,2
A11,6887,A152,A173,A192,2
A11,674,A152,A173,A191,2
A11,5179,A152,A173,A191,2
A12,1778,A151,A171,A191,2
A12,888,A152,A172,A191,2
A11,1372,A152,A173,A191,2
A14,1309,A152,A172,A191,2
A13,1337,A152,A174,A192,2
A11,3414,A152,A173,A191,2
A14,6761,A151,A173,A191,2
A12,12389,A153,A173,A192,2
A12,433,A151,A173,A191,2
A11,6350,A152,A173,A191,2
A13,2100,A152,A173,A191,2
A11,2145,A152,A173,A192,2
A11,1371,A151,A173,A191,2
