@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,12,1037,A62,A101,39,A152,A172,1
A14,60,10144,A62,A101,21,A152,A173,1
A14,36,6304,A65,A101,36,A152,A173,1
A14,9,936,A63,A101,52,A152,A173,1
A14,24,3488,A62,A101,23,A152,A173,1
A14,24,3181,A61,A101,26,A152,A173,1
A14,10,2901,A65,A101,31,A151,A173,1
A14,12,1493,A61,A101,34,A152,A173,1
A12,6,368,A65,A101,38,A152,A173,1
A14,24,4151,A62,A101,35,A152,A173,1
A14,21,1572,A64,A101,36,A152,A172,1
A14,15,1213,A63,A101,47,A152,A173,1
A14,12,1542,A61,A101,36,A152,A173,1
A12,18,6260,A61,A101,28,A151,A172,1
A12,48,5381,A65,A101,40,A153,A171,1
A11,14,3973,A61,A101,22,A153,A173,1
A11,18,3509,A61,A103,25,A152,A173,1
A14,36,7678,A63,A101,40,A152,A173,1
A14,18,2051,A61,A101,33,A152,A173,1
A14,24,1393,A61,A103,31,A152,A173,1
A11,24,1231,A64,A101,57,A151,A174,1
A11,6,343,A61,A101,27,A152,A173,1
A12,10,1048,A61,A101,23,A152,A172,1
A14,15,2708,A61,A101,27,A152,A172,1
A14,12,886,A65,A101,21,A152,A173,1
A11,13,1797,A61,A101,28,A152,A172,1
A11,36,3249,A61,A101,39,A153,A174,1
A12,12,1092,A61,A103,49,A152,A173,1
A11,6,662,A61,A101,41,A152,A172,1
A14,30,4530,A61,A101,26,A151,A174,1
A11,9,1364,A61,A101,59,A152,A173,1
A12,15,2728,A65,A103,35,A152,A173,1
A11,24,3632,A61,A103,22,A151,A173,1
A12,30,2503,A62,A101,41,A152,A173,1
A11,9,2136,A61,A101,25,A152,A173,1
A14,24,5804,A64,A101,27,A152,A173,1
A12,9,458,A61,A101,24,A152,A173,1
A14,10,894,A65,A101,40,A152,A173,1
A11,24,2964,A65,A101,49,A153,A173,1
A12,18,1239,A65,A101,61,A153,A173,1
A14,36,5742,A62,A101,31,A152,A173,1
A14,24,2578,A64,A101,34,A152,A173,1
A14,18,1098,A61,A101,65,A152,A171,1
A11,6,2647,A63,A101,44,A151,A173,1
A13,24,3148,A65,A101,31,A152,A173,1
A12,18,4439,A61,A102,33,A152,A174,1
A12,9,1082,A61,A101,27,A152,A172,1
A12,8,907,A61,A101,26,A152,A173,1
A14,24,1901,A62,A101,29,A151,A174,1
A14,36,2394,A65,A101,25,A152,A173,1
A12,45,4576,A62,A101,27,A152,A173,1
A14,18,1817,A61,A101,28,A152,A173,1
A14,6,6761,A61,A101,45,A152,A174,1
A12,12,1804,A62,A101,44,A152,A173,1
A11,27,2442,A61,A101,43,A152,A174,1
A14,15,1979,A65,A101,35,A152,A173,1
A14,12,682,A62,A101,51,A152,A173,1
A14,18,1950,A61,A101,34,A152,A173,1
A11,6,609,A61,A101,37,A152,A173,1
A14,24,5511,A62,A101,25,A152,A173,1
A14,15,5045,A65,A101,59,A152,A173,1
A14,6,1743,A62,A101,34,A152,A172,1
A11,12,3590,A61,A102,29,A152,A172,1
A12,9,790,A63,A101,66,A152,A172,1
A11,21,3357,A64,A101,29,A152,A173,1
A11,24,1603,A61,A101,55,A152,A173,1
A14,12,2331,A65,A102,49,A152,A173,1
A13,6,2116,A61,A101,41,A152,A173,1
A14,24,2978,A65,A101,32,A152,A173,1
A14,24,2022,A61,A101,37,A152,A173,1
A14,10,1546,A61,A101,31,A152,A172,1
A12,8,760,A61,A103,44,A152,A172,1
A14,9,1313,A61,A101,20,A152,A173,1
A11,24,6579,A61,A101,29,A153,A174,1
A14,48,6110,A61,A101,31,A153,A173,1
A14,24,1533,A61,A101,38,A152,A173,1
A14,11,1393,A61,A101,35,A152,A174,1
A11,6,1872,A61,A101,36,A153,A174,1
A11,6,4716,A65,A101,44,A152,A172,1
A14,12,1393,A61,A101,47,A152,A173,1
A12,6,2063,A61,A101,30,A151,A174,1
A11,15,975,A61,A101,25,A152,A173,1
A14,60,15653,A61,A101,21,A152,A173,1
A14,6,1221,A65,A101,27,A152,A173,1
A14,36,4454,A61,A101,34,A152,A173,1
A14,24,1287,A64,A101,37,A152,A173,1
A13,30,3017,A61,A101,47,A152,A173,1
A14,18,1568,A62,A101,24,A151,A172,1
A12,12,1995,A62,A101,27,A152,A173,1
A13,6,709,A64,A101,27,A152,A171,1
A14,36,6614,A61,A101,34,A152,A174,1
A12,9,1391,A61,A101,27,A152,A173,1
A12,26,7966,A61,A101,30,A152,A173,1
A14,15,1262,A63,A101,36,A152,A173,1
A14,15,1471,A61,A101,35,A153,A173,1
A11,6,1957,A61,A101,31,A152,A173,1
A11,15,806,A61,A101,22,A152,A172,1
A14,24,2058,A61,A101,33,A152,A173,1
A14,24,4679,A61,A101,35,A152,A172,1
A14,36,3079,A65,A101,36,A152,A173,1
A11,18,2249,A62,A101,30,A152,A174,1
A14,18,1505,A61,A101,32,A153,A174,1
A11,18,1880,A61,A101,32,A152,A174,1
A13,36,3913,A61,A101,23,A152,A173,1
A12,18,3001,A61,A101,40,A151,A173,1
A11,47,10722,A61,A101,35,A152,A172,1
A14,30,4811,A65,A101,24,A151,A172,1
A11,24,1755,A61,A103,58,A152,A172,1
A14,12,930,A65,A101,65,A152,A173,1
A14,12,1655,A61,A101,63,A152,A172,1
A12,12,2366,A63,A101,36,A152,A174,1
A14,15,5324,A63,A101,35,A153,A173,1
A12,30,2181,A65,A101,36,A152,A173,1
A14,12,2073,A62,A102,28,A152,A173,1
A11,12,3651,A64,A101,31,A152,A173,1
A14,36,10875,A61,A101,45,A152,A173,1
A14,18,3422,A61,A101,47,A152,A173,1
A11,24,2812,A65,A101,26,A151,A173,1
A12,42,5954,A61,A101,41,A152,A172,1
A14,18,4594,A61,A101,32,A152,A173,1
A14,18,3229,A65,A101,38,A152,A174,1
A12,9,3195,A65,A101,33,A152,A172,1
A12,30,4221,A61,A101,28,A152,A173,1
A13,15,2687,A61,A101,26,A151,A173,1
A14,18,1473,A61,A101,39,A152,A173,1
A14,12,1101,A61,A101,27,A152,A173,1
A14,12,1963,A61,A101,31,A151,A174,1
A14,27,8613,A64,A101,27,A152,A173,1
A14,12,1412,A61,A103,29,A152,A174,1
A14,30,5954,A61,A102,38,A152,A173,1
A14,24,4042,A65,A101,43,A152,A173,1
A11,6,3676,A61,A101,37,A151,A173,1
A14,12,1291,A61,A101,35,A152,A173,1
A12,18,1301,A61,A103,32,A152,A172,1
A11,36,2348,A61,A101,46,A152,A173,1
A12,8,1414,A61,A103,33,A152,A173,1
A12,20,6148,A62,A101,31,A152,A173,1
A14,15,874,A65,A101,24,A152,A173,1
A14,36,4686,A61,A101,32,A153,A174,1
A14,6,1238,A65,A101,36,A152,A174,1
A14,6,783,A65,A103,26,A152,A172,1
A13,15,2360,A63,A101,36,A152,A173,1
A13,24,1377,A62,A101,47,A153,A173,1
A14,60,6527,A65,A101,34,A153,A173,1
A11,36,3620,A61,A103,37,A152,A173,1
A14,18,3850,A61,A101,27,A152,A173,1
A14,9,2406,A61,A101,31,A152,A174,1
A14,24,1597,A61,A101,54,A153,A173,1
A14,14,802,A61,A101,27,A152,A172,1
A11,12,339,A61,A101,45,A152,A172,1
A11,15,1721,A61,A101,36,A152,A173,1
A12,12,2930,A61,A101,27,A152,A173,1
A14,15,3343,A61,A101,28,A153,A173,1
A14,24,2346,A61,A101,35,A152,A173,1
A14,6,3518,A61,A103,26,A151,A173,1
A11,21,571,A61,A101,65,A152,A173,1
A14,10,1924,A61,A101,38,A152,A173,1
A13,42,4796,A61,A101,56,A153,A173,1
A11,24,2483,A63,A101,22,A152,A173,1
A11,18,1936,A65,A101,23,A151,A172,1
A11,18,8471,A65,A101,23,A151,A173,1
A12,48,6681,A65,A101,38,A153,A173,1
A14,10,1597,A63,A101,40,A151,A172,1
A14,15,3029,A61,A101,33,A152,A173,1
A14,12,2012,A65,A101,61,A152,A173,1
A11,9,2799,A61,A101,36,A151,A173,1
A14,7,846,A65,A101,36,A153,A173,1
A14,12,1574,A61,A101,50,A152,A173,1
A14,9,3577,A62,A103,26,A151,A173,1
A14,12,1884,A61,A101,39,A152,A174,1
A13,12,2251,A61,A101,46,A152,A172,1
A14,21,2288,A61,A101,23,A152,A173,1
A14,30,1867,A65,A101,58,A152,A173,1
A14,15,3368,A64,A101,23,A151,A173,1
A12,24,2896,A62,A101,29,A152,A173,1
A14,42,4042,A63,A101,36,A152,A173,1
A14,4,1455,A61,A101,42,A152,A172,1
A12,6,1449,A62,A101,31,A152,A173,1
A12,18,6361,A61,A101,41,A152,A173,1
A14,15,2221,A63,A101,20,A151,A173,1
A14,6,660,A63,A101,23,A151,A172,1
A14,21,2241,A61,A101,50,A152,A173,1
A14,21,5248,A65,A101,26,A152,A173,1
A11,21,3763,A65,A102,24,A152,A172,1
A13,6,1047,A61,A101,50,A152,A172,1
A14,12,1264,A65,A101,57,A151,A172,1
A14,6,2978,A63,A101,32,A152,A173,1
A14,24,5507,A61,A101,44,A153,A173,1
A12,18,1913,A64,A101,36,A152,A173,1
A11,6,1374,A65,A101,75,A152,A174,1
A12,21,3976,A65,A101,35,A152,A173,1
A11,6,860,A61,A101,39,A152,A173,1
A11,36,5371,A61,A103,28,A152,A173,1
A12,12,1007,A64,A101,22,A152,A173,1
A14,24,7393,A61,A101,43,A152,A172,1
A14,36,8947,A65,A101,31,A152,A174,1
A11,24,6419,A61,A101,44,A153,A174,1
A12,18,2779,A61,A101,21,A151,A173,1
A14,10,2146,A61,A101,23,A151,A173,1
A12,24,1553,A62,A101,23,A151,A173,1
A12,18,3590,A61,A101,40,A152,A171,1
A14,18,3780,A61,A101,35,A152,A174,1
A14,12,4675,A65,A101,20,A151,A173,1
A14,36,909,A63,A101,36,A152,A173,1
A14,12,1413,A64,A101,55,A152,A173,1
A11,24,4020,A61,A101,27,A152,A173,1
A14,4,1503,A61,A101,42,A152,A172,1
A12,9,1154,A61,A101,37,A152,A172,1
A11,15,1433,A61,A101,25,A151,A173,1
A12,9,276,A61,A101,22,A151,A172,1
A14,21,2782,A63,A101,31,A152,A174,1
A14,48,3609,A61,A101,27,A152,A173,1
A12,12,1860,A61,A101,34,A152,A174,1
A14,12,3447,A63,A101,35,A152,A172,1
A14,6,1595,A61,A101,51,A152,A173,1
A11,6,1361,A61,A101,40,A152,A172,1
A11,6,1352,A63,A101,23,A151,A171,1
A11,9,1138,A61,A101,25,A152,A172,1
A14,12,1736,A61,A101,31,A152,A172,1
A14,4,601,A61,A101,23,A151,A172,1
A12,12,2002,A61,A101,30,A151,A173,1
A14,12,3059,A64,A101,61,A152,A172,1
A14,12,776,A61,A101,28,A152,A173,1
A11,18,2389,A61,A101,27,A152,A173,1
A14,4,1544,A61,A101,42,A152,A172,1
A11,6,1374,A61,A101,36,A152,A172,1
A14,9,3832,A65,A101,64,A152,A172,1
A14,6,250,A64,A101,41,A152,A172,1
A12,48,7582,A62,A101,31,A153,A174,1
A11,10,1038,A61,A102,49,A152,A173,1
A13,10,1225,A61,A101,37,A152,A173,1
A12,9,1206,A61,A101,25,A152,A173,1
A12,27,2528,A61,A101,32,A152,A173,1
A14,36,5711,A64,A101,38,A152,A174,1
A14,36,7409,A65,A101,37,A152,A173,1
A11,6,1203,A62,A101,43,A152,A173,1
A11,18,5302,A61,A101,36,A153,A174,1
A14,60,10366,A61,A101,42,A152,A174,1
A13,24,1275,A64,A101,36,A152,A173,1
A11,12,1620,A61,A102,30,A152,A173,1
A14,12,804,A61,A101,38,A152,A173,1
A11,30,3622,A64,A101,57,A151,A173,1
A14,24,1258,A61,A101,25,A152,A173,1
A12,20,6468,A65,A101,60,A152,A174,1
A14,6,1346,A62,A101,42,A153,A173,1
A13,18,1961,A61,A101,23,A152,A174,1
A11,21,2606,A61,A101,28,A151,A174,1
A12,12,6078,A61,A101,32,A152,A173,1
A12,15,1444,A65,A101,23,A152,A173,1
A14,6,1237,A62,A101,27,A152,A173,1
A12,48,3979,A65,A101,41,A152,A173,1
A14,11,1154,A62,A101,57,A152,A172,1
A11,6,1169,A65,A101,67,A152,A173,1
A14,28,7824,A65,A103,40,A151,A173,1
A13,24,3617,A65,A102,20,A151,A173,1
A14,18,1055,A61,A101,30,A152,A173,1
A12,36,3711,A65,A101,27,A152,A173,1
A11,8,731,A61,A101,47,A152,A172,1
A13,10,781,A61,A101,63,A153,A173,1
A12,18,3244,A61,A101,33,A152,A173,1
A14,21,1591,A62,A101,34,A152,A174,1
A12,6,484,A61,A103,28,A152,A172,1
A11,30,4583,A61,A103,32,A152,A173,1
A12,7,2576,A61,A103,35,A152,A173,1
A12,12,1410,A61,A101,31,A152,A172,1
A12,9,1549,A65,A101,35,A152,A171,1
A14,12,1258,A61,A101,22,A151,A172,1
A11,18,3650,A61,A101,22,A151,A173,1
A12,12,585,A61,A102,20,A151,A173,1
A14,30,6742,A65,A101,36,A152,A173,1
A12,24,3069,A62,A101,30,A153,A173,1
A14,24,2679,A61,A101,29,A152,A174,1
A11,10,2315,A61,A101,52,A152,A172,1
A11,12,1344,A61,A101,43,A152,A172,1
A12,18,2899,A65,A101,43,A152,A173,1
A14,10,1418,A62,A101,35,A151,A172,1
A14,6,1538,A61,A101,56,A152,A173,1
A12,18,3872,A61,A101,67,A152,A173,1
A14,21,3275,A61,A101,36,A152,A174,1
A12,18,6204,A61,A101,44,A152,A172,1
A14,12,1163,A63,A101,44,A152,A173,1
A12,18,3213,A63,A101,25,A151,A173,1
A14,15,1300,A65,A101,45,A153,A173,1
A11,24,6568,A61,A101,21,A152,A172,1
A13,6,683,A61,A101,29,A152,A173,1
A12,12,2028,A65,A101,30,A152,A173,1
A14,15,4657,A61,A101,30,A152,A173,1
A14,15,2186,A65,A101,33,A151,A172,1
A12,20,2629,A61,A101,29,A152,A173,1
A11,12,708,A61,A103,38,A152,A172,1
A14,12,1262,A61,A101,25,A152,A173,1
A14,9,1236,A61,A101,23,A151,A173,1
A12,24,1743,A61,A101,48,A152,A172,1
A14,13,1409,A62,A101,64,A152,A173,1
A14,36,8133,A61,A101,30,A152,A173,1
A14,24,2835,A63,A101,53,A152,A173,1
A14,6,1382,A61,A101,28,A152,A173,1
A14,18,1582,A64,A101,46,A152,A173,1
A14,18,6070,A61,A101,33,A152,A173,1
A14,48,3578,A65,A101,47,A152,A173,1
A14,15,1386,A65,A101,40,A151,A173,1
A14,15,3594,A61,A101,46,A152,A172,1
A12,10,7308,A61,A101,70,A153,A174,1
A14,12,1503,A61,A101,41,A151,A173,1
A11,24,3021,A61,A101,24,A151,A172,1
A14,39,8588,A62,A101,45,A152,A174,1
A14,6,2080,A63,A101,24,A152,A173,1
A13,12,3016,A61,A101,24,A152,A173,1
A14,15,1829,A61,A101,46,A152,A173,1
A13,4,1494,A65,A101,29,A152,A172,1
A14,27,5117,A61,A101,26,A152,A173,1
A14,11,2142,A64,A101,28,A152,A173,1
A12,12,1158,A63,A101,26,A152,A173,1
A12,6,753,A61,A103,64,A152,A173,1
A12,36,5800,A61,A101,34,A152,A173,1
A14,48,8858,A65,A101,35,A153,A173,1
A14,12,1592,A64,A101,35,A152,A173,1
A12,21,2353,A61,A101,47,A152,A173,1
A14,12,2390,A65,A101,50,A152,A173,1
A12,30,3832,A61,A101,22,A152,A173,1
A14,12,5801,A65,A101,49,A151,A173,1
A14,12,976,A65,A101,35,A152,A173,1
A14,30,2831,A61,A101,33,A152,A173,1
A14,24,999,A65,A101,25,A152,A173,1
A14,24,2611,A61,A102,46,A152,A173,1
A13,24,1925,A61,A101,26,A152,A173,1
A11,24,2828,A63,A101,22,A152,A173,1
A11,12,1680,A63,A101,35,A152,A173,1
A11,24,2957,A61,A101,63,A152,A173,1
A14,36,9566,A61,A101,31,A152,A173,1
A14,24,2872,A62,A101,36,A152,A173,1
A11,10,2132,A65,A102,27,A151,A173,1
A14,24,1469,A62,A101,41,A151,A172,1
A11,15,3643,A61,A101,27,A152,A172,1
A11,27,3416,A61,A101,27,A152,A174,1
A14,24,1376,A63,A101,28,A152,A173,1
A12,18,7374,A61,A101,40,A152,A174,1
A14,24,3863,A61,A101,32,A153,A173,1
A12,11,4771,A61,A101,51,A152,A173,1
A12,13,2101,A61,A103,23,A152,A172,1
A12,24,7758,A64,A101,29,A151,A173,1
A12,9,1199,A61,A101,67,A152,A174,1
A14,24,1474,A62,A101,33,A152,A173,1
A12,24,1965,A65,A101,42,A151,A173,1
A14,18,3378,A65,A101,31,A152,A173,1
A12,36,9857,A62,A101,31,A152,A172,1
A11,12,652,A61,A101,24,A151,A173,1
A14,24,1940,A64,A101,60,A152,A173,1
A14,6,700,A65,A101,36,A153,A173,1
A14,9,1449,A61,A101,27,A152,A173,1
A14,12,763,A61,A101,26,A152,A173,1
A11,24,1382,A62,A101,26,A152,A173,1
A14,15,3556,A65,A101,29,A152,A173,1
A12,6,590,A61,A101,26,A152,A172,1
A12,18,5866,A62,A101,30,A152,A173,1
A13,12,1424,A65,A101,55,A152,A174,1
A12,18,2622,A62,A101,34,A152,A173,1
A14,9,1388,A61,A101,26,A151,A173,1
A11,12,1893,A61,A103,29,A152,A173,1
A14,5,3448,A61,A101,74,A152,A172,1
A14,12,618,A61,A101,56,A152,A173,1
A11,11,3905,A61,A101,36,A151,A173,1
A13,6,1343,A61,A101,46,A152,A173,1
A13,12,1881,A61,A101,44,A151,A172,1
A12,12,1155,A61,A103,40,A152,A172,1
A14,36,11054,A65,A101,30,A152,A174,1
A12,27,5965,A61,A101,30,A152,A174,1
A14,6,362,A62,A101,52,A152,A172,1
A14,12,522,A63,A101,42,A152,A173,1
A11,24,6615,A61,A101,75,A153,A174,1
A14,24,2255,A65,A101,54,A152,A173,1
A12,6,1068,A61,A101,28,A152,A173,1
A14,6,1740,A61,A101,30,A151,A173,1
A12,9,2030,A65,A101,24,A152,A173,1
A11,12,1200,A65,A101,23,A151,A173,1
A14,36,9055,A65,A101,35,A153,A172,1
A12,24,5084,A65,A101,42,A152,A173,1
A14,24,1851,A61,A103,33,A152,A173,1
A14,15,960,A64,A101,30,A152,A173,1
A14,6,1898,A65,A101,34,A152,A172,1
A14,15,1478,A61,A101,33,A152,A173,1
A14,12,2096,A61,A101,49,A152,A172,1
A14,18,1169,A65,A101,29,A152,A173,1
A12,30,3496,A64,A101,34,A152,A173,1
A11,30,2522,A61,A103,39,A152,A173,1
A13,24,2892,A61,A101,51,A153,A173,1
A12,60,9157,A65,A101,27,A153,A174,1
A11,6,666,A64,A101,39,A152,A172,1
A14,10,1231,A61,A101,32,A152,A172,1
A12,24,6967,A62,A101,36,A151,A174,1
A14,24,3235,A63,A101,26,A152,A174,1
A14,12,3527,A65,A101,45,A152,A174,1
A14,33,2764,A61,A101,26,A152,A173,1
A14,22,1283,A65,A101,25,A151,A173,1
A12,12,3017,A61,A101,34,A151,A174,1
A11,6,338,A63,A101,52,A152,A173,1
A12,10,1521,A61,A101,31,A152,A172,1
A14,12,2759,A61,A101,34,A152,A173,1
A11,12,1858,A61,A101,22,A151,A173,1
A14,10,727,A63,A101,46,A153,A173,1
A14,12,1935,A61,A101,43,A152,A173,1
A14,6,426,A61,A101,39,A152,A172,1
A11,18,3104,A61,A101,31,A152,A173,1
A14,60,13756,A65,A101,63,A153,A174,1
A14,12,701,A61,A101,32,A152,A173,1
A12,15,2631,A62,A101,25,A152,A172,1
A12,36,4795,A61,A101,30,A152,A174,1
A11,8,3398,A61,A101,39,A152,A172,1
A14,24,2032,A61,A101,60,A153,A173,1
A12,13,882,A61,A103,23,A152,A173,1
A14,9,2753,A62,A102,35,A152,A173,1
A14,18,2238,A61,A101,25,A152,A173,1
A13,30,3656,A65,A101,49,A152,A172,1
A14,42,7166,A65,A101,29,A151,A173,1
A14,36,2299,A63,A101,39,A152,A173,1
A14,6,672,A61,A101,54,A152,A171,1
A14,36,10477,A65,A101,42,A153,A173,1
A14,28,2743,A61,A101,29,A152,A173,1
A14,12,1402,A63,A101,37,A151,A173,1
A14,33,7253,A61,A101,35,A152,A174,1
A13,12,3399,A65,A101,37,A152,A174,1
A14,12,2859,A65,A101,38,A152,A174,1
A14,24,1311,A62,A101,26,A152,A173,1
A14,15,2788,A61,A102,24,A152,A173,1
A12,60,7418,A65,A101,27,A152,A172,1
