@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,A33,2629,A93,A173,1,1
A14,A32,874,A92,A173,1,1
A13,A34,2360,A93,A173,1,1
A11,A32,1374,A93,A172,1,1
A12,A32,1414,A93,A173,1,1
A14,A34,13756,A93,A174,1,1
A14,A32,1984,A93,A173,1,1
A14,A32,1766,A94,A173,1,1
A11,A34,2799,A93,A173,2,1
A14,A30,2613,A93,A173,1,1
A11,A32,1657,A93,A173,1,1
A14,A32,5511,A93,A173,1,1
A12,A34,5800,A93,A173,1,1
A14,A32,2445,A94,A173,1,1
A12,A32,3512,A93,A173,1,1
A12,A33,2899,A93,A173,2,1
A14,A32,3448,A93,A172,1,1
A12,A33,6403,A93,A173,1,1
A14,A32,1287,A93,A172,1,1
A11,A33,8471,A92,A173,1,1
A14,A32,4811,A92,A172,1,1
A14,A34,7596,A93,A173,1,1
A14,A32,1552,A93,A173,2,1
A14,A34,2463,A94,A173,1,1
A14,A32,1568,A92,A172,1,1
A12,A32,2415,A93,A173,1,1
A11,A32,1352,A92,A171,1,1
A11,A32,1845,A92,A173,1,1
A13,A32,3913,A93,A173,1,1
A14,A33,846,A93,A173,1,1
A11,A34,5371,A93,A173,1,1
A11,A34,338,A93,A173,1,1
A12,A32,484,A94,A172,1,1
A12,A33,585,A94,A173,1,1
A12,A32,625,A94,A172,1,1
A11,A32,3650,A92,A173,1,1
A11,A31,2828,A93,A173,1,1
A14,A32,2221,A92,A173,1,1
A11,A31,339,A94,A172,1,1
A12,A32,1913,A94,A173,1,1
A14,A34,6070,A93,A173,1,1
A14,A32,2279,A93,A173,1,1
A14,A34,1532,A92,A173,1,1
A14,A34,1935,A93,A173,1,1
A14,A33,802,A93,A172,1,1
A14,A34,2022,A92,A173,1,1
A13,A32,3399,A93,A174,1,1
A14,A34,1471,A93,A173,1,1
A14,A34,629,A93,A174,1,1
A13,A32,1474,A92,A174,1,1
A14,A34,1360,A93,A173,1,1
A14,A32,1820,A94,A174,1,1
A12,A30,12204,A93,A174,1,1
A14,A32,660,A94,A172,1,1
A14,A34,700,A93,A173,1,1
A14,A31,1750,A93,A172,2,1
A11,A32,1403,A92,A173,1,1
A12,A32,1318,A93,A173,1,1
A11,A33,3643,A92,A172,1,1
A14,A32,2662,A93,A173,1,1
A11,A34,1526,A93,A174,1,1
A12,A33,1553,A92,A173,1,1
A14,A32,8588,A93,A174,1,1
A14,A32,3029,A93,A173,1,1
A13,A31,1445,A93,A172,1,1
A12,A34,1295,A92,A173,1,1
A14,A32,640,A91,A172,1,1
A14,A34,7629,A91,A174,2,1
A14,A33,7238,A93,A173,2,1
A14,A32,1076,A94,A173,1,1
A14,A33,7678,A92,A173,1,1
A11,A32,3599,A92,A172,1,1
A14,A34,6842,A93,A174,2,1
A14,A32,1572,A92,A172,1,1
A12,A32,3872,A92,A173,1,1
A14,A34,4526,A93,A174,1,1
A14,A34,1244,A92,A172,1,1
A13,A32,2687,A93,A173,1,1
A14,A34,2404,A92,A173,1,1
A12,A32,2991,A92,A173,1,1
A12,A32,3001,A92,A173,1,1
A14,A32,2073,A92,A173,1,1
A11,A32,3660,A92,A173,1,1
A14,A32,999,A93,A173,1,1
A14,A32,1388,A92,A173,1,1
A12,A32,3979,A93,A173,2,1
A12,A32,6468,A91,A174,1,1
A11,A30,3104,A93,A173,1,1
A12,A34,3617,A93,A173,1,1
A14,A32,1376,A92,A173,1,1
A12,A32,2622,A93,A173,1,1
A14,A34,2331,A93,A173,1,1
A14,A32,1338,A91,A173,1,1
A14,A34,3485,A91,A173,1,1
A13,A32,1881,A92,A172,1,1
A14,A32,2171,A92,A173,1,1
A14,A32,2299,A93,A173,1,1
A14,A34,4042,A93,A173,1,1
A11,A32,708,A93,A172,2,1
A11,A32,1755,A92,A172,1,1
A14,A33,10875,A93,A173,2,1
A14,A32,2476,A93,A174,1,1
A14,A34,1459,A92,A172,1,1
A13,A33,683,A92,A173,1,1
A12,A34,1537,A93,A173,1,1
A14,A32,3577,A93,A173,2,1
A14,A32,8133,A92,A173,1,1
A14,A32,3568,A92,A174,1,1
A14,A34,1592,A92,A173,1,1
A14,A34,3368,A93,A173,1,1
A12,A32,760,A92,A172,1,1
A14,A34,250,A92,A172,1,1
A14,A34,1382,A92,A173,1,1
A14,A34,1185,A92,A173,1,1
A11,A32,1203,A93,A173,1,1
A14,A34,5150,A93,A173,1,1
A11,A32,2577,A91,A173,1,1
A12,A30,8358,A92,A173,1,1
A14,A32,9277,A91,A173,1,1
A14,A34,2058,A91,A173,1,1
A12,A32,2030,A93,A173,1,1
A13,A32,1925,A93,A173,1,1
A11,A34,1409,A93,A173,1,1
A14,A32,3378,A93,A173,1,1
A11,A34,1957,A92,A173,1,1
A13,A34,1480,A93,A171,1,1
A11,A30,8072,A93,A173,1,1
A11,A32,2924,A93,A173,2,1
A14,A34,996,A92,A173,1,1
A14,A32,937,A94,A172,1,1
A12,A34,3652,A93,A173,1,1
A12,A30,3244,A92,A173,1,1
A14,A34,2578,A93,A173,1,1
A12,A33,1050,A93,A174,1,1
A12,A34,1887,A94,A173,1,1
A14,A34,1585,A93,A173,1,1
A14,A32,2515,A93,A173,1,1
A13,A32,3949,A93,A172,2,1
A13,A30,6289,A91,A173,1,1
A12,A32,2896,A93,A173,1,1
A11,A34,3939,A93,A172,2,1
A12,A33,6681,A93,A173,2,1
A14,A32,2835,A93,A173,1,1
A11,A32,6568,A94,A172,1,1
A14,A34,3868,A92,A174,1,1
A14,A34,1240,A92,A173,1,1
A13,A32,1377,A92,A173,1,1
A11,A34,975,A91,A173,1,1
A14,A33,4151,A93,A173,1,1
A14,A32,5742,A93,A173,1,1
A14,A34,2288,A92,A173,1,1
A14,A34,682,A92,A173,1,1
A14,A32,7814,A93,A174,1,1
A14,A31,7824,A93,A173,2,1
A12,A34,2728,A93,A173,1,1
A12,A32,3213,A94,A173,1,1
A14,A33,960,A92,A173,1,1
A12,A32,1715,A92,A173,1,1
A12,A32,841,A92,A172,1,1
A14,A34,3331,A93,A173,1,1
A14,A32,518,A92,A173,1,1
A14,A32,4657,A93,A173,1,1
A14,A32,929,A93,A173,1,1
A14,A34,1149,A93,A173,1,1
A11,A32,662,A93,A172,2,1
A14,A34,2096,A93,A172,2,1
A11,A31,2483,A93,A173,1,1
A14,A32,1393,A93,A173,2,1
A11,A32,15857,A91,A174,1,1
A12,A34,882,A93,A173,1,1
A14,A33,2978,A93,A173,2,1
A13,A34,1275,A91,A173,1,1
A14,A32,2978,A93,A173,1,1
A12,A32,1410,A94,A173,1,1
A14,A34,2080,A94,A173,1,1
A14,A34,1495,A93,A172,2,1
A14,A32,3077,A93,A173,1,1
A12,A31,12169,A93,A174,1,1
A14,A32,2333,A93,A174,1,1
A11,A32,1374,A92,A174,1,1
A11,A32,2578,A92,A174,1,1
A12,A32,1391,A94,A173,1,1
A14,A32,3518,A93,A173,1,1
A11,A34,14179,A93,A174,1,1
A11,A34,5302,A93,A174,1,1
A14,A34,930,A93,A173,1,1
A12,A32,1514,A93,A173,1,1
A14,A34,2424,A93,A173,1,1
A14,A33,2764,A92,A173,1,1
A14,A34,3074,A93,A173,2,1
A13,A32,3749,A92,A173,1,1
A11,A32,1893,A92,A173,1,1
A13,A32,1494,A93,A172,2,1
A11,A32,5493,A93,A173,2,1
A14,A32,2241,A93,A173,1,1
A13,A34,4796,A93,A173,1,1
A11,A34,385,A92,A172,1,1
A14,A34,1503,A93,A172,2,1
A14,A32,2670,A93,A174,1,1
A14,A34,3229,A93,A174,1,1
A14,A34,2831,A92,A173,1,1
A13,A32,1905,A93,A174,1,1
A11,A34,666,A92,A172,1,1
A11,A34,1288,A93,A173,2,1
A14,A32,3812,A92,A173,1,1
A14,A34,4530,A92,A174,1,1
A12,A34,7374,A93,A174,1,1
A14,A32,2141,A93,A173,1,1
A14,A32,2708,A93,A172,1,1
A14,A34,1455,A93,A172,2,1
A11,A32,2511,A92,A173,1,1
A12,A32,3758,A92,A171,1,1
A14,A32,776,A94,A173,1,1
A14,A33,1591,A93,A174,1,1
A12,A34,3590,A94,A171,2,1
A14,A33,2375,A93,A173,2,1
A14,A32,2782,A92,A174,1,1
A12,A33,7418,A93,A172,1,1
A12,A32,1037,A93,A172,1,1
A14,A32,2675,A93,A173,1,1
A14,A34,2238,A92,A173,1,1
A11,A32,2214,A93,A172,1,1
A14,A32,1126,A92,A173,1,1
A14,A34,11054,A93,A174,1,1
A11,A31,2325,A93,A173,1,1
A11,A34,1164,A93,A174,2,1
A12,A34,7758,A92,A173,1,1
A14,A30,9436,A93,A172,2,1
A14,A32,5324,A92,A173,1,1
A13,A32,1225,A93,A173,1,1
A14,A32,1262,A93,A173,1,1
A12,A32,2760,A93,A173,1,1
A12,A31,9283,A93,A174,1,1
A11,A34,2171,A93,A172,1,1
A11,A32,2659,A93,A173,1,1
A14,A34,701,A93,A173,1,1
A11,A33,1344,A93,A172,2,1
A14,A32,1950,A93,A173,1,1
A12,A34,2181,A93,A173,1,1
A14,A34,1237,A92,A173,1,1
A13,A34,1047,A92,A172,1,1
A14,A32,10144,A92,A173,1,1
A11,A32,2384,A93,A172,1,1
A13,A32,1330,A93,A173,1,1
A11,A34,3398,A93,A172,1,1
A14,A30,1204,A93,A173,1,1
A11,A32,2249,A93,A174,2,1
A12,A33,6204,A93,A172,2,1
A14,A32,2901,A92,A173,1,1
A14,A32,4686,A93,A174,1,1
A14,A32,1469,A94,A172,1,1
A14,A33,5117,A93,A173,1,1
A14,A34,6614,A93,A174,1,1
A11,A32,1200,A92,A173,1,1
A14,A34,362,A92,A172,1,1
A12,A34,1743,A93,A172,1,1
A14,A32,3488,A92,A173,1,1
A13,A34,1323,A91,A173,2,1
A12,A34,2337,A93,A173,1,1
A14,A33,1478,A94,A173,1,1
A14,A34,1291,A92,A173,1,1
A12,A34,3124,A93,A172,2,1
A11,A34,2132,A92,A173,1,1
A14,A34,2751,A93,A173,2,1
A14,A32,5433,A92,A174,1,1
A12,A32,2779,A94,A173,1,1
A12,A31,3990,A92,A171,1,1
A12,A32,1444,A93,A173,1,1
A14,A34,717,A93,A173,1,1
A12,A32,6078,A93,A173,1,1
A14,A32,3105,A93,A173,1,1
A11,A34,1797,A93,A172,1,1
A12,A33,1965,A92,A173,1,1
A14,A33,1503,A94,A173,1,1
A14,A34,5711,A93,A174,1,1
A11,A34,6419,A92,A174,2,1
A11,A32,428,A92,A173,1,1
A14,A32,1249,A94,A173,1,1
A11,A32,1747,A93,A172,1,1
A14,A30,426,A94,A172,1,1
A11,A32,3021,A91,A172,1,1
A14,A32,1867,A93,A173,1,1
A14,A34,1402,A92,A173,1,1
A12,A32,6948,A93,A174,1,1
A14,A32,1533,A92,A173,1,1
A12,A32,1308,A93,A172,1,1
A14,A34,2069,A94,A173,1,1
A11,A34,860,A92,A173,1,1
A11,A32,1603,A92,A173,1,1
A14,A34,4139,A93,A172,1,1
A11,A32,4020,A93,A173,1,1
A14,A32,2108,A94,A173,1,1
A12,A32,1206,A92,A173,1,1
A14,A34,5842,A93,A173,2,1
A14,A34,3342,A93,A173,1,1
A11,A32,701,A94,A172,1,1
A12,A32,1092,A92,A173,1,1
A14,A32,2679,A92,A174,1,1
A14,A34,5103,A94,A173,1,1
A14,A32,1213,A93,A173,1,1
A12,A32,753,A92,A173,1,1
A12,A34,932,A92,A172,1,1
A12,A32,754,A93,A173,1,1
A12,A32,2329,A92,A173,1,1
A14,A32,3160,A93,A173,1,1
A14,A34,1516,A92,A172,1,1
A14,A32,601,A92,A172,2,1
A14,A32,909,A93,A173,1,1
A14,A34,2223,A93,A173,1,1
A11,A30,4583,A91,A173,1,1
A12,A32,3069,A93,A173,1,1
A14,A34,1934,A93,A173,1,1
A11,A32,1262,A91,A172,1,1
A12,A32,1103,A93,A173,1,1
A14,A34,1028,A92,A173,1,1
A14,A34,5954,A93,A173,1,1
A14,A32,1258,A93,A173,1,1
A13,A34,3656,A93,A172,1,1
A12,A32,1158,A91,A173,1,1
A14,A34,1597,A93,A173,2,1
A12,A34,1995,A93,A173,1,1
A14,A32,1768,A93,A172,1,1
A12,A30,6148,A94,A173,1,1
A14,A34,2146,A92,A173,1,1
A14,A34,1231,A93,A172,2,1
A14,A32,1278,A93,A174,1,1
A14,A32,1543,A91,A173,1,1
A12,A34,6361,A93,A173,1,1
A12,A32,3195,A92,A172,1,1
A12,A32,2063,A94,A174,1,1
A11,A34,10623,A93,A174,2,1
A11,A32,2964,A93,A173,2,1
A11,A32,10722,A92,A172,1,1
A14,A33,15653,A93,A173,1,1
A13,A32,392,A92,A173,1,1
A11,A32,3590,A93,A172,2,1
A12,A33,4771,A93,A173,1,1
A11,A32,3959,A93,A174,1,1
A14,A32,1236,A92,A173,1,1
A14,A34,3565,A93,A172,2,1
A14,A32,3079,A93,A173,1,1
A14,A32,5248,A93,A173,1,1
A13,A31,409,A92,A173,1,1
A14,A34,5507,A93,A173,1,1
A14,A34,7228,A93,A172,1,1
A11,A32,2212,A93,A173,1,1
A12,A34,1154,A93,A172,1,1
A14,A34,1221,A94,A173,1,1
A12,A32,458,A93,A173,1,1
A14,A32,2133,A92,A174,1,1
A14,A32,2390,A93,A173,1,1
A14,A32,1597,A93,A172,2,1
A11,A32,2522,A93,A173,2,1
A14,A33,2032,A93,A173,1,1
A12,A32,4795,A92,A174,1,1
A14,A34,1927,A92,A173,1,1
A14,A34,3077,A93,A173,2,1
A14,A32,1393,A93,A173,1,1
A14,A33,2993,A93,A172,1,1
A11,A34,1433,A92,A173,1,1
A12,A34,5743,A92,A173,1,1
A12,A32,4351,A92,A172,1,1
A14,A32,1924,A93,A173,1,1
A14,A32,1595,A93,A173,2,1
A14,A34,2788,A92,A173,1,1
A12,A32,1082,A93,A172,1,1
A14,A34,2012,A92,A173,1,1
A12,A32,2631,A92,A172,1,1
A13,A32,2892,A91,A173,1,1
A14,A34,2406,A93,A174,1,1
A14,A32,1262,A93,A173,1,1
A14,A32,1979,A93,A173,1,1
A14,A32,3059,A91,A172,1,1
A14,A31,3447,A92,A172,2,1
A11,A34,3905,A93,A173,2,1
A11,A32,2647,A93,A173,2,1
A14,A34,1655,A93,A172,1,1
A11,A34,3676,A93,A173,2,1
A14,A32,2697,A93,A173,2,1
A14,A32,1493,A92,A173,2,1
A12,A32,983,A92,A172,1,1
A14,A34,3380,A92,A173,2,1
A11,A32,3509,A92,A173,1,1
A14,A34,2611,A94,A173,1,1
A14,A34,6314,A93,A174,1,1
A11,A34,609,A92,A173,1,1
A11,A34,1872,A93,A174,1,1
A14,A32,1449,A92,A173,1,1
A11,A34,1382,A93,A173,1,1
A14,A32,1453,A92,A173,1,1
A14,A34,3275,A93,A174,1,1
A14,A34,2346,A93,A173,1,1
A12,A34,2825,A93,A173,2,1
A14,A34,1412,A92,A174,1,1
A14,A32,1236,A93,A173,1,1
A14,A34,1800,A93,A173,1,1
A12,A34,5954,A92,A172,1,1
A12,A32,1521,A91,A172,1,1
A11,A34,6187,A94,A173,1,1
A12,A32,368,A93,A173,1,1
A11,A34,1478,A93,A173,2,1
A14,A32,1283,A92,A173,1,1
A11,A32,1936,A94,A172,1,1
A14,A32,2051,A93,A173,1,1
A14,A34,1055,A92,A173,1,1
A11,A34,2241,A93,A172,2,1
A11,A32,7882,A93,A173,2,1
A13,A34,781,A93,A173,1,1
A14,A32,2301,A92,A173,1,1
A14,A32,1963,A93,A174,2,1
A14,A32,1505,A93,A174,1,1
A14,A32,3430,A93,A173,2,1
A12,A32,2273,A93,A173,2,1
A14,A32,2753,A93,A173,1,1
A14,A32,1346,A93,A173,2,1
A14,A32,1538,A92,A173,1,1
A14,A34,3777,A93,A173,1,1
A14,A34,3578,A93,A173,1,1
A13,A32,2116,A93,A173,1,1
A13,A32,5152,A93,A173,1,1
A14,A32,1542,A93,A173,1,1
A14,A34,3850,A93,A173,1,1
A12,A32,1567,A92,A173,1,1
A13,A32,2923,A92,A174,1,1
A11,A32,1680,A94,A173,1,1
A14,A32,3235,A91,A174,1,1
A14,A34,5801,A93,A173,1,1
A14,A32,1238,A93,A174,2,1
A12,A34,1424,A93,A173,1,1
A12,A32,4439,A93,A174,1,1
A13,A32,4473,A93,A173,1,1
A14,A32,1101,A94,A173,1,1
A14,A32,804,A93,A173,1,1
A12,A34,1175,A93,A171,1,1
A11,A34,2121,A93,A173,1,1
A13,A32,5848,A93,A173,1,1
A12,A33,4712,A93,A174,1,1
A12,A32,1068,A93,A173,2,1
A12,A33,2427,A93,A173,1,1
A12,A32,2002,A93,A173,2,1
A14,A34,6110,A93,A173,1,1
A14,A33,8947,A93,A174,2,1
A12,A34,1322,A92,A173,1,1
A14,A34,2134,A93,A173,1,1
A14,A32,1901,A93,A174,1,1
A14,A32,2507,A93,A172,1,1
A11,A32,2315,A93,A172,1,1
A14,A32,3972,A92,A173,1,1
A14,A32,886,A92,A173,1,1
A11,A32,4380,A93,A172,2,1
A14,A34,2748,A92,A172,1,1
A12,A32,2576,A93,A173,1,1
A11,A32,2439,A92,A173,1,2
A11,A32,1285,A92,A173,1,2
A12,A32,14027,A93,A174,1,2
A11,A32,10297,A93,A173,2,2
A11,A32,674,A94,A173,1,2
A12,A34,8386,A93,A173,1,2
A11,A32,3959,A92,A173,1,2
A11,A32,1938,A91,A173,1,2
A12,A30,3844,A93,A172,2,2
A11,A32,3931,A93,A173,2,2
A14,A34,7127,A92,A173,1,2
A12,A32,15672,A93,A173,1,2
A11,A34,1199,A93,A172,1,2
A11,A34,3966,A92,A173,1,2
A14,A32,1980,A92,A173,1,2
A11,A34,6143,A92,A172,1,2
A13,A32,745,A92,A172,1,2
A14,A32,2397,A93,A173,1,2
A12,A34,1216,A93,A173,2,2
A12,A31,931,A92,A172,1,2
A12,A32,1188,A92,A173,2,2
A11,A32,5179,A93,A173,1,2
A11,A32,14896,A93,A174,1,2
A11,A31,1553,A93,A173,1,2
A12,A34,1935,A91,A173,1,2
A12,A32,766,A93,A172,1,2
A12,A32,9960,A92,A173,1,2
A14,A32,433,A92,A173,1,2
A11,A32,8229,A93,A173,2,2
A11,A30,950,A93,A173,2,2
A11,A31,3552,A93,A173,1,2
A12,A32,12579,A92,A174,1,2
A11,A31,7685,A92,A173,1,2
A11,A32,7511,A93,A173,2,2
A12,A33,1209,A93,A174,1,2
A11,A32,4308,A92,A173,1,2
A12,A34,1245,A94,A173,1,2
A12,A32,12389,A93,A173,1,2
A11,A32,795,A92,A173,1,2
A11,A32,2462,A93,A173,1,2
A11,A34,9629,A93,A173,1,2
A14,A32,4611,A92,A173,1,2
A11,A34,8065,A92,A174,1,2
A12,A32,1922,A93,A172,1,2
A11,A32,2712,A93,A173,2,2
A12,A31,1837,A92,A172,1,2
A13,A31,609,A92,A171,1,2
A12,A32,9398,A94,A174,1,2
A14,A33,4463,A93,A174,1,2
A11,A31,1442,A93,A172,2,2
A12,A32,1924,A92,A173,1,2
A11,A32,3190,A92,A173,1,2
A14,A33,1555,A93,A173,2,2
A11,A34,6331,A93,A173,1,2
A12,A31,5129,A92,A174,2,2
A14,A33,2169,A94,A173,1,2
A12,A32,2631,A92,A173,1,2
A12,A32,4113,A92,A173,1,2
A12,A32,3031,A93,A173,1,2
A11,A33,4870,A93,A173,2,2
A12,A32,10961,A93,A173,1,2
A11,A34,3384,A91,A174,1,2
A11,A32,727,A94,A172,1,2
A11,A32,2303,A93,A173,1,2
A11,A33,2145,A93,A173,1,2
A11,A32,1882,A92,A173,1,2
A11,A32,1228,A92,A172,1,2
A11,A32,9271,A93,A173,1,2
A11,A33,4370,A93,A173,2,2
A12,A32,1355,A92,A172,1,2
A14,A32,4591,A93,A174,1,2
A11,A33,1659,A92,A172,1,2
A12,A33,1512,A94,A173,1,2
A14,A32,2570,A92,A173,1,2
A11,A34,6229,A92,A172,1,2
A11,A33,6887,A93,A173,1,2
A14,A32,719,A93,A172,2,2
A12,A33,8086,A93,A174,1,2
A11,A32,3345,A93,A174,1,2
A11,A32,1345,A94,A173,1,2
A12,A32,12976,A92,A174,1,2
A12,A32,2384,A93,A172,1,2
A12,A31,6416,A92,A173,1,2
A12,A34,2520,A93,A172,1,2
A12,A32,3060,A93,A173,1,2
A11,A31,1358,A93,A174,1,2
A12,A32,1237,A92,A173,1,2
A13,A30,1337,A93,A174,1,2
A12,A33,2225,A93,A173,1,2
A12,A34,5234,A94,A174,1,2
A11,A32,3051,A93,A173,1,2
A11,A32,1274,A92,A172,1,2
A11,A32,1371,A92,A173,1,2
A11,A32,1442,A92,A173,1,2
A12,A34,11938,A93,A174,2,2
