@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
18,A34,1028,36,2,A191,1
12,A32,3077,52,1,A192,1
12,A34,2122,39,2,A191,1
6,A32,1346,42,1,A192,1
12,A34,1409,54,1,A191,1
7,A33,846,36,1,A191,1
24,A32,5152,25,1,A191,1
12,A32,1680,35,1,A191,1
42,A31,9283,55,1,A192,1
6,A34,1554,24,2,A192,1
12,A34,1424,26,1,A191,1
24,A33,3863,32,1,A191,1
12,A34,1185,27,2,A191,1
6,A32,2063,30,1,A192,1
24,A32,1258,57,1,A191,1
6,A33,1743,34,2,A191,1
18,A32,3378,31,1,A192,1
48,A34,3578,47,1,A192,1
12,A32,3527,45,1,A192,1
36,A34,9566,31,2,A191,1
24,A34,6842,46,2,A192,1
30,A32,1715,26,1,A191,1
20,A33,2629,29,2,A192,1
24,A31,2325,32,1,A191,1
15,A32,1213,47,1,A192,1
12,A34,3331,42,1,A191,1
24,A33,1965,42,2,A192,1
45,A34,4576,27,1,A191,1
42,A32,7166,29,1,A192,1
12,A33,1344,43,2,A191,1
12,A32,701,40,1,A191,1
12,A32,1858,22,1,A191,1
15,A32,2687,26,1,A192,1
24,A32,3105,25,2,A191,1
12,A32,1574,50,1,A191,1
6,A32,518,29,1,A191,1
12,A32,1107,20,1,A192,1
10,A32,727,46,1,A192,1
27,A34,4526,32,2,A192,1
21,A32,3599,26,1,A191,1
12,A32,1262,49,1,A192,1
6,A32,1595,51,1,A191,1
15,A32,1444,23,1,A191,1
10,A32,1287,45,1,A191,1
6,A34,1323,28,2,A192,1
24,A32,999,25,2,A191,1
18,A32,4439,33,1,A192,1
12,A32,640,49,1,A191,1
18,A31,1445,49,1,A191,1
18,A34,1055,30,2,A191,1
9,A32,2118,37,1,A191,1
14,A33,802,27,2,A191,1
24,A34,2028,30,2,A191,1
12,A32,1168,27,1,A191,1
33,A33,2764,26,2,A192,1
33,A34,7253,35,2,A192,1
12,A32,1881,44,1,A192,1
24,A34,3148,31,2,A192,1
15,A32,1386,40,1,A192,1
18,A32,2515,43,1,A192,1
16,A34,1175,68,3,A192,1
10,A32,2901,31,1,A191,1
48,A31,3566,30,1,A191,1
12,A32,1007,22,1,A191,1
15,A32,1053,27,1,A191,1
6,A32,2116,41,1,A192,1
8,A32,907,26,1,A192,1
18,A32,3422,47,3,A192,1
9,A32,1126,49,1,A191,1
24,A33,4679,35,2,A192,1
24,A34,4526,74,1,A192,1
6,A32,454,22,1,A191,1
18,A32,2622,34,1,A191,1
15,A32,3568,54,1,A192,1
24,A32,2603,28,1,A192,1
24,A32,9277,48,1,A192,1
24,A32,1393,31,1,A192,1
11,A32,2142,28,1,A192,1
12,A32,3016,24,1,A191,1
9,A34,2134,48,3,A192,1
24,A32,3069,30,1,A191,1
12,A34,701,32,2,A191,1
24,A33,2978,32,2,A192,1
36,A32,8133,30,1,A191,1
24,A32,3181,26,1,A192,1
9,A34,1138,25,2,A191,1
15,A34,1360,31,2,A191,1
12,A32,1542,36,1,A192,1
24,A34,1231,57,2,A192,1
18,A34,1098,65,2,A191,1
9,A32,1388,26,1,A191,1
4,A34,1544,42,3,A191,1
24,A34,2197,43,2,A192,1
6,A32,1068,28,1,A191,1
12,A34,1934,26,2,A191,1
12,A32,625,26,1,A191,1
26,A32,7966,30,2,A191,1
36,A32,3079,36,1,A191,1
18,A34,1582,46,2,A191,1
30,A33,4272,26,2,A191,1
24,A32,2679,29,1,A192,1
24,A34,1940,60,1,A192,1
15,A32,874,24,1,A191,1
48,A30,8358,30,2,A191,1
15,A34,3343,28,1,A192,1
48,A34,2751,38,2,A192,1
12,A32,2251,46,1,A191,1
9,A32,2136,25,1,A191,1
15,A34,1316,47,2,A191,1
9,A32,1391,27,1,A192,1
24,A32,3749,26,1,A191,1
6,A34,1299,74,3,A191,1
15,A32,2186,33,1,A191,1
18,A32,1820,30,1,A192,1
12,A32,1155,40,2,A191,1
12,A34,3124,49,2,A191,1
6,A33,1449,31,2,A191,1
18,A32,3509,25,1,A191,1
24,A34,1743,48,2,A191,1
48,A32,10222,37,1,A192,1
13,A32,2101,23,1,A191,1
15,A32,3812,23,1,A192,1
12,A34,385,58,4,A192,1
12,A32,2578,55,1,A191,1
12,A34,1860,34,2,A192,1
12,A34,1592,35,1,A191,1
21,A32,3976,35,1,A192,1
10,A34,2146,23,2,A191,1
36,A32,3835,45,1,A192,1
24,A34,2424,53,2,A191,1
48,A30,12204,48,1,A192,1
9,A32,1313,20,1,A191,1
12,A32,1884,39,1,A192,1
18,A33,2427,42,2,A191,1
24,A34,5507,44,2,A191,1
12,A30,1410,31,1,A192,1
10,A34,1231,32,2,A191,1
6,A32,2978,32,1,A192,1
36,A32,5742,31,2,A192,1
48,A32,7476,50,1,A192,1
15,A34,1471,35,2,A192,1
15,A34,1537,50,2,A192,1
20,A32,6468,60,1,A192,1
24,A32,2760,36,1,A192,1
24,A34,1275,36,2,A192,1
12,A34,1264,57,1,A191,1
15,A34,2360,36,1,A192,1
27,A32,3416,27,1,A191,1
15,A32,1905,40,1,A192,1
15,A32,2708,27,2,A191,1
30,A34,7596,63,2,A191,1
10,A32,3949,37,1,A191,1
24,A32,2892,51,1,A191,1
42,A34,4796,56,1,A191,1
18,A34,1817,28,2,A191,1
30,A30,4221,28,2,A191,1
6,A34,1872,36,3,A192,1
18,A32,1913,36,1,A192,1
12,A34,1240,38,2,A192,1
8,A32,1414,33,1,A191,1
18,A34,1295,27,2,A191,1
18,A34,3590,40,3,A192,1
12,A34,1255,61,2,A191,1
10,A34,2069,26,2,A191,1
36,A32,3711,27,1,A191,1
18,A32,866,25,1,A191,1
18,A34,1149,46,2,A191,1
8,A32,760,44,1,A191,1
30,A32,1867,58,1,A192,1
12,A32,2028,30,1,A191,1
30,A34,5771,25,2,A191,1
24,A33,6403,33,1,A191,1
15,A32,3556,29,1,A191,1
24,A32,1249,28,1,A191,1
15,A31,1569,34,1,A191,1
24,A32,2835,53,1,A191,1
24,A32,5433,26,1,A192,1
9,A32,2507,51,1,A191,1
21,A32,3357,29,1,A191,1
18,A34,629,32,2,A192,1
6,A34,1382,28,2,A192,1
9,A34,1919,35,1,A192,1
42,A34,3394,65,2,A191,1
12,A32,1893,29,1,A192,1
18,A34,6361,41,1,A192,1
12,A32,841,23,1,A191,1
6,A34,860,39,2,A192,1
6,A34,666,39,2,A192,1
12,A30,2759,34,2,A191,1
42,A34,5954,41,2,A191,1
48,A33,6681,38,1,A192,1
18,A34,1880,32,2,A192,1
6,A31,1750,45,1,A191,1
36,A32,3913,23,1,A192,1
30,A34,6187,24,2,A191,1
10,A32,1418,35,1,A191,1
18,A32,1984,47,2,A191,1
24,A32,2910,34,1,A192,1
18,A32,1239,61,1,A191,1
24,A34,4042,43,2,A192,1
24,A31,2483,22,1,A192,1
24,A32,1376,28,1,A191,1
18,A34,3612,37,1,A192,1
10,A32,2848,32,1,A191,1
36,A33,10875,45,2,A192,1
12,A34,522,42,2,A192,1
18,A34,1169,29,2,A192,1
24,A32,2255,54,1,A191,1
12,A32,1289,21,1,A191,1
15,A32,392,23,1,A192,1
27,A33,5117,26,2,A191,1
24,A34,4139,27,2,A192,1
9,A32,2301,22,1,A191,1
24,A34,3868,41,2,A192,1
24,A32,1278,36,1,A192,1
24,A32,5084,42,1,A192,1
9,A32,2697,32,1,A191,1
30,A31,3496,34,1,A192,1
18,A33,6204,44,1,A192,1
13,A32,1409,64,1,A191,1
24,A31,2828,22,1,A192,1
36,A34,5800,34,2,A192,1
9,A32,1206,25,1,A191,1
36,A32,909,36,1,A191,1
30,A34,3017,47,1,A191,1
24,A32,1377,47,1,A192,1
47,A32,10722,35,1,A192,1
24,A32,3488,23,1,A191,1
5,A32,3448,74,1,A191,1
6,A32,3518,26,1,A191,1
18,A32,1961,23,1,A191,1
12,A32,1101,27,2,A192,1
30,A30,4583,32,2,A191,1
12,A32,1037,39,1,A191,1
9,A34,2406,31,1,A191,1
24,A34,2346,35,2,A192,1
8,A34,1164,51,2,A192,1
18,A32,6260,28,1,A191,1
27,A34,2442,43,4,A192,1
30,A32,3857,40,1,A192,1
6,A32,428,49,1,A192,1
48,A34,7629,46,2,A191,1
24,A32,1603,55,1,A191,1
36,A32,15857,43,1,A191,1
36,A31,3990,29,1,A191,1
48,A31,12169,36,1,A192,1
12,A32,1393,47,3,A192,1
21,A32,1572,36,1,A191,1
12,A32,2133,52,1,A192,1
21,A34,3652,27,2,A191,1
4,A34,1455,42,3,A191,1
27,A32,5190,48,4,A192,1
21,A34,3275,36,1,A192,1
24,A34,3617,20,2,A191,1
18,A32,2659,28,1,A191,1
21,A33,2353,47,2,A191,1
24,A32,1755,58,1,A192,1
30,A34,3077,40,2,A192,1
12,A34,3573,23,1,A191,1
24,A32,4020,27,1,A191,1
15,A34,3368,23,2,A192,1
30,A32,4811,24,1,A191,1
12,A34,1402,37,1,A192,1
20,A34,3485,44,2,A192,1
27,A32,2528,32,1,A192,1
10,A32,1225,37,1,A192,1
12,A32,804,38,1,A191,1
9,A32,2030,24,1,A192,1
24,A34,1516,43,2,A191,1
15,A34,1520,63,1,A191,1
30,A34,2181,36,2,A191,1
12,A34,2121,30,2,A191,1
12,A34,1935,43,3,A192,1
15,A34,2326,27,1,A191,1
12,A34,2366,36,1,A192,1
12,A32,2445,26,1,A192,1
60,A32,10366,42,1,A192,1
12,A34,2096,49,1,A191,1
18,A32,3650,22,1,A191,1
24,A32,1258,25,1,A192,1
24,A32,2670,35,1,A192,1
15,A32,2221,20,1,A191,1
4,A32,601,23,1,A191,1
12,A32,3590,29,1,A191,1
12,A32,1103,29,2,A191,1
9,A34,1224,30,2,A191,1
24,A32,1525,34,1,A192,1
36,A33,9857,31,2,A192,1
6,A32,590,26,1,A191,1
15,A34,975,25,2,A191,1
15,A33,1478,33,2,A191,1
7,A32,2576,35,1,A191,1
18,A30,3104,31,1,A192,1
12,A33,1503,41,1,A191,1
24,A32,3660,28,1,A191,1
24,A32,3512,38,2,A192,1
10,A32,2315,52,1,A191,1
18,A32,4380,35,1,A192,1
24,A33,4712,37,2,A192,1
18,A34,3229,38,1,A192,1
24,A32,1925,26,1,A191,1
24,A34,1927,33,2,A192,1
15,A32,1721,36,1,A191,1
48,A32,3979,41,2,A192,1
24,A34,2611,46,2,A191,1
24,A32,1413,28,1,A191,1
15,A32,1979,35,1,A191,1
6,A30,426,39,1,A191,1
6,A32,368,38,1,A191,1
24,A32,3062,32,1,A192,1
12,A32,2141,35,1,A191,1
6,A34,6761,45,2,A192,1
10,A34,2132,27,2,A191,1
18,A34,1887,28,2,A191,1
4,A32,1494,29,1,A191,1
12,A32,652,24,1,A191,1
12,A32,3651,31,1,A191,1
24,A31,1559,50,1,A192,1
6,A34,1957,31,1,A191,1
24,A34,7758,29,1,A191,1
6,A32,484,28,1,A191,1
7,A32,2329,45,1,A191,1
12,A32,754,38,2,A191,1
12,A32,1498,23,1,A191,1
12,A32,1657,27,1,A191,1
15,A32,1262,36,2,A192,1
24,A32,3758,23,1,A191,1
36,A34,2337,36,1,A191,1
18,A32,1473,39,1,A192,1
6,A34,1169,67,2,A192,1
12,A32,4675,20,1,A191,1
36,A32,9055,35,1,A192,1
9,A34,2799,36,2,A191,1
6,A32,1374,36,1,A192,1
24,A32,1967,20,1,A192,1
48,A33,12749,37,1,A192,1
24,A32,3430,31,1,A192,1
6,A34,1361,40,1,A191,1
12,A31,409,42,2,A191,1
48,A32,8487,24,1,A191,1
30,A34,2831,33,1,A192,1
30,A34,3656,49,2,A191,1
12,A34,976,35,2,A191,1
39,A33,11760,32,1,A192,1
24,A34,5743,24,2,A192,1
21,A32,5248,26,1,A191,1
12,A34,2171,38,2,A191,1
12,A32,1736,31,1,A191,1
24,A32,4169,28,1,A191,1
12,A34,1495,38,2,A191,1
10,A34,1038,49,2,A192,1
48,A32,4788,26,1,A191,1
21,A32,3160,41,1,A192,1
12,A34,5801,49,1,A192,1
36,A34,5711,38,2,A192,1
6,A32,660,23,1,A191,1
11,A32,1577,20,1,A191,1
18,A32,1453,26,1,A191,1
14,A32,1410,35,1,A192,1
18,A32,1941,35,1,A192,1
24,A34,2957,63,2,A192,1
21,A34,2745,32,2,A192,1
10,A32,1521,31,1,A191,1
42,A34,4042,36,2,A192,1
48,A33,7582,31,1,A192,1
15,A34,1478,44,2,A192,1
24,A32,7721,30,1,A192,1
12,A32,707,30,2,A191,1
18,A34,3780,35,2,A192,1
11,A34,7228,39,2,A191,1
24,A32,1201,26,1,A191,1
24,A32,2964,49,1,A192,1
11,A34,1154,57,3,A191,1
15,A34,1459,43,1,A191,1
60,A32,6527,34,1,A192,1
18,A32,2249,30,1,A192,1
24,A34,1287,37,2,A192,1
15,A32,2631,25,1,A191,1
39,A32,2569,24,1,A191,1
6,A34,3676,37,3,A191,1
30,A34,5954,38,1,A191,1
24,A32,2284,28,1,A192,1
12,A34,2748,57,3,A191,1
6,A32,2108,29,1,A191,1
18,A32,1568,24,1,A191,1
39,A32,8588,45,1,A192,1
12,A32,1413,55,1,A191,1
10,A34,781,63,2,A192,1
24,A34,2825,34,2,A192,1
36,A32,3595,28,1,A191,1
48,A33,7238,32,2,A191,1
42,A32,7882,45,1,A191,1
9,A32,1549,35,1,A191,1
12,A34,3565,37,2,A191,1
12,A34,2331,49,1,A192,1
20,A30,6148,31,2,A192,1
18,A32,3872,67,1,A192,1
24,A32,7393,43,1,A191,1
21,A32,2476,46,1,A192,1
12,A32,1474,33,1,A192,1
9,A34,1154,37,3,A191,1
24,A32,3149,22,1,A191,1
4,A34,1503,42,2,A191,1
6,A32,753,64,1,A191,1
15,A34,2788,24,2,A191,1
12,A34,1995,27,1,A191,1
12,A32,708,38,1,A191,1
12,A31,3447,35,1,A191,1
24,A32,2384,64,1,A191,1
12,A32,3059,61,1,A191,1
9,A34,936,52,2,A192,1
28,A34,2743,29,2,A191,1
24,A34,2058,33,2,A192,1
21,A32,2606,28,1,A192,1
12,A32,7472,24,1,A191,1
9,A32,790,66,1,A191,1
24,A32,6579,29,1,A192,1
36,A32,2394,25,1,A191,1
9,A32,1449,27,2,A191,1
10,A34,2241,48,2,A191,1
36,A33,7432,54,1,A191,1
36,A34,6614,34,2,A192,1
12,A32,1493,34,1,A191,1
39,A34,14179,30,2,A192,1
6,A32,1338,62,1,A191,1
12,A32,1768,24,1,A191,1
24,A34,2463,27,2,A192,1
24,A33,4151,35,2,A191,1
6,A32,1766,21,1,A191,1
12,A32,2171,29,1,A191,1
24,A32,937,27,2,A191,1
12,A32,1620,30,1,A191,1
12,A34,958,47,2,A191,1
12,A31,339,45,1,A191,1
24,A32,1552,32,1,A191,1
13,A34,1797,28,2,A191,1
24,A32,2896,29,1,A191,1
18,A32,3001,40,1,A191,1
6,A34,338,52,2,A191,1
48,A34,6110,31,1,A192,1
10,A32,1275,23,1,A191,1
24,A34,2872,36,1,A192,1
20,A33,7057,36,2,A192,1
60,A34,13756,63,1,A192,1
6,A33,932,24,1,A191,1
24,A32,929,31,1,A192,1
36,A34,5842,35,2,A192,1
24,A34,5103,47,3,A192,1
12,A34,1163,44,1,A192,1
24,A34,6419,44,2,A192,1
6,A33,1050,35,2,A192,1
18,A34,2238,25,2,A191,1
36,A32,4473,31,1,A191,1
12,A34,1412,29,2,A192,1
24,A34,5804,27,2,A191,1
12,A34,618,56,1,A191,1
6,A32,1374,75,1,A192,1
24,A32,4351,48,1,A192,1
10,A32,1364,64,1,A192,1
6,A34,932,39,2,A191,1
15,A34,5045,59,1,A192,1
36,A33,8947,31,1,A192,1
12,A32,1076,26,1,A192,1
9,A32,3832,64,1,A191,1
36,A32,3959,30,1,A192,1
12,A34,1480,66,3,A191,1
18,A32,1113,26,1,A191,1
6,A34,4716,44,2,A191,1
60,A33,9157,27,1,A191,1
48,A31,3609,27,1,A191,1
6,A34,1047,50,1,A191,1
18,A32,2389,27,1,A191,1
7,A34,730,46,2,A192,1
6,A32,1352,23,1,A192,1
6,A33,683,29,1,A191,1
30,A34,4530,26,1,A192,1
12,A32,3017,34,1,A191,1
36,A32,2273,32,2,A191,1
12,A32,776,28,1,A191,1
15,A34,1532,31,1,A191,1
8,A34,731,47,2,A191,1
6,A34,609,37,2,A191,1
12,A32,2214,24,1,A191,1
36,A32,5493,42,1,A191,1
15,A33,960,30,2,A191,1
12,A34,1526,66,2,A191,1
6,A34,250,41,2,A191,1
12,A32,983,19,1,A191,1
21,A34,2288,23,1,A192,1
18,A32,4594,32,1,A192,1
12,A32,1297,23,1,A191,1
24,A31,3632,22,1,A191,1
11,A34,1393,35,2,A191,1
18,A30,3244,33,2,A192,1
11,A34,3905,36,2,A191,1
12,A34,1258,22,2,A191,1
6,A34,1237,27,2,A191,1
6,A34,700,36,2,A191,1
48,A34,8858,35,2,A192,1
24,A32,6313,41,1,A192,1
36,A32,3620,37,1,A191,1
54,A30,9436,39,1,A191,1
30,A34,6742,36,2,A191,1
18,A32,3049,45,1,A191,1
6,A32,343,27,1,A191,1
27,A33,8613,27,2,A191,1
21,A32,2923,28,1,A192,1
10,A32,894,40,1,A192,1
24,A32,7814,38,1,A192,1
12,A32,2002,30,1,A192,1
15,A32,1845,46,1,A191,1
18,A32,2051,33,1,A191,1
18,A32,3213,25,1,A191,1
42,A30,6289,33,2,A191,1
24,A32,1533,38,1,A192,1
30,A30,8072,25,3,A191,1
30,A32,3622,57,2,A192,1
9,A32,1199,67,2,A192,1
30,A34,10623,38,3,A192,1
28,A31,7824,40,2,A192,1
6,A30,1204,35,1,A191,1
9,A32,1364,59,1,A191,1
24,A32,2812,26,1,A191,1
9,A32,1082,27,2,A191,1
12,A32,6078,32,1,A191,1
24,A34,5150,33,1,A192,1
6,A32,709,27,1,A191,1
18,A32,1505,32,1,A192,1
36,A34,10477,42,2,A191,1
7,A32,2415,34,1,A191,1
12,A32,2073,28,1,A191,1
12,A32,1158,26,1,A192,1
20,A32,2212,39,1,A192,1
36,A34,3342,51,1,A192,1
9,A34,1244,41,2,A191,1
15,A34,1829,46,2,A192,1
12,A34,926,38,1,A191,1
15,A33,3594,46,2,A191,1
12,A32,2859,38,1,A192,1
15,A32,3186,20,1,A191,1
14,A32,3973,22,1,A191,1
18,A34,5302,36,3,A192,1
24,A32,1901,29,1,A192,1
36,A33,4463,26,2,A192,2
39,A34,4933,25,2,A191,2
6,A31,931,32,1,A191,2
48,A31,7685,37,1,A191,2
18,A32,1042,33,1,A191,2
12,A32,1331,22,1,A191,2
18,A31,1442,32,2,A191,2
36,A34,7127,23,2,A192,2
12,A34,2292,42,2,A192,2
48,A34,5096,30,1,A192,2
9,A32,1478,22,1,A191,2
12,A30,1108,28,2,A191,2
60,A33,6836,63,2,A192,2
9,A32,1670,22,1,A192,2
24,A32,1246,23,1,A191,2
9,A34,1501,34,2,A192,2
30,A34,4249,28,2,A191,2
12,A32,836,23,1,A191,2
28,A32,4006,45,1,A191,2
24,A34,1216,38,2,A191,2
18,A32,750,27,1,A191,2
48,A32,6560,24,1,A191,2
24,A34,1344,37,2,A191,2
36,A32,10974,26,2,A192,2
18,A32,2864,34,1,A191,2
9,A30,1337,34,2,A192,2
15,A32,1275,24,1,A191,2
60,A32,6288,42,1,A191,2
36,A32,14318,57,1,A192,2
24,A33,1024,48,1,A191,2
9,A31,5129,74,1,A192,2
48,A32,3060,28,2,A191,2
24,A32,915,29,1,A191,2
18,A32,2600,65,2,A191,2
60,A32,7408,24,1,A191,2
36,A32,2384,33,1,A191,2
6,A33,1209,47,1,A192,2
24,A33,1659,29,1,A192,2
21,A33,3414,26,2,A191,2
36,A32,3349,28,1,A192,2
18,A34,3966,33,3,A192,2
12,A32,1295,25,1,A191,2
18,A34,1530,32,2,A191,2
33,A34,4281,23,2,A191,2
12,A31,697,46,2,A192,2
12,A34,939,28,3,A192,2
18,A32,1217,47,1,A192,2
72,A32,5595,24,1,A191,2
10,A32,1240,48,1,A191,2
48,A30,4605,24,2,A191,2
9,A34,1136,32,2,A191,2
18,A32,2100,37,1,A191,2
30,A32,2150,24,1,A191,2
24,A33,8648,27,2,A192,2
24,A32,3123,27,1,A191,2
24,A32,5943,44,2,A192,2
24,A31,1358,40,1,A192,2
48,A32,3914,38,1,A191,2
36,A31,2746,31,1,A191,2
48,A32,3051,54,1,A191,2
15,A34,1271,39,2,A192,2
15,A33,1512,61,2,A191,2
15,A32,4623,40,1,A192,2
12,A34,691,35,2,A191,2
36,A32,1819,37,1,A192,2
24,A33,4870,53,2,A191,2
27,A32,3915,36,1,A192,2
24,A31,3161,31,1,A192,2
21,A31,1647,40,2,A191,2
18,A32,1943,23,1,A191,2
21,A32,1835,25,2,A192,2
48,A31,6416,59,1,A191,2
12,A32,1386,26,1,A191,2
48,A32,6999,34,2,A192,2
48,A34,10127,44,1,A191,2
36,A30,3804,42,1,A192,2
42,A33,4370,26,2,A192,2
24,A32,947,38,1,A191,2
36,A33,9572,28,2,A191,2
12,A32,1223,46,2,A191,2
48,A34,11590,24,2,A191,2
24,A32,2996,20,1,A191,2
48,A32,9960,26,1,A192,2
48,A32,4844,33,1,A192,2
36,A34,7855,25,2,A192,2
9,A32,1422,27,1,A192,2
36,A30,1953,61,1,A192,2
18,A34,1056,30,2,A191,2
24,A32,1371,25,1,A191,2
9,A32,1980,19,2,A191,2
36,A32,4210,26,1,A191,2
18,A32,1924,27,1,A191,2
60,A31,14782,60,2,A192,2
30,A32,3108,31,1,A191,2
36,A32,3446,42,1,A191,2
36,A33,2225,57,2,A192,2
18,A32,7511,51,1,A192,2
18,A32,433,22,1,A191,2
27,A32,2570,21,1,A191,2
18,A32,12976,38,1,A192,2
30,A32,6350,31,1,A191,2
15,A32,802,37,1,A191,2
10,A32,2210,25,1,A191,2
12,A34,797,33,1,A191,2
24,A32,4817,31,1,A192,2
6,A34,3384,44,1,A192,2
24,A31,6872,55,1,A192,2
24,A32,3234,23,1,A192,2
21,A32,1188,39,1,A191,2
21,A33,2580,41,1,A191,2
24,A32,3092,22,1,A192,2
12,A30,2969,25,2,A191,2
12,A32,951,27,4,A191,2
60,A32,14027,27,1,A192,2
12,A32,639,30,1,A191,2
36,A32,2302,31,1,A191,2
12,A32,902,21,1,A191,2
12,A32,685,25,1,A191,2
12,A32,900,23,1,A191,2
15,A31,1264,25,1,A191,2
24,A32,1938,32,1,A191,2
18,A30,2278,28,2,A191,2
21,A30,5003,29,2,A192,2
6,A32,448,23,1,A191,2
24,A32,2359,33,1,A191,2
16,A34,2625,43,1,A192,2
18,A33,4297,40,1,A192,2
30,A33,1919,30,2,A191,2
10,A32,1309,27,1,A191,2
12,A32,741,22,1,A191,2
36,A32,12612,47,1,A192,2
24,A32,2303,45,1,A191,2
12,A31,609,26,1,A191,2
12,A32,766,66,1,A191,2
36,A32,9398,28,1,A192,2
36,A33,8086,42,4,A192,2
48,A32,6758,31,1,A192,2
6,A31,433,24,1,A191,2
24,A32,3345,39,1,A192,2
48,A30,18424,32,1,A192,2
12,A32,7865,53,1,A192,2
12,A32,759,26,1,A191,2
18,A33,1808,22,1,A191,2
24,A32,11328,29,2,A192,2
36,A32,8335,47,1,A191,2
18,A32,976,23,1,A191,2
24,A32,1987,21,1,A191,2
14,A32,8978,45,1,A192,2
6,A32,4611,32,1,A191,2
36,A32,1977,40,1,A192,2
9,A32,1366,22,1,A191,2
12,A31,2149,29,1,A191,2
18,A34,1928,31,2,A191,2
12,A32,2579,33,1,A191,2
48,A30,7119,53,2,A191,2
20,A34,2235,33,2,A191,2
36,A32,9034,29,1,A192,2
24,A32,2718,20,1,A192,2
12,A30,1082,48,2,A191,2
12,A32,1282,20,1,A191,2
15,A31,6850,34,1,A192,2
24,A31,1546,24,1,A191,2
36,A32,9271,24,1,A192,2
12,A32,709,57,1,A191,2
18,A34,2775,31,2,A191,2
18,A34,884,36,1,A192,2
12,A32,1534,23,1,A191,2
27,A30,8318,42,2,A192,2
24,A31,1193,29,2,A191,2
18,A32,2473,25,1,A191,2
9,A32,918,30,1,A191,2
24,A32,3621,31,2,A191,2
48,A34,6331,46,2,A192,2
24,A32,1381,35,1,A191,2
12,A32,6468,52,1,A192,2
48,A32,5951,22,1,A191,2
48,A32,15672,23,1,A192,2
12,A32,795,53,1,A191,2
12,A32,1484,25,1,A192,2
18,A33,2169,28,1,A192,2
18,A31,6458,39,2,A192,2
24,A34,1199,60,2,A191,2
24,A32,1207,24,1,A191,2
42,A32,3965,34,1,A191,2
24,A34,1935,31,2,A192,2
