@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3,6-8,10,12,14,19,21,25-28,30-32,40-41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A10 numeric
@attribute A12 numeric
@attribute A14 numeric
@attribute A19 numeric
@attribute A21 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.029,-0.745,-0.359,-0.673,-0.518,-0.827,-0.722,-0.679,-0.675,-1.029,-0.687,-0.547,-0.76,-0.736,-0.984,-1.029,-0.645,-0.6,2
-1.099,-0.915,-0.464,-0.721,-0.607,-0.904,-0.856,-0.814,-0.81,-1.099,-0.721,-0.573,-0.797,-0.721,-0.973,-1.099,-0.666,-0.671,2
-1.239,-0.906,-0.537,-0.882,-0.704,-0.93,-0.947,-0.887,-0.83,-1.239,-0.753,-0.632,-0.936,-0.815,-1.007,-1.239,-0.802,-0.726,2
-1.1,-0.618,-0.264,-0.642,-0.468,-0.673,-0.705,-0.653,-0.632,-1.1,-0.67,-0.539,-0.854,-0.749,-0.973,-1.1,-0.675,-0.643,2
-1.182,-0.874,-0.536,-0.84,-0.685,-0.901,-0.849,-0.783,-0.721,-1.182,-0.705,-0.54,-0.871,-0.774,-0.973,-1.182,-0.781,-0.747,2
-1.114,-0.784,-0.463,-0.774,-0.596,-0.884,-0.825,-0.79,-0.762,-1.114,-0.731,-0.609,-0.875,-0.788,-1.05,-1.114,-0.707,-0.726,2
-1.167,-0.803,-0.422,-0.799,-0.607,-0.817,-0.832,-0.803,-0.738,-1.167,-0.807,-0.72,-0.936,-0.842,-1.098,-1.167,-0.782,-0.752,2
-0.846,-0.672,-0.278,-0.498,-0.382,-0.68,-0.568,-0.562,-0.607,-0.846,-0.546,-0.503,-0.608,-0.556,-0.783,-0.846,-0.512,-0.492,2
-1.037,-0.894,-0.371,-0.654,-0.575,-0.969,-0.719,-0.694,-0.682,-1.037,-0.72,-0.627,-0.807,-0.74,-0.943,-1.037,-0.664,-0.703,2
-0.929,-0.776,-0.557,-0.779,-0.671,-0.879,-0.715,-0.745,-0.767,-0.929,-0.655,-0.588,-0.763,-0.703,-0.902,-0.929,-0.665,-0.61,2
-1.173,-0.795,-0.383,-0.736,-0.589,-0.782,-0.811,-0.751,-0.668,-1.173,-0.632,-0.484,-0.835,-0.715,-0.956,-1.173,-0.707,-0.591,2
-1.125,-0.768,-0.271,-0.678,-0.534,-0.856,-0.731,-0.683,-0.6,-1.125,-0.572,-0.434,-0.795,-0.646,-0.892,-1.125,-0.631,-0.499,2
-1.065,-0.911,-0.512,-0.743,-0.645,-0.97,-0.803,-0.774,-0.806,-1.065,-0.741,-0.659,-0.825,-0.763,-0.995,-1.065,-0.676,-0.764,2
-1.092,-0.615,-0.026,-0.514,-0.366,-0.828,-0.459,-0.529,-0.314,-1.092,-0.467,-0.369,-0.718,-0.534,-0.751,-1.092,-0.711,-0.613,3
-1.28,-0.565,-0.271,-0.784,-0.522,-0.73,-0.816,-0.752,-0.569,-1.28,-0.848,-0.761,-1.038,-0.899,-0.998,-1.28,-0.921,-0.808,3
-1.194,-0.582,-0.22,-0.713,-0.467,-0.751,-0.76,-0.737,-0.588,-1.194,-0.765,-0.724,-0.968,-0.818,-0.901,-1.194,-0.847,-0.769,3
-1.119,-0.499,-0.015,-0.437,-0.275,-0.727,-0.418,-0.475,-0.348,-1.119,-0.567,-0.482,-0.797,-0.63,-0.822,-1.119,-0.691,-0.604,3
-1.243,-0.54,-0.228,-0.762,-0.491,-0.737,-0.749,-0.734,-0.551,-1.243,-0.677,-0.582,-0.953,-0.759,-0.878,-1.243,-0.861,-0.642,3
-1.228,-0.555,-0.135,-0.621,-0.389,-0.712,-0.726,-0.674,-0.512,-1.228,-0.772,-0.681,-0.969,-0.827,-0.914,-1.228,-0.744,-0.672,3
-1.344,-0.753,-0.33,-0.855,-0.606,-0.866,-0.842,-0.811,-0.639,-1.344,-0.796,-0.7,-1.067,-0.879,-1.004,-1.344,-0.985,-0.906,3
-1.228,-0.694,-0.21,-0.679,-0.51,-0.852,-0.671,-0.647,-0.551,-1.228,-0.685,-0.603,-0.947,-0.762,-0.941,-1.228,-0.845,-0.777,3
-1.143,-0.475,-0.145,-0.6,-0.372,-0.647,-0.633,-0.609,-0.474,-1.143,-0.549,-0.475,-0.82,-0.626,-0.769,-1.143,-0.684,-0.547,3
-1.179,-0.461,-0.142,-0.651,-0.37,-0.669,-0.64,-0.641,-0.501,-1.179,-0.636,-0.556,-0.868,-0.693,-0.866,-1.179,-0.816,-0.674,3
-1.208,-0.473,-0.127,-0.587,-0.379,-0.603,-0.733,-0.676,-0.551,-1.208,-0.686,-0.577,-0.903,-0.741,-0.866,-1.208,-0.708,-0.404,3
-1.196,-0.601,-0.19,-0.67,-0.448,-0.784,-0.615,-0.611,-0.5,-1.196,-0.652,-0.584,-0.881,-0.71,-0.891,-1.196,-0.812,-0.779,3
-1.166,-0.516,-0.155,-0.61,-0.386,-0.686,-0.688,-0.669,-0.519,-1.166,-0.761,-0.682,-0.908,-0.796,-0.922,-1.166,-0.747,-0.661,3
-1.222,-0.436,-0.081,-0.484,-0.241,-0.607,-0.533,-0.556,-0.342,-1.222,-0.672,-0.572,-0.896,-0.738,-0.88,-1.222,-0.746,-0.681,3
-1.232,-0.547,-0.235,-0.742,-0.491,-0.68,-0.745,-0.719,-0.56,-1.232,-0.7,-0.602,-0.963,-0.782,-0.88,-1.232,-0.847,-0.689,3
-1.085,-0.454,-0.096,-0.54,-0.341,-0.663,-0.465,-0.499,-0.294,-1.085,-0.473,-0.371,-0.714,-0.534,-0.729,-1.085,-0.718,-0.592,3
-1.163,-0.674,-0.179,-0.64,-0.501,-0.952,-0.6,-0.58,-0.565,-1.163,-0.562,-0.49,-0.85,-0.63,-0.78,-1.163,-0.74,-0.655,3
-1.171,-0.507,-0.157,-0.647,-0.41,-0.738,-0.657,-0.64,-0.507,-1.171,-0.696,-0.643,-0.917,-0.764,-0.901,-1.171,-0.791,-0.667,3
-1.205,-0.519,-0.219,-0.732,-0.445,-0.646,-0.788,-0.74,-0.575,-1.205,-0.794,-0.739,-0.992,-0.852,-0.975,-1.205,-0.824,-0.677,3
-1.277,-0.625,-0.202,-0.752,-0.488,-0.747,-0.796,-0.732,-0.604,-1.277,-0.798,-0.706,-1.009,-0.857,-0.98,-1.277,-0.843,-0.673,3
-1.207,-0.542,-0.192,-0.695,-0.443,-0.73,-0.665,-0.648,-0.544,-1.207,-0.654,-0.56,-0.878,-0.717,-0.891,-1.207,-0.839,-0.681,3
-1.237,-0.601,-0.261,-0.703,-0.478,-0.801,-0.64,-0.653,-0.523,-1.237,-0.715,-0.649,-0.955,-0.792,-0.973,-1.237,-0.864,-0.819,3
-1.259,-0.622,-0.168,-0.623,-0.414,-0.818,-0.623,-0.614,-0.43,-1.259,-0.832,-0.755,-1.019,-0.881,-1.028,-1.259,-0.88,-0.817,3
-1.218,-0.731,-0.222,-0.715,-0.524,-0.895,-0.727,-0.687,-0.582,-1.218,-0.735,-0.673,-0.969,-0.813,-0.942,-1.218,-0.849,-0.766,3
-1.273,-0.601,-0.21,-0.727,-0.505,-0.668,-0.855,-0.791,-0.623,-1.273,-0.779,-0.691,-1.003,-0.839,-0.94,-1.273,-0.824,-0.691,3
-1.169,-0.468,-0.087,-0.627,-0.355,-0.674,-0.631,-0.626,-0.51,-1.169,-0.638,-0.574,-0.868,-0.703,-0.893,-1.169,-0.804,-0.643,3
-1.162,-0.589,-0.162,-0.656,-0.47,-0.771,-0.623,-0.615,-0.477,-1.162,-0.598,-0.502,-0.844,-0.658,-0.806,-1.162,-0.822,-0.757,3
-1.202,-0.468,-0.153,-0.641,-0.395,-0.666,-0.687,-0.655,-0.509,-1.202,-0.705,-0.631,-0.937,-0.772,-0.907,-1.202,-0.766,-0.546,3
-1.167,-0.575,-0.202,-0.68,-0.453,-0.781,-0.689,-0.664,-0.522,-1.167,-0.666,-0.559,-0.877,-0.725,-0.836,-1.167,-0.772,-0.665,3
-1.226,-0.584,-0.265,-0.783,-0.522,-0.711,-0.82,-0.752,-0.596,-1.226,-0.839,-0.768,-1.005,-0.885,-0.996,-1.226,-0.873,-0.765,3
-1.222,-0.621,-0.203,-0.695,-0.493,-0.836,-0.751,-0.718,-0.604,-1.222,-0.793,-0.711,-0.992,-0.842,-0.924,-1.222,-0.824,-0.654,3
-1.183,-0.56,-0.117,-0.583,-0.38,-0.694,-0.538,-0.57,-0.365,-1.183,-0.59,-0.465,-0.844,-0.668,-0.89,-1.183,-0.783,-0.743,3
-1.289,-0.692,-0.256,-0.766,-0.558,-0.73,-0.89,-0.832,-0.689,-1.289,-0.791,-0.701,-1.014,-0.847,-0.944,-1.289,-0.833,-0.665,3
-1.09,-0.544,-0.176,-0.656,-0.458,-0.736,-0.628,-0.621,-0.521,-1.09,-0.608,-0.529,-0.784,-0.653,-0.826,-1.09,-0.791,-0.738,3
-0.99,-0.557,-0.089,-0.523,-0.364,-0.723,-0.452,-0.449,-0.333,-0.99,-0.424,-0.33,-0.628,-0.466,-0.6,-0.99,-0.692,-0.619,3
-1.136,-0.513,-0.055,-0.601,-0.378,-0.794,-0.521,-0.564,-0.383,-1.136,-0.582,-0.521,-0.817,-0.649,-0.822,-1.136,-0.794,-0.734,3
-1.277,-0.589,-0.147,-0.731,-0.453,-0.747,-0.791,-0.735,-0.587,-1.277,-0.806,-0.72,-1.023,-0.868,-0.985,-1.277,-0.821,-0.6,3
-1.23,-0.726,-0.366,-0.839,-0.628,-0.875,-0.867,-0.844,-0.749,-1.23,-0.843,-0.794,-1.016,-0.888,-0.965,-1.23,-0.905,-0.833,3
-1.186,-0.592,-0.151,-0.658,-0.414,-0.74,-0.693,-0.636,-0.447,-1.186,-0.674,-0.578,-0.896,-0.735,-0.894,-1.186,-0.783,-0.7,3
-1.218,-0.505,-0.223,-0.709,-0.434,-0.715,-0.719,-0.714,-0.531,-1.218,-0.659,-0.579,-0.929,-0.729,-0.866,-1.218,-0.856,-0.691,3
-1.229,-0.576,-0.305,-0.787,-0.526,-0.739,-0.818,-0.756,-0.624,-1.229,-0.825,-0.763,-1.002,-0.869,-0.977,-1.229,-0.862,-0.75,3
-1.299,-0.582,-0.226,-0.705,-0.491,-0.671,-0.823,-0.767,-0.608,-1.299,-0.777,-0.692,-1.006,-0.842,-0.966,-1.299,-0.799,-0.535,3
-1.115,-0.588,-0.131,-0.604,-0.419,-0.743,-0.538,-0.533,-0.425,-1.115,-0.553,-0.465,-0.808,-0.632,-0.831,-1.115,-0.757,-0.759,3
-1.156,-0.561,-0.073,-0.612,-0.413,-0.79,-0.624,-0.584,-0.518,-1.156,-0.63,-0.544,-0.863,-0.707,-0.821,-1.156,-0.746,-0.591,3
-1.235,-0.527,-0.145,-0.681,-0.392,-0.652,-0.763,-0.72,-0.548,-1.235,-0.803,-0.761,-1.005,-0.869,-1.023,-1.235,-0.788,-0.717,3
-1.106,-0.46,-0.034,-0.492,-0.291,-0.616,-0.422,-0.429,-0.257,-1.106,-0.541,-0.485,-0.772,-0.609,-0.807,-1.106,-0.748,-0.64,3
-1.278,-0.606,-0.285,-0.815,-0.532,-0.766,-0.817,-0.8,-0.632,-1.278,-0.808,-0.723,-1.033,-0.871,-0.989,-1.278,-0.888,-0.743,3
-1.359,-0.737,-0.36,-0.902,-0.648,-0.872,-0.944,-0.886,-0.714,-1.359,-0.926,-0.861,-1.151,-0.988,-1.063,-1.359,-0.991,-0.88,3
-1.277,-0.56,-0.205,-0.764,-0.475,-0.74,-0.761,-0.731,-0.55,-1.277,-0.734,-0.638,-0.99,-0.803,-0.942,-1.277,-0.866,-0.69,3
-1.216,-0.578,0.01,-0.49,-0.303,-0.703,-0.436,-0.465,-0.296,-1.216,-0.572,-0.471,-0.842,-0.644,-0.839,-1.216,-0.774,-0.654,3
-1.26,-1.086,-0.811,-1.019,-0.906,-1.113,-0.853,-0.814,-0.814,-1.26,-0.701,-0.588,-0.887,-0.754,-1.102,-1.26,-0.926,-0.97,4
-1.14,-0.994,-0.707,-0.9,-0.798,-1.08,-0.779,-0.777,-0.837,-1.14,-0.799,-0.725,-0.881,-0.818,-1.172,-1.14,-0.863,-0.943,4
-1.207,-1.058,-0.814,-0.972,-0.874,-1.089,-0.829,-0.805,-0.826,-1.207,-0.736,-0.647,-0.879,-0.775,-1.149,-1.207,-0.885,-1.015,4
-1.296,-1.102,-0.715,-1.015,-0.869,-1.077,-0.827,-0.779,-0.662,-1.296,-0.645,-0.493,-0.858,-0.707,-1.034,-1.296,-0.951,-0.962,4
-1.245,-1.15,-0.926,-1.071,-0.995,-1.177,-0.953,-0.917,-0.925,-1.245,-0.85,-0.753,-0.947,-0.864,-1.155,-1.245,-0.981,-1.147,4
-1.45,-1.218,-0.955,-1.208,-1.072,-1.258,-1.08,-1.018,-0.981,-1.45,-0.998,-0.919,-1.157,-1.029,-1.256,-1.45,-1.179,-1.18,4
-1.253,-1.151,-0.901,-1.051,-0.975,-1.168,-0.955,-0.925,-0.926,-1.253,-0.826,-0.742,-0.955,-0.845,-1.117,-1.253,-0.952,-1.064,4
-1.081,-0.941,-0.64,-0.805,-0.71,-0.967,-0.671,-0.665,-0.671,-1.081,-0.647,-0.57,-0.753,-0.677,-1.096,-1.081,-0.791,-0.94,4
-1.269,-1.056,-0.785,-1.041,-0.917,-1.12,-0.832,-0.783,-0.802,-1.269,-0.661,-0.48,-0.84,-0.734,-1.093,-1.269,-0.925,-0.977,4
-1.27,-1.09,-0.797,-1.023,-0.901,-1.08,-0.894,-0.835,-0.821,-1.27,-0.806,-0.687,-0.929,-0.836,-1.135,-1.27,-0.972,-1.023,4
-1.148,-1.05,-0.737,-0.921,-0.826,-1.055,-0.813,-0.783,-0.827,-1.148,-0.8,-0.723,-0.851,-0.794,-1.147,-1.148,-0.876,-1.044,4
-1.273,-1.069,-0.809,-1.055,-0.92,-1.146,-0.929,-0.9,-0.926,-1.273,-0.813,-0.726,-0.937,-0.833,-1.157,-1.273,-0.942,-1.036,4
-1.029,-0.977,-0.7,-0.803,-0.739,-0.988,-0.715,-0.707,-0.779,-1.029,-0.653,-0.546,-0.711,-0.652,-1.01,-1.029,-0.758,-0.977,4
-1.24,-1.14,-0.901,-1.049,-0.967,-1.136,-0.85,-0.822,-0.847,-1.24,-0.766,-0.669,-0.9,-0.79,-1.104,-1.24,-0.96,-1.075,4
-1.022,-0.996,-0.599,-0.733,-0.683,-0.975,-0.687,-0.681,-0.756,-1.022,-0.6,-0.54,-0.705,-0.609,-0.945,-1.022,-0.663,-0.812,4
-1.191,-0.995,-0.69,-0.906,-0.786,-1.006,-0.817,-0.783,-0.827,-1.191,-0.752,-0.667,-0.851,-0.764,-1.091,-1.191,-0.826,-0.903,4
-1.147,-1.025,-0.785,-0.937,-0.854,-1.088,-0.814,-0.811,-0.871,-1.147,-0.744,-0.67,-0.844,-0.755,-1.074,-1.147,-0.869,-0.913,4
-1.334,-1.113,-0.815,-1.067,-0.933,-1.145,-0.935,-0.881,-0.844,-1.334,-0.851,-0.74,-0.992,-0.865,-1.119,-1.334,-1.044,-1.045,4
-1.379,-1.114,-0.793,-1.092,-0.935,-1.168,-1.053,-1.008,-0.955,-1.379,-0.931,-0.831,-1.072,-0.951,-1.167,-1.379,-1.004,-1.065,4
-1.077,-0.936,-0.586,-0.796,-0.698,-0.974,-0.744,-0.719,-0.717,-1.077,-0.735,-0.679,-0.841,-0.751,-1.008,-1.077,-0.805,-0.937,4
-1.302,-1.118,-0.821,-1.052,-0.93,-1.133,-0.899,-0.862,-0.825,-1.302,-0.738,-0.615,-0.92,-0.789,-1.14,-1.302,-0.955,-0.993,4
-1.222,-1.033,-0.718,-0.957,-0.848,-1.067,-0.863,-0.836,-0.844,-1.222,-0.788,-0.71,-0.893,-0.797,-1.099,-1.222,-0.884,-0.98,4
-1.235,-1.064,-0.797,-0.998,-0.888,-1.112,-0.827,-0.803,-0.813,-1.235,-0.749,-0.624,-0.878,-0.781,-1.154,-1.235,-0.92,-1.056,4
-1.16,-0.953,-0.558,-0.86,-0.72,-0.953,-0.85,-0.808,-0.825,-1.16,-0.767,-0.671,-0.852,-0.769,-1.036,-1.16,-0.8,-0.813,4
-1.133,-1.072,-0.808,-0.929,-0.856,-1.077,-0.827,-0.812,-0.881,-1.133,-0.743,-0.661,-0.824,-0.759,-1.104,-1.133,-0.815,-0.999,4
-1.176,-1.057,-0.751,-0.946,-0.844,-1.048,-0.828,-0.807,-0.806,-1.176,-0.759,-0.703,-0.864,-0.775,-1.094,-1.176,-0.892,-1.008,4
-1.257,-1.119,-0.799,-1.01,-0.915,-1.131,-0.879,-0.834,-0.884,-1.257,-0.783,-0.675,-0.926,-0.814,-1.115,-1.257,-0.94,-1.028,4
-1.291,-1.093,-0.822,-1.042,-0.917,-1.133,-0.885,-0.842,-0.838,-1.291,-0.71,-0.583,-0.903,-0.767,-1.109,-1.291,-0.952,-0.942,4
-1.125,-1.019,-0.775,-0.871,-0.788,-1.011,-0.818,-0.797,-0.881,-1.125,-0.791,-0.706,-0.844,-0.791,-1.102,-1.125,-0.822,-1.029,4
-1.4,-1.195,-0.816,-1.117,-0.979,-1.169,-0.962,-0.893,-0.832,-1.4,-0.791,-0.623,-1.005,-0.847,-1.148,-1.4,-1.071,-1.103,4
-1.146,-0.998,-0.691,-0.884,-0.784,-1.098,-0.777,-0.763,-0.827,-1.146,-0.811,-0.731,-0.864,-0.814,-1.175,-1.146,-0.871,-0.917,4
-1.196,-1.092,-0.839,-1.006,-0.913,-1.148,-0.896,-0.878,-0.937,-1.196,-0.875,-0.823,-0.942,-0.881,-1.165,-1.196,-0.94,-1.111,4
-1.205,-1.065,-0.792,-0.965,-0.866,-1.105,-0.897,-0.868,-0.954,-1.205,-0.833,-0.752,-0.904,-0.837,-1.168,-1.205,-0.878,-0.969,4
-1.311,-1.113,-0.751,-1.019,-0.882,-1.123,-0.97,-0.932,-0.925,-1.311,-0.878,-0.781,-1.009,-0.911,-1.182,-1.311,-0.944,-1.039,4
-1.302,-1.118,-0.874,-1.077,-0.957,-1.145,-0.929,-0.891,-0.904,-1.302,-0.818,-0.683,-0.954,-0.852,-1.19,-1.302,-0.988,-1.052,4
-1.009,-0.911,-0.601,-0.75,-0.674,-0.998,-0.664,-0.652,-0.748,-1.009,-0.613,-0.535,-0.696,-0.634,-1.058,-1.009,-0.668,-0.752,4
-1.076,-1.024,-0.742,-0.84,-0.78,-1.036,-0.816,-0.803,-0.908,-1.076,-0.716,-0.672,-0.761,-0.704,-1.07,-1.076,-0.724,-0.966,4
-1.332,-1.076,-0.708,-1.034,-0.873,-1.117,-1.005,-0.954,-0.864,-1.332,-0.849,-0.73,-1.006,-0.87,-1.094,-1.332,-0.931,-0.972,4
-1.154,-0.987,-0.743,-0.92,-0.816,-1.037,-0.77,-0.74,-0.721,-1.154,-0.65,-0.536,-0.78,-0.679,-1.092,-1.154,-0.814,-0.945,4
-1.138,-0.926,-0.598,-0.835,-0.705,-1.028,-0.799,-0.769,-0.756,-1.138,-0.785,-0.696,-0.853,-0.787,-1.082,-1.138,-0.791,-0.909,4
-1.26,-1.135,-0.857,-1.024,-0.925,-1.178,-0.896,-0.868,-0.918,-1.26,-0.795,-0.697,-0.914,-0.813,-1.136,-1.26,-0.946,-1.013,4
-1.345,-1.158,-0.804,-1.076,-0.946,-1.188,-0.925,-0.888,-0.863,-1.345,-0.853,-0.772,-1.023,-0.884,-1.152,-1.345,-1.027,-1.046,4
-1.124,-1.031,-0.649,-0.843,-0.752,-1.04,-0.705,-0.713,-0.721,-1.124,-0.641,-0.508,-0.752,-0.661,-1.062,-1.124,-0.78,-0.876,4
-1.185,-1.036,-0.661,-0.903,-0.79,-0.996,-0.818,-0.783,-0.83,-1.185,-0.751,-0.66,-0.854,-0.757,-1.071,-1.185,-0.828,-0.902,4
-1.251,-1.116,-0.792,-1.016,-0.911,-1.119,-0.866,-0.802,-0.78,-1.251,-0.75,-0.589,-0.878,-0.777,-1.091,-1.251,-0.988,-1.108,4
