@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-10,13,17,20,22-23,25-29,31,33,37,39,41'

@attribute A2 numeric
@attribute A3 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A17 numeric
@attribute A20 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A31 numeric
@attribute A33 numeric
@attribute A37 numeric
@attribute A39 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.818,-0.865,-0.669,-0.644,-0.884,-0.843,-0.952,-1.005,-0.847,-1.015,-0.69,-0.544,-0.858,-0.765,-0.695,-1.131,-0.627,-0.912,-0.65,2
-0.371,-0.66,-0.381,-0.356,-0.778,-0.587,-0.576,-0.717,-0.481,-0.727,-0.399,-0.295,-0.432,-0.397,-0.379,-0.688,-0.288,-0.522,-0.318,2
-0.891,-0.925,-0.756,-0.7,-0.956,-0.757,-0.985,-0.882,-0.878,-0.937,-0.637,-0.499,-0.856,-0.724,-0.633,-1.194,-0.671,-0.874,-0.612,2
-0.685,-0.772,-0.528,-0.487,-0.854,-0.693,-0.879,-0.805,-0.79,-0.99,-0.648,-0.508,-0.804,-0.694,-0.641,-1.086,-0.638,-0.791,-0.575,2
-0.737,-0.717,-0.578,-0.521,-0.792,-0.704,-0.934,-0.809,-0.918,-1.042,-0.744,-0.604,-0.921,-0.822,-0.743,-1.176,-0.668,-0.871,-0.616,2
-0.781,-0.869,-0.622,-0.572,-0.847,-0.839,-0.908,-0.958,-0.812,-0.989,-0.679,-0.565,-0.829,-0.733,-0.688,-1.097,-0.572,-0.837,-0.561,2
-0.682,-0.797,-0.517,-0.478,-0.769,-0.667,-0.909,-0.831,-0.81,-0.951,-0.701,-0.629,-0.795,-0.711,-0.678,-1.026,-0.54,-0.827,-0.583,2
-0.725,-0.838,-0.622,-0.585,-0.906,-0.733,-0.937,-0.895,-0.828,-1.001,-0.68,-0.57,-0.82,-0.74,-0.681,-1.089,-0.65,-0.794,-0.563,2
-0.643,-0.751,-0.522,-0.506,-0.804,-0.637,-0.818,-0.741,-0.799,-0.989,-0.584,-0.431,-0.723,-0.655,-0.584,-1.05,-0.576,-0.78,-0.57,2
-0.683,-0.508,-0.382,-0.27,-0.495,-0.655,-0.95,-0.754,-0.908,-0.899,-0.621,-0.494,-0.891,-0.708,-0.617,-1.257,-0.356,-0.764,-0.381,2
-0.819,-0.875,-0.688,-0.647,-0.861,-0.753,-0.946,-0.868,-0.874,-0.949,-0.716,-0.635,-0.853,-0.75,-0.699,-1.081,-0.619,-0.891,-0.623,2
-0.796,-0.875,-0.652,-0.592,-0.868,-0.814,-0.902,-0.929,-0.816,-0.993,-0.66,-0.524,-0.818,-0.725,-0.666,-1.107,-0.617,-0.877,-0.613,2
-0.792,-0.864,-0.65,-0.606,-0.946,-0.788,-0.942,-0.908,-0.948,-1.106,-0.825,-0.715,-0.948,-0.866,-0.821,-1.185,-0.759,-0.948,-0.711,2
-1.009,-0.994,-0.856,-0.787,-1.04,-0.83,-1.117,-0.949,-1.042,-1.041,-0.777,-0.638,-1.044,-0.863,-0.771,-1.367,-0.827,-1.082,-0.775,2
-0.528,-0.695,-0.434,-0.336,-0.679,-0.359,-0.688,-0.499,-0.659,-0.856,-0.526,-0.371,-0.648,-0.575,-0.482,-0.971,-0.423,-0.728,-0.496,2
-0.64,-0.685,-0.454,-0.371,-0.675,-0.709,-0.891,-0.785,-0.834,-0.913,-0.581,-0.433,-0.814,-0.669,-0.571,-1.168,-0.4,-0.757,-0.436,2
-0.785,-0.807,-0.599,-0.504,-0.822,-0.705,-0.99,-0.788,-0.894,-0.922,-0.605,-0.467,-0.87,-0.697,-0.617,-1.237,-0.439,-0.839,-0.491,2
-0.721,-0.94,-0.619,-0.555,-0.921,-0.744,-0.904,-0.897,-0.857,-1.063,-0.737,-0.606,-0.882,-0.793,-0.725,-1.093,-0.743,-0.931,-0.715,2
-0.789,-0.849,-0.657,-0.631,-0.887,-0.738,-0.941,-0.852,-0.902,-1.037,-0.69,-0.552,-0.862,-0.755,-0.685,-1.164,-0.702,-0.899,-0.663,2
-0.427,-0.529,-0.309,-0.251,-0.469,-0.271,-0.689,-0.442,-0.663,-0.807,-0.572,-0.477,-0.657,-0.604,-0.542,-0.843,-0.372,-0.737,-0.569,2
-0.982,-0.953,-0.772,-0.693,-0.985,-0.871,-1.022,-0.88,-0.988,-1.042,-0.706,-0.525,-0.978,-0.816,-0.685,-1.357,-0.733,-0.99,-0.678,2
-0.566,-0.657,-0.438,-0.398,-0.701,-0.569,-0.832,-0.745,-0.752,-0.944,-0.602,-0.492,-0.743,-0.64,-0.606,-1.015,-0.392,-0.723,-0.459,2
-0.782,-0.672,-0.549,-0.434,-0.711,-0.673,-1.014,-0.784,-1.007,-1.011,-0.723,-0.586,-1.012,-0.816,-0.724,-1.351,-0.501,-0.911,-0.523,2
-0.847,-0.914,-0.688,-0.635,-0.969,-0.837,-1.002,-0.943,-0.932,-1.065,-0.753,-0.61,-0.934,-0.801,-0.74,-1.215,-0.662,-0.908,-0.613,2
-0.835,-0.89,-0.691,-0.644,-0.921,-0.8,-0.95,-0.875,-0.921,-1.065,-0.721,-0.569,-0.894,-0.791,-0.714,-1.212,-0.732,-0.915,-0.669,2
-0.768,-0.821,-0.593,-0.497,-0.819,-0.698,-0.962,-0.763,-0.874,-0.901,-0.6,-0.451,-0.853,-0.688,-0.603,-1.225,-0.431,-0.812,-0.47,2
-0.784,-0.696,-0.528,-0.457,-0.718,-0.556,-0.918,-0.616,-0.91,-0.939,-0.619,-0.45,-0.889,-0.715,-0.597,-1.238,-0.544,-0.906,-0.56,2
-0.754,-0.949,-0.671,-0.639,-0.977,-0.894,-0.981,-1.038,-0.872,-1.105,-0.777,-0.661,-0.823,-0.777,-0.738,-1.107,-0.702,-0.788,-0.622,2
-0.84,-0.884,-0.706,-0.681,-0.981,-0.855,-1.04,-1.038,-0.946,-1.08,-0.798,-0.681,-0.957,-0.853,-0.801,-1.191,-0.765,-0.916,-0.681,2
-0.796,-0.887,-0.633,-0.579,-0.912,-0.793,-0.961,-0.906,-0.906,-1.043,-0.743,-0.616,-0.89,-0.783,-0.729,-1.172,-0.648,-0.866,-0.593,2
-0.859,-0.76,-0.642,-0.531,-0.77,-0.74,-1.071,-0.874,-1.018,-1.02,-0.76,-0.637,-1.035,-0.844,-0.757,-1.331,-0.544,-0.953,-0.588,2
-0.61,-0.714,-0.481,-0.405,-0.762,-0.526,-0.838,-0.64,-0.867,-1.009,-0.738,-0.615,-0.827,-0.796,-0.728,-1.069,-0.608,-0.835,-0.612,2
-0.505,-0.454,-0.378,-0.317,-0.518,-0.298,-0.732,-0.505,-0.669,-0.891,-0.648,-0.539,-0.623,-0.684,-0.619,-0.834,-0.36,-0.698,-0.465,2
-0.762,-0.872,-0.641,-0.598,-0.914,-0.824,-0.996,-0.976,-0.942,-0.966,-0.772,-0.708,-0.947,-0.817,-0.781,-1.163,-0.696,-0.886,-0.679,2
-0.802,-0.795,-0.585,-0.483,-0.819,-0.806,-0.897,-0.829,-0.967,-1.001,-0.757,-0.656,-0.984,-0.838,-0.771,-1.267,-0.581,-0.927,-0.592,2
-0.526,-0.617,-0.386,-0.339,-0.67,-0.528,-0.752,-0.658,-0.714,-0.841,-0.578,-0.509,-0.723,-0.619,-0.581,-0.985,-0.47,-0.686,-0.505,2
-0.765,-0.682,-0.566,-0.46,-0.786,-0.591,-0.995,-0.713,-1.054,-0.968,-0.829,-0.757,-1.041,-0.883,-0.827,-1.265,-0.786,-1.043,-0.755,3
-0.573,-0.564,-0.405,-0.334,-0.78,-0.444,-0.816,-0.57,-0.905,-0.893,-0.699,-0.611,-0.922,-0.766,-0.706,-1.175,-0.672,-0.902,-0.602,3
-0.629,-0.621,-0.468,-0.394,-0.798,-0.511,-0.854,-0.621,-0.892,-0.89,-0.697,-0.607,-0.907,-0.744,-0.684,-1.182,-0.655,-0.896,-0.624,3
-0.572,-0.551,-0.411,-0.323,-0.757,-0.471,-0.794,-0.519,-0.918,-0.902,-0.691,-0.581,-0.925,-0.747,-0.668,-1.235,-0.667,-0.897,-0.585,3
-0.399,-0.527,-0.294,-0.246,-0.733,-0.216,-0.651,-0.325,-0.775,-0.746,-0.49,-0.384,-0.783,-0.574,-0.494,-1.156,-0.66,-0.775,-0.547,3
-0.589,-0.667,-0.416,-0.34,-0.799,-0.41,-0.782,-0.474,-0.903,-0.899,-0.689,-0.613,-0.904,-0.743,-0.687,-1.205,-0.708,-0.932,-0.637,3
-0.733,-0.651,-0.558,-0.464,-0.825,-0.641,-0.985,-0.751,-1.058,-1,-0.859,-0.787,-1.073,-0.921,-0.865,-1.291,-0.708,-1.001,-0.691,3
-0.775,-0.617,-0.585,-0.504,-0.815,-0.606,-1.033,-0.769,-1.046,-0.978,-0.843,-0.769,-1.083,-0.924,-0.873,-1.305,-0.819,-1.072,-0.783,3
-0.57,-0.56,-0.411,-0.354,-0.787,-0.479,-0.868,-0.625,-0.932,-0.922,-0.721,-0.631,-0.946,-0.785,-0.722,-1.201,-0.748,-0.913,-0.643,3
-0.762,-0.735,-0.568,-0.455,-0.859,-0.694,-0.981,-0.768,-1.061,-0.99,-0.866,-0.819,-1.059,-0.918,-0.877,-1.272,-0.799,-1.027,-0.765,3
-0.781,-0.768,-0.602,-0.513,-0.91,-0.638,-0.987,-0.752,-1.05,-0.996,-0.818,-0.74,-1.07,-0.893,-0.841,-1.329,-0.804,-1.055,-0.763,3
-0.372,-0.462,-0.248,-0.1,-0.613,-0.201,-0.534,-0.259,-0.785,-0.771,-0.551,-0.468,-0.779,-0.612,-0.555,-1.12,-0.645,-0.836,-0.564,3
-0.459,-0.482,-0.308,-0.265,-0.689,-0.258,-0.677,-0.346,-0.818,-0.847,-0.599,-0.493,-0.808,-0.653,-0.571,-1.162,-0.643,-0.833,-0.565,3
-0.501,-0.507,-0.262,-0.219,-0.686,-0.312,-0.709,-0.378,-0.81,-0.831,-0.605,-0.505,-0.798,-0.647,-0.587,-1.101,-0.655,-0.839,-0.591,3
-0.781,-0.673,-0.601,-0.508,-0.804,-0.595,-0.992,-0.711,-1.003,-0.919,-0.745,-0.654,-1.024,-0.832,-0.768,-1.313,-0.774,-1.035,-0.741,3
-0.545,-0.508,-0.413,-0.286,-0.662,-0.506,-0.826,-0.58,-0.906,-0.878,-0.693,-0.603,-0.901,-0.752,-0.687,-1.156,-0.54,-0.826,-0.501,3
-0.58,-0.568,-0.442,-0.347,-0.828,-0.392,-0.783,-0.457,-0.877,-0.889,-0.669,-0.603,-0.861,-0.726,-0.678,-1.152,-0.735,-0.957,-0.665,3
-0.755,-0.675,-0.516,-0.414,-0.752,-0.519,-0.88,-0.615,-0.953,-0.929,-0.729,-0.646,-0.937,-0.79,-0.719,-1.233,-0.717,-1.02,-0.739,3
-0.79,-0.688,-0.588,-0.484,-0.799,-0.681,-0.995,-0.762,-1.086,-1.072,-0.886,-0.802,-1.091,-0.943,-0.879,-1.344,-0.764,-1.019,-0.714,3
-0.474,-0.536,-0.341,-0.248,-0.744,-0.223,-0.72,-0.336,-0.811,-0.797,-0.57,-0.502,-0.803,-0.645,-0.583,-1.116,-0.665,-0.853,-0.597,3
-0.654,-0.661,-0.476,-0.41,-0.793,-0.526,-0.914,-0.669,-0.937,-0.873,-0.714,-0.647,-0.965,-0.786,-0.735,-1.212,-0.653,-0.919,-0.626,3
-0.633,-0.61,-0.422,-0.376,-0.804,-0.429,-0.772,-0.516,-0.96,-0.94,-0.766,-0.699,-0.953,-0.81,-0.761,-1.197,-0.757,-0.994,-0.691,3
-0.487,-0.517,-0.373,-0.239,-0.725,-0.375,-0.762,-0.509,-0.895,-0.882,-0.66,-0.569,-0.882,-0.725,-0.669,-1.164,-0.461,-0.773,-0.48,3
-0.451,-0.379,-0.319,-0.229,-0.63,-0.243,-0.721,-0.39,-0.678,-0.728,-0.446,-0.349,-0.718,-0.525,-0.46,-1.06,-0.582,-0.756,-0.479,3
-0.505,-0.454,-0.367,-0.278,-0.583,-0.437,-0.788,-0.565,-0.826,-0.877,-0.622,-0.51,-0.787,-0.667,-0.594,-1.102,-0.413,-0.725,-0.445,3
-0.484,-0.471,-0.369,-0.286,-0.665,-0.472,-0.783,-0.595,-0.843,-0.81,-0.615,-0.526,-0.826,-0.667,-0.609,-1.107,-0.462,-0.76,-0.472,3
-0.568,-0.587,-0.409,-0.299,-0.766,-0.423,-0.756,-0.53,-0.928,-0.882,-0.681,-0.608,-0.928,-0.757,-0.709,-1.231,-0.764,-0.941,-0.685,3
-0.645,-0.622,-0.487,-0.402,-0.762,-0.509,-0.797,-0.542,-0.875,-0.872,-0.641,-0.563,-0.876,-0.7,-0.643,-1.236,-0.714,-0.946,-0.683,3
-0.497,-0.532,-0.331,-0.256,-0.706,-0.212,-0.702,-0.345,-0.839,-0.855,-0.615,-0.529,-0.833,-0.683,-0.623,-1.149,-0.686,-0.865,-0.613,3
-0.697,-0.555,-0.464,-0.339,-0.628,-0.535,-0.931,-0.622,-1.001,-0.914,-0.771,-0.677,-1.001,-0.839,-0.777,-1.26,-0.638,-0.94,-0.64,3
-0.732,-0.689,-0.581,-0.467,-0.821,-0.516,-0.933,-0.651,-0.966,-0.914,-0.731,-0.636,-0.965,-0.797,-0.733,-1.229,-0.711,-0.966,-0.66,3
-0.438,-0.367,-0.227,-0.18,-0.535,-0.288,-0.65,-0.312,-0.88,-0.884,-0.651,-0.557,-0.882,-0.711,-0.647,-1.219,-0.506,-0.843,-0.476,3
-0.533,-0.506,-0.378,-0.258,-0.662,-0.216,-0.696,-0.362,-0.815,-0.79,-0.568,-0.492,-0.825,-0.645,-0.59,-1.156,-0.681,-0.902,-0.646,3
-0.743,-0.667,-0.579,-0.482,-0.774,-0.696,-1.026,-0.804,-1.028,-0.987,-0.817,-0.725,-1.029,-0.88,-0.811,-1.272,-0.665,-0.989,-0.688,3
-0.614,-0.552,-0.433,-0.364,-0.76,-0.509,-0.818,-0.584,-0.893,-0.89,-0.662,-0.578,-0.896,-0.73,-0.669,-1.215,-0.662,-0.945,-0.664,3
-0.494,-0.613,-0.36,-0.281,-0.817,-0.438,-0.756,-0.465,-0.869,-0.889,-0.644,-0.535,-0.851,-0.711,-0.636,-1.16,-0.598,-0.815,-0.529,3
-0.431,-0.535,-0.275,-0.19,-0.68,-0.328,-0.638,-0.34,-0.885,-0.856,-0.655,-0.581,-0.89,-0.722,-0.671,-1.234,-0.743,-0.908,-0.664,3
-0.73,-0.657,-0.525,-0.447,-0.783,-0.588,-0.961,-0.735,-0.962,-0.907,-0.726,-0.669,-0.98,-0.803,-0.758,-1.24,-0.679,-0.938,-0.623,3
-0.482,-0.535,-0.331,-0.248,-0.693,-0.419,-0.78,-0.542,-0.857,-0.791,-0.61,-0.53,-0.86,-0.682,-0.624,-1.15,-0.574,-0.804,-0.503,3
-0.659,-0.569,-0.487,-0.372,-0.702,-0.543,-0.941,-0.713,-0.937,-0.928,-0.72,-0.636,-0.941,-0.78,-0.715,-1.231,-0.543,-0.87,-0.53,3
-0.422,-0.554,-0.335,-0.212,-0.752,-0.363,-0.746,-0.468,-0.882,-0.842,-0.63,-0.528,-0.886,-0.7,-0.628,-1.174,-0.548,-0.764,-0.467,3
-0.639,-0.543,-0.471,-0.394,-0.756,-0.516,-0.922,-0.698,-1.044,-1.029,-0.891,-0.825,-1.05,-0.936,-0.893,-1.24,-0.708,-0.972,-0.697,3
-0.501,-0.459,-0.296,-0.231,-0.62,-0.419,-0.709,-0.465,-0.855,-0.831,-0.624,-0.552,-0.861,-0.692,-0.642,-1.183,-0.552,-0.881,-0.537,3
-0.56,-0.574,-0.411,-0.369,-0.804,-0.489,-0.75,-0.561,-0.889,-0.847,-0.665,-0.582,-0.905,-0.734,-0.688,-1.194,-0.752,-0.935,-0.673,3
-0.6,-0.567,-0.417,-0.328,-0.717,-0.565,-0.839,-0.655,-0.899,-0.866,-0.654,-0.566,-0.876,-0.714,-0.645,-1.188,-0.615,-0.806,-0.521,3
-0.641,-0.641,-0.525,-0.449,-0.809,-0.614,-0.889,-0.739,-1.019,-0.973,-0.833,-0.759,-1.015,-0.879,-0.827,-1.226,-0.66,-0.916,-0.636,3
-0.671,-0.531,-0.437,-0.349,-0.662,-0.49,-0.912,-0.651,-0.976,-0.875,-0.717,-0.666,-0.98,-0.79,-0.751,-1.249,-0.622,-0.931,-0.578,3
-0.64,-0.6,-0.491,-0.432,-0.836,-0.502,-0.866,-0.636,-0.939,-0.884,-0.705,-0.638,-0.95,-0.783,-0.732,-1.219,-0.773,-0.978,-0.707,3
-0.606,-0.503,-0.419,-0.292,-0.621,-0.504,-0.861,-0.619,-0.913,-0.889,-0.723,-0.658,-0.925,-0.776,-0.726,-1.181,-0.581,-0.879,-0.565,3
-0.555,-0.593,-0.392,-0.335,-0.771,-0.42,-0.794,-0.536,-0.874,-0.851,-0.648,-0.554,-0.884,-0.706,-0.649,-1.175,-0.568,-0.873,-0.559,3
-0.996,-1.065,-0.88,-0.843,-1.087,-0.958,-0.965,-1.011,-0.865,-1.091,-0.697,-0.556,-0.835,-0.737,-0.688,-1.251,-0.798,-0.997,-0.752,4
-1.065,-1.127,-0.955,-0.925,-1.13,-1.065,-1.072,-1.156,-1.016,-1.175,-0.885,-0.807,-1.006,-0.896,-0.872,-1.299,-0.952,-1.1,-0.909,4
-0.825,-0.992,-0.747,-0.742,-1.083,-0.841,-0.877,-0.951,-0.795,-1.061,-0.683,-0.588,-0.783,-0.693,-0.688,-1.118,-0.756,-0.935,-0.724,4
-0.949,-1.061,-0.869,-0.861,-1.104,-0.917,-0.996,-1.056,-0.851,-1.069,-0.75,-0.676,-0.875,-0.773,-0.766,-1.177,-0.868,-1.022,-0.865,4
-0.949,-1.066,-0.851,-0.832,-1.09,-0.88,-0.939,-0.977,-0.814,-1.108,-0.696,-0.561,-0.816,-0.735,-0.688,-1.213,-0.821,-0.968,-0.762,4
-0.966,-1.067,-0.83,-0.781,-1.08,-0.911,-1.038,-1.015,-0.96,-1.077,-0.791,-0.711,-0.98,-0.834,-0.798,-1.284,-0.881,-1.033,-0.837,4
-0.911,-1.042,-0.834,-0.835,-1.099,-0.901,-0.934,-1.076,-0.831,-1.069,-0.752,-0.688,-0.852,-0.776,-0.784,-1.141,-0.772,-1.006,-0.819,4
-0.957,-1.056,-0.856,-0.826,-1.086,-1.034,-0.998,-1.084,-0.912,-1.138,-0.811,-0.735,-0.918,-0.824,-0.814,-1.22,-0.862,-1.041,-0.855,4
-0.995,-1.111,-0.897,-0.867,-1.105,-1.006,-0.993,-1.069,-0.869,-1.119,-0.73,-0.612,-0.868,-0.747,-0.722,-1.233,-0.785,-1.022,-0.777,4
-1.079,-1.127,-0.97,-0.931,-1.159,-0.946,-1.015,-1.014,-0.921,-1.086,-0.718,-0.596,-0.919,-0.772,-0.732,-1.325,-0.919,-1.081,-0.857,4
-0.929,-1.071,-0.84,-0.819,-1.055,-0.835,-0.903,-0.886,-0.753,-1.037,-0.605,-0.46,-0.76,-0.648,-0.626,-1.159,-0.825,-0.964,-0.797,4
-0.942,-1.046,-0.881,-0.879,-1.086,-0.913,-0.938,-1.046,-0.853,-1.127,-0.782,-0.703,-0.84,-0.769,-0.759,-1.137,-1.031,-1.032,-0.993,4
-0.916,-1.01,-0.816,-0.791,-1.007,-0.905,-0.954,-1.077,-0.787,-1.045,-0.693,-0.627,-0.801,-0.711,-0.706,-1.145,-0.774,-0.92,-0.733,4
-0.906,-1.045,-0.818,-0.796,-1.048,-0.889,-0.988,-1.05,-0.838,-1.083,-0.74,-0.676,-0.848,-0.755,-0.749,-1.166,-0.883,-0.928,-0.807,4
-0.766,-0.961,-0.717,-0.72,-1.034,-0.82,-0.86,-0.907,-0.722,-1.025,-0.633,-0.516,-0.723,-0.646,-0.615,-1.044,-0.751,-0.854,-0.699,4
-0.956,-1.095,-0.864,-0.837,-1.08,-0.879,-0.936,-0.949,-0.832,-1.081,-0.726,-0.629,-0.845,-0.742,-0.723,-1.168,-0.887,-1.002,-0.853,4
-0.911,-1.001,-0.789,-0.756,-1.008,-0.908,-0.937,-0.981,-0.861,-1.155,-0.774,-0.674,-0.817,-0.761,-0.74,-1.164,-0.917,-0.96,-0.806,4
-1.034,-1.149,-0.929,-0.886,-1.178,-0.902,-1.063,-0.972,-0.996,-1.169,-0.834,-0.725,-0.98,-0.859,-0.815,-1.324,-0.93,-1.08,-0.851,4
-1.056,-1.117,-0.947,-0.921,-1.14,-1.007,-1.033,-1.069,-0.918,-1.082,-0.741,-0.621,-0.931,-0.792,-0.743,-1.285,-0.884,-1.056,-0.831,4
-1.127,-1.135,-1.017,-0.989,-1.165,-0.99,-1.084,-1.067,-0.939,-1.173,-0.785,-0.639,-0.96,-0.841,-0.799,-1.337,-1.034,-1.1,-0.919,4
-0.958,-1.034,-0.828,-0.784,-1.072,-0.924,-1.023,-1.011,-0.956,-1.097,-0.793,-0.703,-0.951,-0.825,-0.792,-1.268,-0.878,-1.001,-0.805,4
-0.853,-1.009,-0.776,-0.754,-1.069,-0.909,-0.934,-1.028,-0.81,-1.091,-0.717,-0.625,-0.795,-0.727,-0.711,-1.132,-0.805,-0.919,-0.758,4
-1.143,-1.192,-1.038,-0.998,-1.226,-0.977,-1.122,-1.08,-1.029,-1.156,-0.829,-0.714,-1.035,-0.896,-0.849,-1.395,-1.028,-1.161,-0.953,4
-0.926,-1.001,-0.805,-0.765,-1.053,-0.884,-0.991,-0.995,-0.933,-1.131,-0.832,-0.758,-0.949,-0.846,-0.827,-1.228,-0.893,-1.035,-0.845,4
-1.1,-1.171,-0.976,-0.931,-1.187,-0.898,-1.055,-0.965,-1.004,-1.139,-0.79,-0.655,-1.012,-0.846,-0.785,-1.374,-1.037,-1.139,-0.92,4
-0.876,-1.055,-0.781,-0.759,-1.052,-0.911,-0.978,-1.072,-0.826,-1.044,-0.716,-0.65,-0.837,-0.724,-0.707,-1.147,-0.825,-0.901,-0.76,4
-0.898,-0.973,-0.781,-0.752,-1.006,-0.877,-0.964,-0.969,-0.856,-1.082,-0.752,-0.69,-0.851,-0.763,-0.745,-1.184,-0.782,-0.968,-0.756,4
-1.088,-1.12,-0.988,-0.959,-1.13,-1.025,-1.053,-1.127,-0.927,-1.182,-0.816,-0.701,-0.938,-0.843,-0.808,-1.279,-0.996,-1.076,-0.938,4
-1.13,-1.156,-1.015,-0.974,-1.169,-0.996,-1.055,-1.016,-0.987,-1.16,-0.791,-0.655,-0.97,-0.837,-0.786,-1.363,-1.033,-1.132,-0.946,4
-1.119,-1.185,-1.016,-0.984,-1.197,-0.959,-1.06,-1.044,-0.991,-1.16,-0.789,-0.653,-0.95,-0.828,-0.781,-1.346,-1.031,-1.104,-0.919,4
-0.878,-1.028,-0.776,-0.743,-1.066,-0.859,-0.915,-0.934,-0.845,-1.102,-0.723,-0.618,-0.825,-0.738,-0.714,-1.181,-0.808,-0.94,-0.753,4
-0.946,-1.024,-0.85,-0.839,-1.088,-0.957,-0.949,-1.015,-0.84,-1.174,-0.744,-0.609,-0.828,-0.758,-0.731,-1.189,-0.887,-1.018,-0.85,4
-1.034,-1.065,-0.934,-0.911,-1.089,-0.967,-0.981,-1.065,-0.918,-1.178,-0.815,-0.7,-0.899,-0.829,-0.806,-1.224,-1.003,-1.079,-0.963,4
-0.883,-1.04,-0.801,-0.782,-1.039,-0.907,-0.964,-1.085,-0.796,-1.03,-0.691,-0.616,-0.81,-0.699,-0.675,-1.126,-0.845,-0.9,-0.763,4
-0.942,-1.041,-0.835,-0.81,-1.11,-0.935,-1.007,-1.05,-0.96,-1.172,-0.885,-0.819,-0.994,-0.904,-0.895,-1.245,-0.965,-1.075,-0.926,4
-0.879,-0.98,-0.78,-0.754,-0.985,-0.867,-0.913,-0.995,-0.751,-1.018,-0.641,-0.552,-0.774,-0.653,-0.634,-1.127,-0.773,-0.895,-0.699,4
-0.863,-1,-0.791,-0.786,-1.079,-0.872,-0.891,-0.999,-0.77,-1.007,-0.657,-0.585,-0.781,-0.685,-0.687,-1.119,-0.748,-0.917,-0.714,4
-0.924,-0.987,-0.83,-0.795,-1.054,-0.923,-0.966,-1.011,-0.891,-1.173,-0.813,-0.73,-0.891,-0.811,-0.794,-1.206,-0.92,-1.028,-0.87,4
