@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7-8,12,19,24,27-28,32,35,39,41-42,44,46,49,52-58'

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_will numeric
@attribute Word_freq_you numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.14,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0.269,0.08,0.484,15.086,74,1222,1
0.13,0.13,0.41,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531,20,144,1
0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.186,0,4,23,84,1
0.42,0,0.42,0.84,0,0,0,0,0,0,0,0,0,0,0,0.187,0,1.002,7.951,74,493,1
0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0.574,0,0,5.833,30,105,1
0,0.35,0.71,2.85,0,0,0,0,0,0,0,0,0,0,0,0.233,0.233,0,3.414,25,140,1
0,0,0,6.14,0.87,0,0,0,0,0,0,0,0,0,0.075,0,0.151,0,5.086,33,117,1
0.23,0.35,0.95,1.9,0.11,0,0,0,0,0,0,0,0,0,0,0.42,0.191,0.21,8.026,283,1509,1
0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,3.871,26,151,1
0,0,1.21,1.21,0.4,0,0,0,0,0,0,0,0,0,0,0.121,0.121,0,2.61,10,261,1
0,1.16,1.74,4.95,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,1.095,4,46,1
1.07,0.26,0.8,3.5,0.26,0,0,0,0,0,0,0,0,0,0,0.324,0,0,7.369,52,339,1
0,0.16,0.57,3.47,0.66,0,0,0,0,0,0,0,0,0,0,0.213,0.113,0,3.15,76,441,1
1.25,0,0.62,5,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,2.35,29,134,1
0,0,1.03,3.62,0.51,0,0,0,0,0,0,0,0,0,0,0.176,0.176,0,2.766,26,83,1
0.19,0.19,0.98,2.56,1.38,0,0,0,0,0,0,0,0,0,0,0.749,0.31,0.025,6.652,76,632,1
0,0.15,0.15,0.93,0,0,0,0,0,0,0,0,0,0,0.071,0.095,0.023,0,62.75,1505,2761,1
0,0.57,0.11,3.07,1.14,0,0,0,0,0.11,0,0,0,0,0.067,0.388,0.236,0.016,9.827,164,1592,1
0.05,0.24,1.01,3.3,0.35,0,0,0,0,0,0,0,0,0,0,0.322,0.626,0.165,6.896,193,3269,1
0.5,0,0.7,1.31,0.1,0,0,0,0,0,0,0,0,0.1,0,0.474,0.152,0.015,8.55,669,1351,1
0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307,16,30,1
0,0.09,0.59,4.09,0.49,0,0,0,0,0,0,0,0,0,0,0.19,0.247,0,2.324,19,365,1
0.4,0.1,0.5,2.34,0.3,0,0,0,0.1,0.1,0,0,0,0,0,0.928,0.384,0.032,3.179,56,1043,1
0.03,0.1,0.7,3.18,0.63,0,0,0,0,0,0,0,0,0,0,0.452,0.528,0.116,6.152,260,2184,1
0.94,0,1.88,4.71,0.94,0,0,0,0,0,0,0,0,0,0,0.163,1.305,0,2.571,20,36,1
1.04,0,1.04,3.66,0,0,0,0,0,0,0,0,0,0,0.062,0.621,0.062,0.062,3.902,59,160,1
0,0.56,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,1.661,6,118,1
0.03,0.1,0.7,3.19,0.63,0,0,0,0,0,0,0,0,0,0,0.453,0.543,0.119,6.305,286,2207,1
2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,3,11,24,1
0.59,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0.052,0.105,0,2.886,27,127,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.166,19,49,1
0,0,0.32,1.96,0,0,0,0,0,0,0,0,0,0,0,0.276,0.83,0.166,3.8,33,228,1
0.17,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0.278,0.216,0.836,8.523,58,895,1
0.72,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0.124,0.124,0,1.781,12,114,1
0.13,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,1.728,12,204,1
0.16,0.16,0.33,2.47,0.16,0,0,0,0,0,0,0,0,0,0,0.076,0.101,0.05,2.03,32,264,1
0.16,0.16,0.33,2.37,0.16,0,0,0,0,0,0,0,0,0,0,0.08,0.107,0.053,2.015,32,258,1
0.05,0.05,0.52,4.24,0.05,0,0,0,0,0,0,0,0,0,0.01,0.02,0.163,0,1.796,12,460,1
0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.431,0.215,0,0.539,7.552,43,506,1
0,0.18,0.72,2,0.09,0,0,0,0,0,0,0,0,0,0.015,0.252,0.031,0.031,3.816,69,542,1
1.08,0,0.54,3.26,0,0,0,0,0,0,0,0,0,0,0,0.347,0,0,1.325,5,53,1
0.07,0,0.82,3.29,0.22,0,0,0,0.07,0,0,0,0,0,0,0.119,0.071,0.167,3.429,74,974,1
1.02,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0.071,1.212,0,7.025,130,281,1
0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,3.809,28,80,1
0.73,0,0,1.47,0,0,0,0,0,0.73,0,0,0,0,0,0.088,0,0,3.048,29,125,1
0,0.36,0.63,1.27,0.09,0,0,0,0,0,0,0,0,0,0,0.03,0.015,0,4.192,48,566,1
0.91,0,0.91,4.58,0,0,0,0,0,0,0,0,0,0,0,0.455,0,0,2.842,10,54,1
0,0.47,2.35,1.88,0,0,0,0,0,0,0,0,0,0,0,1.687,0.168,0.084,57.23,636,744,1
0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0,3.476,16,73,1
0,0,0.36,3.69,0.36,0,0,0,0,0,0,0,0,0,0,0.238,0.059,0,2.93,29,211,1
0.32,0.32,0.32,2.28,0.32,0,0,0,0,0,0,0,0,0,0,0,0.169,0,1.494,10,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.174,0.174,0.437,9.186,126,937,1
0,0.24,0.49,2.47,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0,2.868,44,175,1
0.32,0.64,0.32,2.27,0.32,0,0,0,0,0,0,0,0,0,0,0,0.168,0,1.494,10,139,1
0.32,0.64,0.32,2.27,0.32,0,0,0,0,0,0,0,0,0,0,0,0.168,0,1.494,10,139,1
0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.601,0.133,1.068,10.578,108,603,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,2.588,15,277,1
0,0,1.4,1.86,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,2.673,21,139,1
0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0.355,0.118,0,2.315,12,132,1
0,0.54,0.27,1.08,0.54,0,0,0,0,0,0,0,0,0,0,0.458,0.504,0,2.934,64,578,1
0,0,0.62,3.14,0,0,0,0,0,0,0,0,0,0,0,0.39,0.438,0.097,3.322,61,319,1
0,0.36,0.72,1.08,0,0,0,0,0,0,0,0,0,0,0,1.203,0.467,0.066,18.4,393,736,1
0.09,0,0.48,0.77,0,0,0,0,0,0,0,0,0,0,0.063,0.559,0.047,0.031,1.694,23,432,1
0.81,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0.123,0,0.123,0.185,4.793,23,302,1
0.05,0.05,0.52,4.25,0.05,0,0,0,0,0,0,0,0,0,0.01,0.01,0.162,0,1.794,12,454,1
0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,2.909,20,64,1
2.2,0,0.55,3.31,0,0,0,0,0,0,0,0,0,0,0,0.496,0,0.082,16.826,148,387,1
0.69,0,0.69,5.9,0.34,0,0,0,0,0,0,0,0,0,0,0.379,0.063,0,2.042,12,96,1
2.16,0,0.54,3.24,0,0,0,0,0,0,0,0,0,0,0,0.488,0,0.081,15.16,148,379,1
0.28,0.28,0.28,1.01,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,2.293,32,477,1
0.31,0.31,0.31,2.55,0.31,0,0,0,0,0,0,0,0,0,0,0,0.163,0.054,1.515,10,144,1
0,0.36,0.36,2.94,0.36,0,0,0,0,0,0,0,0.36,0,0,0.653,0.118,0,1.53,13,75,1
0,0,0.41,3.73,0.41,0,0,0,0,0,0,0,0,0,0,0.48,0.549,0,3.166,19,114,1
0,0.37,2.65,2.27,0,0,0,0,0,0,0,0,0,0,0,1.246,0.196,0.065,62.5,845,1000,1
0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,5.809,46,122,1
1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.939,0,0,1.379,8,40,1
1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.947,0,0,1.379,8,40,1
0.19,0,0.69,1.38,0,0,0,0,0,0,0,0,0,0,0.017,0.586,0.189,0.017,2.349,31,477,1
0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0.441,0,0,1.372,4,70,1
1.47,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.147,0,71.5,281,286,1
0,0,0.98,2.45,0,0,0,0,0,0,0,0,0,0,0,0.677,0.254,0,5.2,80,234,1
0,0,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,0.924,0,0,1.966,10,59,1
0,0,1.25,4.6,0.2,0,0,0,0,0.2,0,0,0,0,0,0.345,0.345,0.306,5.132,37,426,1
0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0.464,0,0,1.392,4,78,1
0,0,0.67,1.68,0,0,0,0,0.33,0,0,0,0,0.33,0.28,0.112,0.336,0,2.96,19,222,1
0.19,0.97,1.07,3.81,0.29,0,0,0,0,0.09,0,0,0,0,0,0.405,0.233,0.031,4.32,49,877,1
0,0,1.3,2.61,0,0,0,0,0,0,0,0,0,0,0,0.515,0.103,0,2.04,12,51,1
0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0.222,0.444,0.37,0,2.413,16,140,1
0,0.43,0.35,1.4,0.17,0,0,0,0,0,0,0,0,0,0,0.25,0.721,0,2.742,35,617,1
0.8,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,3.115,19,81,1
0,0.05,1.11,3.56,0.57,0,0,0,0,0,0,0,0,0,0,0.273,0.15,0.159,6.789,195,3327,1
0.08,0.24,0.57,2.89,0.41,0,0,0,0,0,0,0,0,0,0,0.271,0.191,0.095,4.904,264,667,1
0,0,2.58,4.55,0.98,0,0,0,0,0,0,0,0,0,0,0.104,0.229,0.02,3.705,54,478,1
0,0.19,0.7,3.16,0.46,0,0,0,0,0,0,0,0,0,0.006,0.381,0.496,0.133,7.192,543,2424,1
0.25,0.17,0.59,1.61,0.08,0,0,0,0,0,0,0,0.08,0.08,0,0.403,0.117,0.013,7.484,669,1407,1
0.09,0,0.48,1.66,0.19,0,0,0,0,0,0,0,0,0,0,0.31,0.155,0,6.813,494,1458,1
0.38,0,1.16,2.72,0,0,0,0,0,0,0,0,0,0,0,0.057,0.057,0,7.121,70,235,1
0,0,0.45,3.21,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,1.076,4,42,1
0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,7.333,0,0,1.666,5,15,1
0,0,0.87,1.75,0,0,0,0,0,0,0,0,0,0,0,0.941,0.067,0,2.329,28,226,1
0,0.12,0.85,2.33,0,0,0,0,0,0,0,0,0,0,0.063,0.042,0.042,0,2.351,69,254,1
0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,2.695,0,0,2.315,12,44,1
0,0,1.59,3.67,0.09,0,0,0,0,0,0,0,0,0,0.766,5.836,1.31,0,5.792,54,753,1
0.25,0,0.51,1.55,0,0,0,0,0,0,0,0,0,0,0,0.161,0.161,0.04,9.633,110,578,1
0,0,0.57,4.31,0.07,0,0,0,0,0,0,0,0,0,0.012,0,0.206,0,1.711,10,380,1
0,0.35,0.7,3.12,0.46,0,0,0,0,0,0,0,0,0,0.006,0.324,0.486,0.126,6.11,116,2218,1
0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0.559,0.279,0,2.297,12,108,1
1.11,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,4,16,40,1
0,0.16,2.13,1.47,0.32,0,0,0,0,0,0,0,0.16,0,0,0,0.29,0.029,2.257,13,158,1
0.08,1.04,0.69,1.82,0.34,0,0,0,0,0,0,0,0,0.08,0.096,0.358,0.261,0.11,3.554,54,981,1
0.35,0,0.53,3.76,0.53,0,0,0,0,0,0,0,0,0,0,0.234,0.029,0,3.519,97,359,1
0.17,0.52,0.52,0.87,0,0,0,0,0,0,0,0,0,0,0.029,0.117,0.058,0.235,3.521,39,419,1
0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0.709,0,1.56,7.82,39,305,1
0.28,0,0.86,2.88,0,0,0,0,0,0,0,0,0,0,0,0.218,0.218,0,3.694,40,218,1
0,0,0.84,2.37,0.33,0,0,0,0,0,0,0,0,0,0,0.458,0.143,0.028,6.298,247,781,1
0,0.04,1.37,3.47,0.84,0,0,0,0,0,0,0,0.02,0,0.016,0.639,0.165,0.182,3.697,117,3498,1
0,0.07,0.46,0.15,0.07,0,0,0,0,0,0,0,0,0,0.011,0,0.023,0,1.263,10,264,1
0.14,0.58,0.14,1.9,0.29,0,0,0,0,0,0,0,0,0,0,0.558,0.024,0,1.517,12,217,1
0.08,0.42,0.6,1.2,0.08,0,0,0,0,0,0,0,0,0,0,0.098,0.014,0,4.049,48,575,1
0,0,1.17,4.11,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0,3.807,61,297,1
0.61,0.4,1.01,1.83,0,0,0,0,0,0,0,0,0,0,0,1.232,0,0,4.159,142,287,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,3.768,0,0,4.833,29,87,1
0,0,0.79,4.92,0.74,0,0,0,0,0,0,0,0,0,0.008,0.145,0.121,0.008,3.575,127,640,1
0,0,0.93,0.35,0,0,0.35,0,0,0,0,0.35,0,0.46,0,0.016,0,0,2.47,41,504,1
0,0.38,1.16,1.93,0.38,0,0,0,0,0,0,0,0,0,0,0.601,0.12,0,2.666,22,160,1
0.06,0.2,0.68,3.68,0.27,0,0,0,0,0,0,0,0,0,0.013,0.474,0.197,0.065,3.286,53,608,1
0,0.42,0.64,4.07,0,0,0,0,0,0,0,0,0,0,0,0.432,0.18,0.072,4.391,36,303,1
0,0,0.43,1.31,0,0.43,0,0,0,0,0,0,0,0,0,0.298,0.149,0.074,2.955,47,133,1
0.9,0.45,0.45,2.26,0,0,0,0,0,0,0,0,0,0,0,0.82,0.41,0,2.446,12,137,1
0.91,0,2.75,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.941,12,33,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0,0,0,4.333,13,78,1
0.08,1.06,0.71,1.86,0.35,0,0,0,0,0,0,0,0,0.08,0.098,0.353,0.254,0.113,3.598,54,968,1
0.68,0,1.36,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,6.588,68,112,1
1.43,0,0.95,2.87,0,0,0,0,0,0,0,0,0,0,0,0.694,0,0,7.709,164,239,1
0,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,1.149,0,0,1.461,3,19,1
0.54,0,2.18,2.73,0,0,0,0,0,0,0,0,0,0,0,1.466,0.258,0.086,31.388,392,565,1
0.19,0,0.57,1.71,0,0,0,0,0,0,0,0,0,0,0,0.212,0.303,0,11.242,132,742,1
0,0,0,0,0.48,0,0,0,0,0,0,0,0,0.48,0,0.175,0.467,0.116,9.56,259,717,1
0.4,0.4,0,3.6,0.4,0,0,0,0,0,0,0,0,0,0,0.124,0,0,1.94,12,97,1
0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.207,0,3.761,25,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.022,0.022,0.022,3.482,5,5902,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,1.85,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,2,11,26,0
0,0,0,0,0,0,0,0,0,2.89,0,2.89,0,0,0,0,0,0,2.38,8,50,0
0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0,2,4,16,0
0,0,3.76,0.26,0,0,0,0,0.26,0,0,0,0,0,0,0.045,0,0,1.837,11,158,0
0,0.04,0.08,0.08,0,0.02,0,0,0,0,0,0.02,0,0,0.185,0,0.006,0,2.838,52,2078,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0.123,0,0,2.063,34,130,0
0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0.303,0,0,0,1.6,9,24,0
0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0.214,0,0,1.263,4,24,0
0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,2.025,7,81,0
0,0,1.4,1.4,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,18,200,378,0
0,0,0,1.66,0,0,1.66,0,1.66,3.33,0,0,0,0,0,0.167,0,0,1.533,10,46,0
0,0,0.52,0.52,0,0.13,0,0,0,0,0,0,0,0,0.128,0,0.036,0,3.185,32,481,0
0,0,1.12,4.49,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0,0,1.23,4,32,0
0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.365,0,3.016,10,187,0
0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,1.545,6,17,0
0,0,2.32,5.11,0,0,0,0,0,1.39,0,0.93,0,0,0,0.065,0,0,2,13,86,0
0,0,0,0.52,0,1.05,0.52,0.52,0.52,0.52,0,0,0,0,0.171,0,0,0,2.225,13,158,0
0,0,0,1.85,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,1,1,19,0
0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0
0,0,0,0,0,0,1.33,0,1.33,0,0,0,0,0,0,0.144,0,0,1.857,10,39,0
0,0,0,2.1,0,1.4,0.35,0.35,0.35,0,0,0,0,0,0,0,0,0,1.746,13,145,0
0,0,0,1.08,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,1.263,4,24,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0.074,4.308,28,293,0
0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.727,5,19,0
0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0.213,0,0,1.75,6,49,0
0,0,1.6,0,0,0.53,0,0,0,1.6,0,0.53,0,0,0.425,0,0,0,2.567,15,172,0
0,0,0,0.93,0,1.4,0.46,0.46,0.46,0,0,0,0,0,0.151,0.075,0.075,0,2.482,12,139,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,1.04,0,3.12,0,0,0,0,0,1.04,0,0,0,0,0,0,1,1,17,0
0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.318,25,51,0
0,0,1.39,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,1.268,4,52,0
0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,1.666,7,25,0
0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,5,62,0
0,0,0,1.23,0,3.7,2.46,0,0,0,0,0,0,0,0,0,0,0,2.142,10,75,0
0,0.13,1.1,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,2.064,23,322,0
0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.058,1.755,9,79,0
0,0,3.79,0,0,0,1.26,0,1.26,0,0,0,0,0,0,0.147,0,0,1.962,10,53,0
0,0,0.42,0.42,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,2.161,5,294,0
0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416,3,17,0
0,0,0.45,2.28,0,0,0,0,0,0,0,0,0,0,0,0.486,0,0,3.782,31,87,0
0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.217,9,204,0
0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0.305,0.381,0,1.884,9,98,0
0,0,0.43,1.29,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,1.341,6,55,0
0,0,1.29,2.59,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0
0,0,0.25,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.196,5,67,0
0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4,36,0
0,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,2.25,8,27,0
0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.13,3.475,7,139,0
0,0,0,1.43,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,1.863,5,41,0
0,0,1.09,2.19,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,2.409,11,53,0
0,0,0,3.77,0,0,0,0,0,1.88,0,0,0,0,0,0.366,0,0,2,15,28,0
0,0,0,0,0,0,0,0,0,3.7,0,3.7,0,0,0,0,0,0,1.888,5,17,0
0,0,0,0.82,0,1.65,0.82,0.82,0.82,0,0,0,0,0,0,0.24,0,0,4.666,34,126,0
0,0,0.36,0.48,0,0.12,0,0,0,0,0,0,0,0,0.117,0,0.033,0,4.134,78,645,0
0,0,0,1.12,0,1.12,0,0,0,0,0,0,0,0,0,0.203,0,0.203,2.222,20,40,0
0,0,0.24,1.23,0,0,0.49,0,0.49,0,0,0,0,0,0.029,0,0,0,3.574,75,336,0
