@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R6,16,19-20,32-33,35-36,38,44-45,52-55,57-58'

@attribute Word_freq_over numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.57,0.19,2.11,1.15,0,0,0.19,0,0,0,0,0.437,0.191,0.054,14.406,922,1
0.59,5.91,1.77,0,0,0,0,0,0,0,0,0.293,0,0,1.69,93,1
0,1.28,3.86,0,0,0,0,0,0,0,0,0.535,0.133,0,11.592,313,1
0.13,0.27,1.09,0,0,0,0,0.13,0,0,0,0.364,0.064,0.686,13.884,1444,1
0,0.12,0.12,0,0,0,0,0.6,0.12,0,0.12,0,0,0,2.337,505,1
0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,1.275,51,1
0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,1.558,53,1
0,0,3.05,0,0,0,0,0,0,0,0.76,0,0,0,1.216,45,1
0,0.66,2.87,0,0,0,0,0,0,0,0,0.659,0.114,0.028,9.1,728,1
0.09,0.15,2.57,0,0,0,0,0,0,0,0.06,0.345,0.42,0.266,8.016,3303,1
0,1.82,4.26,0,0,0,0,0,0,0,0,0.193,0,0,1.861,67,1
0,0.53,1.33,0,0,0,0,0,0,0,0,0.555,0,1.157,19.26,886,1
0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,2.417,162,1
0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,2.269,118,1
0,2.4,2.4,0,0,0,0,0,0,0,0,0.145,0.291,0,2.5,45,1
0.22,0,3.46,0,0,0,0,0,0,0,0,0.441,0.421,0.04,4.945,1449,1
0,0,0.49,0,0,0,0,0,0,0,0,0,0.265,0.088,10.159,447,1
0.3,0.1,2.23,0.5,0,0,0.1,0,0,0,0,1.01,0.397,0.033,3.199,1043,1
0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,1.227,27,1
0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.55,31,1
0,0.8,3.62,0,0,0,0,0,0,0,0.4,0.552,0.207,0.138,6.652,153,1
0,0,0.5,0,0,0,0,0,0,0,0,0,0.267,0.089,10.372,446,1
0.57,0.9,2.38,0.16,0,0,0,0,0,0,0.08,0.241,0.228,0.012,6.544,1466,1
0.33,0.67,3.03,0.33,0,0.33,0,0,0,0,0,0.156,0.104,0.026,6.5,858,1
0,0.33,2.67,0,0,0.33,0,0,0,0,0.33,0.057,0.23,0,5.279,227,1
0.39,0,2.37,0,0,0,0,0,0,0,0,0.64,0.192,0,2.74,74,1
0,0,0.24,0,0,0,0.24,0.24,0,0.49,0,0.149,0,0,10.012,791,0
0,0,0.58,0,0.58,0,0.58,0.58,0,0,0.58,0.282,0,0,1.932,114,0
0,0,3.18,0,0,0,0,0,0,0,0.39,0,0,0.059,2.51,123,0
0,0,0.21,0,0,0,0.21,0,0,0,0,0.161,0,0.182,2.813,723,0
0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,1.392,71,0
0,0,0.69,0,0,0,0,1.38,0,0,0,0,0.08,0,2.488,112,0
0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,1.89,138,0
0,0,0,0,0,0,3.57,3.57,0,0,0,0.239,0,0,1.687,27,0
0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,1.666,45,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,1.2,12,0
0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0.013,0,2.361,562,0
0,0,1.94,0,0,0,1.94,0,0,0,0,0,0,0,8.125,195,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.142,60,0
0,0,0.42,0,0,0,0,0,0,0.84,0,0,0,0,3.34,167,0
0,0,1.04,0,0,0,0,0,0,0,0,0.179,0,0,2.037,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,15,0
0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,4.19,88,0
0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,1.75,21,0
0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,4.295,262,0
0,0,2.22,0,1.11,0,1.11,1.11,0,3.33,1.11,0.176,0,0,2.1,63,0
0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,1.181,13,0
0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,2.682,110,0
0,0,0,0,0,2.38,2.38,0,0,0,0,0.374,0,0,2.85,57,0
2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0,1,5,0
0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,1.125,9,0
0,0,0,0,0,0,0,0,0,0,0,0.078,0,0.235,3.153,618,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,75,0
0,0,1.29,0,0,0,0,0,0,0,1.29,0,0,0,1.857,39,0
0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,4.03,133,0
0,0,0,0,0,0,3.33,0,0,0,0,0,0,0.53,4.052,77,0
0,0,0.9,0,0,0,0.9,0.9,0,0,0,0.225,0,0,1.807,47,0
0,0,1.72,0,0,0,1.72,0,0,0,0,0.25,0,0,2.619,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
0,0,2.39,0,0.39,0,0.39,0.39,0,0,0.39,0,0,0.052,3.153,246,0
0,0,1.08,0,1.08,0,1.08,1.08,0,0,0,0,0,0,2.421,92,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,386,0
0.11,0,1.15,0,0,0.23,0.17,0,0,0.05,0,0.053,0.03,0,2.548,1134,0
0,0,0,0,0,1.19,0,0,0,0,0,0,0,0.216,3.478,80,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,9,0
0,0.33,0.33,0,0,0,0.33,0,0,0.33,0,0,0,0,2.016,125,0
0,0,0.49,0,0,0.74,0,0,0,0,0,0,0.034,0,3.237,505,0
0,0,0.31,0,0.63,0,0.63,0.63,0,0,0.95,0,0.048,0,2.23,261,0
0,0,1.23,0,0,0,1.23,1.23,0,0,0,0.279,0,0,1.736,66,0
0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,2.27,0,2.27,2.27,0,0,0,0,0,0,3.157,60,0
0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,1.5,6,0
0,0,0.27,0,0,0.27,0,0,0,0,0,0,0,0,2.319,167,0
0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,2.304,53,0
0,0,0,0,0,0,0,0.77,0,0.17,0,0,0.011,0,2.45,566,0
0,0,4.25,0,0,1.06,0,0,0,0,0,0.186,0,0,1.25,25,0
0,0,1.78,0,0,0,1.78,0,0,0,0,0.24,0,0,2.833,68,0
0.62,0,2.83,0,0,0,0,0,0,0,0.31,0.096,0,0,2.368,180,0
0,0,0,0,0.73,0,2.2,0.73,0,0,0.73,0,0,0.111,2.351,127,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,17,0
0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,1.785,25,0
0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,1,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.857,41,0
0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,1.6,16,0
0,0,9.52,0,0,0,0,0,0,0,4.76,0,0,0,1.142,8,0
0,0,2.32,0,0,0,1.55,0.77,0,0,0,0.099,0,0,2.325,93,0
0.32,0,1.3,0,0,0,0,0,0,0.65,0,0,0,0,1.3,104,0
0,0,1.98,0,0,0,0,0,0,0,0.28,0,0,0,1.962,155,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,47,0
0,0,0.96,0,0,0,0,0,0,0,0,0.058,0,0,1.068,47,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
0,0.14,0.73,0.14,0,0,0,0,0,0.14,0,0.14,0,0,1.891,522,0
0,0.51,0.51,0,0,0,0,0.51,0,0.51,0,0,0,0,2.076,108,0
0,0,0,0,0,0,0,0.91,0,0,0,0.241,0,0,3.541,85,0
0,0,0.72,0,0,0,0,0,0,0,1.44,0.114,0,0.114,1.645,51,0
0,0,0.54,0,0,0,0,0.54,0,0.54,0,0.087,0,0,2.363,52,0
0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,1.09,12,0
0,0,1.65,0,0,0,0,0,0.55,1.1,0.55,0,0,0,1.84,46,0
0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,2.166,52,0
0.09,0,0.89,0,0,0,0,0,0,0,0.09,0.016,0,0,1.679,178,0
0,0,3.75,0,0,0,0,0,0,0,0,0.054,0,0.054,2.735,145,0
0.06,0,0,0.59,0,0.06,0,0.19,0,0.06,0,0,0.063,0,2.121,751,0
0,0,0,0,0,0,0,0.3,0,0,0.15,0,0,0,1.535,238,0
0,0,0.29,0,0,0.22,0,0,0,0,0,0,0.021,0,2.79,681,0
0,0.06,0,0,0,0.06,0,0.34,0,0.06,0.06,0,0.018,0,2.423,693,0
0,0.67,4.05,0,0,0,0.67,0,0,0,0.67,0,0,0,3.27,121,0
0,0,0,0,0,0,0,0,0,0,0,0.239,0,0,1.923,50,0
0,0,8.33,0,0,0,0,0,0,0,16.66,0.925,0,0,1.833,11,0
0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,1.333,4,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,65,0
0.25,0,0,0,0,0.16,0,0.25,0,0,0,0,0,0,2.023,694,0
0.14,0,0.74,0,0,0.14,0,0,0,0,0.44,0,0,0,1.803,238,0
0,0,0.03,0,0,0,0,0.03,0,0,0.12,0.128,0,0,3.427,1827,0
0,0,0,0,0,4.76,0,0,0,6.34,0,0,0,0,1.259,34,0
0,0,0.59,0,0,0,0.59,0.59,0,0,0,0.088,0,0,1.8,81,0
0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,1.545,17,0
0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,1.166,21,0
0,0.83,2.91,0,0,0,0,0,0,0,0,0.329,0,0.065,2.962,157,0
0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,4.208,101,0
0.05,0,0.21,0,0,0.26,0,0.16,0,0,0.05,0,0.015,0,2.758,1073,0
0,0,0.67,0,0,0,0,0,0,0,0,0.217,0,0,1.34,67,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,10,0
0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,2.125,51,0
0.1,0.1,0.84,0.05,0,0,0.1,0.15,0,0,0.1,0.038,0.061,0.007,1.704,939,0
0,0,0,0,0,0,0,0.19,0.19,0,0,0,0.108,0,2.634,303,0
0,2.32,2.32,0,0,0,0,0,0,0,0,0,0,0,1,9,0
0,1.98,1.98,0,0,0,0,0,0,0,0,0.44,0,0,1.382,47,0
0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,3.317,282,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.764,30,0
0,0,0.86,0,0,0,0.86,0.86,0,0,0,0.11,0,0,1.812,58,0
0,0,2.89,0,0,0,0,0,0,0.57,0,0,0,0,1.379,40,0
0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.883,211,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0
0,0,0.79,0.39,0,0,0,1.97,0,0,0,0.128,0,0,1.229,75,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.888,53,0
0,0,0,0,0,2.86,0,0.38,0,0,0,0,0,0,2.204,205,0
0.82,0,0,0,0,0,0,0.82,0,0.41,0,0,0,0,1.569,113,0
0,0,3.2,0,0.8,0,0.8,0.8,0,0,1.6,0,0,0,2.065,95,0
0,0,1.12,0,0,0,0,0.56,0,0,1.12,0,0,0,2.486,92,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,37,0
0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,1.571,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,3.904,164,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,4.326,822,0
0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,3.285,69,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.227,49,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,18,0
0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,1.625,26,0
0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,1.714,12,0
0,0,2.06,0,0.68,0,0.68,0.68,0,0,0.68,0.216,0,0.108,2.754,157,0
0,0,0,0,1.63,0,0,0,0,0,0,0.263,0,0,2.12,53,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,9,0
0,0,1.41,0,0,0,0,0,0,0,0.17,0.019,0,0.095,2.059,447,0
