@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R6,11,14,18,24,27,30,35,39,43-44,47,51,53,55-58'

@attribute Word_freq_over numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_email numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_table numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.43,0,0,0.43,0,0,0,0,0,0,0,0,0,0,5.8,46,116,1
0.17,0.65,0,0.11,0.05,0,0,0,0,0,0,0,0,0.259,1.493,8,660,1
0.74,0.74,0,0,0,0,0,0,0,0,0,0,0,0,2.346,12,61,1
1.02,0.17,0,0.93,0.08,0,0,0,0,0.17,0.08,0,0,0.114,7.484,669,1407,1
0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.072,6.238,37,1229,1
0.09,0.29,0,0.39,0.99,0,0,0,0.09,0,0,0,0,0.133,15.493,1171,2541,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,2.411,10,41,1
0,0,0,0.86,0,0,0,0,0,0,0,0,0,0.251,2.022,12,91,1
0.1,0.21,0,0,1.47,0,0,0,0,0,0,0,0,3.305,11.288,193,1016,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,5,15,1
0.64,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0.156,1.688,19,157,1
0,0,1.08,0,0,0,0,0,0,0,0,0,0,0.383,3.95,23,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363,11,26,1
0.17,0.11,0.05,0.29,0.29,0,0,0,0,0,0,0,0,0.338,6.033,87,1460,1
0,0.54,0,0.54,0,0,0,0,0,0,0,0,0,0,1.325,5,53,1
0,0,0,0.9,0.9,0,0,0,0,0,0,0,0,0,2.818,19,62,1
0.39,0,0,0,0.79,0,0,0,0,0,0,0,0,0.183,2.678,13,75,1
0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,2.322,16,72,1
0.19,0.09,0.87,1.17,0.29,0,0,0,0.09,0,0,0,0.194,0.224,4.285,49,870,1
0,1.47,0,0,0,0,0,0,0,0,0,0,0,0.142,92.333,274,277,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,33,91,1
0,0,0,0,1.94,0,0,0,0,0,0,0,0,0.13,6.266,26,94,1
0,0.15,0,0.75,0,0,0,0,0,0,0,0,0,0.02,5.938,149,1057,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,4.43,121,350,1
0.42,0,0,0.42,0,0,0,0,0,0,0,0,0,0.161,2.522,14,111,1
0.2,0.1,0,1.02,0.3,0,0,0.1,0.1,0,0,0,0.264,0.396,3.163,56,1028,1
0.95,0.47,0,2.38,0.47,0,0,0,0,0,0,0,0,0.452,9.64,259,723,1
0.8,0.3,0,1.11,0.1,0,0,0,0,0.2,0,0,0,0.158,8.55,669,1351,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,3,38,1
0.36,0.36,0,1.1,0,0,0,0,0,0,0,0,0,0.061,4,36,264,1
0,0,0.53,0,0,0,0,0,0,0,0,0,0,0.04,2.779,21,164,1
0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,2.82,23,110,1
0.48,0.24,0,0,0,0,0,0,0,0,0,0,0,0.828,4.333,52,429,1
0,0,0,0,0,0,0,0,0,0,0,0,0.197,0,3.537,22,237,1
0.08,0.08,0.7,0,1.5,0,0,0.08,0,0,0,0,0,0.162,4.137,74,753,1
0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.027,2.326,11,363,1
1.29,0,0,0,0,0,0,0,0,0,0,0,0,0.117,1.8,12,63,1
0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,2.373,12,197,1
0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.188,5.622,124,298,1
0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,9.25,394,555,1
0.33,0.67,0,0.33,0.67,0,0,0,0,0,0,0,0,0,6.111,139,275,1
0,1.11,0,0,0,0,0,0,0,0,0,0,0,0.138,2.7,11,54,1
0.1,0.4,0.6,0,0.2,0,0,0,0,0,0,0,0,0.16,6.758,494,1426,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.275,46,182,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.466,10,134,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.787,7,59,1
0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.064,1.915,29,339,1
0.28,0,0,0,0.19,0,0,0,0,0,0,0,0,0.124,2.405,50,368,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,667,1333,1334,1
0.32,0,0,0,0,0,2.24,0,0.32,0,0,0,0.045,0,2,14,178,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,2.227,11,294,1
0,0.42,0,1.28,0,0,0,0,0,0,0,0,0,0,4.84,42,363,1
0,0,0,0,1.31,0,0,0,0,0,0,0,0,0.21,4.5,25,54,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,4.576,17,119,1
0,0.75,0,1.13,0,0,0,0,0,0,0,0,0,0.138,1.937,11,93,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,28,87,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,295,1177,1180,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.168,15,339,1
0.3,0.6,0,0.3,0.6,0,0,0,0,0,0,0,0,0,5.403,139,281,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.692,65,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,11.066,67,332,1
0,0,0,0,1.31,0,0,0,0,0,0,0,0,0.213,4.818,25,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,12.904,155,271,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.181,41,79,1
0,0,0,0,0,0,0,0.47,0,0,0,0,0,0.221,5.918,91,219,1
0,0,0,0,4.41,0,0,0,0,0,0,0,0,0.254,6.055,63,109,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,57,183,1
1.02,0.17,0,0.93,0.08,0,0,0,0,0.17,0.08,0,0,0.118,7.561,669,1414,1
0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.051,5.582,61,374,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.461,30,110,1
0,0,0,0,0,0,0,0,0,0.06,0,0,0.029,0.011,2.813,26,2510,1
0,0.22,0,0.22,0,0,0,0,0,0,0,0,0,0.15,13.936,114,1324,1
0,0,0,0,1.31,0,0,0,0,0,0,0,0,0.212,4.818,25,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777,5,16,1
0.19,0,0,0,0.19,0,0,0,0,0,0,0,0,0.979,5.781,54,740,1
0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,16.782,148,386,1
0.35,0.05,0.05,0.05,0.05,0,0,0,0,0.05,0,0,0,0.167,1.838,13,467,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,4.08,78,253,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,5.323,68,181,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.137,54,313,1
0.9,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0.21,1.738,11,186,1
0.43,0.34,0,0,0.34,0,0,0,0,0,0,0,0,0.263,3.076,62,526,1
0,0,0,5.06,0,0,0,0,0,0,0,0,0,0.475,1.763,11,67,1
0.13,0.26,1.23,0,0.34,0,0,0,0,0,0,0,0,0.858,5.928,199,3160,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,5.558,76,189,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,4.761,140,200,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.379,8,40,1
0.74,0.24,0,0,0.74,0,0,0,0,0,0,0,0,0.155,3.975,47,485,1
0.11,0.11,0,0,0.23,0,0,0,0,0,0,0,0,0.168,5.76,175,795,1
0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,1.377,4,73,1
0,0,0,1.28,0,0,0,0,0,0,0,0,0,0.349,7,105,441,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689,25,78,1
0.31,0,0,3.18,0.63,0,0,0,0,0,0,0,0,0.501,3.509,91,186,1
0,0,1.56,0,0,0,0,0,0,0,0,0,0,0.188,5.551,119,161,1
0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,3.976,32,171,1
0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,1.8,29,171,1
0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,2.184,25,166,1
1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,138,1
0,0.12,0,2.04,0.12,0,0,0,0,0,0,0,0,0.061,2.878,84,475,1
0.58,0,0,1.46,0.68,0,0,0.09,0,0,0,0,0,0.207,12.064,691,1689,1
0.27,0,0,0.27,0,0,0,0,0,0,0,0,0.038,0,7.941,65,405,1
0.6,0.26,0,1.39,0.17,0,0,0,0,0,0,0,0,0.243,6.395,583,1375,1
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.869,21,215,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,3.857,25,81,1
0,0,0,0,0.78,0,0,0,0,0,0,0,0,0.094,4.111,20,222,1
0.38,0,0,0,0.38,0,0,0,0,0,0,0,0,0,5.666,56,272,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,6.718,33,215,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333,11,104,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,3.95,23,79,1
0.29,0,0,0.29,0,0,0,0,0,0,0,0,0,0.045,12.2,163,488,1
0.09,0.26,1.08,0.03,0.52,0,0,0,0,0,0,0,0.016,0.515,5.632,134,2501,1
0.8,0.3,0,1.11,0.1,0,0,0,0,0.2,0,0,0,0.157,8.55,669,1351,1
0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0.106,3.584,63,319,1
0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,3.025,67,118,1
0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.272,3.192,34,166,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.437,19,78,1
0.77,0.38,0,1.16,0.38,0,0,0,0,0,0,0,0,0.121,2.666,22,160,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.928,70,195,1
0,0,0,1.67,0,0,0,0,0,0,0,0,0,0.062,1.477,8,65,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,3.343,28,107,1
0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,735,899,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,8.083,81,97,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,4.653,78,242,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.787,3.875,31,93,1
0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.136,4.541,31,109,1
0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.067,5.101,63,801,1
0.1,0.21,0,0,0.32,0,0,0,0,0,0,0,0,0.186,11.793,289,2288,1
0.39,0.39,0,0.58,0,0,0,0,0,0,0,0,0,0.135,3.015,21,190,1
0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,5.225,38,162,1
0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,6.091,83,530,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,6,21,1
0.17,0,0,0.17,0,0,0,0,0,0,0,0,0,0.196,2.26,53,208,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,12,228,1
0.32,0.39,1.69,0.22,0.84,0,0,0,0,0,0.02,0.04,0,0.165,3.697,117,3498,1
0,0,0,0.12,0,0,0.12,0,0,0,0,0,0,0,2.417,41,481,1
0,0,0,0.12,0,0,0.12,0,0,0,0,0,0,0,2.376,41,492,1
0.19,0.09,0.89,1.18,0.29,0,0,0.09,0.09,0,0,0,0.19,0.222,4.195,49,814,1
0.26,0.08,0,1.91,0.43,0,0,0,0,0,0,0,0.042,0.056,4.319,126,1123,1
0.14,0.18,0.09,0.46,0.28,0,0,0,0,0,0,0,0,0.109,5.759,116,2062,1
0.24,0.08,0,0.32,1.14,0,0,0,0,0,0,0,0,0.255,4.163,84,712,1
1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3.275,14,95,1
0,0,0,0.29,0.29,0,0,0,0,0,0,0,0,0.085,5.145,33,247,1
0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,2.823,38,240,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.157,13,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.025,21,118,1
0.6,0.26,0,1.47,0.17,0,0,0,0,0,0,0,0,0.242,6.142,583,1339,1
0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,2.111,14,95,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,36,99,1
0,1.51,0,0,1.01,0,0,0,0,0,0,0,0,0.536,4.09,23,225,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,2.409,7,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,52,1
0.23,0,0,0.23,0,0,0,0,0,0,0,0,0,0,2.6,42,182,1
0.38,0.38,0,0.77,0.38,0,0,0,0,0,0,0,0.255,0,3.685,62,258,1
0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,1.75,5,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.322,11,72,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.942,8,68,0
0.11,0,0,0,0,0.11,0,0,0,0,0,0,0.031,0.031,3.407,41,535,0
0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,2.616,160,683,0
0,0,0,0,0,3.7,0,0,0,0,0,0,0.645,0,2.888,8,26,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,10,11,0
0,0,0,0,0,0,0,2.02,1.01,0,0,0,0,0,3.108,25,115,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,4,15,0
0,0,0,0.33,0.08,0,0.08,0,0.16,0,0.08,0,0.06,0.012,4.179,104,1655,0
0,0,0,0,0,0,0,0,0,1.36,0,0,0.202,0,3.533,17,53,0
0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,2.925,27,158,0
0.71,0,0,0,0,0,0,0,0.35,0.35,0,0,0,0,1.641,12,110,0
0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,2.852,12,388,0
0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,2.4,11,24,0
0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,1.444,5,104,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,3,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,1.857,10,65,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,5,31,0
0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,1.535,8,43,0
0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,3.344,107,194,0
0,0,0,0,0,1.11,0.55,0.55,0.55,1.11,0,0,0.086,0,2.113,13,167,0
0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,2.293,45,172,0
0,0,0,0,0,0.28,0.28,0.28,0,0.56,0,0,0.093,0,2.464,15,207,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225,22,129,0
0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,2.695,15,62,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,3,10,0
0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,2.529,11,86,0
0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,2.2,10,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.592,8,43,0
0,0,0,0,0,0,0.89,0.29,0,0,0.29,0,0,0,1.87,24,174,0
0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,1.1,3,22,0
0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,1.833,18,935,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,10,263,0
0,0,0,0,0,0,0,0,0,0,0.85,0,0.138,0,1.228,4,43,0
0,0,0,0,0,1.08,0.54,0.54,0,0.54,0,0,0,0,3.039,13,155,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,3,16,0
0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,2,16,60,0
0,0,0,0.74,0,0,0.74,0.74,0,0,0,0,0.204,0,2.121,10,87,0
0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,2.776,121,622,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222,2,11,0
0.01,0.03,0.07,0.07,0,0,0,0,0,0.03,0.01,0,0,0,2.106,58,3027,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812,13,90,0
0,0,0,0,0,1.45,0.72,0.72,0.72,0.72,0,0,0,0,1.897,12,74,0
0,0,0,0,0,0,0,0.66,0.66,0.66,0,0,0.209,0,2.152,17,127,0
0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,1.285,2,9,0
0,0,1.36,0,0,0,0,0.27,0,0,0,1.91,0,0,2.521,31,517,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.75,7,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1.227,4,27,0
0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,1.718,12,122,0
0,0.03,0.03,0.18,0,0,0.11,0,0,0.03,0,0,0,0,2.393,40,1795,0
0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,2.414,25,367,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,1.688,11,103,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148,3,31,0
0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,2.141,9,212,0
0,0,0,0,0,0,0,0,1.12,0,0,0,0.09,0,4.5,34,153,0
0.1,0.05,0,0,0.05,0.05,0.16,0.21,0.16,0,0,0,0.015,0.046,2.007,32,1026,0
0.12,0,0,0,0.06,0.06,0.19,0.25,0.19,0,0,0,0.018,0.055,2.024,25,897,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407,6,38,0
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,9,21,0
0,0,0,0,0,1.87,0.37,0.37,0.37,2.63,0,0,0,0,1.903,13,118,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,3,29,0
0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,1.071,2,15,0
0,0,1.28,0,0,1.28,1.28,1.28,0,0,0,0,0,0,2.21,11,42,0
0,0,0,0.87,0,0,0,0,0,0,0,0,0,0.159,18.454,136,203,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0
0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,1.287,4,85,0
0,0,0,0,0,0.5,0,0,0,0,0,0,0.167,0,3.983,28,239,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.187,47,99,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677,10,156,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,7,74,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.182,42,203,0
0.08,0,0,0,0,0,0.24,0,0,0,0,0,0,0.055,2.145,21,693,0
0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,1.88,5,47,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,2.333,5,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,4,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166,3,14,0
0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,2.076,5,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904,11,80,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,4,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222,9,29,0
0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,1.75,7,63,0
0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,2.714,13,76,0
0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,5.25,32,63,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,13,0
0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,1.785,18,75,0
0,0,0,0,0,0.13,0.13,0.13,0,0.13,0,0,0.02,0,2.78,34,367,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.454,5,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,9,0
0,0,0,0,0,0,0,0,0.84,0.84,0,0,0.137,0,3.052,13,116,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,17,34,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,6,9,0
0,0,0,0,0,0.83,0,0,0,0,0,0,0.262,0,4.128,28,161,0
0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,1.464,7,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.275,8,91,0
0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,1.564,7,61,0
0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,1.646,12,107,0
0,0,0,0,0,0.7,0,0,0,0,0,0,0.066,0,18,200,378,0
0,0,0,0,0,0.7,0,0,0,0,0,0,0.227,0,4.043,28,186,0
0,0,0,0,0,4.34,4.34,4.34,0,0,0,0,0,0,3.333,11,30,0
0.12,0.12,0,0.12,0,0,0,0,0.12,0,0,0,0,0.017,1.403,18,456,0
0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,1,1,10,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,1.3,4,13,0
0.03,0,0,0.03,0,0.03,0,0,0,0,0.06,0,0.181,0.009,2.754,34,2688,0
0.03,0,0.17,0.13,0.03,0.05,0,0,0,0,0.13,0,0.005,0,2.23,102,3168,0
0,0,0,0,0,2.02,1.01,1.01,1.01,1.01,4.04,0,0,0,2.125,12,68,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0
0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,1,1,6,0
0,0,0,0,0,1.25,1.87,1.87,0.62,0.62,0,0,0.57,0,2.238,12,141,0
0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,1.523,11,160,0
0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,2.556,23,317,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,1.25,2,10,0
0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,3,7,48,0
0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.641,8,110,0
0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0.097,2.451,55,255,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.836,7,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,6,55,0
0.26,0,0.13,0,0,0,0.52,0,0,0,0,0,0,0,1.915,19,387,0
0.63,0,0,0,0,0,0,0.63,0,0,0.63,0,0,0,1.56,9,64,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714,6,24,0
0,0,0,0,0,2.38,0.59,0.59,0.59,0.59,0,0,0.098,0,2.203,12,119,0
0.09,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0.125,2.356,21,641,0
0,0,0,2.17,0,0,0,0,0,0,0,2.17,0,0,1.333,3,8,0
0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,1.825,7,73,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.875,16,31,0
0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,1,1,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.967,11,92,0
