@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.45,0,0.45,0.45,0,0,0,1.8,0,0,0,0.45,0,0,0,0,0,0.281,0,14,1
0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0.302,5,1
0,0,0,0,0,0,0,1.2,0,0,1.2,0,0,0,1.8,0,0,0.299,0,28,1
0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0.64,0,0,0,0.64,0,2.59,0,0,0,0,0.64,0,0,0,0.094,0.189,0,131,1
0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0.147,0,0.147,11,1
0,0.33,0.33,0.33,0,0.33,0,1.98,0,0.33,0,0,0,0,0,0,0,0.108,0.162,50,1
0,0,2.94,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,279,1
0.49,0.59,0,0,0,0,0,3.76,0,0.09,0,0,0,0,0,0,0.765,0.037,1.309,54,1
0,0.55,0.18,0,0.18,0,0.37,3.15,0,0,0,0,0,0,0,0,0,0.182,0,4,1
0.02,0.05,0,0.05,0,0.05,0.38,0.07,0,0,0,0,0,0,0,0,0,0.004,0.017,489,1
0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,1,1
0.35,0.7,0.35,0.35,0,0.7,0.35,4.25,0,0,0,0,0,0,0,0,0,0.113,0,58,1
0.46,0.46,0,1.85,0,0.92,0,0.92,0,0.46,0,0,1.38,0,0,0,0,0.072,0.217,66,1
0,0.08,0.08,0.42,0,0,0.08,1.2,0,0.08,0,0,0,0,0,0,0,0.084,0.014,48,1
0.28,0.42,0.04,0.21,0,0.23,0,2.93,0,0.31,0,0,0,0,0,0,0,0.065,0.754,144,1
0,0.94,0.94,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0.073,0.221,91,1
0,0.32,0.32,0.32,0,0.32,0,2.27,0,0.32,0,0,0,0,0,0,0,0.106,0.159,10,1
0.41,0.53,0,0.05,0,0.05,0.53,1.19,0,0.23,0,0,0,0,0,0,0,0.064,0.14,14,1
0.3,0.4,0,0.05,0.05,0,0.5,1.55,0,0.2,0,0,0,0,0,0,0,0.036,0.118,96,1
0.16,0.5,0,0,0,0,0.16,2.37,0,0.33,0,0,0,0,0,0,0,0.143,0.143,247,1
0,0.67,0,0,0,0.56,0,1.79,0,0.22,0,0,0,0,0,0,0,0.157,0.196,75,1
0.16,0,0,1.14,0,1.95,0.32,0.81,2.93,0.81,0,0,0,0,0,0,0.673,0.35,0.107,57,1
0,0.3,0,0.61,0.15,0.3,2.32,1.85,0,0.3,0,0,0,0,0,0,0,0.128,0.025,13,1
0.29,0.29,0.29,1.04,1.04,0.29,0,1.63,0,0,0,0,0.29,0,0,0,0,0.084,0.21,887,1
0,0.38,0.38,0,0,0.38,0,3.04,0,0,0,0,0,0,0,0,0,0.299,0.179,78,1
0.42,0.42,0.42,0,0,1.27,0,1.7,0,0.42,0,0,1.27,0,0,0,0,0.063,0.063,55,1
0,0,0,0,0,0,5.33,2.66,0,0,0,0,0,0,0,0,0,0,0.514,11,1
0,0.76,0.5,0.5,0.76,0,1.52,2.03,0,0,0,0,0,0,0,0,0,0.078,0.433,19,1
0,1.65,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.101,1146,1
0,0,0.57,0,0,0,0.57,4.62,0,0.57,0,0,0,0,0,0,0,0,0,33,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0.3,0,0.3,0,0.3,0.3,2.11,0,0.3,0,0,0,0,0,0,0,0.21,0.21,11,1
0,0.16,0,0.05,0,0.38,0,2.85,0,0.16,0,0.05,0.1,0,0,0,0.068,0.029,0.058,56,1
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
0.48,0.37,0.03,0.07,0.03,0.26,0.07,3.16,0,0.59,0,0.03,0,0,0,0,0,0.082,0.529,140,1
0.42,1.26,0,0,0,0.42,0.84,3.79,0,0.42,0,0,0,0,0,0,0,0.067,0.472,19,1
0,0.78,0.52,0.52,0.78,0,1.56,2.08,0,0,0,0,0,0,0,0,0,0.08,0.402,19,1
0.17,0.17,0.17,0.17,0.34,1.55,0.17,2.94,0,0,0,0,0,0,0,0,0,0.115,0.086,38,1
0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0.829,0.829,25,1
0,0,0,1.25,0,0.41,1.67,0.41,0,0,0,0,0,0,0,0,0,0.125,0.062,8,1
0,0.27,0,0.18,0,0,0,2.01,0,0.09,0,0,0,0,0,0,0.015,0.046,0.031,69,1
0.49,0.32,0,0.49,0.16,1.14,0.16,3.6,0,0.49,0,0,0,0,0.16,0,0,0.225,0.225,47,1
0,1.25,0,0,0,1.25,0,0.62,0.62,0,0,0,0,0,0,0,0,0.11,0.11,30,1
