@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R13,16-18,22,26-29,33,36,39,42,44,46,49,51,54,59,63,65'

@attribute Atr-12 numeric
@attribute Atr-15 numeric
@attribute Atr-16 numeric
@attribute Atr-17 numeric
@attribute Atr-21 numeric
@attribute Atr-25 numeric
@attribute Atr-26 numeric
@attribute Atr-27 numeric
@attribute Atr-28 numeric
@attribute Atr-32 numeric
@attribute Atr-35 numeric
@attribute Atr-38 numeric
@attribute Atr-41 numeric
@attribute Atr-43 numeric
@attribute Atr-45 numeric
@attribute Atr-48 numeric
@attribute Atr-50 numeric
@attribute Atr-53 numeric
@attribute Atr-58 numeric
@attribute Atr-62 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
6,0,0,8,10,3,14,13,13,0,16,0,0,4,15,0,15,16,5,0,8
10,0,0,0,15,1,10,16,16,0,0,7,5,0,16,0,14,14,8,0,9
16,0,0,0,8,0,1,1,16,0,3,0,0,10,2,0,12,9,15,16,2
8,0,0,0,0,0,9,9,1,0,2,0,13,6,12,0,16,13,0,0,4
9,0,0,10,10,3,14,16,16,0,0,0,0,0,14,0,11,8,8,11,9
16,0,0,0,10,1,15,16,16,0,0,0,2,0,15,0,14,14,6,0,9
16,0,0,6,14,4,12,0,0,0,0,8,7,0,12,0,15,16,8,0,0
16,0,0,9,15,1,13,16,15,0,14,0,1,4,14,0,14,11,9,8,8
16,0,0,0,16,2,4,2,15,0,16,3,2,16,14,0,7,0,14,0,7
16,0,0,0,4,1,7,16,15,0,16,5,7,12,16,0,0,15,0,0,4
16,0,0,0,3,0,8,14,16,0,16,7,0,12,13,0,4,0,9,0,7
13,0,0,0,16,0,5,13,13,0,0,7,0,0,3,0,12,4,7,12,9
16,0,0,0,10,0,7,16,16,0,16,0,0,16,12,0,8,16,5,3,1
16,0,0,0,9,0,6,16,16,0,16,0,1,16,2,0,0,8,0,0,1
4,0,0,8,0,7,16,16,7,0,10,0,0,5,0,0,1,0,6,0,5
13,0,0,0,14,0,12,16,16,0,6,10,0,0,4,0,3,13,2,5,9
14,0,0,3,11,4,16,13,16,0,16,4,0,16,3,0,5,10,0,0,8
8,2,0,0,14,0,0,1,12,0,11,1,0,10,1,0,1,0,5,0,7
15,0,0,12,16,11,13,0,7,0,0,0,0,9,10,0,11,16,6,8,2
9,0,0,5,0,7,16,16,12,0,7,0,0,3,3,0,14,3,9,0,5
10,0,0,7,11,8,13,0,0,0,0,7,2,0,14,0,12,12,2,0,0
12,0,0,0,16,0,0,0,6,0,0,0,0,9,8,0,11,12,6,14,2
8,0,0,0,15,0,0,1,10,0,10,0,0,1,13,0,15,16,2,1,3
10,0,0,0,10,0,3,16,14,0,16,0,0,9,6,0,16,12,5,0,8
16,0,0,0,16,0,2,16,16,0,16,3,0,16,16,0,9,14,7,0,1
2,0,0,1,0,4,12,13,14,0,0,4,0,0,8,0,6,14,9,0,5
16,0,0,0,14,0,0,14,16,0,14,0,0,16,10,0,8,7,6,0,1
7,0,0,0,0,1,14,5,0,0,0,6,15,12,15,1,12,4,0,0,4
1,0,0,8,14,6,14,12,14,0,13,0,7,0,8,0,14,13,2,0,8
15,0,0,5,9,2,14,4,12,0,12,7,0,0,8,0,3,11,10,0,9
16,0,0,0,16,0,3,16,16,0,16,0,3,14,11,0,15,15,5,0,8
16,0,0,4,5,0,5,16,8,0,16,1,0,3,16,0,4,12,4,0,3
16,0,0,3,15,6,12,2,0,0,0,7,4,0,15,0,16,4,10,0,0
16,0,0,0,8,0,13,16,16,0,16,0,0,16,15,0,0,16,0,7,1
12,0,0,0,0,1,14,12,4,0,16,7,4,2,16,0,0,12,0,0,4
16,0,0,0,13,3,13,0,0,0,0,8,6,0,16,0,16,10,9,0,0
15,0,0,0,9,0,0,0,12,0,0,0,0,7,2,0,11,15,6,15,2
16,0,0,0,16,0,11,16,16,0,10,1,2,4,16,0,15,16,6,0,8
15,0,0,0,0,0,0,13,12,0,7,3,0,0,14,0,4,15,8,0,3
16,0,0,0,16,0,13,16,16,0,7,0,5,3,9,0,0,8,0,0,1
4,0,0,3,16,7,16,12,14,0,16,7,0,7,5,0,0,0,0,0,4
8,0,0,0,0,1,16,4,0,0,8,0,1,14,15,0,9,8,0,7,6
7,0,0,4,4,0,11,15,1,0,16,0,3,1,3,0,12,12,3,0,8
11,0,0,0,0,2,16,6,0,0,10,2,2,12,16,0,8,14,0,7,6
13,0,0,0,0,0,7,16,14,0,6,0,0,0,16,0,3,13,10,0,5
13,0,0,0,8,0,5,8,16,0,16,7,5,16,4,0,4,0,8,0,7
0,0,0,1,15,3,16,5,7,0,16,7,0,10,1,0,0,0,0,0,4
5,0,0,7,0,10,6,0,12,0,0,0,0,3,4,0,14,16,12,4,2
15,0,0,0,8,2,8,13,16,0,16,10,1,16,4,0,8,0,4,0,7
7,0,0,0,8,0,0,0,12,0,9,0,1,15,0,0,16,0,8,5,2
15,0,0,3,14,4,12,0,0,0,0,8,4,0,14,0,15,13,5,0,0
11,0,0,0,3,3,13,16,5,0,13,2,0,0,13,0,10,16,10,0,3
16,0,0,1,7,7,16,16,16,0,10,0,0,5,7,0,0,11,0,0,1
16,0,0,0,5,0,0,4,16,0,11,0,0,16,0,0,13,16,12,7,2
4,0,0,0,7,0,2,12,13,0,10,0,0,1,9,0,12,15,8,0,3
16,0,0,0,5,0,0,3,16,0,15,0,0,16,0,0,16,12,15,6,2
16,0,0,3,10,0,8,16,16,0,16,0,1,16,9,0,13,9,6,0,1
12,0,0,9,16,0,11,16,16,0,16,0,0,5,13,0,11,16,3,3,8
12,0,0,5,1,8,16,15,11,0,12,2,0,0,16,0,5,15,11,0,5
16,0,0,0,6,0,2,13,14,0,13,0,0,0,15,0,8,14,14,1,3
5,0,0,0,15,0,1,14,16,0,15,0,1,6,12,0,12,12,1,3,8
4,0,0,0,14,0,0,3,9,0,16,3,0,10,3,0,0,0,1,0,7
11,0,0,2,0,2,16,7,0,0,16,0,4,13,14,0,13,16,0,6,6
13,0,0,0,13,0,0,0,6,0,0,0,0,4,3,0,2,8,2,12,2
16,0,0,9,14,5,5,5,16,0,12,0,0,15,0,0,16,0,16,0,7
16,0,0,0,9,0,0,10,16,0,4,2,0,8,16,0,8,16,1,12,1
10,0,0,0,0,0,15,16,16,0,8,0,0,0,13,0,4,11,6,0,5
11,0,0,0,0,4,16,4,10,0,15,1,3,8,14,0,13,16,4,0,6
12,0,0,3,9,6,12,0,0,0,0,8,8,0,14,0,16,11,6,0,0
8,0,0,0,0,0,15,16,14,0,2,0,0,0,13,0,7,12,10,0,5
16,0,0,0,13,0,0,14,5,0,15,0,6,9,1,0,13,4,6,0,8
15,0,0,8,15,7,13,0,0,0,0,5,5,1,14,0,16,13,8,0,0
16,0,0,11,14,9,10,0,0,0,0,8,0,4,4,0,10,14,2,2,0
11,0,0,0,6,0,9,14,0,0,14,1,11,14,12,0,0,5,0,0,4
8,0,0,9,0,4,16,16,16,0,0,4,0,0,16,0,5,14,15,0,5
15,0,0,8,12,2,6,0,0,0,1,0,0,11,0,0,12,8,12,12,2
11,0,0,0,8,0,2,15,16,0,8,0,0,0,16,0,16,16,11,0,3
14,0,0,7,16,5,12,0,0,0,0,8,1,0,8,0,11,15,3,1,0
16,0,0,0,16,0,5,15,14,0,15,0,0,16,2,0,16,8,12,0,8
13,0,0,4,16,4,12,7,8,0,0,8,5,0,13,0,16,16,9,0,0
12,0,0,6,0,7,15,5,1,0,16,0,0,4,4,0,8,6,13,0,5
16,0,0,4,16,7,12,0,0,0,0,8,4,0,9,0,15,15,5,0,0
14,0,0,11,13,1,11,14,12,0,0,8,0,0,10,0,1,13,9,0,9
12,0,0,12,16,1,2,0,12,0,6,0,0,16,0,0,7,8,3,7,2
8,0,0,2,16,0,0,7,16,0,14,0,0,10,2,0,8,8,16,0,3
5,0,0,1,16,0,0,1,8,0,15,11,2,14,4,0,1,0,10,0,7
8,0,0,0,16,0,0,7,16,0,8,7,0,0,8,0,10,10,12,9,3
16,0,0,0,15,1,16,6,0,0,6,6,3,0,15,0,16,15,7,0,0
10,0,0,0,14,0,0,10,16,0,14,0,0,15,2,0,12,1,10,0,8
10,0,0,4,7,9,16,10,10,0,16,4,0,0,13,0,0,4,0,0,9
10,0,0,0,0,0,16,5,0,0,7,0,0,16,9,0,6,5,0,9,6
0,5,0,6,14,7,16,11,11,0,14,2,0,11,1,0,2,0,13,0,4
12,0,0,0,15,0,3,4,15,0,16,6,0,16,4,0,10,0,16,0,7
8,0,0,0,16,0,0,0,13,0,16,8,3,16,8,0,14,0,16,0,7
16,0,0,1,4,0,0,6,15,0,11,0,0,16,0,0,11,16,11,15,2
7,0,0,0,0,0,12,5,0,0,2,1,0,10,13,0,7,0,0,13,6
7,0,0,3,13,2,10,12,15,0,0,3,0,0,16,0,0,12,0,0,9
10,0,0,0,13,0,0,15,15,0,10,0,0,0,10,0,1,16,13,0,3
14,0,0,0,2,0,0,10,14,0,16,8,0,15,4,0,14,0,16,0,7
12,0,0,0,11,0,0,4,16,0,16,11,4,16,6,0,9,0,14,0,7
4,0,0,6,16,0,4,9,16,0,1,0,0,13,2,0,9,0,16,0,9
9,0,0,2,10,5,12,0,0,0,0,8,2,0,7,0,13,16,2,0,0
2,0,0,7,0,0,1,13,8,0,16,0,0,16,0,0,15,12,16,16,2
0,0,0,1,0,3,16,16,14,0,8,5,1,3,7,0,11,16,5,0,6
6,0,0,14,0,3,1,10,12,0,15,0,0,14,0,0,16,12,15,13,2
16,0,0,0,14,0,0,14,16,0,16,0,2,16,7,0,10,8,0,3,1
2,0,0,0,0,0,10,12,3,0,16,2,1,11,11,0,12,8,2,5,6
15,0,0,0,14,0,12,14,8,0,12,3,8,16,15,0,4,5,0,0,4
14,0,0,11,14,2,9,12,12,0,0,7,0,0,12,0,12,15,9,1,9
16,0,0,5,1,0,0,16,16,0,7,5,0,0,15,0,11,15,14,1,3
5,0,0,0,0,4,14,0,0,0,2,0,4,15,15,0,11,11,1,12,6
11,0,0,0,16,0,0,5,13,0,16,8,0,14,0,0,3,0,7,0,7
6,0,0,3,13,2,15,16,16,0,16,3,0,13,6,0,16,11,7,2,8
6,0,0,9,0,4,11,16,15,0,1,5,0,0,14,0,11,15,10,0,5
11,0,0,3,0,0,0,7,16,0,15,0,0,16,0,0,15,16,16,10,2
5,0,0,4,9,8,10,0,0,0,0,8,4,0,10,0,16,14,5,0,0
2,0,0,2,16,7,16,10,13,0,16,5,0,7,1,0,0,0,1,0,4
8,0,0,0,16,5,16,13,12,0,16,7,0,6,4,0,0,0,0,0,4
14,0,0,2,0,10,13,14,10,0,16,10,0,15,4,0,12,0,14,0,4
4,0,0,3,15,5,16,14,12,0,0,5,0,0,12,0,0,0,0,0,9
13,0,0,2,14,4,13,0,0,0,0,8,5,0,13,0,13,14,4,0,0
5,0,0,0,1,0,7,15,1,0,12,0,4,4,0,0,9,0,14,0,8
16,0,0,0,16,0,0,5,7,0,0,13,0,0,16,0,0,16,5,0,9
12,4,0,0,16,0,0,0,13,0,0,0,0,0,16,0,1,16,14,0,3
16,0,0,0,16,0,10,16,16,0,16,0,9,16,0,0,16,0,10,0,1
0,0,0,5,8,7,16,14,16,0,8,0,0,6,2,0,5,0,11,0,4
0,0,0,4,14,1,13,16,14,0,16,0,0,11,0,0,11,2,3,0,8
16,0,0,0,13,0,8,16,16,0,16,0,3,16,7,0,15,2,3,0,1
16,0,0,0,16,0,0,7,16,0,9,0,0,1,16,0,8,16,14,0,3
10,0,0,11,14,6,14,7,14,0,16,0,0,12,1,0,16,2,8,0,8
3,0,0,1,0,6,15,1,0,0,11,8,1,12,12,0,0,4,0,0,4
16,0,0,5,14,8,8,0,0,0,0,8,4,0,10,0,14,14,7,0,0
9,0,0,1,14,0,0,4,16,0,2,0,0,0,16,0,8,16,6,0,3
7,0,0,0,13,0,5,16,16,0,8,0,0,11,0,0,3,0,7,0,7
16,0,0,1,16,7,16,14,0,0,9,5,0,8,16,0,12,12,5,0,0
1,0,0,0,0,3,16,10,4,0,16,5,8,6,14,0,16,16,6,0,6
16,0,0,0,4,0,0,15,16,0,4,4,0,0,16,0,6,15,8,0,3
2,0,0,0,8,2,15,0,1,0,4,1,11,16,11,0,4,0,0,0,4
9,0,0,12,16,6,16,14,14,0,11,0,0,14,9,0,5,15,2,0,8
8,0,0,1,16,0,0,0,10,0,0,8,0,0,16,0,0,13,9,0,3
7,0,0,2,16,6,16,13,12,0,16,3,0,2,2,0,0,0,0,0,4
5,0,0,0,0,0,2,16,8,0,16,0,2,11,0,0,16,16,16,3,2
13,0,0,0,1,0,8,16,15,0,16,0,0,16,1,0,3,2,2,0,1
4,0,0,0,13,0,0,10,16,0,2,4,0,0,8,0,4,15,10,0,3
0,0,0,6,0,7,16,0,1,0,9,3,8,16,9,0,16,9,6,10,6
16,0,0,6,13,8,10,0,7,0,0,3,7,0,15,0,14,11,6,0,0
13,0,0,4,15,2,14,12,11,0,16,0,0,16,0,0,16,0,8,0,8
4,0,0,7,0,8,16,16,15,0,4,0,0,0,13,0,9,14,14,0,5
16,0,0,0,10,0,3,16,16,0,16,2,0,16,16,0,9,16,1,16,1
9,0,0,0,12,0,2,15,16,0,12,1,0,0,9,0,14,13,9,1,3
15,0,0,3,14,11,15,9,15,0,14,5,0,0,8,0,0,6,0,0,4
10,0,0,0,0,0,13,7,0,0,16,1,0,11,10,0,4,10,0,9,6
10,7,0,0,13,0,4,8,11,0,16,5,0,4,1,0,0,0,0,0,7
7,0,0,12,15,3,16,10,15,0,16,0,0,13,15,0,8,16,3,0,8
5,0,0,3,0,6,7,0,5,0,4,2,4,4,8,0,13,14,1,4,6
8,0,0,0,14,0,3,8,8,0,16,10,0,6,4,0,0,0,8,0,7
16,0,0,2,14,4,16,0,0,0,0,9,3,0,16,0,15,16,5,0,0
12,0,0,0,2,1,15,8,1,0,8,3,16,16,16,0,6,3,0,0,4
7,0,0,0,12,0,0,6,15,0,12,0,5,2,0,0,14,7,7,4,2
11,0,0,0,16,5,16,12,16,0,0,0,0,0,14,0,0,16,0,0,1
3,0,0,0,0,2,16,1,0,0,1,0,2,15,16,0,11,16,1,10,6
16,0,0,5,11,7,11,0,0,0,0,8,7,0,16,0,16,12,6,0,0
16,0,0,12,16,9,16,15,14,0,2,1,0,2,14,0,1,6,5,0,9
15,0,0,3,0,0,13,9,0,0,15,0,0,15,0,0,16,0,9,0,5
12,0,0,8,9,0,0,8,16,0,1,0,0,0,16,0,0,15,1,0,3
5,0,0,0,16,0,2,16,16,0,16,0,4,7,13,0,16,16,6,4,8
0,0,0,0,0,8,16,0,0,0,13,1,11,14,16,0,16,15,9,0,6
8,0,0,8,11,7,16,13,11,0,8,10,0,0,15,0,3,15,1,2,9
5,0,0,8,13,11,16,3,0,0,0,12,6,2,7,0,16,15,4,0,0
9,0,0,8,13,11,14,0,0,0,0,12,8,0,9,0,16,16,10,0,0
12,0,0,0,0,0,10,16,7,0,9,0,14,13,16,0,13,15,0,0,4
11,0,0,0,0,0,12,11,3,0,5,0,15,13,14,0,15,15,0,0,4
11,0,0,0,15,0,5,16,16,0,11,4,0,14,0,0,6,0,9,0,7
8,0,0,0,12,0,5,3,7,0,16,5,0,7,1,0,0,0,4,0,7
4,0,0,2,1,2,16,13,14,0,0,5,0,0,11,0,1,11,15,3,5
16,0,0,0,4,0,3,13,16,0,12,1,3,0,16,0,12,15,13,0,3
3,0,0,5,1,2,12,9,10,0,0,6,0,0,4,0,14,13,10,1,5
5,0,0,9,2,8,15,8,11,0,0,10,0,0,5,0,6,8,5,7,5
16,0,0,5,13,0,10,14,13,0,5,2,0,0,9,0,16,10,6,5,9
2,0,0,0,3,1,13,8,10,0,0,7,1,0,8,0,13,11,7,2,5
9,0,0,0,0,0,10,16,13,0,6,0,0,4,6,0,9,13,6,16,1
15,0,0,9,9,11,16,1,1,0,3,9,2,2,5,0,12,15,2,1,0
11,0,0,0,13,2,4,3,16,0,16,4,1,16,7,0,8,0,15,0,7
12,0,0,2,16,0,0,0,7,0,1,0,0,5,5,0,7,8,16,11,2
16,0,0,0,8,0,12,16,16,0,16,0,0,16,6,0,16,8,12,0,1
8,10,0,0,4,0,0,0,2,0,13,9,0,13,3,0,0,0,8,0,7
7,0,0,8,16,2,12,9,9,0,5,8,0,0,4,0,6,10,9,2,9
12,0,0,2,15,7,8,0,0,0,0,6,5,0,13,0,14,13,4,0,0
16,0,0,2,0,0,5,15,6,0,5,0,0,0,15,0,3,16,3,4,5
13,0,0,0,0,0,13,12,4,0,16,0,0,9,14,0,0,14,4,0,5
10,0,0,3,9,0,0,15,8,0,13,0,0,0,14,0,6,11,10,7,3
3,0,0,11,8,9,7,0,0,0,0,8,0,4,11,0,6,16,0,0,0
16,0,0,0,5,0,0,0,14,0,4,0,0,13,1,0,14,12,15,8,2
7,0,0,0,9,0,0,12,15,0,16,0,3,2,2,0,15,4,11,0,8
12,0,0,0,12,0,6,11,7,0,4,5,5,16,13,0,4,9,0,0,4
16,0,0,0,0,0,14,13,0,0,16,0,1,12,14,0,11,15,0,3,6
5,0,0,0,8,0,10,5,10,0,5,3,8,16,14,0,4,0,0,0,4
13,0,0,0,14,1,14,0,0,0,0,5,3,1,15,0,13,15,2,0,0
13,0,0,1,16,0,12,16,16,0,4,8,0,0,7,0,14,14,8,0,9
11,0,0,0,16,0,3,16,16,0,14,0,3,1,12,0,15,13,10,0,8
16,0,0,0,16,0,8,16,15,0,16,0,0,15,0,0,16,2,12,0,8
16,0,0,3,0,7,16,10,7,0,12,1,0,0,16,0,4,15,10,0,5
16,0,0,9,16,4,16,4,13,0,16,4,0,0,13,0,3,14,5,3,9
6,0,0,3,10,10,14,0,6,0,12,0,0,9,7,0,0,2,0,0,4
2,0,0,4,15,2,15,13,16,0,8,0,0,13,0,0,9,0,12,0,9
8,0,0,0,0,0,13,6,0,0,16,5,0,14,5,0,8,6,0,9,6
16,0,0,11,12,2,12,10,3,0,0,8,0,0,11,0,0,14,12,0,9
8,0,0,12,0,3,15,9,0,0,16,0,0,16,0,0,10,0,16,0,5
13,0,0,2,0,0,6,15,4,0,15,0,0,11,0,0,2,0,16,0,5
10,0,0,0,14,0,0,15,16,0,4,6,0,0,6,0,11,14,13,0,3
0,0,0,10,14,9,15,1,9,0,16,0,0,16,5,0,12,0,16,0,4
11,0,0,0,16,0,1,16,16,0,12,0,0,0,16,0,10,16,14,1,3
16,0,0,0,7,0,4,16,16,0,16,0,0,16,0,0,10,0,2,0,1
13,0,0,2,12,6,15,0,0,0,0,9,3,0,12,0,13,16,5,0,0
16,0,0,0,7,0,5,16,16,0,16,0,0,16,1,0,8,2,8,0,1
12,0,0,0,16,0,0,6,15,0,16,0,0,13,0,0,16,2,10,0,2
10,0,0,0,16,0,6,15,16,0,8,0,0,0,15,0,0,16,0,9,1
12,0,0,0,5,0,11,15,15,0,11,2,13,16,16,0,8,7,0,0,4
9,0,0,11,12,2,13,16,13,0,0,8,0,0,8,0,6,11,5,1,9
6,0,0,1,11,10,16,6,5,0,16,10,0,5,11,0,0,5,0,0,4
15,0,0,4,0,4,16,16,15,0,16,0,0,16,5,0,5,12,6,0,1
13,0,0,3,6,0,0,0,13,0,7,0,0,15,0,0,16,8,11,12,2
11,0,0,2,0,0,12,16,16,0,4,4,0,0,13,0,7,16,4,0,5
4,0,0,0,11,0,13,16,16,0,16,3,0,7,10,0,11,14,3,1,8
12,0,0,0,7,0,5,14,16,0,13,8,0,0,16,0,6,7,13,0,3
6,0,0,2,13,0,14,14,15,0,3,5,0,0,11,0,0,2,0,0,9
12,8,0,0,14,0,0,0,3,0,0,2,0,6,11,0,2,1,6,0,7
16,0,0,0,12,0,4,16,16,0,16,0,1,16,3,0,16,0,14,0,1
0,0,0,3,8,0,0,7,15,0,7,2,0,0,8,0,2,14,14,0,3
16,0,0,0,7,0,7,16,16,0,16,0,0,16,9,0,4,6,5,0,1
16,0,0,0,14,0,0,0,10,0,0,0,0,3,9,0,8,2,13,0,9
13,2,0,0,16,0,0,14,15,0,9,0,0,1,12,0,3,10,16,0,3
16,0,0,2,2,12,15,4,2,0,16,0,0,7,11,0,0,10,4,0,5
16,0,0,7,0,10,16,3,0,0,15,0,0,12,0,0,5,0,9,0,5
15,0,0,0,10,0,7,13,16,0,16,4,0,16,0,0,7,0,10,0,7
12,0,0,0,0,0,16,16,12,0,7,4,0,0,16,0,1,13,2,0,5
8,0,0,4,10,8,15,3,0,0,0,5,2,8,8,0,10,15,0,0,0
16,0,0,0,14,4,3,13,7,0,3,8,0,5,12,0,10,16,0,0,0
1,0,0,0,0,0,10,11,0,0,12,0,0,16,16,0,16,12,3,6,6
16,0,0,6,3,0,0,12,16,0,1,5,0,0,16,0,3,16,12,0,3
1,0,0,0,16,0,14,11,16,0,16,0,0,16,0,0,16,2,8,0,8
3,0,0,0,0,6,16,2,0,0,5,6,10,14,12,0,0,2,0,0,4
16,0,0,0,1,0,1,11,14,0,0,0,0,0,11,0,11,13,11,0,3
9,0,0,3,2,10,16,15,16,0,13,0,0,0,13,0,0,5,1,0,5
8,0,0,2,16,4,15,15,16,0,16,0,0,10,16,0,10,16,2,1,8
9,0,0,7,12,6,12,0,0,0,0,7,0,0,10,0,10,16,2,0,0
8,0,0,8,8,2,6,15,16,0,13,4,0,13,9,0,7,15,2,1,8
13,0,0,2,11,0,0,0,12,0,5,0,0,16,0,0,16,4,9,5,2
10,0,0,8,15,6,15,9,12,0,8,0,0,0,12,0,0,5,0,0,9
6,0,0,7,15,2,16,16,16,0,6,0,0,1,5,0,0,1,0,0,9
13,0,0,0,14,0,5,16,16,0,16,8,0,14,0,0,5,0,11,0,7
14,0,0,3,16,6,13,0,0,0,0,9,0,0,11,0,9,15,2,0,0
16,0,0,0,8,0,12,16,16,0,16,0,0,16,8,0,3,13,2,0,1
12,0,0,0,0,0,1,0,12,0,1,0,0,10,3,0,13,15,9,13,2
14,0,0,0,0,0,8,14,0,0,12,0,0,16,16,0,2,3,0,13,6
8,0,0,2,8,6,8,11,15,0,14,0,0,9,13,0,7,14,3,1,8
14,0,0,5,0,0,0,7,10,0,15,0,0,15,0,0,16,13,15,4,2
10,0,0,0,10,0,0,5,14,0,16,1,3,16,0,0,7,0,10,0,7
