@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,10-11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
7,119,2.429,0.429,27,1
7,238,4.857,0.462,47,1
8,96,1.5,0.427,25,1
14,238,1.214,0.113,15,5
8,208,3.25,0.423,36,1
55,2640,0.873,0.142,88,5
12,3252,22.583,0.246,410,1
8,72,1.125,0.431,15,1
9,531,6.556,0.348,82,1
9,153,1.889,0.392,27,1
10,420,4.2,0.355,70,1
8,288,4.5,0.458,65,1
2,92,23,0.511,1,2
1,127,127,0.646,6,2
3,387,43,0.305,10,2
10,250,2.5,0.384,39,1
5,20,0.8,0.45,2,5
9,423,5.222,0.362,76,1
11,275,2.273,0.327,46,1
11,869,7.182,0.321,132,1
1,86,86,0.93,2,2
11,319,2.636,0.298,43,1
8,120,1.875,0.475,22,1
8,80,1.25,0.4,16,1
8,96,1.5,0.385,17,1
8,248,3.875,0.411,50,1
8,184,2.875,0.38,40,1
8,144,2.25,0.403,32,1
11,1078,8.909,0.276,138,1
8,40,0.625,0.45,6,1
11,275,2.273,0.36,47,1
8,136,2.125,0.463,22,1
8,304,4.75,0.461,61,1
8,96,1.5,0.448,21,1
8,128,2,0.398,19,1
10,480,4.8,0.36,80,1
8,64,1,0.5,11,1
9,207,2.556,0.362,39,1
8,104,1.625,0.49,19,1
11,2871,23.727,0.257,368,1
11,352,2.909,0.332,63,1
6,216,6,0.509,55,1
11,572,4.727,0.262,84,1
6,48,1.333,0.563,8,1
11,671,5.545,0.294,89,1
8,152,2.375,0.368,32,1
10,500,5,0.326,81,1
11,2992,24.727,0.26,428,1
8,256,4,0.352,50,1
8,64,1,0.359,14,1
11,440,3.636,0.27,66,1
8,120,1.875,0.375,24,1
10,60,0.6,0.333,8,1
11,627,5.182,0.271,91,1
8,136,2.125,0.36,25,1
8,208,3.25,0.346,39,1
11,319,2.636,0.32,46,1
6,60,1.667,0.433,14,1
10,440,4.4,0.318,80,1
7,245,5,0.339,43,1
9,909,11.222,0.256,136,1
5,50,2,0.5,12,1
10,460,4.6,0.278,77,1
11,2871,23.727,0.233,381,1
6,102,2.833,0.137,5,5
10,150,1.5,0.273,29,1
2,12,3,0.583,1,1
8,224,3.5,0.442,40,1
4,8,0.5,0.875,1,1
8,72,1.125,0.375,16,1
8,312,4.875,0.362,65,1
8,160,2.5,0.394,30,1
8,184,2.875,0.348,32,1
5,70,2.8,0.443,14,1
8,80,1.25,0.35,16,1
11,594,4.909,0.316,91,1
10,160,1.6,0.288,21,1
6,96,2.667,0.281,11,1
4,96,6,0.573,27,1
10,510,5.1,0.337,81,1
10,410,4.1,0.302,60,1
10,120,1.2,0.333,22,1
6,108,3,0.491,26,1
7,140,2.857,0.436,26,1
10,280,2.8,0.336,56,1
10,330,3.3,0.345,60,1
6,84,2.333,0.536,22,1
8,40,0.625,0.4,6,1
8,96,1.5,0.396,23,1
6,24,0.667,0.667,4,1
8,88,1.375,0.477,21,1
8,264,4.125,0.326,43,1
8,424,6.625,0.347,76,1
8,240,3.75,0.363,38,1
9,468,5.778,0.286,73,1
10,220,2.2,0.309,29,1
8,152,2.375,0.428,37,1
5,130,5.2,0.523,36,1
8,120,1.875,0.417,23,1
8,200,3.125,0.31,38,1
10,310,3.1,0.284,52,1
10,1200,12,0.279,197,1
8,400,6.25,0.36,73,1
7,63,1.286,0.365,14,1
8,864,13.5,0.348,182,1
10,440,4.4,0.35,81,1
7,140,2.857,0.429,31,1
10,2120,21.2,0.24,274,1
8,144,2.25,0.403,36,1
6,96,2.667,0.49,24,1
8,248,3.875,0.347,48,1
8,128,2,0.367,25,1
10,390,3.9,0.31,62,1
8,112,1.75,0.402,29,1
8,312,4.875,0.304,69,1
10,1160,11.6,0.246,178,1
101,9999,0.98,0.14,691,5
9,927,11.444,0.369,134,1
7,77,1.571,0.234,7,1
10,5090,50.9,0.097,401,1
8,1080,16.875,0.131,116,1
8,824,12.875,0.142,100,1
7,91,1.857,0.198,8,1
9,2547,31.444,0.186,389,1
2,1070,267.5,0.648,59,2
5,20,0.8,0.4,3,1
5,20,0.8,0.4,1,1
25,7275,11.64,0.456,455,1
9,1665,20.556,0.398,238,1
9,1494,18.444,0.392,190,1
5,20,0.8,0.45,1,1
9,4572,56.444,0.188,579,1
9,4815,59.444,0.088,310,1
10,5080,50.8,0.1,372,1
24,11232,19.5,0.472,689,1
7,665,13.571,0.296,120,1
8,4256,66.5,0.192,636,1
7,238,4.857,0.282,45,1
9,2466,30.444,0.158,298,1
9,4176,51.556,0.158,505,1
25,11775,18.84,0.449,678,1
8,824,12.875,0.425,129,1
9,1962,24.222,0.148,203,1
24,11304,19.625,0.474,679,1
9,1629,20.111,0.361,213,1
9,1521,18.778,0.343,200,1
9,4545,56.111,0.189,654,1
9,2430,30,0.111,213,1
7,1386,28.286,0.17,174,1
7,1225,25,0.186,188,1
7,560,11.429,0.155,74,1
9,1359,16.778,0.139,162,1
8,1592,24.875,0.115,155,1
1,89,89,0.169,14,1
1,36,36,0.306,6,2
13,494,2.923,0.285,39,1
8,504,7.875,0.321,89,1
9,972,12,0.247,142,1
9,990,12.222,0.311,148,1
9,2241,27.667,0.301,344,1
8,4088,63.875,0.084,261,1
8,1496,23.375,0.155,168,1
10,830,8.3,0.208,120,1
7,315,6.429,0.254,57,1
9,4410,54.444,0.067,212,1
8,1560,24.375,0.175,221,1
3,1614,179.33,0.37,27,2
25,7300,11.68,0.479,461,1
9,1629,20.111,0.375,211,1
2,42,10.5,0.167,5,1
7,371,7.571,0.267,63,1
9,2709,33.444,0.178,371,1
9,1917,23.667,0.203,276,1
8,816,12.75,0.212,138,1
25,2100,3.36,0.443,110,1
24,4464,7.75,0.514,304,1
8,480,7.5,0.433,69,1
9,927,11.444,0.399,124,1
2,1074,268.5,0.537,26,2
7,91,1.857,0.33,17,1
9,3069,37.889,0.072,165,1
6,78,2.167,0.372,17,1
9,4599,56.778,0.225,751,1
6,84,2.333,0.321,15,1
7,98,2,0.245,13,1
1,177,177,0.203,35,1
10,5110,51.1,0.134,534,1
9,2331,28.778,0.22,370,1
8,1440,22.5,0.371,230,1
2,64,16,0.516,1,2
8,1184,18.5,0.182,180,1
6,486,13.5,0.282,102,1
7,1183,24.143,0.167,154,1
8,1936,30.25,0.128,195,1
2,90,22.5,0.078,6,1
11,583,4.818,0.225,38,1
1,25,25,1,1,4
1,15,15,0.867,1,2
14,168,0.857,0.661,12,1
58,174,0.052,0.339,1,4
11,1298,10.727,0.408,80,1
10,790,7.9,0.306,128,1
11,3168,26.182,0.248,386,1
3,12,1.333,0.75,1,1
1,7,7,1,1,1
13,78,0.462,0.436,1,1
13,689,4.077,0.509,61,1
12,540,3.75,0.467,38,1
168,24360,0.863,0.798,1488,3
10,200,2,0.61,15,1
14,5894,30.071,0.379,466,1
14,1274,6.5,0.389,98,1
11,1771,14.636,0.329,191,1
24,3192,5.542,0.907,155,1
187,25619,0.733,0.899,786,3
10,820,8.2,0.362,108,1
9,153,1.889,0.523,11,1
14,5208,26.571,0.378,395,1
10,180,1.8,0.522,11,1
14,3710,18.929,0.354,294,1
13,4550,26.923,0.381,386,1
9,162,2,0.63,14,1
8,416,6.5,0.45,65,1
14,5586,28.5,0.383,425,1
14,5138,26.214,0.349,398,1
10,180,1.8,0.572,16,1
11,1837,15.182,0.371,238,1
11,3212,26.545,0.341,371,1
1,255,255,0.686,36,2
1,9,9,0.889,1,2
10,1700,17,0.499,195,1
8,472,7.375,0.464,80,1
13,4602,27.231,0.38,398,1
8,464,7.25,0.442,65,1
18,18,0.056,1,1,4
27,27,0.037,1,1,4
17,1666,5.765,0.929,104,1
1,94,94,0.564,16,2
13,1599,9.462,0.428,156,1
14,2814,14.357,0.373,217,1
14,5838,29.786,0.359,467,1
9,153,1.889,0.536,13,1
28,9324,11.893,0.351,718,1
9,162,2,0.543,10,1
13,3471,20.538,0.401,286,1
11,2024,16.727,0.471,213,1
7,98,2,0.102,1,2
9,1116,13.778,0.348,151,1
11,781,6.455,0.69,77,1
16,1936,7.563,0.396,137,1
8,656,10.25,0.412,97,1
16,6528,25.5,0.39,482,1
17,6613,22.882,0.344,455,1
16,5392,21.063,0.369,387,1
11,242,2,0.632,19,1
4,8,0.5,1,1,4
11,4796,39.636,0.336,564,1
8,752,11.75,0.485,119,1
6,342,9.5,0.453,63,1
8,512,8,0.541,72,1
7,91,1.857,0.791,12,1
10,2680,26.8,0.494,220,1
9,2502,30.889,0.258,398,1
7,133,2.714,0.662,17,1
8,1304,20.375,0.383,179,1
7,686,14,0.207,100,1
5,885,35.4,0.226,117,1
17,374,1.294,0.321,14,1
6,360,10,0.292,67,1
7,931,19,0.211,112,1
3,1623,180.33,0.71,13,2
84,84,0.012,1,1,4
9,2997,37,0.237,452,1
9,1773,21.889,0.274,278,1
17,408,1.412,0.36,25,1
10,2920,29.2,0.203,397,1
5,470,18.8,0.234,79,1
7,392,8,0.329,78,1
10,3300,33,0.225,518,1
9,2745,33.889,0.191,375,1
6,576,16,0.26,98,1
6,576,16,0.234,67,1
6,582,16.167,0.282,89,1
7,679,13.857,0.211,95,1
9,720,8.889,0.231,108,1
6,576,16,0.318,61,1
5,495,19.8,0.303,78,1
63,4977,1.254,0.338,9,3
7,252,5.143,0.456,56,1
7,392,8,0.143,36,1
1,95,95,0.379,35,1
8,160,2.5,0.263,21,1
9,882,10.889,0.285,122,1
7,84,1.714,0.25,12,1
8,616,9.625,0.232,97,1
7,56,1.143,0.214,7,1
7,42,0.857,0.286,7,1
8,240,3.75,0.242,38,1
6,90,2.5,0.244,10,1
7,189,3.857,0.259,34,1
7,245,5,0.245,44,1
8,680,10.625,0.238,111,1
5,125,5,0.4,33,1
20,780,1.95,0.232,53,1
1,283,283,0.993,2,2
13,4524,26.769,0.195,537,1
10,170,1.7,0.224,16,1
1,69,69,0.667,11,2
14,6160,31.429,0.158,632,1
14,5726,29.214,0.172,551,1
1,199,199,0.945,5,2
7,126,2.571,0.167,8,1
9,2691,33.222,0.226,385,1
8,336,5.25,0.271,59,1
8,896,14,0.17,120,1
7,1246,25.429,0.242,213,1
7,525,10.714,0.156,64,1
6,1956,54.333,0.213,323,1
8,2720,42.5,0.183,355,1
7,2422,49.429,0.167,339,1
9,297,3.667,0.347,40,1
9,63,0.778,0.349,6,1
11,3333,27.545,0.183,123,1
2,44,11,0.477,1,2
14,1372,7,0.308,174,1
38,4826,3.342,0.464,657,1
1,70,70,1,1,2
1,14,14,1,1,2
9,1359,16.778,0.257,236,1
8,208,3.25,0.293,30,1
22,4576,9.455,0.203,585,1
