@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,7-8,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
3.4,0.426,3.02,145,1
11.615,0.302,2.59,593,1
5.5,0.402,3.03,318,1
0.143,1,7,7,4
5.75,0.266,1.85,98,1
10.333,0.278,1.66,233,1
13.222,0.422,2.34,452,1
30,0.511,2.34,138,1
19.111,0.353,2.43,546,1
16.25,0.36,2.21,374,1
31.462,0.312,3.03,1657,1
11.833,0.337,3.04,575,1
15,0.394,2.2,213,1
8.556,0.486,2.63,337,1
2.308,0.356,3.23,139,1
16.833,0.411,1.93,249,1
4.848,0.219,6.34,1154,1
4.462,0.336,3.2,253,1
1.444,0.564,3.88,66,1
3.083,0.41,3.87,182,1
23.2,0.376,2.18,218,1
6.571,0.298,2.18,96,1
13.5,0.293,1.69,253,1
10,0.36,1.58,90,1
6.085,0.183,4.67,2459,5
13.375,0.384,2.12,329,1
30.636,0.179,2.09,664,1
7.625,0.316,2.03,154,1
10.789,0.279,2.39,4341,1
2.429,0.555,2.64,66,1
8.75,0.464,2.36,260,1
8.182,0.362,2.82,358,1
8.5,0.454,2.44,139,1
37.545,0.356,2.44,1619,1
3.529,0.139,7.1,142,5
5,0.472,2.74,236,1
13.286,0.307,2.5,799,1
1,0.778,7,7,1
1.714,0.476,2.86,40,1
3.714,0.33,2.07,60,1
0.625,0.275,3.67,11,5
30.111,0.285,1.82,696,1
22,0.289,1.88,515,1
9.286,0.316,1.52,144,1
2.833,0.343,1.3,35,1
24.636,0.198,1.52,591,1
0.125,0.875,7,7,5
1.25,0.313,1.92,25,1
2.25,0.417,1.67,15,1
10,0.212,1.45,212,1
0.714,0.2,7,7,1
30.625,0.198,1.36,389,1
6,0.223,1.47,134,1
2.429,0.328,1.44,39,1
5.75,0.285,1.42,105,1
32.875,0.154,1.19,325,1
10,0.8,4,8,1
1.286,0.317,2.22,20,1
1.5,0.333,2,8,1
4.667,0.292,1.29,49,1
2.071,0.14,1.63,57,1
1.375,0.159,1.75,14,1
2.167,0.295,1.64,23,1
5.857,0.213,1.33,61,1
1.833,0.333,1.69,22,1
3,0.292,1.4,14,1
2.556,0.213,1.57,44,1
2.6,0.415,1.69,27,1
27,0.407,1.83,11,2
1.889,0.183,1.75,28,1
2.286,0.25,2,28,1
5.3,0.215,1.44,114,1
1.167,0.262,1.83,11,1
2.571,0.27,1.36,34,1
5.111,0.242,1.47,100,1
3.375,0.269,1.29,58,1
0.571,0.321,3,9,1
4.714,0.299,1.44,69,1
1.143,0.286,1.78,16,1
3.857,0.28,1.33,53,1
5.875,0.221,1.26,83,1
2.444,0.192,1.31,38,1
0.556,0.244,2.2,11,1
10.125,0.221,1.29,143,1
3,0.36,1.35,27,1
5.857,0.345,1.55,99,1
4.9,0.196,1.26,96,1
0.714,0.257,2.25,9,1
1.833,0.303,1.54,20,1
6.222,0.196,1.24,99,1
1,0.52,2.17,13,1
4.556,0.244,1.32,90,1
2,0.337,1.38,33,1
1.286,0.349,1.83,22,1
6.857,0.33,1.44,111,1
3,0.293,1.34,43,1
6,0.191,1.24,93,1
4.333,0.239,1.53,84,1
1.167,0.357,2.14,15,1
2,0.357,1.52,35,1
5.571,0.33,1.43,90,1
3,0.327,1.71,48,1
1.571,0.377,1.38,29,1
2.286,0.286,1.68,32,1
3,0.333,1.4,49,1
1.143,0.268,1.07,15,1
1.571,0.312,1.33,24,1
3.333,0.248,1.46,67,1
2.2,0.364,1.33,20,1
3,0.279,1.52,41,1
5.429,0.338,1.55,90,1
2,0.265,1.18,26,1
2.333,0.274,1.28,23,1
4,0.264,1.46,38,1
2.167,0.308,1.41,24,1
2,0.327,1.45,32,1
2.5,0.267,2,24,1
1.167,0.286,1.5,12,1
5,0.213,1.24,68,1
2.889,0.175,1.37,41,1
2.286,0.259,2.07,29,1
1.889,0.229,1.67,35,1
29.571,0.249,1.29,361,1
3.111,0.258,1.51,65,1
6.333,0.377,1.51,86,1
4.333,0.259,1.49,91,1
6.429,0.254,1.29,80,1
8.429,0.228,1.24,94,1
11.444,0.243,1.42,225,1
2.167,0.308,1.41,24,1
2,0.259,1.56,42,1
1.429,0.3,1.5,21,1
5.4,0.304,1.41,41,1
7.429,0.266,1.21,97,1
2.222,0.261,1.68,47,1
1.571,0.377,1.53,29,1
6.4,0.413,1.35,66,1
1.571,0.299,1.35,23,1
2.571,0.302,1.36,38,1
2,0.241,1.44,39,1
2.429,0.269,1.52,32,1
5,0.347,1.52,85,1
2.2,0.436,1.71,24,1
5.714,0.339,1.44,95,1
5.857,0.321,1.48,92,1
4.889,0.258,1.38,102,1
1.143,0.464,2.17,26,1
3.889,0.362,1.97,114,1
1.2,0.208,1.67,25,5
1.25,0.475,2.92,38,1
22.583,0.248,1.86,805,1
1.313,0.095,1.6,32,5
2,0.477,2.44,61,1
0.906,0.181,4.69,460,5
2.556,0.386,2.42,80,1
1.4,0.2,7,7,2
1.25,0.438,1.94,35,1
0.444,0.25,9,9,5
0.333,0.292,2,14,5
1.5,0.417,2.11,40,1
3.5,0.337,2.62,118,1
4.5,0.406,1.89,117,1
6.222,0.339,2.22,171,1
1.091,0.455,2.22,60,1
4.1,0.339,2.01,139,1
7,0.424,2.09,190,1
12.182,0.286,2.36,422,1
19,0.737,4.67,14,2
1,0.391,2.78,25,1
3.286,0.447,1.89,72,1
1.5,0.427,2.73,41,1
30.222,0.269,1.87,659,1
1.75,0.42,2.04,47,1
3.125,0.37,2.06,74,1
1,0.484,3.44,31,1
4,0.308,2.01,149,1
0.875,0.375,2.63,21,1
1.75,0.357,2,40,1
2.818,0.323,2.08,110,1
4.429,0.461,2.44,100,1
10.25,0.402,2.1,264,1
2.25,0.361,2.17,52,1
0.8,0.65,3.25,13,1
21.818,0.27,2.05,714,1
2.5,0.456,2.35,73,1
1.778,0.326,1.74,47,1
2.333,0.571,2.29,48,1
2.625,0.411,2.23,69,1
4.909,0.258,1.99,153,1
1.5,0.438,2,42,1
3.778,0.356,2.06,109,1
2.143,0.448,1.74,47,1
3.6,0.319,1.98,115,1
2.75,0.392,2.56,69,1
21.182,0.245,1.8,629,1
2.3,0.248,2.19,57,1
1.5,0.385,1.95,37,1
3.5,0.46,2.58,103,1
4.4,0.314,1.92,138,1
5.375,0.343,1.71,118,1
3.111,0.317,1.95,80,1
2,0.378,1.95,37,1
1.95,0.14,3.21,109,5
4.1,0.276,1.61,113,1
2.714,0.398,1.83,53,1
0.286,0.857,12,12,1
1,0.778,7,7,1
0.75,0.667,2.67,8,1
0.9,0.333,2.5,30,1
1.429,0.386,2.08,27,1
2.6,0.462,4.29,30,1
2,0.328,1.91,42,1
5,0.494,2.2,121,1
6.167,0.392,2.23,87,1
2.75,0.295,2.6,52,1
4.25,0.36,1.88,98,1
2.375,0.434,3,66,1
1,0.347,2.83,17,1
5.889,0.335,2.42,160,1
0.625,0.375,2.14,15,1
2.3,0.348,2.22,80,1
1.625,0.471,1.81,49,1
1.5,0.385,1.48,37,1
4.125,0.345,1.57,91,1
26.2,0.29,1.76,761,1
4.625,0.334,1.87,99,1
3,0.363,2.42,109,1
2.6,0.35,2.33,91,1
5.8,0.3,2.17,174,1
25.1,0.281,1.77,705,1
26.1,0.269,1.81,701,1
23.727,0.246,1.93,707,1
2.875,0.353,1.91,65,1
0.5,0.594,2.71,19,1
1.857,0.429,2.05,39,1
2.571,0.397,1.79,50,1
2.714,0.451,2.73,60,1
3.25,0.37,1.75,77,1
1.333,0.5,2.18,24,1
1.875,0.458,2.2,55,1
3.25,0.24,2.5,50,1
5.2,0.269,2,140,1
3.6,0.264,1.86,95,1
6.222,0.327,1.94,165,1
1.167,0.452,2.11,19,1
4,0.295,2.07,118,1
0.875,0.357,1.82,20,1
21,0.32,1.76,430,1
0.75,0.313,3,15,1
5.9,0.251,1.7,148,1
2.857,0.464,2.32,65,1
5,0.404,1.9,99,1
1.143,0.411,2.3,23,1
2.857,0.336,2.24,47,1
3.286,0.348,1.37,56,1
5.75,0.407,3.15,337,1
7.375,0.508,8.05,2157,1
9,0.317,1.71,140,1
13.25,0.358,2.29,304,1
268,0.538,30.37,577,2
29.125,0.262,1.58,488,1
7.286,0.207,1.14,74,1
88,0.193,1,17,1
1.857,0.264,1.85,24,1
40,0.175,1.17,7,1
1.857,0.308,1.56,28,1
56.667,0.137,1.24,629,1
50.333,0.08,1.21,326,1
9.429,0.171,1.49,79,1
12.75,0.403,2.7,329,1
6.2,0.355,1.49,55,1
57.778,0.081,1.37,378,1
18.5,0.208,1.24,246,1
12.625,0.222,1.29,179,1
19.64,0.454,7.21,5572,1
8.714,0.319,1.77,136,1
1.143,0.481,7.43,431,3
20,0.343,2.47,555,1
32,0.43,3.93,55,2
59.222,0.167,1.34,799,1
21,0.215,1.28,221,1
1.069,0.463,6.93,416,3
268.5,0.507,181.33,544,2
21.714,0.214,1.27,228,1
32.571,0.154,1.4,245,1
59.222,0.166,1.3,797,1
12,0.276,1.77,212,1
13.375,0.363,2.24,311,1
59.556,0.189,1.38,913,1
49.5,0.253,4.55,50,2
268.5,0.52,26.57,558,2
18.875,0.174,1.18,210,1
21.9,0.153,1.24,334,1
148,0.986,73,146,2
25.1,0.141,1.23,354,1
20.143,0.163,1.16,161,1
60,0.2,1.09,12,1
8.625,0.159,1.29,88,1
187,0.963,25.71,180,2
7.48,0.486,7.42,2272,1
269,0.519,34.88,558,2
51.1,0.115,1.53,588,1
4.75,0.128,1.86,39,1
14.333,0.169,1.41,196,1
50.8,0.16,1.41,813,1
5.857,0.254,1.43,73,1
24.714,0.207,1.34,251,1
39.111,0.205,1.34,651,1
28.444,0.099,1.36,227,1
29.286,0.109,1.26,156,1
21.556,0.169,1.37,295,1
18.556,0.378,2.88,568,1
7.75,0.214,1.43,106,1
27,0.156,1.33,270,1
28.778,0.189,1.31,441,1
2.167,0.346,2.7,27,1
31.857,0.121,1.33,189,1
267.5,0.55,117.8,589,2
56.556,0.096,1.34,439,1
16.444,0.146,1.17,195,1
16.714,0.186,1.26,152,1
4.222,0.313,2.18,107,1
7,0.42,4.75,423,1
0.786,0.526,8.1,81,1
5.917,0.481,5.86,410,1
7.083,0.476,5.4,486,1
20.727,0.282,2.96,708,1
8.9,0.252,3.25,224,1
36,0.583,5.25,21,2
5.375,0.445,2.73,153,1
14.042,0.945,18.29,7647,1
22.429,0.379,4.66,1664,1
15.9,0.377,3.13,600,1
1.8,0.539,8.82,97,1
19.25,0.424,2.75,522,1
9.111,0.335,2.47,247,1
6,0.623,6.73,538,1
1.8,0.6,7.2,108,1
1,0.778,7,7,1
27,0.259,1.4,7,2
1.333,0.667,8,8,1
2,0.66,7.13,107,1
6.75,0.537,3.36,232,1
6,0.63,6.11,544,1
0.889,0.722,13,52,1
17.077,0.377,4.92,1087,1
25.2,0.377,2.88,950,1
1.9,0.542,7.36,103,1
16.727,0.484,4.6,979,1
0.111,1,9,9,4
6,0.615,6.4,531,1
10.44,0.887,17.75,5785,1
10.036,0.318,4.72,2502,1
1.9,0.6,8.14,114,1
41,0.329,2.67,1094,1
6,0.635,5.97,549,1
29.714,0.384,4.64,2234,1
1.6,0.425,7.56,68,1
16.727,0.46,4.41,931,1
27.667,0.346,2.54,776,1
9.889,0.362,4.36,2610,1
8.067,0.428,5.35,776,1
18.636,0.371,3.01,837,1
0.917,0.652,12.29,86,1
24.438,0.401,5.26,2508,1
9.051,0.557,16.89,7667,1
1.667,0.546,8.19,131,1
8.12,0.837,15.22,4246,1
14.8,0.414,5.34,1378,1
5.75,0.332,2.81,275,1
23.875,0.375,5.16,2292,1
13.917,0.894,14.3,7164,1
9.111,0.306,2.86,226,1
8.545,0.38,3.12,393,1
24.8,0.356,2.6,883,1
1.625,0.625,5.91,65,1
23.8,0.353,2.85,840,1
27.9,0.377,2.7,1052,1
8.889,0.304,1.8,219,1
23,0.237,1.64,349,1
1.424,0.659,148.36,3264,1
30.667,0.272,1.54,300,1
9.5,0.232,1.88,141,1
14.125,0.21,1.41,190,1
7.833,0.177,1.61,50,1
6.25,0.28,1.33,28,1
23.143,0.096,1.49,109,1
1.294,0.409,4.5,153,1
18.9,0.263,2.34,498,1
28.875,0.21,1.65,389,1
3.4,0.376,2.91,32,1
31.857,0.205,1.4,320,1
11.111,0.247,1.83,222,1
11,0.267,1.81,47,1
21.4,0.247,1.43,132,1
2.473,0.544,127,7366,1
13.714,0.234,2.28,628,1
20.286,0.236,2.24,938,1
8.714,0.241,1.47,103,1
18.8,0.277,1.63,130,1
15.833,0.274,1.97,156,1
18.8,0.313,1.91,147,1
2.714,0.286,1.65,38,1
15.5,0.276,1.52,154,1
1.5,0.44,5.28,169,1
7.583,0.281,2.46,307,1
16,0.262,1.51,151,1
3.132,0.158,113.89,4100,5
0.769,0.454,245.83,1475,3
0.125,1,8,8,4
6,0.396,2.03,152,1
0.4,0.8,8,8,1
23.5,0.17,1.14,16,1
22,0.318,1.17,7,1
13.667,0.104,1.31,51,1
0.286,0.643,9,9,4
4.418,0.088,1.54,1748,1
3,0.343,1.76,37,1
6.625,0.192,1.49,325,1
4,0.286,1.56,56,1
9.286,0.407,2.18,185,1
14.167,0.239,1.42,122,1
5.6,0.307,1.39,43,1
3.143,0.097,1.36,15,1
5.714,0.229,1.25,64,1
6.667,0.221,1.43,53,1
1.333,0.417,2.86,20,1
4.857,0.273,1.48,65,1
12,0.667,4,8,2
9.4,0.286,1.78,269,1
277,0.993,137.5,275,2
5.857,0.261,1.32,75,1
50,0.46,11.5,92,2
0.111,1,9,9,4
14.889,0.216,1.65,260,1
71,0.521,2.31,37,2
43.25,0.144,1.31,398,1
22.5,0.21,1.37,170,1
19.286,0.202,1.43,191,1
13,0.179,1.24,114,1
12.6,0.21,1.47,66,1
2.5,0.3,3,12,1
10,1,10,10,2
2.75,0.398,2.59,70,1
0.667,0.417,5,10,1
12.1,0.268,2.47,324,1
10.5,0.452,6.33,19,2
8.182,0.385,2.41,381,1
9.455,0.394,2.97,451,1
6,0.261,2.31,307,1
4.1,0.463,2.79,190,1
0.139,0.656,7.87,118,1
1.091,0.5,4.13,66,1
70,0.943,22,66,2
4.7,0.481,2.97,226,1
