@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,7-8,11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,29,1.53,75,1
7,33,1.57,85,1
7,22,1.23,38,1
9,72,1.61,156,1
7,36,1.36,76,1
7,30,1.54,71,1
7,32,1.53,61,1
7,4,3.67,11,1
7,51,1.66,116,1
7,22,1.32,50,1
6,14,1.2,24,1
8,16,1.42,27,1
7,6,1.4,14,1
7,24,1.38,33,1
6,27,1.11,39,1
7,21,1.46,38,1
6,26,1.41,45,1
8,30,1.35,58,1
7,23,1.29,45,1
9,91,1.37,169,1
5,32,1.41,65,1
6,13,1.65,28,1
5,7,1.75,14,1
7,65,1.57,129,1
5,43,1.45,80,1
7,36,1.27,66,1
7,18,1.55,45,1
8,6,1.64,18,1
5,5,1.75,7,1
7,10,1.28,23,1
9,107,1.34,209,1
9,50,1.32,99,1
8,41,1.43,96,1
6,7,1.38,11,1
9,184,1.36,341,1
5,11,1.57,22,1
7,8,1.38,18,1
7,21,1.35,42,1
6,10,1.93,27,1
8,9,2.09,23,1
5,7,2.11,19,1
8,43,1.69,137,1
13,5,8,8,5
11,42,1.93,135,1
10,23,2.44,83,1
8,30,2.12,104,1
11,57,2.47,185,1
11,32,1.89,106,1
11,34,2.47,121,1
2,9,10,10,2
11,19,1.93,79,1
19,13,1.51,53,1
8,6,3,24,1
8,14,1.96,51,1
25,9,2.47,42,5
9,12,2.33,42,1
8,35,2.02,107,1
8,42,1.88,139,1
11,39,2.47,136,1
8,19,1.74,54,1
10,27,2.02,99,1
10,32,2.1,107,1
8,12,1.86,41,1
8,34,2.1,101,1
11,52,2.05,160,1
11,87,1.89,242,1
8,49,1.81,159,1
8,15,2.91,67,1
7,47,2.31,125,1
1,47,47,47,2
8,21,1.67,60,1
9,240,1.66,559,1
9,35,2,104,1
8,14,2.6,52,1
8,32,2.47,94,1
8,38,2.65,122,1
8,35,2.39,117,1
10,20,2.14,77,1
9,52,2.4,168,1
11,13,2.08,50,1
11,12,3,39,1
8,14,2.27,50,1
11,25,2.56,92,1
12,271,1.93,753,1
8,14,2.04,47,1
10,19,1.69,59,1
9,54,1.98,190,1
8,12,2.38,38,1
8,7,2.18,24,1
8,12,1.86,39,1
8,16,2.04,55,1
11,122,1.94,344,1
8,22,2.3,69,1
8,10,1.88,32,1
8,12,2.56,41,1
11,33,2.1,101,1
6,7,2.1,21,1
11,27,2.43,90,1
6,146,1.83,285,1
7,7,3.25,13,1
7,6,1.89,17,1
10,13,1.61,37,1
10,51,1.66,143,1
10,37,1.83,121,1
10,11,2.5,45,1
6,13,2.27,34,1
6,17,2.56,46,1
34,27,3.09,201,5
8,32,2.1,101,1
16,29,2.58,67,5
10,103,1.77,258,1
10,8,1.56,25,1
9,2,11,11,4
8,12,2.83,51,1
8,16,1.8,54,1
7,4,2.33,14,1
5,13,3,36,1
10,39,2.79,134,1
10,7,2.78,25,1
11,127,2.23,371,1
8,14,2.23,49,1
8,19,2.16,69,1
10,18,1.96,53,1
8,24,1.56,61,1
5,7,2.5,20,1
10,30,2.14,107,1
8,20,2.25,63,1
8,25,1.84,81,1
10,30,1.79,100,1
8,40,1.75,119,1
9,14,2.47,42,1
10,41,1.93,114,1
8,9,1.63,26,1
10,262,1.8,719,1
10,29,1.83,84,1
8,18,2.24,56,1
8,10,1.53,26,1
10,34,1.84,103,1
8,25,1.89,83,1
8,40,1.68,116,1
10,40,1.9,118,1
10,54,1.94,165,1
8,16,1.91,44,1
7,12,2.36,33,1
8,19,1.97,59,1
8,24,2.21,62,1
10,39,1.69,120,1
10,73,1.84,199,1
7,38,2.04,94,1
8,9,2.33,28,1
7,4,5,15,1
9,46,1.72,131,1
5,15,2.05,41,1
8,24,1.8,72,1
8,63,1.58,168,1
10,14,1.91,44,1
8,33,1.9,99,1
8,7,1.36,19,1
7,11,1.75,35,1
8,23,1.51,59,1
8,25,1.73,71,1
10,22,1.74,61,1
22,67,2.91,326,1
13,38,3.6,155,1
9,179,2.4,550,1
2,536,180.33,541,2
2,536,24,576,2
5,13,10,10,1
8,145,1.24,181,1
5,5,3,9,1
8,84,1.4,154,1
9,148,1.37,258,1
9,535,1.29,606,1
32,106,4.56,671,5
8,75,3.02,254,1
10,185,2.81,666,1
9,245,1.39,353,1
9,107,1.36,184,1
8,256,1.26,253,1
7,305,1.21,232,1
1,257,257,257,2
7,216,3.11,693,1
9,187,3.03,707,1
9,535,1.36,832,1
9,535,1.36,921,1
9,185,2.83,643,1
2,98,9.4,94,2
9,151,1.4,250,1
9,536,1.38,441,1
9,217,1.4,329,1
10,336,1.32,549,1
9,535,1.38,793,1
24,282,7.8,2995,1
9,108,2.45,335,1
1,143,1.06,19,1
9,127,1.28,199,1
8,203,1.27,242,1
1,26,26,26,2
7,148,1.2,191,1
31,37,2.07,217,5
9,183,2.25,538,1
8,15,1.86,39,1
10,137,1.4,261,1
10,511,1.35,805,1
25,186,7.39,2253,1
7,215,3.2,810,1
9,185,3.13,694,1
5,31,1.91,65,1
1,167,1.03,32,1
9,102,1.29,177,1
9,194,1.4,333,1
6,80,1.51,169,1
7,151,1.33,81,1
2,537,24.88,597,2
13,104,3.44,268,1
6,14,1.57,33,1
7,13,2.6,26,1
7,14,1.94,31,1
9,107,2.08,316,1
7,171,1.25,192,1
1,16,16,16,2
5,10,7,14,1
7,75,5.51,347,1
11,190,2.11,500,1
1,14,3,9,2
1,104,50.5,101,2
7,70,3.23,262,1
10,155,2.8,506,1
10,10,50,50,1
3,3,7,7,1
9,62,3.26,225,1
11,183,4.66,969,1
10,19,8.23,107,1
8,63,2.41,219,1
13,400,4.52,1891,1
9,14,6.17,74,1
12,335,4.61,1606,1
13,159,4.81,852,1
17,245,12.97,3801,1
12,175,4.28,847,1
8,1,8,8,4
1,159,77.5,155,2
25,169,1.58,923,1
12,71,6.77,535,1
12,383,2.91,1409,1
9,83,2.94,262,1
10,155,2.78,542,1
7,45,2.45,152,1
10,19,6.94,111,1
10,20,8.82,97,1
9,19,7.23,94,1
10,17,7.58,91,1
27,320,4.53,2774,1
9,83,2.93,249,1
1,63,2.31,37,2
16,427,5.56,2736,1
11,198,2.9,834,1
1,42,1.6,8,2
83,326,7.55,7741,5
72,96,15.69,3374,3
31,322,16.87,6881,1
3,4,11,11,1
16,359,5.41,2158,1
9,70,2.79,273,1
11,19,7.56,121,1
11,56,3.09,238,1
16,424,5.34,2514,1
23,120,17.44,2599,1
10,256,2.84,928,1
12,22,8.35,142,1
12,20,9,126,1
82,314,10.84,7618,1
11,236,2.91,920,1
5,2,9,9,4
24,135,18.69,2953,1
12,22,7.5,150,1
16,439,5.09,2696,1
9,230,2.63,826,1
8,13,7.1,71,1
8,48,1.68,136,1
10,316,2.74,1158,1
8,170,1.6,377,1
10,398,2.44,1361,1
8,162,3.12,265,1
8,109,2.47,390,1
8,1,8,8,1
6,217,1.52,326,1
7,240,1.64,362,1
5,70,1.4,63,1
5,203,1.3,243,1
18,158,2.46,563,1
17,11,9.75,78,1
5,34,1.26,24,1
5,46,1.43,40,1
7,192,1.36,183,1
7,211,1.7,380,1
19,201,2.07,909,1
10,58,2.81,233,1
5,94,1.62,86,1
4,95,1.51,118,1
6,96,1.51,154,1
136,1,135,135,4
6,96,1.58,158,1
16,92,3.61,361,1
64,73,72.38,1882,3
63,66,44.37,2041,3
4,108,56,336,2
11,57,2.95,215,1
9,211,1.48,416,1
7,12,2.38,19,1
1,76,36.5,73,2
6,7,2.33,14,1
6,9,2,16,1
3,8,1.33,8,1
9,44,2.47,163,1
5,12,1.71,12,1
5,58,1.18,26,1
1,45,1.07,16,1
7,118,2.26,319,1
7,34,1.43,60,1
6,13,1.53,23,1
5,6,2,12,1
5,11,1.7,17,1
7,15,1.5,21,1
8,42,1.74,87,1
5,18,1.45,29,1
9,132,1.54,225,1
11,552,4955,4955,2
1,16,15,15,2
11,367,1.64,891,1
14,422,1.7,1062,1
13,311,1.63,873,1
1,17,17,17,2
10,20,1.9,55,1
1,8,8,8,2
1,17,17,17,2
9,137,1.7,290,1
6,96,1.38,137,1
8,319,1.26,445,1
7,65,1.38,98,1
7,92,1.88,199,1
1,106,1.02,46,2
20,16,26.67,160,1
28,45,7.86,464,1
9,38,2.25,72,1
12,115,1.74,353,1
11,5,12,36,1
11,303,7.49,502,1
10,10,3.17,57,1
38,69,4.27,1247,1
14,141,2.29,549,1
7,1,7,7,4
10,11,4.5,54,1
11,12,4.33,65,1
9,45,1.68,124,1
