@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
504,6.222,1
104,1.625,1
104,1.625,1
35,1.4,1
40,0.625,1
1067,8.818,1
360,4.444,1
168,2.625,1
297,3.667,1
112,1.75,1
230,2.3,1
63,1.286,1
200,3.125,1
175,3.571,1
42,0.857,1
115,4.6,1
96,1.5,1
144,2.25,1
1107,13.667,1
1485,18.333,1
27,3,1
2736,33.778,1
492,13.667,1
4788,59.111,1
78,2.167,1
48,3,1
490,19.6,1
6720,11.667,1
584,9.125,1
1498,30.571,1
2754,34,1
1392,21.75,1
2403,29.667,1
1792,36.571,1
249,249,1
4806,59.333,1
200,200,1
481,2.846,1
1638,20.222,1
972,12,1
174,4.833,1
5350,53.5,1
1505,30.714,1
747,9.222,1
918,11.333,1
488,7.625,1
1533,31.286,1
1584,24.75,1
2964,17.538,1
481,2.846,1
4272,7.417,1
186,186,2
1863,23,1
927,11.444,1
2744,42.875,1
62,62,2
4450,7.12,1
2016,3.5,1
1720,26.875,1
1719,21.222,1
192,5.333,1
4590,56.667,1
5621,46.455,1
1074,268.5,2
1575,19.444,1
1611,179,2
3178,16.214,1
999,12.333,1
1074,268.5,2
4824,59.556,1
558,139.5,1
1264,19.75,1
4450,7.12,1
1008,12.444,1
1116,13.778,1
1674,20.667,1
192,5.333,1
891,11,1
98,2,1
4590,56.667,1
486,13.5,1
497,10.143,1
4590,56.667,1
2951,17.462,1
918,11.333,1
74,74,1
4815,59.444,1
5040,50.4,1
2625,53.571,1
24174,1.033,3
22991,3.337,5
12367,1.795,3
39,0.026,4
180,180,2
1040,6.154,1
451,3.727,1
310,3.1,1
42,0.024,4
117,0.692,1
49,1,1
1969,16.273,1
36,2.25,2
852,5.917,1
5628,28.714,1
5390,27.5,1
90,0.9,1
9,1,1
34,34,2
2024,16.727,1
3784,31.273,1
162,2,1
4788,6.107,1
1550,15.5,1
774,9.556,1
1296,20.25,1
3420,23.75,1
9,1,1
144,1.778,1
1449,17.889,1
2842,14.5,1
5460,27.857,1
760,11.875,1
180,2.222,1
1672,13.818,1
100,1,1
1368,16.889,1
3556,18.143,1
3036,5.739,1
2769,16.385,1
1729,10.231,1
13,0.077,4
432,12,1
7,7,1
1386,17.111,1
4908,34.083,1
28,28,2
6640,25.938,1
4080,7.083,1
5456,21.313,1
590,5.9,1
264,1.833,1
6766,23.412,1
3632,14.188,1
220,1.818,1
3408,23.667,1
6784,26.5,1
864,6,1
6672,26.063,1
28,0.143,4
242,2,1
9,0.111,4
2529,31.222,1
3222,39.778,1
133,2.714,1
2690,26.9,1
1458,18,1
1467,18.111,1
35,0.714,1
10092,1.333,1
330,2.727,1
357,1.235,1
391,1.353,1
1494,18.444,1
1617,33,1
408,1.412,1
1589,32.429,1
15,1.667,1
679,13.857,1
1491,30.429,1
686,14,1
12561,2.013,1
4199,24.846,1
564,15.667,1
582,16.167,1
576,16,1
576,16,1
576,16,1
410,16.4,1
2979,36.778,1
2820,28.2,1
576,16,1
576,16,1
81,1,1
833,17,1
41,41,1
42,42,1
413,8.429,1
875,17.857,1
1032,16.125,1
532,10.857,1
300,8.333,1
47,47,1
210,4.286,1
2349,29,1
2116,4,1
147,3,1
354,9.833,1
270,7.5,1
135,5.4,1
552,8.625,1
120,4.8,1
196,4,1
35,1.4,1
8626,5.974,1
228,0.632,1
220,2.2,1
230,2.3,1
3732,25.917,1
4901,29,1
200,2,1
4872,24.857,1
632,9.875,1
472,7.375,1
2416,37.75,1
636,17.667,1
2422,49.429,1
945,19.286,1
2736,42.75,1
8,8,2
95,95,2
820,8.2,1
121,1,1
310,3.1,1
8,0.125,4
120,1.2,1
1976,1.368,1
2618,13.357,1
121,1,1
1700,17,1
1150,11.5,1
287,5.857,1
