@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
8,11.625,0.324,621,1
8,1.875,0.3,77,1
6,1.333,0.313,42,1
7,4.714,0.346,203,1
8,34.125,0.215,1764,1
10,1.9,0.584,155,1
11,10.455,0.266,915,1
12,22.583,0.248,1818,1
11,9.091,0.456,970,1
8,1.125,0.431,69,1
9,3.889,0.381,254,1
8,1.5,0.521,92,1
9,30.667,0.388,2102,1
10,0.4,0.35,36,1
15,8.067,0.428,1381,1
8,1.125,0.361,70,1
8,2.75,0.398,139,1
10,2.7,0.3,174,1
9,3.667,0.259,230,1
6,4.333,0.423,120,1
11,6.455,0.666,732,1
9,14.444,0.448,1026,1
7,2.571,0.238,90,1
9,2.778,0.32,159,1
8,1.625,0.587,87,1
9,2.889,0.291,186,1
7,8.571,0.286,372,1
8,2.5,0.375,116,1
9,9,0.337,669,1
9,1.889,0.229,89,1
10,4,0.278,246,1
14,24.286,0.383,2480,1
11,9.455,0.367,854,1
8,2.625,0.411,132,1
24,4,0.208,1161,1
7,1.429,0.386,64,1
8,5.375,0.212,248,1
6,2.833,0.275,84,1
10,5.3,0.306,471,1
9,3.222,0.234,232,1
9,2,0.63,153,1
7,2.571,0.254,106,1
10,27.1,0.199,1942,1
1,45,0.2,45,1
9,20.111,0.369,1201,1
5,7.8,0.41,169,1
7,9.857,0.188,364,1
11,1.091,0.295,108,1
9,1.111,0.344,48,1
10,10.1,0.442,864,1
7,1.429,0.343,55,1
7,1.857,0.363,91,1
9,6.556,0.492,457,1
10,3.5,0.434,281,1
9,59.444,0.118,2323,1
12,1.167,0.357,161,1
9,37.889,0.072,935,1
6,2,0.361,65,1
10,0.9,0.689,71,1
9,6.333,0.285,467,1
8,16.5,0.31,909,1
9,9.111,0.252,546,1
12,0.667,0.51,89,1
6,15.833,0.3,519,1
8,5,0.347,292,1
14,8.929,0.289,1285,1
8,3.75,0.354,180,1
9,15.222,0.235,854,1
3,5.333,0.375,45,1
13,6.462,0.35,644,1
9,10.889,0.491,859,1
7,1,0.592,47,1
4,8,0.313,128,1
15,10.267,0.423,1626,1
7,19.286,0.202,692,1
10,27.1,0.188,1803,1
7,16.429,0.273,567,1
9,12,0.222,756,1
8,4.125,0.436,234,1
8,6,0.302,351,1
5,23,0.417,529,1
6,3.333,0.175,95,1
8,4.75,0.401,227,1
7,8.429,0.242,283,1
10,12.1,0.268,804,1
8,4.5,0.427,266,1
7,4.286,0.295,184,1
7,1.429,0.3,52,1
9,20,0.343,1196,1
7,25.429,0.242,990,1
11,32.455,0.215,3232,1
7,0.857,0.333,42,1
15,20,0.252,2594,1
8,2.625,0.357,153,1
7,12.429,0.232,359,1
7,31.286,0.195,946,1
13,30.769,0.364,3168,1
11,2.182,0.53,192,1
9,4.222,0.313,212,1
9,2.333,0.317,147,1
6,43.833,0.124,1041,1
11,9.091,0.269,842,1
5,1.2,0.433,27,1
10,3.3,0.367,285,1
11,2.273,0.335,256,1
10,4.9,0.196,368,1
11,15,0.354,1282,1
9,3.222,0.287,195,1
7,7,0.3,247,1
7,6.714,0.322,274,1
10,2.3,0.313,205,1
10,27.1,0.193,2084,1
5,2.6,0.292,58,1
5,3.2,0.25,75,1
6,0.833,0.333,25,1
10,1.7,0.482,129,1
13,0.769,0.3,105,1
6,0.333,0.667,12,1
10,5.5,0.678,455,1
9,20.444,0.206,1091,1
7,27.143,0.293,1126,1
7,1.571,0.299,77,1
12,3.667,0.261,405,1
8,7.875,0.333,370,1
17,20.588,0.363,3433,1
10,1.8,0.294,164,1
8,38.625,0.186,1593,1
18,8.778,0.198,1190,1
7,9.286,0.284,385,1
9,2.333,0.519,178,1
7,0.857,0.5,23,1
5,2,0.56,48,1
12,0.667,0.198,96,1
10,8,0.308,670,1
10,2,0.375,171,1
12,6,0.63,765,1
10,3.7,0.327,353,1
26,6.538,0.188,4017,1
13,2.923,0.324,462,1
9,30.889,0.176,1485,1
7,2.429,0.555,111,1
6,16.5,0.301,477,1
10,2.2,0.318,171,1
8,25.375,0.149,1246,1
8,14,0.17,704,1
8,1.5,0.396,81,1
5,1.2,0.4,26,1
10,1.1,0.373,110,1
7,4.143,0.266,165,1
9,17.778,0.215,1152,1
22,3.227,0.519,1317,1
7,1.571,0.312,77,1
9,3.556,0.302,225,1
4,2.75,0.432,44,1
9,29.667,0.164,1754,1
7,1.429,0.286,54,1
7,1,0.286,28,1
7,2,0.49,92,1
5,8.6,0.405,211,1
7,3,0.32,105,1
9,3.889,0.263,210,1
8,2.75,0.438,139,1
9,5,0.306,243,1
7,1,0.347,49,1
3,1,0.778,7,1
8,3.875,0.347,182,1
8,39.875,0.174,1765,1
6,5.167,0.301,157,1
8,1.25,0.363,73,1
9,9.333,0.288,598,1
5,1.4,0.543,35,1
14,6,0.261,733,1
10,26.2,0.288,1945,1
7,4.286,0.352,166,1
9,16.444,0.146,743,1
8,1.875,0.325,100,1
8,1.625,0.394,95,1
9,3.889,0.33,263,1
11,4.636,0.294,462,1
5,6.4,0.35,138,1
9,11.889,0.357,667,1
9,5.222,0.336,377,1
8,1.5,0.469,96,1
7,1.286,0.349,47,1
8,12.375,0.199,524,1
7,1,0.286,49,1
7,1.857,0.242,83,1
6,1.167,0.286,36,1
8,33.875,0.217,1704,1
25,7.92,0.869,4611,1
6,1.833,0.364,55,1
5,2,0.5,42,1
8,6.25,0.405,397,1
9,20.111,0.375,1202,1
11,23.818,0.251,1951,1
11,7.182,0.321,620,1
11,4.727,0.262,491,1
6,16.667,0.345,477,1
10,6,0.203,357,1
7,8.714,0.319,422,1
12,7.583,0.281,644,1
5,6,0.587,144,1
10,3.1,0.284,259,1
4,2.5,0.3,26,1
5,2.2,0.364,55,1
9,28.778,0.189,1624,1
6,2.5,0.244,66,1
1,47,0.34,47,1
7,1.714,0.393,58,1
7,3.143,0.247,136,1
7,16.571,0.262,640,1
14,20.286,0.365,2147,1
9,5.444,0.247,318,1
8,3.125,0.355,156,1
12,7.417,0.429,939,1
8,1,0.484,64,1
9,9.222,0.284,634,1
11,2.273,0.327,231,1
9,4.111,0.538,300,1
12,3.417,0.289,364,1
8,43,0.216,2307,1
6,16,0.297,467,1
10,1,0.56,91,1
7,49.429,0.159,1813,1
10,5,0.326,434,1
11,19.364,0.264,1635,1
1,95,0.379,95,1
8,1.375,0.159,42,1
7,16,0.168,523,1
8,2.875,0.255,184,1
8,5,0.409,319,1
9,2.333,0.302,116,1
13,8.923,0.279,992,1
9,29.111,0.209,1657,1
10,26.2,0.274,1984,1
10,21.9,0.153,1317,1
13,1.923,0.234,93,1
6,2.333,0.571,82,1
7,5.714,0.25,233,1
8,10.375,0.325,603,1
10,5,0.472,406,1
8,3,0.318,132,1
8,5.75,0.356,352,1
9,5.222,0.371,366,1
13,33.308,0.375,3404,1
6,5.167,0.199,105,1
11,1.727,0.378,188,1
8,4.25,0.426,268,1
8,2.875,0.364,178,1
7,6,0.405,287,1
14,3.143,0.398,472,1
8,13.625,0.219,519,1
7,2.571,0.302,124,1
10,2.4,0.267,197,1
10,15.2,0.297,1182,1
9,1.778,0.208,103,1
7,4.857,0.282,186,1
7,5.571,0.147,131,1
25,7.48,0.472,4408,1
7,37.429,0.152,1254,1
8,1.875,0.317,89,1
10,6,0.223,364,1
10,15.5,0.35,1051,1
9,5.111,0.242,305,1
10,5.1,0.337,394,1
8,0.375,0.5,24,1
10,1.8,0.572,156,1
8,1.5,0.531,78,1
11,7.545,0.274,822,1
7,1.857,0.363,76,1
7,1,0.347,46,1
9,1.556,0.587,119,1
8,4.875,0.362,275,1
9,2,0.278,116,1
2,34.5,0.087,70,1
8,2.875,0.321,165,1
6,6.333,0.377,190,1
8,1.25,0.4,80,1
13,2.923,0.33,484,1
11,0.455,0.655,40,1
9,6.222,0.196,311,1
23,5.391,0.941,2852,1
6,2.667,0.49,90,1
8,3.125,0.515,163,1
7,1.429,0.286,62,1
5,1.4,0.429,31,1
8,4,0.336,202,1
8,9.875,0.375,604,1
9,17.778,0.36,1098,1
7,2.857,0.25,92,1
9,0.778,0.349,43,1
8,1.75,0.402,112,1
6,16,0.259,426,1
4,1.5,0.333,19,1
9,56.556,0.096,1736,1
9,4.778,0.481,369,1
9,1.333,0.426,108,1
12,0.667,0.302,96,1
6,16,0.309,371,1
19,10.579,0.238,2164,1
11,15.182,0.371,1470,1
11,0.818,0.465,81,1
10,3,0.363,213,1
5,10.4,0.208,141,1
10,26.2,0.19,1575,1
7,2.714,0.346,112,1
8,5.75,0.34,225,1
9,19.667,0.196,1195,1
8,1.125,0.278,36,1
10,1.7,0.571,156,1
10,1.5,0.36,122,1
9,0.667,0.5,32,1
8,1.875,0.25,97,1
13,15.462,0.4,1887,1
10,28.4,0.202,2013,1
7,1.857,0.67,81,1
14,11.071,0.303,1386,1
7,3.286,0.447,123,1
8,2.125,0.346,136,1
10,2.3,0.343,182,1
9,4.889,0.412,315,1
10,2.8,0.293,224,1
7,2.429,0.286,109,1
6,1.167,0.5,41,1
6,1.167,0.405,35,1
8,0.375,0.458,16,1
6,0.667,0.5,18,1
8,5.375,0.349,280,1
9,15,0.249,761,1
8,10.25,0.396,468,1
5,0.8,0.5,14,1
8,28.875,0.21,1003,1
1,7,1,7,1
8,37.25,0.138,1412,1
9,28.667,0.173,1350,1
17,4.529,0.314,995,1
10,26.2,0.29,2163,1
9,10.222,0.287,575,1
8,20.25,0.327,1024,1
5,2.4,0.383,53,1
8,24.5,0.142,1010,1
7,5.286,0.301,179,1
3,2.667,0.333,21,1
24,5,0.927,2800,1
9,4.111,0.213,235,1
10,5.8,0.3,487,1
9,6.556,0.335,436,1
11,5.091,0.386,431,1
11,2.455,0.303,177,1
9,1,0.272,61,1
11,1.091,0.455,129,1
8,4.125,0.314,186,1
9,30.556,0.202,1775,1
9,4.556,0.336,256,1
10,0.9,0.356,84,1
8,1,0.516,64,1
8,1.75,0.42,85,1
6,3.333,0.317,118,1
2,52,0.063,110,1
6,17.167,0.248,562,1
14,24.286,0.259,2819,1
13,2.308,0.356,253,1
7,4.143,0.36,190,1
8,8.625,0.279,379,1
8,9.5,0.232,310,1
5,6.2,0.239,151,1
16,26.688,0.4,4316,1
15,23.733,0.398,3940,1
9,2,0.414,142,1
11,6.455,0.37,567,1
9,59.556,0.091,1725,1
10,2.3,0.361,178,1
9,10.667,0.281,704,1
10,27.2,0.211,2101,1
9,8.889,0.333,658,1
10,3.5,0.326,204,1
9,2.111,0.55,147,1
9,1.444,0.308,103,1
8,1.25,0.425,74,1
9,0.667,0.37,49,1
9,8.778,0.343,639,1
7,7.571,0.267,252,1
9,8.444,0.352,556,1
10,26.1,0.264,1771,1
8,15,0.25,718,1
7,24.571,0.294,1164,1
7,0.286,0.857,12,1
10,1,0.46,46,1
5,0.6,0.533,15,1
12,6,0.228,674,1
9,1.222,0.343,99,1
3,1.333,0.917,11,1
11,4,0.314,363,1
3,1.333,0.667,8,1
8,5.375,0.392,319,1
6,9,0.549,311,1
8,3.625,0.401,205,1
9,9.111,0.385,690,1
7,6.429,0.381,243,1
4,23.75,0.311,372,1
9,5.111,0.316,355,1
12,0.667,0.792,96,1
12,1.917,0.417,172,1
9,7.889,0.39,491,1
9,8.444,0.38,650,1
8,22.875,0.288,972,1
7,5.857,0.261,254,1
14,22.929,0.361,2675,1
9,50.333,0.08,1478,1
9,3.556,0.417,206,1
10,3.3,0.327,245,1
5,2.4,0.55,59,1
11,9.455,0.377,891,1
7,7.286,0.325,311,1
10,27.2,0.191,1571,1
6,1,0.417,36,1
19,6.842,0.208,1606,1
12,1.833,0.553,222,1
8,1.875,0.292,97,1
12,41.667,0.264,3568,1
10,2.3,0.27,149,1
6,3.167,0.184,89,1
8,1,0.438,52,1
7,15,0.127,301,1
7,13.143,0.309,577,1
7,1.857,0.308,75,1
6,0.667,0.583,24,1
7,1.857,0.209,77,1
5,5.4,0.296,67,1
10,5.1,0.28,415,1
9,3.667,0.33,251,1
10,4.8,0.579,339,1
6,2.833,0.324,102,1
9,15.333,0.271,756,1
9,6.889,0.348,485,1
10,1.9,0.363,159,1
9,59.556,0.189,3924,1
8,0.5,0.375,32,1
5,3.8,0.211,74,1
8,3.875,0.371,194,1
9,13.667,0.359,994,1
5,2.8,0.414,66,1
10,25.8,0.337,1672,1
14,13.714,0.234,1584,1
10,4.8,0.313,365,1
8,1.875,0.5,120,1
3,2.333,0.619,13,1
9,12.333,0.209,570,1
7,4.286,0.338,160,1
5,2.8,0.329,35,1
7,1.571,0.377,73,1
7,2.429,0.412,111,1
14,21.429,0.263,2550,1
11,30.636,0.179,2402,1
11,5.182,0.271,362,1
7,4.571,0.268,186,1
6,3.333,0.258,117,1
8,7.5,0.433,404,1
8,4.375,0.443,279,1
10,3.4,0.303,277,1
10,1.1,0.491,93,1
14,13.286,0.307,1698,1
28,1.143,0.501,667,1
7,2.857,0.436,103,1
6,2.167,0.231,38,1
5,2.6,0.477,61,1
11,7.818,0.289,663,1
4,2.5,0.6,32,1
10,13.1,0.487,1121,1
5,5.4,0.607,134,1
21,5.048,0.136,881,1
10,1.8,0.294,157,1
10,11.6,0.273,925,1
7,4.714,0.368,207,1
1,35,0.429,35,1
10,2.9,0.383,242,1
7,2.286,0.295,103,1
7,3.286,0.329,151,1
8,5.125,0.293,286,1
9,4.111,0.39,270,1
5,9.2,0.174,185,1
5,4.6,0.504,90,1
10,1.9,0.568,147,1
8,1.375,0.318,76,1
9,5.444,0.272,349,1
10,6.7,0.291,435,1
8,1.875,0.267,109,1
7,23.286,0.212,948,1
6,19,0.278,507,1
10,1.1,0.2,60,1
10,0.8,0.575,71,1
7,0.857,0.381,42,1
7,1.857,0.407,89,1
9,9.111,0.389,679,1
6,0.833,0.367,26,1
9,9.111,0.337,603,1
7,4.571,0.277,186,1
10,3.4,0.303,272,1
1,104,0.192,104,1
8,5,0.391,317,1
5,6.6,0.315,150,1
9,59.444,0.106,2262,1
8,12.875,0.142,511,1
9,38.556,0.111,1351,1
7,2.714,0.398,130,1
12,3.5,0.355,397,1
9,4.333,0.444,324,1
28,2.929,0.271,895,1
7,7.286,0.283,325,1
8,11.25,0.207,531,1
6,2.833,0.343,89,1
11,0.818,0.515,76,1
5,1.8,0.444,43,1
8,1.75,0.518,108,1
8,1.875,0.475,119,1
9,26.667,0.179,1307,1
9,6,0.292,465,1
10,2,0.61,169,1
9,9.222,0.289,561,1
7,4.714,0.342,196,1
10,1.7,0.318,90,1
8,2.25,0.361,136,1
7,3.857,0.259,130,1
5,2.6,0.554,52,1
9,10.889,0.185,584,1
10,18.3,0.267,1248,1
10,3.8,0.195,209,1
10,1.8,0.383,180,1
9,12.111,0.219,759,1
10,3.5,0.38,290,1
8,2,0.477,116,1
10,4.1,0.356,392,1
15,14.8,0.414,2425,1
10,2.2,0.277,131,1
5,1.4,0.4,23,1
8,4.875,0.282,233,1
9,9.111,0.329,643,1
8,12,0.111,368,1
7,16.571,0.309,549,1
13,33.923,0.374,3582,1
10,0.9,0.3,70,1
6,3.833,0.377,119,1
8,1.25,0.313,54,1
16,21.063,0.369,3276,1
10,2.8,0.375,184,1
6,15.833,0.209,380,1
9,11,0.27,729,1
7,5.857,0.422,287,1
12,1.833,0.542,207,1
9,11.889,0.375,829,1
8,7.875,0.321,481,1
10,1.4,0.314,126,1
6,4.333,0.288,136,1
5,1.8,0.267,35,1
12,4.833,0.343,559,1
5,18.8,0.313,353,1
9,4.556,0.244,244,1
13,14.462,0.188,1736,1
11,3,0.278,265,1
10,2.9,0.29,233,1
9,38.778,0.125,1422,1
6,4.667,0.369,131,1
10,47.4,0.187,2740,1
8,1,0.344,59,1
8,6.75,0.275,336,1
9,4.778,0.509,371,1
8,3,0.406,157,1
9,7.667,0.209,502,1
8,2.375,0.388,152,1
9,4.778,0.388,343,1
7,4.143,0.281,171,1
8,3.125,0.405,151,1
7,3.714,0.302,166,1
13,9.462,0.428,1276,1
5,11.6,0.2,216,1
8,1.5,0.385,67,1
13,5.154,0.432,450,1
8,2.5,0.506,160,1
11,8.909,0.317,693,1
8,2.125,0.199,82,1
8,4,0.375,205,1
11,7.727,0.257,836,1
4,17.25,0.377,265,1
8,1.125,0.319,46,1
13,5,0.302,572,1
8,5.75,0.266,326,1
6,2.667,0.49,81,1
9,14,0.466,1029,1
8,4.75,0.408,293,1
9,26.667,0.259,1542,1
9,8.111,0.298,412,1
6,16.833,0.393,456,1
2,22.5,0.078,85,1
6,1.667,0.317,51,1
1,9,0.778,9,1
5,1.6,0.425,40,1
8,5.125,0.378,310,1
9,14.111,0.213,776,1
10,2.5,0.34,204,1
7,15.714,0.21,483,1
8,10.25,0.393,501,1
5,6,0.16,99,1
24,5.208,0.915,2877,1
13,31.462,0.277,3049,1
7,1.571,0.351,74,1
9,35.667,0.154,1597,1
9,2,0.352,146,1
4,7.75,0.419,117,1
8,2.25,0.215,117,1
10,0.8,0.688,80,1
8,4,0.352,249,1
5,2.8,0.457,70,1
8,1.75,0.446,109,1
6,15.833,0.256,438,1
7,2.857,0.464,138,1
7,6.143,0.219,296,1
7,5.143,0.278,236,1
10,6.7,0.321,543,1
8,18.5,0.182,740,1
9,4.667,0.381,352,1
7,6.143,0.319,241,1
16,19.313,0.382,2713,1
4,24,0.479,337,1
4,4.5,0.181,56,1
9,2.111,0.667,153,1
7,5.571,0.293,200,1
14,29.714,0.384,3594,1
7,1.429,0.329,57,1
7,27.429,0.136,518,1
7,31.857,0.121,823,1
6,2.333,0.274,75,1
11,2.636,0.408,244,1
7,3.286,0.329,136,1
13,8.923,0.292,1060,1
8,33.875,0.314,1775,1
6,1.333,0.5,48,1
25,2.84,0.234,1328,1
9,4,0.506,295,1
6,2.167,0.128,45,1
5,5.4,0.304,120,1
6,1.5,0.37,39,1
8,4,0.395,198,1
8,1.5,0.427,69,1
8,4.125,0.375,219,1
9,31.556,0.137,1165,1
12,6.917,0.301,811,1
8,4.75,0.128,135,1
8,5.125,0.323,211,1
10,6.6,0.324,515,1
9,5.333,0.227,284,1
7,5.857,0.254,200,1
6,2.5,0.267,75,1
5,8.6,0.372,191,1
7,0.429,0.571,21,1
7,3.286,0.273,135,1
8,12,0.276,678,1
8,23.25,0.399,1208,1
10,9.8,0.448,863,1
8,3.75,0.363,204,1
8,2.25,0.472,144,1
9,1.222,0.222,73,1
10,0.6,0.333,49,1
8,1.125,0.375,49,1
9,4.333,0.256,245,1
7,31.143,0.142,951,1
10,1,0.5,53,1
7,1.143,0.25,43,1
9,30.111,0.285,1724,1
9,8.333,0.194,471,1
5,6.2,0.361,151,1
8,14.25,0.116,372,1
8,2.125,0.228,120,1
6,9.833,0.268,245,1
6,6.167,0.306,180,1
12,8.667,0.335,946,1
9,1.333,0.444,108,1
9,10.556,0.284,726,1
6,1.667,0.483,56,1
8,1,0.5,64,1
10,29.3,0.207,1746,1
10,2.2,0.377,135,1
7,3.286,0.447,161,1
8,9.375,0.375,516,1
6,3.333,0.333,113,1
9,1.889,0.183,81,1
8,2.75,0.375,160,1
8,2,0.422,109,1
7,2.143,0.181,64,1
10,4.5,0.282,323,1
7,4.429,0.382,176,1
8,1.125,0.458,71,1
7,1.286,0.381,60,1
10,1.9,0.311,190,1
11,8.545,0.38,700,1
11,1.091,0.5,111,1
8,8,0.336,433,1
11,18.818,0.268,1647,1
5,1.8,0.533,41,1
11,3.091,0.324,326,1
7,2.571,0.286,79,1
11,16.818,0.487,1796,1
9,4.778,0.3,276,1
9,11.222,0.256,625,1
7,3,0.354,138,1
11,17.545,0.243,1451,1
1,40,0.175,40,1
8,6.625,0.337,377,1
12,0.75,0.509,71,1
9,31.111,0.165,1724,1
13,23.923,0.216,3069,1
7,5.714,0.339,262,1
7,1.143,0.482,56,1
7,5,0.494,221,1
5,8.6,0.33,176,1
6,8.333,0.327,233,1
41,1.634,0.441,1452,1
9,19.333,0.15,1156,1
9,4.667,0.384,309,1
9,1,0.358,59,1
7,3,0.259,123,1
10,3.3,0.321,281,1
6,7.5,0.456,261,1
7,1.143,0.357,56,1
6,1.167,0.524,42,1
8,6.25,0.253,320,1
9,3.778,0.379,294,1
7,5,0.302,230,1
7,4.143,0.305,170,1
9,27.889,0.187,1517,1
7,1.571,0.234,72,1
10,2.8,0.343,273,1
6,2.167,0.179,72,1
24,7.333,0.496,4094,1
6,2.5,0.467,64,1
10,2.5,0.32,162,1
10,2.8,0.336,238,1
33,4.848,0.219,2054,1
9,3.889,0.362,260,1
8,1.25,0.325,73,1
10,53.5,0.113,2448,1
6,7.333,0.447,214,1
7,9.143,0.498,408,1
6,1.833,0.348,66,1
10,3.4,0.356,273,1
8,10.75,0.494,650,1
7,2.429,0.353,94,1
10,3.2,0.306,252,1
9,3.889,0.59,271,1
12,22.667,0.249,1965,1
9,4.667,0.378,318,1
6,1.667,0.45,51,1
7,1.857,0.341,77,1
10,3.1,0.316,233,1
9,8.667,0.329,629,1
8,5.375,0.372,329,1
16,22.938,0.385,3377,1
9,18.778,0.343,1058,1
16,1.5,0.44,364,1
14,30.929,0.355,3467,1
9,2.556,0.324,204,1
9,1.778,0.215,110,1
5,1.4,0.457,35,1
17,22.882,0.344,4481,1
14,28.214,0.359,3636,1
7,1.143,0.375,54,1
10,2.9,0.303,212,1
7,2.286,0.313,109,1
9,2.222,0.35,131,1
5,1,0.36,14,1
12,0.917,0.652,97,1
10,12.6,0.463,1068,1
10,8.7,0.344,784,1
8,23,0.237,1144,1
13,31.462,0.312,3200,1
9,4.111,0.333,218,1
10,2.6,0.273,212,1
9,2.778,0.378,211,1
10,26.1,0.183,1343,1
8,9.5,0.314,432,1
11,3.909,0.281,366,1
6,4.333,0.519,149,1
9,59.444,0.146,3052,1
7,3.286,0.348,161,1
10,3.4,0.388,303,1
9,22,0.289,1213,1
9,10.222,0.286,733,1
7,14.429,0.501,688,1
10,3.8,0.434,339,1
9,4.111,0.396,283,1
11,8.909,0.397,839,1
4,1,0.563,15,1
8,1.125,0.389,57,1
8,18.75,0.205,753,1
10,1.9,0.563,159,1
10,1.8,0.522,139,1
10,2.5,0.392,202,1
8,15.875,0.314,838,1
8,3,0.438,161,1
5,19,0.255,374,1
7,2,0.296,77,1
5,1.6,0.325,36,1
16,25.5,0.39,4204,1
9,2.111,0.222,115,1
10,2.2,0.332,157,1
7,34.714,0.219,898,1
9,9.444,0.302,621,1
7,4.429,0.336,181,1
8,6.5,0.325,365,1
6,3.167,0.289,90,1
8,2.125,0.456,112,1
7,2,0.378,98,1
8,5,0.403,317,1
10,31.6,0.366,2126,1
1,29,0.31,29,1
10,7.9,0.385,695,1
8,3.25,0.389,208,1
6,1.5,0.296,43,1
8,1.875,0.425,111,1
12,13.917,0.225,1507,1
10,24.9,0.462,2097,1
7,3.429,0.232,143,1
1,60,0.2,60,1
9,1,0.383,65,1
