@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,1.97,295,1
6,1.88,62,1
9,2.82,172,1
10,3.14,204,1
22,11.64,838,1
5,1.33,57,1
36,7.7,331,5
10,1.7,246,1
13,3.16,382,1
8,1.97,392,1
6,1.61,159,1
12,2.98,495,1
12,2.91,466,1
10,1.82,93,1
7,1.19,455,1
18,4.3,228,1
7,1.97,122,1
10,1.88,679,1
9,1.9,712,1
8,1.5,154,1
8,1.32,411,1
8,1.29,106,1
8,1.65,66,1
81,2.26,449,5
6,3.5,7,5
10,1.38,508,1
13,1.07,16,5
10,1.43,573,1
10,1.4,559,1
8,1.57,108,1
6,1.56,42,1
11,1.39,525,1
7,1.91,21,1
10,1.28,524,1
7,1.89,17,1
7,1.56,14,1
5,2.33,14,1
9,1.49,136,1
5,1.35,54,1
5,1.42,81,1
6,1.42,51,1
10,1.25,129,1
7,1.47,63,1
6,1.26,53,1
8,1.71,36,1
6,1.63,39,1
6,1.57,22,1
5,4.5,9,1
7,1.77,23,1
10,1.48,291,1
9,1.54,71,1
8,1.84,57,1
7,1.59,27,1
7,1.67,92,1
7,1.4,73,1
7,1.2,18,1
7,1.85,24,1
7,2.33,7,1
7,2,46,1
7,1.3,52,1
9,1.39,61,1
7,2.2,33,1
8,1.4,28,1
7,1.48,46,1
7,1.31,34,1
7,1.43,30,1
7,1.36,38,1
7,1.58,30,1
7,1.43,80,1
6,1.33,24,1
6,1.29,45,1
7,1.42,94,1
7,1.25,69,1
7,1.38,47,1
6,1.53,23,1
6,1.6,24,1
7,1.75,7,1
7,1.22,33,1
7,1.69,22,1
6,1.37,26,1
4,1.46,38,1
9,1.3,60,1
7,1.73,19,1
7,1.58,98,1
8,1.5,27,1
8,1.47,28,1
7,1.69,177,1
7,1.4,94,1
7,1.69,44,1
6,1.31,21,1
7,1.41,96,1
5,1.4,88,1
9,1.66,143,1
7,1.74,40,1
7,1.68,84,1
5,2.4,12,1
7,1.7,34,1
6,1.07,15,1
9,1.48,40,1
6,1.21,40,1
7,1.63,26,1
7,1.74,106,1
5,1.45,16,1
7,1.29,18,1
9,1.27,275,1
6,1.67,10,1
9,1.64,90,1
7,1.36,34,1
9,5.5,22,5
11,1.9,76,1
10,1.82,40,1
8,2.32,51,1
9,2.58,129,1
12,1.98,773,1
11,2.03,290,1
10,2.6,26,1
8,1.5,12,1
10,2.09,98,1
8,2.16,106,1
8,3,18,1
9,5.67,17,1
10,2.78,128,1
8,2.09,140,1
8,2.8,56,1
12,1.99,843,1
10,1.58,30,1
8,2.09,48,1
8,1.98,81,1
6,8,16,1
11,2.69,121,1
8,2.57,36,1
11,1.95,281,1
7,2.22,51,1
9,2.22,111,1
8,1.83,146,1
7,9,18,1
11,1.94,600,1
8,2.21,31,1
9,1.78,142,1
8,2,52,1
9,2.4,108,1
9,2.2,66,1
8,2,114,1
9,1.85,74,1
10,1.91,63,1
8,3.13,25,1
10,2,82,1
8,1.83,22,1
8,1.94,202,1
8,2.07,60,1
9,1.77,23,1
8,2.33,28,1
8,1.93,83,1
10,1.9,403,1
8,2.09,23,1
11,1.92,152,1
8,1.52,44,1
8,1.88,30,1
10,1.82,133,1
10,2.24,114,1
8,1.81,141,1
10,2.41,41,1
8,1.9,38,1
8,1.95,125,1
1,25,25,1
8,2.19,59,1
8,1.73,71,1
8,3.5,14,1
68,2.44,519,5
9,2.68,51,1
10,2.02,109,1
9,2.15,58,1
9,2.69,43,1
4,4,20,1
9,1.86,132,1
5,9,9,1
5,2.33,28,1
10,1.87,592,1
8,2.7,27,1
6,4.67,14,1
10,1.79,754,1
8,2.03,67,1
8,2.27,68,1
8,2.4,48,1
8,2.08,83,1
8,1.72,43,1
5,2.28,41,1
11,1.93,698,1
9,1.89,53,1
10,2.13,117,1
10,1.92,261,1
10,2.14,105,1
10,2.08,102,1
7,2.14,45,1
10,1.72,188,1
7,1.87,28,1
8,1.78,66,1
7,2.4,127,1
5,2,38,1
5,2.18,74,1
8,2.42,75,1
10,1.84,327,1
10,1.81,103,1
10,1.65,366,1
8,2,28,1
10,1.84,127,1
11,1.85,722,1
11,2.04,274,1
8,2.86,20,1
8,2.07,89,1
8,2.5,25,1
8,1.7,321,1
8,1.88,98,1
10,1.79,70,1
13,3.27,740,1
25,7.24,2214,1
25,7.34,3392,1
8,2.63,260,1
9,1.22,686,1
7,1.9,19,1
1,1.17,7,1
8,1.28,427,1
7,1.39,57,1
1,1.08,13,1
8,2.51,274,1
5,2.33,7,1
9,2.86,606,1
8,2.71,396,1
2,30,570,2
9,1.26,386,1
7,1.23,265,1
7,1.5,99,1
8,2.9,720,1
9,2.75,355,1
8,1.28,372,1
25,7.33,5748,1
9,2.6,567,1
8,1.27,242,1
8,1.35,704,1
9,1.32,671,1
9,1.34,193,1
2,21.27,638,2
9,1.26,361,1
31,4.89,787,5
14,2.95,121,1
9,2.77,354,1
9,2.44,781,1
9,1.4,786,1
24,7.4,2256,1
9,2.64,570,1
9,2.47,331,1
8,2.53,593,1
1,63,63,2
5,1.39,46,1
1,1.05,20,1
10,1.21,125,1
9,1.25,440,1
8,1.2,219,1
7,1.23,76,1
14,11.88,570,1
8,2.67,32,1
8,1.45,90,1
7,1.89,34,1
2,1.2,12,1
7,1.94,31,1
4,2.14,205,1
9,1.35,186,1
1,1.09,12,1
8,1.29,252,1
10,1.32,392,1
8,1.25,114,1
7,1.46,92,1
9,1.28,417,1
14,11.84,580,1
30,1.88,288,5
4,2.4,199,1
9,2.59,357,1
7,1.13,124,1
9,1.29,190,1
8,1.32,586,1
10,1.3,721,1
9,1.28,217,1
5,2.43,17,1
5,1.82,155,1
29,6.27,401,3
8,1.27,731,1
9,1.21,476,1
7,1.37,115,1
7,1.28,91,1
38,38,38,4
11,2.58,49,1
1,412,412,2
9,3.76,282,1
3,7,7,1
9,7.42,89,1
7,6.17,74,1
13,6.6,376,1
12,7.62,221,1
10,28,56,1
12,2.19,942,1
12,3,872,1
2,2.67,8,2
1,9,9,2
1,4.5,9,2
9,3.3,277,1
7,7,7,4
11,4.6,465,1
11,4.98,433,1
54,6.4,5766,5
9,2.8,269,1
12,5.95,518,1
9,42,42,1
8,2.87,473,1
14,4.4,1657,1
14,4.61,1271,1
11,2.85,944,1
3,6.31,82,2
1,4,12,2
17,14.19,3192,1
8,3.11,417,1
9,7,98,1
10,6.83,82,1
1,2.4,12,2
9,2.63,260,1
24,17.08,3604,1
3,8,8,1
12,2.74,1075,1
14,4.87,998,1
168,62.81,18591,3
83,9.21,7725,5
11,4.5,991,1
11,4.81,596,1
7,2.62,361,1
8,2.7,781,1
3,8,8,1
9,8.25,99,1
9,2.74,230,1
174,15.84,27820,3
12,7.57,159,1
26,16.88,3696,1
47,47,47,4
11,6.35,527,1
16,16,16,4
11,3,768,1
12,7.68,146,1
9,2.49,249,1
23,14.93,4210,1
9,2.77,266,1
11,6.19,520,1
15,5.28,1743,1
16,4.81,1208,1
1,1.38,11,2
16,5.55,2497,1
77,11.28,9981,1
7,7.63,61,1
11,3.08,286,1
17,4.7,174,1
17,2.42,606,1
9,2.55,196,1
5,1.63,80,1
6,1.57,91,1
10,2.25,333,1
8,1.57,308,1
5,1.41,58,1
5,1.52,38,1
7,1.5,210,1
7,1.46,104,1
19,1.93,514,1
6,1.32,146,1
7,1.5,197,1
6,1.57,140,1
8,1.44,299,1
7,1.7,119,1
16,7.21,101,1
117,117,117,4
6,1.63,106,1
5,1.66,163,1
6,2.43,202,1
9,2.42,866,1
6,1.71,137,1
6,2.45,162,1
13,2.33,726,1
10,1.43,575,1
5,2.14,158,1
6,2.09,169,1
4,2.56,184,1
5,3.54,85,1
1,3,15,2
9,1.39,251,1
7,1.54,188,1
9,1.58,243,1
1,1.07,16,1
7,2,22,1
9,1.59,208,1
9,1.58,152,1
6,1.58,30,1
1,24.5,98,2
7,1.46,118,1
5,1.31,34,1
5,162,486,2
9,2.01,165,1
16,1.39,283,1
7,1.6,233,1
7,1.52,138,1
8,1.53,81,1
9,1.87,336,1
6,2,62,1
7,2.07,184,1
5,1.5,30,1
7,1.84,35,1
8,1.86,78,1
7,2.71,19,1
36,7.28,2126,1
22,5.35,123,1
12,1.6,281,1
11,2.09,67,1
2,28.64,315,2
13,1.61,98,1
41,33.67,1212,1
38,12.99,3573,1
8,1.74,157,1
118,3.33,642,5
1,1.02,66,2
8,1.41,459,1
9,1.24,319,1
5,1.63,13,1
7,1.9,182,1
7,1.12,83,1
20,12.53,188,1
8,2.35,87,1
7,3.5,21,1
25,2.08,977,1
18,43.48,5217,2
10,10,10,4
11,2.7,478,1
11,3.35,278,1
11,2.2,518,1
1,16,16,2
